analysis_status,family,value,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided,passes_original_full_gate
posthoc_single_coordinate_hypothesis_only,next_open_risk_atr_min,0.75,73,9.793959747595077,-10.206040252404927,-41.182974399600596,0.4246575342465753,0.6955222091844592,-0.163834902227312,-0.18208868248896537,22,40,8,3,15,False,-14.769299171948473,-18.982243379628752,15,16,20,22,-5.648130628670775,-18.982243379628752,-0.022839751953034754,-16.188467721926237,73,12.458019619170626,0.09419905800941991,False
posthoc_single_coordinate_hypothesis_only,next_open_risk_atr_min,1.0,40,16.454413452941854,-3.5455865470581522,-44.12345786090287,0.45,0.8955489987455616,-0.03142308357109902,-0.08612065988234152,13,21,4,2,7,False,-7.354368071079869,-16.840712079324902,7,10,9,14,7.792471006218447,-16.840712079324902,12.804479283140811,-10.22885369149096,40,26.585627777281786,0.04062959370406296,False
posthoc_single_coordinate_hypothesis_only,next_open_risk_atr_min,1.25,22,19.218562298072687,-0.7814377019273161,-44.72716175172973,0.45454545454545453,0.9781686871447625,0.01449212005732381,-0.0528363580086979,8,11,1,2,3,False,-2.4053914067200717,-8.771771138542782,3,8,3,8,14.803853176543404,-8.771771138542782,20.688837259763947,-6.686941455372585,22,26.487719971896436,0.12044879551204488,False
posthoc_single_coordinate_hypothesis_only,gap_max_bars_k1_to_touch,2.0,42,12.115115571563328,-7.884884428436675,-40.09225581984464,0.40476190476190477,0.7704789046935219,-0.11004173931228811,-0.15432332180505226,13,25,4,0,4,False,-17.34030718800232,-25.154997972372566,11,4,14,13,-25.154997972372566,-9.574160171117434,-11.93168120405651,11.606154557155278,42,14.24990099374742,0.14436855631443685,False
posthoc_single_coordinate_hypothesis_only,gap_max_bars_k1_to_touch,3.0,63,5.350639777608014,-14.649360222391987,-40.971918287491235,0.36507936507936506,0.5812030450325657,-0.2599231058019079,-0.2599231058019079,17,40,6,0,9,False,-21.808351815736195,-24.890841855112885,17,9,18,19,-24.890841855112885,-21.393212226427696,-13.851576020769496,-3.047268634846103,63,7.125105632951368,0.23644763552364476,False
posthoc_single_coordinate_hypothesis_only,gap_max_bars_k1_to_touch,4.0,73,5.241306326918259,-14.758693673081744,-40.780108028095604,0.3561643835616438,0.5712349950838399,-0.3197023276993852,-0.3197023276993852,19,46,7,1,14,False,-17.488125331972537,-24.890841855112885,17,14,21,21,-24.890841855112885,-17.14410516044658,-11.51015231649324,-8.214745509782766,73,6.9082568671759805,0.2224377756222438,False
posthoc_single_coordinate_hypothesis_only,gap_max_bars_k1_to_touch,5.0,82,2.3832659011864643,-17.616734098813538,-40.803334248117864,0.34146341463414637,0.4984037388014003,-0.39407638764774533,-0.39407638764774533,19,52,9,2,17,True,-20.305474208343306,-27.338455416444972,19,17,23,23,-27.338455416444972,-21.830526620195215,-12.213632354725576,-11.87430636905429,82,4.759700234150227,0.2804871951280487,False
posthoc_single_coordinate_hypothesis_only,gap_max_bars_k1_to_touch,6.0,89,2.846286925101986,-17.153713074898018,-40.780108028095604,0.34831460674157305,0.5124866400881644,-0.4067332009011426,-0.4067332009011426,21,56,10,2,19,True,-18.04499766911446,-28.172968845217678,20,19,24,26,-28.172968845217678,-16.62712999310544,-13.218481152198047,-12.69469497076205,89,5.353973711973474,0.24774752252477475,False
posthoc_single_coordinate_hypothesis_only,gap_max_bars_k1_to_touch,8.0,100,3.9144355628506817,-16.085564437149326,-40.68424232561594,0.37,0.5290052056092792,-0.41315793492317465,-0.41539069101988524,24,61,12,3,21,True,-18.927951453059116,-26.33319522810579,22,21,27,30,-26.33319522810579,-20.40496690658817,-10.705194238271407,-10.389386640830836,100,5.483494666130208,0.23126768732312677,False
posthoc_single_coordinate_hypothesis_only,maximum_confirmation_delay_bars,0.0,89,3.696243578453024,-16.30375642154698,-40.52565015169594,0.3707865168539326,0.5175547413288197,-0.3898543973750842,-0.39217581636532584,21,55,11,2,19,True,-17.30621684286685,-24.535294313995692,20,19,26,24,-24.535294313995692,-15.652780249541312,-14.24646558872886,-12.188229382897164,89,4.99082818158164,0.26484735152648475,False
posthoc_single_coordinate_hypothesis_only,maximum_confirmation_delay_bars,1.0,94,4.616192192232595,-15.383807807767408,-40.55701338741611,0.3723404255319149,0.5392762899189433,-0.40834636447261397,-0.4105974271357715,22,58,12,2,20,True,-19.24500353373098,-26.33319522810579,22,20,26,26,-26.33319522810579,-16.99108858128133,-14.24646558872886,-6.019913922278153,94,5.602968485343493,0.23161768382316178,False
posthoc_single_coordinate_hypothesis_only,maximum_confirmation_delay_bars,2.0,100,3.9144355628506817,-16.085564437149326,-40.68424232561594,0.37,0.5290052056092792,-0.41315793492317465,-0.41539069101988524,24,61,12,3,21,True,-18.927951453059116,-26.33319522810579,22,21,27,30,-26.33319522810579,-20.40496690658817,-10.705194238271407,-10.389386640830836,100,5.483494666130208,0.23126768732312677,False
posthoc_single_coordinate_hypothesis_only,profit_protection_trigger_close_r,1.0,100,2.0176801377838727,-17.982319862216134,-37.94907426727554,0.44,0.40292385012002035,-0.4566626838197876,-0.4587299175398395,14,53,30,3,21,True,-21.970874727856664,-23.813183331058102,22,21,27,30,-23.813183331058102,-18.082594374924245,-21.040866855811796,-10.883468865266904,100,1.7438870723881383,0.4009259907400926,False
posthoc_single_coordinate_hypothesis_only,profit_protection_trigger_close_r,1.25,100,5.208861548200272,-14.79113845179973,-38.58131834055199,0.41,0.5309882349296012,-0.40014017678992164,-0.4024224615086708,21,56,20,3,21,True,-16.59616588485646,-23.813183331058102,22,21,27,30,-23.813183331058102,-15.453857104718754,-12.476469089637314,-9.794271575913118,100,6.582834612679882,0.1834481655183448,False
posthoc_single_coordinate_hypothesis_only,profit_protection_trigger_close_r,1.5,100,3.9144355628506817,-16.085564437149326,-40.68424232561594,0.37,0.5290052056092792,-0.41315793492317465,-0.41539069101988524,24,61,12,3,21,True,-18.927951453059116,-26.33319522810579,22,21,27,30,-26.33319522810579,-20.40496690658817,-10.705194238271407,-10.389386640830836,100,5.483494666130208,0.23126768732312677,False
posthoc_single_coordinate_hypothesis_only,profit_protection_trigger_close_r,2.0,100,3.2545237647657155,-16.74547623523429,-40.89923937781568,0.33,0.5394171802929287,-0.4106703036193795,-0.4129125243988224,28,65,4,3,21,True,-19.739659956850495,-26.33319522810579,22,21,27,30,-26.33319522810579,-20.628877478078806,-10.604197070051438,-12.523252685801923,100,5.325112657627761,0.24235757642423575,False
