event_id,mother_event_id,decision_time,entry_time,fold,direction,match_status,assigned_controls,available_controls,mother_risk_atr,month,utc_6h_bucket,vol_bucket,known_5m_colour,known_hourly_colour,signed_hourly_slope_sign
2023-02-23T02:00:00+00:00_L,2023-02-23T02:00:00+00:00_L,2023-02-23 03:00:00+00:00,2023-02-23 03:00:00+00:00,2023H1,1,matched,3,3.0,1.758032897371544,2023-02,0.0,2.0,1.0,1.0,-1.0
2023-02-23T11:00:00+00:00_S,2023-02-23T11:00:00+00:00_S,2023-02-23 12:00:00+00:00,2023-02-23 12:00:00+00:00,2023H1,-1,matched,3,10.0,2.3967065986269867,2023-02,2.0,2.0,-1.0,-1.0,1.0
2023-02-28T19:00:00+00:00_S,2023-02-28T19:00:00+00:00_S,2023-02-28 20:00:00+00:00,2023-02-28 20:00:00+00:00,2023H1,-1,matched,3,14.0,1.544676441144042,2023-02,3.0,1.0,-1.0,-1.0,1.0
2023-03-07T01:00:00+00:00_L,2023-03-07T01:00:00+00:00_L,2023-03-07 02:00:00+00:00,2023-03-07 02:00:00+00:00,2023H1,1,matched,3,5.0,0.8251013072670934,2023-03,0.0,0.0,1.0,1.0,1.0
2023-03-11T01:00:00+00:00_L,2023-03-11T01:00:00+00:00_L,2023-03-11 02:00:00+00:00,2023-03-11 02:00:00+00:00,2023H1,1,insufficient_exact_controls,0,0.0,1.4421754629843513,,,,,,
2023-03-11T07:00:00+00:00_S,2023-03-11T07:00:00+00:00_S,2023-03-11 08:00:00+00:00,2023-03-11 08:00:00+00:00,2023H1,-1,matched,3,6.0,1.8802909544222548,2023-03,1.0,2.0,-1.0,-1.0,1.0
2023-03-19T14:00:00+00:00_L,2023-03-19T14:00:00+00:00_L,2023-03-19 15:00:00+00:00,2023-03-19 15:00:00+00:00,2023H1,1,matched,3,16.0,0.6814288088934768,2023-03,2.0,1.0,1.0,1.0,1.0
2023-03-20T18:00:00+00:00_L,2023-03-20T18:00:00+00:00_L,2023-03-20 19:00:00+00:00,2023-03-20 19:00:00+00:00,2023H1,1,matched,3,35.0,1.1276305031447207,2023-03,3.0,2.0,1.0,1.0,1.0
2023-04-02T04:00:00+00:00_S,2023-04-02T04:00:00+00:00_S,2023-04-02 05:00:00+00:00,2023-04-02 05:00:00+00:00,2023H1,-1,matched,3,7.0,0.8393093099790738,2023-04,0.0,0.0,-1.0,-1.0,-1.0
2023-04-03T08:00:00+00:00_L,2023-04-03T08:00:00+00:00_L,2023-04-03 09:00:00+00:00,2023-04-03 09:00:00+00:00,2023H1,1,matched,3,6.0,1.911896103158435,2023-04,1.0,0.0,1.0,1.0,-1.0
2023-04-03T14:00:00+00:00_S,2023-04-03T14:00:00+00:00_S,2023-04-03 15:00:00+00:00,2023-04-03 15:00:00+00:00,2023H1,-1,matched,3,19.0,1.4692585167783987,2023-04,2.0,0.0,-1.0,-1.0,1.0
2023-04-09T06:00:00+00:00_S,2023-04-09T06:00:00+00:00_S,2023-04-09 07:00:00+00:00,2023-04-09 07:00:00+00:00,2023H1,-1,matched,3,11.0,1.4238890655097876,2023-04,1.0,0.0,-1.0,-1.0,-1.0
2023-04-09T18:00:00+00:00_L,2023-04-09T18:00:00+00:00_L,2023-04-09 19:00:00+00:00,2023-04-09 19:00:00+00:00,2023H1,1,matched,3,24.0,1.5269572171975692,2023-04,3.0,0.0,1.0,1.0,1.0
2023-04-14T15:00:00+00:00_S,2023-04-14T15:00:00+00:00_S,2023-04-14 16:00:00+00:00,2023-04-14 16:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,2.0,1.8272658201369782,,,,,,
2023-04-16T18:00:00+00:00_L,2023-04-16T18:00:00+00:00_L,2023-04-16 19:00:00+00:00,2023-04-16 19:00:00+00:00,2023H1,1,matched,3,3.0,2.2188886134803987,2023-04,3.0,0.0,1.0,1.0,-1.0
2023-04-18T08:00:00+00:00_S,2023-04-18T08:00:00+00:00_S,2023-04-18 09:00:00+00:00,2023-04-18 09:00:00+00:00,2023H1,-1,matched,3,12.0,0.9039692929652354,2023-04,1.0,0.0,1.0,-1.0,1.0
2023-04-18T09:00:00+00:00_L,2023-04-18T09:00:00+00:00_L,2023-04-18 10:00:00+00:00,2023-04-18 10:00:00+00:00,2023H1,1,matched,3,3.0,1.2933251518235473,2023-04,1.0,0.0,1.0,1.0,-1.0
2023-04-19T08:00:00+00:00_S,2023-04-19T08:00:00+00:00_S,2023-04-19 09:00:00+00:00,2023-04-19 09:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,0.0,3.770597395063187,,,,,,
2023-04-25T17:00:00+00:00_L,2023-04-25T17:00:00+00:00_L,2023-04-25 18:00:00+00:00,2023-04-25 18:00:00+00:00,2023H1,1,matched,3,4.0,1.7329527943342555,2023-04,3.0,1.0,1.0,1.0,-1.0
2023-04-29T13:00:00+00:00_L,2023-04-29T13:00:00+00:00_L,2023-04-29 14:00:00+00:00,2023-04-29 14:00:00+00:00,2023H1,1,matched,3,5.0,0.8047815904500324,2023-04,2.0,0.0,1.0,1.0,-1.0
2023-05-01T01:00:00+00:00_S,2023-05-01T01:00:00+00:00_S,2023-05-01 02:00:00+00:00,2023-05-01 02:00:00+00:00,2023H1,-1,matched,3,16.0,3.6319560698618845,2023-05,0.0,2.0,-1.0,-1.0,1.0
2023-05-03T20:00:00+00:00_L,2023-05-03T20:00:00+00:00_L,2023-05-03 21:00:00+00:00,2023-05-03 21:00:00+00:00,2023H1,1,matched,3,6.0,0.9596818097989912,2023-05,3.0,2.0,1.0,1.0,1.0
2023-05-05T13:00:00+00:00_L,2023-05-05T13:00:00+00:00_L,2023-05-05 14:00:00+00:00,2023-05-05 14:00:00+00:00,2023H1,1,matched,3,4.0,1.3536811788608714,2023-05,2.0,1.0,1.0,1.0,1.0
2023-05-15T01:00:00+00:00_L,2023-05-15T01:00:00+00:00_L,2023-05-15 02:00:00+00:00,2023-05-15 02:00:00+00:00,2023H1,1,matched,3,23.0,2.9004952959856536,2023-05,0.0,0.0,1.0,1.0,1.0
2023-05-22T13:00:00+00:00_L,2023-05-22T13:00:00+00:00_L,2023-05-22 14:00:00+00:00,2023-05-22 14:00:00+00:00,2023H1,1,insufficient_exact_controls,0,2.0,2.44298949060818,,,,,,
2023-05-24T03:00:00+00:00_S,2023-05-24T03:00:00+00:00_S,2023-05-24 04:00:00+00:00,2023-05-24 04:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,0.0,2.9462616177880485,,,,,,
2023-06-06T16:00:00+00:00_L,2023-06-06T16:00:00+00:00_L,2023-06-06 17:00:00+00:00,2023-06-06 17:00:00+00:00,2023H1,1,insufficient_exact_controls,0,0.0,1.5109656964971454,,,,,,
2023-06-12T08:00:00+00:00_L,2023-06-12T08:00:00+00:00_L,2023-06-12 09:00:00+00:00,2023-06-12 09:00:00+00:00,2023H1,1,matched,3,10.0,1.0431744820431081,2023-06,1.0,1.0,1.0,1.0,1.0
2023-06-12T13:00:00+00:00_S,2023-06-12T13:00:00+00:00_S,2023-06-12 14:00:00+00:00,2023-06-12 14:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,1.0,0.96529484865796,,,,,,
2023-06-13T15:00:00+00:00_S,2023-06-13T15:00:00+00:00_S,2023-06-13 16:00:00+00:00,2023-06-13 16:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,0.0,1.361626385605967,,,,,,
2023-06-14T05:00:00+00:00_S,2023-06-14T05:00:00+00:00_S,2023-06-14 06:00:00+00:00,2023-06-14 06:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,1.0,1.1702666807926432,,,,,,
2023-06-18T14:00:00+00:00_L,2023-06-18T14:00:00+00:00_L,2023-06-18 15:00:00+00:00,2023-06-18 15:00:00+00:00,2023H1,1,matched,3,13.0,0.8573332823565624,2023-06,2.0,0.0,1.0,1.0,1.0
2023-06-25T03:00:00+00:00_L,2023-06-25T03:00:00+00:00_L,2023-06-25 04:00:00+00:00,2023-06-25 04:00:00+00:00,2023H1,1,missing_causal_matching_support,0,,0.840152451465375,,,,,,
2023-06-25T11:00:00+00:00_L,2023-06-25T11:00:00+00:00_L,2023-06-25 12:00:00+00:00,2023-06-25 12:00:00+00:00,2023H1,1,missing_causal_matching_support,0,,0.766124899503534,,,,,,
2023-06-25T14:00:00+00:00_S,2023-06-25T14:00:00+00:00_S,2023-06-25 15:00:00+00:00,2023-06-25 15:00:00+00:00,2023H1,-1,missing_causal_matching_support,0,,1.110443527225244,,,,,,
2023-07-02T17:00:00+00:00_S,2023-07-02T17:00:00+00:00_S,2023-07-02 18:00:00+00:00,2023-07-02 18:00:00+00:00,2023H2,-1,matched,3,5.0,1.1965322487977876,2023-07,3.0,0.0,-1.0,-1.0,-1.0
2023-07-10T12:00:00+00:00_S,2023-07-10T12:00:00+00:00_S,2023-07-10 13:00:00+00:00,2023-07-10 13:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,1.0,1.162311203415385,,,,,,
2023-07-13T13:00:00+00:00_L,2023-07-13T13:00:00+00:00_L,2023-07-13 14:00:00+00:00,2023-07-13 14:00:00+00:00,2023H2,1,matched,3,28.0,1.274040374209076,2023-07,2.0,0.0,1.0,1.0,1.0
2023-07-14T17:00:00+00:00_S,2023-07-14T17:00:00+00:00_S,2023-07-14 18:00:00+00:00,2023-07-14 18:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,1.0,2.486385251721613,,,,,,
2023-07-17T22:00:00+00:00_S,2023-07-17T22:00:00+00:00_S,2023-07-17 23:00:00+00:00,2023-07-17 23:00:00+00:00,2023H2,-1,matched,3,16.0,0.985810729258137,2023-07,3.0,1.0,1.0,-1.0,1.0
2023-07-18T02:00:00+00:00_S,2023-07-18T02:00:00+00:00_S,2023-07-18 03:00:00+00:00,2023-07-18 03:00:00+00:00,2023H2,-1,matched,3,7.0,0.7420585719670267,2023-07,0.0,1.0,-1.0,-1.0,1.0
2023-07-19T14:00:00+00:00_S,2023-07-19T14:00:00+00:00_S,2023-07-19 15:00:00+00:00,2023-07-19 15:00:00+00:00,2023H2,-1,matched,3,4.0,1.501898396846206,2023-07,2.0,1.0,-1.0,-1.0,1.0
2023-07-20T14:00:00+00:00_S,2023-07-20T14:00:00+00:00_S,2023-07-20 15:00:00+00:00,2023-07-20 15:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,0.0,2.8474109277094355,,,,,,
2023-07-23T04:00:00+00:00_L,2023-07-23T04:00:00+00:00_L,2023-07-23 05:00:00+00:00,2023-07-23 05:00:00+00:00,2023H2,1,matched,3,16.0,0.7619286626134757,2023-07,0.0,0.0,1.0,1.0,1.0
2023-07-24T02:00:00+00:00_S,2023-07-24T02:00:00+00:00_S,2023-07-24 03:00:00+00:00,2023-07-24 03:00:00+00:00,2023H2,-1,matched,3,8.0,0.9960959127171501,2023-07,0.0,0.0,-1.0,-1.0,-1.0
2023-07-26T02:00:00+00:00_L,2023-07-26T02:00:00+00:00_L,2023-07-26 03:00:00+00:00,2023-07-26 03:00:00+00:00,2023H2,1,matched,3,9.0,1.62482926919684,2023-07,0.0,0.0,1.0,1.0,-1.0
2023-07-26T12:00:00+00:00_L,2023-07-26T12:00:00+00:00_L,2023-07-26 13:00:00+00:00,2023-07-26 13:00:00+00:00,2023H2,1,matched,3,25.0,0.753785547560534,2023-07,2.0,0.0,1.0,1.0,1.0
2023-07-28T14:00:00+00:00_L,2023-07-28T14:00:00+00:00_L,2023-07-28 15:00:00+00:00,2023-07-28 15:00:00+00:00,2023H2,1,matched,3,3.0,2.1230855641272717,2023-07,2.0,0.0,1.0,1.0,-1.0
2023-07-30T13:00:00+00:00_S,2023-07-30T13:00:00+00:00_S,2023-07-30 14:00:00+00:00,2023-07-30 14:00:00+00:00,2023H2,-1,matched,3,17.0,0.9662871517360593,2023-07,2.0,0.0,-1.0,-1.0,1.0
2023-08-06T12:00:00+00:00_S,2023-08-06T12:00:00+00:00_S,2023-08-06 13:00:00+00:00,2023-08-06 13:00:00+00:00,2023H2,-1,matched,3,3.0,0.8692838701238772,2023-08,2.0,0.0,-1.0,-1.0,-1.0
2023-08-11T15:00:00+00:00_S,2023-08-11T15:00:00+00:00_S,2023-08-11 16:00:00+00:00,2023-08-11 16:00:00+00:00,2023H2,-1,matched,3,18.0,1.4594882227857762,2023-08,2.0,0.0,-1.0,-1.0,1.0
2023-08-12T01:00:00+00:00_S,2023-08-12T01:00:00+00:00_S,2023-08-12 02:00:00+00:00,2023-08-12 02:00:00+00:00,2023H2,-1,matched,3,19.0,0.8078775007518373,2023-08,0.0,0.0,-1.0,-1.0,1.0
2023-08-12T14:00:00+00:00_L,2023-08-12T14:00:00+00:00_L,2023-08-12 15:00:00+00:00,2023-08-12 15:00:00+00:00,2023H2,1,insufficient_exact_controls,0,2.0,1.0109536978233569,,,,,,
2023-08-13T18:00:00+00:00_L,2023-08-13T18:00:00+00:00_L,2023-08-13 19:00:00+00:00,2023-08-13 19:00:00+00:00,2023H2,1,insufficient_exact_controls,0,2.0,0.8982069841412567,,,,,,
2023-08-13T21:00:00+00:00_S,2023-08-13T21:00:00+00:00_S,2023-08-13 22:00:00+00:00,2023-08-13 22:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,1.0,1.5218962426061085,,,,,,
2023-08-23T10:00:00+00:00_S,2023-08-23T10:00:00+00:00_S,2023-08-23 11:00:00+00:00,2023-08-23 11:00:00+00:00,2023H2,-1,matched,3,10.0,0.6026425594364834,2023-08,1.0,2.0,-1.0,-1.0,1.0
2023-08-24T14:00:00+00:00_S,2023-08-24T14:00:00+00:00_S,2023-08-24 15:00:00+00:00,2023-08-24 15:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,1.0,1.7901050045785791,,,,,,
2023-08-29T06:00:00+00:00_S,2023-08-29T06:00:00+00:00_S,2023-08-29 07:00:00+00:00,2023-08-29 07:00:00+00:00,2023H2,-1,matched,3,12.0,0.6833527435385404,2023-08,1.0,1.0,-1.0,-1.0,1.0
2023-08-29T14:00:00+00:00_L,2023-08-29T14:00:00+00:00_L,2023-08-29 15:00:00+00:00,2023-08-29 15:00:00+00:00,2023H2,1,matched,3,4.0,7.587435602508026,2023-08,2.0,2.0,1.0,1.0,1.0
2023-09-03T17:00:00+00:00_L,2023-09-03T17:00:00+00:00_L,2023-09-03 18:00:00+00:00,2023-09-03 18:00:00+00:00,2023H2,1,matched,3,7.0,0.740957210091389,2023-09,3.0,1.0,1.0,1.0,1.0
2023-09-06T07:00:00+00:00_S,2023-09-06T07:00:00+00:00_S,2023-09-06 08:00:00+00:00,2023-09-06 08:00:00+00:00,2023H2,-1,matched,3,7.0,0.7510670177359459,2023-09,1.0,0.0,-1.0,-1.0,1.0
2023-09-07T11:00:00+00:00_S,2023-09-07T11:00:00+00:00_S,2023-09-07 12:00:00+00:00,2023-09-07 12:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,1.0,0.6649299109729235,,,,,,
2023-09-10T21:00:00+00:00_L,2023-09-10T21:00:00+00:00_L,2023-09-10 22:00:00+00:00,2023-09-10 22:00:00+00:00,2023H2,1,insufficient_exact_controls,0,2.0,1.0219153660746727,,,,,,
2023-09-11T05:00:00+00:00_L,2023-09-11T05:00:00+00:00_L,2023-09-11 06:00:00+00:00,2023-09-11 06:00:00+00:00,2023H2,1,insufficient_exact_controls,0,1.0,1.2953392290471895,,,,,,
2023-09-12T03:00:00+00:00_L,2023-09-12T03:00:00+00:00_L,2023-09-12 04:00:00+00:00,2023-09-12 04:00:00+00:00,2023H2,1,insufficient_exact_controls,0,0.0,3.2368542945278116,,,,,,
2023-09-15T22:00:00+00:00_L,2023-09-15T22:00:00+00:00_L,2023-09-15 23:00:00+00:00,2023-09-15 23:00:00+00:00,2023H2,1,matched,3,4.0,2.2608983624453236,2023-09,3.0,1.0,1.0,1.0,1.0
2023-09-17T07:00:00+00:00_S,2023-09-17T07:00:00+00:00_S,2023-09-17 08:00:00+00:00,2023-09-17 08:00:00+00:00,2023H2,-1,matched,3,4.0,0.6889442827629191,2023-09,1.0,0.0,-1.0,-1.0,-1.0
2023-09-17T16:00:00+00:00_S,2023-09-17T16:00:00+00:00_S,2023-09-17 17:00:00+00:00,2023-09-17 17:00:00+00:00,2023H2,-1,matched,3,14.0,0.6939956873148853,2023-09,2.0,0.0,-1.0,-1.0,1.0
2023-09-26T20:00:00+00:00_S,2023-09-26T20:00:00+00:00_S,2023-09-26 21:00:00+00:00,2023-09-26 21:00:00+00:00,2023H2,-1,matched,3,4.0,1.22787000249543,2023-09,3.0,1.0,-1.0,-1.0,-1.0
2023-09-27T03:00:00+00:00_L,2023-09-27T03:00:00+00:00_L,2023-09-27 04:00:00+00:00,2023-09-27 04:00:00+00:00,2023H2,1,insufficient_exact_controls,0,0.0,0.5771825912433097,,,,,,
2023-10-06T09:00:00+00:00_L,2023-10-06T09:00:00+00:00_L,2023-10-06 10:00:00+00:00,2023-10-06 10:00:00+00:00,2023H2,1,matched,3,9.0,0.9379287616855678,2023-10,1.0,1.0,1.0,1.0,1.0
2023-10-06T12:00:00+00:00_S,2023-10-06T12:00:00+00:00_S,2023-10-06 13:00:00+00:00,2023-10-06 13:00:00+00:00,2023H2,-1,matched,3,12.0,3.4037479409900784,2023-10,2.0,2.0,-1.0,-1.0,1.0
2023-10-08T06:00:00+00:00_S,2023-10-08T06:00:00+00:00_S,2023-10-08 07:00:00+00:00,2023-10-08 07:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,2.0,0.8172724929392794,,,,,,
2023-10-08T15:00:00+00:00_S,2023-10-08T15:00:00+00:00_S,2023-10-08 16:00:00+00:00,2023-10-08 16:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,1.0,0.5604982070036131,,,,,,
2023-10-15T11:00:00+00:00_S,2023-10-15T11:00:00+00:00_S,2023-10-15 12:00:00+00:00,2023-10-15 12:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,0.0,0.9812997796453247,,,,,,
2023-10-18T09:00:00+00:00_S,2023-10-18T09:00:00+00:00_S,2023-10-18 10:00:00+00:00,2023-10-18 10:00:00+00:00,2023H2,-1,matched,3,3.0,1.6857027923012733,2023-10,1.0,2.0,-1.0,-1.0,-1.0
2023-10-30T08:00:00+00:00_L,2023-10-30T08:00:00+00:00_L,2023-10-30 09:00:00+00:00,2023-10-30 09:00:00+00:00,2023H2,1,matched,3,6.0,1.2732179152537288,2023-10,1.0,1.0,1.0,1.0,1.0
2023-10-31T12:00:00+00:00_S,2023-10-31T12:00:00+00:00_S,2023-10-31 13:00:00+00:00,2023-10-31 13:00:00+00:00,2023H2,-1,matched,3,19.0,1.118871980801197,2023-10,2.0,1.0,-1.0,-1.0,1.0
2023-10-31T18:00:00+00:00_L,2023-10-31T18:00:00+00:00_L,2023-10-31 19:00:00+00:00,2023-10-31 19:00:00+00:00,2023H2,1,insufficient_exact_controls,0,0.0,0.6992766366266394,,,,,,
2023-11-01T05:00:00+00:00_S,2023-11-01T05:00:00+00:00_S,2023-11-01 06:00:00+00:00,2023-11-01 06:00:00+00:00,2023H2,-1,matched,3,5.0,0.5911092764111132,2023-11,1.0,1.0,-1.0,-1.0,1.0
2023-11-01T14:00:00+00:00_S,2023-11-01T14:00:00+00:00_S,2023-11-01 15:00:00+00:00,2023-11-01 15:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,2.0,1.9945737920693127,,,,,,
2023-11-02T15:00:00+00:00_S,2023-11-02T15:00:00+00:00_S,2023-11-02 16:00:00+00:00,2023-11-02 16:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,2.0,0.992764311426692,,,,,,
2023-11-06T04:00:00+00:00_S,2023-11-06T04:00:00+00:00_S,2023-11-06 05:00:00+00:00,2023-11-06 05:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,1.0,0.7026440528804196,,,,,,
2023-11-07T18:00:00+00:00_L,2023-11-07T18:00:00+00:00_L,2023-11-07 19:00:00+00:00,2023-11-07 19:00:00+00:00,2023H2,1,insufficient_exact_controls,0,2.0,2.57990892732396,,,,,,
2023-11-13T03:00:00+00:00_S,2023-11-13T03:00:00+00:00_S,2023-11-13 04:00:00+00:00,2023-11-13 04:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,2.0,1.4515775426434805,,,,,,
2023-11-15T11:00:00+00:00_L,2023-11-15T11:00:00+00:00_L,2023-11-15 12:00:00+00:00,2023-11-15 12:00:00+00:00,2023H2,1,matched,3,5.0,1.5084002408593242,2023-11,2.0,1.0,1.0,1.0,-1.0
2023-11-21T11:00:00+00:00_S,2023-11-21T11:00:00+00:00_S,2023-11-21 12:00:00+00:00,2023-11-21 12:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,2.0,0.9342607454507958,,,,,,
2023-11-22T18:00:00+00:00_L,2023-11-22T18:00:00+00:00_L,2023-11-22 19:00:00+00:00,2023-11-22 19:00:00+00:00,2023H2,1,insufficient_exact_controls,0,1.0,2.111696740134816,,,,,,
2023-11-26T10:00:00+00:00_S,2023-11-26T10:00:00+00:00_S,2023-11-26 11:00:00+00:00,2023-11-26 11:00:00+00:00,2023H2,-1,matched,3,8.0,0.7922428467522367,2023-11,1.0,0.0,-1.0,-1.0,1.0
2023-12-01T01:00:00+00:00_L,2023-12-01T01:00:00+00:00_L,2023-12-01 02:00:00+00:00,2023-12-01 02:00:00+00:00,2023H2,1,matched,3,3.0,1.6873059579031853,2023-12,0.0,0.0,1.0,1.0,-1.0
2023-12-07T08:00:00+00:00_S,2023-12-07T08:00:00+00:00_S,2023-12-07 09:00:00+00:00,2023-12-07 09:00:00+00:00,2023H2,-1,insufficient_exact_controls,0,1.0,1.203784260374033,,,,,,
2023-12-08T11:00:00+00:00_L,2023-12-08T11:00:00+00:00_L,2023-12-08 12:00:00+00:00,2023-12-08 12:00:00+00:00,2023H2,1,matched,3,6.0,1.1695056326363023,2023-12,2.0,1.0,1.0,1.0,-1.0
2023-12-16T15:00:00+00:00_L,2023-12-16T15:00:00+00:00_L,2023-12-16 16:00:00+00:00,2023-12-16 16:00:00+00:00,2023H2,1,matched,3,3.0,1.3396906657105356,2023-12,2.0,1.0,1.0,1.0,-1.0
2023-12-20T04:00:00+00:00_L,2023-12-20T04:00:00+00:00_L,2023-12-20 05:00:00+00:00,2023-12-20 05:00:00+00:00,2023H2,1,matched,3,21.0,1.3826805257773218,2023-12,0.0,2.0,1.0,1.0,1.0
2023-12-22T18:00:00+00:00_L,2023-12-22T18:00:00+00:00_L,2023-12-22 19:00:00+00:00,2023-12-22 19:00:00+00:00,2023H2,1,matched,3,10.0,1.0629579425286806,2023-12,3.0,1.0,1.0,1.0,1.0
2023-12-22T19:00:00+00:00_S,2023-12-22T19:00:00+00:00_S,2023-12-22 20:00:00+00:00,2023-12-22 20:00:00+00:00,2023H2,-1,matched,3,4.0,1.0908161569798849,2023-12,3.0,1.0,-1.0,-1.0,-1.0
