population,event_id,parent_event_id,matched_case,fold,signal_time,decision_time,direction,ma,signal_close,signal_atr,initial_stop,entry_open,raw_entry_segment_id,entry_distance_atr,entry_side,previous_hour_close_distance_atr,previous_hour_close_side,initial_R,entry_distance_r,geometry_bin
case,2023-08-12T01:00:00+00:00_S,,True,2023H2,2023-08-12 01:00:00+00:00,2023-08-12 02:00:00+00:00,-1.0,29444.922500000004,29405.2,70.80281347947991,29462.4,29405.2,1.0,0.5610299654478544,1,0.5610299654478544,1,57.20000000000073,0.694449300699353,inside
case,2023-08-12T14:00:00+00:00_L,,False,2023H2,2023-08-12 14:00:00+00:00,2023-08-12 15:00:00+00:00,1.0,29420.855,29454.7,45.00700684706351,29409.3,29454.8,1.0,0.7542158961013969,1,0.7519940198424768,1,45.5,0.7460439560439497,inside
case,2023-08-13T18:00:00+00:00_L,,False,2023H2,2023-08-13 18:00:00+00:00,2023-08-13 19:00:00+00:00,1.0,29414.140000000003,29428.5,31.95254602416182,29399.9,29428.6,1.0,0.45254609723623124,1,0.44941645617655085,1,28.69999999999709,0.5038327526131343,inside
case,2023-08-13T21:00:00+00:00_S,,False,2023H2,2023-08-13 21:00:00+00:00,2023-08-13 22:00:00+00:00,-1.0,29415.932500000003,29378.4,35.28492843115293,29432.1,29378.4,1.0,1.0636977788755797,1,1.0636977788755797,1,53.69999999999709,0.6989292364991284,inside
case,2023-08-23T10:00:00+00:00_S,,True,2023H2,2023-08-23 10:00:00+00:00,2023-08-23 11:00:00+00:00,-1.0,26018.21625,25969.4,126.27717509888691,26045.4,25969.3,1.0,0.3873720643631441,1,0.38658015561222475,1,76.10000000000218,0.6427890932983,inside
case,2023-08-24T14:00:00+00:00_S,,False,2023H2,2023-08-24 14:00:00+00:00,2023-08-24 15:00:00+00:00,-1.0,26266.38375,26120.8,143.51113445464057,26377.7,26120.8,1.0,1.0144421933060261,1,1.0144421933060261,1,256.90000000000146,0.5666942390035064,inside
case,2023-08-29T06:00:00+00:00_S,,True,2023H2,2023-08-29 06:00:00+00:00,2023-08-29 07:00:00+00:00,-1.0,26061.0775,26013.1,78.29045907237608,26066.6,26013.1,1.0,0.6128141355723535,1,0.6128141355723535,1,53.5,0.8967757009345958,inside
case,2023-08-29T14:00:00+00:00_L,,True,2023H2,2023-08-29 14:00:00+00:00,2023-08-29 15:00:00+00:00,1.0,26062.07125,27489.6,189.4711303414292,26052.0,27489.6,1.0,7.534281066606686,1,7.534281066606686,1,1437.5999999999985,0.9929944003895375,inside
case,2023-09-03T17:00:00+00:00_L,,True,2023H2,2023-09-03 17:00:00+00:00,2023-09-03 18:00:00+00:00,1.0,25859.19,25889.7,76.11775583240696,25833.2,25889.6,1.0,0.39951256664680684,1,0.4008263205654373,1,56.39999999999782,0.5391843971631388,inside
case,2023-09-06T07:00:00+00:00_S,,True,2023H2,2023-09-06 07:00:00+00:00,2023-09-06 08:00:00+00:00,-1.0,25768.7625,25728.9,75.35945350205422,25785.5,25728.9,1.0,0.5289648232243704,1,0.5289648232243704,1,56.599999999998545,0.704284452296825,inside
case,2023-09-07T11:00:00+00:00_S,,False,2023H2,2023-09-07 11:00:00+00:00,2023-09-07 12:00:00+00:00,-1.0,25744.94,25710.2,79.55725727933991,25763.0,25710.1,1.0,0.43792359354056926,1,0.43666663718709586,1,52.900000000001455,0.6586011342154856,inside
case,2023-09-10T21:00:00+00:00_L,,False,2023H2,2023-09-10 21:00:00+00:00,2023-09-10 22:00:00+00:00,1.0,25842.7675,25906.1,89.04847017766686,25815.2,25906.2,1.0,0.7123367742695674,1,0.7112137903507795,1,91.0,0.6970604395604284,inside
case,2023-09-11T05:00:00+00:00_L,,False,2023H2,2023-09-11 05:00:00+00:00,2023-09-11 06:00:00+00:00,1.0,25826.975,25900.0,99.43341258547422,25771.3,25900.1,1.0,0.7354167789136355,1,0.734411080754452,1,128.79999999999927,0.5677406832298169,inside
case,2023-09-12T03:00:00+00:00_L,,False,2023H2,2023-09-12 03:00:00+00:00,2023-09-12 04:00:00+00:00,1.0,25561.95,25800.1,182.9245143968933,25208.0,25800.1,1.0,1.3019031417696219,1,1.3019031417696219,1,592.0999999999985,0.4022124641107894,inside
case,2023-09-15T22:00:00+00:00_L,,True,2023H2,2023-09-15 22:00:00+00:00,2023-09-15 23:00:00+00:00,1.0,26510.57625,26776.9,135.7425017850281,26470.0,26776.9,1.0,1.9619776156901338,1,1.9619776156901338,1,306.90000000000146,0.8677867383512607,inside
case,2023-09-17T07:00:00+00:00_S,,True,2023H2,2023-09-17 07:00:00+00:00,2023-09-17 08:00:00+00:00,-1.0,26531.44625,26498.9,72.2845101497657,26548.8,26499.0,1.0,0.44886864326500586,1,0.4502520655195298,1,49.79999999999927,0.651531124498019,inside
case,2023-09-17T16:00:00+00:00_S,,True,2023H2,2023-09-17 16:00:00+00:00,2023-09-17 17:00:00+00:00,-1.0,26547.64375,26505.7,63.83324970130416,26550.0,26505.7,1.0,0.6570831063163247,1,0.6570831063163247,1,44.29999999999927,0.9468115124153326,inside
case,2023-09-26T20:00:00+00:00_S,,True,2023H2,2023-09-26 20:00:00+00:00,2023-09-26 21:00:00+00:00,-1.0,26228.817499999997,26165.1,99.92914539050103,26287.8,26165.1,1.0,0.6376267879706657,1,0.6376267879706657,1,122.70000000000073,0.5192950285248448,inside
case,2023-09-27T03:00:00+00:00_L,,False,2023H2,2023-09-27 03:00:00+00:00,2023-09-27 04:00:00+00:00,1.0,26247.2175,26275.9,87.66723176976745,26225.3,26275.9,1.0,0.3271746971015223,1,0.3271746971015223,1,50.60000000000218,0.5668478260869838,inside
case,2023-10-06T09:00:00+00:00_L,,True,2023H2,2023-10-06 09:00:00+00:00,2023-10-06 10:00:00+00:00,1.0,27621.31875,27689.9,112.8017439297461,27584.2,27690.0,1.0,0.608866916479383,1,0.6079804053624908,1,105.79999999999927,0.6491611531191108,inside
case,2023-10-06T12:00:00+00:00_S,,True,2023H2,2023-10-06 12:00:00+00:00,2023-10-06 13:00:00+00:00,-1.0,27621.014999999996,27255.7,150.09924614200176,27766.5,27255.6,1.0,2.434489242233072,1,2.4338230163687027,1,510.90000000000146,0.7152378156194875,inside
case,2023-10-08T06:00:00+00:00_S,,False,2023H2,2023-10-08 06:00:00+00:00,2023-10-08 07:00:00+00:00,-1.0,27943.9925,27891.5,86.01782221639749,27961.9,27891.6,1.0,0.6090888916973094,1,0.6102514414738774,1,70.30000000000291,0.7452702702702643,inside
case,2023-10-08T15:00:00+00:00_S,,False,2023H2,2023-10-08 15:00:00+00:00,2023-10-08 16:00:00+00:00,-1.0,27925.73,27900.0,102.58730408325702,27957.5,27900.0,1.0,0.2508107628904821,1,0.2508107628904821,1,57.5,0.4474782608695576,inside
case,2023-10-15T11:00:00+00:00_S,,False,2023H2,2023-10-15 11:00:00+00:00,2023-10-15 12:00:00+00:00,-1.0,26886.652499999997,26856.4,42.392753838218376,26897.9,26856.3,1.0,0.7159832106173183,1,0.7136243169161964,1,41.60000000000218,0.7296274038460491,inside
case,2023-10-18T09:00:00+00:00_S,,True,2023H2,2023-10-18 09:00:00+00:00,2023-10-18 10:00:00+00:00,-1.0,28434.773750000004,28258.5,202.46748214379255,28599.8,28258.5,1.0,0.870627461425209,1,0.870627461425209,1,341.2999999999993,0.5164774392030598,inside
case,2023-10-30T08:00:00+00:00_L,,True,2023H2,2023-10-30 08:00:00+00:00,2023-10-30 09:00:00+00:00,1.0,34280.7375,34390.6,180.6446463284058,34159.4,34389.4,1.0,0.6015262683315499,1,0.6081691444111184,1,230.0,0.4724456521739067,inside
case,2023-10-31T12:00:00+00:00_S,,True,2023H2,2023-10-31 12:00:00+00:00,2023-10-31 13:00:00+00:00,-1.0,34417.6725,34305.0,194.9284670117688,34523.0,34304.9,1.0,0.5785327393622323,1,0.5780197306594423,1,218.09999999999854,0.5170678587803754,inside
case,2023-10-31T18:00:00+00:00_L,,False,2023H2,2023-10-31 18:00:00+00:00,2023-10-31 19:00:00+00:00,1.0,34391.646250000005,34473.1,196.7747709458603,34335.5,34473.1,1.0,0.4139440722429001,1,0.4139440722429001,1,137.59999999999854,0.5919603924418181,inside
case,2023-11-01T05:00:00+00:00_S,,True,2023H2,2023-11-01 05:00:00+00:00,2023-11-01 06:00:00+00:00,-1.0,34419.55375,34354.8,165.78998826579326,34452.7,34354.7,1.0,0.39118013505151467,1,0.3905769623204478,1,98.0,0.6617729591836943,inside
case,2023-11-01T14:00:00+00:00_S,,False,2023H2,2023-11-01 14:00:00+00:00,2023-11-01 15:00:00+00:00,-1.0,34424.9525,34169.2,250.42944110971357,34668.7,34169.2,1.0,1.0212557232356587,1,1.0212557232356587,1,499.5,0.5120170170170216,inside
case,2023-11-02T15:00:00+00:00_S,,False,2023H2,2023-11-02 15:00:00+00:00,2023-11-02 16:00:00+00:00,-1.0,34894.63875,34634.9,299.3661200138166,34932.0,34634.8,1.0,0.8679631148240924,1,0.8676290756883548,1,297.1999999999971,0.8742891991924558,inside
