event_id,mother_decision_time,fold,event_net_return,assigned_controls,control_mean_return,excess
2023-07-20T14:00:00+00:00_S,2023-07-20 15:00:00+00:00,2023H2,-0.002936870382807209,0,,
2023-07-23T04:00:00+00:00_L,2023-07-23 05:00:00+00:00,2023H2,-0.0021003290793804013,3,-0.004926966023180803,0.002826636943800402
2023-07-24T02:00:00+00:00_S,2023-07-24 03:00:00+00:00,2023H2,0.020627151911262964,3,-0.002401660801707745,0.02302881271297071
2023-07-26T02:00:00+00:00_L,2023-07-26 03:00:00+00:00,2023H2,-0.004926083111686295,3,-0.0029666853219244543,-0.001959397789761841
2023-07-26T12:00:00+00:00_L,2023-07-26 13:00:00+00:00,2023H2,0.00015535674575351162,3,0.002478950740573732,-0.0023235939948202202
2023-07-28T14:00:00+00:00_L,2023-07-28 15:00:00+00:00,2023H2,-0.008630355156415302,3,-0.002158123394297327,-0.006472231762117975
2023-07-30T13:00:00+00:00_S,2023-07-30 14:00:00+00:00,2023H2,-0.0026828828582745583,3,-0.004315383675907186,0.0016325008176326277
2023-08-06T12:00:00+00:00_S,2023-08-06 13:00:00+00:00,2023H2,-0.0032948015096834187,3,-0.0029993732137739318,-0.00029542829590948694
2023-08-11T15:00:00+00:00_S,2023-08-11 16:00:00+00:00,2023H2,-0.002350362778547053,3,-0.0032740841500999225,0.0009237213715528694
2023-08-12T01:00:00+00:00_S,2023-08-12 02:00:00+00:00,2023H2,-0.0025543237250553723,3,-0.0021106461123810965,-0.00044367761267427586
2023-08-12T14:00:00+00:00_L,2023-08-12 15:00:00+00:00,2023H2,-0.003249371919008091,0,,
2023-08-13T18:00:00+00:00_L,2023-08-13 19:00:00+00:00,2023H2,-0.0029752417716097917,0,,
2023-08-13T21:00:00+00:00_S,2023-08-13 22:00:00+00:00,2023H2,-0.002486752171663607,0,,
2023-08-23T10:00:00+00:00_S,2023-08-23 11:00:00+00:00,2023H2,-0.004930383183220364,3,0.0466645178412867,-0.05159490102450707
2023-08-24T14:00:00+00:00_S,2023-08-24 15:00:00+00:00,2023H2,-0.0021071942666379666,0,,
2023-08-29T06:00:00+00:00_S,2023-08-29 07:00:00+00:00,2023H2,-0.003410827621467714,3,-0.003684305726728915,0.000273478105261201
2023-08-29T14:00:00+00:00_L,2023-08-29 15:00:00+00:00,2023H2,0.005722920668180144,3,-0.005805911671303396,0.011528832339483541
2023-09-03T17:00:00+00:00_L,2023-09-03 18:00:00+00:00,2023H2,-0.00020004944070195312,3,0.00033384743448875977,-0.0005338968751907129
2023-09-06T07:00:00+00:00_S,2023-09-06 08:00:00+00:00,2023H2,-0.004199860856857416,3,-0.0031237633870821254,-0.001076097469775291
2023-09-07T11:00:00+00:00_S,2023-09-07 12:00:00+00:00,2023H2,-0.004057557146802225,0,,
2023-09-10T21:00:00+00:00_L,2023-09-10 22:00:00+00:00,2023H2,-0.005512672642070225,0,,
2023-09-11T05:00:00+00:00_L,2023-09-11 06:00:00+00:00,2023H2,-0.006972953772379274,0,,
2023-09-12T03:00:00+00:00_L,2023-09-12 04:00:00+00:00,2023H2,0.007131747551366143,0,,
2023-09-15T22:00:00+00:00_L,2023-09-15 23:00:00+00:00,2023H2,-0.009909802852458792,3,0.008840060396740236,-0.018749863249199028
2023-09-17T07:00:00+00:00_S,2023-09-17 08:00:00+00:00,2023H2,-0.0036717611985357373,3,-0.0036108361735583574,-6.092502497737984e-05
2023-09-17T16:00:00+00:00_S,2023-09-17 17:00:00+00:00,2023H2,-0.002841328468970781,3,-0.003045187603562573,0.00020385913459179195
2023-09-26T20:00:00+00:00_S,2023-09-26 21:00:00+00:00,2023H2,-0.003234468815330514,3,-0.002574660847285672,-0.0006598079680448419
2023-09-27T03:00:00+00:00_L,2023-09-27 04:00:00+00:00,2023H2,-0.003469026750748892,0,,
2023-10-06T09:00:00+00:00_L,2023-10-06 10:00:00+00:00,2023H2,-0.00582087396171904,3,-0.005959029151743879,0.0001381551900248388
2023-10-06T12:00:00+00:00_S,2023-10-06 13:00:00+00:00,2023H2,-0.015736626601505765,3,0.0003830919991285985,-0.016119718600634363
2023-10-08T06:00:00+00:00_S,2023-10-08 07:00:00+00:00,2023H2,-0.004520472113467953,0,,
