Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
-0.1867,34462,34472,2919.47,2954.38,2954.38,,-7.614344795000041,1.096647795,-0.013969607497251287,2025-12-25 23:30:00+00:00,2025-12-26 02:00:00+00:00,0 days 02:30:00,0.0034910000000000006
0.22940000000000002,34752,34800,2949.4999999999995,2952.4494999999993,2952.4494999999993,,-0.6772919153000904,1.3539072152999998,-0.0010010000000001099,2025-12-29 00:00:00+00:00,2025-12-29 12:00:00+00:00,0 days 12:00:00,0.002808
0.21250000000000002,34956,35003,2979.96,2982.9399599999997,2982.9399599999997,,-0.6338747415000701,1.2671162415000001,-0.0010010000000001099,2025-12-31 03:00:00+00:00,2025-12-31 14:45:00+00:00,0 days 11:45:00,0.0030280000000000003
0.20370000000000002,35415,35450,3137.0200000000004,3140.15702,3140.15702,,-0.6396499849740587,1.2786609589740001,-0.0010010000000001103,2026-01-04 21:45:00+00:00,2026-01-05 06:30:00+00:00,0 days 08:45:00,0.0031550000000000003
0.09970000000000001,35491,35592,3178.0500000000006,3181.2280499999997,3181.2280499999997,,-0.31716843658505106,0.634020021585,-0.0010010000000001099,2026-01-05 16:45:00+00:00,2026-01-06 18:00:00+00:00,1 days 01:15:00,0.006441
0.0954,35607,35653,3289.5900000000006,3222.3300000000004,3222.3300000000004,,-7.03784116800001,0.6212371680000002,-0.022425870701212068,2026-01-06 21:45:00+00:00,2026-01-07 09:15:00+00:00,0 days 11:30:00,0.006726000000000001
-0.125,35728,35813,3141.56,3138.4184399999995,3138.4184399999995,,-0.39230230499998775,0.7849973050000001,-0.0009989999999999995,2026-01-08 04:00:00+00:00,2026-01-09 01:15:00+00:00,0 days 21:15:00,0.005076
-0.1612,35843,35869,3086.01,3125.36,3125.36,,-7.344492844000035,1.001272844,-0.014763843927919995,2026-01-09 08:45:00+00:00,2026-01-09 15:15:00+00:00,0 days 06:30:00,0.003935
-0.0891,35886,36066,3073.96,3144.3399999999997,3144.3399999999997,,-6.824908529999989,0.55405053,-0.024918443961534812,2026-01-09 19:30:00+00:00,2026-01-11 16:30:00+00:00,1 days 21:00:00,0.007038
0.1253,36102,36153,3129.6999999999994,3080.1999999999994,3080.1999999999994,,-6.9804504700000125,0.7781004699999998,-0.017800396204109007,2026-01-12 01:30:00+00:00,2026-01-12 14:15:00+00:00,0 days 12:45:00,0.00495
0.12340000000000001,36424,36446,3365.3,3315.600000000001,3315.600000000001,,-6.957403059999969,0.8244230600000002,-0.01675360294773113,2026-01-15 10:00:00+00:00,2026-01-15 15:30:00+00:00,0 days 05:30:00,0.0049700000000000005
-0.1811,36858,37602,3205.08,2969.72,3201.87492,,41.505439720000005,1.11825628,0.0715068578631423,2026-01-19 22:30:00+00:00,2026-01-27 16:30:00+00:00,7 days 18:00:00,0.0033480000000000007
0.1028,37602,37738,2969.72,2972.6897199999994,2972.6897199999994,,-0.30559250321605047,0.610879719216,-0.0010010000000001103,2026-01-27 16:30:00+00:00,2026-01-29 02:30:00+00:00,1 days 10:00:00,0.0063
-0.1044,38220,38246,2297.3,2295.0027,2295.0027,,-0.23959828187998822,0.47943640188000003,-0.000998999999999999,2026-02-03 03:00:00+00:00,2026-02-03 09:30:00+00:00,0 days 06:30:00,0.006202000000000001
-0.0966,38304,38768,2232.42,2125.98,2230.18758,,9.861082560000014,0.4210214400000001,0.04572687935065992,2026-02-04 00:00:00+00:00,2026-02-08 20:00:00+00:00,4 days 20:00:00,0.006697
0.1292,38768,38782,2125.98,2075.14,2075.14,,-7.111312704000007,0.542784704,-0.0258897637795276,2026-02-08 20:00:00+00:00,2026-02-08 23:30:00+00:00,0 days 03:30:00,0.005084000000000001
-0.1129,39137,39222,1918.47,1976.0200000000002,1976.0200000000002,,-6.937082921000012,0.43968792100000004,-0.032027860743196454,2026-02-12 16:15:00+00:00,2026-02-13 13:30:00+00:00,0 days 21:15:00,0.005755000000000001
-0.10990000000000001,39519,39560,1950.15,2008.65,2008.65,,-6.864222119999994,0.43507212000000006,-0.032027690177678654,2026-02-16 15:45:00+00:00,2026-02-17 02:00:00+00:00,0 days 10:15:00,0.00585
-0.171,39576,39616,1974.7,1972.7252999999998,1972.7252999999998,,-0.3373360262999913,0.6750097263000001,-0.0009989999999999995,2026-02-17 06:00:00+00:00,2026-02-17 16:00:00+00:00,0 days 10:00:00,0.0037200000000000006
-0.2205,39792,39803,1948.81,1946.8611899999999,1946.8611899999999,,-0.42928289239498274,0.858995497395,-0.000998999999999999,2026-02-19 12:00:00+00:00,2026-02-19 14:45:00+00:00,0 days 02:45:00,0.0028840000000000003
-0.2286,39891,39900,1945.2099999999998,1973.01,1973.01,,-7.250785092000011,0.895705092,-0.01630580759917963,2026-02-20 12:45:00+00:00,2026-02-20 15:00:00+00:00,0 days 02:15:00,0.0027800000000000004
0.3659,39975,40086,1971.88,1954.7100000000003,1954.7100000000003,,-7.719242280999987,1.4367392810000004,-0.010698718988985164,2026-02-21 09:45:00+00:00,2026-02-22 13:30:00+00:00,1 days 03:45:00,0.0017170000000000002
-0.1198,40199,40230,1847.53,1848.86,,,-0.6021615219999931,0.442827522,-0.002720599936130892,2026-02-23 17:45:00+00:00,2026-02-24 01:30:00+00:00,0 days 07:45:00,0.005178
0.1403,40529,40551,2051.78,2007.5900000000001,2007.5900000000001,,-6.769386611000009,0.5695296110000001,-0.023515859400130637,2026-02-27 04:15:00+00:00,2026-02-27 09:45:00+00:00,0 days 05:30:00,0.004419
