representative,aliases,mean_net_bp,minimum_block_net_bp,total_trades,2023H1_net_bp,2023H2_net_bp,2024H1_net_bp,2024H2_net_bp
feature:pre_range48_le0032,feature:pre_range48_le0032,72.9761503865675,45.93959599996986,144,53.809408886648505,48.88404491314509,143.27155174650656,45.93959599996986
threshold:0.0,threshold:0.0,71.6550876569182,-16.11106243251933,192,44.64053323260164,-16.11106243251933,182.16806577104848,75.92281405654201
feature:volume_ratio_ge1,feature:volume_ratio_ge1,69.67523905332216,4.878346081783269,131,4.878346081783269,26.45099100138653,176.7456464286245,70.62597270149432
threshold:0.3,threshold:0.3,66.86360018303539,-74.5916926011036,137,92.70857956373617,-74.5916926011036,158.47033077015357,90.86718299935542
slope:32,slope:32,63.892564926005434,17.256887143101512,142,17.256887143101512,42.60165787229679,126.59092219755892,69.12079249106448
feature:ret48_aligned,feature:ret48_aligned,62.48353447560522,8.006126260574684,151,16.446586427697508,8.006126260574684,184.81025750888577,40.67116770526291
feature:spread_converging8,feature:spread_converging8,57.924846168825795,-51.810885813069454,58,-10.618747420893245,-51.810885813069454,326.34673223889024,-32.21771432962435
trailing:trailing_10_5,trailing:trailing_10_5,54.13715181420502,-17.619993812259434,199,44.402989596022216,-17.619993812259434,138.0418657552233,51.723745717834
slope:4,slope:4,53.285576422913,-11.713218167332393,226,51.87284626994147,-11.713218167332393,59.16710081038586,113.81557677865707
slope:1,slope:1,51.78126172073474,-12.90628575478174,249,56.550994606723,-12.90628575478174,109.0479036088955,54.43243442210221
slope:2,slope:2,49.09283531473554,-16.158473935195136,251,46.713019053488054,-16.158473935195136,76.26535059267081,89.55144554797842
trailing:trailing_8_5,trailing:trailing_8_5,45.600920749244175,-13.03662050158016,203,45.12816985135936,-13.03662050158016,123.0917388100649,27.22039483713261
trailing:trailing_6_5,trailing:trailing_6_5,44.465215575433746,-13.03662050158016,205,48.59717542803027,-13.03662050158016,115.51836448246928,26.781942892815614
trailing:trailing_8_4,trailing:trailing_8_4,36.67038627650506,-21.39464088784424,220,42.19317000308788,-21.39464088784424,84.6646005957534,41.21841539502321
trailing:trailing_10_4,trailing:trailing_10_4,35.01138143203119,-22.832169839346765,214,22.918973737582252,-22.832169839346765,97.15333110886915,42.805390721020125
trailing:trailing_6_4,trailing:trailing_6_4,31.40863198727044,-23.4032856802978,222,31.5207266895972,-23.4032856802978,84.03809730777336,33.47898963200901
trailing:trailing_8_3,trailing:trailing_8_3,28.19653536842992,-16.19347788985077,228,41.97911851449606,-16.19347788985077,68.49666951880157,18.503831330272817
trailing:trailing_8_1,trailing:trailing_8_1,27.168355427025833,-18.320643946287184,231,36.497958885820275,-18.320643946287184,68.19452218943023,22.301584579140012
side:v9_short_only,side:v9_short_only,25.946608224575428,-40.288113329203064,99,-17.669269268243365,-40.288113329203064,98.77668853413805,62.96712696161009
trailing:trailing_8_2,trailing:trailing_8_2,24.72139030591575,-19.623188504352463,231,32.28413708087216,-19.623188504352463,60.30431257891676,25.920300068226556
trailing:trailing_10_3,trailing:trailing_10_3,24.565192559415532,-17.5528206010352,222,24.31732319462594,-17.5528206010352,75.74463431608754,15.751633327983848
trailing:trailing_10_2,trailing:trailing_10_2,24.560909821555367,-21.14847711628604,223,17.745467243971078,-21.14847711628604,80.03089415808644,21.61575500044999
trailing:trailing_10_1,trailing:trailing_10_1,23.771871207293927,-19.219591536244216,223,19.386181791526717,-19.219591536244216,71.8692730267064,23.05162154718681
trailing:trailing_6_3,trailing:trailing_6_3,21.22257489179978,-16.62131743724778,231,16.37481889261819,-16.62131743724778,68.24104991987114,16.895748191957566
trailing:trailing_4_3,trailing:trailing_4_3,17.546510556039994,-14.68300085850556,238,1.0415274318268055,-14.68300085850556,57.731908043602,26.09560760723673
trailing:trailing_6_2,trailing:trailing_6_2,9.82903615634526,-27.509264752730513,234,7.603251894578366,-27.509264752730513,43.66759387324966,15.554563610283534
trailing:trailing_6_1,trailing:trailing_6_1,3.1227580952810046,-27.179744124811975,235,2.210947501056893,-27.179744124811975,38.92864841613748,-1.4688194112583768
trailing:trailing_2.5_2,trailing:trailing_2.5_2,2.2683212282900302,-10.35809201964172,252,9.339893846829089,-10.35809201964172,11.600425556933253,-1.5089424709604995
trailing:trailing_4_2,trailing:trailing_4_2,0.8282167774773432,-18.999447649991925,241,6.124300272000727,-18.999447649991925,26.086563928187207,-9.898549440286637
trailing:trailing_4_1,trailing:trailing_4_1,-1.5016113869434426,-22.35008137819677,238,-6.942122526332749,-22.35008137819677,33.094700951169436,-9.808942594413688
trailing:trailing_2.5_1,trailing:trailing_2.5_1,-6.043851471785356,-24.661448925145468,255,-24.661448925145468,-11.043500642752337,22.92586354939172,-11.396319868635336
