threshold,variant,period,risk_percent,trades,gross_bp_per_trade,project_net_bp_per_trade,pine_net_bp_per_trade,win_rate,monetary_profit_factor,unit_profit_factor,return_percent,max_drawdown_15m_percent,max_drawdown_daily_percent,median_holding_bars,mean_leverage,max_leverage,long_trades,short_trades,period_end_exits,min_block_net_bp,weighted_net_bp,selected
0.3,threshold_0p3,2024H2,1.0,39,110.86718299935544,90.86718299935542,90.83099223086606,0.20512820512820512,2.4210792072477787,2.149165477402663,28.361572132927805,9.93679438563958,7.902557538320498,50.0,0.599145585003944,1.0789018968748927,18,21,0,-74.5916926011036,56.777949499321906,False
0.4,threshold_0p4,2023H1,1.0,25,109.42620259207048,89.42620259207047,89.24062363683058,0.16,1.124435647551852,1.8416227687771447,2.259899293190415,11.680516361471561,10.860114587458359,38.0,0.6740990723249051,1.218398932621748,13,12,1,-75.14354571042675,89.3785799991585,False
0.4,threshold_0p4,2023H2,1.0,32,-55.14354571042674,-75.14354571042675,-75.12799725365453,0.0,0.0,0.0,-18.810960828739564,19.201554759990337,18.914354061112547,87.5,0.9899303226991387,2.032059186189889,13,19,0,-75.14354571042675,89.3785799991585,False
0.4,threshold_0p4,2024H1,1.0,24,203.0623891793891,183.06238917938907,182.8594941266345,0.16666666666666666,5.00498717179789,4.09284674967558,39.13505915794595,8.27972210140311,7.020255223289606,51.5,0.616610935059848,1.1494378930817608,8,16,0,-75.14354571042675,89.3785799991585,False
0.4,threshold_0p4,2024H2,1.0,24,235.00799823075832,215.00799823075832,215.03798413533215,0.2916666666666667,3.680828731791321,3.390752722339572,34.214380884431314,10.406929090278627,9.264859576874818,86.0,0.5620027870183626,0.9507558812186657,10,14,1,-75.14354571042675,89.3785799991585,False
0.5,threshold_0p5,2023H1,1.0,24,-1.4557880297760375,-21.455788029776055,-21.561784232201003,0.08333333333333333,0.5128428504848057,0.7598355029637427,-6.799310703168726,18.899644587302177,16.5144269120434,76.5,0.6639707674141481,1.084956011730205,10,14,1,-86.59212979247147,107.1947950129033,False
0.5,threshold_0p5,2023H2,1.0,26,-66.59212979247144,-86.59212979247147,-86.56573657726196,0.0,0.0,0.0,-15.193720991103499,16.89526141516442,16.36725593892221,80.0,0.9072511896924195,1.95389486260454,10,16,0,-86.59212979247147,107.1947950129033,False
0.5,threshold_0p5,2024H1,1.0,22,383.26399489233944,363.2639948923394,362.89400292764776,0.18181818181818182,8.051807993714934,6.739670496169462,76.23951950373298,11.205812761435496,10.478704248077243,49.0,0.5971362072613565,1.149437893081761,7,15,0,-86.59212979247147,107.1947950129033,False
0.5,threshold_0p5,2024H2,1.0,21,245.88773028035345,225.88773028035345,225.93666740267872,0.23809523809523808,3.685705044713345,3.883546918077984,25.725049939579357,11.937991160450013,9.914061480347991,114.0,0.5491488760652279,0.9507558812186657,9,12,1,-86.59212979247147,107.1947950129033,False
0.6,threshold_0p6,2023H1,1.0,23,-1.953865770201035,-21.953865770201055,-22.06403572055752,0.08695652173913043,0.5163485130384033,0.7633959369630641,-6.707885387713198,18.820089107261182,16.432531650182803,83.0,0.6502733776226838,1.084956011730205,9,14,1,-79.87619984588291,127.40372338634621,False
0.6,threshold_0p6,2023H2,1.0,24,-59.8761998458829,-79.87619984588291,-79.85005859093548,0.0,0.0,0.0,-13.223854551947124,15.068171671953134,14.424648178438005,87.5,0.9238809190875367,1.95389486260454,9,15,0,-79.87619984588291,127.40372338634621,False
0.6,threshold_0p6,2024H1,1.0,18,474.843185485381,454.843185485381,454.3823414479187,0.16666666666666666,11.20479159917425,8.944696417248474,79.39959683834358,10.951579296141356,9.88742394129163,67.0,0.6064206815629082,1.1494378930817608,5,13,0,-79.87619984588291,127.40372338634621,False
0.6,threshold_0p6,2024H2,1.0,19,279.82648077537044,259.8264807753704,259.87146071063285,0.2631578947368421,4.310039279296217,4.399907027798007,27.231332884245816,11.93799116044999,9.914061480347968,114.0,0.5415143895894711,0.9507558812186657,8,11,1,-79.87619984588291,127.40372338634621,False
0.8,threshold_0p8,2023H1,1.0,18,-40.170360775474734,-60.170360775474755,-60.228747425054316,0.05555555555555555,0.35666699103981847,0.3442710394684633,-6.562002719603688,13.071751951954091,11.003583206647495,76.5,0.6118372083472312,0.9973511543134873,8,10,1,-77.9374277374328,121.60727310134783,False
0.8,threshold_0p8,2023H2,1.0,17,-57.937427737432785,-77.9374277374328,-77.90459642459736,0.0,0.0,0.0,-8.609626661381364,10.302538628692526,9.874271193136119,134.0,0.8394739594641815,1.3622928994082841,6,11,0,-77.9374277374328,121.60727310134783,False
0.8,threshold_0p8,2024H1,1.0,11,603.9016272241976,583.9016272241976,583.2226337698885,0.18181818181818182,13.482020429834328,12.209182032596221,46.39524308162242,9.216074353910875,6.672833433426762,80.0,0.562580901484046,0.8722520107238605,4,7,0,-77.9374277374328,121.60727310134783,False
0.8,threshold_0p8,2024H2,1.0,14,254.3943751506857,234.39437515068568,234.3692225647351,0.14285714285714285,2.6792232426780114,2.6144220059206473,16.621931891226403,9.46257912545626,8.639784569154118,78.5,0.46082781695945924,0.6838827043171327,4,10,0,-77.9374277374328,121.60727310134783,False
1.0,threshold_1p0,2023H1,1.0,10,49.74919762078178,29.749197620781764,29.649543626511882,0.1,1.4668698917177965,1.405586740655631,2.2013703058568534,11.002437070295423,8.885035855008782,83.5,0.5952132608156442,0.9973511543134873,5,5,1,-84.61431210296573,141.78542925373006,False
1.0,threshold_1p0,2023H2,1.0,13,-64.61431210296571,-84.61431210296573,-84.58560578727307,0.0,0.0,0.0,-7.348021925338255,9.064303813108642,8.630124330087586,84.0,0.8603632918222903,1.362292899408284,4,9,0,-84.61431210296573,141.78542925373006,False
1.0,threshold_1p0,2024H1,1.0,8,641.7569012521905,621.7569012521905,621.1901397172404,0.25,14.432734887295608,12.027210064364793,38.01092884817376,9.216074353910885,7.488662692776737,122.5,0.5884098456482199,0.7961616818378845,2,6,1,-84.61431210296573,141.78542925373006,False
1.0,threshold_1p0,2024H2,1.0,16,175.77212787740785,155.77212787740783,155.45868232880278,0.0625,2.004449869866721,2.460527684829556,8.035454303509827,12.708247363744595,10.030979218746838,38.0,0.4989509071756393,0.6838827043171327,5,11,0,-84.61431210296573,141.78542925373006,False
