period,path_membership,variant,signal_i,signal_time,direction,entry_time,exit_time,exit_reason,holding_bars,gross_return,project_net_return,trend_quality,trend_only_score,ewmac_only_score,donchian_only_score,dense_only_score
final_preholdout_2025_202602,v12f_only,v12f_ma6_w8_full_gate,119123,2025-05-28 12:15:00+00:00,long,2025-05-28 12:30:00+00:00,2025-05-28 14:15:00+00:00,stop,7,-0.016874192521579512,-0.018874192521579514,0.7212279035163313,0.7633154910670927,0.6575731696837372,0.8690578124504484,0.552877553313285
final_preholdout_2025_202602,v12f_only,v12f_ma6_w8_full_gate,119166,2025-05-28 23:00:00+00:00,long,2025-05-28 23:15:00+00:00,2025-05-29 12:30:00+00:00,stop,53,0.0009999999999998899,-0.0010000000000001102,0.7299819747158528,0.7289906534338456,0.5907810703108393,0.8672002365568519,0.733947259843881
final_preholdout_2025_202602,v12f_only,v12f_ma6_w8_full_gate,137704,2025-12-08 01:30:00+00:00,long,2025-12-08 01:45:00+00:00,2025-12-08 15:00:00+00:00,stop,53,0.0009999999999998899,-0.0010000000000001102,0.7004211895614294,0.7215950206869933,0.6113140065024248,0.8318760348715617,0.6157258650591736
final_preholdout_2025_202602,v12f_only,v12f_ma6_w8_full_gate,143265,2026-02-03 23:45:00+00:00,short,2026-02-04 00:00:00+00:00,2026-02-21 09:45:00+00:00,reverse,1671,0.11670742960554015,0.11470742960554015,0.5347131493249764,0.561764590824774,0.6427489176207563,0.4807802640287918,0.42650738332578597
final_preholdout_2025_202602,v15_only,v15e_soft_l2,143918,2026-02-10 19:00:00+00:00,short,2026-02-10 19:15:00+00:00,2026-02-11 14:00:00+00:00,stop,75,0.0010000000000000009,-0.0009999999999999992,0.6537574432422966,0.6849480523071422,0.7000340150006665,0.6698620896136178,0.5289950069829138
final_preholdout_2025_202602,v15_only,v15e_soft_l2,144098,2026-02-12 16:00:00+00:00,short,2026-02-12 16:15:00+00:00,2026-02-13 13:30:00+00:00,stop,85,-0.02999786288031614,-0.03199786288031614,0.7626925637676404,0.7816348706795369,0.6006522509191325,0.9626174904399412,0.6869233361200542
final_preholdout_2025_202602,v15_only,v15e_soft_l2,144480,2026-02-16 15:30:00+00:00,short,2026-02-16 15:45:00+00:00,2026-02-17 02:00:00+00:00,stop,41,-0.02999769248519346,-0.03199769248519346,0.7831137441211902,0.7748963048513062,0.6376230459559409,0.9121695637466716,0.8159835012007252
final_preholdout_2025_202602,v15_only,v15e_soft_l2,144537,2026-02-17 05:45:00+00:00,short,2026-02-17 06:00:00+00:00,2026-02-17 16:00:00+00:00,stop,40,0.0010000000000000009,-0.0009999999999999992,0.567199249987729,0.6272104893148868,0.5672941825174159,0.6871267961123576,0.32715429267909746
final_preholdout_2025_202602,v15_only,v15e_soft_l2,144753,2026-02-19 11:45:00+00:00,short,2026-02-19 12:00:00+00:00,2026-02-19 14:45:00+00:00,stop,11,0.0010000000000000009,-0.0009999999999999992,0.7747872272432258,0.7852964675516985,0.6732740531866827,0.8973188819167144,0.7327502660093347
final_preholdout_2025_202602,v15_only,v15e_soft_l2,144852,2026-02-20 12:30:00+00:00,short,2026-02-20 12:45:00+00:00,2026-02-20 15:00:00+00:00,stop,9,-0.014291516083096312,-0.016291516083096313,0.5883412341429178,0.5921516223656739,0.5609505733427367,0.6233526713886111,0.5730996812518934
