signal_i,signal_time,side,trend_ewmac_forecast,trend_donchian_forecast,trend_ensemble_forecast,trend_ensemble_horizon_dispersion,ewmac_only_score,donchian_only_score,trend_only_score,dense_only_score,trend_component_consensus,trend_quality,passes_soft_l0,passes_soft_l1,passes_soft_l2,passes_soft_l3,selected_profile,selected_gate_pass,outcome_label_included,training_eligible
8265,2022-03-30 17:45:00+00:00,long,0.18361191723159356,0.9580532401183102,0.5708325786749519,0.4008605262887784,0.5918059586157968,0.9790266200591551,0.7854162893374759,0.7279531049971719,1.0,0.7739236524694152,True,True,True,True,soft_l2,True,False,False
8295,2022-03-31 01:15:00+00:00,long,0.14704183215715003,0.5596152879752737,0.3533285600662119,0.2915970483361427,0.573520916078575,0.7798076439876369,0.676664280033106,0.8272617953287156,1.0,0.7067837830922279,True,True,True,True,soft_l2,True,False,False
8819,2022-04-05 12:15:00+00:00,long,0.47385129740783655,1.0,0.7369256487039183,0.2864730403102951,0.7369256487039183,1.0,0.8684628243519592,0.4017881442839075,1.0,0.775127888338349,True,True,True,True,soft_l2,True,False,False
9023,2022-04-07 15:15:00+00:00,short,-0.4779436145321263,-0.825574491644579,-0.6517590530883527,0.24422517626962867,0.7389718072660632,0.9127872458222894,0.8258795265441763,0.6633868140824531,1.0,0.7933809840518318,True,True,True,True,soft_l2,True,False,False
9314,2022-04-10 16:00:00+00:00,long,0.29146051397312905,0.5379308429627104,0.41469567846791966,0.1323231438885206,0.6457302569865645,0.7689654214813553,0.7073478392339598,0.6490929041910274,1.0,0.6956968522253734,True,True,True,True,soft_l2,True,False,False
9518,2022-04-12 19:00:00+00:00,short,-0.3443654785620282,-0.7887354810431715,-0.5665504798025999,0.3243665560520233,0.6721827392810141,0.8943677405215857,0.7832752399012999,0.6229940289518932,1.0,0.7512189977114185,True,True,True,True,soft_l2,True,False,False
9586,2022-04-13 12:00:00+00:00,short,-0.09287696048745032,-0.31775207544071377,-0.20531451796408207,0.23316029266466626,0.5464384802437252,0.6588760377203569,0.602657258982041,0.3250270142281985,0.6666666666666666,0.5471312100312725,True,True,False,False,soft_l2,False,False,False
9667,2022-04-14 08:15:00+00:00,long,0.4515676804847011,0.005311210146270747,0.22843944531548588,0.43288126071430516,0.7257838402423505,0.5026556050731353,0.6142197226577429,0.29647663002252383,0.6666666666666666,0.5506711041306991,True,True,True,False,soft_l2,True,False,False
9887,2022-04-16 15:15:00+00:00,short,-0.05747903409796323,-0.6104781115411843,-0.33397857281957366,0.2892565304788217,0.5287395170489816,0.8052390557705922,0.6669892864097868,0.7139208819141836,0.8333333333333334,0.6763756055106662,True,True,True,True,soft_l2,True,False,False
10162,2022-04-19 12:00:00+00:00,long,0.5192817393298136,0.3092559605359901,0.41426884993290175,0.333666434452936,0.7596408696649068,0.6546279802679951,0.7071344249664508,0.5702119423836023,0.8333333333333334,0.6797499284498811,True,True,True,True,soft_l2,True,False,False
11779,2022-05-06 08:15:00+00:00,short,-0.6637651731276665,-0.20158610362589366,-0.43267563837678,0.3735786391438896,0.8318825865638333,0.6007930518129468,0.71633781918839,0.6414351415383366,0.6666666666666666,0.7013572836583793,True,True,True,True,soft_l2,True,False,False
11850,2022-05-07 02:00:00+00:00,short,-0.48052003987747866,-0.12461010910995744,-0.302565074493718,0.2926409767916879,0.7402600199387394,0.5623050545549787,0.651282537246859,0.5296486657222106,1.0,0.6269557629419293,True,True,True,True,soft_l2,True,False,False
12256,2022-05-11 07:30:00+00:00,short,-0.28966964988628674,-0.7133392432047511,-0.501504446545519,0.2200819590123117,0.6448348249431434,0.8566696216023755,0.7507522232727595,0.8942692760441991,1.0,0.7794556338270475,True,True,True,True,soft_l2,True,False,False
13031,2022-05-19 09:15:00+00:00,short,-0.5135338977697691,-0.7068961846307292,-0.6102150412002492,0.26008273605416304,0.7567669488848845,0.8534480923153647,0.8051075206001246,0.6897242459763648,1.0,0.7820308656753726,True,True,True,True,soft_l2,True,False,False
14414,2022-06-02 19:00:00+00:00,short,-0.3480085287900194,-2.826240339462438e-05,-0.17401839559670704,0.26572317821773167,0.6740042643950097,0.5000141312016974,0.5870091977983535,0.5570191436426825,0.6666666666666666,0.5810111869672193,True,True,True,False,soft_l2,True,False,False
14581,2022-06-04 12:45:00+00:00,short,-0.35968040915148985,-0.43190964168806945,-0.3957950254197797,0.2711284985997853,0.6798402045757449,0.7159548208440347,0.6978975127098899,0.7836607757244006,1.0,0.7150501653127921,True,True,True,True,soft_l2,True,False,False
14931,2022-06-08 04:15:00+00:00,short,-0.1359961977073665,-0.2651155867379383,-0.20055589222265238,0.1641256746383543,0.5679980988536832,0.6325577933689691,0.6002779461113262,0.5434248686552134,0.8333333333333334,0.5889073306201037,True,True,True,False,soft_l2,True,False,False
14987,2022-06-08 18:15:00+00:00,short,-0.13692644432418516,-0.6689422737513402,-0.4029343590377627,0.3044442798824896,0.5684632221620926,0.8344711368756701,0.7014671795188814,0.7982656800668883,1.0,0.7208268796284827,True,True,True,True,soft_l2,True,False,False
15142,2022-06-10 09:00:00+00:00,short,-0.22848233661013384,-0.3118258436587895,-0.2701540901344617,0.3675518089399303,0.6142411683050669,0.6559129218293948,0.6350770450672308,0.7724519896498839,0.8333333333333334,0.6625520339837615,True,True,True,True,soft_l2,True,False,False
15536,2022-06-14 11:30:00+00:00,short,-0.4901140672058273,-0.4370439681758584,-0.4635790176908428,0.33284650145877576,0.7450570336029136,0.7185219840879292,0.7317895088454214,0.6642456896492126,1.0,0.7182807450061797,True,True,True,True,soft_l2,True,False,False
15884,2022-06-18 02:30:00+00:00,short,-0.37909765116390676,-0.553915930826772,-0.46650679099533937,0.17958943247158435,0.6895488255819534,0.776957965413386,0.7332533954976697,0.771258125176398,1.0,0.7408543414334154,True,True,True,True,soft_l2,True,False,False
16103,2022-06-20 09:15:00+00:00,long,0.6122379918758073,0.6213191526806802,0.6167785722782436,0.089949651734404,0.8061189959379036,0.8106595763403401,0.8083892861391218,0.566592109297601,1.0,0.7600298507708176,True,True,True,True,soft_l2,True,False,False
16167,2022-06-21 01:15:00+00:00,long,0.35316037202451317,0.24409557683120545,0.2986279744278593,0.12395703353320706,0.6765801860122566,0.6220477884156027,0.6493139872139296,0.7109287622446574,1.0,0.6616369422200752,True,True,True,True,soft_l2,True,False,False
16325,2022-06-22 16:45:00+00:00,short,-0.43142230356371275,-0.37431858983111677,-0.40287044669741473,0.11824420487257802,0.7157111517818564,0.6871592949155584,0.7014352233487073,0.7244429865416375,1.0,0.7060367759872934,True,True,True,True,soft_l2,True,False,False
16768,2022-06-27 07:30:00+00:00,long,0.016934366141279772,0.078041213267019,0.04748778970414939,0.20378079172964614,0.5084671830706399,0.5390206066335095,0.5237438948520747,0.5290693417759564,0.5,0.5248089842368511,True,True,False,False,soft_l2,False,False,False
16899,2022-06-28 16:15:00+00:00,short,-0.2584805099264746,-0.5326346241218788,-0.39555756702417666,0.2602061760456107,0.6292402549632373,0.7663173120609394,0.6977787835120883,0.6251360641441709,0.8333333333333334,0.683250239638505,True,True,True,True,soft_l2,True,False,False
17167,2022-07-01 11:15:00+00:00,short,-0.1584019043932853,-0.3745733390315326,-0.266487621712409,0.1713556803455585,0.5792009521966427,0.6872866695157663,0.6332438108562045,0.695527280406292,1.0,0.6457005047662221,True,True,True,True,soft_l2,True,False,False
17586,2022-07-05 20:00:00+00:00,long,0.36232460795938204,0.9185481185481184,0.6404363632537502,0.34553624977719544,0.681162303979691,0.9592740592740592,0.8202181816268751,0.5352160596150977,1.0,0.7632177572245197,True,True,True,True,soft_l2,True,False,False
17872,2022-07-08 19:30:00+00:00,long,0.2268009516198345,0.7518952996568515,0.489348125638343,0.3670421748204836,0.6134004758099172,0.8759476498284258,0.7446740628191715,0.7577524355951303,1.0,0.7472897373743633,True,True,True,True,soft_l2,True,False,False
18164,2022-07-11 20:30:00+00:00,short,-0.40818890455796114,-0.44779544771752144,-0.42799217613774126,0.18526748825449302,0.7040944522789806,0.7238977238587607,0.7139960880688706,0.5922007787494712,1.0,0.6896370262049907,True,True,True,True,soft_l2,True,False,False
18254,2022-07-12 19:00:00+00:00,short,-0.6273213013061685,-0.9826933532031328,-0.8050073272546506,0.24211701919390508,0.8136606506530842,0.9913466766015664,0.9025036636273254,0.6289774775478467,1.0,0.8477984264114297,True,True,True,True,soft_l2,True,False,False
18433,2022-07-14 15:45:00+00:00,long,0.40986193588188274,1.0,0.7049309679409413,0.31180811878931247,0.7049309679409413,1.0,0.8524654839704706,0.8400324980664496,1.0,0.8499788867896665,True,True,True,True,soft_l2,True,False,False
18989,2022-07-20 10:45:00+00:00,long,0.3896409792063267,0.6325424560853947,0.5110917176458607,0.14354804505129296,0.6948204896031633,0.8162712280426974,0.7555458588229303,0.8429159444992119,1.0,0.7730198759581867,True,True,True,True,soft_l2,True,False,False
19278,2022-07-23 11:00:00+00:00,short,-0.3036244545747995,-0.8445580201896034,-0.5740912373822015,0.30149099882106883,0.6518122272873997,0.9222790100948017,0.7870456186911008,0.7901363479265704,1.0,0.7876637645381948,True,True,True,True,soft_l2,True,False,False
20295,2022-08-03 01:15:00+00:00,short,-0.21582489071552416,-0.39648248857622176,-0.306153689645873,0.23124229477290736,0.6079124453577621,0.6982412442881109,0.6530768448229365,0.5360702762597824,0.8333333333333334,0.6296755311103057,True,True,True,True,soft_l2,True,False,False
20786,2022-08-08 04:00:00+00:00,long,0.26017855946174145,0.23969574695909493,0.2499371532104182,0.12980549175653205,0.6300892797308707,0.6198478734795475,0.6249685766052091,0.7130348216830997,1.0,0.6425818256207873,True,True,True,True,soft_l2,True,False,False
21219,2022-08-12 16:15:00+00:00,long,0.2514570673179741,0.6121008312880419,0.43177894930300803,0.2067998181027691,0.6257285336589871,0.8060504156440209,0.715889474651504,0.7549752041999733,1.0,0.7237066205611979,True,True,True,True,soft_l2,True,False,False
21452,2022-08-15 02:30:00+00:00,long,0.1222217228743117,0.830149293169507,0.47618550802190934,0.4834881029817988,0.5611108614371558,0.9150746465847535,0.7380927540109546,0.3651871814746237,0.8333333333333334,0.6635116395036885,True,True,True,True,soft_l2,True,False,False
21470,2022-08-15 07:00:00+00:00,short,-0.3929942459924373,-0.7777943302976823,-0.5853942881450598,0.2233838780982,0.6964971229962187,0.8888971651488411,0.7926971440725299,0.7913522503046295,1.0,0.7924281653189499,True,True,True,True,soft_l2,True,False,False
21825,2022-08-18 23:45:00+00:00,short,-0.09995834912487783,-0.6099550011377444,-0.35495667513131113,0.3693718565072802,0.5499791745624389,0.8049775005688722,0.6774783375656556,0.5096829975207657,0.8333333333333334,0.6439192695566776,True,True,True,True,soft_l2,True,False,False
22188,2022-08-22 18:30:00+00:00,short,-0.361876024518867,-0.6517515584408792,-0.506813791479873,0.2389408068622238,0.6809380122594335,0.8258757792204396,0.7534068957399365,0.5465996312078831,1.0,0.7120454428335258,True,True,True,True,soft_l2,True,False,False
22409,2022-08-25 01:45:00+00:00,long,0.3980522960046491,0.3860506772771588,0.392051486640904,0.19521515674143092,0.6990261480023245,0.6930253386385794,0.696025743320452,0.6572343483380484,1.0,0.6882674643239712,True,True,True,True,soft_l2,True,False,False
22559,2022-08-26 15:15:00+00:00,short,-0.3712391134033978,-1.0,-0.6856195567016989,0.314469215704682,0.6856195567016989,1.0,0.8428097783508495,0.6581396246264182,1.0,0.8058757476059633,True,True,True,True,soft_l2,True,False,False
22777,2022-08-28 21:45:00+00:00,short,-0.26518842171443296,-0.46211224002160484,-0.36365033086801885,0.331982112635234,0.6325942108572165,0.7310561200108024,0.6818251654340094,0.6812594292126836,1.0,0.6817120181897443,True,True,True,True,soft_l2,True,False,False
22983,2022-08-31 01:15:00+00:00,long,0.20918768090551,0.5753053810343893,0.3922465309699496,0.23390947024815387,0.604593840452755,0.7876526905171947,0.6961232654849748,0.7795918629599456,1.0,0.712816984979969,True,True,True,True,soft_l2,True,False,False
23120,2022-09-01 11:30:00+00:00,long,0.07655454766045021,0.7606961566352436,0.41862535214784685,0.4460762938019569,0.5382772738302251,0.8803480783176219,0.7093126760739235,0.3771384389350263,0.8333333333333334,0.6428778286461441,True,True,True,True,soft_l2,True,False,False
23134,2022-09-01 15:00:00+00:00,short,-0.21280438103844354,-0.5109610094075151,-0.3618826952229793,0.15889971269217376,0.6064021905192217,0.7554805047037576,0.6809413476114896,0.8273326118351471,1.0,0.7102196004562211,True,True,True,True,soft_l2,True,False,False
23806,2022-09-08 15:00:00+00:00,long,0.392479686153437,0.742532389994543,0.5675060380739899,0.21362394262927745,0.6962398430767185,0.8712661949972715,0.783753019036995,0.6881854744502944,1.0,0.764639510119655,True,True,True,True,soft_l2,True,False,False
23923,2022-09-09 20:15:00+00:00,long,0.5574958233242295,0.372916151239481,0.46520598728185525,0.2558349532787687,0.7787479116621148,0.6864580756197405,0.7326029936409276,0.29585475021988916,1.0,0.64525334495672,True,True,True,True,soft_l2,True,False,False
24192,2022-09-12 15:30:00+00:00,short,-0.2887321696044993,-0.8326283457033675,-0.5606802576539334,0.2888841196514479,0.6443660848022497,0.9163141728516837,0.7803401288269667,0.8455042371335049,1.0,0.7933729504882744,True,True,True,True,soft_l2,True,False,False
24385,2022-09-14 15:45:00+00:00,short,-0.35344827871625206,-0.06982287628928975,-0.21163557750277093,0.28696097519708014,0.676724139358126,0.5349114381446449,0.6058177887513855,0.4390360115494679,0.8333333333333334,0.572461433311002,True,True,True,False,soft_l2,True,False,False
24459,2022-09-15 10:15:00+00:00,short,-0.10080873365321431,-0.3385162943976574,-0.21966251402543582,0.150720721909589,0.5504043668266072,0.6692581471988287,0.6098312570127179,0.6808518448613388,1.0,0.6240353745824421,True,True,True,True,soft_l2,True,False,False
24637,2022-09-17 06:45:00+00:00,short,-0.6075354006798972,-0.4119986170881214,-0.5097670088840093,0.21307385819490343,0.8037677003399486,0.7059993085440607,0.7548835044420046,0.3825840027912356,1.0,0.6804236041118509,True,True,True,True,soft_l2,True,False,False
24971,2022-09-20 18:15:00+00:00,short,-0.19541288873137785,-0.574933779598803,-0.3851733341650904,0.19697486038515466,0.597706444365689,0.7874668897994015,0.6925866670825452,0.8555511737065121,1.0,0.7251795684073385,True,True,True,True,soft_l2,True,False,False
25076,2022-09-21 20:30:00+00:00,short,-0.15052915797722516,-0.7700000000000015,-0.4602645789886133,0.32109546341470907,0.5752645789886126,0.8850000000000007,0.7301322894943066,0.777383311193626,1.0,0.7395824938341706,True,True,True,True,soft_l2,True,False,False
25497,2022-09-26 05:45:00+00:00,short,-0.4055012303729216,-0.34107295486378425,-0.3732870926183529,0.21822473616085886,0.7027506151864608,0.6705364774318922,0.6866435463091765,0.7423001844376376,1.0,0.6977748739348687,True,True,True,True,soft_l2,True,False,False
25887,2022-09-30 07:15:00+00:00,long,0.21962484345656422,0.6737207685128963,0.4466728059847303,0.29287169489143783,0.6098124217282821,0.8368603842564482,0.7233364029923651,0.8362439067882754,1.0,0.7459179037515472,True,True,True,True,soft_l2,True,False,False
25918,2022-09-30 15:00:00+00:00,long,0.3145913746195143,1.0,0.6572956873097572,0.3465265852669993,0.6572956873097572,1.0,0.8286478436548785,0.870729028966666,1.0,0.837064080717236,True,True,True,True,soft_l2,True,False,False
26567,2022-10-07 09:15:00+00:00,long,-0.05883597545307715,0.33401738076985227,0.13759070265838755,0.36704981111796625,0.4705820122734614,0.6670086903849262,0.5687953513291938,0.38188123812603125,0.5,0.5314125286885613,True,True,False,False,soft_l2,False,False,False
26646,2022-10-08 05:00:00+00:00,short,-0.6364507712970129,-0.3513310888580751,-0.49389093007754403,0.31512686766814707,0.8182253856485064,0.6756655444290376,0.746945465038772,0.43286141315493887,0.8333333333333334,0.6841286546620055,True,True,True,True,soft_l2,True,False,False
26841,2022-10-10 05:45:00+00:00,short,-0.021656800095317248,-0.5314470368778021,-0.27655191848655974,0.30839786093595967,0.5108284000476586,0.7657235184389011,0.6382759592432798,0.3646471392576296,0.6666666666666666,0.5835501952461498,True,True,True,False,soft_l2,True,False,False
27469,2022-10-16 18:45:00+00:00,short,-0.13254572709086218,-0.02512589981629948,-0.07883581345358083,0.25582548450742154,0.566272863545431,0.5125629499081498,0.5394179067267905,0.6914181844524928,0.8333333333333334,0.5698179622719309,True,True,True,False,soft_l2,True,False,False
27908,2022-10-21 08:30:00+00:00,short,-0.3190785531134362,-0.7029502156242451,-0.5110143843688406,0.2602856473305962,0.6595392765567181,0.8514751078121225,0.7555071921844203,0.7228801575301471,1.0,0.7489817852535656,True,True,True,True,soft_l2,True,False,False
28242,2022-10-24 20:00:00+00:00,long,0.2638334996481653,0.35422562537195357,0.3090295625100595,0.22914297752522148,0.6319167498240826,0.6771128126859768,0.6545147812550297,0.742764622542503,0.8333333333333334,0.6721647495125245,True,True,True,True,soft_l2,True,False,False
28273,2022-10-25 03:45:00+00:00,long,0.2488094667909889,0.3907434880532712,0.31977647742213006,0.2047320344032946,0.6244047333954944,0.6953717440266356,0.6598882387110651,0.6863672763633879,1.0,0.6651840462415297,True,True,True,True,soft_l2,True,False,False
28475,2022-10-27 06:15:00+00:00,long,0.5082818445251568,0.3749809882596826,0.4416314163924197,0.25628968508451083,0.7541409222625783,0.6874904941298413,0.7208157081962099,0.4848406202684189,1.0,0.6736206906106518,True,True,True,True,soft_l2,True,False,False
28527,2022-10-27 19:15:00+00:00,long,0.31829713786203734,0.3384831838070943,0.3283901608345658,0.18070425889754124,0.6591485689310187,0.6692415919035472,0.6641950804172829,0.6765397902263388,1.0,0.6666640223790941,True,True,True,True,soft_l2,True,False,False
29057,2022-11-02 07:45:00+00:00,short,-0.27546175131080913,-0.588738568696957,-0.432100160003883,0.20630423302069925,0.6377308756554045,0.7943692843484784,0.7160500800019415,0.8584330267437935,1.0,0.7445266693503119,True,True,True,True,soft_l2,True,False,False
29106,2022-11-02 20:00:00+00:00,short,-0.2305949821248295,-1.0,-0.6152974910624147,0.38601249158618933,0.6152974910624147,1.0,0.8076487455312074,0.8328335209271247,1.0,0.8126857006103909,True,True,True,True,soft_l2,True,False,False
29172,2022-11-03 12:30:00+00:00,short,-0.42911406831931265,-0.6299562112724119,-0.5295351397958622,0.1241648120332923,0.7145570341596563,0.814978105636206,0.764767569897931,0.7348870483618741,1.0,0.7587914655907197,True,True,True,True,soft_l2,True,False,False
29597,2022-11-07 22:45:00+00:00,short,-0.4194933390206663,-0.5673495370370405,-0.49342143802885335,0.11322536082406526,0.7097466695103332,0.7836747685185202,0.7467107190144266,0.8115903073473101,1.0,0.7596866366810033,True,True,True,True,soft_l2,True,False,False
29677,2022-11-08 18:45:00+00:00,short,-0.5624824577249296,-0.9497652305908492,-0.7561238441578894,0.19693371582307775,0.7812412288624648,0.9748826152954246,0.8780619220789447,0.7905446527951479,1.0,0.8605584682221854,True,True,True,True,soft_l2,True,False,False
30006,2022-11-12 05:00:00+00:00,short,-0.14921295859565592,-0.6835235542178132,-0.4163682564067345,0.3720759554654327,0.5746064792978279,0.8417617771089065,0.7081841282033673,0.7913055380405959,0.8333333333333334,0.724808410170813,True,True,True,True,soft_l2,True,False,False
30483,2022-11-17 04:15:00+00:00,short,-0.5375263785998261,-0.5300900686718926,-0.5338082236358593,0.11400553758520196,0.768763189299913,0.7650450343359463,0.7669041118179296,0.5334298695447848,1.0,0.7202092633633007,True,True,True,True,soft_l2,True,False,False
