venue,symbol,asset,instrument,minutes,bars,status
binance,2ZUSDT,2Z,binance:2ZUSDT:segment0,240,2048,included
binance,42USDT,42,binance:42USDT:segment0,60,2278,included
binance,42USDT,42,binance:42USDT:segment0,240,569,included
binance,4USDT,4,binance:4USDT:segment0,60,8052,included
binance,4USDT,4,binance:4USDT:segment0,240,2013,included
binance,A2ZUSDT,A2Z,binance:A2ZUSDT:segment0,60,5689,included
binance,A2ZUSDT,A2Z,binance:A2ZUSDT:segment0,240,1422,included
binance,AAVEUSDT,AAVE,binance:AAVEUSDT:segment0,60,29448,included
binance,AAVEUSDT,AAVE,binance:AAVEUSDT:segment0,240,7362,included
binance,ACEUSDT,ACE,binance:ACEUSDT:segment0,60,23894,included
binance,ACEUSDT,ACE,binance:ACEUSDT:segment0,240,5973,included
binance,ACHUSDT,ACH,binance:ACHUSDT:segment0,60,29448,included
binance,ACHUSDT,ACH,binance:ACHUSDT:segment0,240,7362,included
binance,ACTUSDT,ACT,binance:ACTUSDT:segment0,60,15995,included
binance,ACTUSDT,ACT,binance:ACTUSDT:segment0,240,3998,included
binance,ACUUSDT,ACU,binance:ACUUSDT:segment0,60,5531,included
binance,ACUUSDT,ACU,binance:ACUUSDT:segment0,240,1382,included
binance,ACXUSDT,ACX,binance:ACXUSDT:segment0,60,14610,included
binance,ACXUSDT,ACX,binance:ACXUSDT:segment0,240,3652,included
binance,ADAUSDT,ADA,binance:ADAUSDT:segment0,60,29448,included
binance,ADAUSDT,ADA,binance:ADAUSDT:segment0,240,7362,included
binance,AEROUSDT,AERO,binance:AEROUSDT:segment0,60,15441,included
binance,AEROUSDT,AERO,binance:AEROUSDT:segment0,240,3860,included
binance,AEVOUSDT,AEVO,binance:AEVOUSDT:segment0,60,21826,included
binance,AEVOUSDT,AEVO,binance:AEVOUSDT:segment0,240,5456,included
binance,AGIXUSDT,AGIX,binance:AGIXUSDT:segment0,60,10113,included
binance,AGIXUSDT,AGIX,binance:AGIXUSDT:segment0,240,2528,included
binance,AGLDUSDT,AGLD,binance:AGLDUSDT:segment0,60,27309,included
binance,AGLDUSDT,AGLD,binance:AGLDUSDT:segment0,240,6827,included
binance,AGTUSDT,AGT,binance:AGTUSDT:segment0,60,11437,included
binance,AGTUSDT,AGT,binance:AGTUSDT:segment0,240,2859,included
binance,AI16ZUSDT,AI16Z,binance:AI16ZUSDT:segment0,60,7387,included
binance,AI16ZUSDT,AI16Z,binance:AI16ZUSDT:segment0,240,1846,included
binance,AIAUSDT,AIA,binance:AIAUSDT:segment1,60,5556,included
binance,AIAUSDT,AIA,binance:AIAUSDT:segment1,240,1389,included
binance,AIGENSYNUSDT,AIGENSYN,binance:AIGENSYNUSDT:segment0,60,3177,included
binance,AIGENSYNUSDT,AIGENSYN,binance:AIGENSYNUSDT:segment0,240,794,included
binance,AINUSDT,AIN,binance:AINUSDT:segment0,60,10213,included
binance,AINUSDT,AIN,binance:AINUSDT:segment0,240,2553,included
binance,AIOTUSDT,AIOT,binance:AIOTUSDT:segment0,60,11915,included
binance,AIOTUSDT,AIOT,binance:AIOTUSDT:segment0,240,2978,included
binance,AIOUSDT,AIO,binance:AIOUSDT:segment0,60,9396,included
binance,AIOUSDT,AIO,binance:AIOUSDT:segment0,240,2349,included
binance,AIUSDT,AI,binance:AIUSDT:segment0,60,20181,included
binance,AIUSDT,AI,binance:AIUSDT:segment0,240,5044,included
binance,AIXBTUSDT,AIXBT,binance:AIXBTUSDT:segment0,60,15053,included
binance,AIXBTUSDT,AIXBT,binance:AIXBTUSDT:segment0,240,3763,included
binance,AKEUSDT,AKE,binance:AKEUSDT:segment0,60,8339,included
binance,AKEUSDT,AKE,binance:AKEUSDT:segment0,240,2084,included
binance,AKTUSDT,AKT,binance:AKTUSDT:segment0,60,15828,included
binance,AKTUSDT,AKT,binance:AKTUSDT:segment0,240,3957,included
binance,ALCHUSDT,ALCH,binance:ALCHUSDT:segment0,60,14628,included
binance,ALCHUSDT,ALCH,binance:ALCHUSDT:segment0,240,3657,included
binance,ALGOUSDT,ALGO,binance:ALGOUSDT:segment0,60,29448,included
binance,ALGOUSDT,ALGO,binance:ALGOUSDT:segment0,240,7362,included
binance,ALICEUSDT,ALICE,binance:ALICEUSDT:segment0,60,29448,included
binance,ALICEUSDT,ALICE,binance:ALICEUSDT:segment0,240,7362,included
binance,ALLOUSDT,ALLO,binance:ALLOUSDT:segment0,60,7234,included
binance,ALLOUSDT,ALLO,binance:ALLOUSDT:segment0,240,1808,included
binance,ALPACAUSDT,ALPACA,binance:ALPACAUSDT:segment0,60,6022,included
binance,ALPACAUSDT,ALPACA,binance:ALPACAUSDT:segment0,240,1505,included
binance,ALPHAUSDT,ALPHA,binance:ALPHAUSDT:segment0,60,21033,included
binance,ALPHAUSDT,ALPHA,binance:ALPHAUSDT:segment0,240,5258,included
binance,ALPINEUSDT,ALPINE,binance:ALPINEUSDT:segment0,60,11774,included
binance,ALPINEUSDT,ALPINE,binance:ALPINEUSDT:segment0,240,2943,included
binance,ALTUSDT,ALT,binance:ALTUSDT:segment0,60,22978,included
binance,ALTUSDT,ALT,binance:ALTUSDT:segment0,240,5744,included
binance,AMBUSDT,AMB,binance:AMBUSDT:segment0,60,15897,included
binance,AMBUSDT,AMB,binance:AMBUSDT:segment0,240,3974,included
binance,ANIMEUSDT,ANIME,binance:ANIMEUSDT:segment0,60,14239,included
binance,ANIMEUSDT,ANIME,binance:ANIMEUSDT:segment0,240,3559,included
binance,ANKRUSDT,ANKR,binance:ANKRUSDT:segment0,60,29448,included
binance,ANKRUSDT,ANKR,binance:ANKRUSDT:segment0,240,7362,included
binance,APEUSDT,APE,binance:APEUSDT:segment0,60,29448,included
binance,APEUSDT,APE,binance:APEUSDT:segment0,240,7362,included
binance,API3USDT,API3,binance:API3USDT:segment0,60,29448,included
binance,API3USDT,API3,binance:API3USDT:segment0,240,7362,included
binance,APRUSDT,APR,binance:APRUSDT:segment0,60,7693,included
binance,APRUSDT,APR,binance:APRUSDT:segment0,240,1923,included
binance,APTUSDT,APT,binance:APTUSDT:segment0,60,29448,included
binance,APTUSDT,APT,binance:APTUSDT:segment0,240,7362,included
binance,ARBUSDT,ARB,binance:ARBUSDT:segment0,60,29448,included
binance,ARBUSDT,ARB,binance:ARBUSDT:segment0,240,7362,included
binance,ARCUSDT,ARC,binance:ARCUSDT:segment0,60,14387,included
binance,ARCUSDT,ARC,binance:ARCUSDT:segment0,240,3596,included
binance,ARIAUSDT,ARIA,binance:ARIAUSDT:segment0,60,8893,included
binance,ARIAUSDT,ARIA,binance:ARIAUSDT:segment0,240,2223,included
binance,ARKMUSDT,ARKM,binance:ARKMUSDT:segment0,60,27333,included
binance,ARKMUSDT,ARKM,binance:ARKMUSDT:segment0,240,6833,included
binance,ARKUSDT,ARK,binance:ARKUSDT:segment0,60,26048,included
binance,ARKUSDT,ARK,binance:ARKUSDT:segment0,240,6512,included
binance,ARPAUSDT,ARPA,binance:ARPAUSDT:segment0,60,29448,included
binance,ARPAUSDT,ARPA,binance:ARPAUSDT:segment0,240,7362,included
binance,ARUSDT,AR,binance:ARUSDT:segment0,60,29448,included
binance,ARUSDT,AR,binance:ARUSDT:segment0,240,7362,included
binance,ARXUSDT,ARX,binance:ARXUSDT:segment0,60,1868,included
binance,ARXUSDT,ARX,binance:ARXUSDT:segment0,240,467,included
binance,ASRUSDT,ASR,binance:ASRUSDT:segment0,60,11774,included
binance,ASRUSDT,ASR,binance:ASRUSDT:segment0,240,2943,included
binance,ASTERUSDT,ASTER,binance:ASTERUSDT:segment0,60,8508,included
binance,ASTERUSDT,ASTER,binance:ASTERUSDT:segment0,240,2127,included
binance,ASTRUSDT,ASTR,binance:ASTRUSDT:segment0,60,29448,included
binance,ASTRUSDT,ASTR,binance:ASTRUSDT:segment0,240,7362,included
binance,ATAUSDT,ATA,binance:ATAUSDT:segment0,60,26745,included
binance,ATAUSDT,ATA,binance:ATAUSDT:segment0,240,6686,included
binance,ATHUSDT,ATH,binance:ATHUSDT:segment0,60,12584,included
binance,ATHUSDT,ATH,binance:ATHUSDT:segment0,240,3146,included
binance,ATOMUSDT,ATOM,binance:ATOMUSDT:segment0,60,29448,included
binance,ATOMUSDT,ATOM,binance:ATOMUSDT:segment0,240,7362,included
binance,ATUSDT,AT,binance:ATUSDT:segment0,60,7548,included
binance,ATUSDT,AT,binance:ATUSDT:segment0,240,1887,included
binance,AUCTIONUSDT,AUCTION,binance:AUCTIONUSDT:segment0,60,23963,included
binance,AUCTIONUSDT,AUCTION,binance:AUCTIONUSDT:segment0,240,5990,included
binance,AUSDT,A,binance:AUSDT:segment0,60,11248,included
binance,AUSDT,A,binance:AUSDT:segment0,240,2812,included
binance,AVAAIUSDT,AVAAI,binance:AVAAIUSDT:segment0,60,14386,included
binance,AVAAIUSDT,AVAAI,binance:AVAAIUSDT:segment0,240,3596,included
binance,AVAUSDT,AVA,binance:AVAUSDT:segment0,60,15227,included
binance,AVAUSDT,AVA,binance:AVAUSDT:segment0,240,3806,included
binance,AVAXUSDT,AVAX,binance:AVAXUSDT:segment0,60,29448,included
binance,AVAXUSDT,AVAX,binance:AVAXUSDT:segment0,240,7362,included
binance,AVNTUSDT,AVNT,binance:AVNTUSDT:segment0,60,8745,included
binance,AVNTUSDT,AVNT,binance:AVNTUSDT:segment0,240,2186,included
binance,AWEUSDT,AWE,binance:AWEUSDT:segment0,60,11416,included
binance,AWEUSDT,AWE,binance:AWEUSDT:segment0,240,2854,included
binance,AXLUSDT,AXL,binance:AXLUSDT:segment0,60,22112,included
binance,AXLUSDT,AXL,binance:AXLUSDT:segment0,240,5528,included
binance,AXSUSDT,AXS,binance:AXSUSDT:segment0,60,29448,included
binance,AXSUSDT,AXS,binance:AXSUSDT:segment0,240,7362,included
binance,AZTECUSDT,AZTEC,binance:AZTECUSDT:segment0,60,5035,included
binance,AZTECUSDT,AZTEC,binance:AZTECUSDT:segment0,240,1258,included
binance,B2USDT,B2,binance:B2USDT:segment0,60,11770,included
binance,B2USDT,B2,binance:B2USDT:segment0,240,2942,included
binance,B3USDT,B3,binance:B3USDT:segment0,60,10533,included
binance,B3USDT,B3,binance:B3USDT:segment0,240,2633,included
binance,BABYUSDT,BABY,binance:BABYUSDT:segment0,60,12514,included
binance,BABYUSDT,BABY,binance:BABYUSDT:segment0,240,3128,included
binance,BADGERUSDT,BADGER,binance:BADGERUSDT:segment0,60,12524,included
binance,BADGERUSDT,BADGER,binance:BADGERUSDT:segment0,240,3130,included
binance,BAKEUSDT,BAKE,binance:BAKEUSDT:segment0,60,21273,included
binance,BAKEUSDT,BAKE,binance:BAKEUSDT:segment0,240,5318,included
binance,BALUSDT,BAL,binance:BALUSDT:segment0,60,17145,included
binance,BALUSDT,BAL,binance:BALUSDT:segment0,240,4286,included
binance,BANANAS31USDT,BANANAS31,binance:BANANAS31USDT:segment0,60,12854,included
binance,BANANAS31USDT,BANANAS31,binance:BANANAS31USDT:segment0,240,3213,included
binance,BANANAUSDT,BANANA,binance:BANANAUSDT:segment0,60,18118,included
binance,BANANAUSDT,BANANA,binance:BANANAUSDT:segment0,240,4529,included
binance,BANDUSDT,BAND,binance:BANDUSDT:segment0,60,29448,included
binance,BANDUSDT,BAND,binance:BANDUSDT:segment0,240,7362,included
binance,BANKUSDT,BANK,binance:BANKUSDT:segment0,60,12197,included
binance,BANKUSDT,BANK,binance:BANKUSDT:segment0,240,3049,included
binance,BANUSDT,BAN,binance:BANUSDT:segment0,60,15828,included
binance,BANUSDT,BAN,binance:BANUSDT:segment0,240,3957,included
binance,BARDUSDT,BARD,binance:BARDUSDT:segment0,60,8533,included
binance,BARDUSDT,BARD,binance:BARDUSDT:segment0,240,2133,included
binance,BASEDUSDT,BASED,binance:BASEDUSDT:segment0,60,3902,included
binance,BASEDUSDT,BASED,binance:BASEDUSDT:segment0,240,975,included
binance,BASUSDT,BAS,binance:BASUSDT:segment0,60,9082,included
binance,BASUSDT,BAS,binance:BASUSDT:segment0,240,2270,included
binance,BATUSDT,BAT,binance:BATUSDT:segment0,60,29448,included
binance,BATUSDT,BAT,binance:BATUSDT:segment0,240,7362,included
binance,BBUSDT,BB,binance:BBUSDT:segment0,60,20363,included
binance,BBUSDT,BB,binance:BBUSDT:segment0,240,5090,included
binance,BCHUSDT,BCH,binance:BCHUSDT:segment0,60,29448,included
binance,BCHUSDT,BCH,binance:BCHUSDT:segment0,240,7362,included
binance,BEAMXUSDT,BEAMX,binance:BEAMXUSDT:segment0,60,24634,included
binance,BEAMXUSDT,BEAMX,binance:BEAMXUSDT:segment0,240,6158,included
binance,BEATUSDT,BEAT,binance:BEATUSDT:segment0,60,7211,included
binance,BEATUSDT,BEAT,binance:BEATUSDT:segment0,240,1802,included
binance,BELUSDT,BEL,binance:BELUSDT:segment0,60,29448,included
binance,BELUSDT,BEL,binance:BELUSDT:segment0,240,7362,included
binance,BERAUSDT,BERA,binance:BERAUSDT:segment0,60,13905,included
binance,BERAUSDT,BERA,binance:BERAUSDT:segment0,240,3476,included
binance,BICOUSDT,BICO,binance:BICOUSDT:segment0,60,25835,included
binance,BICOUSDT,BICO,binance:BICOUSDT:segment0,240,6458,included
binance,BIDUSDT,BID,binance:BIDUSDT:segment0,60,7367,included
binance,BIDUSDT,BID,binance:BIDUSDT:segment0,240,1841,included
binance,BIGTIMEUSDT,BIGTIME,binance:BIGTIMEUSDT:segment0,60,25497,included
binance,BIGTIMEUSDT,BIGTIME,binance:BIGTIMEUSDT:segment0,240,6374,included
binance,BILLUSDT,BILL,binance:BILLUSDT:segment0,60,2992,included
binance,BILLUSDT,BILL,binance:BILLUSDT:segment0,240,748,included
binance,BIOUSDT,BIO,binance:BIOUSDT:segment0,60,14723,included
binance,BIOUSDT,BIO,binance:BIOUSDT:segment0,240,3680,included
binance,BIRBUSDT,BIRB,binance:BIRBUSDT:segment0,60,5346,included
binance,BIRBUSDT,BIRB,binance:BIRBUSDT:segment0,240,1336,included
binance,BLESSUSDT,BLESS,binance:BLESSUSDT:segment0,60,8414,included
binance,BLESSUSDT,BLESS,binance:BLESSUSDT:segment0,240,2103,included
binance,BLUAIUSDT,BLUAI,binance:BLUAIUSDT:segment0,60,7740,included
binance,BLUAIUSDT,BLUAI,binance:BLUAIUSDT:segment0,240,1935,included
binance,BLURUSDT,BLUR,binance:BLURUSDT:segment0,60,29448,included
binance,BLURUSDT,BLUR,binance:BLURUSDT:segment0,240,7362,included
binance,BLZUSDT,BLZ,binance:BLZUSDT:segment0,60,14457,included
binance,BLZUSDT,BLZ,binance:BLZUSDT:segment0,240,3614,included
binance,BMTUSDT,BMT,binance:BMTUSDT:segment0,60,12970,included
binance,BMTUSDT,BMT,binance:BMTUSDT:segment0,240,3242,included
binance,BNBUSDT,BNB,binance:BNBUSDT:segment0,60,29448,included
binance,BNBUSDT,BNB,binance:BNBUSDT:segment0,240,7362,included
binance,BNTUSDT,BNT,binance:BNTUSDT:segment0,60,27012,included
binance,BNTUSDT,BNT,binance:BNTUSDT:segment0,240,6753,included
binance,BNXUSDT,BNX,binance:BNXUSDT:segment0,60,16473,included
binance,BNXUSDT,BNX,binance:BNXUSDT:segment0,240,4118,included
binance,BOBUSDT,BOB,binance:BOBUSDT:segment0,60,3790,included
binance,BOBUSDT,BOB,binance:BOBUSDT:segment0,240,947,included
binance,BOMEUSDT,BOME,binance:BOMEUSDT:segment0,60,21755,included
binance,BOMEUSDT,BOME,binance:BOMEUSDT:segment0,240,5438,included
binance,BONDUSDT,BOND,binance:BONDUSDT:segment0,60,10266,included
binance,BONDUSDT,BOND,binance:BONDUSDT:segment0,240,2566,included
binance,BRETTUSDT,BRETT,binance:BRETTUSDT:segment0,60,17989,included
binance,BRETTUSDT,BRETT,binance:BRETTUSDT:segment0,240,4497,included
binance,BREVUSDT,BREV,binance:BREVUSDT:segment0,60,6061,included
binance,BREVUSDT,BREV,binance:BREVUSDT:segment0,240,1515,included
binance,BROCCOLI714USDT,BROCCOLI714,binance:BROCCOLI714USDT:segment0,60,12879,included
binance,BROCCOLI714USDT,BROCCOLI714,binance:BROCCOLI714USDT:segment0,240,3219,included
binance,BROCCOLIF3BUSDT,BROCCOLIF3B,binance:BROCCOLIF3BUSDT:segment0,60,12878,included
binance,BROCCOLIF3BUSDT,BROCCOLIF3B,binance:BROCCOLIF3BUSDT:segment0,240,3219,included
binance,BRUSDT,BR,binance:BRUSDT:segment0,60,12875,included
binance,BRUSDT,BR,binance:BRUSDT:segment0,240,3218,included
binance,BSBUSDT,BSB,binance:BSBUSDT:segment0,60,4020,included
binance,BSBUSDT,BSB,binance:BSBUSDT:segment0,240,1005,included
binance,BSVUSDT,BSV,binance:BSVUSDT:segment0,60,25307,included
binance,BSVUSDT,BSV,binance:BSVUSDT:segment0,240,6326,included
binance,BSWUSDT,BSW,binance:BSWUSDT:segment0,60,9003,included
binance,BSWUSDT,BSW,binance:BSWUSDT:segment0,240,2250,included
binance,BTCUSDT,BTC,binance:BTCUSDT:segment0,60,29448,included
binance,BTCUSDT,BTC,binance:BTCUSDT:segment0,240,7362,included
binance,BTRUSDT,BTR,binance:BTRUSDT:segment0,60,9061,included
binance,BTRUSDT,BTR,binance:BTRUSDT:segment0,240,2265,included
binance,BTWUSDT,BTW,binance:BTWUSDT:segment0,60,2314,included
binance,BTWUSDT,BTW,binance:BTWUSDT:segment0,240,578,included
binance,BULLAUSDT,BULLA,binance:BULLAUSDT:segment0,60,10359,included
binance,BULLAUSDT,BULLA,binance:BULLAUSDT:segment0,240,2589,included
binance,BUSDT,B,binance:BUSDT:segment0,60,11383,included
binance,BUSDT,B,binance:BUSDT:segment0,240,2845,included
binance,C98USDT,C98,binance:C98USDT:segment0,60,29448,included
binance,C98USDT,C98,binance:C98USDT:segment0,240,7362,included
binance,CAKEUSDT,CAKE,binance:CAKEUSDT:segment0,60,24995,included
binance,CAKEUSDT,CAKE,binance:CAKEUSDT:segment0,240,6248,included
binance,CAPUSDT,CAP,binance:CAPUSDT:segment0,60,1765,included
binance,CAPUSDT,CAP,binance:CAPUSDT:segment0,240,441,included
binance,CARVUSDT,CARV,binance:CARVUSDT:segment0,60,9535,included
binance,CARVUSDT,CARV,binance:CARVUSDT:segment0,240,2383,included
binance,CATIUSDT,CATI,binance:CATIUSDT:segment0,60,17244,included
binance,CATIUSDT,CATI,binance:CATIUSDT:segment0,240,4311,included
binance,CCUSDT,CC,binance:CCUSDT:segment0,60,7500,included
binance,CCUSDT,CC,binance:CCUSDT:segment0,240,1875,included
binance,CELOUSDT,CELO,binance:CELOUSDT:segment0,60,29448,included
binance,CELOUSDT,CELO,binance:CELOUSDT:segment0,240,7362,included
binance,CELRUSDT,CELR,binance:CELRUSDT:segment0,60,29448,included
binance,CELRUSDT,CELR,binance:CELRUSDT:segment0,240,7362,included
binance,CETUSUSDT,CETUS,binance:CETUSUSDT:segment0,60,16114,included
binance,CETUSUSDT,CETUS,binance:CETUSUSDT:segment0,240,4028,included
binance,CFGUSDT,CFG,binance:CFGUSDT:segment0,60,4235,included
binance,CFGUSDT,CFG,binance:CFGUSDT:segment0,240,1058,included
binance,CFXUSDT,CFX,binance:CFXUSDT:segment0,60,29448,included
binance,CFXUSDT,CFX,binance:CFXUSDT:segment0,240,7362,included
binance,CGPTUSDT,CGPT,binance:CGPTUSDT:segment0,60,15052,included
binance,CGPTUSDT,CGPT,binance:CGPTUSDT:segment0,240,3763,included
binance,CHESSUSDT,CHESS,binance:CHESSUSDT:segment0,60,12625,included
binance,CHESSUSDT,CHESS,binance:CHESSUSDT:segment0,240,3156,included
binance,CHILLGUYUSDT,CHILLGUY,binance:CHILLGUYUSDT:segment0,60,15609,included
binance,CHILLGUYUSDT,CHILLGUY,binance:CHILLGUYUSDT:segment0,240,3902,included
binance,CHIPUSDT,CHIP,binance:CHIPUSDT:segment0,60,3496,included
binance,CHIPUSDT,CHIP,binance:CHIPUSDT:segment0,240,874,included
binance,CHRUSDT,CHR,binance:CHRUSDT:segment0,60,29448,included
binance,CHRUSDT,CHR,binance:CHRUSDT:segment0,240,7362,included
binance,CHZUSDT,CHZ,binance:CHZUSDT:segment0,60,29448,included
binance,CHZUSDT,CHZ,binance:CHZUSDT:segment0,240,7362,included
binance,CKBUSDT,CKB,binance:CKBUSDT:segment0,60,29448,included
binance,CKBUSDT,CKB,binance:CKBUSDT:segment0,240,7362,included
binance,CLANKERUSDT,CLANKER,binance:CLANKERUSDT:segment0,60,7212,included
binance,CLANKERUSDT,CLANKER,binance:CLANKERUSDT:segment0,240,1803,included
binance,CLOUSDT,CLO,binance:CLOUSDT:segment0,60,7908,included
binance,CLOUSDT,CLO,binance:CLOUSDT:segment0,240,1977,included
binance,COAIUSDT,COAI,binance:COAIUSDT:segment0,60,8368,included
binance,COAIUSDT,COAI,binance:COAIUSDT:segment0,240,2092,included
binance,COLLECTUSDT,COLLECT,binance:COLLECTUSDT:segment0,60,6034,included
binance,COLLECTUSDT,COLLECT,binance:COLLECTUSDT:segment0,240,1508,included
binance,COMBOUSDT,COMBO,binance:COMBOUSDT:segment0,60,15933,included
binance,COMBOUSDT,COMBO,binance:COMBOUSDT:segment0,240,3983,included
binance,COMMONUSDT,COMMON,binance:COMMONUSDT:segment0,60,2276,included
binance,COMMONUSDT,COMMON,binance:COMMONUSDT:segment0,240,568,included
binance,COMPUSDT,COMP,binance:COMPUSDT:segment0,60,29448,included
binance,COMPUSDT,COMP,binance:COMPUSDT:segment0,240,7362,included
binance,COOKIEUSDT,COOKIE,binance:COOKIEUSDT:segment0,60,14628,included
binance,COOKIEUSDT,COOKIE,binance:COOKIEUSDT:segment0,240,3657,included
binance,COSUSDT,COS,binance:COSUSDT:segment0,60,14852,included
binance,COSUSDT,COS,binance:COSUSDT:segment0,240,3712,included
binance,COTIUSDT,COTI,binance:COTIUSDT:segment0,60,29448,included
binance,COTIUSDT,COTI,binance:COTIUSDT:segment0,240,7362,included
binance,COWUSDT,COW,binance:COWUSDT:segment0,60,16114,included
binance,COWUSDT,COW,binance:COWUSDT:segment0,240,4028,included
binance,CROSSUSDT,CROSS,binance:CROSSUSDT:segment0,60,10213,included
binance,CROSSUSDT,CROSS,binance:CROSSUSDT:segment0,240,2553,included
binance,CRVUSDT,CRV,binance:CRVUSDT:segment0,60,29448,included
binance,CRVUSDT,CRV,binance:CRVUSDT:segment0,240,7362,included
binance,CTKUSDT,CTK,binance:CTKUSDT:segment1,60,11917,included
binance,CTKUSDT,CTK,binance:CTKUSDT:segment1,240,2979,included
binance,CTRUSDT,CTR,binance:CTRUSDT:segment0,60,2487,included
binance,CTRUSDT,CTR,binance:CTRUSDT:segment0,240,621,included
binance,CTSIUSDT,CTSI,binance:CTSIUSDT:segment0,60,29448,included
binance,CTSIUSDT,CTSI,binance:CTSIUSDT:segment0,240,7362,included
binance,CUDISUSDT,CUDIS,binance:CUDISUSDT:segment0,60,3909,included
binance,CUDISUSDT,CUDIS,binance:CUDISUSDT:segment0,240,977,included
binance,CUSDT,C,binance:CUSDT:segment0,60,10095,included
binance,CUSDT,C,binance:CUSDT:segment0,240,2523,included
binance,CVCUSDT,CVC,binance:CVCUSDT:segment1,60,11535,included
binance,CVCUSDT,CVC,binance:CVCUSDT:segment1,240,2883,included
binance,CVXUSDT,CVX,binance:CVXUSDT:segment1,60,9900,included
binance,CVXUSDT,CVX,binance:CVXUSDT:segment1,240,2475,included
binance,CYBERUSDT,CYBER,binance:CYBERUSDT:segment0,60,26748,included
binance,CYBERUSDT,CYBER,binance:CYBERUSDT:segment0,240,6687,included
binance,CYSUSDT,CYS,binance:CYSUSDT:segment0,60,6493,included
binance,CYSUSDT,CYS,binance:CYSUSDT:segment0,240,1623,included
binance,DAMUSDT,DAM,binance:DAMUSDT:segment0,60,6092,included
binance,DAMUSDT,DAM,binance:DAMUSDT:segment0,240,1522,included
binance,DARUSDT,DAR,binance:DARUSDT:segment0,60,14529,included
binance,DARUSDT,DAR,binance:DARUSDT:segment0,240,3632,included
binance,DASHUSDT,DASH,binance:DASHUSDT:segment0,60,29448,included
binance,DASHUSDT,DASH,binance:DASHUSDT:segment0,240,7362,included
binance,DATAIPUSDT,DATAIP,binance:DATAIPUSDT:segment0,60,1626,included
binance,DATAIPUSDT,DATAIP,binance:DATAIPUSDT:segment0,240,406,included
binance,DEEPUSDT,DEEP,binance:DEEPUSDT:segment0,60,12111,included
binance,DEEPUSDT,DEEP,binance:DEEPUSDT:segment0,240,3027,included
binance,DEGENUSDT,DEGEN,binance:DEGENUSDT:segment0,60,12693,included
binance,DEGENUSDT,DEGEN,binance:DEGENUSDT:segment0,240,3173,included
