fold,variant,timeframe_min,side,seeds,pairs,matched_pairs,mean_net_r_difference,mean_net_return_difference,match_rate,seed_mean_net_r_difference_p05,seed_mean_net_r_difference_p95,seed_mean_net_return_difference_p05,seed_mean_net_return_difference_p95
development,D,60,-1,99,5346,5346,0.04574765929404198,0.002413223096271297,1.0,-0.3830372675159889,0.39821833583841876,-0.009107940240850642,0.01386779862869116
development,D,60,1,99,6534,6480,-0.27462457805540624,-0.004735540028919562,0.9917355371900827,-0.7963278006899345,0.25449020131321504,-0.019212542735983093,0.009068422316787329
development,D,240,-1,99,1782,1761,-0.2464100027128266,-0.04326144191933946,0.9882154882154882,-0.6029548990436989,0.011679919878583878,-0.06578625153993273,-0.022697858736601993
development,D,240,1,99,1782,1760,-0.4863867117282536,0.043944959895937406,0.9876543209876543,-3.926073982598759,1.6829489690206496,-0.04906720577160496,0.1365414575335119
validation,A,15,-1,99,124047,123866,-0.000746340187812471,0.00034360774963419896,0.9985408756358477,-0.08533721412254455,0.09657239502704502,-0.0010422295518029382,0.0016734982980938422
validation,A,15,1,99,124146,124116,0.09512072863826906,-0.000996757092273332,0.9997583490406456,-0.038869578675526935,0.21206819669321775,-0.0028790073584783133,0.0007257877287657474
validation,A,30,-1,99,62469,62345,0.0514381080182481,0.0010935770437519796,0.998015015447662,-0.10748537465349414,0.20019105989624403,-0.001999001210988348,0.003955129747416148
validation,A,30,1,99,60489,60461,-0.026012094159503337,-0.0023490277957020156,0.9995371059200846,-0.19988419013870676,0.1574345673133438,-0.00645294097837016,0.0017468161723855802
validation,A,60,-1,99,31383,31209,0.056642701664338393,0.0007279426797486788,0.9944555969792563,-0.10401192266682412,0.22646143477103725,-0.004107826298699788,0.006664424584182356
validation,A,60,1,99,29403,29376,0.26137527412442285,0.00450288476073794,0.9990817263544536,-0.06571719320036182,0.54748138461512,-0.009252256681783803,0.013963091866926283
validation,A,240,-1,99,7029,7029,-0.15672890890701552,-0.003351335874749369,1.0,-0.4611327762878732,0.128640902882266,-0.018617296954786942,0.012176456733066134
validation,A,240,1,99,7128,6949,-0.5498057931195274,-0.03729021861676183,0.9748877665544332,-0.9368074158021508,-0.13117917271073268,-0.053856734294539466,-0.017916560821316162
validation,B,15,-1,99,44847,44763,0.0047160790312378836,-0.0003471751026148194,0.9981269650143823,-0.14632627201523027,0.1515441177883533,-0.0027732894482702195,0.0018154363345109525
validation,B,15,1,99,41778,41763,-0.11660883468997284,-0.0020726609395069675,0.9996409593565991,-0.4219611534554854,0.08970731012799521,-0.005989048457100095,0.0007563531646158477
validation,B,30,-1,99,20592,20571,0.2337585289694835,0.005285667685380063,0.9989801864801865,0.0013749935209724097,0.4472649877183773,0.0002231403311840039,0.009766227775598508
validation,B,30,1,99,20691,20685,0.14088793323707063,-0.003886848057671585,0.9997100188487749,-0.2061443545567216,0.4325515368118865,-0.009676076429876857,0.0015286840906579952
validation,B,60,-1,99,10395,10395,0.26504355841159194,0.009816257798165376,1.0,-0.07601733166553243,0.5196547403527171,0.00253801151954502,0.01671800954965149
validation,B,60,1,99,9801,9801,0.7122098552667075,0.03369955460879734,1.0,0.1261034763579054,1.1333200542891375,0.014256598727150575,0.04718456156493508
validation,B,240,-1,99,1881,1881,-0.03263852834702033,0.013134029666724625,1.0,-0.5255909971055691,0.5472069776041326,-0.023581275793551456,0.04516329302735308
validation,B,240,1,99,3069,3012,-0.7221485341050711,-0.04213896746871509,0.9814271749755621,-1.355317947137133,0.08248975614641843,-0.07015018572391173,-0.0094281293279977
validation,C,15,-1,99,26829,26806,0.22130496418652018,0.0019612665162472486,0.9991427186999142,-0.039623452464850106,0.47144899037538085,-0.0014069660008496443,0.0053465040319839
validation,C,15,1,99,25641,25634,-0.09525197134290811,-0.0019397317445559543,0.9997269997269997,-0.4088532883313194,0.15086087530801645,-0.006154294600702603,0.0018282588391262862
validation,C,30,-1,99,12870,12860,0.28296505885646256,0.008370052563028904,0.9992229992229992,-0.004607943272396305,0.5491015820821633,0.0024972717107833733,0.01346116844689283
validation,C,30,1,99,13167,13159,0.3254862332039284,-0.0019130573231525706,0.999392420445052,-0.05128643817915969,0.6553483128024444,-0.010621015076646157,0.004004068856180721
validation,C,60,-1,99,7326,7326,0.3187291372819146,0.012631692238624634,1.0,0.015033759482997457,0.630549240790502,0.0011734411265424199,0.022110409458730756
validation,C,60,1,99,6633,6633,0.202870422607587,0.04014294963204306,1.0,-0.372643538046795,0.8026114669248581,0.00888169016074747,0.06086868318973317
validation,C,240,-1,99,1287,1287,-0.05455002771533029,0.002602122477531856,1.0,-0.6034359361085744,0.6098603263782569,-0.027405602162111936,0.039725691986848444
validation,C,240,1,99,1881,1824,-0.23718369300784145,-0.03296329660360542,0.9696969696969697,-1.077028029256289,0.8042218731411317,-0.07641003621803098,0.02035059574054516
validation,D,15,-1,99,26829,26806,0.22130496418652018,0.0019612665162472486,0.9991427186999142,-0.039623452464850106,0.47144899037538085,-0.0014069660008496443,0.0053465040319839
validation,D,15,1,99,25641,25634,-0.09525197134290811,-0.0019397317445559543,0.9997269997269997,-0.4088532883313194,0.15086087530801645,-0.006154294600702603,0.0018282588391262862
validation,D,30,-1,99,12870,12860,0.28296505885646256,0.008370052563028904,0.9992229992229992,-0.004607943272396305,0.5491015820821633,0.0024972717107833733,0.01346116844689283
validation,D,30,1,99,13167,13159,0.3254862332039284,-0.0019130573231525706,0.999392420445052,-0.05128643817915969,0.6553483128024444,-0.010621015076646157,0.004004068856180721
validation,D,60,-1,99,7326,7326,0.3187291372819146,0.012631692238624634,1.0,0.015033759482997457,0.630549240790502,0.0011734411265424199,0.022110409458730756
validation,D,60,1,99,6633,6633,0.202870422607587,0.04014294963204306,1.0,-0.372643538046795,0.8026114669248581,0.00888169016074747,0.06086868318973317
validation,D,240,-1,99,1287,1287,-0.05455002771533029,0.002602122477531856,1.0,-0.6034359361085744,0.6098603263782569,-0.027405602162111936,0.039725691986848444
validation,D,240,1,99,1881,1824,-0.23718369300784145,-0.03296329660360542,0.9696969696969697,-1.077028029256289,0.8042218731411317,-0.07641003621803098,0.02035059574054516
