fold,variant,timeframe_min,side,seed,seed_pairs,seed_matched_pairs,seed_mean_net_r_difference,seed_mean_net_return_difference,seed_match_rate
development,A,15,1,7,958,956,-0.013308551363110674,1.1590280530704648e-05,0.9979123173277662
development,A,15,1,8,958,957,0.012647967280942798,-0.0005953736839478498,0.9989561586638831
development,A,15,1,9,958,957,-0.03634119869301405,-0.00026640672738919565,0.9989561586638831
development,A,15,1,10,958,958,-0.0004266636406102748,0.0004202270025494283,1.0
development,A,15,1,11,958,958,0.1187779502715387,0.0011666844557605216,1.0
development,A,15,1,12,958,958,-0.07928234683872863,-0.0027455379495399984,1.0
development,A,15,1,13,958,957,0.10470164718211626,0.0009415692716470053,0.9989561586638831
development,A,15,1,14,958,955,-0.027970082871258392,-0.0021336778742276677,0.9968684759916493
development,A,15,1,15,958,958,-0.1864983982245487,-0.003961968053055656,1.0
development,A,15,1,16,958,956,0.03824089311328992,-0.0013630213579487807,0.9979123173277662
development,A,15,1,17,958,955,0.10102896393898975,0.0002138790679336657,0.9968684759916493
development,A,15,1,18,958,955,-0.025827205809276634,-0.0016184248297080649,0.9968684759916493
development,A,15,1,19,958,956,0.13321500370314002,0.0015291025415920412,0.9979123173277662
development,A,15,1,20,958,956,-0.031977558665495155,-0.0016150455101433365,0.9979123173277662
development,A,15,1,21,958,957,0.07097865062833639,0.0005045528426772549,0.9989561586638831
development,A,15,1,22,958,958,0.1567343630989907,0.0010376274598801606,1.0
development,A,15,1,23,958,957,0.10692729298481371,0.0005715567017277916,0.9989561586638831
development,A,15,1,24,958,957,-0.008856092925358059,0.00033588960762857964,0.9989561586638831
development,A,15,1,25,958,955,0.02899738027941378,0.00011609387738815151,0.9968684759916493
development,A,15,1,26,958,955,0.11744931637170965,0.000677827648502721,0.9968684759916493
development,A,15,1,27,958,956,0.00606197488736509,-0.0015263074862818626,0.9979123173277662
development,A,15,1,28,958,958,0.09121530606882419,0.00031780850623149264,1.0
development,A,15,1,29,958,956,-0.02289450778286245,-0.0024944727794946942,0.9979123173277662
development,A,15,1,30,958,958,0.0214304779906339,-0.0004213915167016934,1.0
development,A,15,1,31,958,958,0.04179317210545126,-0.000535957730887249,1.0
development,A,15,1,32,958,955,0.05381421091143072,0.00018395565747633994,0.9968684759916493
development,A,15,1,33,958,957,0.10513377485867934,0.0009475777359697735,0.9989561586638831
development,A,15,1,34,958,958,0.14252979548878555,0.0012697665953077277,1.0
development,A,15,1,35,958,956,0.11996248172204256,0.0009323896140498782,0.9979123173277662
development,A,15,1,36,958,957,0.011362768986192066,0.0010841929429215532,0.9989561586638831
development,A,15,1,37,958,957,-0.010700911830417636,-0.0014280696229812338,0.9989561586638831
development,A,15,1,38,958,956,0.008040237406385242,-0.0009636598090410069,0.9979123173277662
development,A,15,1,39,958,958,0.002407603254988395,-0.0006885392379213445,1.0
development,A,15,1,40,958,958,-0.016407705414622015,-0.000574657480687448,1.0
development,A,15,1,41,958,956,0.0811033713659423,0.0004194752329564113,0.9979123173277662
development,A,15,1,42,958,958,-0.05030437183585257,-0.0011307161551756073,1.0
development,A,15,1,43,958,958,0.023039880624763993,0.00021409854357872646,1.0
development,A,15,1,44,958,956,0.11976284379409245,0.00160011585709928,0.9979123173277662
development,A,15,1,45,958,957,0.225978502038533,0.002206130911481036,0.9989561586638831
development,A,15,1,46,958,958,0.03744933336907726,-0.0002600893480041489,1.0
development,A,15,1,47,958,956,0.02221500204193757,0.00047425055670021366,0.9979123173277662
development,A,15,1,48,958,956,-0.06786949623946083,-0.0005072767293225739,0.9979123173277662
development,A,15,1,49,958,957,0.04368968821967873,-0.0006359906776337615,0.9989561586638831
development,A,15,1,50,958,956,0.055544589956241536,0.00036342541855347704,0.9979123173277662
development,A,15,1,51,958,958,0.005449883224373735,-0.0012631920039680958,1.0
development,A,15,1,52,958,956,0.05931854503771063,8.209145021325727e-05,0.9979123173277662
development,A,15,1,53,958,957,-0.04502173177252737,-0.002243181344240745,0.9989561586638831
development,A,15,1,54,958,957,0.1406062680531639,0.0019246061236423367,0.9989561586638831
development,A,15,1,55,958,955,-0.04202706795198376,-0.0021929921310646252,0.9968684759916493
development,A,15,1,56,958,955,0.1626219313481871,0.0025681019058800135,0.9968684759916493
development,A,15,1,57,958,958,0.059301936832136325,0.0002540525570935222,1.0
development,A,15,1,58,958,956,-0.0011749609650192456,-0.0005028924261631526,0.9979123173277662
development,A,15,1,59,958,956,0.029979831738359566,-0.00036275943352950986,0.9979123173277662
development,A,15,1,60,958,957,0.03565788178410562,-0.00042366889307287567,0.9989561586638831
development,A,15,1,61,958,956,0.08416308062255853,0.000729803571694472,0.9979123173277662
development,A,15,1,62,958,958,0.12232002366876836,0.0015643222858867914,1.0
development,A,15,1,63,958,956,-0.05927800518076874,-0.0022838450351495595,0.9979123173277662
development,A,15,1,64,958,958,0.10688358395146062,-9.581018998861321e-05,1.0
development,A,15,1,65,958,958,0.014375622596453115,0.00020129556970282982,1.0
