venue,symbol,asset,base_asset,source_path,frozen_upstream_expected_full_source_sha256,actual_development_prefix_sha256
binance,ACUUSDT,ACU,ACU,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ACUUSDT_30m.csv.gz,e971f3395ee5020f66ecc5bb59abbaf8d841556045752867c31ddfe177bcc6d4,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,ACXUSDT,ACX,ACX,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ACXUSDT_30m.csv.gz,1b900b283177df3b289c989069ae03d253efce99440492471450dc0b9561e70c,2acc18d281ec9d18b95b335ef283461bf6925285d71ca7032e2f4864b261b9c4
binance,ADAUSDT,ADA,ADA,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ADAUSDT_30m.csv.gz,960db615726b594259ce04892ffb112d6bf5c2fb221e3acd3dd70773b6b1733f,3d83e1d6ab5544e9358e43c6e83982495e6ce0c51e0e5c3253f516dcd47225d9
okx,ADBE-USDT-SWAP,ADBE,ADBE,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/ADBE-USDT-SWAP_30m.csv.gz,8543e5d32792699c006e957d764514dfd8565dc19a4e433c6dd83cd391974d20,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
okx,AEHR-USDT-SWAP,AEHR,AEHR,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/AEHR-USDT-SWAP_30m.csv.gz,11fd7c3a238348ab416a43a21de8234ceee6c51617cecaa7009182b3a4071541,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
okx,AEON-USDT-SWAP,AEON,AEON,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/AEON-USDT-SWAP_30m.csv.gz,414118ded08c5effeb259adfb82bd73c3cc93c84504444a5bf61faeb0e627846,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,AEROUSDT,AERO,AERO,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AEROUSDT_30m.csv.gz,b035fd22e315faee432191b3cca81c3d2db773034c973b61083eca916d262bd4,a7dd8ca647b46462eb0772239b555e9096d08345aa2b7599d3c7ce99a43c8cbc
binance,AEVOUSDT,AEVO,AEVO,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AEVOUSDT_30m.csv.gz,b6ac653f98a4808b412bf153bd139f1b0d671103bf402297c81ffbc9d7cbf615,bc6e110548960eac8d1e95b8ff6b07482ee92bd0f80bc01d3893161581e71c19
binance,AGIXUSDT,AGIX,AGIX,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AGIXUSDT_30m.csv.gz,37e674e196804bbfdae498e4531f17eedaacadacf1f415a193185f112a09f14e,f4a3630d535606b251861da2ad5fdf4a7f2db3394051284dd9c7eef655bc8a27
binance,AGLDUSDT,AGLD,AGLD,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AGLDUSDT_30m.csv.gz,a1fe4844e6dd2a7e694b508cf56e896b336f2ddea19c86ea87e82c3853a593bb,f29bfa9626601990b944ca39117decb8dc2a0bcca4bc90d0979d05c99f32e3ee
binance,AGTUSDT,AGT,AGT,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AGTUSDT_30m.csv.gz,93946da351c46e7463ad01596064de878c6867de3ddf77c5b450b1b928dbbe90,1d36c76fbea7252e8896521fa1b4a7a178c5664aa711fc3c0715c997a779a198
binance,AIUSDT,AI,AI,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AIUSDT_30m.csv.gz,4fe55118dcb9f63cff1b640df814bd5c5221c4eb0199c117c216a60f839043a1,3072f40e078fcf683ab26c476881ed5009705d336ca3e76bd99843da5afdd455
binance,AI16ZUSDT,AI16Z,AI16Z,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AI16ZUSDT_30m.csv.gz,5c05c9743e3b9d7ddc356c15c54e1e4b7008fc0421b0fbc8455a5f24029a6ddd,ce6c85a4c6615cf3b2aa36438771f79e3e852c9e867cecf280a11e1e23eca280
binance,AIAUSDT,AIA,AIA,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AIAUSDT_30m.csv.gz,c065007c57d74c2f50a9213aa7eaf4fd70e7b50f52c34ead560e2910f37a61e3,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,AIGENSYNUSDT,AIGENSYN,AIGENSYN,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AIGENSYNUSDT_30m.csv.gz,3a3e306575a1038381061e4a941d5ebb65fa746b797f53631b7a734705a39a81,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,AINUSDT,AIN,AIN,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AINUSDT_30m.csv.gz,c2e4aa063e78f9d0fb81d86a91c1527648986c4fdbca3587cfb55635cbd219e3,39950afb4edaa59ea894057537ab74ef00d058147ebcf152560a2bac89e89cd3
binance,AIOUSDT,AIO,AIO,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AIOUSDT_30m.csv.gz,0f6b3a2936105e7698bfc20566af7ff4ce0aa651f343248bf3088b4e2e64322b,18be4c2df9ccf69e759f76fa56e388fc6463d52a12b7aea0f61b20bcea6c3b35
binance,AIOTUSDT,AIOT,AIOT,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AIOTUSDT_30m.csv.gz,07852e66ddb71af2203c27add67be6b5f0af7a9f129c97efd9e85572a1e25e12,849c452b756bd7872e9ce1b09c7566bbafd06540662da9d059976ee1e48d59d1
binance,AIXBTUSDT,AIXBT,AIXBT,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AIXBTUSDT_30m.csv.gz,7065b1d9e160f5ed5bcf0019c050d81f397d59dedd541f6b46e3906eaabe00a6,62a3dd7f9695574e0eed60a3252e5317184751e7e829790b2790185e9fcaf9db
binance,AKEUSDT,AKE,AKE,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AKEUSDT_30m.csv.gz,b522e49e7de38d5e324c4ac53678355881722ed65a8c8025b590a7151ae6a31c,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,AKTUSDT,AKT,AKT,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AKTUSDT_30m.csv.gz,21f4b16836f53065fa51eaf2b3e76b98ed7a65b55fc59e7eb3f7b1db4777f139,c3915142929b684e8a4d6e035f0abe06de9c9c6caa3a4668bd03d973221945b4
okx,ALAB-USDT-SWAP,ALAB,ALAB,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/ALAB-USDT-SWAP_30m.csv.gz,e3875062a2016264da7828b83c6a27a511ed630472986625e5955597323b4bfb,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,ALCHUSDT,ALCH,ALCH,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ALCHUSDT_30m.csv.gz,64092c0b6e41366a2184fdb0d8cf626525e7f85ffe74e1fa5f4d70c315fbb11c,fcc3cee91a9cde30a95baa95cfee6aea415fdc2feceab9c58fa43cc9acde6803
binance,ALGOUSDT,ALGO,ALGO,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ALGOUSDT_30m.csv.gz,4caac4d48cc8bd022badec67e2eacc1872bc3381297224b816bb8828cb658a51,c4e9180496eec1526c3fb07155daf905e118e4669ba3b8e65b0edee3818b7372
binance,ALICEUSDT,ALICE,ALICE,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ALICEUSDT_30m.csv.gz,bbad769314e34a0512c4de569000938d72cf06180170da0e98b175f3de29d180,2536a6f36db517158db6b1696faefb2ec8cb97d195fc8a370006f15970c8d338
binance,ALLUSDT,ALL,ALL,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ALLUSDT_30m.csv.gz,ef1b37621afab6d2da28b99b3319fa3704fd10667051c4aea5ba3cd6262b00e4,4439449f8e3993c9178e29fdb3c626c6cb028612377f213cfb287343f2aa6d25
binance,ALLOUSDT,ALLO,ALLO,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ALLOUSDT_30m.csv.gz,0bbff03ce306e952e96a06bc0ac4a25ec139b548d0668ae4bf4aeaaf849aa0ad,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,ALPACAUSDT,ALPACA,ALPACA,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ALPACAUSDT_30m.csv.gz,ac605530197aff9d5dd888bd188c835a9b967f00b8983a42ad86a9c747df73ec,dbe3d6f12898dcfab5f85d8dbce95d13961ff80b7d0b7389846938a401273baa
binance,ALPHAUSDT,ALPHA,ALPHA,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ALPHAUSDT_30m.csv.gz,1e682d7572126e2f57e5fe082cffec0b43f2ddbd30cc34460c8315216e1b2a73,842bb44c1cb918bf6735c456876dfd237e3edcfb6da4d79285630dd7bc32798c
binance,ALPINEUSDT,ALPINE,ALPINE,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ALPINEUSDT_30m.csv.gz,861dd398e8cfe489eb50f69d5151dabb54334fffdd24f82b52a31e10b982e68b,533966162101e03e87ced3dec68a82035ebd479a079ba602b024bfcd32a2c562
binance,ALTUSDT,ALT,ALT,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ALTUSDT_30m.csv.gz,ccde9dd3eb3b0d04ac478c6f863dfd857af163f4033aa491d40c1e661adf656e,20e0cd591c09e5e62e629717a8dd32fd50fd57919024ac7e722a0fd6702f7229
okx,AMAT-USDT-SWAP,AMAT,AMAT,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/AMAT-USDT-SWAP_30m.csv.gz,594fe951c48ada222c1a07a98e0ca4e0f115dbd8de91e613a634dba1c6a1348b,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,AMBUSDT,AMB,AMB,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AMBUSDT_30m.csv.gz,67125642aa3885b2184e378027c6452d4d3f7b2691cfdda2ee400acca98cd016,d2db4ddf576db31633e9ac764503aeddeea2413ee85453b3b5c3d82a687d27d2
okx,AMD-USDT-SWAP,AMD,AMD,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/AMD-USDT-SWAP_30m.csv.gz,918efc4c68b5d8a521a6a1d6fc92fb95c0461e76edc1946311d779c91e26549a,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
okx,AMZN-USDT-SWAP,AMZN,AMZN,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/AMZN-USDT-SWAP_30m.csv.gz,91ea79a691eb8cd97f511a205a53e0eeec01ca6801662ea16c4d7ff1a25b177e,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,ANIMEUSDT,ANIME,ANIME,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ANIMEUSDT_30m.csv.gz,3e3dd877c0abee66cfebc0584fd2611073d2219eab84e8541f26a9f55d38ba6b,1fee5d4e7de1855feb1aa8f54e934e21f385f2e9c02fb0d258f05f17defea15a
binance,ANKRUSDT,ANKR,ANKR,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ANKRUSDT_30m.csv.gz,160134339e38c7c1e3baf99a7b636551e941b44d44260221e8f73b6ea53ed9a3,be435dbca78892f532465c37e787af68baecceb1f946760e4483324cf1cc9859
binance,APEUSDT,APE,APE,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/APEUSDT_30m.csv.gz,f05375ed6adbbf8e204f4e77411ba236fdb2037bac28be687c789ba896f394a1,accc79352465cbd98be1f58308a817e9b1e2d5a0c43886734fd0c5f80d3ef91d
binance,API3USDT,API3,API3,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/API3USDT_30m.csv.gz,b876fecf8357e33a7d5a546a199c1c2aff3277391cb9dd6ec6599aa9e855f8fc,89a3b615281158211095a90565799c59298d4bbdd31aeefcd054cb123d8fe6ea
okx,APLD-USDT-SWAP,APLD,APLD,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/APLD-USDT-SWAP_30m.csv.gz,e8570f0b6e2e24cbab2533e155d5df72267471e306b700542cb29474deb335f7,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
okx,APP-USDT-SWAP,APP,APP,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/APP-USDT-SWAP_30m.csv.gz,afed75b2dc1145dca0a33be56661a026bde60c55019d92f688fd633093664c06,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,APRUSDT,APR,APR,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/APRUSDT_30m.csv.gz,048f6dca762d4a4366d3ffc71e09fa3a27d949a7620eed5052e3dd07027d78b8,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,APTUSDT,APT,APT,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/APTUSDT_30m.csv.gz,7fca165a4fce8e1766894ada54201873de639aff5010bc47a13f47f9261e693f,a94dc07b0b32d0b0598ea732fb8ec40286271fbbff8384889bc3ae98ece93649
binance,ARUSDT,AR,AR,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ARUSDT_30m.csv.gz,bbece9f88d8e34ae836eaf746abaeee9ff7f95fe782d8d6245e3b0205d40603a,55c0eb7f6484e64c5c64a8bfc6bb72717fc41ee5433496b9db6ec64cc2347e67
binance,ARBUSDT,ARB,ARB,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ARBUSDT_30m.csv.gz,b7ec06c1ff5a611c1085145b6f461561189c8b967dfb7e8c738fe826bdf6c0d5,14a257dbc2ee39d6f896fc1a332fff651905baf60429c29d736117286f72d1eb
binance,ARCUSDT,ARC,ARC,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ARCUSDT_30m.csv.gz,3ec7c28dc9e411aeda222adb2b0e07ac4ac69b0200f3eec308d13061d7f606af,14c92b0f182b36c5c429cae3e462c69dfd3a834c851a49b3db373cc1348ae4db
binance,ARIAUSDT,ARIA,ARIA,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ARIAUSDT_30m.csv.gz,517a61f9d3e4d78762e2152d16a19e1306b7f480a8da488489688cb6385b1775,7b84063a47a19d71b84ea764652334230d93eaf92b7a2bd5d389709fe0fa9348
binance,ARKUSDT,ARK,ARK,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ARKUSDT_30m.csv.gz,340f886e7b7e724b7c7d5ea45c5773d9af4ad364a1211e6ef92b3782eb8e7c81,79d6009db9f7ebc2a08f27ed140876ed6bc9b07c8711870e063c259384cf145c
binance,ARKMUSDT,ARKM,ARKM,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ARKMUSDT_30m.csv.gz,86a4e034b4a8a0e2f2885478175fc427c790283dbd74a9dfd52c54cf01d26d3d,66e46aa376a45cef795988b0cfc6cdee8137711a6e89f946687a3b999a134d08
okx,ARM-USDT-SWAP,ARM,ARM,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/ARM-USDT-SWAP_30m.csv.gz,d5b10d1a2958a8bc38e2c57eff36cfdd235cb12fbded24d31af5adb0fe025861,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,ARPAUSDT,ARPA,ARPA,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ARPAUSDT_30m.csv.gz,e400fa3f1943a3f2d58063e88ff3750ede991260cd43c28f98dfabb9d2e7471a,e6ac444f48bb0fcb08cdb6109c7ef481cc5fa63ed4e0d9a8777f537cf3b88fba
binance,ARXUSDT,ARX,ARX,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ARXUSDT_30m.csv.gz,1b604eade10b790fb97b9fd40e7525774026fb14536af5d047a88259859f7647,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
okx,ASML-USDT-SWAP,ASML,ASML,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/ASML-USDT-SWAP_30m.csv.gz,dd59984b0d1eee74408b64e72005753b61db9cfaee2c2381d94c256237688dc7,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,ASRUSDT,ASR,ASR,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ASRUSDT_30m.csv.gz,bc28179473027a4c6c4bd56281648f0686726c189ce6e6bf1e58be35d956b0ed,d7e6b23ca0ca32c6c221fbc261f48c4523a884b26199aedfd0a65e96505804a6
binance,ASTERUSDT,ASTER,ASTER,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ASTERUSDT_30m.csv.gz,d552ec60b5f314d7b4a09f194fc4257cab9d0cc6141ceca39854edb523437f01,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,ASTRUSDT,ASTR,ASTR,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ASTRUSDT_30m.csv.gz,5c6f6f5051531d6f947338ada4ac7c7b2ccac9523592bc35692c4dec2d960a16,ea4d5d7419fc99281f277492ad7f34cc3b2e780f81bd5c8dc7b1dc55d9a4ee33
okx,ASTS-USDT-SWAP,ASTS,ASTS,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/ASTS-USDT-SWAP_30m.csv.gz,e557730e9edb1b1b30384ed8d674f01d59b5eefb1022062565b75ecab9db2bea,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,ATUSDT,AT,AT,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ATUSDT_30m.csv.gz,31ef180a3f181048d5c50aff3f720311df7d1c2aa311bc2d34d2114ec8f8b788,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,ATAUSDT,ATA,ATA,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ATAUSDT_30m.csv.gz,fdd9f78bdebf9f80a32068650458f8baed546efec9a33f8fccc634649b2cbe21,4ede925843313c47a2e49b95de7493b196a68a890f9891efc9e874eda496a6eb
binance,ATHUSDT,ATH,ATH,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ATHUSDT_30m.csv.gz,2311639c9d9270ff0e8817459e9e0ff0991ff29cd8228838d236d52b8c137729,c0a454ce6829aacc0d2c4e6e61d423f30583c888c805763570511326f5f3dbd4
binance,ATOMUSDT,ATOM,ATOM,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ATOMUSDT_30m.csv.gz,3c9f00f5dbe40b0c99fe9fd91fe9fc1f32b466a579dd699a3081a63bfb00726a,eac91caa8f39c8a600eee3ad52b35aaae0285b3e59c2da229881b88095e7d887
binance,AUCTIONUSDT,AUCTION,AUCTION,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AUCTIONUSDT_30m.csv.gz,20bf7467e8f472549e026f0ec774d671afe7c86dbc541adfd3bd8806aea26a20,6b32e6f3d02cc1a8c51ea24dcea1dd7f9410e06b7c308fc7859979f4841f8594
