period,model,low,high,n,positives,mean_prediction,observed_rate
last_two_quarters,lightgbm,0.001,0.002,1179,8,0.0015393547605503763,0.006785411365564037
last_two_quarters,lightgbm,0.002,0.005,4287,38,0.0034724795199515303,0.008864007464427339
last_two_quarters,lightgbm,0.005,0.01,4779,56,0.007260715753171695,0.011717932621887424
last_two_quarters,lightgbm,0.01,0.02,4090,53,0.014071553593922596,0.01295843520782396
last_two_quarters,lightgbm,0.02,0.05,1754,29,0.026943304982019953,0.01653363740022805
last_two_quarters,lightgbm,0.05,0.1,62,2,0.06195423570501105,0.03225806451612903
last_two_quarters,lightgbm,0.1,0.2,2,0,0.10279780371320546,0.0
last_two_quarters,lightgbm,0.2,0.5,0,0,,
last_two_quarters,lightgbm,0.5,1.0,0,0,,
2025Q4,logistic,0.0,0.001,65,1,0.0007509392390832707,0.015384615384615385
2025Q4,logistic,0.001,0.002,401,0,0.0015858779317905526,0.0
2025Q4,logistic,0.002,0.005,2178,6,0.003447040660178598,0.0027548209366391185
2025Q4,logistic,0.005,0.01,1781,8,0.007064797708627997,0.004491858506457047
2025Q4,logistic,0.01,0.02,946,7,0.013330616966756166,0.007399577167019027
2025Q4,logistic,0.02,0.05,204,1,0.027758473180059636,0.004901960784313725
2025Q4,logistic,0.05,0.1,24,0,0.06726997927739897,0.0
2025Q4,logistic,0.1,0.2,0,0,,
2025Q4,logistic,0.2,0.5,0,0,,
2025Q4,logistic,0.5,1.0,0,0,,
2025Q4,lightgbm,0.0,0.001,74,1,0.000810680265628615,0.013513513513513514
2025Q4,lightgbm,0.001,0.002,604,2,0.0015400489253485122,0.0033112582781456954
2025Q4,lightgbm,0.002,0.005,2125,1,0.003370553737404439,0.00047058823529411766
2025Q4,lightgbm,0.005,0.01,1549,8,0.007268277991629364,0.005164622336991607
2025Q4,lightgbm,0.01,0.02,1004,10,0.013273983150742618,0.0099601593625498
2025Q4,lightgbm,0.02,0.05,221,1,0.02703867754321228,0.004524886877828055
2025Q4,lightgbm,0.05,0.1,20,0,0.0653502284961973,0.0
2025Q4,lightgbm,0.1,0.2,2,0,0.10763639717141735,0.0
2025Q4,lightgbm,0.2,0.5,0,0,,
2025Q4,lightgbm,0.5,1.0,0,0,,
2026Q1,logistic,0.0,0.001,302,2,0.0005413395047112664,0.006622516556291391
2026Q1,logistic,0.001,0.002,401,0,0.0015283132676469663,0.0
2026Q1,logistic,0.002,0.005,1496,5,0.0034853331702539283,0.0033422459893048127
2026Q1,logistic,0.005,0.01,2005,14,0.007358067635666951,0.006982543640897756
2026Q1,logistic,0.01,0.02,1903,9,0.014087105382931748,0.004729374671571204
2026Q1,logistic,0.02,0.05,857,7,0.02716359809354566,0.008168028004667444
2026Q1,logistic,0.05,0.1,27,0,0.06055010012239254,0.0
2026Q1,logistic,0.1,0.2,0,0,,
2026Q1,logistic,0.2,0.5,0,0,,
2026Q1,logistic,0.5,1.0,0,0,,
2026Q1,lightgbm,0.0,0.001,225,0,0.0007665478279596506,0.0
2026Q1,lightgbm,0.001,0.002,622,2,0.001514991540026999,0.003215434083601286
2026Q1,lightgbm,0.002,0.005,1454,6,0.0034851241158352572,0.0041265474552957355
2026Q1,lightgbm,0.005,0.01,2205,9,0.007338697096848758,0.004081632653061225
2026Q1,lightgbm,0.01,0.02,1550,10,0.014235990016298489,0.0064516129032258064
2026Q1,lightgbm,0.02,0.05,914,10,0.028132880672847426,0.010940919037199124
2026Q1,lightgbm,0.05,0.1,21,0,0.055634826259736855,0.0
2026Q1,lightgbm,0.1,0.2,0,0,,
2026Q1,lightgbm,0.2,0.5,0,0,,
2026Q1,lightgbm,0.5,1.0,0,0,,
2026Q2,logistic,0.0,0.001,236,3,0.000592823084572835,0.012711864406779662
2026Q2,logistic,0.001,0.002,457,5,0.0015590181208392424,0.010940919037199124
2026Q2,logistic,0.002,0.005,1975,15,0.0034986898982241567,0.007594936708860759
2026Q2,logistic,0.005,0.01,2630,16,0.00733260897113447,0.006083650190114068
2026Q2,logistic,0.01,0.02,2553,22,0.014120483528345005,0.008617312965139052
2026Q2,logistic,0.02,0.05,942,6,0.026757371996321305,0.006369426751592357
2026Q2,logistic,0.05,0.1,17,0,0.06037000547096854,0.0
2026Q2,logistic,0.1,0.2,0,0,,
2026Q2,logistic,0.2,0.5,0,0,,
2026Q2,logistic,0.5,1.0,0,0,,
2026Q2,lightgbm,0.0,0.001,98,0,0.0008522223613356601,0.0
2026Q2,lightgbm,0.001,0.002,603,6,0.0015290649036652816,0.009950248756218905
2026Q2,lightgbm,0.002,0.005,2109,14,0.0034650194803360246,0.006638217164532954
2026Q2,lightgbm,0.005,0.01,2346,19,0.007318620783039082,0.008098891730605285
2026Q2,lightgbm,0.01,0.02,2419,16,0.014199588656843466,0.006614303431169905
2026Q2,lightgbm,0.02,0.05,1209,12,0.0266722065386933,0.009925558312655087
2026Q2,lightgbm,0.05,0.1,26,0,0.05660323999170695,0.0
2026Q2,lightgbm,0.1,0.2,0,0,,
2026Q2,lightgbm,0.2,0.5,0,0,,
2026Q2,lightgbm,0.5,1.0,0,0,,
2026Q3,logistic,0.0,0.001,402,1,0.0005352800560556992,0.0024875621890547263
2026Q3,logistic,0.001,0.002,544,3,0.0015126537164067487,0.0055147058823529415
2026Q3,logistic,0.002,0.005,1800,13,0.003526254690375117,0.007222222222222222
2026Q3,logistic,0.005,0.01,2200,37,0.007233767229101119,0.01681818181818182
2026Q3,logistic,0.01,0.02,1927,42,0.014093696175699479,0.021795537104307212
2026Q3,logistic,0.02,0.05,688,23,0.026456085131613433,0.03343023255813953
2026Q3,logistic,0.05,0.1,21,0,0.056006266925665314,0.0
2026Q3,logistic,0.1,0.2,0,0,,
2026Q3,logistic,0.2,0.5,0,0,,
2026Q3,logistic,0.5,1.0,0,0,,
2026Q3,lightgbm,0.0,0.001,141,0,0.0007886553055179476,0.0
2026Q3,lightgbm,0.001,0.002,576,2,0.0015501269544769606,0.003472222222222222
2026Q3,lightgbm,0.002,0.005,2178,24,0.0034797032222238446,0.011019283746556474
2026Q3,lightgbm,0.005,0.01,2433,37,0.007204881310068986,0.015207562679819153
2026Q3,lightgbm,0.01,0.02,1671,37,0.013886205408880355,0.022142429682824656
2026Q3,lightgbm,0.02,0.05,545,17,0.027544695840702373,0.031192660550458717
2026Q3,lightgbm,0.05,0.1,36,2,0.06581884372017512,0.05555555555555555
2026Q3,lightgbm,0.1,0.2,2,0,0.10279780371320546,0.0
2026Q3,lightgbm,0.2,0.5,0,0,,
2026Q3,lightgbm,0.5,1.0,0,0,,
