fold,variant_id,kind,feature_count,train_events,test_events,threshold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,pool_events,selection_rate,auc_profit,evaluation_top_decile_events,evaluation_top_decile_net_bp
2023Q2,legacy_plus_calendar,lightgbm,31,830,854,0.004271562108956177,74,-1.0754400747461632,-21.075440074746158,-56.362377646861,0.17567567567567569,0.589553969905194,-0.32709620406283657,-0.3859096385470151,12.5,113.24368779925489,386.879112627835,0.4386585013251532,854,0.08665105386416862,0.4508500759678473,86,-27.891914353920612
2023Q2,physics_only,lightgbm,72,830,854,0.0031809979833045,100,2.7687472989379933,-17.231252701061972,-54.814904576660496,0.17,0.6621931908658419,-0.23585900196377962,-0.3201258510989312,20.0,87.5961414248328,801.280748149035,0.4286973528002254,854,0.117096018735363,0.4473105684432108,86,-17.601142519018303
2023Q2,full_all,lightgbm,103,830,854,0.004066745605715164,92,4.267498857897955,-15.732501142101997,-52.75452297602351,0.17391304347826086,0.6780808295596558,-0.3281018925607442,-0.42952810652709605,16.0,73.00072971004194,801.280748149035,0.4177246824372622,854,0.10772833723653395,0.4425233208559327,86,-14.668925068418806
2023Q3,signal_score,single_score,0,1680,930,0.7950869762200365,104,-3.2751767326602557,-23.27517673266021,-41.045715861177,0.14423076923076922,0.4096201573321061,-0.7117395566127331,-0.7512044725632483,15.0,71.25678784541313,223.641738998596,0.40811335978962476,930,0.11182795698924732,0.4759201926384589,93,-21.930351684667574
2023Q3,rule_confluence_vote,single_score,0,1680,930,5.0,158,-13.043191320523002,-33.04319132052292,-46.245278174406494,0.10759493670886076,0.2115248157392222,-0.8390257325859334,-0.847607581096859,20.5,7.081139842402382,223.641738998596,0.2527079466275529,930,0.16989247311827957,0.5141200120399037,158,-33.04319132052292
2023Q3,legacy_28,lightgbm,28,1680,930,0.0012644462201223219,54,-6.459806879864557,-26.459806879864487,-43.3598156577355,0.09259259259259259,0.3926344768494853,-0.425709412231838,-0.4318948083439281,17.0,-12.45633932679008,212.431047089239,0.3273510843147122,930,0.05806451612903226,0.46377278981768144,93,-27.24992545886984
2023Q3,legacy_plus_k1k2,lightgbm,43,1680,930,0.0011400967644173508,74,-5.686894920442834,-25.686894920442747,-45.515276240906,0.12162162162162163,0.36867708074510314,-0.5394788774367714,-0.5394788774367714,16.5,19.62717357547014,212.431047089239,0.2963739940450252,930,0.07956989247311828,0.46575077399380804,93,-27.863954429374203
2023Q3,legacy_plus_trend,lightgbm,38,1680,930,0.0011316189851366776,63,-8.42397362818541,-28.423973628185305,-42.40192217634699,0.07936507936507936,0.3402885865290953,-0.481142836322319,-0.48673118680428384,23.0,-11.16891030822559,212.431047089239,0.28089034841626964,930,0.06774193548387097,0.47073873409012734,93,-29.376551546049456
2023Q3,legacy_plus_1h,lightgbm,36,1680,930,0.0012609888886092756,63,-7.650919337269693,-27.650919337269563,-42.40192217634699,0.09523809523809523,0.3284280172047104,-0.47705466482837444,-0.47705466482837444,18.0,-9.408379011613398,212.431047089239,0.26351728369156463,930,0.06774193548387097,0.5137598899208806,93,-25.97564027918614
2023Q3,legacy_plus_volatility,lightgbm,35,1680,930,0.0010287980801659672,56,-0.5651427436200194,-20.565142743619948,-40.9176700778765,0.125,0.499015429507636,-0.3942148673370415,-0.3942148673370415,17.0,75.918489934934,246.871776558412,0.3869956128741965,930,0.060215053763440864,0.4872076023391813,93,-25.573622574155834
