timeframe,period,arm,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
1h,later,box_any,52,26,11,41,21.153846153846153,-0.41435642798360467,-1.0479627120681365,-21.546534255147442,-0.35048918757843184,-175.97497221396685,-327.976505748592,-9150.698555126277,-155.97497221396682,1.8106895199666864,1.0113199749946582,1.7904219878345133,35.83687357538502,0.48035711868730846,610.4398313924246,386.9643097669011,1.5775093877782689,0.4232342259892916,47.34615384615385,40.5,3.533754691779255,11.0,28,14,24,17,3,0,0,52,100.0,-0.41435642798360467,-0.4628055104592603,0.04844908247565562,-175.97497221396685,-157.57999511419155,-18.3949770997753,8,-0.22469921493762415,0.46441922810768177,0.3938030984507746
1h,later,extension_le1,36,22,9,27,25.0,-0.3674807263801334,-1.040136987915643,-13.229306149684803,-0.3012440298173816,-157.22856404937662,-284.857351712149,-5660.2283057775585,-137.2285640493766,1.4919387839219906,0.9872872298141748,1.5111496825526654,39.822397165248525,0.5037165608508885,507.2843987642903,378.73288498726566,1.3394252753661646,0.44647509178872163,47.97222222222222,36.5,3.444262384490995,5.0,20,11,16,11,2,0,0,36,100.0,-0.3674807263801334,-0.4950668801763759,0.1275861537962425,-157.22856404937662,-198.32457593669886,41.096011887322256,7,-0.16452992553112314,0.4412606905034896,0.223888055972014
1h,cross_split,box_any,3,3,3,0,100.0,2.6796787850493717,2.184827264239045,8.039036355148115,2.7561794414735576,667.175416408535,623.5709526982021,2001.5262492256052,687.1754164085349,2.6796787850493717,,,,,667.175416408535,,,,136.33333333333334,132.0,2.85269709543568,0.0,3,3,0,0,0,0,0,3,100.0,2.6796787850493717,3.421303263446456,-0.7416244783970845,667.175416408535,916.2035642809835,-249.02814787244833,1,,,
1h,cross_split,extension_le1,2,2,2,0,100.0,2.9271045454545352,2.9271045454545352,5.8542090909090705,3.006818181818171,688.9776482637016,688.9776482637016,1377.955296527403,708.9776482637016,2.9271045454545352,,,,,688.9776482637016,,,,138.5,138.5,2.54594142303591,0.0,2,2,0,0,0,0,0,2,100.0,2.9271045454545352,3.0813320711851504,-0.1542275257306155,688.9776482637016,607.620359438541,81.35728882516051,1,,,
4h,full,box_any,37,24,18,19,48.64864864864865,1.4474114548031756,-0.0228800000000008,53.55422382771749,1.4791492505855564,694.8196989228244,-14.62915601023,25708.328860144502,714.8196989228244,3.964456589746409,0.9371576204062027,4.230298621514756,19.119367217132012,4.0076513256455595,2176.715391340175,709.0814833672972,3.0697676394021105,2.908200921538841,242.59459459459458,188.0,6.5552420230084705,3.0,24,20,13,6,2,1,0,36,97.2972972972973,1.4421657882223364,1.1547387693017621,0.2874270189205746,670.967497092811,393.2201404322617,277.7473566605492,11,-1.4831446209705297,2.1986890857904124,0.3778110944527736
4h,full,extension_le1,27,18,15,12,55.55555555555556,1.9815119638651044,0.7148983516483546,53.50082302435782,2.012350463969854,939.4413555935707,669.21177832069,25364.91660102641,959.4413555935706,4.390276014557053,1.02944309949983,4.264709741305889,18.994399485202276,5.330887176632361,2379.6695500237265,860.8438874441241,2.7643450627140416,3.4554313283925517,270.22222222222223,204.0,6.92583836791874,1.0,18,15,9,3,0,0,0,26,96.29629629629629,1.9947910604863244,1.4425529920086662,0.5522380684776582,915.8237552393499,544.4604344774583,371.3633207618916,11,-1.9054431715745874,3.079461590026896,0.34832583708145926
4h,earlier,box_any,23,15,14,9,60.86956521739131,2.5364582586898403,1.2264090909090888,58.33853994986632,2.5713488441318386,1360.8863963123622,967.627523334055,31300.38711518433,1380.886396312362,4.706660333062763,0.8394116347791504,5.607094467187232,15.135245983938827,8.722146948957915,2513.1826269242224,431.57440686164296,5.8232893029959385,9.05845002688257,289.39130434782606,224.0,6.3842056932966,4.0,17,16,6,3,2,1,0,23,100.0,2.5364582586898403,1.9676658314643607,0.56879242722548,1360.8863963123622,725.1997449343723,635.68665137799,7,-2.401431009067354,3.515491011774972,0.40879560219890054
4h,earlier,extension_le1,18,12,13,5,72.22222222222221,3.2760391880139985,1.5125482951536617,58.968705384251976,3.3101732443943312,1743.0104080031792,1092.968890162794,31374.187344057227,1763.010408003179,4.935715643945658,1.0391195974083147,4.749901412942175,17.391602536856517,12.349743673649655,2624.1826518639864,548.0374260349209,4.78832745210502,12.449651375473053,323.55555555555554,246.0,6.469723858152535,1.5,14,13,4,1,0,0,0,18,100.0,3.2760391880139985,2.0865183194982175,1.1895208685157819,1743.0104080031792,818.1162763713513,924.8941316318279,7,-2.396541040672226,4.704588730427828,0.3183408295852074
4h,later,box_any,14,13,4,10,28.57142857142857,-0.34173686586777335,-1.0217768139120578,-4.784316122148827,-0.31517865309762133,-399.4327325028449,-675.8687558124175,-5592.0582550398285,-379.4327325028448,1.3667434881391678,1.0251290074705497,1.333240478202381,42.85884842742137,0.5332961912809524,999.0800667960083,958.8378522223862,1.0419697808971027,0.41678791235884105,165.71428571428572,160.0,7.088240217216485,1.5,7,4,7,3,0,0,0,13,92.85714285714286,-0.4938901210663248,-0.2835168022166825,-0.21037331884964214,-549.6582476802416,-194.12839060993394,-355.5298570703075,4,-1.0514958991901617,0.5105888928708032,0.6691654172913544
4h,later,extension_le1,9,8,2,7,22.22222222222222,-0.6075424844326841,-1.0170300429184551,-5.467882359894157,-0.5832950968791004,-667.6967492256465,-730.6863596872271,-6009.270743030818,-647.6967492256465,0.8449184235311165,1.0225313152794844,0.8263007801381401,54.75549322846813,0.23608593718232576,790.3343880620334,1084.2770741649836,0.7289044533849253,0.20825841525283578,163.55555555555554,136.0,7.54045882980615,1.0,4,2,5,2,0,0,0,8,88.88888888888889,-0.8880172264509439,-0.006368994842824105,-0.8816482316081198,-945.3462134792663,-71.26520978380097,-874.0810036954654,4,-1.4535701524521905,-0.3097263107640492,0.9300349825087456
