timeframe,period,feature,bucket,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
15m,later,extension_bin,<=0,52,27,18,34,34.61538461538461,0.12485476799436489,-1.0526142533936653,6.492447935706974,0.24103565118639222,72.21676378275168,-142.30632106854551,3755.271716703088,92.21676378275171,2.2721624994102303,1.0119552074610931,2.2453192420550776,30.813609553146964,1.1886984222644528,593.9125483768707,203.97512217884073,2.911691102487203,1.5414835248461662,15.341346153846153,11.875,2.04338175470626,0.0,31,21,21,13,4,1,0,52,100.0,0.12485476799436489,-0.1781202027927661,0.302974970787131,72.21676378275168,-64.59452400208272,136.81128778483443,8,-0.38559947150240037,1.060705709928947,0.22988505747126436
15m,later,extension_bin,0-.5,51,26,16,35,31.372549019607842,0.12434365464285958,-1.0823606557377066,6.341526386785839,0.2762410450136299,42.99425861761576,-131.341273951322,2192.7071894984037,62.994258617615785,2.7449042343852845,1.073626896096535,2.5566649311461336,28.116227402893152,1.1687611113810896,524.8573219583876,177.28599890959424,2.96051197041248,1.353376900759991,14.740196078431373,12.5,1.7233560090702802,10.0,31,20,20,15,5,0,0,51,100.0,0.12434365464285958,-0.04283895092362398,0.1671826055664835,42.99425861761576,2.3658631902259644,40.6283954273898,8,-0.21258395776838865,0.6662915635408635,0.21339330334832585
15m,later,extension_bin,.5-1,31,21,9,22,29.03225806451613,0.43980125213221644,-1.066817325800378,13.63383881609871,0.554040322674393,261.4602803937791,-126.405174212392,8105.268692207152,281.4602803937791,4.0667379406839395,1.0439455750025792,3.8955459346373416,20.426731019409363,1.593632427806185,1443.7232340113069,222.1927460861186,6.49761641386682,2.6581158056727903,14.798387096774194,8.5,1.89906347554631,16.0,14,10,17,5,1,0,0,31,100.0,0.43980125213221644,-0.28675614451956855,0.7265573966517851,261.4602803937791,-68.18250928493889,329.64278967871803,8,0.12512956641471662,1.4033694129820338,0.037481259370314844
15m,later,extension_bin,1-2,15,10,1,14,6.666666666666667,-1.0070300401891412,-1.1185148514851495,-15.105450602837118,-0.8887096774193544,-180.26703888671565,-178.16688634289702,-2704.005583300735,-160.26703888671565,0.5972903225806564,1.1216243518155553,0.532522605820596,65.2518922854352,0.038037328987185426,165.76544315130002,204.98364474657393,0.8086764354114189,0.05776260252938706,8.6,4.0,1.687552213868,34.0,4,2,11,3,1,0,0,15,100.0,-1.0070300401891412,0.34052640892996083,-1.347556449119102,-180.26703888671565,9.332029890272196,-189.59906877698788,6,-1.9533965376116242,-0.9022063803969562,1.0
15m,later,extension_bin,>2,11,10,4,7,36.36363636363637,0.025358981058619282,-1.0794934743102595,0.2789487916448121,0.12938560504052965,75.44167780959371,-135.110167194657,829.8584559055308,95.44167780959374,2.035637115768338,1.1233713816326485,1.812078488958701,35.56088508647194,1.035473422262115,568.9505988689692,206.56341993862085,2.754362795881428,1.5739215976465302,19.204545454545453,9.75,2.33966745843231,30.0,5,4,6,1,1,0,0,11,100.0,0.025358981058619282,0.36073713311476935,-0.3353781520561501,75.44167780959371,60.89624773695901,14.545430072634753,6,-1.4112315800211843,0.43673289233393026,0.7666166916541729
15m,full,efficiency_bin,<=0,38,19,12,26,31.57894736842105,-0.08014150030148978,-1.0767717404927104,-3.045377011456612,0.05264711201130033,-13.27163482507611,-124.763897100111,-504.32212335289216,6.728365174923944,1.9398801806317614,1.0124591991937597,1.9160082521611976,34.29345576298869,0.8843115009974758,337.6153472164083,175.21947269037662,1.92681408083561,0.8892988065395122,11.355263157894736,6.75,1.5955322390269748,12.0,21,16,17,9,4,0,0,38,100.0,-0.08014150030148978,-0.20570336632701067,0.12556186602552097,-13.27163482507611,-84.02546696681848,70.75383214174235,17,-0.7166808059529268,1.0818681632225031,0.383808095952024
15m,full,efficiency_bin,0-.5,122,28,32,90,26.229508196721312,-0.1592592734624044,-1.0921077283372362,-19.429631362413335,0.0014736629201711027,-6.064143503788053,-126.82074665924151,-739.8255074621425,13.935856496211947,2.4619716398726927,1.0912524870926612,2.2560971626574995,30.711614243840284,0.8021678800559998,458.93678652331187,171.3978075134236,2.677611768676613,0.9520397399739069,11.145491803278688,8.125,1.594314981475375,9.0,72,40,50,40,8,1,0,122,100.0,-0.1592592734624044,-0.04152077491444849,-0.11773849854795593,-6.064143503788053,-19.71300597942315,13.648862475635093,20,-0.6045761707153368,0.25568231986225703,0.7051474262868566
15m,full,efficiency_bin,>.5,249,29,85,164,34.13654618473896,0.058243616258027146,-1.0513368055555556,14.50266044824876,0.16555487138602426,68.07126555392028,-142.819508721965,16949.74512292615,88.07126555392028,2.126252570238816,1.0135902928173814,2.097743620184712,32.281561117067916,1.087245168998174,616.3408890715307,216.09286858630463,2.8522037451012516,1.4782763313024778,16.366465863453815,13.0,2.1058882072769203,3.0,127,87,121,43,13,2,0,249,100.0,0.058243616258027146,-0.17290796320219806,0.2311515794602252,68.07126555392028,-48.15302975574667,116.22429530966693,20,-0.08564877999343115,0.5557880870947022,0.09245377311344327
15m,earlier,efficiency_bin,<=0,22,15,8,14,36.36363636363637,0.21957010172642485,-1.0767717404927104,4.830542237981347,0.34830125437054577,33.69427053039996,-143.919813088616,741.2739516687992,53.694270530400054,2.5147288512055077,1.091949183690194,2.3029724173675303,30.275759941010953,1.3159842384957317,441.43745666364856,199.30183583145637,2.214919169319439,1.2656680967539653,8.079545454545455,5.625,1.5301267490743948,13.0,10,9,12,2,1,0,0,22,100.0,0.21957010172642485,-0.6667208843581893,0.8862909860846141,33.69427053039996,-168.41283760453712,202.10710813493705,11,0.11737028976724655,1.9385219453124525,0.03298350824587706
15m,earlier,efficiency_bin,0-.5,70,25,17,53,24.285714285714285,-0.3990153167521895,-1.098393668759397,-27.931072172653263,-0.23683430647078965,-29.41771604245881,-123.81518247728401,-2059.2401229721168,-9.417716042458807,1.7145734866411264,1.0769588951991023,1.5920510005390183,38.579487818412886,0.510657868097421,389.082180316674,163.65353185576555,2.3774749979706384,0.7625863201037896,10.592857142857143,8.125,1.52986629596195,8.5,45,21,25,28,4,0,0,70,100.0,-0.3990153167521895,-0.0901670306020833,-0.3088482861501061,-29.41771604245881,-41.103770557852066,11.686054515393268,13,-0.8852536387032467,0.22344473050758737,0.8455772113943029
15m,earlier,efficiency_bin,>.5,157,26,56,101,35.6687898089172,0.022209367399054204,-1.0302901661031905,3.48687068165151,0.13012305930041007,30.856453454783377,-139.404122013112,4844.46319240099,50.85645345478338,1.8458869649983087,0.988938607507463,1.8665334237993927,34.88534240338872,1.034909621116495,472.45036108720586,213.9876933513123,2.20783893544553,1.2241483206430663,16.552547770700638,13.25,2.0862339499215303,3.0,80,56,76,25,8,2,0,157,100.0,0.022209367399054204,-0.1509319794591531,0.17314134685820723,30.856453454783377,-41.169666734273456,72.02612018905683,13,-0.1722311447443762,0.5064348219775953,0.17791104447776113
15m,later,efficiency_bin,<=0,16,12,4,12,25.0,-0.49224495308987243,-1.0761497796514576,-7.875919249437959,-0.35387733373266217,-77.8497546888557,-105.8902556077525,-1245.5960750216911,-57.84975468885568,0.7901828394842684,0.9197208839479195,0.8591550472273647,53.78787538410751,0.2863850157424549,129.97112832192798,147.12338235911693,0.8834158529925473,0.2944719509975158,15.859375,11.5,1.6924739772371848,10.5,11,7,5,7,3,0,0,16,100.0,-0.49224495308987243,0.4281957209658598,-0.9204406740557322,-77.8497546888557,32.00716766004462,-109.85692234890033,6,-2.2153907916702194,0.4913345856335499,0.8670664667666167
15m,later,efficiency_bin,0-.5,52,24,15,37,28.846153846153843,0.16348924635076775,-1.090743401759532,8.501440810239924,0.322272852484926,25.373357990576416,-142.42582256169152,1319.4146155099736,45.37335799057643,3.3090228802018014,1.1117270916969484,2.9764704889496616,25.147929621983394,1.2066772252498628,538.1053402241682,182.49095913114996,2.9486684862971786,1.1954061430934506,11.889423076923077,7.875,1.6731327503911548,9.5,27,19,25,12,4,1,0,52,100.0,0.16348924635076775,0.0239645692804446,0.13952467707032323,25.373357990576416,9.082254030000403,16.291103960576017,7,-0.5242704902593188,0.5948464029504902,0.3333333333333333
15m,later,efficiency_bin,>.5,92,29,29,63,31.521739130434785,0.11973684528910057,-1.0706226121940416,11.015789766597253,0.22602002896690934,131.5791514187517,-145.4784407114135,12105.281930525156,151.5791514187517,2.667648221737726,1.0531112486316954,2.5331115066938983,28.30366372828544,1.1660354554622705,894.1984603516064,219.4678320582765,4.074394192376061,1.875514786966758,16.04891304347826,12.625,2.233788018827355,4.0,47,31,45,18,5,0,0,92,100.0,0.11973684528910057,-0.21041045719848137,0.3301473024875819,131.5791514187517,-60.070290564130296,191.649441982882,8,-0.30924972734804596,1.0773887647091802,0.21539230384807595
1h,full,extension_bin,<=0,38,20,13,25,34.21052631578947,0.04631834309865148,-1.0216723689410805,1.7600970377487561,0.10324784160893097,-12.119310692924094,-245.013389409057,-460.53380633111556,7.880689307075909,1.9633068961621933,0.9505157044943904,2.0655175783829254,32.62091879856401,1.0740691407591212,731.6056538162252,398.8562922376816,1.8342587745369092,0.9538145627591926,52.44736842105263,36.0,4.02840571709097,0.0,17,13,21,4,0,0,0,38,100.0,0.04631834309865148,-0.2377996012165758,0.28411794431522724,-12.119310692924094,-109.96599843594578,97.84668774302166,15,-0.2609699006726521,0.7979874115019248,0.16141929035482258
1h,full,extension_bin,0-.5,36,19,14,22,38.88888888888889,0.280810652124434,-1.052434465333794,10.109183476479625,0.36872455609528637,139.9708047797296,-200.8568848594725,5038.948972070266,159.97080477972955,2.431771351682887,1.0879825203218543,2.235119872112931,30.910755691623788,1.4223490095264104,853.4147700762584,314.0389913180616,2.717543979154843,1.729346168553082,45.5,40.5,2.87436045546502,7.5,25,17,11,11,3,0,0,36,100.0,0.280810652124434,0.2067474249702912,0.07406322715414267,139.9708047797296,42.777906292102536,97.192898487627,16,-0.46739234846723826,0.6605213030339501,0.3758120939530235
1h,full,extension_bin,.5-1,16,13,5,11,31.25,-0.2365819432986717,-1.0393556867447649,-3.785311092778747,-0.17419327519116903,-136.7842434739644,-277.46627694783547,-2188.5478955834305,-116.78424347396438,1.5783528533588287,1.0615523054157174,1.4868347469140728,40.2117591947316,0.6758339758700331,500.9913367996088,426.6822345074068,1.1741556040597516,0.5337070927544325,46.875,36.0,3.7476727532776297,30.0,8,6,8,3,1,1,0,16,100.0,-0.2365819432986717,-0.8533143020089315,0.6167323587102599,-136.7842434739644,-193.0195854329013,56.23534195893695,9,0.016728103278917588,1.0678747915583422,0.050474762618690654
1h,full,extension_bin,1-2,24,17,7,17,29.166666666666668,-0.13882944886350143,-1.0469143754161854,-3.331906772724034,-0.08293795869012639,-102.55862790976835,-350.97957826978745,-2461.4070698344403,-82.55862790976839,2.049088866538707,1.0397369904997047,1.970776153259586,33.66123694317335,0.8114960631068884,711.9295030706207,437.9360936075757,1.6256470143987816,0.6693840647524395,56.5,57.0,3.538958680168795,29.0,16,9,8,9,2,0,0,24,100.0,-0.13882944886350143,-0.21685119805220632,0.07802174918870497,-102.55862790976835,-50.81618970866187,-51.742438201106495,12,-0.6166806548013426,1.1243098155139082,0.42328835582208896
1h,full,extension_bin,>2,8,6,1,7,12.5,-0.7778924459128472,-1.0487175136749107,-6.223139567302778,-0.7275258044310097,-346.94709860701084,-402.66616835405796,-2775.5767888560868,-326.94709860701084,0.7500219780219772,0.9961659350463936,0.7529086788006328,57.04803747587213,0.10755838268580468,443.003028991777,459.7971168354092,0.9634750040208627,0.13763928628869468,27.875,23.5,4.115561776511295,58.0,3,1,5,2,0,0,0,8,100.0,-0.7778924459128472,-0.6536371675015743,-0.12425527841127298,-346.94709860701084,-188.40219846202365,-158.54490014498725,5,-0.5587026939053173,0.13576453263395538,0.6426786606696652
1h,earlier,extension_bin,<=0,24,15,9,15,37.5,-0.030249995467742947,-1.0216723689410805,-0.7259998912258308,0.027913142625412557,-17.73815582605595,-216.391004098611,-425.71573982534284,2.2618441739440436,1.6090935373369382,1.0138561151505516,1.587102462855883,38.653281590405484,0.9522614777135299,670.0810166757906,430.4296593271639,1.5567724067231874,0.9340634440339123,44.625,32.0,4.212295480751335,0.0,10,9,14,1,0,0,0,23,95.83333333333334,0.01411316324069788,-0.33752952799316566,0.35164269123386366,-0.4556299503088103,-100.46793691347217,100.01230696316337,9,-0.40131213946934274,0.8754977493662237,0.1729135432283858
1h,earlier,extension_bin,0-.5,20,14,9,11,45.0,0.7833053867706489,-1.0483895864441997,15.666107735412977,0.8755217983810644,331.63130217862437,-114.98462368961,6632.626043572487,351.63130217862437,3.0873533053213427,1.1018247284071914,2.802036681264588,26.301692588283814,2.2925754664892084,1097.650841941323,295.11195762722014,3.7194387200258925,3.0431771345666396,46.2,44.5,3.0316658945625,8.0,14,10,6,5,1,0,0,20,100.0,0.7833053867706489,0.3960685469259897,0.38723683984465906,331.63130217862437,148.14289375947396,183.48840841915043,10,-0.49270750155748194,1.244942811012163,0.18290854572713644
1h,earlier,extension_bin,.5-1,8,8,3,5,37.5,0.0648698295047773,-1.0437179354482216,0.5189586360382183,0.13265086458364833,58.153746957341134,-191.84058453149902,465.2299756587291,78.15374695734113,1.9699577034438527,1.078182894858668,1.8271090302374733,35.371822922443194,1.096265418142484,703.5117839055177,329.0610752115648,2.1379368053581103,1.282762083214866,47.75,36.0,3.5431263817768497,33.5,4,4,4,1,1,1,0,7,87.5,0.22294095396473804,-0.680290292784986,0.9032312467497238,137.95362113744832,-83.95143357232087,221.90505470976922,4,-0.3668300592649745,1.4094521789760013,0.25237381309345325
1h,earlier,extension_bin,1-2,11,9,4,7,36.36363636363637,-0.13281922770604307,-1.0457402832178355,-1.4610115047664738,-0.07861457169951361,-91.99456206281354,-342.58064516128997,-1011.940182690949,-71.99456206281353,1.4171647842990673,1.0185243774232489,1.3913901480535336,41.81668143167469,0.7950800846020192,552.6642530895214,460.3710278641478,1.2004757459511737,0.6859861405435278,49.81818181818182,43.0,3.33768413201566,27.0,8,5,3,4,1,0,0,11,100.0,-0.13281922770604307,-0.5588887869913547,0.4260695592853116,-91.99456206281354,-221.07834940276106,129.08378733994755,6,-0.3229230573475867,1.338979928495906,0.25087456271864067
1h,earlier,extension_bin,>2,4,3,1,3,25.0,-0.4904084985091865,-0.8291133758855304,-1.961633994036746,-0.4550516088620184,-339.5360948372657,-455.61653072288243,-1358.1443793490628,-319.5360948372658,0.7500219780219772,0.9038853240195744,0.8297755899903679,54.65151057159223,0.27659186333012264,443.003028991777,600.3824694469466,0.7378680283584186,0.2459560094528062,41.0,48.0,5.4377972671323,61.5,2,1,2,1,0,0,0,4,100.0,-0.4904084985091865,-0.5358790566994276,0.04547055819024115,-339.5360948372657,-193.45981475569204,-146.07628008157377,3,-0.2879406388004584,0.22433083587747082,0.3713143428285857
1h,later,extension_bin,<=0,12,11,2,10,16.666666666666664,-0.2806760134945403,-1.0374054815642886,-3.3681121619344836,-0.23001115045890552,-117.73111358609799,-301.73564895586503,-1412.7733630331759,-97.73111358609792,2.5934693615835,0.8555050885101483,3.0315066460913696,24.80462238526931,0.6063013292182738,1051.094526500705,351.49624160345854,2.9903435715437894,0.5980687143087579,53.75,37.0,4.11987813096462,0.0,5,2,7,3,0,0,0,12,100.0,-0.2806760134945403,-0.7526844942315739,0.47200848073703366,-117.73111358609799,-284.722319494779,166.99120590868105,6,-0.6191836134526338,1.1842341347594714,0.21839080459770116
1h,later,extension_bin,0-.5,16,13,5,11,31.25,-0.3473077661833345,-1.056804081632653,-5.556924258933352,-0.2647719967619363,-99.60481696888894,-254.86954596019848,-1593.677071502223,-79.60481696888897,1.2517238351336668,1.0741403122365167,1.1653261877188048,46.18241841214284,0.5296937216903659,413.7898407191424,332.96602500890316,1.2427389272166074,0.5648813305530034,44.625,36.5,2.75787665716231,7.0,11,7,5,6,2,0,0,16,100.0,-0.3473077661833345,-0.02990397747433171,-0.3174037887090028,-99.60481696888894,-88.9283280421117,-10.67648892677721,6,-1.1420428351360512,0.042955559951192844,0.8715642178910544
1h,later,extension_bin,.5-1,8,7,2,6,25.0,-0.5380337161021207,-1.038738113113113,-4.304269728816966,-0.48103741496598634,-331.72223390526995,-446.2397461595675,-2653.7778712421596,-311.7222339052699,0.9909455782312923,1.0476934808799248,0.9458353958631377,51.3918084811289,0.31527846528771253,197.2106661407455,508.0332005872751,0.3881846027243384,0.12939486757477947,46.0,36.0,4.26239746159567,23.0,4,2,4,2,0,0,0,8,100.0,-0.5380337161021207,-1.0389662644976667,0.5009325483955462,-331.72223390526995,-287.520456388753,-44.20177751651691,5,0.004488448178120108,0.8804190877228064,0.127936031984008
1h,later,extension_bin,1-2,12,11,2,10,16.666666666666664,-0.3379768776830505,-1.0493801337110211,-4.055722532196606,-0.28172105672105946,-172.75315332014114,-386.585982875867,-2073.0378398416938,-152.75315332014114,3.2450678321678157,1.0545858196532238,3.07710171300699,24.52722719204542,0.615420342601398,1074.639278219029,422.23163962797514,2.545141522709868,0.5090283045419736,56.333333333333336,59.0,3.6658598287586703,54.0,7,3,5,5,1,0,0,12,100.0,-0.3379768776830505,-0.2631581453597598,-0.07481873232329073,-172.75315332014114,-26.758056961948398,-145.9950963581928,6,-1.057357646504787,1.4663004688495973,0.5147426286856571
1h,later,extension_bin,>2,4,3,0,4,0.0,-1.0653763933165081,-1.05724272471351,-4.2615055732660325,-1.0000000000000009,-354.358102376756,-373.39262005512603,-1417.432409507024,-334.358102376756,,1.0653763933165081,,,0.0,,354.358102376756,,0.0,14.75,7.0,3.53392620055126,58.0,1,0,3,1,0,0,0,4,100.0,-1.0653763933165081,-0.7713952783037209,-0.2939811150127871,-354.358102376756,-183.34458216835526,-171.01352020840076,3,-1.2235268792428073,0.01844821693840859,0.6256871564217891
1h,full,efficiency_bin,<=0,8,8,0,8,0.0,-1.0676289401823063,-1.071524109014674,-8.54103152145845,-0.9999999999999992,-332.81068131948535,-299.7104967537265,-2662.485450555883,-312.8106813194854,,1.0676289401823063,,,0.0,,332.81068131948535,,0.0,18.5,14.0,2.7971049675372748,7.5,1,0,7,1,0,0,0,8,100.0,-1.0676289401823063,-0.9009718902120931,-0.16665704997021313,-332.81068131948535,-348.2179621229718,15.407280803486511,5,-0.31821064256787696,0.002580593190545599,0.8800599700149925
1h,full,efficiency_bin,0-.5,39,23,9,30,23.076923076923077,-0.3038605717830808,-1.0500591715976346,-11.850562299540151,-0.2375652158604146,-136.8528682191964,-305.558328134747,-5337.2618605486605,-116.85286821919642,2.1422329472856196,1.0376886275036912,2.0644275079308407,32.63252262982129,0.6193282523792523,724.0267354176251,395.1167493102428,1.8324374673601207,0.5497312402080362,44.56410256410256,28.0,3.32226916113457,13.0,22,11,17,13,2,0,0,39,100.0,-0.3038605717830808,-0.4747133893101484,0.17085281752706769,-136.8528682191964,-128.53021285734388,-8.322655361852545,17,-0.2552748476673124,0.761296302223729,0.2658670664667666
1h,full,efficiency_bin,>.5,75,25,31,44,41.333333333333336,0.25227355869895224,-1.030227272727273,18.92051690242142,0.31819647429408043,68.70174296759643,-218.540145985401,5152.630722569733,88.70174296759645,2.0410677535059807,1.0080132603696361,2.0248421660222267,33.05957617335899,1.4265933442429326,737.8679321420675,402.7562539507808,1.8320458711790466,1.2907595910579646,54.32,50.0,3.6417541453804403,6.0,46,35,29,15,4,1,0,75,100.0,0.25227355869895224,0.0005541977611292293,0.25171936093782304,68.70174296759643,-8.738677643474078,77.44042061107054,18,-0.1285022028647038,0.7299778068875397,0.12343828085957022
1h,earlier,efficiency_bin,<=0,3,3,0,3,0.0,-1.0638565157387976,-1.0702809224318646,-3.1915695472163925,-0.9999999999999997,-348.85158087267536,-304.572246748596,-1046.554742618026,-328.85158087267536,,1.0638565157387976,,,0.0,,348.85158087267536,,0.0,19.333333333333332,21.0,2.84572246748597,31.0,0,0,3,0,0,0,0,3,100.0,-1.0638565157387976,-1.0626593133825617,-0.0011972023562358085,-348.85158087267536,-355.53953043573426,6.687949563058983,2,-0.0025739160624360657,-0.0005088455031356798,1.0
1h,earlier,efficiency_bin,0-.5,22,16,4,18,18.181818181818183,-0.4379309826393616,-1.0549904796535667,-9.634481618065955,-0.37169300929969373,-170.05802808969395,-305.9444702237515,-3741.2766179732666,-150.05802808969395,2.328697183943298,1.0527372418799525,2.212040280616241,31.13285988456367,0.49156450680360914,888.7212029927223,405.34230166356417,2.1925202460866386,0.4872267213525864,40.27272727272727,26.5,3.27403780637373,14.0,11,5,11,7,1,0,0,21,95.45454545454545,-0.4091835036357623,-0.7409879769936085,0.33180447335784613,-154.32529741285038,-230.67598594538367,76.35068853253333,11,-0.3091184781298554,1.0381259654413395,0.23488255872063968
