stream,period,kind,length,first_entry,last_exit_bar,sum_net_r,first_entry_beijing,last_exit_bar_beijing
ETH 3m OKX,development,gross_loss,6,2025-03-17T10:00:00+00:00,2025-03-22T14:15:00+00:00,-7.98097701019717,2025-03-17T18:00:00+08:00,2025-03-22T22:15:00+08:00
ETH 3m OKX,development,gross_loss,6,2025-05-22T14:45:00+00:00,2025-05-24T17:24:00+00:00,-8.30643309624789,2025-05-22T22:45:00+08:00,2025-05-25T01:24:00+08:00
ETH 3m OKX,development,gross_loss,6,2025-06-21T09:45:00+00:00,2025-06-25T04:09:00+00:00,-7.713057768879983,2025-06-21T17:45:00+08:00,2025-06-25T12:09:00+08:00
ETH 3m OKX,development,gross_loss,6,2025-08-15T12:27:00+00:00,2025-08-17T01:36:00+00:00,-9.819344614735728,2025-08-15T20:27:00+08:00,2025-08-17T09:36:00+08:00
ETH 3m OKX,development,gross_loss,6,2026-02-14T04:33:00+00:00,2026-02-18T07:21:00+00:00,-8.041720820286454,2026-02-14T12:33:00+08:00,2026-02-18T15:21:00+08:00
ETH 3m OKX,development,gross_loss,6,2026-04-15T05:27:00+00:00,2026-04-16T05:27:00+00:00,-9.210706376967009,2026-04-15T13:27:00+08:00,2026-04-16T13:27:00+08:00
ETH 3m OKX,development,gross_loss,6,2026-04-30T12:27:00+00:00,2026-05-02T12:06:00+00:00,-12.666712239128454,2026-04-30T20:27:00+08:00,2026-05-02T20:06:00+08:00
ETH 3m OKX,development,gross_loss,5,2023-08-15T03:42:00+00:00,2023-08-19T12:12:00+00:00,-12.863097755162205,2023-08-15T11:42:00+08:00,2023-08-19T20:12:00+08:00
ETH 3m OKX,development,gross_loss,5,2023-10-04T12:36:00+00:00,2023-10-07T15:39:00+00:00,-10.55266693646131,2023-10-04T20:36:00+08:00,2023-10-07T23:39:00+08:00
ETH 3m OKX,development,gross_loss,5,2023-11-23T04:48:00+00:00,2023-11-24T06:54:00+00:00,-9.659221744446516,2023-11-23T12:48:00+08:00,2023-11-24T14:54:00+08:00
ETH 3m OKX,development,gross_loss,5,2023-12-01T12:24:00+00:00,2023-12-05T01:18:00+00:00,-8.081215430226917,2023-12-01T20:24:00+08:00,2023-12-05T09:18:00+08:00
ETH 3m OKX,development,gross_loss,5,2023-12-08T17:12:00+00:00,2023-12-10T08:30:00+00:00,-7.639951508038351,2023-12-09T01:12:00+08:00,2023-12-10T16:30:00+08:00
ETH 3m OKX,development,gross_loss,5,2023-12-28T13:27:00+00:00,2023-12-29T09:24:00+00:00,-6.282673370146075,2023-12-28T21:27:00+08:00,2023-12-29T17:24:00+08:00
ETH 3m OKX,development,gross_loss,5,2024-02-08T05:42:00+00:00,2024-02-10T01:24:00+00:00,-8.669307698040189,2024-02-08T13:42:00+08:00,2024-02-10T09:24:00+08:00
ETH 3m OKX,development,gross_loss,5,2024-06-09T16:36:00+00:00,2024-06-13T17:03:00+00:00,-5.452425351391477,2024-06-10T00:36:00+08:00,2024-06-14T01:03:00+08:00
ETH 3m OKX,development,gross_loss,5,2024-12-25T05:21:00+00:00,2024-12-28T10:06:00+00:00,-6.951774169326488,2024-12-25T13:21:00+08:00,2024-12-28T18:06:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-01-14T16:09:00+00:00,2025-01-15T09:24:00+00:00,-7.108769813291654,2025-01-15T00:09:00+08:00,2025-01-15T17:24:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-04-15T01:00:00+00:00,2025-04-15T13:54:00+00:00,-6.643366676421276,2025-04-15T09:00:00+08:00,2025-04-15T21:54:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-04-22T04:12:00+00:00,2025-04-24T02:06:00+00:00,-7.3955939347170485,2025-04-22T12:12:00+08:00,2025-04-24T10:06:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-05-11T07:42:00+00:00,2025-05-12T06:48:00+00:00,-4.60786086228822,2025-05-11T15:42:00+08:00,2025-05-12T14:48:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-05-26T10:54:00+00:00,2025-05-28T10:30:00+00:00,-7.840152518645404,2025-05-26T18:54:00+08:00,2025-05-28T18:30:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-06-11T09:54:00+00:00,2025-06-14T13:42:00+00:00,-6.649107274875671,2025-06-11T17:54:00+08:00,2025-06-14T21:42:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-06-25T07:30:00+00:00,2025-06-28T10:27:00+00:00,-7.7097194486075935,2025-06-25T15:30:00+08:00,2025-06-28T18:27:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-08-13T19:24:00+00:00,2025-08-14T07:15:00+00:00,-5.496064447916578,2025-08-14T03:24:00+08:00,2025-08-14T15:15:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-08-24T08:03:00+00:00,2025-08-27T18:57:00+00:00,-5.061631269726476,2025-08-24T16:03:00+08:00,2025-08-28T02:57:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-09-13T10:00:00+00:00,2025-09-14T10:27:00+00:00,-8.556369464542614,2025-09-13T18:00:00+08:00,2025-09-14T18:27:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-09-17T17:51:00+00:00,2025-09-19T02:24:00+00:00,-6.544994508053429,2025-09-18T01:51:00+08:00,2025-09-19T10:24:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-09-20T02:21:00+00:00,2025-09-23T21:00:00+00:00,-9.095714647876454,2025-09-20T10:21:00+08:00,2025-09-24T05:00:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-10-31T11:00:00+00:00,2025-11-01T15:03:00+00:00,-7.18978823382059,2025-10-31T19:00:00+08:00,2025-11-01T23:03:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-11-09T03:30:00+00:00,2025-11-10T19:48:00+00:00,-5.910389086385728,2025-11-09T11:30:00+08:00,2025-11-11T03:48:00+08:00
ETH 3m OKX,development,gross_loss,5,2025-11-22T02:24:00+00:00,2025-11-22T21:27:00+00:00,-6.656146008839033,2025-11-22T10:24:00+08:00,2025-11-23T05:27:00+08:00
ETH 3m OKX,development,gross_loss,5,2026-02-01T10:09:00+00:00,2026-02-03T05:18:00+00:00,-5.8731559887707,2026-02-01T18:09:00+08:00,2026-02-03T13:18:00+08:00
ETH 3m OKX,development,gross_loss,5,2026-03-17T13:42:00+00:00,2026-03-18T04:33:00+00:00,-6.9280799419407995,2026-03-17T21:42:00+08:00,2026-03-18T12:33:00+08:00
ETH 3m OKX,development,gross_loss,5,2026-03-27T06:30:00+00:00,2026-03-28T02:00:00+00:00,-8.403423634345206,2026-03-27T14:30:00+08:00,2026-03-28T10:00:00+08:00
ETH 3m OKX,development,gross_loss,4,2023-08-11T11:39:00+00:00,2023-08-13T14:54:00+00:00,-13.875077685420669,2023-08-11T19:39:00+08:00,2023-08-13T22:54:00+08:00
ETH 3m OKX,development,gross_loss,4,2023-10-25T14:27:00+00:00,2023-10-26T03:18:00+00:00,-5.817162082656981,2023-10-25T22:27:00+08:00,2023-10-26T11:18:00+08:00
ETH 3m OKX,development,gross_loss,4,2023-10-27T04:24:00+00:00,2023-10-27T12:15:00+00:00,-6.229896004340991,2023-10-27T12:24:00+08:00,2023-10-27T20:15:00+08:00
ETH 3m OKX,development,gross_loss,4,2023-11-12T12:03:00+00:00,2023-11-12T20:51:00+00:00,-6.511346056242917,2023-11-12T20:03:00+08:00,2023-11-13T04:51:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-02-11T23:06:00+00:00,2024-02-17T08:09:00+00:00,-7.371724386374447,2024-02-12T07:06:00+08:00,2024-02-17T16:09:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-03-01T21:00:00+00:00,2024-03-03T00:39:00+00:00,-4.128373345159226,2024-03-02T05:00:00+08:00,2024-03-03T08:39:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-03-06T18:00:00+00:00,2024-03-07T09:30:00+00:00,-4.1072597470209,2024-03-07T02:00:00+08:00,2024-03-07T17:30:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-03-17T23:27:00+00:00,2024-03-21T15:06:00+00:00,-3.338174517425062,2024-03-18T07:27:00+08:00,2024-03-21T23:06:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-04-21T13:54:00+00:00,2024-04-22T01:18:00+00:00,-6.020648856281786,2024-04-21T21:54:00+08:00,2024-04-22T09:18:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-05-09T09:24:00+00:00,2024-05-10T10:30:00+00:00,-6.946594721286397,2024-05-09T17:24:00+08:00,2024-05-10T18:30:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-05-30T00:57:00+00:00,2024-05-31T10:03:00+00:00,-5.573947472740663,2024-05-30T08:57:00+08:00,2024-05-31T18:03:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-06-19T11:39:00+00:00,2024-06-20T04:30:00+00:00,-5.324671579533248,2024-06-19T19:39:00+08:00,2024-06-20T12:30:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-06-28T00:39:00+00:00,2024-06-29T05:18:00+00:00,-8.388253807517994,2024-06-28T08:39:00+08:00,2024-06-29T13:18:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-06-29T10:06:00+00:00,2024-06-30T01:15:00+00:00,-7.760039205925661,2024-06-29T18:06:00+08:00,2024-06-30T09:15:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-07-19T03:48:00+00:00,2024-07-20T21:09:00+00:00,-6.091324722475462,2024-07-19T11:48:00+08:00,2024-07-21T05:09:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-09-19T13:48:00+00:00,2024-09-21T11:18:00+00:00,-4.643727287466625,2024-09-19T21:48:00+08:00,2024-09-21T19:18:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-11-29T00:15:00+00:00,2024-11-30T02:00:00+00:00,-5.185275548856217,2024-11-29T08:15:00+08:00,2024-11-30T10:00:00+08:00
ETH 3m OKX,development,gross_loss,4,2024-12-10T15:27:00+00:00,2024-12-13T10:45:00+00:00,-5.397774616681947,2024-12-10T23:27:00+08:00,2024-12-13T18:45:00+08:00
ETH 3m OKX,development,gross_loss,4,2025-01-21T20:42:00+00:00,2025-01-23T12:36:00+00:00,-5.651757791459699,2025-01-22T04:42:00+08:00,2025-01-23T20:36:00+08:00
ETH 3m OKX,development,gross_loss,4,2025-01-28T07:57:00+00:00,2025-01-28T15:00:00+00:00,-5.907788399074633,2025-01-28T15:57:00+08:00,2025-01-28T23:00:00+08:00
ETH 3m OKX,development,gross_loss,4,2025-04-11T13:51:00+00:00,2025-04-13T01:30:00+00:00,-4.607847539034179,2025-04-11T21:51:00+08:00,2025-04-13T09:30:00+08:00
ETH 3m OKX,development,gross_loss,4,2025-05-31T10:36:00+00:00,2025-05-31T23:15:00+00:00,-5.554209390372563,2025-05-31T18:36:00+08:00,2025-06-01T07:15:00+08:00
ETH 3m OKX,development,gross_loss,4,2025-07-09T03:12:00+00:00,2025-07-12T11:42:00+00:00,-4.888126678057053,2025-07-09T11:12:00+08:00,2025-07-12T19:42:00+08:00
ETH 3m OKX,development,gross_loss,4,2025-10-10T03:33:00+00:00,2025-10-11T16:39:00+00:00,-4.988687800846461,2025-10-10T11:33:00+08:00,2025-10-12T00:39:00+08:00
ETH 3m OKX,development,gross_loss,4,2025-12-04T09:33:00+00:00,2025-12-06T11:12:00+00:00,-4.445713278823021,2025-12-04T17:33:00+08:00,2025-12-06T19:12:00+08:00
ETH 3m OKX,development,gross_loss,4,2025-12-11T14:33:00+00:00,2025-12-12T14:36:00+00:00,-6.244067867960033,2025-12-11T22:33:00+08:00,2025-12-12T22:36:00+08:00
ETH 3m OKX,development,gross_loss,4,2026-02-26T09:15:00+00:00,2026-02-27T08:12:00+00:00,-3.2387398349936607,2026-02-26T17:15:00+08:00,2026-02-27T16:12:00+08:00
ETH 3m OKX,development,gross_loss,4,2026-04-11T05:12:00+00:00,2026-04-13T12:51:00+00:00,-5.981170231503884,2026-04-11T13:12:00+08:00,2026-04-13T20:51:00+08:00
ETH 3m OKX,later,gross_loss,4,2026-05-08T03:06:00+00:00,2026-05-13T00:18:00+00:00,-8.139861069961842,2026-05-08T11:06:00+08:00,2026-05-13T08:18:00+08:00
ETH 3m OKX,later,gross_loss,4,2026-05-25T16:48:00+00:00,2026-05-27T04:51:00+00:00,-6.040722861373846,2026-05-26T00:48:00+08:00,2026-05-27T12:51:00+08:00
ETH 3m OKX,later,gross_loss,4,2026-05-30T04:12:00+00:00,2026-05-30T11:18:00+00:00,-8.295360249113896,2026-05-30T12:12:00+08:00,2026-05-30T19:18:00+08:00
ETH 3m OKX,later,gross_loss,4,2026-07-07T14:54:00+00:00,2026-07-09T04:36:00+00:00,-4.33532892003264,2026-07-07T22:54:00+08:00,2026-07-09T12:36:00+08:00
ETH 3m OKX,later,gross_loss,4,2026-07-15T23:45:00+00:00,2026-07-16T06:36:00+00:00,-5.442725307675678,2026-07-16T07:45:00+08:00,2026-07-16T14:36:00+08:00
ETH 3m OKX,later,gross_loss,4,2026-07-18T02:18:00+00:00,2026-07-18T17:45:00+00:00,-7.210542907294074,2026-07-18T10:18:00+08:00,2026-07-19T01:45:00+08:00
ETH 3m OKX,development,gross_loss,3,2023-10-12T02:42:00+00:00,2023-10-12T07:21:00+00:00,-5.783136217074612,2023-10-12T10:42:00+08:00,2023-10-12T15:21:00+08:00
ETH 3m OKX,development,gross_loss,3,2023-11-08T09:51:00+00:00,2023-11-10T18:42:00+00:00,-4.48334457792174,2023-11-08T17:51:00+08:00,2023-11-11T02:42:00+08:00
ETH 3m OKX,development,gross_loss,3,2023-11-19T14:09:00+00:00,2023-11-21T13:27:00+00:00,-4.503356018647519,2023-11-19T22:09:00+08:00,2023-11-21T21:27:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-01-21T08:12:00+00:00,2024-01-25T12:18:00+00:00,-5.3240324561170205,2024-01-21T16:12:00+08:00,2024-01-25T20:18:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-04-02T23:57:00+00:00,2024-04-03T15:36:00+00:00,-3.7673929599078537,2024-04-03T07:57:00+08:00,2024-04-03T23:36:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-05-08T08:51:00+00:00,2024-05-08T19:12:00+00:00,-4.038019192420483,2024-05-08T16:51:00+08:00,2024-05-09T03:12:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-05-11T09:24:00+00:00,2024-05-12T10:03:00+00:00,-5.276985049139549,2024-05-11T17:24:00+08:00,2024-05-12T18:03:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-07-25T12:12:00+00:00,2024-07-26T19:03:00+00:00,-3.838363210064334,2024-07-25T20:12:00+08:00,2024-07-27T03:03:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-08-04T04:48:00+00:00,2024-08-06T06:15:00+00:00,-4.733070771500946,2024-08-04T12:48:00+08:00,2024-08-06T14:15:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-08-10T22:30:00+00:00,2024-08-13T14:54:00+00:00,-4.15713519355292,2024-08-11T06:30:00+08:00,2024-08-13T22:54:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-09-12T15:03:00+00:00,2024-09-14T15:42:00+00:00,-5.176096434806112,2024-09-12T23:03:00+08:00,2024-09-14T23:42:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-09-28T00:54:00+00:00,2024-09-28T05:27:00+00:00,-4.646956030540516,2024-09-28T08:54:00+08:00,2024-09-28T13:27:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-11-10T17:39:00+00:00,2024-11-14T07:54:00+00:00,-3.862115728584567,2024-11-11T01:39:00+08:00,2024-11-14T15:54:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-11-19T12:06:00+00:00,2024-11-20T11:03:00+00:00,-4.218306906675292,2024-11-19T20:06:00+08:00,2024-11-20T19:03:00+08:00
ETH 3m OKX,development,gross_loss,3,2024-12-23T14:12:00+00:00,2024-12-24T12:33:00+00:00,-4.333803611179872,2024-12-23T22:12:00+08:00,2024-12-24T20:33:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-01-24T15:45:00+00:00,2025-01-24T19:27:00+00:00,-4.168374918587006,2025-01-24T23:45:00+08:00,2025-01-25T03:27:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-02-10T14:42:00+00:00,2025-02-10T21:42:00+00:00,-3.1104708053405905,2025-02-10T22:42:00+08:00,2025-02-11T05:42:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-02-19T20:09:00+00:00,2025-02-19T23:12:00+00:00,-4.20521397309734,2025-02-20T04:09:00+08:00,2025-02-20T07:12:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-02-28T14:09:00+00:00,2025-03-02T03:03:00+00:00,-3.8930521732460264,2025-02-28T22:09:00+08:00,2025-03-02T11:03:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-03-14T07:39:00+00:00,2025-03-15T15:00:00+00:00,-4.868438197567853,2025-03-14T15:39:00+08:00,2025-03-15T23:00:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-03-25T19:36:00+00:00,2025-03-27T10:45:00+00:00,-4.209198118532878,2025-03-26T03:36:00+08:00,2025-03-27T18:45:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-04-05T01:00:00+00:00,2025-04-05T11:03:00+00:00,-5.116801678766716,2025-04-05T09:00:00+08:00,2025-04-05T19:03:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-04-26T02:45:00+00:00,2025-04-27T14:18:00+00:00,-3.447141950070762,2025-04-26T10:45:00+08:00,2025-04-27T22:18:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-06-03T11:54:00+00:00,2025-06-03T15:33:00+00:00,-4.622978290985179,2025-06-03T19:54:00+08:00,2025-06-03T23:33:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-07-05T06:27:00+00:00,2025-07-05T12:03:00+00:00,-4.671977631483767,2025-07-05T14:27:00+08:00,2025-07-05T20:03:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-08-08T08:30:00+00:00,2025-08-08T13:21:00+00:00,-3.1284451797069464,2025-08-08T16:30:00+08:00,2025-08-08T21:21:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-09-06T02:12:00+00:00,2025-09-06T08:09:00+00:00,-5.913033871914193,2025-09-06T10:12:00+08:00,2025-09-06T16:09:00+08:00
ETH 3m OKX,development,gross_loss,3,2025-10-02T11:09:00+00:00,2025-10-02T14:42:00+00:00,-4.673435290646349,2025-10-02T19:09:00+08:00,2025-10-02T22:42:00+08:00
