candidates,valid,matched,invalid,natural_exits,censored,mean_net_bp,mean_gross_bp,wins,win_rate,natural_wins,natural_win_rate,median_peak_r,median_net_r,max_peak_r,max_net_r,paired_actual_net_bp,paired_random_net_bp,mean_excess_bp,asset_balanced_excess_bp,permutation_assets,permutation_p,account_return_not_computed,arm,period,signals,alerts_per_day,alerts_per_100_asset_days,positive_events,hits_1,recall_1,event_match_rate,unknown_match,forward_known,forward_success_rate,random_forward_success_rate,holm_p
233,233,229,0,231,2,1126.9153223837209,1146.9153223837209,177,0.759656652360515,176,0.7619047619047619,5.025773195876297,2.781525252525255,40.166666666666636,20.098083333333317,1113.733853904264,680.0873213432535,433.6465325610107,505.9828924742376,208,9.999000099990002e-05,True,v2,week_2026-08-17,233,33.285714285714285,12.28255139694254,549,54,0.09836065573770492,0.4034334763948498,0,233,0.5965665236051502,0.4465592972181552,
150,150,150,0,144,6,-140.2375650041185,-120.2375650041185,30,0.2,26,0.18055555555555555,0.6649916247906209,-1.0329365197490565,56.23333333333337,33.31074222222226,-140.2375650041185,89.30203911256964,-229.5396041166882,-212.81026831293343,123,1.0,True,v2,week_2026-08-24,150,21.428571428571427,7.8810832111035705,94,14,0.14893617021276595,0.17333333333333334,0,150,0.15333333333333332,0.203125,
223,223,222,0,133,90,128.2739816930292,148.2739816930292,106,0.47533632286995514,44,0.3308270676691729,1.2659176029962558,-0.03838709677419725,15.952380952380919,8.422725853658534,109.3794629490467,198.76703014222377,-89.3875671931771,-4.20246090016594,179,0.523047695230477,True,v2,week_2026-08-31,223,31.857142857142858,11.71218487394958,261,26,0.09961685823754789,0.23318385650224216,0,223,0.23318385650224216,0.28012048192771083,
41,41,37,0,16,25,94.43953699095908,114.43953699095908,13,0.3170731707317073,1,0.0625,0.4831932773109285,-0.5427948463825563,17.53421633554083,7.070450331125822,88.81291200430428,64.0111759055669,24.801736098737408,29.943221270766085,36,0.44345565443455653,True,v2,week_2026-09-07,41,20.5,7.536764705882353,19,1,0.05263157894736842,0.0975609756097561,19,22,0.09090909090909091,0.3076923076923077,
1381,1381,1362,0,1259,122,122.04390444651895,142.04390444651898,496,0.3591600289645185,419,0.3328038125496426,1.1047573282075938,-1.028326514555468,56.23333333333337,33.31074222222226,115.47204340799324,190.30931339600957,-74.83726998801632,-10.833375290365382,271,0.6415358464153584,True,episode,full,1381,22.639344262295083,8.387531063523957,1660,177,0.10662650602409639,0.24257784214337436,20,1361,0.2542248346803821,0.26364315973087465,1.0
638,638,628,0,638,0,-136.5893275120342,-116.5893275120342,153,0.23981191222570533,153,0.23981191222570533,0.872551243007408,-1.041110204081633,19.732544378698222,12.039725190839707,-136.90872911620383,48.05962880157592,-184.96835791777974,-161.03949478190773,257,1.0,True,episode,first31,638,20.580645161290324,7.664469238508552,630,75,0.11904761904761904,0.21473354231974923,0,638,0.18808777429467086,0.22269807280513917,
743,743,734,0,621,122,344.12735261550534,364.12735261550534,343,0.4616419919246299,266,0.428341384863124,1.4074074074074097,-0.4920915032679734,56.23333333333337,33.31074222222226,331.4054564123471,312.0161280081408,19.389328404206346,112.27053449379893,268,0.0066993300669933005,True,episode,last30,743,24.766666666666666,9.126876481095717,1030,102,0.09902912621359224,0.26648721399730824,20,723,0.31258644536652835,0.2993006993006993,
79,79,76,0,79,0,1897.1596242225069,1917.1596242225069,76,0.9620253164556962,76,0.9620253164556962,7.8738738738739285,4.844686567164168,40.166666666666636,20.098083333333317,1910.100485254594,958.8641430348277,951.2363422197668,951.2363422197668,76,9.999000099990002e-05,True,episode,case_night,79,158.0,58.30258302583026,144,26,0.18055555555555555,0.6075949367088608,0,79,0.810126582278481,0.47345132743362833,
64,64,60,0,64,0,-321.43442297602843,-301.4344229760284,8,0.125,8,0.125,0.6308150107455781,-1.0396928763440851,4.753378378378386,2.2122229729729805,-315.8478618169718,-90.50066436318758,-225.3471974537842,-237.87848524982462,58,1.0,True,episode,week_2026-07-06,64,21.333333333333332,7.997084396313844,51,8,0.1568627450980392,0.265625,0,64,0.203125,0.23391812865497075,
133,133,133,0,133,0,-161.3394525395418,-141.33945253954178,27,0.20300751879699247,27,0.20300751879699247,0.6104783599088857,-1.043556962025316,19.6259541984733,12.039725190839707,-161.3394525395418,20.645140317030293,-181.98459285657208,-146.3844742693431,116,0.9938006199380062,True,episode,week_2026-07-13,133,19.0,7.093963907902925,111,10,0.09009009009009009,0.14285714285714285,0,133,0.15037593984962405,0.15365239294710328,
132,132,131,0,132,0,-243.60390179894677,-223.60390179894677,24,0.18181818181818182,24,0.18181818181818182,0.8387476381476437,-1.0427729651706168,11.849206349206336,5.669380952380943,-243.01730234326487,64.18280591698003,-307.200108260245,-335.49687267880194,112,1.0,True,episode,week_2026-07-20,132,18.857142857142858,7.010090281465746,172,15,0.0872093023255814,0.17424242424242425,0,132,0.19696969696969696,0.24296675191815856,
120,120,117,0,120,0,-181.1398492716088,-161.13984927160874,31,0.25833333333333336,31,0.25833333333333336,0.920599803343168,-1.0312209545870665,16.97468354430382,7.28905000000002,-198.20652982787666,104.2932151676302,-302.499744995507,-277.8858633013364,106,0.9992000799920008,True,episode,week_2026-07-27,120,17.142857142857142,6.372809346787042,98,17,0.17346938775510204,0.275,0,120,0.20833333333333334,0.24285714285714285,
189,189,187,0,189,0,46.44685849524386,66.44685849524386,63,0.3333333333333333,63,0.3333333333333333,1.3333333333333368,-1.0420922190201722,19.732544378698222,8.827928994082837,50.5656021851906,65.53705527956569,-14.971453094375073,12.955410079461036,166,0.45345465453454653,True,episode,week_2026-08-03,189,27.0,10.037174721189592,198,25,0.12626262626262627,0.23809523809523808,0,189,0.19047619047619047,0.24150268336314848,
111,111,111,0,110,1,-96.43343625895939,-76.43343625895936,27,0.24324324324324326,26,0.23636363636363636,0.491891891891894,-1.0426081504702198,37.129554655870464,23.58127327935224,-96.43343625895939,127.95078816584792,-224.38422442480723,-233.21420130809977,93,0.999000099990001,True,episode,week_2026-08-10,111,15.857142857142858,5.865257595772787,107,9,0.08411214953271028,0.21621621621621623,0,111,0.15315315315315314,0.17417417417417416,
227,227,223,0,225,2,1120.1906990775715,1140.1906990775715,171,0.7533039647577092,170,0.7555555555555555,5.108013937282218,2.810676356589152,40.166666666666636,20.098083333333317,1106.5339512075257,700.0093313647628,406.52461984276295,476.508410684931,207,9.999000099990002e-05,True,episode,week_2026-08-17,227,32.42857142857143,11.966262519768055,549,53,0.0965391621129326,0.40969162995594716,0,227,0.5859030837004405,0.44511278195488724,
146,146,146,0,140,6,-120.77971902747007,-100.77971902747005,30,0.2054794520547945,26,0.18571428571428572,0.670731707317074,-1.0329365197490565,56.23333333333337,33.31074222222226,-120.77971902747007,97.03965332023316,-217.81937234770328,-209.22964977396944,123,0.9999000099990001,True,episode,week_2026-08-24,146,20.857142857142858,7.670920992140808,94,14,0.14893617021276595,0.1780821917808219,0,146,0.15753424657534246,0.2018348623853211,
217,217,216,0,130,87,119.70635214012219,139.7063521401222,102,0.4700460829493088,43,0.33076923076923076,1.2659176029962558,-0.10036767676767659,15.952380952380919,8.422725853658534,100.24732070161745,194.7900726768083,-94.54275197519085,-12.127847328407585,178,0.5744425557444256,True,episode,week_2026-08-31,217,31.0,11.397058823529411,261,25,0.09578544061302682,0.2350230414746544,0,217,0.2350230414746544,0.2786377708978328,
42,42,38,0,16,26,89.643006930009,109.64300693000902,13,0.30952380952380953,1,0.0625,0.4684873949579854,-0.508242423191279,17.53421633554083,7.070450331125822,83.65955312079777,65.07301300735517,18.586540113442624,23.421087956894965,37,0.45465453454654536,True,episode,week_2026-09-07,42,21.0,7.720588235294118,19,1,0.05263157894736842,0.09523809523809523,20,22,0.09090909090909091,0.3076923076923077,
