symbol,n,net_r_sum,net_bp_sum
GUNUSDT,1,-0.6566397849462379,-253.523611831862
GUSDT,6,1.1603583841173224,151.79414047500092
HAEDALUSDT,6,0.5622455195994214,-770.6305223548931
HANAUSDT,2,0.4346367941712239,15.23635509767098
HBARUSDT,5,-0.14645333863760612,-250.70417613316707
HEIUSDT,3,-1.4317795415110415,35.076789452537014
HEMIUSDT,2,6.97520221574093,2613.786551899399
HFTUSDT,2,0.30288432002614285,552.717639192834
HIFIUSDT,4,-0.1942048817464317,-1443.560691486302
HIGHUSDT,4,0.12522896207988765,387.49454843173703
HIPPOUSDT,1,2.3793049327354296,1070.26727181039
HIVEUSDT,5,-0.45183133937251774,-285.3178188201559
HMSTRUSDT,3,0.4564810158767225,-176.85930691737008
HOLOUSDT,1,-1.055756272401435,-378.704037027514
HOMEUSDT,2,0.545992088751051,301.271008585534
HOOKUSDT,8,-4.830752581293167,-1819.302287505201
HOTUSDT,5,1.4030396084629062,0.4288501703109091
HUMAUSDT,3,1.3686845126117682,872.9763180247829
HUSDT,3,1.8031865034730794,554.952095706449
HYPERUSDT,2,14.32873178067121,10676.689012322036
HYPEUSDT,2,-2.091423591338452,-925.472824143669
ICNTUSDT,4,-4.1372593445067505,-3183.370788393751
ICPUSDT,7,-1.8899362913423505,-913.4773730632747
ICXUSDT,3,0.3345389474435274,-239.83223143837796
IDOLUSDT,5,-5.296479224738418,-2043.50760240294
IDUSDT,8,-5.087052790398599,-2238.214583755026
ILVUSDT,5,0.7510555503681915,-725.379602324779
IMXUSDT,8,14.526338500998035,5407.585192540169
INITUSDT,3,-2.716418329837536,-1305.196640783894
INJUSDT,4,0.07991101469764217,422.34263412534295
INUSDT,2,-0.2768338118022309,-10.528462803403045
INXUSDT,1,11.750967921896782,6862.2283759569955
IOSTUSDT,5,-5.056177799222341,-1571.808148824265
IOTAUSDT,4,-2.8631032995264967,-801.7581447411379
IOTXUSDT,4,-1.4045351397276433,-324.545890090105
IOUSDT,8,-0.38867378400337005,-361.257532437604
IPUSDT,4,-4.220487440258139,-1546.49326029744
IRYSUSDT,1,-1.0310344827586204,-664.4444444444431
JASMYUSDT,4,1.745387755102021,99.04587112144304
JCTUSDT,1,-1.0621212121212116,-341.951219512195
JELLYJELLYUSDT,1,-1.0317532710280377,-649.856369201788
JOEUSDT,5,0.48333768068626415,-174.1642817648942
JTOUSDT,7,4.111827605708977,-820.682251259158
JUPUSDT,6,2.535200489453174,1096.1228103576973
KAIAUSDT,6,4.681502352595129,253.57904515228992
KAITOUSDT,3,2.6216526551052555,1167.9862605443361
KASUSDT,6,-6.329005996650901,-3061.979065594309
KAVAUSDT,2,0.41520458144589667,-333.60769135259903
KDAUSDT,6,-0.17189817049566625,-370.51726195514107
KERNELUSDT,3,-1.7772172747780843,-688.5826792768289
KEYUSDT,1,-0.0109595559080143,-2.741519539775
KGENUSDT,1,-1.03719034354689,-557.7740050931241
KITEUSDT,4,-2.7203723238276067,-1171.366104568156
KLAYUSDT,1,1.0633714285714284,267.562904385334
KMNOUSDT,4,4.26666271277772,543.9294355823549
KNCUSDT,2,-2.2166835106382994,-412.082975969629
KOMAUSDT,4,-4.076909228615723,-5261.447448332744
KSMUSDT,6,-3.0992773660537734,-1380.2593851766487
LABUSDT,1,-1.0472817337461306,-442.996333158721
LAUSDT,2,-0.6811481349234623,-192.462154648589
LAYERUSDT,2,1.204801628380363,234.542535033437
LDOUSDT,5,-5.296490966127324,-1939.035776703847
LEVERUSDT,3,-2.6515291066286606,-1356.464016019111
LIGHTUSDT,2,-2.0858185162476994,-1229.209855564995
LINAUSDT,2,-2.092084604715672,-923.2673695413549
LINEAUSDT,3,0.24044177172894,-467.591923273427
LINKUSDT,7,-0.31067674440864024,-919.3192628183
LISTAUSDT,6,-4.661682713935393,-2205.357186983962
LITUSDT,1,-1.0231433938634942,-884.177489177489
LOKAUSDT,2,-2.091521131294111,-1251.452709362737
LOOMUSDT,2,-1.8264140955198644,-1191.58346190466
LPTUSDT,6,-6.3982154249249925,-2324.272561476966
LQTYUSDT,5,-3.1900071813447886,-1573.19187337599
LRCUSDT,3,-1.1901938004203036,-592.3463085610239
LSKUSDT,5,-4.235280652521618,-964.243473101703
LTCUSDT,5,-3.7016167216532203,-942.53503753739
LUMIAUSDT,5,1.5309521065672034,359.238224082897
LUNA2USDT,5,-1.9185929555725596,-869.421505094244
LYNUSDT,1,33.02593065693441,15214.972677595635
MAGICUSDT,4,-2.0907554141505673,-1228.7640211017058
MAGMAUSDT,1,-1.067924290220822,-314.445476500092
MANAUSDT,3,0.20199056653019487,67.47531987344303
MANTAUSDT,7,-0.15390733281076296,802.5934881878738
MASKUSDT,9,-6.63148212575267,-1408.84994994613
MAVIAUSDT,3,9.8697429135534,10778.855476283521
MAVUSDT,4,-1.4458525615175073,-3964.096417263916
MBOXUSDT,5,-5.243424258641168,-2367.7013272649333
MELANIAUSDT,6,2.932059676861555,-211.6900472868018
MEMEUSDT,4,-4.239575259248612,-1440.836767087397
MERLUSDT,4,-0.04689346433080854,-290.20990212691515
METISUSDT,5,-3.5144608136125552,-1900.1471966178929
MEUSDT,5,-3.9421815457710863,-1430.889934927301
MEWUSDT,5,3.629234624125475,974.2485659256131
MILKUSDT,6,-2.3187346929739285,-837.0482600031401
MINAUSDT,4,-0.8044315416257382,-870.2218945070788
MITOUSDT,1,-1.0427352941176469,-487.997247075017
MKRUSDT,5,4.5346162025863315,1049.9300145216448
MLNUSDT,2,-2.170792562209459,-537.9608896199001
MMTUSDT,2,-2.093037267080745,-953.216923482323
MOCAUSDT,5,4.015032617156972,747.7316043716908
MONUSDT,3,0.7705294843276006,599.172550316092
MOODENGUSDT,7,2.7111550669751443,383.3457127773388
MORPHOUSDT,3,7.988592479712711,2512.275525730738
MOVEUSDT,4,0.7768882733709446,-1748.8241947735269
MOVRUSDT,5,-2.3886360764488552,-1138.9155381689352
MTLUSDT,6,-0.30428847604279285,-72.342947907081
MUBARAKUSDT,2,-1.8384542966611928,-1371.796627215901
MUSDT,3,0.35256394693142656,2217.841434035865
MYROUSDT,3,-0.0395422125996876,-138.71059076566803
NEARUSDT,3,4.090373025187336,948.5236749776941
NEIROETHUSDT,2,-0.18319428721370123,430.04948897690804
NEIROUSDT,5,-1.0650829955190169,799.243538445648
NEOUSDT,2,-2.1492494802494795,-576.020816922334
NEWTUSDT,3,-1.5786319661754025,-601.702699484219
NFPUSDT,5,-3.8696252082692197,-1228.3775426755778
NIGHTUSDT,1,-1.0817908496732025,-264.526130733577
NILUSDT,4,3.5751272300460024,1310.8986188389667
NKNUSDT,5,-4.4654891434747155,-2113.042474604375
NMRUSDT,3,-0.7771579470553764,-350.1107012593871
NOTUSDT,2,0.6511263684306215,381.310143697928
NTRNUSDT,3,-2.9860629283256035,-1501.495069303107
NXPCUSDT,3,-1.9836489540005866,-640.548213892627
OBOLUSDT,1,-1.0662263279445732,-321.99469940019503
OGNUSDT,2,-2.2391971271001667,-374.590350984202
OLUSDT,4,1.296379878770332,-491.72773701786696
OMNIUSDT,2,-0.20839305282565945,-134.83890348127704
OMUSDT,5,-5.198681548583038,-2638.192881393953
ONDOUSDT,6,-6.3027810580102965,-3209.2275980175464
ONEUSDT,3,-1.9815555478334954,-704.2691124525109
ONGUSDT,8,-5.689588946351774,-1724.428573534568
ONTUSDT,5,-0.8774547263906931,-855.8139801389858
ONUSDT,1,-1.0300158730158733,-686.3141195134841
OPENUSDT,4,-1.437441276171472,-774.4635550866581
OPUSDT,6,-0.5382100194430506,-448.29507163924484
ORBSUSDT,1,-1.1047893569844798,-210.859077443928
ORCAUSDT,3,-2.542847199054772,-1242.3300780400232
ORDERUSDT,2,-2.130108261826455,-892.7442965161949
ORDIUSDT,11,-8.543124655300474,-3964.1965487376383
OXTUSDT,3,-0.9805308171050009,-367.53917862452
PARTIUSDT,2,-0.47670945180514845,-31.650646418011007
PAXGUSDT,2,0.867044519536355,195.367273732569
PENDLEUSDT,5,-1.6066308683931625,-542.6788324560649
PENGUUSDT,5,8.599137524347077,9087.555132219206
PEOPLEUSDT,3,2.4208926640973356,2400.490681465814
PERPUSDT,4,0.6137708192185676,1125.9175562545847
PHAUSDT,6,-4.718412298935363,-1925.7517046334829
PHBUSDT,5,-0.049759231931867154,-402.95600579903595
PIEVERSEUSDT,3,1.6961658859644493,1050.2360919121297
PIPPINUSDT,2,1.3208281547241656,866.509198273905
PIXELUSDT,5,4.7577662703370525,2329.30304519712
PLAYUSDT,3,-2.7602010028600077,-874.294875245735
PLUMEUSDT,4,-1.637432841317573,-946.5727505386179
PNUTUSDT,3,3.8445308494347583,1252.738478314052
POLUSDT,2,-2.131995952605642,-659.3949740971041
POLYXUSDT,5,1.754402536416527,794.6243199207488
PONKEUSDT,3,6.323545947940539,2230.590025882183
POPCATUSDT,9,-5.991405691163983,-3755.190883932224
PORT3USDT,2,-1.0340497691701303,-322.72715547816796
PORTALUSDT,5,1.3017637690504733,939.41432701156
POWERUSDT,1,-1.025427884615384,-806.5380979391169
POWRUSDT,11,-2.0513033640802103,-248.17462587655498
PROMPTUSDT,3,-2.424289097399629,-2013.4437413592718
PROMUSDT,3,31.816978769501688,10219.829649352641
PROVEUSDT,2,2.996378680646562,317.1447844825081
PUFFERUSDT,1,-1.0249653465346542,-821.110450128892
PUMPBTCUSDT,3,1.1741640385706242,1136.783804440809
PUMPUSDT,1,5.683181818181784,1918.618925831199
PUNDIXUSDT,3,-1.7362411442651111,-621.821873735625
PYTHUSDT,9,0.9450170067262093,-132.72186379500783
QNTUSDT,7,3.614648437052991,-131.2353567882717
QTUMUSDT,4,5.977968069803368,801.4520806154801
QUICKUSDT,1,-1.1022800000000006,-215.541650371527
QUSDT,2,2.3598112523948327,1766.0254266381892
RAREUSDT,6,-5.803920091249212,-1979.349871737574
RAVEUSDT,2,0.18864505528292397,9.145876104691013
RAYSOLUSDT,2,-2.0943019968012195,-890.3707672826031
RDNTUSDT,4,-3.1796767720941004,-1295.849905167839
RECALLUSDT,1,-1.0421530612244905,-494.461389494068
REDUSDT,2,-2.129673659673663,-800.0825844510509
REEFUSDT,1,-1.0436231884057965,-478.471760797342
REIUSDT,4,-3.1124399719383664,-1170.3967168749768
RENDERUSDT,3,-1.522490279753436,-545.4911506726219
RENUSDT,1,-1.0584657534246575,-362.080599812557
RESOLVUSDT,1,0.6330465116279089,246.614896783796
REZUSDT,4,-0.7616986729684845,-123.70183732459702
RIFUSDT,6,-2.11105558828104,-325.7917259221242
RLCUSDT,4,0.3505372879195039,-2.5183734598489593
RONINUSDT,5,-4.2480147363336345,-1277.525052941701
ROSEUSDT,6,-0.6858906767418936,-107.66494526179599
RPLUSDT,6,-1.3715844260432568,-606.73791602688
RSRUSDT,8,4.034347097957009,160.73610500623317
RUNEUSDT,9,1.1995371322977337,-110.0986826707879
RVNUSDT,3,-1.8736551793618927,-711.667132063257
SAFEUSDT,2,-1.2117126986442315,-915.63657451372
SAGAUSDT,11,-7.316876524624044,-5716.194490944276
SAHARAUSDT,4,-3.35589529958727,-741.816854339989
SANDUSDT,5,1.18888640219142,-186.22418050149804
SANTOSUSDT,3,1.4926742297529123,647.4308528990312
SAPIENUSDT,2,7.517600995419311,1572.6765477321069
SCRTUSDT,5,1.6892844330369174,1658.9460393035642
SCRUSDT,5,1.3114139889745156,-379.11977004000096
SEIUSDT,4,4.904655996908014,1743.241719479125
SENTUSDT,1,-1.0778571428571424,-276.880733944954
SFPUSDT,6,4.304598066570703,431.84994078359995
SHELLUSDT,1,1.2958367346938786,422.743009320905
SIGNUSDT,5,-5.322344799822378,-1788.042785036313
SIRENUSDT,3,3.2177457546061072,1345.494987197411
SKATEUSDT,1,-1.0568333333333333,-371.90615835777095
SKLUSDT,7,0.9928446533327113,-874.569579039726
SKYAIUSDT,1,4.276939271255076,2457.89669613774
SKYUSDT,2,2.1162842340751284,434.98949580199996
SLERFUSDT,2,7.444040232162029,1684.5721264387869
SLPUSDT,2,-2.089215026697177,-994.999973463356
SNXUSDT,6,-4.05723631871739,-1382.526885870729
SOLUSDT,3,-1.1248433514551512,242.24945255477598
SOLVUSDT,5,-2.9245453445816416,-2130.2599060766643
SOMIUSDT,2,-2.078852167451077,-1137.0324801721551
SONICUSDT,3,1.4484728389644834,-529.9029245765789
SOONUSDT,4,-3.8942290038628298,-1487.556155848992
SOPHUSDT,5,-1.1366115425469878,-277.8868223889959
SPELLUSDT,7,-1.3218207434536073,-1562.2854313552498
SPKUSDT,2,0.8832173790379636,200.86616333596697
SPORTFUNUSDT,3,-3.106054654015317,-1973.5399147717098
SPXUSDT,5,-1.2162719082057665,-343.8015287073262
SQDUSDT,2,-0.009610944645951802,-173.61762156691907
SSVUSDT,7,-3.1943941721589932,320.37976909734385
STBLUSDT,3,-3.081997102320768,-2690.774214296826
STEEMUSDT,9,-3.882605052501845,-1159.5705145288712
STGUSDT,3,0.06624613339514207,154.64968310126602
STORJUSDT,6,-3.3298295851892012,-2927.946307279821
STOUSDT,3,-1.4313229681288901,-341.25377567321897
STRKUSDT,4,10.289426528294262,2032.670273204099
STXUSDT,6,-1.5817863135541002,-865.746442249183
SUIUSDT,5,12.41978516593532,2926.3941443536264
SUNUSDT,5,-5.626547084465329,-1222.728036674151
SUPERUSDT,7,0.04734846526229264,204.57364554836818
SUSDT,5,0.43043146728723247,-230.18201610497522
SUSHIUSDT,8,-2.3561352340744803,-693.7484443519443
SWELLUSDT,5,-3.3754504209181673,-1697.872904964899
SXTUSDT,5,-4.3028890735141605,-2104.47410476176
SYNUSDT,6,-3.055971723669889,-1131.461786918147
SYRUPUSDT,2,1.5446074271437267,965.3452285818239
SYSUSDT,5,2.4231571002142407,265.25935305823697
TACUSDT,1,-1.0341341653666145,-605.923217550274
TAGUSDT,3,1.9735119302397555,809.9462491836149
TAIKOUSDT,4,0.02304459624066868,-440.182296311465
TANSSIUSDT,1,-0.3211002865329502,-247.272727272725
TAOUSDT,7,-0.5170864250114957,823.6408577797087
TAUSDT,3,-1.084591520182247,-1487.8739676162277
THETAUSDT,6,1.8557205851442233,274.680163488168
THEUSDT,3,-3.15306860847158,-1486.716806511558
TIAUSDT,6,11.041670844597206,7217.025508088887
TLMUSDT,6,-0.9713230882538806,-115.86151110145005
TNSRUSDT,6,1.634434923952756,349.156721721046
TOKENUSDT,7,-3.636678462089569,-1140.34606903086
TONUSDT,3,-3.4631129154628493,-457.041145550587
TOWNSUSDT,3,-2.159855917667236,-782.008060395168
TRADOORUSDT,1,12.917887323943669,4589.674728940782
TRBUSDT,9,-4.4261508166854195,-1682.095751131411
TREEUSDT,3,-2.1626235526734834,-879.11376525218
TROYUSDT,1,-0.6003011583011582,-894.0655549166179
TRUMPUSDT,5,3.065059421602066,285.80682750408505
TRUSTUSDT,3,-0.850432897340182,-828.6301380696618
TRUUSDT,7,-7.428490911906122,-2848.3317235584827
TRXUSDT,6,-4.347878948175797,-655.149569660881
TSTUSDT,5,0.3704363923018872,-430.4794072317891
TURBOUSDT,3,-2.245325966611041,-722.522654282037
TURTLEUSDT,2,-2.106182184750735,-914.7515871132621
TUSDT,6,-4.742073057587048,-1453.705845028769
