币种,信号K时间(北京),入场时间(北京),退出时间(北京),突破来源,距V9根数,入场价,初始止损,初始风险距离(%),退出价,退出原因,持仓小时,最大记录浮盈R,净R,净价格收益(%),较原V9入场追价(%),原V9净R(事后关联),交易标识
MKRUSDT,2024-11-21 21:00:00+08:00,2024-11-21 22:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,68,1595.2,1517.0,4.90220661985958,1644.2,追踪止损,70.0,2.5370843989769787,0.5858005115089524,2.87171514543631,4.186532558291423,0.941453296703301,binance_um:MKRUSDT:1h:box_any:3241
AAVEUSDT,2024-11-21 22:00:00+08:00,2024-11-21 23:00:00+08:00,2024-11-23 04:00:00+08:00,本周期1h,1,167.22,155.18,7.20009568233464,163.03,反向确认,29.0,0.3903654485049827,-0.375784053156147,-2.70568113861978,-0.4287245444801746,-0.4124119496855338,binance_um:AAVEUSDT:1h:box_any:3242
MANTAUSDT,2024-11-21 22:00:00+08:00,2024-11-21 23:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,0,0.8255,0.7314,11.39915202907328,0.94534,追踪止损,69.0,2.9224229543039333,1.2559936238044649,14.31726226529377,0.0,1.2559936238044649,binance_um:MANTAUSDT:1h:box_any:3242
XAIUSDT,2024-11-21 22:00:00+08:00,2024-11-21 23:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,0,0.2438,0.215441,11.63207547169811,0.280983,追踪止损,69.0,2.782185549560986,1.2939595895482912,15.05143560295323,0.0,1.2939595895482912,binance_um:XAIUSDT:1h:box_any:3242
BNBUSDT,2024-11-22 09:00:00+08:00,2024-11-22 10:00:00+08:00,2024-11-22 21:00:00+08:00,本周期1h,11,632.7,618.42,2.25699383594121,618.42,初始止损,11.0,0.42717086834733,-1.0886134453781533,-2.45699383594122,1.1769597339047477,0.91419037656904,binance_um:BNBUSDT:1h:box_any:3253
1000SHIBUSDT,2024-11-22 11:00:00+08:00,2024-11-22 12:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,13,0.025005,0.024149,3.42331533693261,0.025129,追踪止损,56.0,3.760514018691592,0.0864369158878518,0.29590081983603,0.9039183245228122,0.2450229885057438,binance_um:1000SHIBUSDT:1h:box_any:3255
USTCUSDT,2024-11-22 14:00:00+08:00,2024-11-22 15:00:00+08:00,2024-11-22 17:00:00+08:00,本周期1h,16,0.0246,0.023178,5.78048780487804,0.023178,初始止损,2.0,0.0921237693389586,-1.034599156118143,-5.98048780487804,5.2631578947368585,-0.2097325581395344,binance_um:USTCUSDT:1h:box_any:3258
FIDAUSDT,2024-11-22 19:00:00+08:00,2024-11-22 20:00:00+08:00,2024-11-22 21:00:00+08:00,本周期1h,0,0.2224,0.21313,4.1681654676258795,0.21313,初始止损,1.0,0.0647249190938531,-1.0479827400215742,-4.36816546762588,0.0,-1.0479827400215742,binance_um:FIDAUSDT:1h:box_any:1535
DYMUSDT,2024-11-22 20:00:00+08:00,2024-11-22 21:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,22,1.7541,1.61406,7.98358132375576,1.85956,追踪止损,47.0,3.194801485289917,0.7280191373893179,5.81219998859814,6.090480222571681,0.9398313565604156,binance_um:DYMUSDT:1h:box_any:3264
IMXUSDT,2024-11-23 06:00:00+08:00,2024-11-23 07:00:00+08:00,2024-12-02 16:00:00+08:00,本周期1h,32,1.4203,1.3307,6.30852636766879,1.9299,追踪止损,225.0,7.92299107142858,5.655796875000008,35.67974371611633,4.257505688908458,5.025581850533806,binance_um:IMXUSDT:1h:box_any:3274
NFPUSDT,2024-11-23 08:00:00+08:00,2024-11-23 09:00:00+08:00,2024-11-26 18:00:00+08:00,本周期1h,31,0.2611,0.238386,8.69934890846419,0.2699229999999999,追踪止损,81.0,2.1484546975433645,0.3654486219952443,3.1791650708540704,7.803468208092479,2.1256271444910353,binance_um:NFPUSDT:1h:box_any:3276
