instrument,asset,symbol,venue,minutes,arm,stage,event_id,decision_i,decision_time,bar_open,parent_i,economic_parent_i,parent_decision_time,parent_close,publication_i,publication_time,parent_event_id,signal_close,signal_atr,relative_volume,tr_expansion,frozen_parent_high,confirm_age,match_status,label_i,lag,parent_density_valid,parent_density_is_dense,parent_density_known_false,parent_density_support_complete,parent_density_support_finite,parent_density_summaries_finite,parent_density_window_start_i,parent_density_window_end_i,parent_quota_armed_before,parent_quota_armed_for_edge,parent_quota_armed,parent_bootstrap_quota,parent_accept_origin,parent_structure_id,parent_structure_owner_i,parent_structure_owner_before_i,parent_structure_bootstrap,parent_bootstrap_accepted,parent_structure_high,parent_structure_low,parent_structure_age_bars,parent_density_false_seen,parent_support_disjoint,parent_first_false_i,parent_rearmed,parent_rearm_i,parent_rearm_window_start_i,parent_rearm_window_end_i,parent_rearm_window_high,parent_rearm_window_low,parent_rearm_owner_i,parent_rearm_false_i,parent_rearm_wait_bars,parent_structure_blocked,parent_reject_reason,parent_last_accepted_i,parent_gap_reset,route,matched_label_id,move_since_anchor_atr,move_since_anchor_pct,in_study,decision_time_bjt,bar_open_bjt,parent_decision_time_bjt,publication_time_bjt
okx:NEAR-USDT-SWAP:segment0,NEAR,NEAR-USDT-SWAP,okx,60,v3,early,8a1cdcc00e8950261be4a92d2433,2660,2026-08-19 21:00:00+00:00,2026-08-19 20:00:00+00:00,2660.0,2660.0,2026-08-19 21:00:00+00:00,1.723,2660.0,2026-08-19 21:00:00+00:00,8a1cdcc00e8950261be4a92d2433,1.723,0.021144832376459106,1.6119354287926455,1.6310072141309528,1.711,,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-20 05:00:00+08:00,2026-08-20 04:00:00+08:00,2026-08-20 05:00:00+08:00,2026-08-20 05:00:00+08:00
okx:NEAR-USDT-SWAP:segment0,NEAR,NEAR-USDT-SWAP,okx,60,v3,confirmed,0b6950cc9627630d5c112c9c0eef,2661,2026-08-19 22:00:00+00:00,2026-08-19 21:00:00+00:00,2660.0,2660.0,2026-08-19 21:00:00+00:00,1.723,2661.0,2026-08-19 22:00:00+00:00,8a1cdcc00e8950261be4a92d2433,1.77,0.02363448720671203,4.7001773358375605,2.64840122650231,1.711,1.0,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-20 06:00:00+08:00,2026-08-20 05:00:00+08:00,2026-08-20 05:00:00+08:00,2026-08-20 06:00:00+08:00
okx:NEAR-USDT-SWAP:segment0,NEAR,NEAR-USDT-SWAP,okx,60,v3,early,3d2daccaf158193ace716bef4039,2686,2026-08-20 23:00:00+00:00,2026-08-20 22:00:00+00:00,2686.0,2686.0,2026-08-20 23:00:00+00:00,1.773,2686.0,2026-08-20 23:00:00+00:00,3d2daccaf158193ace716bef4039,1.773,0.024860108610505947,1.5163458658130486,1.4074572025699155,1.77,,matched,2686.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21 07:00:00+08:00,2026-08-21 06:00:00+08:00,2026-08-21 07:00:00+08:00,2026-08-21 07:00:00+08:00
okx:PEPE-USDT-SWAP:segment0,PEPE,PEPE-USDT-SWAP,okx,60,v3,early,38d7ad6496bfa7e81976e813d9d7,2613,2026-08-17 22:00:00+00:00,2026-08-17 21:00:00+00:00,2613.0,2613.0,2026-08-17 22:00:00+00:00,2.604e-06,2613.0,2026-08-17 22:00:00+00:00,38d7ad6496bfa7e81976e813d9d7,2.604e-06,2.058347250643898e-08,1.0053379922261496,1.181063843990429,2.602e-06,,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-18 06:00:00+08:00,2026-08-18 05:00:00+08:00,2026-08-18 06:00:00+08:00,2026-08-18 06:00:00+08:00
okx:PEPE-USDT-SWAP:segment0,PEPE,PEPE-USDT-SWAP,okx,60,v3,early,14cd0b1a5972fbee507836d7cfe7,2631,2026-08-18 16:00:00+00:00,2026-08-18 15:00:00+00:00,2631.0,2631.0,2026-08-18 16:00:00+00:00,2.609e-06,2631.0,2026-08-18 16:00:00+00:00,14cd0b1a5972fbee507836d7cfe7,2.609e-06,2.2129970824844923e-08,1.9173709751635393,1.4453790630808883,2.599e-06,,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-19 00:00:00+08:00,2026-08-18 23:00:00+08:00,2026-08-19 00:00:00+08:00,2026-08-19 00:00:00+08:00
okx:PEPE-USDT-SWAP:segment0,PEPE,PEPE-USDT-SWAP,okx,60,density_rearm,confirmed,1fd3860ac4c355930ce598bcd26e,2652,2026-08-19 13:00:00+00:00,2026-08-19 12:00:00+00:00,2652.0,2652.0,2026-08-19 13:00:00+00:00,2.616e-06,2652.0,2026-08-19 13:00:00+00:00,6be39c297afcbbc86b6d60369d53,2.616e-06,1.8751644184377566e-08,3.2403737685957816,1.552086452758312,2.606e-06,0.0,matched,2652.0,0.0,True,True,False,True,True,True,2640.0,2651.0,True,True,False,False,density_rearm,38.0,2652.0,2583.0,False,False,2.606e-06,2.566e-06,0.0,False,True,,False,2644.0,2632.0,2643.0,2.62e-06,2.566e-06,2583.0,2584.0,61.0,False,,2652.0,False,,,,,,2026-08-19 21:00:00+08:00,2026-08-19 20:00:00+08:00,2026-08-19 21:00:00+08:00,2026-08-19 21:00:00+08:00
okx:PEPE-USDT-SWAP:segment0,PEPE,PEPE-USDT-SWAP,okx,60,density_rearm,early,6be39c297afcbbc86b6d60369d53,2652,2026-08-19 13:00:00+00:00,2026-08-19 12:00:00+00:00,2652.0,2652.0,2026-08-19 13:00:00+00:00,2.616e-06,2652.0,2026-08-19 13:00:00+00:00,6be39c297afcbbc86b6d60369d53,2.616e-06,1.8751644184377566e-08,3.2403737685957816,1.552086452758312,2.606e-06,0.0,matched,2652.0,0.0,True,True,False,True,True,True,2640.0,2651.0,True,True,False,False,density_rearm,38.0,2652.0,2583.0,False,False,2.606e-06,2.566e-06,0.0,False,True,,False,2644.0,2632.0,2643.0,2.62e-06,2.566e-06,2583.0,2584.0,61.0,False,,2652.0,False,,,,,,2026-08-19 21:00:00+08:00,2026-08-19 20:00:00+08:00,2026-08-19 21:00:00+08:00,2026-08-19 21:00:00+08:00
okx:PEPE-USDT-SWAP:segment0,PEPE,PEPE-USDT-SWAP,okx,60,v3,confirmed,f4e0a8f122bb683f0fb1a9413dfe,2652,2026-08-19 13:00:00+00:00,2026-08-19 12:00:00+00:00,2652.0,2652.0,2026-08-19 13:00:00+00:00,2.616e-06,2652.0,2026-08-19 13:00:00+00:00,b3e3e6e9dd1934004e8e988c699e,2.616e-06,1.8751644184377566e-08,3.2403737685957816,1.552086452758312,2.606e-06,0.0,matched,2652.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-19 21:00:00+08:00,2026-08-19 20:00:00+08:00,2026-08-19 21:00:00+08:00,2026-08-19 21:00:00+08:00
okx:PEPE-USDT-SWAP:segment0,PEPE,PEPE-USDT-SWAP,okx,60,v3,early,b3e3e6e9dd1934004e8e988c699e,2652,2026-08-19 13:00:00+00:00,2026-08-19 12:00:00+00:00,2652.0,2652.0,2026-08-19 13:00:00+00:00,2.616e-06,2652.0,2026-08-19 13:00:00+00:00,b3e3e6e9dd1934004e8e988c699e,2.616e-06,1.8751644184377566e-08,3.2403737685957816,1.552086452758312,2.606e-06,0.0,matched,2652.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-19 21:00:00+08:00,2026-08-19 20:00:00+08:00,2026-08-19 21:00:00+08:00,2026-08-19 21:00:00+08:00
okx:PEPE-USDT-SWAP:segment0,PEPE,PEPE-USDT-SWAP,okx,60,v3,early,b1d76a0ed4a3b67924c99a465d36,2668,2026-08-20 05:00:00+00:00,2026-08-20 04:00:00+00:00,2668.0,2668.0,2026-08-20 05:00:00+00:00,2.952e-06,2668.0,2026-08-20 05:00:00+00:00,b1d76a0ed4a3b67924c99a465d36,2.952e-06,4.80412528834776e-08,1.7045020973340084,1.1577493565798362,2.949e-06,,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-20 13:00:00+08:00,2026-08-20 12:00:00+08:00,2026-08-20 13:00:00+08:00,2026-08-20 13:00:00+08:00
okx:PEPE-USDT-SWAP:segment0,PEPE,PEPE-USDT-SWAP,okx,60,v3,early,e2ecd371e041b672f5d81969e240,2692,2026-08-21 05:00:00+00:00,2026-08-21 04:00:00+00:00,2692.0,2692.0,2026-08-21 05:00:00+00:00,3.315e-06,2692.0,2026-08-21 05:00:00+00:00,e2ecd371e041b672f5d81969e240,3.315e-06,6.872350713154997e-08,1.4062058011101974,1.5925255603293542,3.274e-06,,matched,2692.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21 13:00:00+08:00,2026-08-21 12:00:00+08:00,2026-08-21 13:00:00+08:00,2026-08-21 13:00:00+08:00
