arm,stage,period,signals,alerts_per_day,distinct_labels,label_drop,labels_per_100_asset_days,baseline_signals,same_time_kept,same_time_removed,new_times,positive_events,hits_1,recall_1,recall_6,baseline_hit_events,retained_hit_events,retention,newly_caught,large_positive_events,large_hits_1,large_recall_1,large_baseline_hits,large_retained_hits,matched,unmatched,duplicates,unknown
v3,early,week_2026-08-17,1611,230.14285714285714,1848,0.0,97.41697416974169,1611,1611,0,0,549,424,0.7723132969034608,0.843351548269581,424,424,1.0,0,398,294,0.7386934673366834,294,294,463,1148,0,0
v3,early,week_2026-08-24,1063,151.85714285714286,1228,0.0,64.5198012215679,1063,1063,0,0,94,86,0.9148936170212766,0.9148936170212766,86,86,1.0,0,70,62,0.8857142857142857,62,62,86,977,0,0
v3,early,week_2026-08-31,1390,198.57142857142858,1621,0.0,85.13655462184875,1390,1390,0,0,261,247,0.946360153256705,0.9616858237547893,247,247,1.0,0,138,131,0.9492753623188406,131,131,251,1139,0,0
v3,early,week_2026-09-07,356,178.0,409,0.0,75.18382352941177,356,356,0,0,19,19,1.0,1.0,19,19,1.0,0,8,8,1.0,8,8,19,157,0,180
density_rearm,early,full,5707,93.55737704918033,6807,0.4347284504235177,41.3424503616275,10386,5388,4998,319,1660,872,0.5253012048192771,0.553012048192771,1463,860,0.5878332194121668,12,947,445,0.4699049630411827,798,438,918,4680,0,109
density_rearm,early,first31,2921,94.2258064516129,3471,0.4029927760577915,41.69807637439371,4981,2768,2213,153,630,387,0.6142857142857143,0.6365079365079365,584,381,0.6523972602739726,6,280,169,0.6035714285714285,252,166,401,2520,0,0
density_rearm,early,last30,2786,92.86666666666666,3336,0.464354527938343,40.97881553288736,5405,2620,2785,166,1030,485,0.470873786407767,0.5019417475728155,879,479,0.5449374288964732,6,667,276,0.41379310344827586,546,272,517,2160,0,109
density_rearm,early,case_night,132,264.0,162,0.4065934065934066,119.55719557195572,224,123,101,9,144,87,0.6041666666666666,0.6458333333333334,129,87,0.6744186046511628,0,91,57,0.6263736263736264,81,57,92,40,0,0
density_rearm,early,week_2026-07-06,298,99.33333333333333,367,0.3704974271012007,45.8582808351122,486,283,203,15,51,32,0.6274509803921569,0.6470588235294118,45,31,0.6888888888888889,1,30,18,0.6,27,17,33,265,0,0
density_rearm,early,week_2026-07-13,631,90.14285714285714,743,0.3539130434782609,39.63018935016446,984,615,369,16,111,79,0.7117117117117117,0.7387387387387387,106,78,0.7358490566037735,1,44,33,0.75,43,32,82,549,0,0
density_rearm,early,week_2026-07-20,719,102.71428571428571,833,0.4088005677785663,44.237918215613384,1229,673,556,46,172,107,0.622093023255814,0.627906976744186,158,104,0.6582278481012658,3,78,43,0.5512820512820513,67,42,108,611,0,0
density_rearm,early,week_2026-07-27,565,80.71428571428571,676,0.43145500420521443,35.90015932023367,1031,539,492,26,98,55,0.5612244897959183,0.5816326530612245,92,55,0.5978260869565217,0,49,32,0.6530612244897959,45,32,57,508,0,0
density_rearm,early,week_2026-08-03,708,101.14285714285714,852,0.42548887390424817,45.246946362188,1251,658,593,50,198,114,0.5757575757575758,0.6111111111111112,183,113,0.6174863387978142,1,79,43,0.5443037974683544,70,43,121,587,0,0
density_rearm,early,week_2026-08-10,580,82.85714285714286,679,0.39483065953654184,35.878467635402906,985,562,423,18,107,53,0.4953271028037383,0.4953271028037383,103,52,0.5048543689320388,1,53,22,0.41509433962264153,51,22,53,527,0,0
