fold,arm,cohort,n,n_valid,n_natural,n_censored,mean_gross_bp,median_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_hold_hours,median_hold_hours,mean_mfe_bp,median_mfe_bp,mean_mae_bp,median_mae_bp,mean_capture_ratio,median_capture_ratio,top3_positive_profit_share,net_ex_top3_mean_bp,matched_n,matched_symbols,matched_strategy_mean_net_bp,control_mean_net_bp,mean_matched_excess_bp,block_risk_excess_bp,block_ci_low_bp,block_ci_high_bp,p,n_blocks,n_scored,n_positive,n_negative,auc,top_n,top_mean_gross_bp,top_mean_net_bp,top_matched_n,top_mean_matched_excess_bp,top_mean_risk_sized_excess,top_p,top_n_blocks,top_ci_low,top_ci_high,top_test_description,reason,p_holm,top_p_holm
development,D_E,other,3302,3302,3267,35,166.33397152890205,-38.37026811250976,146.33397152890205,-58.37026811250976,0.34129170492806854,1.2929894173967604,140.70260448213205,4.0,913.0518279666031,123.55383602950631,-211.02153074611354,-122.94148037720055,-3.055016547546278,-0.3957554702398618,0.12597069768233798,106.8613203399578,3209,39,149.8238276300307,115.60062499431595,34.223202635714756,6.9134463248781595,-16.55938328991803,32.16149238977999,0.3045,20,3267,1115,2152,0.524108973610949,327,162.445847995112,142.44584799511196,305,-13.10476094798624,-0.0020354563280008506,0.7463,19,-0.006914559525704035,0.0011663024799439534,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,0.8340000000000001,1.0
development,D_E,unknown,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,,0,,,0,,,,0,,,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,AUC requires both positive and nonpositive natural exits; Top decile requires at least ten scored natural exits,,
validation,D,all,4566,4566,4552,14,-49.5917244986037,-341.2743476438629,-69.59172449860371,-361.27434764386294,0.27065026362038663,0.7883475238615245,70.1173893999124,52.0,893.3810379883407,435.806654139349,-386.3973222669227,-391.7442446798791,-5.131067337485891,-0.9106827604718379,0.027524500673551947,-76.87207080218404,4345,49,-89.75761232503265,34.912974825997395,-124.67058715103005,-24.75487952509611,-36.877512674290074,-10.446972798565188,0.99609375,12,4552,1232,3320,0.5363413882803943,456,26.13649545531865,6.136495455318645,426,-120.04362886936772,-0.0034466498710476906,0.990234375,12,-0.005462363747927032,-0.000940657052868222,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
validation,D,strong,1592,1592,1592,0,-168.9234334963188,-391.8969944166295,-188.92343349631886,-411.8969944166295,0.21419597989949749,0.4878814332064336,62.462311557788944,44.0,768.7276212820744,397.35148844589173,-413.40697275762744,-424.517877704973,-4.40326361419702,-1.148117425706518,0.10164819668102136,-207.60952536466877,1423,46,-243.09025941158893,-116.48227368107895,-126.6079857305099,-20.561027055929475,-32.872990581706404,-8.836734962222403,1.0,7,1592,341,1251,0.590232799097965,160,-27.21740269143142,-47.21740269143143,139,-174.56102111165808,-0.005821023505550236,0.984375,7,-0.009975619564717049,-0.0019060144471529535,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
validation,D,other,2974,2974,2960,14,14.287253552627796,-310.5326637879285,-5.712746447372221,-330.5326637879285,0.3010135135135135,0.9783025795091296,74.2151983860121,56.0,960.1087580274718,456.0581422733112,-371.93889470095024,-374.3677122634187,-5.5179759109814,-0.7755309014697862,0.03312960562938491,-15.897320915617284,2922,49,-15.085347847219683,108.64173547814306,-123.72708332536274,-16.26101108726437,-39.015112819724955,15.977962971924146,0.84033203125,12,2960,891,2069,0.5106768235493868,296,62.554270049498946,42.55427004949893,287,-86.07277139545332,0.0005962741743418855,0.439208984375,12,-0.004459910933887261,0.0068711057456928015,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
validation,D,unknown,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,,0,,,0,,,,0,,,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,AUC requires both positive and nonpositive natural exits; Top decile requires at least ten scored natural exits,,
validation,E,all,4312,4312,4287,25,-432.9148696586761,-522.198987758638,-452.9148696586761,-542.198987758638,0.06134826218801026,0.16212424585786672,255.12894248608535,68.0,1037.7715858788424,446.2829152818881,-561.1236560345543,-536.6459811200414,-4.736394790684647,-1.1843156208066739,0.038784874798622866,-456.9230084678746,4125,46,-454.5588032700655,-382.95693732958284,-71.60186594048267,-11.535201229362329,-20.363523117068436,-1.8530633907936898,0.979248046875,12,4287,263,4024,0.4046349280741407,429,-393.9455851485592,-413.9455851485592,414,-128.48671518487038,-0.004078294149869746,1.0,8,-0.008120182556674379,-0.0009097450521151856,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
validation,E,strong,2374,2374,2374,0,-470.41532741468177,-532.37332351326,-490.41532741468177,-552.37332351326,0.040016849199663015,0.11889216870409079,209.5720303285594,64.0,922.8192676785516,419.51562762417734,-558.7886250265556,-539.5349836980585,-5.067544607726707,-1.2805322393659382,0.09361487261027568,-497.2385653071841,2257,44,-491.0385501588143,-437.3976196689119,-53.64093048990251,-6.9574011594343075,-9.629388339887424,-4.132028161215457,1.0,7,2374,95,2279,0.4513798757534468,238,-371.94543658575714,-391.94543658575714,229,-190.5556093080566,-0.005079003935535679,1.0,6,-0.010399017660775882,-0.0009352408203859475,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
validation,E,other,1938,1938,1913,25,-386.9777764116391,-509.49283097742773,-406.9777764116391,-529.4928309774277,0.08782017773131208,0.21695253029845152,310.93498452012386,80.0,1178.585209928115,488.7358948739528,-563.9840087760346,-529.3855551338738,-4.329682922855914,-0.9745806949746076,0.06285133199180913,-415.83217374967285,1868,46,-410.4823639082313,-317.17930347526504,-93.30306043296629,-11.554206446217362,-21.46389009211432,-0.3728304427370443,0.967529296875,12,1913,168,1745,0.39545640605812526,192,-301.8180210709109,-321.8180210709109,187,-42.303571417583136,-0.0010724045541795648,0.748046875,9,-0.004204094035417133,0.001039679647716007,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
validation,E,unknown,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,,0,,,0,,,,0,,,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,AUC requires both positive and nonpositive natural exits; Top decile requires at least ten scored natural exits,,
validation,D_E,all,4566,4566,4558,8,-115.57894371483886,-75.81162639666906,-135.57894371483889,-95.81162639666906,0.31592803861342694,0.36024923545139026,70.81997371879106,4.0,417.0913688262022,155.60866495769596,-252.24540800123376,-171.65374156270894,-3.5003518526898247,-0.5447978182414706,0.0414602256856095,-138.8765310870987,4345,49,-141.43092718423952,-139.06804922530372,-2.3628779589357967,-3.076016024190553,-11.01255624742051,3.04641612684444,0.74267578125,12,4558,1440,3118,0.5385479028579574,456,-105.77856469662593,-125.77856469662593,426,14.557841157435618,-0.0009987137406535635,0.842529296875,12,-0.0028133744517237977,0.0007216851398670753,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
validation,D_E,strong,1592,1592,1592,0,-239.5607941896224,-300.7890947206554,-259.5607941896224,-320.7890947206554,0.2129396984924623,0.190165863854914,96.7537688442211,8.0,520.7490370300827,211.30115868366883,-350.5591155665647,-338.858533506865,-3.9662963961812348,-0.8913010399965597,0.11082460607011743,-266.81838140600814,1423,46,-285.8879277796084,-266.8104013638931,-19.077526415715262,-9.00951497251322,-18.82483137602014,-0.16061278596672154,0.8984375,7,1592,339,1253,0.5984692784514805,160,-192.82535532203673,-212.82535532203673,139,21.36462405556096,-0.0006521669438332949,0.734375,7,-0.0022954161890752834,0.000760160782323373,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
validation,D_E,other,2974,2974,2966,8,-49.2107170988821,-34.62585066723034,-69.2107170988821,-54.62585066723034,0.37120701281186785,0.5484771585713483,56.937457969065235,4.0,361.60279862425944,135.83598515656047,-199.61749191380716,-122.87909627158422,-3.2521235522349885,-0.3837820632171858,0.05216513029600976,-73.77689025449695,2922,49,-71.08106002229226,-76.85813577793456,5.777075755642296,-3.1526050011997127,-15.821914497622599,7.1696561861570824,0.67626953125,12,2966,1101,1865,0.5127476118468952,297,-54.93848783363364,-74.93848783363363,288,13.382552785660515,-0.000691270690870304,0.75830078125,12,-0.002593211765342875,0.0009962372444597394,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
validation,D_E,unknown,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,,0,,,0,,,,0,,,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,AUC requires both positive and nonpositive natural exits; Top decile requires at least ten scored natural exits,,
