timeframe,exit_rule,gate,month,closed,net_r,mean_r,net_bp
15m,price,h1_sma240,2024-12,37,-16.869207430824513,-0.45592452515741927,-178.3499865602468
15m,price,h1_sma240,2025-01,226,-131.9953473001465,-0.5840502092926837,-170.08833379330054
15m,price,h1_sma240,2025-02,84,-40.15202199549144,-0.47800026185108857,-88.17072426190687
15m,price,h1_sma240,2025-03,140,-51.5586234466341,-0.36827588176167214,-75.32217522648332
15m,price,h1_sma240,2025-04,327,116.63121363215052,0.356670378079971,64.75427960995329
15m,price,h1_sma240,2025-05,339,-34.15991060889869,-0.10076669796135307,-12.020443305528307
15m,price,h1_sma240,2025-06,333,135.77571044253588,0.40773486619380145,55.89593881692826
15m,price,h1_sma240,2025-07,193,206.6039501407462,1.0704867882940219,183.36658852623665
15m,price,h1_sma240,2025-08,61,-22.447342218166447,-0.36798921669125323,-59.96751491431042
15m,price,h1_sma240,2025-09,290,35.59960046533065,0.1227572429838988,88.2188542686071
15m,price,h1_sma240,2025-10,216,-90.28974964408258,-0.418008100204086,-92.92595237345614
15m,price,h1_sma240,2025-11,146,-62.2208671984914,-0.42617032327733834,-87.99357999186967
15m,price,h1_sma240,2025-12,245,-166.58360711064395,-0.6799330902475264,-134.78052839907954
15m,price,h1_sma240,2026-01,141,-50.42434128352361,-0.3576194417271178,-88.69976897544174
15m,price,h1_sma240,2026-02,67,-53.744295733966084,-0.8021536676711356,-161.95680807645226
15m,price,h1_sma240,2026-03,452,-129.56590678245536,-0.28665023624437025,-52.91059298222808
15m,price,h1_sma240,2026-04,382,-48.29999930098651,-0.12643978874603798,29.075545311563534
15m,price,h1_sma60,2024-09,130,-55.41804568307621,-0.4262926591005862,-55.1812190800538
15m,price,h1_sma60,2024-10,154,7.749639395376453,0.05032233373621073,-8.734614646431863
15m,price,h1_sma60,2024-11,220,193.2162788262661,0.8782558128466641,212.60090473620406
15m,price,h1_sma60,2024-12,56,-51.90282761277674,-0.9268362073710132,-209.01797707065504
15m,price,h1_sma60,2025-01,337,-54.45761092815646,-0.16159528465328327,-68.33784113461769
15m,price,h1_sma60,2025-02,165,-63.42135231943488,-0.3843718322389993,-109.06129657094812
15m,price,h1_sma60,2025-03,218,-51.67264482511219,-0.23703048084913847,-46.74850322446689
15m,price,h1_sma60,2025-04,312,52.97114781195692,0.16977931991011833,32.47293055362944
15m,price,h1_sma60,2025-05,300,27.159875595577518,0.09053291865192506,44.22137491405085
15m,price,h1_sma60,2025-06,410,56.424593451141405,0.13762095963693025,9.84922456103999
15m,price,h1_sma60,2025-07,173,139.17630792274758,0.8044873290332231,125.03798672898128
15m,price,h1_sma60,2025-08,219,-35.21625984247589,-0.16080483946336024,-23.238906523943804
15m,price,h1_sma60,2025-09,260,2.0731595082746654,0.00797369041644102,43.33080501094291
15m,price,h1_sma60,2025-10,256,-94.57993734047525,-0.36945288023623146,-45.834998120016195
15m,price,h1_sma60,2025-11,293,-133.5940153702148,-0.45595227088810514,-84.47191672452294
15m,price,h1_sma60,2025-12,244,-173.19677645893205,-0.7098228543398855,-137.28351221759704
15m,price,h1_sma60,2026-01,193,-85.85838866357308,-0.4448621174278398,-82.33100980701185
15m,price,h1_sma60,2026-02,159,-20.40258641280255,-0.12831815353963869,-15.093474296681915
15m,price,h1_sma60,2026-03,547,-178.75562454526155,-0.3267927322582478,-59.064677642207954
15m,price,h1_sma60,2026-04,380,-111.03434556664844,-0.2921956462280222,-11.683667263237167
15m,price,none,2024-09,141,-54.83857161430992,-0.38892603981780083,-53.65380716771624
15m,price,none,2024-10,180,28.661088257429736,0.15922826809683185,16.549766865665227
15m,price,none,2024-11,241,185.01067192553538,0.7676791366204787,182.79836083866124
15m,price,none,2024-12,305,-0.27085261157911655,-0.0008880413494397264,10.111650462654591
15m,price,none,2025-01,354,-63.35815109932852,-0.17897782796420486,-82.02137180886183
15m,price,none,2025-02,268,-84.04985087166897,-0.31361884653607824,-85.81192172217702
15m,price,none,2025-03,318,-44.19789770581221,-0.13898709970381198,-33.56069210123089
15m,price,none,2025-04,363,100.76603035882114,0.2775923701344935,53.40866857149566
15m,price,none,2025-05,369,-39.52973142595904,-0.1071266434307833,-7.889018519429547
15m,price,none,2025-06,487,68.11017803911307,0.13985662841706994,10.297114206925844
15m,price,none,2025-07,228,222.2644178091187,0.9748439377592926,177.39252962211626
15m,price,none,2025-08,346,-70.29933897587449,-0.2031772802770939,-16.571436777283452
15m,price,none,2025-09,346,10.183385412674248,0.029431749747613433,49.51280695039909
15m,price,none,2025-10,340,-130.41075240251726,-0.38356103647799195,-40.54660180573435
15m,price,none,2025-11,453,-166.35098631716102,-0.3672207203469338,-83.55568725820382
15m,price,none,2025-12,506,-171.11477737783542,-0.33817149679414116,-83.59478118919073
15m,price,none,2026-01,344,-72.62777544375672,-0.2111272541969672,-56.44433554538899
15m,price,none,2026-02,380,-133.24216295049862,-0.3506372709223648,-77.80722695752013
15m,price,none,2026-03,652,-179.35968971863704,-0.27509154864821633,-50.37039946751738
15m,price,none,2026-04,461,-78.16013421605031,-0.1695447596877447,15.710165800256126
15m,price,same_sma120,2024-09,124,-54.07781653792171,-0.43611142369291706,-58.98319604264053
15m,price,same_sma120,2024-10,157,37.50276554617141,0.23887111812848033,22.741771262399542
15m,price,same_sma120,2024-11,208,145.54682119159543,0.6997443326519011,170.63974414292818
15m,price,same_sma120,2024-12,131,-79.68612635271735,-0.6082910408604378,-134.16301450785508
15m,price,same_sma120,2025-01,308,-73.89409671082883,-0.23991589841178193,-83.0185718587267
15m,price,same_sma120,2025-02,185,-79.40918645791922,-0.42923884571848225,-119.6351920184535
15m,price,same_sma120,2025-03,253,-34.86701195336171,-0.13781427649550085,-27.746947203360367
15m,price,same_sma120,2025-04,303,69.49196957453421,0.22934643423938683,46.20359484244787
15m,price,same_sma120,2025-05,287,2.810677410597794,0.009793301082222278,33.560762623687836
15m,price,same_sma120,2025-06,413,61.21378646641796,0.1482174006450798,9.49705814600559
15m,price,same_sma120,2025-07,192,206.56767600193103,1.0758733125100575,190.79127654925097
15m,price,same_sma120,2025-08,280,-37.38738875852895,-0.13352638842331768,4.469251984673821
15m,price,same_sma120,2025-09,261,-14.828865228681895,-0.05681557558881952,5.430716306331534
15m,price,same_sma120,2025-10,290,-119.08162071823955,-0.4106262783387571,-71.7757644011923
15m,price,same_sma120,2025-11,319,-173.8971839341635,-0.5451322380381302,-132.73741859524878
15m,price,same_sma120,2025-12,298,-180.78239926952725,-0.6066523465420377,-122.12337788163309
15m,price,same_sma120,2026-01,218,-116.489580972932,-0.5343558760226239,-107.98143934948254
15m,price,same_sma120,2026-02,190,-51.748738729872294,-0.2723617827888015,-37.820397084955246
15m,price,same_sma120,2026-03,521,-138.47706717865972,-0.2657909158899419,-45.529712665400645
15m,price,same_sma120,2026-04,354,-115.7684815969614,-0.3270296090309644,-7.032919414710638
15m,price,same_sma240,2024-09,130,-52.77945766129763,-0.4059958281638279,-52.63775338710544
15m,price,same_sma240,2024-10,162,12.359435290207422,0.07629281043337915,3.349246307110146
15m,price,same_sma240,2024-11,224,191.06808026394373,0.8529825011783202,206.62796148648107
15m,price,same_sma240,2024-12,62,-51.72417558828446,-0.8342608965852333,-194.57833368537342
15m,price,same_sma240,2025-01,340,-55.719594278078155,-0.16388115964140634,-68.07571541738747
15m,price,same_sma240,2025-02,171,-68.66294336189857,-0.401537680478939,-112.10013441305603
15m,price,same_sma240,2025-03,232,-37.90534474461038,-0.16338510665780337,-35.583824017307755
15m,price,same_sma240,2025-04,322,54.57708991394625,0.1694940680557337,33.32527966530537
15m,price,same_sma240,2025-05,302,25.800074512848326,0.08543071030744478,43.894859861145996
15m,price,same_sma240,2025-06,414,67.19970606805646,0.1623181305991702,11.60014783088804
15m,price,same_sma240,2025-07,192,190.95624019446265,0.9945637510128263,180.24088157431342
15m,price,same_sma240,2025-08,255,-18.81116048706845,-0.07376925681203313,17.604175565309234
15m,price,same_sma240,2025-09,266,-0.41872384052698475,-0.0015741497764172358,40.47291958451783
15m,price,same_sma240,2025-10,261,-96.81008709361876,-0.37091987392191095,-46.40213604279519
15m,price,same_sma240,2025-11,302,-149.92664864351158,-0.49644585643546885,-108.71447699625254
15m,price,same_sma240,2025-12,250,-177.4558732625614,-0.7098234930502456,-143.85879528408356
15m,price,same_sma240,2026-01,194,-93.11506340704528,-0.4799745536445633,-98.76418502823216
15m,price,same_sma240,2026-02,168,-41.779534189022705,-0.24868770350608754,-39.86943182442566
15m,price,same_sma240,2026-03,555,-175.79153622609257,-0.3167415067136803,-55.94264467449395
15m,price,same_sma240,2026-04,383,-106.11998092782774,-0.27707566821887136,-9.163102316392203
15m,price,same_sma60,2024-09,122,-53.66423162271998,-0.4398707510059015,-53.52504430575274
15m,price,same_sma60,2024-10,161,33.70502399773549,0.2093479751412142,19.039139145830394
15m,price,same_sma60,2024-11,197,147.2197374027227,0.7473083116889477,183.64473470972536
15m,price,same_sma60,2024-12,182,-93.82643368478978,-0.5155298554109329,-126.5360209762338
15m,price,same_sma60,2025-01,325,-71.68017244018989,-0.22055437673904582,-85.66144397553497
15m,price,same_sma60,2025-02,207,-74.8544862256501,-0.3616158754862324,-97.92886456859053
15m,price,same_sma60,2025-03,239,2.415557933446004,0.01010693696002512,-5.067808215255048
15m,price,same_sma60,2025-04,271,-2.7279676914610795,-0.010066301444505828,19.668102200331294
15m,price,same_sma60,2025-05,302,-2.302820837579758,-0.007625234561522378,26.074293132537715
15m,price,same_sma60,2025-06,391,67.66543644742458,0.1730573822184772,15.337031809646852
15m,price,same_sma60,2025-07,187,185.87575441110522,0.9939879915032365,171.93261320880606
15m,price,same_sma60,2025-08,273,-71.57951795384281,-0.2621960364609627,-24.943087590527604
15m,price,same_sma60,2025-09,243,-40.959914515883526,-0.16855931899540547,18.637317763187507
15m,price,same_sma60,2025-10,288,-121.44261005642294,-0.42167572936257963,-65.67274852244788
15m,price,same_sma60,2025-11,325,-170.4054609844301,-0.524324495336708,-137.11169343445786
15m,price,same_sma60,2025-12,356,-158.83315513840358,-0.4461605481415831,-97.49561055596472
15m,price,same_sma60,2026-01,220,-55.25148908391117,-0.2511431321995962,-74.08917430729686
15m,price,same_sma60,2026-02,223,-40.86520445681337,-0.18325203792292993,-9.39461026283361
15m,price,same_sma60,2026-03,513,-132.54721873762117,-0.2583766447127118,-44.50451924653418
15m,price,same_sma60,2026-04,351,-92.49136522344187,-0.26350816302974894,-7.81779449271358
15m,rsi7,h1_sma120,2024-09,134,-51.47848827322585,-0.3841678229345213,-52.682760404921815
15m,rsi7,h1_sma120,2024-10,156,11.70706194589524,0.07504526888394385,-11.612901151021488
15m,rsi7,h1_sma120,2024-11,199,108.39658667152283,0.5447064656860443,128.8939195177884
15m,rsi7,h1_sma120,2024-12,49,-27.05120451983632,-0.5520653983640065,-168.05051354473667
15m,rsi7,h1_sma120,2025-01,306,-41.34063376059091,-0.13510011032872846,-61.24436814974184
15m,rsi7,h1_sma120,2025-02,154,-57.85314097168703,-0.37566974656939633,-111.61506945721148
15m,rsi7,h1_sma120,2025-03,259,-28.667404850338453,-0.11068496081211758,-27.53847114782521
15m,rsi7,h1_sma120,2025-04,284,67.87507143639817,0.23899673040985273,37.878991929590065
15m,rsi7,h1_sma120,2025-05,307,-25.985192227315963,-0.08464231995868392,-3.209195205096931
15m,rsi7,h1_sma120,2025-06,388,84.59450536074931,0.2180270756720343,25.660549117639928
15m,rsi7,h1_sma120,2025-07,171,141.63944849995164,0.8283008684207698,122.2583464798089
15m,rsi7,h1_sma120,2025-08,154,-3.9260037094244304,-0.02549353058067812,18.191668514912063
15m,rsi7,h1_sma120,2025-09,262,11.006555102452772,0.04200975229943806,65.29056146639566
15m,rsi7,h1_sma120,2025-10,253,-93.9131663751142,-0.37119828606764504,-40.49329272733064
15m,rsi7,h1_sma120,2025-11,252,-133.1087391302072,-0.528209282262727,-111.72105251017493
15m,rsi7,h1_sma120,2025-12,211,-166.376601107524,-0.7885146971920569,-174.12673021981314
15m,rsi7,h1_sma120,2026-01,155,-61.738883803937014,-0.3983153793802388,-81.97388922252196
15m,rsi7,h1_sma120,2026-02,124,-72.60349225842839,-0.5855120343421645,-91.32884428887672
15m,rsi7,h1_sma120,2026-03,465,-130.5723083050034,-0.2808006630215127,-53.01239617249657
15m,rsi7,h1_sma120,2026-04,389,-82.88266529146071,-0.21306597761300955,0.8647879675086861
15m,rsi7,h1_sma240,2024-09,140,-53.72743525067356,-0.3837673946476683,-52.60876936031066
15m,rsi7,h1_sma240,2024-10,146,20.940355434264962,0.14342709201551343,14.923377427626981
15m,rsi7,h1_sma240,2024-11,195,87.66768965571754,0.44957789567034634,99.00515391320573
15m,rsi7,h1_sma240,2024-12,37,-16.869207430824513,-0.45592452515741927,-178.3499865602468
15m,rsi7,h1_sma240,2025-01,226,-131.9953473001465,-0.5840502092926837,-170.08833379330054
15m,rsi7,h1_sma240,2025-02,84,-40.15202199549144,-0.47800026185108857,-88.17072426190687
15m,rsi7,h1_sma240,2025-03,140,-49.56483462675833,-0.3540345330482738,-72.90914939733459
15m,rsi7,h1_sma240,2025-04,327,117.51170707856532,0.35936301858888475,65.36483113793602
15m,rsi7,h1_sma240,2025-05,339,-33.091943573880194,-0.0976163527253103,-10.274740008919633
15m,rsi7,h1_sma240,2025-06,333,135.77571044253588,0.40773486619380145,55.89593881692826
15m,rsi7,h1_sma240,2025-07,193,202.1529643558331,1.0474246857815186,178.13428512618694
15m,rsi7,h1_sma240,2025-08,61,-22.447342218166447,-0.36798921669125323,-59.96751491431042
15m,rsi7,h1_sma240,2025-09,290,42.63395161036883,0.14701362624265116,100.81332992019867
15m,rsi7,h1_sma240,2025-10,216,-90.28974964408258,-0.418008100204086,-92.92595237345614
15m,rsi7,h1_sma240,2025-11,146,-62.2208671984914,-0.42617032327733834,-87.99357999186967
15m,rsi7,h1_sma240,2025-12,245,-166.58360711064395,-0.6799330902475264,-134.78052839907954
15m,rsi7,h1_sma240,2026-01,141,-50.42434128352361,-0.3576194417271178,-88.69976897544174
15m,rsi7,h1_sma240,2026-02,67,-53.744295733966084,-0.8021536676711356,-161.95680807645226
15m,rsi7,h1_sma240,2026-03,452,-129.56590678245536,-0.28665023624437025,-52.91059298222808
15m,rsi7,h1_sma240,2026-04,382,-48.64337279496241,-0.12733867223812148,28.609686242922066
15m,rsi7,h1_sma60,2024-09,130,-55.41804568307621,-0.4262926591005862,-55.1812190800538
15m,rsi7,h1_sma60,2024-10,154,7.749639395376453,0.05032233373621073,-8.734614646431863
15m,rsi7,h1_sma60,2024-11,220,187.78683409880813,0.8535765186309461,200.79070128777536
15m,rsi7,h1_sma60,2024-12,56,-51.90282761277674,-0.9268362073710132,-209.01797707065504
15m,rsi7,h1_sma60,2025-01,337,-54.45761092815646,-0.16159528465328327,-68.33784113461769
15m,rsi7,h1_sma60,2025-02,165,-63.42135231943488,-0.3843718322389993,-109.06129657094812
15m,rsi7,h1_sma60,2025-03,218,-49.67885600523642,-0.22788466057447898,-45.19885360941724
15m,rsi7,h1_sma60,2025-04,312,53.85164125837173,0.17260141428965298,33.11283552045749
15m,rsi7,h1_sma60,2025-05,300,25.651058203775534,0.08550352734591844,41.90864793658075
15m,rsi7,h1_sma60,2025-06,410,56.424593451141405,0.13762095963693025,9.84922456103999
15m,rsi7,h1_sma60,2025-07,173,141.78551948715312,0.8195694768043533,128.3111473301864
15m,rsi7,h1_sma60,2025-08,219,-35.21625984247589,-0.16080483946336024,-23.238906523943804
15m,rsi7,h1_sma60,2025-09,260,9.107510653312845,0.03502888712812633,57.37848939156428
15m,rsi7,h1_sma60,2025-10,256,-91.14173200053581,-0.356022390627093,-32.697419027393686
15m,rsi7,h1_sma60,2025-11,293,-133.5940153702148,-0.45595227088810514,-84.47191672452294
15m,rsi7,h1_sma60,2025-12,244,-173.19677645893205,-0.7098228543398855,-137.28351221759704
15m,rsi7,h1_sma60,2026-01,193,-85.85838866357308,-0.4448621174278398,-82.33100980701185
15m,rsi7,h1_sma60,2026-02,159,-20.40258641280255,-0.12831815353963869,-15.093474296681915
15m,rsi7,h1_sma60,2026-03,548,-178.7938342226809,-0.3262661208443082,-58.993391734101735
15m,rsi7,h1_sma60,2026-04,380,-111.37771906062433,-0.2930992606858535,-12.151978221713595
15m,rsi7,none,2024-09,141,-54.83857161430992,-0.38892603981780083,-53.65380716771624
15m,rsi7,none,2024-10,180,28.661088257429736,0.15922826809683185,16.549766865665227
15m,rsi7,none,2024-11,241,179.58122719807739,0.7451503203239725,172.0172622550334
15m,rsi7,none,2024-12,305,-0.27085261157911655,-0.0008880413494397264,10.111650462654591
15m,rsi7,none,2025-01,354,-63.35815109932852,-0.17897782796420486,-82.02137180886183
15m,rsi7,none,2025-02,268,-84.04985087166897,-0.31361884653607824,-85.81192172217702
15m,rsi7,none,2025-03,318,-42.20410888593644,-0.13271732354068064,-32.49835368588239
15m,rsi7,none,2025-04,363,101.64652380523596,0.2800179719152506,53.958669534719775
15m,rsi7,none,2025-05,369,-41.038548817761026,-0.1112155794519269,-9.769284354771091
15m,rsi7,none,2025-06,487,68.11017803911307,0.13985662841706994,10.297114206925844
15m,rsi7,none,2025-07,228,217.81343202420558,0.9553220702816034,172.96343069137245
15m,rsi7,none,2025-08,346,-70.29933897587449,-0.2031772802770939,-16.571436777283452
15m,rsi7,none,2025-09,346,17.217736557712428,0.049762244386452104,60.06887035780243
15m,rsi7,none,2025-10,340,-126.97254706257783,-0.37344866783111125,-30.65477754775976
15m,rsi7,none,2025-11,453,-166.35098631716102,-0.3672207203469338,-83.55568725820382
15m,rsi7,none,2025-12,506,-171.11477737783542,-0.33817149679414116,-83.59478118919073
15m,rsi7,none,2026-01,344,-71.49052054179593,-0.2078212806447556,-56.01985253641923
15m,rsi7,none,2026-02,380,-133.24216295049862,-0.3506372709223648,-77.80722695752013
15m,rsi7,none,2026-03,653,-179.3978993960564,-0.2747287892742058,-50.32389043311077
15m,rsi7,none,2026-04,461,-78.50350771002621,-0.17028960457706338,15.324139413659505
15m,rsi7,same_sma120,2024-09,124,-54.07781653792171,-0.43611142369291706,-58.98319604264053
15m,rsi7,same_sma120,2024-10,157,37.50276554617141,0.23887111812848033,22.741771262399542
15m,rsi7,same_sma120,2024-11,208,140.11737646413746,0.6736412330006609,158.14818280324397
15m,rsi7,same_sma120,2024-12,131,-79.68612635271735,-0.6082910408604378,-134.16301450785508
15m,rsi7,same_sma120,2025-01,308,-73.89409671082883,-0.23991589841178193,-83.0185718587267
15m,rsi7,same_sma120,2025-02,185,-79.40918645791922,-0.42923884571848225,-119.6351920184535
15m,rsi7,same_sma120,2025-03,253,-32.87322313348594,-0.129933688274648,-26.411675993554745
15m,rsi7,same_sma120,2025-04,303,70.37246302094901,0.2322523532044522,46.86250688749853
15m,rsi7,same_sma120,2025-05,287,1.3018600187958107,0.004536097626466239,31.14327797824871
15m,rsi7,same_sma120,2025-06,413,61.21378646641796,0.1482174006450798,9.49705814600559
15m,rsi7,same_sma120,2025-07,192,202.11669021701792,1.0526910948803017,185.53172156899268
15m,rsi7,same_sma120,2025-08,280,-37.38738875852895,-0.13352638842331768,4.469251984673821
15m,rsi7,same_sma120,2025-09,261,-14.828865228681895,-0.05681557558881952,5.430716306331534
15m,rsi7,same_sma120,2025-10,290,-115.6434153783001,-0.39877039785620727,-60.17845320218762
15m,rsi7,same_sma120,2025-11,319,-173.8971839341635,-0.5451322380381302,-132.73741859524878
15m,rsi7,same_sma120,2025-12,298,-180.78239926952725,-0.6066523465420377,-122.12337788163309
15m,rsi7,same_sma120,2026-01,218,-116.489580972932,-0.5343558760226239,-107.98143934948254
15m,rsi7,same_sma120,2026-02,190,-51.748738729872294,-0.2723617827888015,-37.820397084955246
15m,rsi7,same_sma120,2026-03,522,-138.51527685607908,-0.26535493650589864,-45.48080516987306
15m,rsi7,same_sma120,2026-04,354,-116.11185509093728,-0.3279995906523652,-7.535626093301153
15m,rsi7,same_sma240,2024-09,130,-52.77945766129763,-0.4059958281638279,-52.63775338710544
15m,rsi7,same_sma240,2024-10,162,12.359435290207422,0.07629281043337915,3.349246307110146
15m,rsi7,same_sma240,2024-11,224,185.63863553648574,0.8287439086450256,195.02865452820288
15m,rsi7,same_sma240,2024-12,62,-51.72417558828446,-0.8342608965852333,-194.57833368537342
15m,rsi7,same_sma240,2025-01,340,-55.719594278078155,-0.16388115964140634,-68.07571541738747
15m,rsi7,same_sma240,2025-02,171,-68.66294336189857,-0.401537680478939,-112.10013441305603
15m,rsi7,same_sma240,2025-03,232,-35.911555924734614,-0.15479118933075264,-34.12768774109732
15m,rsi7,same_sma240,2025-04,322,55.45758336036106,0.17222851975267411,33.94531180707664
15m,rsi7,same_sma240,2025-05,302,24.291257121046346,0.08043462622863029,41.59744895637437
15m,rsi7,same_sma240,2025-06,414,67.19970606805646,0.1623181305991702,11.60014783088804
15m,rsi7,same_sma240,2025-07,192,186.50525440954954,0.9713815333830705,174.98132659405516
15m,rsi7,same_sma240,2025-08,255,-18.81116048706845,-0.07376925681203313,17.604175565309234
15m,rsi7,same_sma240,2025-09,266,6.615627304511195,0.02487077934026765,54.20373890392218
15m,rsi7,same_sma240,2025-10,261,-93.37188175367932,-0.3577466733857445,-33.51623471056775
15m,rsi7,same_sma240,2025-11,302,-149.92664864351158,-0.49644585643546885,-108.71447699625254
15m,rsi7,same_sma240,2025-12,250,-177.4558732625614,-0.7098234930502456,-143.85879528408356
15m,rsi7,same_sma240,2026-01,194,-93.11506340704528,-0.4799745536445633,-98.76418502823216
15m,rsi7,same_sma240,2026-02,168,-41.779534189022705,-0.24868770350608754,-39.86943182442566
15m,rsi7,same_sma240,2026-03,556,-175.82974590351193,-0.31624055018617253,-55.87799963011536
15m,rsi7,same_sma240,2026-04,383,-106.46335442180364,-0.27797220475666745,-9.627745042817901
15m,rsi7,same_sma60,2024-09,122,-53.66423162271998,-0.4398707510059015,-53.52504430575274
15m,rsi7,same_sma60,2024-10,161,33.70502399773549,0.2093479751412142,19.039139145830394
15m,rsi7,same_sma60,2024-11,197,141.7902926752647,0.7197476785546432,170.4556750211248
15m,rsi7,same_sma60,2024-12,182,-93.82643368478978,-0.5155298554109329,-126.5360209762338
15m,rsi7,same_sma60,2025-01,325,-71.68017244018989,-0.22055437673904582,-85.66144397553497
15m,rsi7,same_sma60,2025-02,207,-74.8544862256501,-0.3616158754862324,-97.92886456859053
15m,rsi7,same_sma60,2025-03,239,4.409346753321771,0.018449149595488584,-3.6543202818624843
15m,rsi7,same_sma60,2025-04,271,-1.8474742450462727,-0.006817248136702113,20.404819357712665
15m,rsi7,same_sma60,2025-05,302,-3.811638229381738,-0.01262131864033688,23.77688222776609
15m,rsi7,same_sma60,2025-06,391,67.66543644742458,0.1730573822184772,15.337031809646852
15m,rsi7,same_sma60,2025-07,187,181.4247686261921,0.9701859284823107,166.5324284162414
15m,rsi7,same_sma60,2025-08,273,-71.57951795384281,-0.2621960364609627,-24.943087590527604
15m,rsi7,same_sma60,2025-09,243,-40.959914515883526,-0.16855931899540547,18.637317763187507
15m,rsi7,same_sma60,2025-10,288,-121.44261005642294,-0.42167572936257963,-65.67274852244788
15m,rsi7,same_sma60,2025-11,325,-170.4054609844301,-0.524324495336708,-137.11169343445786
15m,rsi7,same_sma60,2025-12,356,-158.83315513840358,-0.4461605481415831,-97.49561055596472
15m,rsi7,same_sma60,2026-01,220,-55.25148908391117,-0.2511431321995962,-74.08917430729686
15m,rsi7,same_sma60,2026-02,223,-40.86520445681337,-0.18325203792292993,-9.39461026283361
15m,rsi7,same_sma60,2026-03,514,-132.5854284150405,-0.2579483043094173,-44.45684508457594
15m,rsi7,same_sma60,2026-04,351,-92.83473871741778,-0.26448643509235836,-8.324797809582646
1h,price,h1_sma120,2024-09,75,23.438555754472638,0.3125140767263018,203.23307927694546
1h,price,h1_sma120,2024-10,34,-21.906519520488743,-0.6443093976614336,-247.92147002184282
1h,price,h1_sma120,2024-11,36,1.0491565460578538,0.02914323739049594,168.59956950423359
1h,price,h1_sma120,2024-12,14,-10.37034237730912,-0.7407387412363657,-415.0015332543418
1h,price,h1_sma120,2025-01,91,-23.551582040324575,-0.2588085938497206,-168.92500499940653
1h,price,h1_sma120,2025-02,56,-42.55197137711431,-0.7598566317341842,-331.04540023544484
1h,price,h1_sma120,2025-03,135,-25.654318913218308,-0.19003199194976525,-109.418999429393
1h,price,h1_sma120,2025-04,125,78.33323762863797,0.6266659010291038,234.9974156158948
1h,price,h1_sma120,2025-05,24,4.460696042696404,0.18586233511235017,196.33551444525426
1h,price,h1_sma120,2025-06,46,-32.42983719473736,-0.70499646075516,-335.1221695524399
1h,price,h1_sma120,2025-07,101,122.74685590756451,1.2153154050253911,398.2557783725106
1h,price,h1_sma120,2025-08,122,-28.567673703405678,-0.23416125986398095,-255.94052892098614
1h,price,h1_sma120,2025-09,182,-0.3636425225490467,-0.0019980358381815754,-28.48646664032229
1h,price,h1_sma120,2025-10,133,-52.905795058285065,-0.39778793276906066,-94.01300266090522
1h,price,h1_sma120,2025-11,50,-40.42060453690677,-0.8084120907381355,-328.5537839218567
1h,price,h1_sma120,2025-12,94,-46.22171802193778,-0.4917204044886998,-278.54968208259544
1h,price,h1_sma120,2026-01,76,-3.063570998420663,-0.040310144716061355,-98.43520297696634
1h,price,h1_sma120,2026-02,47,-38.62770912738558,-0.8218661516465017,-366.8502827906377
1h,price,h1_sma120,2026-03,166,-47.407846054518416,-0.28558943406336396,-152.63706844716182
1h,price,h1_sma120,2026-04,232,39.84594553103006,0.17174976521995716,83.96749709666292
