timeframe,exit_rule,gate,period,baseline_n,filtered_n,retained,removed,added,removed_winners,removed_losers,avoided_loss_r,forgone_profit_r,added_r,net_delta_r,baseline_gt10r,retained_gt10r,lost_gt10r,added_gt10r
15m,rsi7,h1_sma60,later,3314,2198,2197,1117,1,302,815,822.8638958587637,687.5831663116287,-1.046216718266255,134.2345128288687,14,7,7,0
15m,rsi7,h1_sma120,full,7083,4672,4669,2414,3,748,1666,1678.8176876401142,1557.6665396078702,-3.3282052487322114,117.8229427835118,46,34,12,0
15m,rsi7,h1_sma120,earlier,3765,2703,2702,1063,1,389,674,664.2949858039522,737.2197072853435,-1.1696774193548445,-74.0943989007461,32,28,4,0
15m,rsi7,h1_sma120,later,3314,1968,1966,1348,2,358,990,1013.9653696064138,820.0206349450249,-2.158527829377367,191.7862068320115,14,6,8,0
15m,rsi7,h1_sma240,full,7083,4160,4158,2925,2,882,2043,2077.9667908207216,1748.3445190074892,-2.158527829377367,327.463743983855,46,33,13,0
15m,rsi7,h1_sma240,earlier,3765,2373,2373,1392,0,509,883,890.7719716472948,918.5811530861232,0.0,-27.809181438828475,32,28,4,0
15m,rsi7,h1_sma240,later,3314,1783,1781,1533,2,373,1160,1187.1948191734268,829.7633659213659,-2.158527829377367,355.2729254226835,14,5,9,0
1h,price,same_sma60,full,2199,1802,1801,398,1,93,305,301.4207718472684,209.44120795620123,-1.0212435824301205,90.95832030863701,12,11,1,0
1h,price,same_sma60,earlier,1074,888,887,187,1,43,144,143.44587685425176,89.35107021760442,-1.0212435824301205,53.07356305421724,4,4,0,0
1h,price,same_sma60,later,1077,869,869,208,0,48,160,156.95912530089345,113.78764947228416,0.0,43.17147582860929,8,7,1,0
1h,price,same_sma120,full,2199,1839,1838,361,1,84,277,272.9219281244377,213.4401993571637,-1.0212435824301205,58.460485184843925,12,10,2,0
1h,price,same_sma120,earlier,1074,923,922,152,1,32,120,119.21221947994796,57.10143129877165,-1.0212435824301205,61.089544598746194,4,4,0,0
1h,price,same_sma120,later,1077,874,874,203,0,47,156,152.69393895236664,139.39882894472964,0.0,13.295110007636975,8,6,2,0
1h,price,same_sma240,full,2199,1789,1789,410,0,85,325,311.9910011133177,191.2516596319907,0.0,120.73934148132702,12,11,1,0
1h,price,same_sma240,earlier,1074,892,892,182,0,33,149,142.60911734077018,66.25878574263433,0.0,76.35033159813588,4,4,0,0
1h,price,same_sma240,later,1077,850,850,227,0,51,176,169.38188377254752,122.60899662577486,0.0,46.772887146772646,8,7,1,0
1h,price,h1_sma60,full,2199,1802,1801,398,1,93,305,301.4207718472684,209.44120795620123,-1.0212435824301205,90.95832030863701,12,11,1,0
1h,price,h1_sma60,earlier,1074,888,887,187,1,43,144,143.44587685425176,89.35107021760442,-1.0212435824301205,53.07356305421724,4,4,0,0
1h,price,h1_sma60,later,1077,869,869,208,0,48,160,156.95912530089345,113.78764947228416,0.0,43.17147582860929,8,7,1,0
1h,price,h1_sma120,full,2199,1839,1838,361,1,84,277,272.9219281244377,213.4401993571637,-1.0212435824301205,58.460485184843925,12,10,2,0
1h,price,h1_sma120,earlier,1074,923,922,152,1,32,120,119.21221947994796,57.10143129877165,-1.0212435824301205,61.089544598746194,4,4,0,0
1h,price,h1_sma120,later,1077,874,874,203,0,47,156,152.69393895236664,139.39882894472964,0.0,13.295110007636975,8,6,2,0
1h,price,h1_sma240,full,2199,1789,1789,410,0,85,325,311.9910011133177,191.2516596319907,0.0,120.73934148132702,12,11,1,0
1h,price,h1_sma240,earlier,1074,892,892,182,0,33,149,142.60911734077018,66.25878574263433,0.0,76.35033159813588,4,4,0,0
1h,price,h1_sma240,later,1077,850,850,227,0,51,176,169.38188377254752,122.60899662577486,0.0,46.772887146772646,8,7,1,0
1h,rsi7,same_sma60,full,2199,1802,1801,398,1,93,305,301.4207718472684,196.96035780592206,-1.0212435824301205,103.43917045891615,12,11,1,0
1h,rsi7,same_sma60,earlier,1074,888,887,187,1,43,144,143.44587685425176,89.35107021760442,-1.0212435824301205,53.07356305421724,4,4,0,0
1h,rsi7,same_sma60,later,1077,869,869,208,0,48,160,156.95912530089345,101.30679932200502,0.0,55.65232597888843,8,7,1,0
1h,rsi7,same_sma120,full,2199,1839,1838,361,1,84,277,272.9219281244377,200.95934920688455,-1.0212435824301205,70.94133533512309,12,10,2,0
1h,rsi7,same_sma120,earlier,1074,923,922,152,1,32,120,119.21221947994796,57.10143129877165,-1.0212435824301205,61.089544598746194,4,4,0,0
1h,rsi7,same_sma120,later,1077,874,874,203,0,47,156,152.69393895236664,126.9179787944505,0.0,25.775960157916124,8,6,2,0
1h,rsi7,same_sma240,full,2199,1789,1789,410,0,85,325,311.9910011133177,178.77080948171152,0.0,133.22019163160616,12,11,1,0
1h,rsi7,same_sma240,earlier,1074,892,892,182,0,33,149,142.60911734077018,66.25878574263433,0.0,76.35033159813588,4,4,0,0
1h,rsi7,same_sma240,later,1077,850,850,227,0,51,176,169.38188377254752,110.12814647549573,0.0,59.2537372970518,8,7,1,0
1h,rsi7,h1_sma60,full,2199,1802,1801,398,1,93,305,301.4207718472684,196.96035780592206,-1.0212435824301205,103.43917045891615,12,11,1,0
1h,rsi7,h1_sma60,earlier,1074,888,887,187,1,43,144,143.44587685425176,89.35107021760442,-1.0212435824301205,53.07356305421724,4,4,0,0
1h,rsi7,h1_sma60,later,1077,869,869,208,0,48,160,156.95912530089345,101.30679932200502,0.0,55.65232597888843,8,7,1,0
1h,rsi7,h1_sma120,full,2199,1839,1838,361,1,84,277,272.9219281244377,200.95934920688455,-1.0212435824301205,70.94133533512309,12,10,2,0
1h,rsi7,h1_sma120,earlier,1074,923,922,152,1,32,120,119.21221947994796,57.10143129877165,-1.0212435824301205,61.089544598746194,4,4,0,0
1h,rsi7,h1_sma120,later,1077,874,874,203,0,47,156,152.69393895236664,126.9179787944505,0.0,25.775960157916124,8,6,2,0
1h,rsi7,h1_sma240,full,2199,1789,1789,410,0,85,325,311.9910011133177,178.77080948171152,0.0,133.22019163160616,12,11,1,0
1h,rsi7,h1_sma240,earlier,1074,892,892,182,0,33,149,142.60911734077018,66.25878574263433,0.0,76.35033159813588,4,4,0,0
1h,rsi7,h1_sma240,later,1077,850,850,227,0,51,176,169.38188377254752,110.12814647549573,0.0,59.2537372970518,8,7,1,0
pooled,price,same_sma60,full,9281,7178,7174,2107,4,648,1459,1457.894310648699,1438.3472345535515,-2.3243933189414836,17.222682776206263,58,46,12,0
pooled,price,same_sma60,earlier,4839,3862,3859,980,3,356,624,631.1692477525021,798.6325081412826,-1.2482894228375865,-168.71154981161823,37,31,6,0
pooled,price,same_sma60,later,4390,3270,3269,1121,1,289,832,825.1519609743257,632.9860407684544,-1.0761038961038971,191.08981630976754,21,15,6,0
pooled,price,same_sma120,full,9281,7131,7127,2154,4,676,1478,1477.6194588851884,1491.2815476621743,-2.3243933189414836,-15.986482095927245,58,44,14,0
pooled,price,same_sma120,earlier,4839,3896,3893,946,3,327,619,620.4904043856347,644.8770422830631,-1.2482894228375865,-25.634927320265934,37,33,4,0
pooled,price,same_sma120,later,4390,3192,3191,1199,1,343,856,855.5559525776823,829.038368887947,-1.0761038961038971,25.441479793631462,21,11,10,0
pooled,price,same_sma240,full,9281,6974,6972,2309,2,671,1638,1642.159363653249,1431.4487245739845,-2.2158941376210994,208.49474494164363,58,48,10,0
pooled,price,same_sma240,earlier,4839,3832,3831,1008,1,324,684,683.1894059945519,607.3479633592466,-1.1696774193548445,74.67176521595043,37,35,2,0
pooled,price,same_sma240,later,4390,3094,3093,1297,1,345,952,958.412625428949,821.2906865736545,-1.046216718266255,136.0757221370282,21,13,8,0
pooled,price,h1_sma60,full,9281,6828,6825,2456,3,762,1694,1695.5856555569112,1559.3147096575258,-3.23713772005122,133.03380817933396,58,48,10,0
pooled,price,h1_sma60,earlier,4839,3716,3714,1125,2,409,716,714.1895324753826,752.3524631317595,-2.190921001784965,-40.353851658161766,37,35,2,0
pooled,price,h1_sma60,later,4390,3066,3065,1325,1,350,975,979.8230211596572,800.2335608819521,-1.046216718266255,178.54324355943882,21,13,8,0
pooled,price,h1_sma120,full,9281,6510,6506,2775,4,832,1943,1951.7396157645517,1779.606465839212,-4.349448831162332,167.78370109417742,58,43,15,0
pooled,price,h1_sma120,earlier,4839,3626,3624,1215,2,421,794,783.5072052839001,803.9581203602543,-2.190921001784965,-22.64183607813905,37,32,5,0
pooled,price,h1_sma120,later,4390,2841,2839,1551,2,405,1146,1166.6593085587804,958.2822089877939,-2.158527829377367,206.21857174160925,21,11,10,0
pooled,price,h1_sma240,full,9281,5949,5947,3334,2,967,2367,2389.91958225662,1937.5975028244002,-2.158527829377367,450.16355160284246,58,45,13,0
pooled,price,h1_sma240,earlier,4839,3265,3265,1574,0,542,1032,1033.381088988065,987.416723255578,0.0,45.964365732486925,37,33,4,0
pooled,price,h1_sma240,later,4390,2633,2631,1759,2,424,1335,1356.5384932685552,947.7969023052406,-2.158527829377367,406.58306313393706,21,12,9,0
pooled,rsi7,same_sma60,full,9282,7179,7175,2107,4,648,1459,1457.894310648699,1437.4761957902108,-2.3243933189414836,18.093721539547005,58,45,13,0
pooled,rsi7,same_sma60,earlier,4839,3862,3859,980,3,356,624,631.1692477525021,798.6325081412826,-1.2482894228375865,-168.71154981161823,36,30,6,0
pooled,rsi7,same_sma60,later,4391,3271,3270,1121,1,289,832,825.1519609743257,632.1150020051136,-1.0761038961038971,191.96085507310832,22,15,7,0
pooled,rsi7,same_sma120,full,9282,7132,7128,2154,4,676,1478,1477.6194588851884,1486.972303558894,-2.3243933189414836,-11.677237992647045,58,44,14,0
pooled,rsi7,same_sma120,earlier,4839,3896,3893,946,3,327,619,620.4904043856347,644.8770422830631,-1.2482894228375865,-25.634927320265934,36,32,4,0
pooled,rsi7,same_sma120,later,4391,3193,3192,1199,1,343,856,855.5559525776823,824.7291247846667,-1.0761038961038971,29.750723896911648,22,12,10,0
pooled,rsi7,same_sma240,full,9282,6975,6973,2309,2,671,1638,1642.159363653249,1420.105129325666,-2.2158941376210994,219.83834018996197,58,48,10,0
pooled,rsi7,same_sma240,earlier,4839,3832,3831,1008,1,324,684,683.1894059945519,607.3479633592466,-1.1696774193548445,74.67176521595043,36,34,2,0
pooled,rsi7,same_sma240,later,4391,3095,3094,1297,1,345,952,958.412625428949,809.9470913253363,-1.046216718266255,147.41931738534655,22,14,8,0
pooled,rsi7,h1_sma60,full,9282,6829,6826,2456,3,762,1694,1695.5856555569112,1540.910917059889,-3.23713772005122,151.43760077697095,58,49,9,0
pooled,rsi7,h1_sma60,earlier,4839,3716,3714,1125,2,409,716,714.1895324753826,745.2922657824408,-2.190921001784965,-33.29365430884313,36,35,1,0
pooled,rsi7,h1_sma60,later,4391,3067,3066,1325,1,350,975,979.8230211596572,788.8899656336337,-1.046216718266255,189.8868388077572,22,14,8,0
pooled,rsi7,h1_sma120,full,9282,6511,6507,2775,4,832,1943,1951.7396157645517,1758.6258888147547,-4.349448831162332,188.76427811863488,58,44,14,0
pooled,rsi7,h1_sma120,earlier,4839,3626,3624,1215,2,421,794,783.5072052839001,794.3211385841151,-2.190921001784965,-13.004854301999918,36,32,4,0
pooled,rsi7,h1_sma120,later,4391,2842,2840,1551,2,405,1146,1166.6593085587804,946.9386137394755,-2.158527829377367,217.56216698992762,22,12,10,0
pooled,rsi7,h1_sma240,full,9282,5949,5947,3335,2,967,2368,2389.9577919340395,1927.1153284892007,-2.158527829377367,460.6839356154612,58,44,14,0
pooled,rsi7,h1_sma240,earlier,4839,3265,3265,1574,0,542,1032,1033.381088988065,984.8399388287575,0.0,48.541150159307406,36,32,4,0
pooled,rsi7,h1_sma240,later,4391,2633,2631,1760,2,424,1336,1356.5767029459744,939.8915123968618,-2.158527829377367,414.5266627197353,22,12,10,0
