raw_x0_px,raw_y0_px,raw_x1_px,raw_y1_px,global_x0_bar,global_x1_bar,price_high,price_low,context_x0_px,context_y0_px,context_x1_px,context_y1_px,event_order,events_total,episode_id,episode_candidate_count,symbol,class_id,class_name,confidence,window_len,window_start_i,window_end_i,window_end_time,core_start_i,core_end_i,core_start_time,core_end_time,core_length_bars,confirmation_bars,context_start_i,context_end_i,context_start_time,context_end_time,context_bars,post_detection_review_bars,model_input_pixel_sha256,boxes_per_document,canvas_width,canvas_height,image_path,image_sha256,image_size_bytes
754,356,1080,450,1566.6337579617834,1571.3057324840765,1895.7370268820796,1879.0821473099347,1220,353,1288,453,11,24,ETH30D_011,17,ETH_USDT_SWAP,0,dense_long,0.915793776512146,19,1556,1574,2026-08-12T09:30:00+00:00,1567,1571,2026-08-12T07:45:00+00:00,2026-08-12T08:45:00+00:00,5,3,1484,1611,2026-08-11T11:00:00+00:00,2026-08-12T18:45:00+00:00,128,37,1487e919474c5f6756f35cadfe0bab83511a254aebe806fa3a7ffd6c55786ebe,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/011_ETHUSDT_P_LONG_20260812T0930Z.png,336cf50d0b06f10079b736c53b4d1f23bbfa15d78217a60d9a814bdcfcd27c14,177989
872,332,1145,420,1609.6401273885351,1613.3351910828026,1897.0450452389973,1881.4774046997215,1249,399,1303,491,12,24,ETH30D_012,3,ETH_USDT_SWAP,1,dense_short,0.7477060556411743,18,1598,1615,2026-08-12T19:45:00+00:00,1610,1613,2026-08-12T18:30:00+00:00,2026-08-12T19:15:00+00:00,4,2,1525,1652,2026-08-11T21:15:00+00:00,2026-08-13T05:00:00+00:00,128,37,b0782292fd465a594a700b162210824057be4351028699c3be6747685c1c41a9,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/012_ETHUSDT_P_SHORT_20260812T1945Z.png,e0d92a3f64fbaf2e2817cde8ca339dfd7bd03a8d57e05cd84453027e76be0c92,174807
825,282,1152,386,1691.6512738853503,1696.3375796178343,1895.165951821727,1876.8713564345403,1234,304,1303,414,13,24,ETH30D_013,1,ETH_USDT_SWAP,1,dense_short,0.4647204279899597,19,1680,1698,2026-08-13T16:30:00+00:00,1692,1696,2026-08-13T15:00:00+00:00,2026-08-13T16:00:00+00:00,5,2,1608,1735,2026-08-12T18:00:00+00:00,2026-08-14T01:45:00+00:00,128,37,120cddbb96f7ab28ebf819cef3b8122f7c68103fffa107d4825661609c40806f,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/013_ETHUSDT_P_SHORT_20260813T1630Z.png,89874a49655facecd8d2e040656c78833cf77d62fdcecefdecd47733afc05783,165680
714,313,997,420,1777.501592356688,1781.3320063694268,1884.1311611819872,1865.3644320761375,1218,350,1274,462,14,24,ETH30D_014,5,ETH_USDT_SWAP,1,dense_short,0.3665381371974945,18,1768,1785,2026-08-14T14:15:00+00:00,1778,1781,2026-08-14T12:30:00+00:00,2026-08-14T13:15:00+00:00,4,4,1695,1822,2026-08-13T15:45:00+00:00,2026-08-14T23:30:00+00:00,128,37,df1bdeb460cdf337320d225cd401865b52c72ff9a35cf2c2e811dab2a0d15325,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/014_ETHUSDT_P_SHORT_20260814T1415Z.png,1109f4e9bd570b8617894bf453e6acf85c4454fe441e80bdbb360354ec27b416,165777
757,369,1081,402,1978.6767515923566,1983.3200636942674,1885.5928917214485,1879.7701783175487,1220,370,1288,404,15,24,ETH30D_015,10,ETH_USDT_SWAP,0,dense_long,0.7218523621559143,19,1968,1986,2026-08-16T16:30:00+00:00,1979,1983,2026-08-16T14:45:00+00:00,2026-08-16T15:45:00+00:00,5,3,1896,2023,2026-08-15T18:00:00+00:00,2026-08-17T01:45:00+00:00,128,37,6e90b489de0ebf549d033c55e042da01dd79ebb9284175329155958192953db7,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/015_ETHUSDT_P_LONG_20260816T1630Z.png,63d23dbb90c74fac86c35810732d350c156dd1af25ec6fe2e3c27db70a323da1,136639
824,327,1152,431,2003.6369426751592,2008.3375796178343,1885.894461682451,1867.6130067966571,1234,413,1303,522,16,24,ETH30D_016,2,ETH_USDT_SWAP,1,dense_short,0.6124594211578369,19,1992,2010,2026-08-16T22:30:00+00:00,2004,2008,2026-08-16T21:00:00+00:00,2026-08-16T22:00:00+00:00,5,2,1920,2047,2026-08-16T00:00:00+00:00,2026-08-17T07:45:00+00:00,128,37,02d3e078c01db8b79a9151a489fd0946b6acb578b69c511883646706d1857e5b,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/016_ETHUSDT_P_SHORT_20260816T2230Z.png,833e3a99592a5ed66aae9d0f1d8f9bb62a17348397017a7de20b2fa6dbaeaa80,149954
755,318,1082,434,2019.6480891719746,2024.3343949044586,1897.3954702618387,1876.8974598774375,1220,345,1288,467,17,24,ETH30D_017,13,ETH_USDT_SWAP,0,dense_long,0.4103177785873413,19,2009,2027,2026-08-17T02:45:00+00:00,2020,2024,2026-08-17T01:00:00+00:00,2026-08-17T02:00:00+00:00,5,3,1937,2064,2026-08-16T04:15:00+00:00,2026-08-17T12:00:00+00:00,128,37,d60776c1cf41564d06e6a341cdd10987c14223a26e04ef1c96e4734782dbf36b,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/017_ETHUSDT_P_LONG_20260817T0245Z.png,3ab4fc9fe9a667739d9702fe79ac764c9a1d35469675be62f2d4be5c02e0c276,156242
873,343,1144,426,2118.6536624203823,2122.3216560509554,1908.0371572144845,1893.2537983286907,1249,345,1303,432,18,24,ETH30D_018,12,ETH_USDT_SWAP,1,dense_short,0.8050178289413452,18,2107,2124,2026-08-18T03:00:00+00:00,2119,2122,2026-08-18T01:45:00+00:00,2026-08-18T02:30:00+00:00,4,2,2034,2161,2026-08-17T04:30:00+00:00,2026-08-18T12:15:00+00:00,128,37,e1a59fe08a8cc4eee5221f6f543555e4e735d5b584dd342abab388a87405ef09,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/018_ETHUSDT_P_SHORT_20260818T0300Z.png,aa44874a6e904e558eb97e6cd3535fd6856f21ee35ebb358115ffc6979f345b3,164635
825,368,1153,458,2252.6512738853503,2257.3519108280257,1925.3664942154132,1909.1529177530176,1234,683,1303,708,19,24,ETH30D_019,22,ETH_USDT_SWAP,0,dense_long,0.5920729637145996,19,2241,2259,2026-08-19T12:45:00+00:00,2253,2257,2026-08-19T11:15:00+00:00,2026-08-19T12:15:00+00:00,5,2,2169,2296,2026-08-18T14:15:00+00:00,2026-08-19T22:00:00+00:00,128,37,c93e43e60735d1f2be3478e4623f2b8aa433fce4fbeb97df507b56d373169bd7,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/019_ETHUSDT_P_LONG_20260819T1245Z.png,43c20e6f9b447933e2273f8e3bbd202a565f966eb5c07603f3c7a849e3553800,160000
830,367,1150,478,2285.7229299363057,2290.308917197452,2135.8087016527393,2063.4542307892293,1236,371,1303,482,20,24,ETH30D_020,5,ETH_USDT_SWAP,0,dense_long,0.5156264901161194,19,2274,2292,2026-08-19T21:00:00+00:00,2286,2290,2026-08-19T19:30:00+00:00,2026-08-19T20:30:00+00:00,5,2,2202,2329,2026-08-18T22:30:00+00:00,2026-08-20T06:15:00+00:00,128,37,13b49eda72d2f7e5da38bae82999f3d645df840d46ec76a99fa5afe099da2999,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/020_ETHUSDT_P_LONG_20260819T2100Z.png,863eeb8bb2f2290557f14a8ce930b79ce9302a62f803399f0871a82dcc608275,191414
796,265,1144,419,2635.611464968153,2640.3216560509554,2439.776231127577,2404.9562774139276,1234,299,1303,460,21,24,ETH30D_021,23,ETH_USDT_SWAP,0,dense_long,0.8572604656219482,18,2625,2642,2026-08-23T12:30:00+00:00,2636,2640,2026-08-23T11:00:00+00:00,2026-08-23T12:00:00+00:00,5,2,2552,2679,2026-08-22T14:00:00+00:00,2026-08-23T21:45:00+00:00,128,37,e0bb2c97f2c2dc67a55538fb0fb965b1abd02448035a29945975497185cc85eb,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/021_ETHUSDT_P_LONG_20260823T1230Z.png,ec7054f351dbd4f02f7a01984b3cf33c9406076c6b244591b1cc0a01d39d0cc8,195053
796,299,1149,456,2830.611464968153,2835.389331210191,2492.222722652925,2455.846754506964,1234,304,1304,470,22,24,ETH30D_022,2,ETH_USDT_SWAP,1,dense_short,0.7507676482200623,18,2820,2837,2026-08-25T13:15:00+00:00,2831,2835,2026-08-25T11:45:00+00:00,2026-08-25T12:45:00+00:00,5,2,2747,2874,2026-08-24T14:45:00+00:00,2026-08-25T22:30:00+00:00,128,37,045a297cbf7bfbe74c90f0c13adeb44998a13ffcc6272e18474b0ff855594aff,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/022_ETHUSDT_P_SHORT_20260825T1315Z.png,c2cc33c35f97b14e0a6fdaab27a42a03d8358180178e98b71d4346d9e288f4ab,196126
868,372,1147,446,2959.5859872611463,2963.3622611464966,2473.6784585626738,2456.544392200557,1248,385,1303,463,23,24,ETH30D_023,11,ETH_USDT_SWAP,0,dense_long,0.5430309772491455,18,2948,2965,2026-08-26T21:15:00+00:00,2960,2963,2026-08-26T20:00:00+00:00,2026-08-26T20:45:00+00:00,4,2,2875,3002,2026-08-25T22:45:00+00:00,2026-08-27T06:30:00+00:00,128,37,7502231fd596d12d26a3f7c5eaf6a3235ac18dd61a3df1aca18aafc5c197f460,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/023_ETHUSDT_P_LONG_20260826T2115Z.png,10a6fb1b8182a0e4c701cf7c56accf68b2aa9932868634f8d2e7f75e664a1f91,183960
874,381,1145,507,3003.667197452229,3007.3351910828023,2499.6548401680593,2470.149401285608,1249,385,1303,518,24,24,ETH30D_024,9,ETH_USDT_SWAP,0,dense_long,0.4580276608467102,18,2992,3009,2026-08-27T08:15:00+00:00,3004,3007,2026-08-27T07:00:00+00:00,2026-08-27T07:45:00+00:00,4,2,2919,3046,2026-08-26T09:45:00+00:00,2026-08-27T17:30:00+00:00,128,37,4499d3f7095b575da66737fb4d313da6200b648fed703c6044fba16cb549ea20,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/024_ETHUSDT_P_LONG_20260827T0815Z.png,905be749f4c43af5edbe91dc2c143a7f13a6919b587184b852787034e4ce2bb1,195361
