i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,cv60,ret12,pos24,bear_stack,bull_stack,filter_reason,owner_keep,owner_note,image
17,TURBO_USDT_SWAP_001159,TURBO_USDT_SWAP,1159,2025-06-15 19:30:00+00:00,0.437,1,0.002996,0.9988,-0.006637,-0.01473,0.1892,1,0,pass,,,images/train/TURBO_USDT_SWAP_001159.png
18,XTZ_USDT_SWAP_011139,XTZ_USDT_SWAP,11139,2025-09-27 18:45:00+00:00,0.5187,1,0.003109,0.9973,-0.001874,-0.006671,0.4432,1,0,pass,,,images/train/XTZ_USDT_SWAP_011139.png
19,F_USDT_SWAP_012599,F_USDT_SWAP,12599,2026-03-05 13:45:00+00:00,0.6294,2,0.003152,0.997,-0.005542,-0.012624,0.2079,0,0,pass,,,images/train/F_USDT_SWAP_012599.png
20,TURBO_USDT_SWAP_008519,TURBO_USDT_SWAP,8519,2025-08-31 11:30:00+00:00,0.5407,2,0.003234,0.9971,-0.005076,-0.010793,0.2222,0,0,pass,,,images/train/TURBO_USDT_SWAP_008519.png
21,IOST_USDT_SWAP_002359,IOST_USDT_SWAP,2359,2025-06-28 05:45:00+00:00,0.6581,1,0.003282,0.9977,-0.003231,-0.000319,0.122,1,0,pass,,,images/train/IOST_USDT_SWAP_002359.png
22,BAT_USDT_SWAP_013659,BAT_USDT_SWAP,13659,2025-10-23 21:00:00+00:00,0.485,2,0.003318,0.997,-0.008664,-0.014874,0.1897,1,0,pass,,,images/train/BAT_USDT_SWAP_013659.png
23,DOT_USDT_SWAP_022559,DOT_USDT_SWAP,22559,2026-01-23 14:45:00+00:00,0.4876,2,0.003326,0.9974,-0.014705,-0.016984,0.2909,1,0,pass,,,images/train/DOT_USDT_SWAP_022559.png
24,IOTA_USDT_SWAP_028859,IOTA_USDT_SWAP,28859,2026-03-31 06:45:00+00:00,0.7658,1,0.003347,0.9967,-0.00308,-0.002182,0.1875,0,0,pass,,,images/train/IOTA_USDT_SWAP_028859.png
25,GALA_USDT_SWAP_023699,GALA_USDT_SWAP,23699,2026-02-04 12:00:00+00:00,0.6812,1,0.003425,0.9976,-0.003233,-0.004821,0.466,1,0,pass,,,images/train/GALA_USDT_SWAP_023699.png
26,SOL_USDT_SWAP_022939,SOL_USDT_SWAP,22939,2026-01-27 14:30:00+00:00,0.3087,1,0.003428,0.9992,-0.003887,-0.004676,0.269,0,0,pass,,,images/train/SOL_USDT_SWAP_022939.png
27,AIXBT_USDT_SWAP_025259,AIXBT_USDT_SWAP,25259,2026-02-21 16:15:00+00:00,0.7538,1,0.00343,0.9965,-0.013866,-0.012285,0.0909,0,0,pass,,,images/train/AIXBT_USDT_SWAP_025259.png
28,DOT_USDT_SWAP_017379,DOT_USDT_SWAP,17379,2025-11-30 15:45:00+00:00,0.6878,1,0.003434,0.998,-0.002356,-0.00397,0.2826,0,0,pass,,,images/train/DOT_USDT_SWAP_017379.png
29,1INCH_USDT_SWAP_017159,1INCH_USDT_SWAP,17159,2025-11-29 07:00:00+00:00,0.5781,1,0.003458,0.998,-0.004376,-0.001499,0.2222,0,0,pass,,,images/train/1INCH_USDT_SWAP_017159.png
30,NMR_USDT_SWAP_021839,NMR_USDT_SWAP,21839,2026-01-17 04:30:00+00:00,0.7263,1,0.003497,0.9968,-0.00618,-0.004317,0.2182,1,0,pass,,,images/train/NMR_USDT_SWAP_021839.png
31,NG_USDT_SWAP_002899,NG_USDT_SWAP,2899,2026-04-09 13:45:00+00:00,0.3655,2,0.003506,0.9971,-0.002584,-0.006548,0.2929,0,0,pass,,,images/train/NG_USDT_SWAP_002899.png
32,APT_USDT_SWAP_013319,APT_USDT_SWAP,13319,2025-10-19 08:30:00+00:00,0.4712,1,0.003525,0.9973,-0.00772,-0.010066,0.1719,1,0,pass,,,images/train/APT_USDT_SWAP_013319.png
33,LUNA_USDT_SWAP_004239,LUNA_USDT_SWAP,4239,2025-07-17 20:00:00+00:00,0.3275,1,0.003563,0.997,-0.012198,-0.007471,0.2586,0,0,pass,,,images/train/LUNA_USDT_SWAP_004239.png
34,PEOPLE_USDT_SWAP_009579,PEOPLE_USDT_SWAP,9579,2025-09-11 11:30:00+00:00,0.7156,1,0.003576,0.9975,-0.007271,-0.01332,0.0256,0,0,pass,,,images/train/PEOPLE_USDT_SWAP_009579.png
35,CRWV_USDT_SWAP_000639,CRWV_USDT_SWAP,639,2026-04-17 03:45:00+00:00,0.5483,1,0.003583,0.9968,-0.002713,-0.006303,0.1227,0,0,pass,,,images/train/CRWV_USDT_SWAP_000639.png
36,WLD_USDT_SWAP_008619,WLD_USDT_SWAP,8619,2025-08-31 10:45:00+00:00,0.4896,2,0.003592,0.9965,-0.006242,-0.00244,0.2703,1,0,pass,,,images/train/WLD_USDT_SWAP_008619.png
37,SKY_USDT_SWAP_021619,SKY_USDT_SWAP,21619,2026-04-24 16:15:00+00:00,0.7688,1,0.003595,0.9966,-0.00876,-0.01104,0.2357,0,0,pass,,,images/train/SKY_USDT_SWAP_021619.png
38,MUBARAK_USDT_SWAP_029259,MUBARAK_USDT_SWAP,29259,2026-04-04 11:15:00+00:00,0.6618,2,0.003603,0.9976,-0.005586,-0.008969,0.24,1,0,pass,,,images/train/MUBARAK_USDT_SWAP_029259.png
39,BARD_USDT_SWAP_007799,BARD_USDT_SWAP,7799,2025-12-08 17:45:00+00:00,0.5356,2,0.003621,0.9965,-0.009066,-0.00227,0.142,1,0,pass,,,images/train/BARD_USDT_SWAP_007799.png
40,SUI_USDT_SWAP_004339,SUI_USDT_SWAP,4339,2025-07-17 20:30:00+00:00,0.7241,1,0.003623,0.9963,-0.010489,-0.008274,0.3044,0,0,pass,,,images/train/SUI_USDT_SWAP_004339.png
41,H_USDT_SWAP_002319,H_USDT_SWAP,2319,2025-07-27 09:45:00+00:00,0.726,1,0.003681,0.9972,-0.006244,-0.008295,0.2239,1,0,pass,,,images/train/H_USDT_SWAP_002319.png
42,API3_USDT_SWAP_020899,API3_USDT_SWAP,20899,2026-01-07 06:30:00+00:00,0.8088,1,0.003695,0.9975,-0.00817,-0.005245,0.1,0,0,pass,,,images/train/API3_USDT_SWAP_020899.png
43,SPX_USDT_SWAP_020679,SPX_USDT_SWAP,20679,2026-02-17 14:45:00+00:00,0.3967,1,0.003698,0.9983,-0.011771,-0.01602,0.1983,0,0,pass,,,images/train/SPX_USDT_SWAP_020679.png
44,BICO_USDT_SWAP_008579,BICO_USDT_SWAP,8579,2025-08-31 23:00:00+00:00,0.5901,1,0.003702,0.9965,-0.008849,-0.008422,0.2133,1,0,pass,,,images/train/BICO_USDT_SWAP_008579.png
45,TRB_USDT_SWAP_015459,TRB_USDT_SWAP,15459,2025-11-11 18:15:00+00:00,0.4696,1,0.003704,0.9972,-0.014338,-0.028782,0.1078,0,0,pass,,,images/train/TRB_USDT_SWAP_015459.png
46,LAYER_USDT_SWAP_008799,LAYER_USDT_SWAP,8799,2025-09-03 07:45:00+00:00,0.6595,2,0.003717,0.9978,-0.005112,-0.007823,0.1863,1,0,pass,,,images/train/LAYER_USDT_SWAP_008799.png
47,F_USDT_SWAP_006919,F_USDT_SWAP,6919,2026-01-05 09:45:00+00:00,0.5935,1,0.00373,0.9979,-0.01135,-0.004871,0.0868,0,0,pass,,,images/train/F_USDT_SWAP_006919.png
48,AT_USDT_SWAP_013899,AT_USDT_SWAP,13899,2026-03-24 04:45:00+00:00,0.5726,1,0.003736,0.9971,-0.003177,-0.000572,0.5612,1,0,pass,,,images/train/AT_USDT_SWAP_013899.png
49,AAVE_USDT_SWAP_021199,AAVE_USDT_SWAP,21199,2026-01-09 10:30:00+00:00,0.6163,2,0.003752,0.9967,-0.004098,-0.006646,0.4583,1,0,pass,,,images/train/AAVE_USDT_SWAP_021199.png
50,ONDO_USDT_SWAP_026579,ONDO_USDT_SWAP,26579,2026-03-06 12:15:00+00:00,0.7142,1,0.00377,0.9972,-0.015118,-0.009101,0.1979,1,0,pass,,,images/train/ONDO_USDT_SWAP_026579.png
51,CRWV_USDT_SWAP_001639,CRWV_USDT_SWAP,1639,2026-04-27 13:45:00+00:00,0.7669,1,0.003775,0.9968,-0.020394,-0.018815,0.3513,1,0,pass,,,images/train/CRWV_USDT_SWAP_001639.png
52,LRC_USDT_SWAP_009559,LRC_USDT_SWAP,9559,2025-09-11 06:00:00+00:00,0.7334,1,0.003793,0.9965,-0.005649,-0.004155,0.329,1,0,pass,,,images/train/LRC_USDT_SWAP_009559.png
53,MUBARAK_USDT_SWAP_027499,MUBARAK_USDT_SWAP,27499,2026-03-17 03:15:00+00:00,0.6337,1,0.003799,0.9973,-0.008519,-0.005102,0.2059,0,0,pass,,,images/train/MUBARAK_USDT_SWAP_027499.png
54,SUSHI_USDT_SWAP_001139,SUSHI_USDT_SWAP,1139,2025-06-15 14:15:00+00:00,0.484,1,0.003809,0.9978,-0.00401,-0.001783,0.3178,0,0,pass,,,images/train/SUSHI_USDT_SWAP_001139.png
55,GMT_USDT_SWAP_023599,GMT_USDT_SWAP,23599,2026-02-04 11:30:00+00:00,0.8922,1,0.003828,0.9979,-0.010366,-0.01364,0.2821,1,0,pass,,,images/train/GMT_USDT_SWAP_023599.png
56,RECALL_USDT_SWAP_012279,RECALL_USDT_SWAP,12279,2026-03-07 08:00:00+00:00,0.6915,1,0.00383,0.9968,-0.01981,-0.024799,0.2176,1,0,pass,,,images/train/RECALL_USDT_SWAP_012279.png
57,HOME_USDT_SWAP_003659,HOME_USDT_SWAP,3659,2025-07-21 13:00:00+00:00,0.4069,1,0.003832,0.9991,-0.009641,-0.004229,0.2308,0,0,pass,,,images/train/HOME_USDT_SWAP_003659.png
58,MUBARAK_USDT_SWAP_013819,MUBARAK_USDT_SWAP,13819,2025-10-25 15:15:00+00:00,0.5399,1,0.003835,0.9975,-0.001383,-0.004904,0.5135,0,0,pass,,,images/train/MUBARAK_USDT_SWAP_013819.png
59,WLFI_USDT_SWAP_015699,WLFI_USDT_SWAP,15699,2026-02-03 01:45:00+00:00,0.7052,1,0.00385,0.997,-0.007888,-0.013067,0.2812,0,0,pass,,,images/train/WLFI_USDT_SWAP_015699.png
60,OKB_USDT_SWAP_019939,OKB_USDT_SWAP,19939,2026-03-30 18:45:00+00:00,0.8395,1,0.003869,0.9974,-0.00662,-0.007095,0.1159,0,0,pass,,,images/train/OKB_USDT_SWAP_019939.png
61,XTZ_USDT_SWAP_013719,XTZ_USDT_SWAP,13719,2025-10-24 15:45:00+00:00,0.7121,1,0.003913,0.9973,-0.006285,-0.013344,0.1413,0,0,pass,,,images/train/XTZ_USDT_SWAP_013719.png
62,PEOPLE_USDT_SWAP_030899,PEOPLE_USDT_SWAP,30899,2026-04-21 13:30:00+00:00,0.7242,1,0.00393,0.9965,-0.007754,-0.008716,0.2121,1,0,pass,,,images/train/PEOPLE_USDT_SWAP_030899.png
63,BAND_USDT_SWAP_028679,BAND_USDT_SWAP,28679,2026-03-29 08:00:00+00:00,0.5511,2,0.003961,0.997,-0.003844,-0.00391,0.0,1,0,pass,,,images/train/BAND_USDT_SWAP_028679.png
64,RSR_USDT_SWAP_001519,RSR_USDT_SWAP,1519,2025-06-19 13:00:00+00:00,0.5551,2,0.003971,0.9969,-0.007441,-0.011986,0.0851,1,0,pass,,,images/train/RSR_USDT_SWAP_001519.png
65,SPK_USDT_SWAP_025359,SPK_USDT_SWAP,25359,2026-03-08 14:15:00+00:00,0.3064,1,0.003974,0.9981,-0.001322,-0.002555,0.4583,1,0,pass,,,images/train/SPK_USDT_SWAP_025359.png
66,CHZ_USDT_SWAP_024099,CHZ_USDT_SWAP,24099,2026-02-08 15:45:00+00:00,0.5971,1,0.003981,0.9965,-0.010203,-0.012258,0.1954,0,0,pass,,,images/train/CHZ_USDT_SWAP_024099.png
67,JUP_USDT_SWAP_009119,JUP_USDT_SWAP,9119,2025-09-06 15:45:00+00:00,0.498,1,0.003986,0.9988,-0.003675,-0.001214,0.2407,0,0,pass,,,images/train/JUP_USDT_SWAP_009119.png
68,S_USDT_SWAP_030899,S_USDT_SWAP,30899,2026-04-21 14:00:00+00:00,0.9438,1,0.004004,0.9963,-0.011303,-0.011395,0.1471,0,0,pass,,,images/train/S_USDT_SWAP_030899.png
69,ORDER_USDT_SWAP_014979,ORDER_USDT_SWAP,14979,2026-03-05 16:00:00+00:00,0.7138,1,0.004015,0.9963,-0.022139,-0.023844,0.1295,0,0,pass,,,images/train/ORDER_USDT_SWAP_014979.png
70,ZIL_USDT_SWAP_014119,ZIL_USDT_SWAP,14119,2025-10-28 19:45:00+00:00,0.8393,1,0.004022,0.9968,-0.020761,-0.025782,0.0945,1,0,pass,,,images/train/ZIL_USDT_SWAP_014119.png
71,FLOKI_USDT_SWAP_024439,FLOKI_USDT_SWAP,24439,2026-02-13 05:15:00+00:00,0.5785,1,0.004037,0.9963,-0.007679,-0.01042,0.0875,0,0,pass,,,images/train/FLOKI_USDT_SWAP_024439.png
72,YGG_USDT_SWAP_010859,YGG_USDT_SWAP,10859,2025-09-24 20:45:00+00:00,0.5611,1,0.004041,0.9976,-0.00114,-0.002497,0.3704,0,0,pass,,,images/train/YGG_USDT_SWAP_010859.png
73,ICX_USDT_SWAP_022819,ICX_USDT_SWAP,22819,2026-01-27 08:45:00+00:00,0.704,1,0.004051,0.9968,-0.00531,-0.002029,0.0877,0,0,pass,,,images/train/ICX_USDT_SWAP_022819.png
74,DOOD_USDT_SWAP_008199,DOOD_USDT_SWAP,8199,2025-08-28 00:45:00+00:00,0.7119,1,0.004057,0.9962,-0.008526,-0.004254,0.2676,0,0,pass,,,images/train/DOOD_USDT_SWAP_008199.png
75,1INCH_USDT_SWAP_021319,1INCH_USDT_SWAP,21319,2026-01-11 15:00:00+00:00,0.601,1,0.004062,0.9971,-0.008163,-0.009628,0.0,0,0,pass,,,images/train/1INCH_USDT_SWAP_021319.png
76,ARB_USDT_SWAP_008839,ARB_USDT_SWAP,8839,2025-09-02 16:30:00+00:00,0.5329,1,0.004104,0.9994,-0.000217,-0.005094,0.5174,0,0,pass,,,images/train/ARB_USDT_SWAP_008839.png
77,ARKM_USDT_SWAP_008539,ARKM_USDT_SWAP,8539,2025-08-31 12:30:00+00:00,0.6857,1,0.004111,0.9973,-0.004319,-0.01045,0.2247,0,0,pass,,,images/train/ARKM_USDT_SWAP_008539.png
78,TRB_USDT_SWAP_018579,TRB_USDT_SWAP,18579,2025-12-14 06:15:00+00:00,0.824,1,0.004114,0.9976,-0.010592,-0.01244,0.2222,1,0,pass,,,images/train/TRB_USDT_SWAP_018579.png
79,ZKP_USDT_SWAP_008259,ZKP_USDT_SWAP,8259,2026-04-03 14:30:00+00:00,0.7772,1,0.004126,0.9963,-0.007745,-0.008542,0.1286,1,0,pass,,,images/train/ZKP_USDT_SWAP_008259.png
80,MMT_USDT_SWAP_006539,MMT_USDT_SWAP,6539,2026-01-11 15:15:00+00:00,0.6594,1,0.00413,0.9979,-0.010495,-0.003934,0.0517,0,0,pass,,,images/train/MMT_USDT_SWAP_006539.png
81,OL_USDT_SWAP_010639,OL_USDT_SWAP,10639,2026-02-17 06:00:00+00:00,0.6813,1,0.004158,0.9982,-0.002243,-0.00081,0.4211,1,0,pass,,,images/train/OL_USDT_SWAP_010639.png
82,AGLD_USDT_SWAP_029279,AGLD_USDT_SWAP,29279,2026-04-04 13:15:00+00:00,0.7803,1,0.004169,0.9977,-0.008444,-0.008768,0.0541,0,0,pass,,,images/train/AGLD_USDT_SWAP_029279.png
83,SNX_USDT_SWAP_002339,SNX_USDT_SWAP,2339,2025-06-28 02:00:00+00:00,0.3958,1,0.004212,0.997,-0.004944,-0.008655,0.0824,0,0,pass,,,images/train/SNX_USDT_SWAP_002339.png
84,XTZ_USDT_SWAP_010519,XTZ_USDT_SWAP,10519,2025-09-21 07:45:00+00:00,0.5395,1,0.004213,0.9973,-0.003453,-0.000132,0.3614,1,0,pass,,,images/train/XTZ_USDT_SWAP_010519.png
85,SEI_USDT_SWAP_003499,SEI_USDT_SWAP,3499,2025-12-20 18:15:00+00:00,0.605,1,0.00422,0.9962,-0.006644,-0.005391,0.2632,1,0,pass,,,images/train/SEI_USDT_SWAP_003499.png
86,FLOKI_USDT_SWAP_013699,FLOKI_USDT_SWAP,13699,2025-10-24 08:15:00+00:00,0.6096,1,0.00426,0.997,-0.004357,-0.012334,0.2269,0,0,pass,,,images/train/FLOKI_USDT_SWAP_013699.png
87,SKY_USDT_SWAP_020679,SKY_USDT_SWAP,20679,2026-04-14 21:15:00+00:00,0.6699,1,0.004279,0.9963,-0.006449,-0.005515,0.0566,0,0,pass,,,images/train/SKY_USDT_SWAP_020679.png
88,AUCTION_USDT_SWAP_025819,AUCTION_USDT_SWAP,25819,2026-02-27 12:45:00+00:00,0.8871,1,0.004291,0.9969,-0.007326,-0.010217,0.3534,1,0,pass,,,images/train/AUCTION_USDT_SWAP_025819.png
89,ADA_USDT_SWAP_007939,ADA_USDT_SWAP,7939,2025-08-24 07:30:00+00:00,0.5491,1,0.004315,0.9977,-0.007898,-0.01103,0.202,0,0,pass,,,images/train/ADA_USDT_SWAP_007939.png
90,OP_USDT_SWAP_001219,OP_USDT_SWAP,1219,2025-06-15 08:15:00+00:00,0.5259,1,0.004334,0.9973,-0.010361,-0.013373,0.064,1,0,pass,,,images/train/OP_USDT_SWAP_001219.png
91,MERL_USDT_SWAP_002619,MERL_USDT_SWAP,2619,2025-06-30 23:15:00+00:00,0.7396,1,0.004346,0.9967,-0.007999,-0.01348,0.2179,0,0,pass,,,images/train/MERL_USDT_SWAP_002619.png
92,GMX_USDT_SWAP_015919,GMX_USDT_SWAP,15919,2025-11-16 11:30:00+00:00,0.4099,1,0.004356,0.9967,-0.015951,-0.016073,0.0706,1,0,pass,,,images/train/GMX_USDT_SWAP_015919.png
93,F_USDT_SWAP_004119,F_USDT_SWAP,4119,2025-12-07 05:45:00+00:00,0.6107,1,0.004361,0.9975,-0.005666,-0.006302,0.0915,1,0,pass,,,images/train/F_USDT_SWAP_004119.png
94,CHZ_USDT_SWAP_028339,CHZ_USDT_SWAP,28339,2026-03-24 19:45:00+00:00,0.4843,1,0.004369,0.9983,-0.003087,-0.002798,0.5,0,0,pass,,,images/train/CHZ_USDT_SWAP_028339.png
95,NEO_USDT_SWAP_015879,NEO_USDT_SWAP,15879,2025-11-16 02:15:00+00:00,0.7397,1,0.004385,0.9972,-0.002308,-0.003313,0.6228,1,0,pass,,,images/train/NEO_USDT_SWAP_015879.png
96,NG_USDT_SWAP_001879,NG_USDT_SWAP,1879,2026-03-29 22:45:00+00:00,0.7619,1,0.004386,0.9966,-0.031719,-0.037044,0.3488,1,0,pass,,,images/train/NG_USDT_SWAP_001879.png
97,MERL_USDT_SWAP_000379,MERL_USDT_SWAP,379,2025-06-07 15:15:00+00:00,0.4188,1,0.004401,0.9984,-0.008643,-0.015196,0.156,0,0,pass,,,images/train/MERL_USDT_SWAP_000379.png
98,AVNT_USDT_SWAP_019099,AVNT_USDT_SWAP,19099,2026-04-09 14:15:00+00:00,0.6671,1,0.004432,0.9977,-0.000716,0.0,0.45,1,0,pass,,,images/train/AVNT_USDT_SWAP_019099.png
99,CELO_USDT_SWAP_019239,CELO_USDT_SWAP,19239,2025-12-21 00:30:00+00:00,0.4791,1,0.004433,0.9965,-0.002497,-0.00627,0.1538,0,0,pass,,,images/train/CELO_USDT_SWAP_019239.png
100,NEO_USDT_SWAP_024819,NEO_USDT_SWAP,24819,2026-02-17 05:15:00+00:00,0.6592,1,0.004452,0.9975,-0.012004,-0.013742,0.0877,1,0,pass,,,images/train/NEO_USDT_SWAP_024819.png
101,TRUST_USDT_SWAP_016039,TRUST_USDT_SWAP,16039,2026-04-21 13:15:00+00:00,0.675,1,0.004461,0.9972,-0.008938,-0.009927,0.1863,1,0,pass,,,images/train/TRUST_USDT_SWAP_016039.png
102,MEME_USDT_SWAP_014579,MEME_USDT_SWAP,14579,2025-11-02 13:15:00+00:00,0.7238,1,0.004462,0.9962,-0.019747,-0.010376,0.1017,0,0,pass,,,images/train/MEME_USDT_SWAP_014579.png
103,MMT_USDT_SWAP_008199,MMT_USDT_SWAP,8199,2026-01-28 22:15:00+00:00,0.4631,1,0.00448,0.9978,-0.001909,-0.00429,0.4833,1,0,pass,,,images/train/MMT_USDT_SWAP_008199.png
104,JUP_USDT_SWAP_022359,JUP_USDT_SWAP,22359,2026-01-22 13:45:00+00:00,0.6395,1,0.004518,0.9979,-0.007576,-0.013252,0.1463,0,0,pass,,,images/train/JUP_USDT_SWAP_022359.png
105,SAPIEN_USDT_SWAP_006899,SAPIEN_USDT_SWAP,6899,2026-01-17 08:30:00+00:00,0.697,1,0.004529,0.9967,-0.013184,-0.015919,0.0303,0,0,pass,,,images/train/SAPIEN_USDT_SWAP_006899.png
106,W_USDT_SWAP_027159,W_USDT_SWAP,27159,2026-03-13 15:30:00+00:00,0.6255,2,0.004557,0.997,-0.012042,-0.009809,0.0943,0,0,pass,,,images/train/W_USDT_SWAP_027159.png
107,VANA_USDT_SWAP_007379,VANA_USDT_SWAP,7379,2025-08-19 14:30:00+00:00,0.5656,2,0.004562,0.997,-0.015942,-0.019933,0.1765,1,0,pass,,,images/train/VANA_USDT_SWAP_007379.png
108,LINEA_USDT_SWAP_022519,LINEA_USDT_SWAP,22519,2026-04-24 03:45:00+00:00,0.6395,1,0.004563,0.998,-0.002773,-0.009212,0.28,1,0,pass,,,images/train/LINEA_USDT_SWAP_022519.png
109,GAS_USDT_SWAP_006599,GAS_USDT_SWAP,6599,2025-08-11 09:15:00+00:00,0.6454,1,0.004582,0.997,-0.00367,-0.008527,0.284,1,0,pass,,,images/train/GAS_USDT_SWAP_006599.png
110,KAT_USDT_SWAP_003759,KAT_USDT_SWAP,3759,2026-04-10 15:15:00+00:00,0.6228,1,0.004589,0.9974,-0.006514,-0.009259,0.4074,1,0,pass,,,images/train/KAT_USDT_SWAP_003759.png
111,APE_USDT_SWAP_019339,APE_USDT_SWAP,19339,2025-12-21 01:30:00+00:00,0.5201,1,0.004591,0.9981,-0.007838,-0.011122,0.0345,0,0,pass,,,images/train/APE_USDT_SWAP_019339.png
112,IOST_USDT_SWAP_008739,IOST_USDT_SWAP,8739,2025-09-02 16:45:00+00:00,0.567,1,0.004615,0.9982,-0.002002,-0.009975,0.5155,1,0,pass,,,images/train/IOST_USDT_SWAP_008739.png
113,WLFI_USDT_SWAP_008459,WLFI_USDT_SWAP,8459,2025-11-19 15:45:00+00:00,0.7177,1,0.004626,0.998,-0.032042,-0.035638,0.0156,1,0,pass,,,images/train/WLFI_USDT_SWAP_008459.png
114,COMP_USDT_SWAP_017039,COMP_USDT_SWAP,17039,2025-11-28 02:30:00+00:00,0.814,1,0.004629,0.9978,-0.010944,-0.007285,0.0694,0,0,pass,,,images/train/COMP_USDT_SWAP_017039.png
115,PI_USDT_SWAP_012959,PI_USDT_SWAP,12959,2025-10-15 15:30:00+00:00,0.7859,1,0.004645,0.9968,-0.020292,-0.01644,0.0946,1,0,pass,,,images/train/PI_USDT_SWAP_012959.png
116,ORDER_USDT_SWAP_008919,ORDER_USDT_SWAP,8919,2026-01-01 13:00:00+00:00,0.4381,1,0.004646,0.9975,-0.001619,-0.003515,0.0889,0,0,pass,,,images/train/ORDER_USDT_SWAP_008919.png
117,BZ_USDT_SWAP_000699,BZ_USDT_SWAP,699,2026-03-31 16:45:00+00:00,0.5511,1,0.004646,0.9976,-0.023076,-0.018198,0.3757,1,0,pass,,,images/train/BZ_USDT_SWAP_000699.png
118,ASTER_USDT_SWAP_014899,ASTER_USDT_SWAP,14899,2026-02-24 09:45:00+00:00,0.5809,2,0.004653,0.9973,-0.002574,-0.00216,0.5804,1,0,pass,,,images/train/ASTER_USDT_SWAP_014899.png
