i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,owner_keep,owner_note,image,keep_shortish,reason,cv20,cv60,cv120,ret4,ret12,pos24,slope60,bull_stack,bear_stack
11,F_USDT_SWAP_013559,F_USDT_SWAP,13559,2026-03-15 13:45:00+00:00,0.4278,1,0.002081,0.997,,,images/train/F_USDT_SWAP_013559.png,1,pass,-0.002199,-0.00281,-0.003755,-0.000181,-0.005588,0.4521,-0.000176,0,1
12,MUBARAK_USDT_SWAP_014559,MUBARAK_USDT_SWAP,14559,2025-11-02 08:15:00+00:00,0.5272,1,0.002084,0.9976,,,images/train/MUBARAK_USDT_SWAP_014559.png,0,bull_stack,0.001754,0.003713,0.005096,0.0,0.006924,0.7377,0.00156,1,0
13,AVAX_USDT_SWAP_018199,AVAX_USDT_SWAP,18199,2025-12-09 04:30:00+00:00,0.3494,1,0.002108,0.9985,,,images/train/AVAX_USDT_SWAP_018199.png,0,bull_stack,0.001258,0.001749,0.003229,-0.001024,0.007079,0.5697,0.000142,1,0
14,ENS_USDT_SWAP_031779,ENS_USDT_SWAP,31779,2026-04-30 16:00:00+00:00,0.4302,1,0.002272,0.9984,,,images/train/ENS_USDT_SWAP_031779.png,0,ret12_pos,0.001428,0.001424,-0.000125,0.001998,0.000998,0.6533,-0.000138,0,1
15,BARD_USDT_SWAP_015859,BARD_USDT_SWAP,15859,2026-03-02 16:45:00+00:00,0.5942,1,0.002335,0.9984,,,images/train/BARD_USDT_SWAP_015859.png,0,ret12_pos,-0.001933,-0.002357,-0.001061,-0.001207,0.000504,0.3814,-0.000318,0,0
16,SUI_USDT_SWAP_022979,SUI_USDT_SWAP,22979,2026-01-28 00:30:00+00:00,0.3735,1,0.002335,0.9972,,,images/train/SUI_USDT_SWAP_022979.png,1,pass,-0.007585,-0.007736,-0.008115,-0.009227,-0.006608,0.0465,-0.000274,0,1
17,BARD_USDT_SWAP_003499,BARD_USDT_SWAP,3499,2025-10-24 22:45:00+00:00,0.4595,1,0.002374,0.9978,,,images/train/BARD_USDT_SWAP_003499.png,1,pass,-0.000805,-0.001101,-0.001159,-0.002453,-0.001535,0.4512,0.000364,0,1
18,UNI_USDT_SWAP_026199,UNI_USDT_SWAP,26199,2026-03-02 13:30:00+00:00,0.5228,1,0.002453,0.997,,,images/train/UNI_USDT_SWAP_026199.png,1,pass,-0.002554,-0.003999,-0.003329,-0.000796,-0.004496,0.4602,-0.001163,0,0
19,API3_USDT_SWAP_010879,API3_USDT_SWAP,10879,2025-09-24 21:30:00+00:00,0.5773,1,0.002523,0.9974,,,images/train/API3_USDT_SWAP_010879.png,1,pass,-0.005214,-0.005517,-0.005479,-0.002945,-0.006359,0.0459,-0.000854,0,0
20,LRC_USDT_SWAP_016799,LRC_USDT_SWAP,16799,2025-11-25 16:00:00+00:00,0.7671,1,0.002527,0.9968,,,images/train/LRC_USDT_SWAP_016799.png,1,pass,-0.007475,-0.010288,-0.009731,-0.002028,-0.017069,0.2553,-0.002034,0,0
21,OFC_USDT_SWAP_002179,OFC_USDT_SWAP,2179,2026-05-02 03:45:00+00:00,0.5938,2,0.002564,0.9965,,,images/train/OFC_USDT_SWAP_002179.png,1,pass,-0.002967,-0.004746,-0.00658,0.005253,-0.014015,0.3571,-0.00103,0,1
22,SSV_USDT_SWAP_005119,SSV_USDT_SWAP,5119,2025-07-27 01:15:00+00:00,0.4718,1,0.002635,0.9975,,,images/train/SSV_USDT_SWAP_005119.png,0,ret12_pos,0.006362,0.006142,0.007081,0.011895,0.004106,0.6245,-0.00093,0,0
23,LINK_USDT_SWAP_018639,LINK_USDT_SWAP,18639,2025-12-13 19:15:00+00:00,0.5362,1,0.002653,0.9973,,,images/train/LINK_USDT_SWAP_018639.png,1,pass,-0.002037,-0.00304,-0.004087,-0.00182,-0.004283,0.3349,-0.000979,0,1
24,AXS_USDT_SWAP_028559,AXS_USDT_SWAP,28559,2026-03-28 01:45:00+00:00,0.4386,2,0.002692,0.9977,,,images/train/AXS_USDT_SWAP_028559.png,1,pass,-0.006334,-0.008675,-0.008458,-0.007441,-0.008611,0.2119,-0.001449,0,0
25,BONK_USDT_SWAP_031859,BONK_USDT_SWAP,31859,2026-05-01 11:15:00+00:00,0.6032,1,0.002722,0.998,,,images/train/BONK_USDT_SWAP_031859.png,1,pass,-0.002075,-0.002848,-0.002924,0.001294,-0.005624,0.4068,-0.000777,0,1
26,INJ_USDT_SWAP_013299,INJ_USDT_SWAP,13299,2025-10-19 04:15:00+00:00,0.5235,1,0.002727,0.9978,,,images/train/INJ_USDT_SWAP_013299.png,0,ret12_pos,0.001537,0.001007,0.000198,-0.000475,0.003574,0.5971,-0.000482,0,1
27,CRWV_USDT_SWAP_002219,CRWV_USDT_SWAP,2219,2026-05-03 14:45:00+00:00,0.5174,1,0.002728,0.9971,,,images/train/CRWV_USDT_SWAP_002219.png,0,bull_stack,0.001016,0.001479,0.003523,0.000751,0.000668,0.6374,0.000341,1,0
28,OKB_USDT_SWAP_007439,OKB_USDT_SWAP,7439,2025-11-20 13:45:00+00:00,0.3628,1,0.002728,0.9967,,,images/train/OKB_USDT_SWAP_007439.png,0,ret12_pos,-0.002125,-0.000534,-0.001684,-0.009422,0.001997,0.4364,0.000993,0,0
29,XPT_USDT_SWAP_005179,XPT_USDT_SWAP,5179,2026-03-28 05:15:00+00:00,0.3553,1,0.002737,0.9962,,,images/train/XPT_USDT_SWAP_005179.png,0,ret12_pos,0.000838,0.000426,-0.00077,0.001178,0.00158,0.9017,-0.000149,0,1
30,ORDER_USDT_SWAP_012079,ORDER_USDT_SWAP,12079,2026-02-03 11:00:00+00:00,0.5309,1,0.002741,0.9979,,,images/train/ORDER_USDT_SWAP_012079.png,0,ret12_pos,-0.002357,-0.00407,-0.005781,-0.004002,0.004346,0.2673,-0.000775,0,1
31,HBAR_USDT_SWAP_027179,HBAR_USDT_SWAP,27179,2026-03-12 18:00:00+00:00,0.3927,1,0.002781,0.9975,,,images/train/HBAR_USDT_SWAP_027179.png,0,ret12_pos,-0.002549,-0.003391,-0.004469,-0.004979,0.002669,0.3532,-0.000777,0,1
32,AT_USDT_SWAP_002019,AT_USDT_SWAP,2019,2025-11-20 10:45:00+00:00,0.4988,2,0.002849,0.9978,,,images/train/AT_USDT_SWAP_002019.png,0,ret12_pos,0.000907,0.001551,0.000528,-0.001265,0.002222,0.6207,0.001197,0,0
33,AGLD_USDT_SWAP_000479,AGLD_USDT_SWAP,479,2025-06-08 13:15:00+00:00,0.3896,1,0.002855,0.9978,,,images/train/AGLD_USDT_SWAP_000479.png,0,ret12_pos,0.001388,0.001922,0.000468,-0.000878,0.004666,0.75,0.000952,0,0
34,VANA_USDT_SWAP_005179,VANA_USDT_SWAP,5179,2025-07-27 16:30:00+00:00,0.4645,2,0.002898,0.998,,,images/train/VANA_USDT_SWAP_005179.png,0,bull_stack,0.00719,0.008196,0.010223,0.01309,0.006899,0.7982,0.000203,1,0
35,COAI_USDT_SWAP_008319,COAI_USDT_SWAP,8319,2026-01-10 06:15:00+00:00,0.362,1,0.002911,0.9967,,,images/train/COAI_USDT_SWAP_008319.png,0,bull_stack,0.003427,0.005148,0.005551,0.004339,0.001924,0.8514,0.000672,1,0
36,AT_USDT_SWAP_006659,AT_USDT_SWAP,6659,2026-01-07 18:45:00+00:00,0.5992,2,0.002942,0.9964,,,images/train/AT_USDT_SWAP_006659.png,1,pass,-0.005459,-0.007097,-0.008254,-0.001947,-0.025333,0.1113,-0.001309,0,1
37,SYRUP_USDT_SWAP_019799,SYRUP_USDT_SWAP,19799,2026-01-25 12:15:00+00:00,0.3654,1,0.002948,0.9978,,,images/train/SYRUP_USDT_SWAP_019799.png,1,pass,-0.002179,-0.002837,-0.001374,-0.003911,-0.001508,0.4545,-0.000577,0,0
38,APT_USDT_SWAP_026499,APT_USDT_SWAP,26499,2026-03-05 15:30:00+00:00,0.3224,1,0.002962,0.9978,,,images/train/APT_USDT_SWAP_026499.png,0,bull_stack,-0.003437,-0.00325,-0.001924,-0.005763,-0.001995,0.1957,0.000278,1,0
39,STX_USDT_SWAP_024919,STX_USDT_SWAP,24919,2026-02-18 07:15:00+00:00,0.5144,1,0.002967,0.9971,,,images/train/STX_USDT_SWAP_024919.png,0,ret12_pos,0.000339,0.001965,0.000482,-0.001901,0.000762,0.6757,0.001246,0,0
40,TURBO_USDT_SWAP_001159,TURBO_USDT_SWAP,1159,2025-06-15 19:30:00+00:00,0.437,1,0.002996,0.9988,,,images/train/TURBO_USDT_SWAP_001159.png,1,pass,-0.006404,-0.006637,-0.009061,-0.003791,-0.01473,0.1892,-0.000205,0,1
41,GPS_USDT_SWAP_010299,GPS_USDT_SWAP,10299,2025-09-18 22:30:00+00:00,0.3401,1,0.002996,0.9969,,,images/train/GPS_USDT_SWAP_010299.png,0,bull_stack,0.003458,0.004692,0.006695,-0.00228,0.015345,0.7393,0.001113,1,0
42,LINK_USDT_SWAP_013299,LINK_USDT_SWAP,13299,2025-10-19 04:15:00+00:00,0.3029,1,0.002999,0.9982,,,images/train/LINK_USDT_SWAP_013299.png,0,ret12_pos,0.001604,0.000928,-0.000222,0.000477,0.003108,0.583,-0.000839,0,1
43,NMR_USDT_SWAP_023119,NMR_USDT_SWAP,23119,2026-01-30 12:30:00+00:00,0.5461,1,0.003016,0.9975,,,images/train/NMR_USDT_SWAP_023119.png,0,bull_stack,0.002513,0.003857,0.004047,-0.001929,0.006266,0.692,0.00107,1,0
44,NEO_USDT_SWAP_021079,NEO_USDT_SWAP,21079,2026-01-09 06:15:00+00:00,0.5018,1,0.003067,0.9972,,,images/train/NEO_USDT_SWAP_021079.png,0,ret12_pos,0.001342,0.00231,0.001004,0.002287,0.003561,0.4789,0.000395,0,0
45,CFX_USDT_SWAP_031499,CFX_USDT_SWAP,31499,2026-04-26 17:45:00+00:00,0.617,1,0.00307,0.9973,,,images/train/CFX_USDT_SWAP_031499.png,0,ret12_pos,0.006806,0.007676,0.006824,0.007033,0.009841,0.806,0.000377,0,0
46,XPT_USDT_SWAP_001919,XPT_USDT_SWAP,1919,2026-02-22 06:15:00+00:00,0.4398,1,0.003102,0.9977,,,images/train/XPT_USDT_SWAP_001919.png,0,bull_stack,-0.000126,0.000143,0.002595,-0.000389,0.000569,0.3064,0.000142,1,0
47,XTZ_USDT_SWAP_011139,XTZ_USDT_SWAP,11139,2025-09-27 18:45:00+00:00,0.5187,1,0.003109,0.9973,,,images/train/XTZ_USDT_SWAP_011139.png,1,pass,-0.000265,-0.001874,-0.002575,-0.001936,-0.006671,0.4432,-0.00106,0,1
48,LA_USDT_SWAP_007939,LA_USDT_SWAP,7939,2025-09-04 02:45:00+00:00,0.4108,2,0.003114,0.9974,,,images/train/LA_USDT_SWAP_007939.png,0,bull_stack,-0.002541,-0.002313,-9.3e-05,-0.006515,-0.002942,0.3684,0.000297,1,0
49,GMT_USDT_SWAP_022859,GMT_USDT_SWAP,22859,2026-01-27 18:30:00+00:00,0.6053,1,0.003143,0.9972,,,images/train/GMT_USDT_SWAP_022859.png,0,ret12_pos,-0.001326,-0.002942,-0.002899,0.006394,0.007682,0.375,-0.000141,0,0
50,F_USDT_SWAP_012599,F_USDT_SWAP,12599,2026-03-05 13:45:00+00:00,0.6294,2,0.003152,0.997,,,images/train/F_USDT_SWAP_012599.png,1,pass,-0.003799,-0.005542,-0.004519,-0.006797,-0.012624,0.2079,-0.001211,0,0
51,ONE_USDT_SWAP_031839,ONE_USDT_SWAP,31839,2026-05-01 08:30:00+00:00,0.5727,1,0.003152,0.9954,,,images/train/ONE_USDT_SWAP_031839.png,0,ret12_pos,0.002066,0.001384,-0.001057,0.005286,0.000438,0.4545,-0.00087,0,1
52,UP_USDT_SWAP_001439,UP_USDT_SWAP,1439,2026-04-23 10:45:00+00:00,0.6394,1,0.003167,0.9983,,,images/train/UP_USDT_SWAP_001439.png,0,bull_stack,0.010041,0.010215,0.01225,0.0182,0.007,0.8197,-0.000139,1,0
53,SNX_USDT_SWAP_022499,SNX_USDT_SWAP,22499,2026-01-24 02:00:00+00:00,0.4197,1,0.00317,0.9983,,,images/train/SNX_USDT_SWAP_022499.png,0,ret12_pos,0.002769,0.001932,0.001621,0.003787,0.000472,0.8608,-0.000919,0,1
54,MAGIC_USDT_SWAP_027119,MAGIC_USDT_SWAP,27119,2026-03-13 04:00:00+00:00,0.446,1,0.003196,0.9969,,,images/train/MAGIC_USDT_SWAP_027119.png,0,bull_stack,0.005305,0.009212,0.009971,-0.001374,0.005535,0.8741,0.00309,1,0
55,TURBO_USDT_SWAP_008519,TURBO_USDT_SWAP,8519,2025-08-31 11:30:00+00:00,0.5407,2,0.003234,0.9971,,,images/train/TURBO_USDT_SWAP_008519.png,1,pass,-0.003982,-0.005076,-0.003612,0.002034,-0.010793,0.2222,-0.000873,0,0
56,FIL_USDT_SWAP_027979,FIL_USDT_SWAP,27979,2026-03-21 02:00:00+00:00,0.4791,1,0.003254,0.9972,,,images/train/FIL_USDT_SWAP_027979.png,0,ret12_pos,-0.002193,-0.002195,-0.003635,-0.004321,0.000334,0.4278,-6.4e-05,0,1
57,USAR_USDT_SWAP_000599,USAR_USDT_SWAP,599,2026-05-03 19:45:00+00:00,0.3158,1,0.003277,0.9972,,,images/train/USAR_USDT_SWAP_000599.png,0,bull_stack,-0.001922,-0.001433,0.001036,-0.003004,-0.002255,0.5116,0.000728,1,0
58,IOST_USDT_SWAP_002359,IOST_USDT_SWAP,2359,2025-06-28 05:45:00+00:00,0.6581,1,0.003282,0.9977,,,images/train/IOST_USDT_SWAP_002359.png,1,pass,-0.002023,-0.003231,-0.005414,0.000959,-0.000319,0.122,-0.001226,0,1
59,BAT_USDT_SWAP_013659,BAT_USDT_SWAP,13659,2025-10-23 21:00:00+00:00,0.485,2,0.003318,0.997,,,images/train/BAT_USDT_SWAP_013659.png,1,pass,-0.007754,-0.008664,-0.01186,-0.006347,-0.014874,0.1897,-0.000916,0,1
60,DOT_USDT_SWAP_022559,DOT_USDT_SWAP,22559,2026-01-23 14:45:00+00:00,0.4876,2,0.003326,0.9974,,,images/train/DOT_USDT_SWAP_022559.png,1,pass,-0.01257,-0.014705,-0.015641,-0.015464,-0.016984,0.2909,-0.000909,0,1
61,IOTA_USDT_SWAP_028859,IOTA_USDT_SWAP,28859,2026-03-31 06:45:00+00:00,0.7658,1,0.003347,0.9967,,,images/train/IOTA_USDT_SWAP_028859.png,1,pass,-0.001098,-0.00308,-0.002571,0.000547,-0.002182,0.1875,-0.001583,0,0
62,MORPHO_USDT_SWAP_022479,MORPHO_USDT_SWAP,22479,2026-01-23 20:15:00+00:00,0.7167,1,0.003359,0.9972,,,images/train/MORPHO_USDT_SWAP_022479.png,0,bull_stack,-0.002611,-0.002247,-0.001443,0.003961,-0.017969,0.4175,0.000871,1,0
63,MOVE_USDT_SWAP_012359,MOVE_USDT_SWAP,12359,2025-10-10 10:15:00+00:00,0.3805,1,0.003398,0.9983,,,images/train/MOVE_USDT_SWAP_012359.png,0,ret12_pos,0.000465,-0.000353,-0.001979,-0.003028,0.00388,0.496,-0.001324,0,1
64,WLFI_USDT_SWAP_006759,WLFI_USDT_SWAP,6759,2025-11-01 22:45:00+00:00,0.4513,2,0.003399,0.9971,,,images/train/WLFI_USDT_SWAP_006759.png,0,ret12_pos,0.004362,0.007179,0.006775,0.004351,0.004351,0.7143,0.00305,0,0
65,GALA_USDT_SWAP_023699,GALA_USDT_SWAP,23699,2026-02-04 12:00:00+00:00,0.6812,1,0.003425,0.9976,,,images/train/GALA_USDT_SWAP_023699.png,1,pass,-0.001774,-0.003233,-0.003582,0.008282,-0.004821,0.466,-0.001502,0,1
66,SOL_USDT_SWAP_022939,SOL_USDT_SWAP,22939,2026-01-27 14:30:00+00:00,0.3087,1,0.003428,0.9992,,,images/train/SOL_USDT_SWAP_022939.png,1,pass,-0.002643,-0.003887,-0.003158,-0.000162,-0.004676,0.269,-0.000811,0,0
67,AIXBT_USDT_SWAP_025259,AIXBT_USDT_SWAP,25259,2026-02-21 16:15:00+00:00,0.7538,1,0.00343,0.9965,,,images/train/AIXBT_USDT_SWAP_025259.png,1,pass,-0.011158,-0.013866,-0.012732,-0.005935,-0.012285,0.0909,-0.001731,0,0
68,CRWV_USDT_SWAP_002199,CRWV_USDT_SWAP,2199,2026-05-03 09:45:00+00:00,0.4995,1,0.003431,0.9969,,,images/train/CRWV_USDT_SWAP_002199.png,0,bull_stack,0.001222,0.001666,0.00426,0.001504,0.000668,0.8481,0.000272,1,0
69,DOT_USDT_SWAP_017379,DOT_USDT_SWAP,17379,2025-11-30 15:45:00+00:00,0.6878,1,0.003434,0.998,,,images/train/DOT_USDT_SWAP_017379.png,1,pass,-0.003268,-0.002356,-0.003422,-0.00353,-0.00397,0.2826,0.001208,0,0
70,HBAR_USDT_SWAP_004519,HBAR_USDT_SWAP,4519,2025-07-19 17:00:00+00:00,0.5063,2,0.003444,0.9973,,,images/train/HBAR_USDT_SWAP_004519.png,0,bull_stack,0.006903,0.008905,0.010816,0.01304,0.015758,0.8152,0.000579,1,0
71,1INCH_USDT_SWAP_017159,1INCH_USDT_SWAP,17159,2025-11-29 07:00:00+00:00,0.5781,1,0.003458,0.998,,,images/train/1INCH_USDT_SWAP_017159.png,1,pass,-0.003163,-0.004376,-0.002176,-0.005475,-0.001499,0.2222,-0.000794,0,0
72,BZ_USDT_SWAP_002199,BZ_USDT_SWAP,2199,2026-04-16 07:45:00+00:00,0.4491,2,0.003478,0.9975,,,images/train/BZ_USDT_SWAP_002199.png,0,ret12_pos,0.010034,0.01121,0.009118,0.012,0.012112,0.993,0.000719,0,0
73,BNB_USDT_SWAP_015359,BNB_USDT_SWAP,15359,2025-11-09 14:30:00+00:00,0.3022,1,0.003487,0.9989,,,images/train/BNB_USDT_SWAP_015359.png,0,ret12_pos,0.002668,0.002383,0.003326,0.005377,0.002326,0.6828,-0.00015,0,0
74,ENJ_USDT_SWAP_026879,ENJ_USDT_SWAP,26879,2026-03-10 15:00:00+00:00,0.4258,1,0.003487,0.9972,,,images/train/ENJ_USDT_SWAP_026879.png,0,ret12_pos,0.002517,0.002295,0.002283,0.008408,0.002787,0.575,-0.000443,0,1
75,APR_USDT_SWAP_006999,APR_USDT_SWAP,6999,2026-01-05 03:45:00+00:00,0.5779,2,0.003491,0.9991,,,images/train/APR_USDT_SWAP_006999.png,0,ret12_pos,0.002147,0.001452,0.001783,0.000492,0.006217,0.5031,0.000964,0,0
76,NMR_USDT_SWAP_021839,NMR_USDT_SWAP,21839,2026-01-17 04:30:00+00:00,0.7263,1,0.003497,0.9968,,,images/train/NMR_USDT_SWAP_021839.png,1,pass,-0.003283,-0.00618,-0.007544,-0.000289,-0.004317,0.2182,-0.002608,0,1
77,KAT_USDT_SWAP_003239,KAT_USDT_SWAP,3239,2026-04-05 05:15:00+00:00,0.7242,1,0.003501,0.998,,,images/train/KAT_USDT_SWAP_003239.png,0,ret12_pos,-0.001538,-0.004247,-0.005323,0.003348,0.00223,0.2143,-0.002063,0,1
78,NG_USDT_SWAP_002899,NG_USDT_SWAP,2899,2026-04-09 13:45:00+00:00,0.3655,2,0.003506,0.9971,,,images/train/NG_USDT_SWAP_002899.png,1,pass,-0.002802,-0.002584,-0.00384,-0.001807,-0.006548,0.2929,5.8e-05,0,0
79,ZRO_USDT_SWAP_001299,ZRO_USDT_SWAP,1299,2025-06-16 04:45:00+00:00,0.3528,1,0.003512,0.998,,,images/train/ZRO_USDT_SWAP_001299.png,0,ret12_pos,0.004753,0.006981,0.004841,0.009307,0.003599,0.8525,0.002328,0,0
80,APT_USDT_SWAP_013319,APT_USDT_SWAP,13319,2025-10-19 08:30:00+00:00,0.4712,1,0.003525,0.9973,,,images/train/APT_USDT_SWAP_013319.png,1,pass,-0.006701,-0.00772,-0.009201,-0.003799,-0.010066,0.1719,-0.000267,0,1
81,APT_USDT_SWAP_030419,APT_USDT_SWAP,30419,2026-04-15 11:30:00+00:00,0.3278,1,0.00353,0.9978,,,images/train/APT_USDT_SWAP_030419.png,0,bull_stack,0.012579,0.015466,0.018002,0.010613,0.016475,0.9721,0.002001,1,0
82,LUNA_USDT_SWAP_004239,LUNA_USDT_SWAP,4239,2025-07-17 20:00:00+00:00,0.3275,1,0.003563,0.997,,,images/train/LUNA_USDT_SWAP_004239.png,1,pass,-0.011272,-0.012198,-0.010123,-0.019864,-0.007471,0.2586,-0.000165,0,0
83,PEOPLE_USDT_SWAP_009579,PEOPLE_USDT_SWAP,9579,2025-09-11 11:30:00+00:00,0.7156,1,0.003576,0.9975,,,images/train/PEOPLE_USDT_SWAP_009579.png,1,pass,-0.006604,-0.007271,-0.005814,-0.00547,-0.01332,0.0256,-0.001021,0,0
84,ENSO_USDT_SWAP_002639,ENSO_USDT_SWAP,2639,2025-11-25 21:45:00+00:00,0.6564,1,0.003578,0.9973,,,images/train/ENSO_USDT_SWAP_002639.png,0,bull_stack,0.000903,0.002428,0.005004,-0.006938,0.004638,0.7189,-6.2e-05,1,0
85,CRWV_USDT_SWAP_000639,CRWV_USDT_SWAP,639,2026-04-17 03:45:00+00:00,0.5483,1,0.003583,0.9968,,,images/train/CRWV_USDT_SWAP_000639.png,1,pass,-0.002167,-0.002713,-0.000685,-0.000254,-0.006303,0.1227,-0.000441,0,0
86,WLD_USDT_SWAP_008619,WLD_USDT_SWAP,8619,2025-08-31 10:45:00+00:00,0.4896,2,0.003592,0.9965,,,images/train/WLD_USDT_SWAP_008619.png,1,pass,-0.004109,-0.006242,-0.008368,-0.002772,-0.00244,0.2703,-0.000969,0,1
87,SKY_USDT_SWAP_021619,SKY_USDT_SWAP,21619,2026-04-24 16:15:00+00:00,0.7688,1,0.003595,0.9966,,,images/train/SKY_USDT_SWAP_021619.png,1,pass,-0.007065,-0.00876,-0.007138,-0.007742,-0.01104,0.2357,-0.001132,0,0
88,MUBARAK_USDT_SWAP_029259,MUBARAK_USDT_SWAP,29259,2026-04-04 11:15:00+00:00,0.6618,2,0.003603,0.9976,,,images/train/MUBARAK_USDT_SWAP_029259.png,1,pass,-0.003832,-0.005586,-0.006366,0.000906,-0.008969,0.24,-0.001945,0,1
89,PEOPLE_USDT_SWAP_009539,PEOPLE_USDT_SWAP,9539,2025-09-11 01:30:00+00:00,0.4963,1,0.00361,0.9971,,,images/train/PEOPLE_USDT_SWAP_009539.png,0,bull_stack,0.003002,0.004433,0.00639,0.004475,0.002979,0.75,0.002011,1,0
90,BARD_USDT_SWAP_007799,BARD_USDT_SWAP,7799,2025-12-08 17:45:00+00:00,0.5356,2,0.003621,0.9965,,,images/train/BARD_USDT_SWAP_007799.png,1,pass,-0.006793,-0.009066,-0.009198,-0.006154,-0.00227,0.142,-0.0013,0,1
91,PEOPLE_USDT_SWAP_031639,PEOPLE_USDT_SWAP,31639,2026-04-29 06:30:00+00:00,0.4572,1,0.003622,0.9984,,,images/train/PEOPLE_USDT_SWAP_031639.png,0,ret12_pos,0.002122,0.006113,0.005933,-0.003253,0.003143,0.679,0.003293,0,0
92,SUI_USDT_SWAP_004339,SUI_USDT_SWAP,4339,2025-07-17 20:30:00+00:00,0.7241,1,0.003623,0.9963,,,images/train/SUI_USDT_SWAP_004339.png,1,pass,-0.009045,-0.010489,-0.009648,-0.013222,-0.008274,0.3044,-0.000651,0,0
93,H_USDT_SWAP_002319,H_USDT_SWAP,2319,2025-07-27 09:45:00+00:00,0.726,1,0.003681,0.9972,,,images/train/H_USDT_SWAP_002319.png,1,pass,-0.003911,-0.006244,-0.007893,-0.002522,-0.008295,0.2239,-0.002181,0,1
94,ETH_USDT_SWAP_029399,ETH_USDT_SWAP,29399,2026-04-03 18:30:00+00:00,0.3929,2,0.003683,0.9974,,,images/train/ETH_USDT_SWAP_029399.png,0,ret12_pos,-0.000665,-0.002054,-0.004153,0.000454,2.9e-05,0.4848,-0.00085,0,1
95,API3_USDT_SWAP_020899,API3_USDT_SWAP,20899,2026-01-07 06:30:00+00:00,0.8088,1,0.003695,0.9975,,,images/train/API3_USDT_SWAP_020899.png,1,pass,-0.005174,-0.00817,-0.007787,-0.00608,-0.005245,0.1,-0.002123,0,0
96,SPX_USDT_SWAP_020679,SPX_USDT_SWAP,20679,2026-02-17 14:45:00+00:00,0.3967,1,0.003698,0.9983,,,images/train/SPX_USDT_SWAP_020679.png,1,pass,-0.011541,-0.011771,-0.010925,-0.020245,-0.01602,0.1983,-3.5e-05,0,0
97,BICO_USDT_SWAP_008579,BICO_USDT_SWAP,8579,2025-08-31 23:00:00+00:00,0.5901,1,0.003702,0.9965,,,images/train/BICO_USDT_SWAP_008579.png,1,pass,-0.006578,-0.008849,-0.010934,-0.00603,-0.008422,0.2133,-0.001215,0,1
