trained_target_r,rule,dimension,value,closed,gt5,gt10,win_rate,mean_net_bp
10,lightgbm_top5,month,2025-10,62,1,0,0.24193548387096775,-218.13334476837613
10,lightgbm_top5,month,2025-11,60,1,0,0.05,-481.5669850869428
10,lightgbm_top5,month,2025-12,100,0,0,0.18,-206.24688308831088
10,lightgbm_top5,month,2026-01,92,3,2,0.358695652173913,67.53963191289458
10,lightgbm_top5,month,2026-02,53,0,0,0.24528301886792453,-51.45196333004213
10,lightgbm_top5,month,2026-03,195,9,4,0.27692307692307694,19.249240933059358
10,lightgbm_top5,month,2026-04,200,8,1,0.28,-8.828625767836447
10,lightgbm_top5,month,2026-05,166,3,1,0.3313253012048193,-1.0405338944197922
10,lightgbm_top5,month,2026-06,103,1,0,0.23300970873786409,-135.76899999213217
10,lightgbm_top5,month,2026-07,145,2,0,0.1793103448275862,-63.843192147293564
10,lightgbm_top5,month,2026-08,150,15,10,0.38,202.49974359258408
10,lightgbm_top5,month,2026-09,56,3,0,0.42857142857142855,14.176477298125324
10,logistic_top1,month,2025-10,1,0,0,1.0,650.686207205326
10,logistic_top1,month,2025-11,1,0,0,0.0,-2346.570048309177
10,logistic_top1,month,2025-12,9,0,0,0.3333333333333333,227.324019746414
10,logistic_top1,month,2026-01,26,0,0,0.23076923076923078,-2.163865730130502
10,logistic_top1,month,2026-02,6,0,0,0.16666666666666666,-85.416684065785
10,logistic_top1,month,2026-03,15,2,0,0.4666666666666667,123.62752072191452
10,logistic_top1,month,2026-04,37,0,0,0.35135135135135137,-52.56428936488264
10,logistic_top1,month,2026-05,47,2,1,0.23404255319148937,44.23651658716463
10,logistic_top1,month,2026-06,20,0,0,0.2,-84.70857313930722
10,logistic_top1,month,2026-07,25,0,0,0.12,-94.30558565034464
10,logistic_top1,month,2026-08,54,3,2,0.3148148148148148,66.83238200777416
10,logistic_top1,month,2026-09,15,0,0,0.26666666666666666,-17.20787125354055
10,logistic_top10,month,2025-10,37,1,1,0.24324324324324326,15.502267654602585
10,logistic_top10,month,2025-11,18,0,0,0.2222222222222222,-595.7126326522551
10,logistic_top10,month,2025-12,75,1,0,0.30666666666666664,-102.02444994181651
10,logistic_top10,month,2026-01,204,4,2,0.2696078431372549,-19.547974225098724
10,logistic_top10,month,2026-02,132,1,0,0.2727272727272727,-49.02715105474302
10,logistic_top10,month,2026-03,271,10,3,0.25830258302583026,-24.31007323781187
10,logistic_top10,month,2026-04,359,19,2,0.3286908077994429,35.97880460234309
10,logistic_top10,month,2026-05,287,10,3,0.30313588850174217,24.415938545769627
10,logistic_top10,month,2026-06,206,4,0,0.16990291262135923,-98.26313454286469
10,logistic_top10,month,2026-07,343,5,0,0.16326530612244897,-103.35402540010946
10,logistic_top10,month,2026-08,386,38,21,0.32642487046632124,164.08265367942462
10,logistic_top10,month,2026-09,146,3,0,0.3013698630136986,-29.20079622349703
10,logistic_top20,month,2025-10,130,4,1,0.23846153846153847,-125.9136257302625
10,logistic_top20,month,2025-11,107,0,0,0.16822429906542055,-428.69064533108264
10,logistic_top20,month,2025-12,301,6,1,0.2292358803986711,-99.24760716580381
10,logistic_top20,month,2026-01,378,6,3,0.2857142857142857,-37.44823953244777
10,logistic_top20,month,2026-02,285,5,0,0.28771929824561404,-24.114177457587733
10,logistic_top20,month,2026-03,614,18,4,0.2687296416938111,-40.40863190264602
10,logistic_top20,month,2026-04,709,38,9,0.2947813822284908,31.03459089134747
10,logistic_top20,month,2026-05,552,17,7,0.30978260869565216,25.866804087159313
10,logistic_top20,month,2026-06,426,4,0,0.1807511737089202,-116.73207750388546
10,logistic_top20,month,2026-07,652,8,0,0.17331288343558282,-106.15685847403341
10,logistic_top20,month,2026-08,687,56,31,0.30858806404657935,134.3006611693939
10,logistic_top20,month,2026-09,264,4,0,0.29545454545454547,-36.43386020785022
10,logistic_top5,month,2025-10,14,0,0,0.2857142857142857,-293.58946011013074
10,logistic_top5,month,2025-11,6,0,0,0.5,-677.2597543838833
10,logistic_top5,month,2025-12,21,0,0,0.2857142857142857,-219.44366362481588
10,logistic_top5,month,2026-01,98,2,2,0.24489795918367346,3.666984394160291
10,logistic_top5,month,2026-02,50,1,0,0.2,-86.59167045941432
10,logistic_top5,month,2026-03,104,3,0,0.25,-43.50832727415151
10,logistic_top5,month,2026-04,182,10,1,0.3516483516483517,46.43079994372262
10,logistic_top5,month,2026-05,159,10,3,0.3081761006289308,65.46995576670228
10,logistic_top5,month,2026-06,113,2,0,0.168141592920354,-73.07037828075514
10,logistic_top5,month,2026-07,174,2,1,0.16666666666666666,-97.90072586852585
10,logistic_top5,month,2026-08,202,21,14,0.2871287128712871,157.08890176456518
10,logistic_top5,month,2026-09,78,3,0,0.34615384615384615,11.850055162048104
10,original_all,month,2025-10,1525,31,8,0.22950819672131148,-140.44352948610265
10,original_all,month,2025-11,1374,23,4,0.1586608442503639,-197.45025947915357
10,original_all,month,2025-12,1987,28,10,0.20885757423251133,-128.59259534341874
10,original_all,month,2026-01,1801,20,7,0.24652970571904498,-215.0144705542582
10,original_all,month,2026-02,1299,21,6,0.25558121632024633,-63.85387224918757
10,original_all,month,2026-03,2817,66,17,0.25168619098331557,-88.25796458321699
10,original_all,month,2026-04,2833,115,29,0.3138016237204377,105.8808382028302
10,original_all,month,2026-05,2475,68,15,0.317979797979798,75.0509288615633
10,original_all,month,2026-06,2081,32,9,0.173954829408938,-138.01264971605926
10,original_all,month,2026-07,2732,49,12,0.2529282576866764,-51.78610799833036
10,original_all,month,2026-08,2688,188,81,0.3932291666666667,193.16047983336156
10,original_all,month,2026-09,956,21,8,0.2928870292887029,-32.36095519212986
10,prior_v21_risk_decile,month,2025-10,90,2,0,0.24444444444444444,-44.88384107667357
10,prior_v21_risk_decile,month,2025-11,45,1,0,0.26666666666666666,-58.344274936770795
10,prior_v21_risk_decile,month,2025-12,236,0,0,0.3008474576271186,-50.36783650477976
10,prior_v21_risk_decile,month,2026-01,213,12,4,0.3333333333333333,76.0435817458755
10,prior_v21_risk_decile,month,2026-02,53,1,0,0.16981132075471697,-45.43211394233084
10,prior_v21_risk_decile,month,2026-03,269,10,2,0.31226765799256506,-23.88111386948178
10,prior_v21_risk_decile,month,2026-04,678,29,9,0.28761061946902655,11.414172928029323
10,prior_v21_risk_decile,month,2026-05,412,8,1,0.36893203883495146,17.98013344741824
10,prior_v21_risk_decile,month,2026-06,132,0,0,0.14393939393939395,-86.48576019615123
10,prior_v21_risk_decile,month,2026-07,378,7,0,0.164021164021164,-83.25227581456944
10,prior_v21_risk_decile,month,2026-08,524,57,41,0.36450381679389315,208.09506849314198
10,prior_v21_risk_decile,month,2026-09,108,0,0,0.16666666666666666,-65.92003517735183
10,risk_top1,month,2025-10,15,0,0,0.2,-57.29644998747794
10,risk_top1,month,2025-11,9,1,0,0.4444444444444444,11.75752316334889
10,risk_top1,month,2025-12,37,0,0,0.24324324324324326,-36.27690922056377
10,risk_top1,month,2026-01,19,0,0,0.42105263157894735,19.79081234266411
10,risk_top1,month,2026-02,7,0,0,0.0,-91.43049345710413
10,risk_top1,month,2026-03,15,1,0,0.5333333333333333,19.666934515755468
10,risk_top1,month,2026-04,105,2,1,0.20952380952380953,-37.08166216889106
10,risk_top1,month,2026-05,73,1,0,0.3150684931506849,-15.631128761973446
10,risk_top1,month,2026-06,57,0,0,0.19298245614035087,-46.41836732798676
10,risk_top1,month,2026-07,51,2,1,0.3137254901960784,-8.10027161650606
10,risk_top1,month,2026-08,88,4,0,0.2840909090909091,3.2616963216524666
10,risk_top1,month,2026-09,41,0,0,0.14634146341463414,-42.751404655264466
10,risk_top10,month,2025-10,113,2,0,0.23893805309734514,-40.564114050916096
10,risk_top10,month,2025-11,53,1,0,0.24528301886792453,-63.79644924597312
10,risk_top10,month,2025-12,266,2,0,0.2781954887218045,-45.987877737767725
10,risk_top10,month,2026-01,178,9,3,0.3202247191011236,36.71204044279349
10,risk_top10,month,2026-02,78,1,0,0.21794871794871795,-24.367098078159284
10,risk_top10,month,2026-03,304,12,3,0.34539473684210525,19.5099938394765
10,risk_top10,month,2026-04,640,28,7,0.2640625,-6.326538197228414
10,risk_top10,month,2026-05,513,9,1,0.3255360623781676,-19.970952940708813
10,risk_top10,month,2026-06,245,1,0,0.16326530612244897,-87.0542377547204
10,risk_top10,month,2026-07,330,5,0,0.21515151515151515,-59.04631837227476
10,risk_top10,month,2026-08,501,48,36,0.35528942115768464,181.71646337137864
10,risk_top10,month,2026-09,164,4,3,0.24390243902439024,12.554402524877647
10,risk_top20,month,2025-10,233,8,1,0.2317596566523605,-27.640293806876834
10,risk_top20,month,2025-11,156,3,0,0.15384615384615385,-109.59629349594206
10,risk_top20,month,2025-12,493,2,0,0.23935091277890466,-78.40456682755293
10,risk_top20,month,2026-01,361,12,4,0.3407202216066482,39.42002908734835
10,risk_top20,month,2026-02,171,2,0,0.2573099415204678,-43.352164608208234
10,risk_top20,month,2026-03,701,18,8,0.30527817403708984,-6.684318595173677
10,risk_top20,month,2026-04,1050,40,10,0.2866666666666667,-2.696911906923686
10,risk_top20,month,2026-05,826,17,4,0.3171912832929782,-7.081967896609038
10,risk_top20,month,2026-06,470,5,0,0.15531914893617021,-105.11530896184368
10,risk_top20,month,2026-07,591,8,1,0.20642978003384094,-66.6523977241612
10,risk_top20,month,2026-08,822,80,62,0.3491484184914842,188.28881791274094
10,risk_top20,month,2026-09,281,5,3,0.2775800711743772,-15.409298837351457
10,risk_top5,month,2025-10,58,2,0,0.20689655172413793,-38.42080170346211
10,risk_top5,month,2025-11,22,1,0,0.36363636363636365,-22.43772769500127
10,risk_top5,month,2025-12,152,0,0,0.34210526315789475,-30.583177116259424
10,risk_top5,month,2026-01,86,4,2,0.3023255813953488,54.050229683323465
10,risk_top5,month,2026-02,31,1,0,0.16129032258064516,-24.627579552513264
10,risk_top5,month,2026-03,112,5,0,0.375,9.550922229207726
10,risk_top5,month,2026-04,393,17,6,0.26463104325699743,-6.267129337879057
10,risk_top5,month,2026-05,298,6,1,0.3053691275167785,-19.97135739043406
10,risk_top5,month,2026-06,151,1,0,0.1456953642384106,-75.19383034222446
10,risk_top5,month,2026-07,181,5,0,0.2154696132596685,-44.344382913353336
10,risk_top5,month,2026-08,303,29,20,0.3465346534653465,159.7691429108987
10,risk_top5,month,2026-09,90,0,0,0.17777777777777778,-47.06146489241026
10,lightgbm_top1,timeframe_min,30,258,3,1,0.2596899224806202,-51.42908938145331
10,lightgbm_top1,timeframe_min,60,52,2,2,0.2692307692307692,10.796979851922877
10,lightgbm_top1,timeframe_min,240,6,0,0,0.0,-1138.2291206401585
10,lightgbm_top10,timeframe_min,30,2081,74,31,0.28159538683325325,-5.371161643884654
10,lightgbm_top10,timeframe_min,60,637,20,11,0.24489795918367346,-43.28365021358221
10,lightgbm_top10,timeframe_min,240,64,4,3,0.3125,-274.7842420803527
10,lightgbm_top20,timeframe_min,30,4054,144,53,0.28268376911692156,-3.4224582108075814
10,lightgbm_top20,timeframe_min,60,1423,49,24,0.2522839072382291,-19.39995673631881
10,lightgbm_top20,timeframe_min,240,146,6,4,0.2945205479452055,-105.50452995374059
10,lightgbm_top5,timeframe_min,30,1065,34,12,0.27511737089201876,-17.062767323785078
10,lightgbm_top5,timeframe_min,60,284,9,3,0.2605633802816901,-68.69382577710677
10,lightgbm_top5,timeframe_min,240,33,3,3,0.3333333333333333,-367.6626175976494
10,logistic_top1,timeframe_min,30,227,5,2,0.2643171806167401,-6.448738099239641
10,logistic_top1,timeframe_min,60,22,2,1,0.2727272727272727,54.494793706156855
10,logistic_top1,timeframe_min,240,7,0,0,0.5714285714285714,190.55994996063617
10,logistic_top10,timeframe_min,30,1970,72,25,0.27563451776649744,-4.102648709455482
10,logistic_top10,timeframe_min,60,423,21,6,0.2364066193853428,2.883003040466481
10,logistic_top10,timeframe_min,240,71,3,1,0.28169014084507044,-65.94441167328279
10,logistic_top20,timeframe_min,30,3912,126,42,0.27096114519427406,-15.969651157710539
10,logistic_top20,timeframe_min,60,1046,35,13,0.22562141491395793,-51.15822351285263
10,logistic_top20,timeframe_min,240,147,5,1,0.25170068027210885,-149.5266595299891
10,logistic_top5,timeframe_min,30,994,39,15,0.2686116700201207,0.31516357371812487
10,logistic_top5,timeframe_min,60,178,14,6,0.24157303370786518,62.02714524954772
10,logistic_top5,timeframe_min,240,29,1,0,0.3103448275862069,-220.91743002138182
10,original_all,timeframe_min,30,14935,401,126,0.2641446267157683,-31.357430507292232
10,original_all,timeframe_min,60,7608,205,59,0.26301261829652994,-57.64531550290734
10,original_all,timeframe_min,240,2025,56,21,0.2903703703703704,-3.754014635809785
10,prior_v21_risk_decile,timeframe_min,30,1926,77,37,0.2793354101765317,16.931972195033115
10,prior_v21_risk_decile,timeframe_min,60,951,37,16,0.2870662460567823,21.114227685252853
10,prior_v21_risk_decile,timeframe_min,240,261,13,4,0.36398467432950193,39.48850764190869
10,risk_top1,timeframe_min,30,446,9,2,0.2556053811659193,-23.057717534640762
10,risk_top1,timeframe_min,60,70,2,0,0.3,-17.807272887649756
10,risk_top1,timeframe_min,240,1,0,0,0.0,-93.99359392551
10,risk_top10,timeframe_min,30,2945,100,45,0.27775891341256365,4.85330742601711
10,risk_top10,timeframe_min,60,429,22,8,0.31934731934731936,34.21588634932596
10,risk_top10,timeframe_min,240,11,0,0,0.2727272727272727,-55.72514254747265
10,risk_top20,timeframe_min,30,5144,157,72,0.27332814930015553,-7.296609345407566
10,risk_top20,timeframe_min,60,982,39,18,0.2861507128309572,23.160123397824478
10,risk_top20,timeframe_min,240,29,4,3,0.4482758620689655,265.4389215218944
10,risk_top5,timeframe_min,30,1646,60,26,0.27217496962332927,3.596618368861437
10,risk_top5,timeframe_min,60,222,11,3,0.32432432432432434,38.322555312836016
10,risk_top5,timeframe_min,240,9,0,0,0.2222222222222222,-51.58689194354289
10,lightgbm_top1,venue,binance,205,2,1,0.2731707317073171,-64.49889501909695
10,lightgbm_top1,venue,gate,6,0,0,0.3333333333333333,30.403232897175684
10,lightgbm_top1,venue,okx,105,3,2,0.21904761904761905,-61.87412143261041
10,lightgbm_top10,venue,binance,1747,67,30,0.2701774470520893,-17.604999476405606
10,lightgbm_top10,venue,gate,65,3,1,0.3230769230769231,-29.131834722800257
10,lightgbm_top10,venue,okx,970,28,14,0.277319587628866,-24.41831001840806
10,lightgbm_top20,venue,binance,3493,129,52,0.27397652447752646,-6.776992866848005
10,lightgbm_top20,venue,gate,127,4,1,0.2992125984251969,-55.82671800541338
10,lightgbm_top20,venue,okx,2003,66,28,0.2760858711932102,-13.041645594135868
10,lightgbm_top5,venue,binance,877,29,10,0.26567844925883694,-45.21965785494438
10,lightgbm_top5,venue,gate,31,2,1,0.41935483870967744,56.53432325762977
10,lightgbm_top5,venue,okx,474,15,7,0.27848101265822783,-25.123806294202904
10,logistic_top1,venue,binance,149,4,2,0.2550335570469799,-4.9909182762839555
10,logistic_top1,venue,gate,3,1,0,0.6666666666666666,302.90327186895667
10,logistic_top1,venue,okx,104,2,1,0.28846153846153844,8.691140098961009
10,logistic_top10,venue,binance,1486,59,17,0.25370121130551815,-18.028714610530468
10,logistic_top10,venue,gate,47,3,0,0.2553191489361702,-80.15854531627618
10,logistic_top10,venue,okx,931,34,15,0.29430719656283566,20.42251411471558
10,logistic_top20,venue,binance,3092,101,33,0.25291073738680464,-34.117555602692455
10,logistic_top20,venue,gate,119,4,0,0.25210084033613445,-96.60498023435812
10,logistic_top20,venue,okx,1894,61,23,0.2750791974656811,-11.075882525291536
10,logistic_top5,venue,binance,710,33,10,0.2549295774647887,-4.03679822587157
10,logistic_top5,venue,gate,20,1,0,0.15,-156.78045391540516
10,logistic_top5,venue,okx,471,20,11,0.28662420382165604,23.24678300372008
10,original_all,venue,binance,15106,418,127,0.2617502978948762,-43.26177140365981
10,original_all,venue,gate,949,31,13,0.3087460484720759,68.3078003328474
10,original_all,venue,okx,8513,213,66,0.2686479501938212,-38.27116742655123
10,prior_v21_risk_decile,venue,binance,1507,58,29,0.2913072329130723,23.6654280917763
10,prior_v21_risk_decile,venue,gate,145,7,1,0.3448275862068966,22.887224530042793
10,prior_v21_risk_decile,venue,okx,1486,62,27,0.28061911170928666,16.160606850393215
10,risk_top1,venue,binance,167,2,0,0.25748502994011974,-38.89842390802599
10,risk_top1,venue,gate,1,0,0,1.0,111.233595800523
10,risk_top1,venue,okx,349,9,2,0.2607449856733524,-15.012726417395282
10,risk_top10,venue,binance,1731,63,28,0.2784517619872906,8.034877592294556
10,risk_top10,venue,gate,57,2,1,0.3333333333333333,-21.432296280981138
10,risk_top10,venue,okx,1597,57,24,0.28616155291170947,9.813335517353202
10,risk_top20,venue,binance,3353,110,51,0.27199522815389204,-2.326716179432576
10,risk_top20,venue,gate,105,5,2,0.3333333333333333,27.403040201594873
10,risk_top20,venue,okx,2697,85,40,0.27919911012235815,-0.8040891522091165
10,risk_top5,venue,binance,872,32,13,0.2706422018348624,1.316198900184709
10,risk_top5,venue,gate,22,1,0,0.36363636363636365,-13.038956843873176
10,risk_top5,venue,okx,983,38,16,0.28280773143438453,13.329085144158476
10,lightgbm_top1,asset,0G,1,0,0,1.0,54.879657692994
10,lightgbm_top1,asset,1000000BOB,1,0,0,0.0,-2346.570048309177
10,lightgbm_top1,asset,1000CHEEMS,3,0,0,0.3333333333333333,-109.99885444887033
10,lightgbm_top1,asset,1INCH,1,0,0,0.0,-147.290683638757
10,lightgbm_top1,asset,1MBABYDOGE,1,0,0,0.0,-43.937761819269
10,lightgbm_top1,asset,ACH,1,0,0,0.0,-156.291600633914
10,lightgbm_top1,asset,ACU,1,0,0,1.0,254.267276149502
10,lightgbm_top1,asset,ACX,1,0,0,1.0,44.888248017302004
10,lightgbm_top1,asset,AIA,1,0,0,1.0,575.034246575343
10,lightgbm_top1,asset,ALGO,1,0,0,1.0,304.08435072142004
10,lightgbm_top1,asset,ALICE,1,0,0,0.0,-201.686046511627
10,lightgbm_top1,asset,ALL,1,0,0,0.0,-171.13871635610698
10,lightgbm_top1,asset,ALLO,1,0,0,0.0,-218.102678571427
10,lightgbm_top1,asset,ALPINE,1,0,0,0.0,-170.70491006319799
10,lightgbm_top1,asset,ANIME,2,0,0,0.0,-207.266241641445
10,lightgbm_top1,asset,API3,1,0,0,0.0,-227.113912651958
10,lightgbm_top1,asset,APT,4,0,0,0.0,-222.85534759351674
10,lightgbm_top1,asset,AR,4,0,0,0.25,-38.89337156769124
10,lightgbm_top1,asset,ARB,3,0,0,0.0,-249.46119266689232
10,lightgbm_top1,asset,ARC,1,0,0,0.0,-137.447071549992
10,lightgbm_top1,asset,ARK,2,0,0,0.0,-192.20299199902098
10,lightgbm_top1,asset,ARPA,1,0,0,1.0,150.441001191894
10,lightgbm_top1,asset,ASTR,1,0,0,0.0,-70.202741842054
10,lightgbm_top1,asset,AT,1,0,0,0.0,-146.72244094488101
10,lightgbm_top1,asset,ATOM,1,0,0,0.0,-173.148043108337
10,lightgbm_top1,asset,AUCTION,2,0,0,0.5,38.411447987693
10,lightgbm_top1,asset,AVA,1,0,0,0.0,-131.371629542789
10,lightgbm_top1,asset,AWE,1,0,0,0.0,-99.68865826538199
10,lightgbm_top1,asset,AXS,2,0,0,0.0,-204.73609190911301
10,lightgbm_top1,asset,BANANA,1,0,0,0.0,-164.25058387141
10,lightgbm_top1,asset,BANANAS31,1,0,0,0.0,-295.572588739848
10,lightgbm_top1,asset,BAND,3,0,0,0.0,-449.99449068621635
10,lightgbm_top1,asset,BANK,2,0,0,0.0,-831.5407497239876
10,lightgbm_top1,asset,BCH,2,0,0,1.0,302.9775309768075
10,lightgbm_top1,asset,BEAMX,1,0,0,1.0,5.6574727389329995
10,lightgbm_top1,asset,BICO,2,0,0,0.0,-1124.071968316053
10,lightgbm_top1,asset,BIGTIME,2,0,0,0.5,-15.058262519106
10,lightgbm_top1,asset,BIO,1,0,0,0.0,-172.033447358418
10,lightgbm_top1,asset,BIRB,1,0,0,0.0,-173.93812584068002
10,lightgbm_top1,asset,BNB,3,0,0,0.0,-160.6915205822717
10,lightgbm_top1,asset,BREV,1,0,0,0.0,-172.67175572519102
10,lightgbm_top1,asset,BSV,1,0,0,0.0,-152.075471698114
10,lightgbm_top1,asset,BTCDOM,2,0,0,0.5,194.588919372249
10,lightgbm_top1,asset,C,2,0,0,1.0,303.201333819362
10,lightgbm_top1,asset,CC,1,0,0,0.0,-571.605941348228
10,lightgbm_top1,asset,CELO,1,0,0,0.0,-241.220233901648
10,lightgbm_top1,asset,CFX,2,0,0,0.5,103.93015680388449
10,lightgbm_top1,asset,CHILLGUY,1,0,0,0.0,-292.75257445032
10,lightgbm_top1,asset,CHZ,2,0,0,0.0,-171.3218296752205
10,lightgbm_top1,asset,CKB,2,0,0,0.5,233.8056630056115
10,lightgbm_top1,asset,COMP,1,0,0,1.0,465.8934169279
10,lightgbm_top1,asset,COS,1,0,0,0.0,-157.540453074432
10,lightgbm_top1,asset,COW,1,0,0,0.0,-125.988341282459
10,lightgbm_top1,asset,CROSS,1,0,0,1.0,394.897722886917
10,lightgbm_top1,asset,CVC,2,0,0,0.0,-50.766445080279
10,lightgbm_top1,asset,CYBER,1,0,0,0.0,-174.53360640476498
10,lightgbm_top1,asset,CYS,1,0,0,1.0,328.274750080619
10,lightgbm_top1,asset,DASH,2,0,0,0.0,-218.02496687356202
10,lightgbm_top1,asset,DEEP,1,0,0,1.0,577.473540457493
10,lightgbm_top1,asset,DEXE,1,0,0,1.0,1011.115977735195
10,lightgbm_top1,asset,DIA,1,0,0,0.0,-154.486071085494
10,lightgbm_top1,asset,DOGE,1,0,0,1.0,404.10714285714397
10,lightgbm_top1,asset,DYDX,2,0,0,0.0,-299.376833399587
10,lightgbm_top1,asset,EDGE,1,0,0,0.0,-260.74494662729796
10,lightgbm_top1,asset,EIGEN,3,0,0,0.3333333333333333,-150.34628160163834
10,lightgbm_top1,asset,ENA,1,0,0,0.0,-221.553254437869
10,lightgbm_top1,asset,EPIC,2,0,0,0.5,-162.66581964350746
10,lightgbm_top1,asset,ETC,4,0,0,0.0,-134.81706984778776
10,lightgbm_top1,asset,ETHW,1,0,0,0.0,-195.187701108331
10,lightgbm_top1,asset,FLOKI,1,0,0,0.0,-258.095238095237
10,lightgbm_top1,asset,FOGO,1,0,0,0.0,-16.692392502757
10,lightgbm_top1,asset,G,2,0,0,0.0,-192.1642171012955
10,lightgbm_top1,asset,GAS,2,0,0,0.0,-159.705882352941
10,lightgbm_top1,asset,GLM,1,0,0,0.0,-238.705035971221
10,lightgbm_top1,asset,GME,1,0,0,0.0,-69.26108374384201
10,lightgbm_top1,asset,GMT,2,0,0,0.5,14.162397859638995
10,lightgbm_top1,asset,GMX,4,0,0,0.5,30.5968891298335
10,lightgbm_top1,asset,GRASS,1,0,0,1.0,48.267419962335
10,lightgbm_top1,asset,GRVT,1,0,0,0.0,-197.58726270667398
10,lightgbm_top1,asset,GTC,1,0,0,0.0,-142.82930961456898
10,lightgbm_top1,asset,GUN,1,0,0,0.0,-211.435768261963
10,lightgbm_top1,asset,HBAR,2,0,0,0.0,-149.02145809003
10,lightgbm_top1,asset,HEI,2,0,0,0.0,-229.1338081176535
10,lightgbm_top1,asset,HFT,1,0,0,1.0,152.987358616101
10,lightgbm_top1,asset,HIVE,2,0,0,1.0,240.5343451707515
10,lightgbm_top1,asset,ICX,1,0,0,0.0,-283.788968824939
10,lightgbm_top1,asset,ID,1,0,0,1.0,152.61219792865398
10,lightgbm_top1,asset,ILV,1,0,0,0.0,-130.584518167456
10,lightgbm_top1,asset,IN,1,0,0,1.0,226.64955802680498
10,lightgbm_top1,asset,INIT,2,0,0,0.5,-98.5144118276865
10,lightgbm_top1,asset,IO,1,0,0,0.0,-232.3730378578
10,lightgbm_top1,asset,IP,1,0,0,0.0,-180.44776119403
10,lightgbm_top1,asset,IRYS,1,0,0,0.0,-231.06259097525302
10,lightgbm_top1,asset,IWM,1,0,0,0.0,-32.924606462302
10,lightgbm_top1,asset,JOE,1,0,0,0.0,-146.035289881165
10,lightgbm_top1,asset,JUP,2,0,0,0.5,163.16331219557048
10,lightgbm_top1,asset,KAIA,2,0,0,0.5,106.74821096181549
10,lightgbm_top1,asset,KAS,2,0,0,0.0,-115.911860580039
10,lightgbm_top1,asset,KERNEL,1,0,0,0.0,-260.07113218731297
10,lightgbm_top1,asset,KGEN,1,0,0,0.0,-47.01615221015
10,lightgbm_top1,asset,KITE,1,0,0,0.0,-159.673739204605
10,lightgbm_top1,asset,KMNO,1,0,0,0.0,-135.72226656025498
10,lightgbm_top1,asset,KNC,1,0,0,1.0,88.40108401083799
10,lightgbm_top1,asset,KSM,3,0,0,0.0,-220.73319805333963
