minutes,window,policy,session,schedule,n_candidates,n_accepted,n_natural,n_blocked,n_capacity_rejected,n_profit,n_net_be,n_other_zero,n_net_loss,n_strict_positive,n_full_initial_stop,n_tp,max_net_loss_streak,max_initial_stop_streak,max_gross_loss_streak,max_unrecovered_loss_events,max_risk,max_attempted_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,n_boundary,boundary_pnl,natural_net_r,natural_gross_r,positive_cash,negative_cash,halt_reason,halt_time,halt_risk,halt_equity,initial_balance,final_balance,residual_debt,profit,profit_rate,be_rate,loss_rate,mean_net_r,mean_gross_r,cash_pf
5,available,original,all,double,108,78,78,19,11,26,0,0,52,26,41,0,8,8,8,8,128.0,128.0,8.380365191279553,0.13621935116772144,22,0,0.0,-3.782645302939744,33.05009578257556,2339.047542959977,-782.3161082963746,,,,,1000,2556.731434663602,344.17239805079953,1556.7314346636022,0.3333333333333333,0.0,0.6666666666666666,-0.04849545260179159,0.4237191766996867,2.9899007807133713
5,available,original,union,fixed,55,46,46,9,0,13,0,0,33,13,26,0,11,9,11,19,1.0,1.0,1.0858709571059066,0.01706880563611879,1,0,0.0,-10.09378860832491,13.874877103565165,35.988145410344714,-46.081934018669585,,,,,1000,989.9062113916751,12.350439384933338,-10.093788608324871,0.2826086956521739,0.0,0.717391304347826,-0.21943018713749804,0.30162776312098183,0.7809599613541506
5,available,original,union,double,55,36,36,7,12,11,0,0,25,11,19,0,7,5,7,7,128.0,128.0,9.454110104059497,0.13934815348362495,9,0,0.0,4.205941399441015,17.877967796735515,2035.8820731041765,-343.3016806556076,,,,,1000,2692.580392448569,10.37480499420144,1692.580392448569,0.3055555555555556,0.0,0.6944444444444444,0.11683170554002818,0.49661021657598653,5.930300338804711
15,common,original,all,fixed,39,30,30,9,0,13,0,0,17,13,12,0,5,4,4,7,1.0,1.0,0.36229957400267476,0.0065124448530745616,7,0,0.0,27.749027270376367,34.34934894215455,44.53554903078077,-16.78652176040498,,,,,1000,1027.7490272703758,0.41477082496885487,27.74902727037579,0.43333333333333335,0.0,0.5666666666666667,0.9249675756792122,1.1449782980718184,2.653054019554456
15,common,original,all,double,39,28,28,9,2,12,0,0,16,12,12,0,5,4,4,7,128.0,128.0,5.89770360130449,0.10616345739045185,10,0,0.0,21.2491740954745,27.520261576378257,283.04077576793236,-159.82151144246757,,,,,1000,1123.2192643254648,0.0,123.21926432546479,0.42857142857142855,0.0,0.5714285714285714,0.758899074838375,0.982866484870652,1.7709804719862206
15,common,original,union,fixed,21,17,17,4,0,9,0,0,8,9,5,0,2,2,2,4,1.0,1.0,0.2786981132075607,0.0032412150099001558,6,0,0.0,22.739913029701768,26.315755054748042,30.902470982535306,-8.162557952833595,,,,,1000,1022.7399130297017,0.0,22.73991302970171,0.5294117647058824,0.0,0.47058823529411764,1.3376419429236335,1.5479855914557672,3.7858807448720966
15,common,original,union,double,21,17,17,4,0,9,0,0,8,9,5,0,2,2,2,4,16.0,16.0,1.3189543481206834,0.00849251034638232,6,0,0.0,22.739913029701768,26.315755054748042,150.56171328511937,-18.284564486487852,,,,,1000,1132.2771487986315,0.0,132.27714879863152,0.5294117647058824,0.0,0.47058823529411764,1.3376419429236335,1.5479855914557672,8.234361469007549
15,available,original,all,fixed,323,269,269,54,0,64,0,0,205,64,164,0,20,11,20,205,1.0,1.0,1.090430520030487,0.05856708668696742,0,0,0.0,-28.550232222820192,46.82029291840387,212.08530601394716,-240.63553823676762,,,,,1000,971.4497677771795,28.550232222820455,-28.550232222820455,0.2379182156133829,0.0,0.7620817843866171,-0.10613469227814197,0.17405313352566495,0.8813548803638093
15,available,original,all,double,323,9,9,2,312,1,0,0,8,1,5,0,5,3,5,8,128.0,256.0,9.236200151971143,0.3076410013332226,0,0,0.0,-9.843281254435235,-5.66865892321675,4.202852780806211,-311.8438541140288,,,,,1000,692.3589986667774,307.64100133322256,-307.64100133322256,0.1111111111111111,0.0,0.8888888888888888,-1.0936979171594705,-0.6298509914685277,0.01347742700508504
15,available,original,union,fixed,134,123,123,11,0,32,0,0,91,32,76,0,14,14,14,91,1.0,1.0,0.8869862584793057,0.038328408891500465,0,0,0.0,-9.83875902948723,23.99855079338283,99.15745190768962,-108.99621093717667,,,,,1000,990.161240970513,9.83875902948705,-9.83875902948705,0.2601626016260163,0.0,0.7398373983739838,-0.07998991080883927,0.19511016905189293,0.9097330178279507
15,available,original,union,double,134,9,9,0,125,1,0,0,8,1,7,0,7,7,7,8,128.0,256.0,9.670155316593528,0.3216746873823194,0,0,0.0,-12.410816980109606,-6.826815129426647,0.2626782988004379,-321.9373656811199,,,,,1000,678.3253126176805,321.67468738231946,-321.67468738231946,0.1111111111111111,0.0,0.8888888888888888,-1.378979664456623,-0.7585350143807386,0.0008159298261159958
30,common,original,all,fixed,17,14,14,3,0,3,0,0,11,3,10,0,6,6,6,10,1.0,1.0,0.20571902659862196,0.006670313648975745,1,0,0.0,-6.421174092937331,-4.388629121727266,5.265500067642847,-11.686674160580083,,,,,1000,993.5788259070628,6.4363003942419255,-6.421174092937235,0.21428571428571427,0.0,0.7857142857142857,-0.4586552923526665,-0.3134735086948047,0.45055590626490843
30,common,original,all,double,17,14,14,3,0,3,0,0,11,3,10,0,6,6,6,6,64.0,64.0,8.038447979414933,0.06859263625529222,3,0,0.0,-6.421174092937331,-4.388629121727266,166.51517994709639,-79.39705177629912,,,,,1000,1087.1181281707973,9.554891905839895,87.11812817079726,0.21428571428571427,0.0,0.7857142857142857,-0.4586552923526665,-0.3134735086948047,2.0972463866322424
30,common,original,union,fixed,7,7,7,0,0,0,0,0,7,0,6,0,7,6,7,7,1.0,1.0,0.1167637718389723,0.006953939213358407,0,0,0.0,-6.953939213358394,-6.048641304347825,0.0,-6.953939213358353,,,,,1000,993.0460607866416,6.953939213358353,-6.953939213358353,0.0,0.0,1.0,-0.9934198876226278,-0.8640916149068322,0.0
30,common,original,union,double,7,7,7,0,0,0,0,0,7,0,6,0,7,6,7,7,64.0,64.0,2.8379956532350907,0.0796866432454788,0,0,0.0,-6.953939213358394,-6.048641304347825,0.0,-79.68664324547876,,,,,1000,920.3133567545212,79.68664324547876,-79.68664324547876,0.0,0.0,1.0,-0.9934198876226278,-0.8640916149068322,0.0
30,available,original,all,fixed,150,124,124,26,0,31,0,0,93,31,76,0,9,8,9,89,1.0,1.0,0.20767663079940177,0.029375455094934666,3,0,0.0,-15.812243473902953,2.69371207749612,81.25433022531308,-97.06657369921606,,,,,1000,984.187756526097,29.544739256221646,-15.812243473902981,0.25,0.0,0.75,-0.12751809253147542,0.02172348449593645,0.8370989840137864
30,available,original,all,double,150,24,24,4,122,6,0,0,18,6,17,0,8,5,8,9,256.0,512.0,7.674977723352342,0.44297117933414587,5,0,0.0,2.222988917386174,7.110185227168003,167.20700467029803,-541.3895853496557,,,,,1000,625.8174193206423,497.6745726602403,-374.18258067935767,0.25,0.0,0.75,0.09262453822442392,0.2962577177986668,0.3088478411757914
30,available,original,union,fixed,65,62,62,3,0,17,0,0,45,17,40,0,10,9,10,25,1.0,1.0,0.17636356510952,0.01753057059243346,5,0,0.0,-6.668907206870489,3.0062552903452766,42.16541682977345,-48.834324036644034,,,,,1000,993.3310927931294,17.724379326865687,-6.6689072068705855,0.27419354838709675,0.0,0.7258064516129032,-0.10756301946565304,0.04848798855395607,0.863438117790544
30,available,original,union,double,65,52,52,2,11,16,0,0,36,16,31,0,9,5,9,9,256.0,256.0,9.41985548128629,0.2789266569253708,14,0,0.0,2.395508141582627,10.607289935273936,259.27643138964845,-429.6151458645895,,,,,1000,829.6612855250589,320.9308054090129,-170.33871447494107,0.3076923076923077,0.0,0.6923076923076923,0.046067464261204366,0.20398634490911416,0.6035085910853102
60,common,original,all,fixed,10,8,7,2,0,0,0,0,7,0,4,0,7,3,5,7,1.0,1.0,0.11425951358750912,0.005678028766521237,0,1,0.6891894137194186,-5.678028766521362,-4.893744286360448,0.0,-5.678028766521265,,,,,1000,995.0111606471982,4.988839352801847,-4.988839352801847,0.0,0.0,1.0,-0.8111469666459089,-0.6991063266229212,0.0
60,common,original,all,double,10,8,7,2,0,0,0,0,7,0,4,0,7,3,5,7,128.0,128.0,7.6835275576196675,0.0940898897146446,0,1,88.21624495608808,-5.678028766521362,-4.893744286360448,0.0,-94.08988971464464,,,,,1000,994.1263552414434,5.873644758556566,-5.873644758556566,0.0,0.0,1.0,-0.8111469666459089,-0.6991063266229212,0.0
60,common,original,union,fixed,5,5,4,0,0,0,0,0,4,0,3,0,4,3,4,4,1.0,1.0,0.0802746394835919,0.003962910964723565,0,1,0.6891894137194186,-3.9629109647236493,-3.5911350455675195,0.0,-3.962910964723619,,,,,1000,996.7262784489958,3.2737215510042006,-3.2737215510042006,0.0,0.0,1.0,-0.9907277411809123,-0.8977837613918799,0.0
60,common,original,union,double,5,5,4,0,0,0,0,0,4,0,3,0,4,3,4,4,16.0,16.0,0.44628073293816334,0.01309487301063772,0,1,11.027030619511038,-3.9629109647236493,-3.5911350455675195,0.0,-13.094873010637684,,,,,1000,997.9321576088734,2.0678423911266464,-2.0678423911266464,0.0,0.0,1.0,-0.9907277411809123,-0.8977837613918799,0.0
60,available,original,all,fixed,73,66,65,7,0,10,0,0,55,10,44,0,15,7,11,41,1.0,1.0,0.2642650998984229,0.03600611834211953,3,1,0.6891894137194186,-6.183306504571961,0.8410810642534289,49.352064132621194,-55.53537063719273,,,,,1000,994.5058829091479,36.43084024334621,-5.494117090852114,0.15384615384615385,0.0,0.8461538461538461,-0.09512779237803017,0.012939708680821983,0.8886600299299975
60,available,original,all,double,73,44,44,5,24,8,0,0,36,8,29,0,9,7,9,9,256.0,512.0,7.376545385880512,0.3054231484431952,7,0,0.0,9.911501494150873,14.761671508938841,1081.0005429296793,-899.2151305914462,,,,,1000,1181.7854123382333,519.6611730027741,181.7854123382333,0.18181818181818182,0.0,0.8181818181818182,0.22526139759433803,0.33549253429406456,1.2021600906767065
60,available,original,union,fixed,33,33,32,0,0,4,0,0,28,4,24,0,18,12,18,21,1.0,1.0,0.10280631978912923,0.021067851700714457,3,1,0.6891894137194186,-5.617517569019991,-2.097471720624493,23.324280157649923,-28.94179772666996,,,,,1000,995.0716718446994,20.71117291991129,-4.928328155300619,0.125,0.0,0.875,-0.17554742403187473,-0.06554599126951541,0.8059029497036573
60,available,original,union,double,33,23,23,0,10,4,0,0,19,4,16,0,9,8,9,9,256.0,512.0,9.61732747115837,0.4486172218664207,4,0,0.0,3.922384776556302,6.493663324943027,125.24903836264889,-517.1334828361892,,,,,1000,608.1155555264597,494.7762641725883,-391.88444447354027,0.17391304347826086,0.0,0.8260869565217391,0.17053846854592616,0.28233318804100116,0.24219866343932647
240,common,original,all,fixed,4,4,4,0,0,1,0,0,3,1,1,0,3,1,3,3,1.0,1.0,0.04162552958862954,0.002479964587811301,1,0,0.0,-1.9101291203987916,-1.7112589392743196,0.5712521525215379,-2.4813812729203164,,,,,1000,998.0898708796012,2.4813812729203164,-1.9101291203987785,0.25,0.0,0.75,-0.4775322800996979,-0.4278147348185799,0.23021538800010213
240,common,original,all,double,4,4,4,0,0,1,0,0,3,1,1,0,3,1,3,3,4.0,4.0,0.04733538254332189,0.0052786410783378646,1,0,0.0,-1.9101291203987916,-1.7112589392743196,0.5712521525215379,-5.281656513416237,,,,,1000,995.2895956391053,5.281656513416237,-4.7104043608946995,0.25,0.0,0.75,-0.4775322800996979,-0.4278147348185799,0.1081577628288526
240,common,original,union,fixed,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.04162552958862954,0.0,1,0,0.0,0.5712521525215318,0.6545032116987916,0.5712521525215379,0.0,,,,,1000,1000.5712521525215,0.0,0.5712521525215379,1.0,0.0,0.0,0.5712521525215318,0.6545032116987916,
240,common,original,union,double,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.04162552958862954,0.0,1,0,0.0,0.5712521525215318,0.6545032116987916,0.5712521525215379,0.0,,,,,1000,1000.5712521525215,0.0,0.5712521525215379,1.0,0.0,0.0,0.5712521525215318,0.6545032116987916,
240,available,original,all,fixed,16,15,15,1,0,6,0,0,9,6,6,0,3,2,3,4,1.0,1.0,0.06989084771192881,0.002766791440541927,3,0,0.0,2.2945094537299386,3.0080742014530024,10.740033850250711,-8.445524396520682,,,,,1000,1002.29450945373,2.4813812729203164,2.2945094537300292,0.4,0.0,0.6,0.15296729691532923,0.20053828009686683,1.2716834794385654
240,available,original,all,double,16,15,15,1,0,6,0,0,9,6,6,0,3,2,3,3,8.0,8.0,0.07673310619012723,0.006860341321173857,5,0,0.0,2.2945094537299386,3.0080742014530024,28.167392365071805,-15.394805830102655,,,,,1000,1012.7725865349692,5.281656513416237,12.77258653496915,0.4,0.0,0.6,0.15296729691532923,0.20053828009686683,1.8296685697713655
240,available,original,union,fixed,5,5,5,0,0,3,0,0,2,3,2,0,1,1,1,1,1.0,1.0,0.06989084771192881,0.001139781695423836,3,0,0.0,6.170192416819682,6.507707490008627,8.33028547716276,-2.1600930603430015,,,,,1000,1006.1701924168198,0.0,6.170192416819759,0.6,0.0,0.4,1.2340384833639364,1.3015414980017255,3.856447497609197
240,available,original,union,double,5,5,5,0,0,3,0,0,2,3,2,0,1,1,1,1,2.0,2.0,0.06989084771192881,0.001139781695423836,3,0,0.0,6.170192416819682,6.507707490008627,16.08931880180387,-2.1600930603430015,,,,,1000,1013.9292257414609,0.0,13.929225741460868,0.6,0.0,0.4,1.2340384833639364,1.3015414980017255,7.448437799827497
