minutes,window,start,end,policy,session,candidates,rejected_by_session,retained_all_day,new_after_filter,dropped_all_day,natural,open,wins,losses,net_zero,win_rate,sum_gross_r,sum_net_r,mean_net_r,mean_cost_r,profit_factor,max_net_loss_streak,max_initial_stop_streak,initial_stops,fanshen_exits,gross3r,net3r,legacy_mfe1r,legacy_mfe1r_then_net_loss,max_realized_drawdown_r,boundary_net_r,matched_n,matched_missing,random_mean_net_r,excess_net_r,p,months,target_censored,target_invalid,natural_target_n,controls_per_trade,permutations,p_holm
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,7,10,7,0,7,7,0,0,7,0,0.0,-6.048641304347825,-6.953939213358394,-0.9934198876226278,0.12932827271579567,0.0,7,6,6,0,0,0,3,3,6.953939213358394,0.0,7,0,0.1795156672040498,-1.1729355548266778,1.0,3,0,0,7,5,9999,1.0
30,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,150,0,124,0,0,124,0,31,93,0,0.25,2.69371207749612,-15.812243473902951,-0.12751809253147542,0.1492415770274118,0.8370989840137867,9,8,76,0,12,11,58,27,29.778853408129518,0.0,110,14,-0.23040126338901232,0.010284646890263443,0.47,33,0,0,124,5,9999,1.0
30,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,65,85,56,6,68,62,0,17,45,0,0.27419354838709675,3.006255290345273,-6.668907206870487,-0.10756301946565301,0.15605100801960906,0.8634381177905457,10,9,40,0,6,6,31,14,17.724379326865645,0.0,61,1,-0.3704838753105544,0.2799022218472524,0.1195,27,0,0,62,5,9999,1.0
60,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,10,0,8,0,0,7,1,0,7,0,0.0,-4.893744286360448,-5.678028766521362,-0.8111469666459089,0.11204064002298779,0.0,7,3,4,0,0,0,2,2,5.678028766521362,0.6891894137194381,6,1,-0.27877484840662525,-0.6675307051180517,1.0,2,1,0,7,5,9999,1.0
60,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,5,5,4,1,4,4,1,0,4,0,0.0,-3.5911350455675195,-3.9629109647236493,-0.9907277411809123,0.09294397978903238,0.0,4,3,3,0,0,0,0,0,3.9629109647236493,0.6891894137194381,4,0,-0.9681267854995246,-0.022600955681387536,0.7415,2,1,0,4,5,9999,1.0
60,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,73,0,66,0,0,65,1,10,55,0,0.15384615384615385,0.8410810642534258,-6.183306504571962,-0.09512779237803018,0.10806750105885209,0.8886600299299905,15,7,44,0,4,4,21,11,37.120029657065785,0.6891894137194381,52,13,-0.09179010967358191,0.16625814069826522,0.4464,22,1,0,65,5,9999,1.0
60,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,33,40,31,2,35,32,1,4,28,0,0.125,-2.0974717206244913,-5.617517569019991,-0.17554742403187473,0.11000143276235927,0.8059029497036588,18,12,24,0,3,3,11,7,21.400362333630753,0.6891894137194381,30,2,-0.04511487909707972,-0.07606731624552988,0.5588,20,1,0,32,5,9999,1.0
240,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,4,0,4,0,0,4,0,1,3,0,0.25,-1.7112589392743196,-1.9101291203987916,-0.4775322800996979,0.049717545281117964,0.230215388000099,3,1,1,0,0,0,3,2,2.4813812729203235,0.0,3,1,0.1260631473096111,-0.9531902382830522,1.0,3,0,0,4,5,9999,1.0
240,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,1,3,1,0,3,1,0,1,0,0,1.0,0.6545032116987916,0.5712521525215318,0.5712521525215318,0.08325105917725972,,0,0,0,0,0,0,1,0,0.0,0.0,0,1,,,,0,0,0,1,5,9999,
240,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,16,0,15,0,0,15,0,6,9,0,0.4,3.0080742014530024,2.2945094537299386,0.15296729691532923,0.047570983181537616,1.2716834794385532,3,2,6,0,1,1,10,4,2.7788238498022872,0.0,10,5,1.0523907235638754,-1.0705779672454467,0.84,10,0,0,15,5,9999,1.0
240,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,5,11,5,0,10,5,0,3,2,0,0.6,6.507707490008627,6.170192416819682,1.2340384833639364,0.06750301463778893,3.8564474976091523,1,1,2,0,1,1,3,0,1.139781695423855,0.0,2,3,-1.02089980171138,1.8382996039960922,0.2513,2,0,0,5,5,9999,1.0
