timeframe,symbol,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
15m,NEARUSDT,13,1,4,9,30.76923076923077,-0.062876076118074,-1.072708333333332,-0.817388989534962,0.04371474888113324,-26.61688147441824,-151.304710295956,-346.0194591674371,-6.616881474418151,1.831049624231881,0.9046208318291649,2.0241072942455407,33.067609800183426,0.8996032418869069,314.42472811758273,178.1909301819742,1.764538339838522,0.7842392621504541,13.096153846153847,7.25,2.10183540556542,11.0,7,4,6,3,0,0,0,13,100.0,-0.062876076118074,-0.38558833646216156,0.3227122603440877,-26.61688147441824,-86.42717666846629,59.810295194048074,10,-0.37192826906379023,0.8932678179982533,0.20189905047476261
15m,ONEUSDT,13,1,6,7,46.15384615384615,0.2452518172072834,-0.3847265221878214,3.188273623694684,0.3606123126149359,58.6199213241964,-102.417582417582,762.0589772145531,78.6199213241964,1.7258280243123185,1.023813503168461,1.6856859369126198,37.234435577734324,1.4448736602108168,332.82561169665183,176.4135275664797,1.8866218270661232,1.617104423199534,16.403846153846153,15.25,1.7233560090702802,5.0,7,7,6,1,1,0,0,13,100.0,0.2452518172072834,0.8375995881055789,-0.5923477708982957,58.6199213241964,70.69450019456194,-12.074578870365533,9,-2.1303447023629682,0.8723187952309374,0.7861069465267366
15m,OPUSDT,15,1,1,14,6.666666666666667,-0.9077317082276796,-1.085611761774233,-13.615975623415194,-0.7783089557416178,-155.4168327445638,-147.833182230279,-2331.2524911684573,-135.4168327445638,0.4715671641791029,1.0062530562567356,0.4686367522035999,68.09035648192523,0.03347405372882857,156.79900744416798,177.71796418661606,0.8822912650491442,0.06302080464636743,15.833333333333334,9.5,1.8862785154919899,1.0,7,2,8,6,2,1,0,15,100.0,-0.9077317082276796,-0.4553182495198802,-0.4524134587077993,-155.4168327445638,-76.26527438751673,-79.15155835704708,12,-1.1719222982279127,0.27100875995130613,0.8360819590204898
15m,PENDLEUSDT,12,1,5,7,41.66666666666667,-0.018963069134515214,-0.7209911328948696,-0.22755682961418255,0.09965637446070308,88.30622197158158,-118.702370303339,1059.674663658979,108.30622197158156,1.4094085299921404,1.0392284970821264,1.3562065839701083,42.441100317911946,0.9687189885500774,434.5411795831774,159.00446203670114,2.732886700266797,1.952061928761998,13.1875,11.875,1.86521649064697,1.0,7,5,5,2,0,0,0,12,100.0,-0.018963069134515214,0.06523732452973097,-0.08420039366424614,88.30622197158158,9.784111722464909,78.5221102491167,10,-1.92519403136873,1.4146179742488334,0.5327336331834083
15m,PIEVERSEUSDT,9,1,1,8,11.11111111111111,-0.7414214040217986,-1.0803333333333347,-6.672792636196187,-0.6462019724431086,-170.08503528187214,-231.43164307471798,-1530.7653175368491,-150.0850352818721,1.3468936170212693,1.002460781652182,1.3435873419421143,42.66962797176174,0.16794841774276428,269.60817717206,225.04668683861362,1.1980099816595056,0.1497512477074382,9.083333333333334,9.25,2.3658718330849497,50.0,5,3,4,4,2,0,0,9,100.0,-0.7414214040217986,0.5235991488609136,-1.2650205528827123,-170.08503528187214,47.15099852032677,-217.23603380219888,5,-1.9326569778153813,-0.5210069920693677,0.9660169915042479
15m,PUMPUSDT,8,1,5,3,62.5,1.2879893341980657,0.8850438034188053,10.303914673584526,1.3475278867173046,425.12879716927614,318.2243420589285,3401.030377354209,445.12879716927614,2.6109907502076477,0.9170130258179038,2.847277712199179,25.992404884865472,4.745462853665298,861.430083992047,302.04001420200865,2.852039608950324,4.7533993482505394,28.21875,26.625,3.1524683070106194,10.5,6,5,2,1,0,0,0,8,100.0,1.2879893341980657,-0.3422238779657991,1.6302132121638646,425.12879716927614,-56.86746701209889,481.996264181375,6,-0.035223077584676465,2.708088301903083,0.10094952523738131
15m,SOLUSDT,12,1,2,10,16.666666666666664,-0.7725109844822734,-1.1403397195338771,-9.27013181378728,-0.61008300437812,-106.58733060930125,-125.22414695508101,-1279.047967311615,-86.58733060930125,0.7994665571975923,1.0869064928182464,0.7355430871745468,57.618851838936116,0.14710861743490936,113.6913662749455,150.64306998615058,0.7547069127401462,0.15094138254802925,12.833333333333334,9.0,1.30839861019848,5.0,6,3,6,4,1,0,0,12,100.0,-0.7725109844822734,0.175197759598226,-0.9477087440804994,-106.58733060930125,11.204051830508416,-117.79138243980965,12,-2.118831553904626,0.1832578746231156,0.9290354822588706
15m,UNIUSDT,22,1,3,19,13.636363636363635,-0.7227685025423057,-1.1127642166015939,-15.900907055930727,-0.5894787841535271,-129.56194640691385,-181.07042467872952,-2850.362820952105,-109.56194640691386,1.658795688244986,1.0988049537192464,1.5096361575639763,39.8464134725676,0.238363603825891,277.125775005706,193.7757971562749,1.4301361628883487,0.225810973087634,10.340909090909092,6.5,1.6773168207369251,9.5,10,4,12,7,1,0,0,22,100.0,-0.7227685025423057,0.20229781757961127,-0.9250663201219169,-129.56194640691385,30.689342896443595,-160.25128930335745,15,-1.8676974512511033,0.003164139032475142,0.9565217391304348
15m,USELESSUSDT,11,1,6,5,54.54545454545454,1.0169524308103777,0.5972903225806564,11.186476738914154,1.0775493031063137,472.5605348241583,165.76544315130002,5198.165883065742,492.5605348241584,2.5951615288738985,0.8768984868658475,2.9594777134915047,25.255856260854937,3.5513732561898057,1082.909275138087,259.8579535525558,4.167312411775269,5.0007748941303225,28.022727272727273,30.75,2.9810725552050403,4.0,10,8,1,4,2,0,0,11,100.0,1.0169524308103777,0.12134993458569472,0.8956024962246828,472.5605348241583,-35.798555254738176,508.35909007889654,8,-1.1855664565792838,3.1458279711148056,0.22138930534732634
15m,WIFUSDT,14,1,5,9,35.714285714285715,0.1373347920100354,-0.9372791014732753,1.9226870881404956,0.2293219442325049,71.08167669839985,-155.56945513710752,995.1434737775978,91.08167669839985,2.2428424170555945,1.0323916663486084,2.172472415423637,31.521156658078137,1.2069291196797982,676.0584568998668,265.0165345246374,2.551004819803108,1.4172248998906156,16.428571428571427,15.0,2.304460479034985,9.5,8,6,6,3,1,0,0,14,100.0,0.1373347920100354,-0.6756530962602055,0.8129878882702412,71.08167669839985,-175.56198927655637,246.64366597495618,12,-0.3570363459536808,2.311348831598235,0.13893053473263367
