visual_id,class,reason,reviewer
V0459,D,"compact recent core; late rise detached",budget-mapper-luna-max
V0460,D,"compact lines with late endpoint jump",budget-mapper-luna-max
V0461,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0462,D,"compact core with final upward jump",budget-mapper-luna-max
V0463,B,"fast/mid bundle with slow line below",budget-mapper-luna-max
V0464,N,"separated stack under rebound",budget-mapper-luna-max
V0465,N,"separated lines through rebound",budget-mapper-luna-max
V0466,B,"fast lines above slower cluster; late extension",budget-mapper-luna-max
V0467,D,"recent lines broadly compact; endpoint rebound detached",budget-mapper-luna-max
V0468,D,"compact lines with steady late staircase",budget-mapper-luna-max
V0469,P,"all six compact; candles hug bundle; fresh last-bar departure",budget-mapper-luna-max
V0470,B,"slow lines sit above fast/mid after rebound",budget-mapper-luna-max
V0471,B,"fast lines below slow cluster; no full bundle",budget-mapper-luna-max
V0472,D,"lines near recent core but rebound already detached",budget-mapper-luna-max
V0473,N,"widely separated lines under large rise",budget-mapper-luna-max
V0474,D,"compact lines with late rebound detached",budget-mapper-luna-max
V0475,N,"slow line separated below extended rise",budget-mapper-luna-max
V0476,N,"widely separated lines with endpoint jump",budget-mapper-luna-max
V0477,N,"no recent six-line convergence; extended rebound",budget-mapper-luna-max
V0478,B,"partial bundle with fast/slow spread",budget-mapper-luna-max
V0479,D,"compact recent core but five-bar rise already detached",budget-mapper-luna-max
V0480,N,"separated lines under extended rebound",budget-mapper-luna-max
V0481,N,"widely separated lines under large rebound",budget-mapper-luna-max
V0482,D,"compact lines with final endpoint jump",budget-mapper-luna-max
V0483,N,"separated lines under extended rise",budget-mapper-luna-max
V0484,D,"compact recent lines with late rise detached",budget-mapper-luna-max
V0485,D,"compact core but final spike detached",budget-mapper-luna-max
V0486,D,"compact lines with rebound already extended",budget-mapper-luna-max
V0487,D,"compact core but endpoint move is already extended",budget-mapper-luna-max
V0488,N,"widely separated lines with no recent bundle",budget-mapper-luna-max
V0489,B,"fast/mid cluster with slow line below",budget-mapper-luna-max
V0490,D,"lines near recent core; endpoint move detached",budget-mapper-luna-max
V0491,B,"partial bundle with fast/slow spread",budget-mapper-luna-max
V0492,N,"widely separated lines under rebound",budget-mapper-luna-max
V0493,N,"separated lines with large endpoint jump",budget-mapper-luna-max
V0494,B,"slow line remains above fast/mid cluster",budget-mapper-luna-max
V0495,D,"compact lines with final spike detached",budget-mapper-luna-max
V0496,B,"fast/slow spread after rebound",budget-mapper-luna-max
V0497,N,"widely separated lines through rebound",budget-mapper-luna-max
V0498,B,"fast pair above slower lines; late rise",budget-mapper-luna-max
V0499,B,"fast line above slow cluster; established rise",budget-mapper-luna-max
V0500,B,"partial bundle with slow lines offset",budget-mapper-luna-max
V0501,D,"compact bundle but endpoint rise follows prior extension",budget-mapper-luna-max
V0502,D,"compact bundle with multi-bar staircase already extended",budget-mapper-luna-max
V0503,D,"compact recent core with abrupt endpoint rise",budget-mapper-luna-max
V0504,N,"widely separated lines under rebound",budget-mapper-luna-max
V0505,D,"compact lines with endpoint rebound detached",budget-mapper-luna-max
V0506,B,"fast/mid cluster with slow spread",budget-mapper-luna-max
V0507,B,"fast lines above lagging slow pair; late extension",budget-mapper-luna-max
V0508,D,"recent lines broadly compact; late rise detached",budget-mapper-luna-max
V0509,B,"fast/purple pair below elevated blue line",budget-mapper-luna-max
V0510,D,"compact recent core with large rebound",budget-mapper-luna-max
V0511,D,"compact lines with late staircase",budget-mapper-luna-max
V0512,B,"fast lines below slow cluster; no full bundle",budget-mapper-luna-max
V0513,D,"recent compact core with endpoint rise",budget-mapper-luna-max
V0514,B,"fast/mid versus slow spread after rebound",budget-mapper-luna-max
V0515,B,"blue line elevated above fast/slow pair",budget-mapper-luna-max
V0516,D,"compact lines with late rise detached",budget-mapper-luna-max
V0517,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0518,B,"partial bundle; purple/blue remain offset",budget-mapper-luna-max
V0519,N,"separated lines under rebound",budget-mapper-luna-max
V0520,D,"lines near recent core with late rise detached",budget-mapper-luna-max
V0521,N,"separated lines under large rebound",budget-mapper-luna-max
V0522,B,"fast/mid cluster with slow lines offset",budget-mapper-luna-max
V0523,N,"widely separated lines under rebound",budget-mapper-luna-max
V0524,D,"compact lines with endpoint pullback",budget-mapper-luna-max
V0525,N,"separated lines under extended rise",budget-mapper-luna-max
V0526,B,"partial bundle with slow lines offset",budget-mapper-luna-max
V0527,B,"fast/mid cluster with slow lines offset; late extension",budget-mapper-luna-max
V0528,D,"compact core with late staircase detached",budget-mapper-luna-max
V0529,B,"fast pair above slow cluster; late rise",budget-mapper-luna-max
V0530,N,"widely separated lines under rebound",budget-mapper-luna-max
V0531,D,"compact core but choppy prior movement; no clean launch",budget-mapper-luna-max
V0532,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0533,N,"separated lines under extended rise",budget-mapper-luna-max
V0534,N,"widely separated lines under rebound",budget-mapper-luna-max
V0535,N,"widely separated lines under rebound",budget-mapper-luna-max
V0536,N,"separated lines under rebound",budget-mapper-luna-max
V0537,N,"separated lines under large rebound",budget-mapper-luna-max
V0538,N,"widely spread lines with endpoint spike",budget-mapper-luna-max
V0539,D,"compact lines but choppy prior movement; no clean launch",budget-mapper-luna-max
V0540,D,"compact bundle with five-bar rise already extended",budget-mapper-luna-max
V0541,D,"compact recent core with late rise detached",budget-mapper-luna-max
V0542,D,"compact lines with sharp endpoint rebound",budget-mapper-luna-max
V0543,D,"compact recent core with late rise detached",budget-mapper-luna-max
V0544,D,"compact lines with multi-bar endpoint rise",budget-mapper-luna-max
V0545,N,"widely separated lines under rebound",budget-mapper-luna-max
V0546,N,"separated lines under rebound",budget-mapper-luna-max
V0547,N,"widely separated lines with established rise",budget-mapper-luna-max
V0548,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0549,D,"compact recent core with endpoint rise detached",budget-mapper-luna-max
V0550,D,"compact core with late rise already detached",budget-mapper-luna-max
V0551,B,"partial bundle with slow line offset",budget-mapper-luna-max
V0552,B,"fast/mid above slow pair; late rise",budget-mapper-luna-max
V0553,N,"separated lines under rebound",budget-mapper-luna-max
V0554,B,"fast/mid above slow cluster; rebound",budget-mapper-luna-max
V0555,D,"compact core with final endpoint jump",budget-mapper-luna-max
V0556,D,"compact lines with final step detached",budget-mapper-luna-max
V0557,D,"compact core with late multi-bar rise",budget-mapper-luna-max
V0558,N,"widely separated lines under rebound",budget-mapper-luna-max
V0559,N,"no recent full convergence; endpoint spike",budget-mapper-luna-max
V0560,N,"separated lines under extended rebound",budget-mapper-luna-max
V0561,N,"widely separated lines under rebound",budget-mapper-luna-max
V0562,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0563,D,"compact core but prior endpoint movement is choppy",budget-mapper-luna-max
V0564,D,"compact lines with sharp endpoint rebound",budget-mapper-luna-max
V0565,N,"widely separated lines under rebound",budget-mapper-luna-max
V0566,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0567,D,"compact recent core with late rise detached",budget-mapper-luna-max
V0568,N,"separated lines under rebound",budget-mapper-luna-max
V0569,D,"compact lines with choppy endpoint rise",budget-mapper-luna-max
V0570,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0571,N,"separated lines under rebound",budget-mapper-luna-max
V0572,B,"fast/mid above slow pair; late rise",budget-mapper-luna-max
V0573,D,"compact recent core with endpoint rise",budget-mapper-luna-max
V0574,B,"partial bundle with slow lines offset",budget-mapper-luna-max
V0575,N,"widely separated lines under rebound",budget-mapper-luna-max
V0576,D,"compact core with late rise detached",budget-mapper-luna-max
V0577,D,"compact lines with endpoint rise detached",budget-mapper-luna-max
V0578,N,"widely separated lines under rebound",budget-mapper-luna-max
V0579,D,"compact recent core with final rise",budget-mapper-luna-max
V0580,B,"fast lines above slow cluster; late rise",budget-mapper-luna-max
V0581,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0582,B,"fast lines above slow cluster",budget-mapper-luna-max
V0583,D,"compact core with multi-bar endpoint rise",budget-mapper-luna-max
V0584,N,"separated lines under rebound",budget-mapper-luna-max
V0585,N,"no recent full convergence; extended rebound",budget-mapper-luna-max
V0586,B,"fast line above slower cluster; endpoint rise",budget-mapper-luna-max
V0587,N,"widely separated lines under rebound",budget-mapper-luna-max
V0588,N,"widely separated lines with endpoint rebound",budget-mapper-luna-max
V0589,N,"separated lines under extended rebound",budget-mapper-luna-max
V0590,D,"compact core with multi-bar endpoint rise",budget-mapper-luna-max
V0591,B,"slow line above fast/mid cluster",budget-mapper-luna-max
V0592,D,"compact lines with endpoint rebound detached",budget-mapper-luna-max
V0593,B,"fast/slow spread with endpoint rise",budget-mapper-luna-max
V0594,D,"compact lines with endpoint spike",budget-mapper-luna-max
V0595,D,"compact recent core with final rise detached",budget-mapper-luna-max
V0596,D,"compact lines with multi-bar endpoint rise",budget-mapper-luna-max
V0597,D,"compact core with late endpoint rise",budget-mapper-luna-max
V0598,D,"compact lines with endpoint rise and pullback",budget-mapper-luna-max
V0599,D,"compact core with late rise detached",budget-mapper-luna-max
V0600,B,"fast pair above slower cluster",budget-mapper-luna-max
V0601,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0602,B,"fast pair below slower cluster; rebound",budget-mapper-luna-max
V0603,N,"widely separated lines under rebound",budget-mapper-luna-max
V0604,B,"partial bundle with slow offset",budget-mapper-luna-max
V0605,B,"fast/mid versus slow spread",budget-mapper-luna-max
V0606,N,"widely separated lines under rebound",budget-mapper-luna-max
V0607,B,"fast/mid cluster with slow offset; late rise",budget-mapper-luna-max
V0608,D,"compact recent core with endpoint rise",budget-mapper-luna-max
V0609,B,"fast pair above slow line; late rise",budget-mapper-luna-max
V0610,D,"compact lines with sharp endpoint spike",budget-mapper-luna-max
V0611,D,"compact recent core with multi-bar rise",budget-mapper-luna-max
V0612,D,"compact lines with late rebound detached",budget-mapper-luna-max
V0613,D,"compact core with sharp endpoint rise",budget-mapper-luna-max
V0614,D,"compact lines with endpoint rise detached",budget-mapper-luna-max
V0615,D,"compact core with final rise detached",budget-mapper-luna-max
V0616,D,"compact lines with multi-bar rise",budget-mapper-luna-max
V0617,N,"widely separated lines under rebound",budget-mapper-luna-max
V0618,N,"separated lines under extended rise",budget-mapper-luna-max
V0619,D,"compact lines with endpoint rebound",budget-mapper-luna-max
V0620,D,"compact lines with late rise detached",budget-mapper-luna-max
V0621,N,"separated lines under rebound",budget-mapper-luna-max
V0622,N,"separated lines under extended rise",budget-mapper-luna-max
V0623,D,"compact recent core with late rise",budget-mapper-luna-max
V0624,B,"fast/mid cluster with slow line below",budget-mapper-luna-max
V0625,D,"compact core but endpoint rise already detached",budget-mapper-luna-max
V0626,D,"compact lines with endpoint pullback",budget-mapper-luna-max
V0627,N,"widely separated lines under rebound",budget-mapper-luna-max
V0628,D,"compact core with sharp endpoint rise",budget-mapper-luna-max
V0629,D,"compact lines with final rise detached",budget-mapper-luna-max
V0630,N,"separated lines under rebound",budget-mapper-luna-max
V0631,D,"compact core with endpoint spike and pullback",budget-mapper-luna-max
V0632,D,"compact recent core with late rise",budget-mapper-luna-max
V0633,D,"compact lines with endpoint rise and pullback",budget-mapper-luna-max
V0634,B,"fast lines below slow cluster",budget-mapper-luna-max
V0635,B,"fast pair above slower lines; late rise",budget-mapper-luna-max
V0636,N,"widely separated lines under rebound",budget-mapper-luna-max
V0637,D,"compact core with late rise detached",budget-mapper-luna-max
V0638,D,"compact lines with endpoint rise detached",budget-mapper-luna-max
V0639,B,"partial bundle with slow offset",budget-mapper-luna-max
V0640,N,"widely separated lines under rebound",budget-mapper-luna-max
V0641,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0642,B,"fast/mid cluster with slow line below",budget-mapper-luna-max
V0643,D,"compact recent core with late rise detached",budget-mapper-luna-max
V0644,D,"compact lines with multi-bar endpoint rise",budget-mapper-luna-max
V0645,N,"widely separated lines under rebound",budget-mapper-luna-max
V0646,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0647,D,"compact core with late rise detached",budget-mapper-luna-max
V0648,B,"fast/mid cluster with slow line offset",budget-mapper-luna-max
V0649,D,"compact lines with final rise detached",budget-mapper-luna-max
V0650,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0651,N,"widely separated lines under rebound",budget-mapper-luna-max
V0652,N,"separated lines under extended rise",budget-mapper-luna-max
V0653,N,"widely separated lines under rebound",budget-mapper-luna-max
V0654,N,"widely separated lines under rebound",budget-mapper-luna-max
V0655,N,"separated lines under rebound",budget-mapper-luna-max
V0656,D,"compact core with endpoint rise detached",budget-mapper-luna-max
V0657,N,"separated lines under rebound",budget-mapper-luna-max
V0658,N,"widely separated lines under rebound",budget-mapper-luna-max
V0659,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0660,D,"compact core with late rise detached",budget-mapper-luna-max
V0661,D,"compact lines with endpoint rise detached",budget-mapper-luna-max
V0662,B,"fast/mid cluster with slow line offset",budget-mapper-luna-max
V0663,D,"compact core with endpoint pullback",budget-mapper-luna-max
V0664,B,"fast/purple pair with elevated blue line",budget-mapper-luna-max
V0665,D,"compact core with late rise detached",budget-mapper-luna-max
V0666,D,"compact lines with endpoint rise detached",budget-mapper-luna-max
V0667,B,"partial bundle with slow offset",budget-mapper-luna-max
V0668,B,"fast lines below slower cluster",budget-mapper-luna-max
V0669,D,"compact core with endpoint rise",budget-mapper-luna-max
V0670,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0671,D,"compact recent core with late rise",budget-mapper-luna-max
V0672,B,"fast pair above slower cluster",budget-mapper-luna-max
V0673,D,"compact lines with endpoint rebound",budget-mapper-luna-max
V0674,B,"fast line above slow pair; extended rise",budget-mapper-luna-max
V0675,D,"compact core with endpoint pullback",budget-mapper-luna-max
V0676,B,"partial bundle with slow offset",budget-mapper-luna-max
V0677,D,"compact lines with late staircase",budget-mapper-luna-max
V0678,B,"fast/slow spread at endpoint",budget-mapper-luna-max
V0679,D,"compact core with late rise detached",budget-mapper-luna-max
V0680,N,"separated lines under rebound",budget-mapper-luna-max
V0681,D,"compact core with late rise detached",budget-mapper-luna-max
V0682,B,"fast/purple pair above blue line",budget-mapper-luna-max
V0683,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0684,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0685,D,"compact core with endpoint rise detached",budget-mapper-luna-max
V0686,D,"compact lines with sharp endpoint spike",budget-mapper-luna-max
V0687,D,"compact core with final rise",budget-mapper-luna-max
V0688,B,"fast pair above slower blue line",budget-mapper-luna-max
V0689,D,"compact lines with endpoint rise detached",budget-mapper-luna-max
V0690,N,"widely separated lines under rebound",budget-mapper-luna-max
V0691,D,"compact core with late rise detached",budget-mapper-luna-max
V0692,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0693,N,"widely separated lines under rebound",budget-mapper-luna-max
V0694,N,"widely separated lines with fast/slow split",budget-mapper-luna-max
V0695,D,"compact core with endpoint spike",budget-mapper-luna-max
V0696,D,"compact lines with late rise detached",budget-mapper-luna-max
V0697,N,"separated lines under rebound",budget-mapper-luna-max
V0698,N,"widely separated lines with slow pair above",budget-mapper-luna-max
V0699,N,"separated lines under extended rebound",budget-mapper-luna-max
V0700,N,"widely separated lines under rebound",budget-mapper-luna-max
V0701,D,"compact core with endpoint rise",budget-mapper-luna-max
V0702,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0703,B,"fast lines above slow cluster",budget-mapper-luna-max
V0704,D,"compact lines with endpoint jump",budget-mapper-luna-max
V0705,D,"compact core with endpoint pullback",budget-mapper-luna-max
V0706,D,"compact lines with endpoint pullback",budget-mapper-luna-max
V0707,B,"fast/mid below elevated slow line",budget-mapper-luna-max
V0708,N,"widely separated lines under rebound",budget-mapper-luna-max
V0709,D,"compact core with late rise detached",budget-mapper-luna-max
V0710,D,"compact lines with final rise",budget-mapper-luna-max
V0711,N,"widely separated lines under rebound",budget-mapper-luna-max
V0712,D,"compact core with endpoint pullback",budget-mapper-luna-max
V0713,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0714,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0715,B,"fast lines above slow cluster",budget-mapper-luna-max
V0716,N,"separated lines under rebound",budget-mapper-luna-max
V0717,D,"compact core with endpoint rise detached",budget-mapper-luna-max
V0718,B,"fast/slow spread at endpoint",budget-mapper-luna-max
V0719,N,"separated lines under extended rebound",budget-mapper-luna-max
V0720,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0721,D,"compact lines with endpoint rebound",budget-mapper-luna-max
V0722,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0723,N,"widely separated lines under rebound",budget-mapper-luna-max
V0724,B,"fast/mid versus slow spread",budget-mapper-luna-max
V0725,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0726,D,"compact core with endpoint spike",budget-mapper-luna-max
V0727,D,"compact lines with late rise",budget-mapper-luna-max
V0728,D,"compact core with endpoint rise detached",budget-mapper-luna-max
V0729,D,"compact lines with endpoint pullback",budget-mapper-luna-max
V0730,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0731,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0732,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0733,B,"fast lines above slow cluster",budget-mapper-luna-max
V0734,N,"widely separated lines under rebound",budget-mapper-luna-max
V0735,B,"fast/mid above slow line; extended rise",budget-mapper-luna-max
V0736,D,"compact lines with sharp endpoint rise",budget-mapper-luna-max
V0737,D,"compact core with endpoint pullback",budget-mapper-luna-max
V0738,B,"fast lines above slower cluster",budget-mapper-luna-max
V0739,D,"compact lines with final rise",budget-mapper-luna-max
V0740,B,"fast lines below elevated slow cluster",budget-mapper-luna-max
V0741,N,"widely separated lines under rebound",budget-mapper-luna-max
V0742,D,"compact core with endpoint rise",budget-mapper-luna-max
V0743,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0744,D,"compact recent core with late rise",budget-mapper-luna-max
V0745,B,"fast lines below slow cluster",budget-mapper-luna-max
V0746,N,"widely separated lines under rebound",budget-mapper-luna-max
V0747,D,"compact core with final rise",budget-mapper-luna-max
V0748,D,"compact lines with endpoint spike",budget-mapper-luna-max
V0749,D,"compact core with endpoint pullback",budget-mapper-luna-max
V0750,N,"widely separated lines under rebound",budget-mapper-luna-max
V0751,B,"fast pair above slow line",budget-mapper-luna-max
V0752,B,"fast/mid above slow cluster",budget-mapper-luna-max
V0753,N,"separated lines under rebound",budget-mapper-luna-max
V0754,D,"compact recent core with endpoint rise",budget-mapper-luna-max
V0755,B,"partial bundle with slow offset",budget-mapper-luna-max
V0756,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0757,B,"fast/mid above slower cluster",budget-mapper-luna-max
V0758,B,"fast/mid above slow cluster",budget-mapper-luna-max
V0759,B,"partial bundle with slow offset",budget-mapper-luna-max
V0760,B,"fast/purple above blue line",budget-mapper-luna-max
V0761,D,"compact core with late rise detached",budget-mapper-luna-max
V0762,B,"fast lines below slow cluster",budget-mapper-luna-max
V0763,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0764,B,"fast/mid cluster with slow line offset",budget-mapper-luna-max
V0765,D,"compact core with endpoint pullback",budget-mapper-luna-max
V0766,N,"widely separated lines under rebound",budget-mapper-luna-max
V0767,N,"widely separated lines under extended rise",budget-mapper-luna-max
V0768,N,"separated lines under rebound",budget-mapper-luna-max
V0769,D,"compact core with endpoint rebound",budget-mapper-luna-max
V0770,N,"widely separated lines under rebound",budget-mapper-luna-max
V0771,B,"fast/mid cluster with slow line below",budget-mapper-luna-max
V0772,D,"compact lines with endpoint pullback",budget-mapper-luna-max
V0773,D,"compact core with endpoint rise",budget-mapper-luna-max
V0774,N,"separated lines under rebound",budget-mapper-luna-max
V0775,N,"widely separated lines under rebound",budget-mapper-luna-max
V0776,B,"fast lines below elevated slow cluster",budget-mapper-luna-max
V0777,B,"fast/mid cluster with slow line offset",budget-mapper-luna-max
V0778,N,"widely separated lines under rebound",budget-mapper-luna-max
V0779,N,"widely separated lines under rebound",budget-mapper-luna-max
V0780,N,"separated lines under rebound",budget-mapper-luna-max
V0781,N,"widely separated lines under rebound",budget-mapper-luna-max
V0782,D,"compact core with endpoint rise",budget-mapper-luna-max
V0783,B,"fast/mid above slow line",budget-mapper-luna-max
V0784,D,"compact core with extended endpoint rise",budget-mapper-luna-max
V0785,B,"fast line above slower cluster",budget-mapper-luna-max
V0786,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0787,D,"compact core with endpoint rise",budget-mapper-luna-max
V0788,B,"fast/slow spread at endpoint",budget-mapper-luna-max
V0789,D,"compact core with late rise detached",budget-mapper-luna-max
V0790,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0791,D,"compact core with rebound already detached",budget-mapper-luna-max
V0792,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0793,N,"separated lines under rebound",budget-mapper-luna-max
V0794,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0795,B,"fast/purple pair with elevated blue line",budget-mapper-luna-max
V0796,D,"compact core with endpoint rise",budget-mapper-luna-max
V0797,B,"fast/mid cluster with slow offset",budget-mapper-luna-max
V0798,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0799,D,"compact core with late rise detached",budget-mapper-luna-max
V0800,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0801,N,"widely separated lines under rebound",budget-mapper-luna-max
V0802,B,"fast pair above slower cluster",budget-mapper-luna-max
V0803,D,"compact core with endpoint pullback",budget-mapper-luna-max
V0804,N,"widely separated lines under rebound",budget-mapper-luna-max
V0805,D,"compact lines with endpoint rise",budget-mapper-luna-max
V0001,N,"widely separated MA families at endpoint",budget-mapper-luna-max
V0002,B,"partial fast/mid convergence with slow spread",budget-mapper-luna-max
V0003,D,"compact lines but late stair-step extension",budget-mapper-luna-max
V0004,B,"partial cluster with slow-line offset",budget-mapper-luna-max
V0005,B,"partial fast/mid cluster with slow spread",budget-mapper-luna-max
V0006,D,"compact recent core after late price spike",budget-mapper-luna-max
V0007,D,"compact core but endpoint rise already extended",budget-mapper-luna-max
V0008,D,"compact lines with late endpoint rise",budget-mapper-luna-max
V0009,B,"partial convergence with slow-line spread",budget-mapper-luna-max
V0010,D,"compact core with choppy endpoint jump",budget-mapper-luna-max
V0011,N,"separated lines under rebound",budget-mapper-luna-max
V0012,D,"compact core with late endpoint rise",budget-mapper-luna-max
V0013,N,"widely separated lines in established trend",budget-mapper-luna-max
V0014,D,"compact core with multi-bar endpoint rise",budget-mapper-luna-max
V0015,B,"partial convergence with slow-line spread",budget-mapper-luna-max
V0016,N,"widely separated lines in established trend",budget-mapper-luna-max
