asset,phase,gate,threshold,events,mean_net_bp,profit_factor,win_rate,acceptance_rate,registered_result,evidence_role
ETH,selection,ma_side_flips24_max,6.0,151,-14.41857292710398,0.74890822971755,0.2119205298013245,0.937888198757764,False,postmortem_sensitivity_not_validation
ETH,audit,fee_to_risk_max,0.2,43,16.3211497365577,1.1522960952282995,0.23255813953488372,0.42574257425742573,False,postmortem_sensitivity_not_validation
ETH,audit,fee_to_risk_max,0.35,91,7.582029451798992,1.0883234437971492,0.23076923076923078,0.900990099009901,False,postmortem_sensitivity_not_validation
ETH,audit,fee_to_risk_max,0.5,101,5.476006241360779,1.0659355082776432,0.22772277227722773,1.0,False,postmortem_sensitivity_not_validation
ETH,audit,fee_to_risk_max,0.8,101,5.476006241360779,1.0659355082776432,0.22772277227722773,1.0,False,postmortem_sensitivity_not_validation
ETH,audit,regime_age_max,24.0,18,-29.683031525423228,0.6877362767425814,0.2222222222222222,0.1782178217821782,False,postmortem_sensitivity_not_validation
ETH,audit,regime_age_max,48.0,42,-53.051228833249624,0.46252768471294126,0.16666666666666666,0.4158415841584158,False,postmortem_sensitivity_not_validation
ETH,audit,regime_age_max,96.0,72,7.246260240458126,1.0816997707629656,0.2361111111111111,0.7128712871287128,False,postmortem_sensitivity_not_validation
ETH,audit,efficiency24_min,0.1,28,40.75893848062179,1.5367667786131032,0.32142857142857145,0.27722772277227725,False,postmortem_sensitivity_not_validation
ETH,audit,efficiency24_min,0.15,20,62.27750186555061,1.8714644680413692,0.35,0.19801980198019803,False,postmortem_sensitivity_not_validation
ETH,audit,efficiency24_min,0.2,8,55.93477936134589,1.832154025288841,0.375,0.07920792079207921,False,postmortem_sensitivity_not_validation
ETH,audit,ma_side_flips24_max,2.0,51,31.497434332512253,1.4082578968225254,0.2549019607843137,0.504950495049505,False,postmortem_sensitivity_not_validation
ETH,audit,ma_side_flips24_max,4.0,82,8.063502836540472,1.0949916049389758,0.23170731707317074,0.8118811881188119,False,postmortem_sensitivity_not_validation
ETH,audit,ma_side_flips24_max,6.0,95,9.2175027401072,1.1103364953225878,0.23157894736842105,0.9405940594059405,False,postmortem_sensitivity_not_validation
ETH,confirmation,fee_to_risk_max,0.2,6,-94.43699823307034,0.195114366235554,0.16666666666666666,0.3157894736842105,False,postmortem_sensitivity_not_validation
ETH,confirmation,fee_to_risk_max,0.35,16,-81.89185167033231,0.09488381803385991,0.0625,0.8421052631578947,False,postmortem_sensitivity_not_validation
ETH,confirmation,fee_to_risk_max,0.5,18,-79.24469814815866,0.08783713529725247,0.05555555555555555,0.9473684210526315,False,postmortem_sensitivity_not_validation
ETH,confirmation,fee_to_risk_max,0.8,18,-79.24469814815866,0.08783713529725247,0.05555555555555555,0.9473684210526315,False,postmortem_sensitivity_not_validation
ETH,confirmation,regime_age_max,24.0,2,-120.06303941186701,0.0,0.0,0.10526315789473684,False,postmortem_sensitivity_not_validation
ETH,confirmation,regime_age_max,48.0,7,-108.29351444820013,0.0,0.0,0.3684210526315789,False,postmortem_sensitivity_not_validation
ETH,confirmation,regime_age_max,96.0,9,-107.4413043442099,0.0,0.0,0.47368421052631576,False,postmortem_sensitivity_not_validation
ETH,confirmation,efficiency24_min,0.1,6,-102.46001636388266,0.0,0.0,0.3157894736842105,False,postmortem_sensitivity_not_validation
ETH,confirmation,efficiency24_min,0.15,3,-98.14011579049134,0.0,0.0,0.15789473684210525,False,postmortem_sensitivity_not_validation
ETH,confirmation,efficiency24_min,0.2,1,-145.488296790872,0.0,0.0,0.05263157894736842,False,postmortem_sensitivity_not_validation
ETH,confirmation,ma_side_flips24_max,2.0,11,-70.155788553837,0.15109538372059428,0.09090909090909091,0.5789473684210527,False,postmortem_sensitivity_not_validation
ETH,confirmation,ma_side_flips24_max,4.0,16,-70.0431207763365,0.10918221593722027,0.0625,0.8421052631578947,False,postmortem_sensitivity_not_validation
ETH,confirmation,ma_side_flips24_max,6.0,19,-77.26016753542973,0.08556426772386978,0.05263157894736842,1.0,False,postmortem_sensitivity_not_validation
XAU,selection,fee_to_risk_max,0.2,0,,,,0.0,False,postmortem_sensitivity_not_validation
XAU,selection,fee_to_risk_max,0.35,0,,,,0.0,False,postmortem_sensitivity_not_validation
XAU,selection,fee_to_risk_max,0.5,2,-42.7214110952405,0.0,0.0,0.058823529411764705,False,postmortem_sensitivity_not_validation
XAU,selection,fee_to_risk_max,0.8,10,-5.8826870870729,0.7636032596479482,0.3,0.29411764705882354,False,postmortem_sensitivity_not_validation
XAU,selection,regime_age_max,24.0,8,-40.14564713717613,0.0,0.0,0.23529411764705882,False,postmortem_sensitivity_not_validation
XAU,selection,regime_age_max,48.0,14,-31.099139881684142,0.042858070763714735,0.14285714285714285,0.4117647058823529,False,postmortem_sensitivity_not_validation
XAU,selection,regime_age_max,96.0,25,-24.30820046340128,0.15216592106895693,0.12,0.7352941176470589,False,postmortem_sensitivity_not_validation
XAU,selection,efficiency24_min,0.1,16,-15.992734830111562,0.4261473038626426,0.1875,0.47058823529411764,False,postmortem_sensitivity_not_validation
