持仓编号,成交类型,成交时间北京时间,成交价,方向正多负空,原仓位比例,归一化BTC数量,毛收益占原始名义比例,成本占原始名义比例,成交后剩余原仓位比例
9,partial_exit,2024-09-30 21:00:00+08:00,64043.2,-1,0.25,3.86423848225078e-06,0.0025218020335168,0.00025,0.75
9,partial_exit,2024-10-02 09:00:00+08:00,61042.5,-1,0.25,3.86423848225078e-06,0.0141172224472067,0.00025,0.5
9,partial_exit,2024-10-03 00:00:00+08:00,61864.0,-1,0.25,3.86423848225078e-06,0.0109427505340377,0.00025,0.25
9,partial_exit,2024-10-10 14:00:00+08:00,60930.4,-1,0.25,3.86423848225078e-06,0.014550403581067,0.00025,0.0
10,entry,2024-10-21 11:00:00+08:00,68740.1,-1,1.0,1.4547549392567074e-05,0.0,0.001,1.0
10,partial_exit,2024-10-22 04:00:00+08:00,67752.7,-1,0.25,3.636887348141769e-06,0.0035910625675552,0.00025,0.75
10,partial_exit,2024-10-24 04:00:00+08:00,66490.2,-1,0.25,3.636887348141769e-06,0.0081826328445841,0.00025,0.5
10,partial_exit,2024-11-01 13:00:00+08:00,69600.0,-1,0.25,3.636887348141769e-06,-0.003127359430667,0.00025,0.25
10,partial_exit,2024-11-03 19:00:00+08:00,68437.5,-1,0.25,3.636887348141769e-06,0.0011005221115477,0.00025,0.0
11,entry,2024-11-12 11:00:00+08:00,87764.3,-1,1.0,1.1394154570822075e-05,0.0,0.001,1.0
11,partial_exit,2024-11-25 05:00:00+08:00,96836.3,-1,0.25,2.8485386427055193e-06,-0.0258419425666244,0.00025,0.75
11,partial_exit,2024-11-26 14:00:00+08:00,94668.0,-1,0.25,2.8485386427055193e-06,-0.019665456227646,0.00025,0.5
11,partial_exit,2024-12-18 18:00:00+08:00,104030.0,-1,0.25,2.8485386427055193e-06,-0.0463334750006551,0.00025,0.25
11,partial_exit,2024-12-19 14:00:00+08:00,101285.8,-1,0.25,2.8485386427055193e-06,-0.0385165152573426,0.00025,0.0
12,entry,2025-01-07 11:00:00+08:00,101672.1,-1,1.0,9.835539936718137e-06,0.0,0.001,1.0
12,partial_exit,2025-01-08 07:00:00+08:00,97156.1,-1,0.25,2.4588849841795337e-06,0.0111043245885547,0.00025,0.75
12,partial_exit,2025-01-09 07:00:00+08:00,95279.9,-1,0.25,2.4588849841795337e-06,0.0157176845958724,0.00025,0.5
12,partial_exit,2025-01-10 00:00:00+08:00,94242.8,-1,0.25,2.4588849841795337e-06,0.018267794212965,0.00025,0.25
12,partial_exit,2025-01-14 00:00:00+08:00,92126.1,-1,0.25,2.4588849841795337e-06,0.0234725160589778,0.00025,0.0
13,entry,2025-02-27 09:00:00+08:00,84732.4,1,1.0,1.180186091742946e-05,0.0,0.001,1.0
13,partial_exit,2025-03-03 13:00:00+08:00,92867.7,1,0.25,2.9504652293573652e-06,0.0240029197803909,0.00025,0.75
13,partial_exit,2025-03-05 23:00:00+08:00,88524.1,1,0.25,2.9504652293573652e-06,0.0111872790101543,0.00025,0.5
13,partial_exit,2025-03-06 16:00:00+08:00,91360.0,1,0.25,2.9504652293573652e-06,0.0195545033540888,0.00025,0.25
13,partial_exit,2025-03-15 04:00:00+08:00,84557.9,1,0.25,2.9504652293573652e-06,-0.0005148561825228,0.00025,0.0
14,entry,2025-07-03 05:00:00+08:00,109089.2,-1,1.0,9.16681028002772e-06,0.0,0.001,1.0
14,partial_exit,2025-07-05 05:00:00+08:00,107642.1,-1,0.25,2.2917025700069302e-06,0.003316322789057,0.00025,0.75
14,partial_exit,2025-07-15 19:00:00+08:00,117124.4,-1,0.25,2.2917025700069302e-06,-0.0184142884905196,0.00025,0.5
14,partial_exit,2025-07-25 18:00:00+08:00,116048.3,-1,0.25,2.2917025700069302e-06,-0.0159481873549352,0.00025,0.25
14,partial_exit,2025-08-01 13:00:00+08:00,115644.4,-1,0.25,2.2917025700069302e-06,-0.0150225686869094,0.00025,0.0
15,entry,2025-08-14 10:00:00+08:00,123404.8,-1,1.0,8.103412509075821e-06,0.0,0.001,1.0
15,partial_exit,2025-08-15 07:00:00+08:00,118242.9,-1,0.25,2.0258531272689553e-06,0.0104572512576496,0.00025,0.75
15,partial_exit,2025-08-16 07:00:00+08:00,117638.6,-1,0.25,2.0258531272689553e-06,0.0116814743024582,0.00025,0.5
15,partial_exit,2025-08-18 21:00:00+08:00,115483.7,-1,0.25,2.0258531272689553e-06,0.0160469852064101,0.00025,0.25
15,partial_exit,2025-08-20 09:00:00+08:00,113162.1,-1,0.25,2.0258531272689553e-06,0.0207502058266777,0.00025,0.0
16,entry,2025-09-05 05:00:00+08:00,110353.5,1,1.0,9.061787800115086e-06,0.0,0.001,1.0
16,partial_exit,2025-09-05 23:00:00+08:00,110543.5,1,0.25,2.2654469500287714e-06,0.0004304349205054,0.00025,0.75
16,partial_exit,2025-09-09 04:00:00+08:00,112072.5,1,0.25,2.2654469500287714e-06,0.0038943033070994,0.00025,0.5
16,partial_exit,2025-09-11 16:00:00+08:00,114040.0,1,0.25,2.2654469500287714e-06,0.008351570181281,0.00025,0.25
16,partial_exit,2025-09-12 12:00:00+08:00,115143.1,1,0.25,2.2654469500287714e-06,0.0108505847118578,0.00025,0.0
17,entry,2025-09-13 06:00:00+08:00,115791.4,-1,1.0,8.636219961067921e-06,0.0,0.001,1.0
17,partial_exit,2025-09-20 01:00:00+08:00,116024.6,-1,0.25,2.1590549902669803e-06,-0.0005034916237302,0.00025,0.75
17,partial_exit,2025-09-20 07:00:00+08:00,115561.0,-1,0.25,2.1590549902669803e-06,0.0004974462697574,0.00025,0.5
17,partial_exit,2025-09-22 20:00:00+08:00,112808.5,-1,0.25,2.1590549902669803e-06,0.0064402451304673,0.00025,0.25
17,partial_exit,2025-09-25 23:00:00+08:00,111475.4,-1,0.25,2.1590549902669803e-06,0.0093184813379922,0.00025,0.0
18,entry,2025-09-26 10:00:00+08:00,109635.8,1,1.0,9.121108251136946e-06,0.0,0.001,1.0
18,partial_exit,2025-09-29 11:00:00+08:00,111710.9,1,0.25,2.2802770627842365e-06,0.0047318029329835,0.00025,0.75
18,partial_exit,2025-09-30 12:00:00+08:00,114328.0,1,0.25,2.2802770627842365e-06,0.0106995160339961,0.00025,0.5
18,partial_exit,2025-10-02 02:00:00+08:00,116749.1,1,0.25,2.2802770627842365e-06,0.0162202948307031,0.00025,0.25
18,partial_exit,2025-10-02 19:00:00+08:00,118594.1,1,0.25,2.2802770627842365e-06,0.02042740601154,0.00025,0.0
19,entry,2025-10-03 09:00:00+08:00,120096.6,-1,1.0,8.326630395864663e-06,0.0,0.001,1.0
19,partial_exit,2025-10-08 09:00:00+08:00,121859.8,-1,0.25,2.0816575989661656e-06,-0.0036703786784971,0.00025,0.75
19,partial_exit,2025-10-11 11:00:00+08:00,113157.3,-1,0.25,2.0816575989661656e-06,0.0144452465765059,0.00025,0.5
19,partial_exit,2025-10-12 12:00:00+08:00,110654.1,-1,0.25,2.0816575989661656e-06,0.019656051878238,0.00025,0.25
19,partial_exit,2025-10-14 23:00:00+08:00,111374.9,-1,0.25,2.0816575989661656e-06,0.0181555930809032,0.00025,0.0
20,entry,2025-11-05 08:00:00+08:00,101436.4,1,1.0,9.858394028179232e-06,0.0,0.001,1.0
20,partial_exit,2025-11-10 14:00:00+08:00,106055.0,1,0.25,2.4645985070448083e-06,0.0113829946646371,0.00025,0.75
20,partial_exit,2025-11-24 08:00:00+08:00,86803.9,1,0.25,2.4645985070448083e-06,-0.0360632376543331,0.00025,0.5
20,partial_exit,2025-11-27 20:00:00+08:00,91320.2,1,0.25,2.4645985070448083e-06,-0.0249323714169666,0.00025,0.25
20,partial_exit,2025-12-03 08:00:00+08:00,91246.5,1,0.25,2.4645985070448083e-06,-0.0251140123269358,0.00025,0.0
21,entry,2026-01-05 17:00:00+08:00,92437.7,-1,1.0,1.0818096945293966e-05,0.0,0.001,1.0
21,partial_exit,2026-01-07 07:00:00+08:00,93313.2,-1,0.25,2.7045242363234916e-06,-0.0023678109689012,0.00025,0.75
21,partial_exit,2026-01-09 00:00:00+08:00,90732.2,-1,0.25,2.7045242363234916e-06,0.0046125660850497,0.00025,0.5
21,partial_exit,2026-01-17 05:00:00+08:00,95526.9,-1,0.25,2.7045242363234916e-06,-0.0083548162708505,0.00025,0.25
21,partial_exit,2026-01-19 20:00:00+08:00,93141.3,-1,0.25,2.7045242363234916e-06,-0.0019029032526772,0.00025,0.0
22,entry,2026-01-26 10:00:00+08:00,87640.2,1,1.0,1.1410288885694008e-05,0.0,0.001,1.0
22,partial_exit,2026-02-14 06:00:00+08:00,68865.0,1,0.25,2.852572221423502e-06,-0.0535576139716705,0.00025,0.75
22,partial_exit,2026-02-14 21:00:00+08:00,69614.1,1,0.25,2.852572221423502e-06,-0.0514207521206021,0.00025,0.5
22,partial_exit,2026-02-15 21:00:00+08:00,69282.0,1,0.25,2.852572221423502e-06,-0.0523680913553369,0.00025,0.25
22,partial_exit,2026-02-20 20:00:00+08:00,67300.0,1,0.25,2.852572221423502e-06,-0.0580218894981983,0.00025,0.0
23,entry,2026-05-06 01:00:00+08:00,81249.6,-1,1.0,1.2307752899706582e-05,0.0,0.001,1.0
23,partial_exit,2026-05-08 08:00:00+08:00,79979.2,-1,0.25,3.0769382249266455e-06,0.0039089423209468,0.00025,0.75
23,partial_exit,2026-05-13 02:00:00+08:00,80473.2,-1,0.25,3.0769382249266455e-06,0.002388934837833,0.00025,0.5
23,partial_exit,2026-05-14 05:00:00+08:00,79676.6,-1,0.25,3.0769382249266455e-06,0.0048400238278096,0.00025,0.25
23,partial_exit,2026-05-16 08:00:00+08:00,79082.4,-1,0.25,3.0769382249266455e-06,0.006668340521061,0.00025,0.0
24,entry,2026-05-23 20:00:00+08:00,74753.9,1,1.0,1.3377228479049254e-05,0.0,0.001,1.0
24,partial_exit,2026-05-24 14:00:00+08:00,76780.0,1,0.25,3.3443071197623136e-06,0.0067759006553504,0.00025,0.75
24,partial_exit,2026-06-07 21:00:00+08:00,61867.0,1,0.25,3.3443071197623136e-06,-0.0430977514216649,0.00025,0.5
24,partial_exit,2026-06-16 03:00:00+08:00,66733.2,1,0.25,3.3443071197623136e-06,-0.0268236841154775,0.00025,0.25
24,partial_exit,2026-06-23 06:00:00+08:00,64291.0,1,0.25,3.3443071197623136e-06,-0.034991150963361,0.00025,0.0
25,entry,2026-07-01 03:00:00+08:00,58663.8,1,1.0,1.7046287489047758e-05,0.0,0.001,1.0
25,partial_exit,2026-07-02 09:00:00+08:00,59732.1,1,0.25,4.2615718722619395e-06,0.0045526372311374,0.00025,0.75
25,partial_exit,2026-07-03 09:00:00+08:00,61273.8,1,0.25,4.2615718722619395e-06,0.0111227025866036,0.00025,0.5
25,partial_exit,2026-07-04 14:00:00+08:00,62447.4,1,0.25,4.2615718722619395e-06,0.0161240833358902,0.00025,0.25
25,partial_exit,2026-07-05 09:00:00+08:00,62962.8,1,0.25,4.2615718722619395e-06,0.018320497478854,0.00025,0.0
26,entry,2026-07-06 14:00:00+08:00,63085.2,-1,1.0,1.585157850018705e-05,0.0,0.001,1.0
26,partial_exit,2026-07-07 00:00:00+08:00,63519.9,-1,0.25,3.962894625046762e-06,-0.0017226702935078,0.00025,0.75
26,partial_exit,2026-07-13 17:00:00+08:00,63174.2,-1,0.25,3.962894625046762e-06,-0.0003526976216291,0.00025,0.5
26,partial_exit,2026-07-17 19:00:00+08:00,63145.7,-1,0.25,3.962894625046762e-06,-0.0002397551248153,0.00025,0.25
26,partial_exit,2026-07-24 05:00:00+08:00,65108.8,-1,0.25,3.962894625046762e-06,-0.0080193135632446,0.00025,0.0
27,entry,2026-08-25 16:00:00+08:00,79665.4,-1,1.0,1.2552500834741309e-05,0.0,0.001,1.0
27,partial_exit,2026-08-29 07:00:00+08:00,77728.0,-1,0.25,3.1381252086853268e-06,0.0060798037793069,0.00025,0.75
27,partial_exit,2026-09-08 04:00:00+08:00,79324.2,-1,0.25,3.1381252086853268e-06,0.0010707283212034,0.00025,0.5
27,partial_exit,2026-09-08 23:00:00+08:00,78525.9,-1,0.25,3.1381252086853268e-06,0.0035758936752969,0.00025,0.25
27,partial_exit,2026-09-11 05:00:00+08:00,77242.8,-1,0.25,3.1381252086853268e-06,0.007602422130561,0.00025,0.0
