event_id,mother_decision_time,before,after,difference
2023-08-29T14:00:00+00:00_L,2023-08-29 15:00:00+00:00,0.01279948786936976,-0.004319599870684014,-0.017119087740053773
2023-09-03T17:00:00+00:00_L,2023-09-03 18:00:00+00:00,0.004609044097023526,0.004609044097023526,0.0
2023-09-06T07:00:00+00:00_S,2023-09-06 08:00:00+00:00,-0.001061494883101366,-0.0007490169108612297,0.0003124779722401363
2023-09-07T11:00:00+00:00_S,2023-09-07 12:00:00+00:00,,,
2023-09-10T21:00:00+00:00_L,2023-09-10 22:00:00+00:00,,,
2023-09-11T05:00:00+00:00_L,2023-09-11 06:00:00+00:00,,,
2023-09-12T03:00:00+00:00_L,2023-09-12 04:00:00+00:00,,,
2023-09-15T22:00:00+00:00_L,2023-09-15 23:00:00+00:00,-0.005689495624194037,-0.007438018774382364,-0.0017485231501883271
2023-09-17T07:00:00+00:00_S,2023-09-17 08:00:00+00:00,-0.0012717887158405863,-0.0016619408622587186,-0.00039015214641813234
2023-09-17T16:00:00+00:00_S,2023-09-17 17:00:00+00:00,0.00010105762350283909,0.00010105762350283909,0.0
2023-09-26T20:00:00+00:00_S,2023-09-26 21:00:00+00:00,-0.0009827148556238823,-0.00041707589380050414,0.0005656389618233781
2023-09-27T03:00:00+00:00_L,2023-09-27 04:00:00+00:00,,,
2023-10-06T09:00:00+00:00_L,2023-10-06 10:00:00+00:00,-0.0028757751057109093,-0.0030908521249116694,-0.00021507701920076006
2023-10-06T12:00:00+00:00_S,2023-10-06 13:00:00+00:00,-0.0171921476791439,-0.011788700191201595,0.005403447487942303
2023-10-08T06:00:00+00:00_S,2023-10-08 07:00:00+00:00,,,
2023-10-08T15:00:00+00:00_S,2023-10-08 16:00:00+00:00,,,
2023-10-15T11:00:00+00:00_S,2023-10-15 12:00:00+00:00,,,
2023-10-18T09:00:00+00:00_S,2023-10-18 10:00:00+00:00,-0.00181785732306435,-0.0023557485770234385,-0.0005378912539590885
2023-10-30T08:00:00+00:00_L,2023-10-30 09:00:00+00:00,0.005909652021767964,0.0049797106078768305,-0.0009299414138911333
2023-10-31T12:00:00+00:00_S,2023-10-31 13:00:00+00:00,-0.005730979615045539,-0.006713938028623448,-0.0009829584135779088
2023-10-31T18:00:00+00:00_L,2023-10-31 19:00:00+00:00,,,
2023-11-01T05:00:00+00:00_S,2023-11-01 06:00:00+00:00,-0.0019242343585769892,-0.001989776251228463,-6.55418926514737e-05
2023-11-01T14:00:00+00:00_S,2023-11-01 15:00:00+00:00,,,
2023-11-02T15:00:00+00:00_S,2023-11-02 16:00:00+00:00,,,
2023-11-06T04:00:00+00:00_S,2023-11-06 05:00:00+00:00,,,
2023-11-07T18:00:00+00:00_L,2023-11-07 19:00:00+00:00,,,
2023-11-13T03:00:00+00:00_S,2023-11-13 04:00:00+00:00,,,
2023-11-15T11:00:00+00:00_L,2023-11-15 12:00:00+00:00,-0.018520019804396028,-0.00297202166904705,0.015547998135348977
2023-11-21T11:00:00+00:00_S,2023-11-21 12:00:00+00:00,,,
