timeframe_min,arm,utc_week,matched_n,target_mean_net_bp,control_mean_net_bp,excess_mean_net_bp,excess_sum_bp
60,v9_both,2026-W33,150,-12.698900735159974,24.09228259134016,-36.791183326500146,-5518.677498975022
60,v9_both,2026-W34,153,594.3242218092256,406.1077172250157,188.21650458420999,28797.12520138413
60,v9_both,2026-W35,68,-314.7281203730478,-33.342401433694526,-281.3857189393534,-19134.22888787603
60,v9_both,2026-W36,236,-107.46342466333921,40.751869278141946,-148.21529394148118,-34978.809370189556
60,v9_both,2026-W37,152,-90.48739723985281,36.47619138248863,-126.96358862234145,-19298.4654705959
60,v9_both,2026-W38,89,273.4784726260265,219.7268497646812,53.75162286134522,4783.8944346597245
60,v9_both,2026-W39,23,-212.5680138106059,-157.98390454434968,-54.584109266256114,-1255.4345131238906
60,joint,2026-W30,21,-208.55897978597642,-19.673579768783764,-188.88540001719252,-3966.593400361043
60,joint,2026-W31,54,92.89309214087446,145.49640786243413,-52.603315721559646,-2840.579048964221
60,joint,2026-W32,148,129.2257420648391,140.8847936029684,-11.659051538129273,-1725.5396276431325
60,joint,2026-W33,49,-129.3014144184637,107.00654756374789,-236.30796198221162,-11579.090137128369
60,joint,2026-W34,111,835.8881242251559,418.92947003172696,416.9586541934289,46282.41061547061
60,joint,2026-W35,28,-325.04327962747584,-247.88368111671858,-77.15959851075729,-2160.468758301204
60,joint,2026-W36,130,0.9477998632149908,138.7512152225046,-137.8034153592896,-17914.443996707647
60,joint,2026-W37,69,-171.27278209515973,5.347527707982638,-176.62030980314242,-12186.801376416826
60,joint,2026-W38,61,576.5578780168776,397.5971811652982,178.96069685157934,10916.60250794634
60,joint,2026-W39,13,-135.05714824572792,134.65528995048646,-269.7124381962144,-3506.2616965507873
