population,arm,timeframe,group,n,closed,censored,net_wins,net_winrate,net_winrate_wilson95_low,net_winrate_wilson95_high,mean_net_r,total_net_r,mean_gross_r,total_gross_r,pf_net_r,mean_net_bp,mean_gross_bp,matched_pairs,unmatched,paired_target_mean_r,paired_control_mean_r,paired_excess_mean_r
v9_detection_group,v9,5m,all,52,52,0,8,0.15384615384615385,0.08007685016780322,0.2752408517641015,-0.44820991089647816,-23.306915366616863,0.10563220477813645,5.492874648463095,0.622082776422331,-12.31810977648327,7.6818902235166515,52,0,-0.44820991089647816,-1.144821398973344,0.6966114880768656
v9_detection_group,v9,5m,same_hit,2,2,0,0,0.0,0.0,0.6576197724933469,-1.5547686294372949,-3.1095372588745898,-1.0,-2.0,0.0,-60.071932835456494,-40.071932835456494,2,0,-1.5547686294372949,-1.5642467189922353,0.00947808955494056
v9_detection_group,v9,5m,same_miss,50,50,0,8,0.16,0.08337420678033404,0.2851421606303499,-0.40394756215484556,-20.197378107742278,0.14985749296926193,7.492874648463097,0.6551139895967935,-10.40795685412434,9.592043145875575,50,0,-0.40394756215484556,-1.1280443861725882,0.7240968240177427
v9_detection_group,v9,5m,lower_hit,4,4,0,0,0.0,0.0,0.4898908364545973,-1.2921224444855497,-5.168489777942199,-1.0,-4.0,0.0,-94.02823168952426,-74.02823168952425,4,0,-1.2921224444855497,-1.2967413380273742,0.004618893541824792
v9_detection_group,v9,5m,lower_miss,48,48,0,8,0.16666666666666666,0.08695513576485567,0.295778284012556,-0.37788386643072225,-18.138425588674668,0.19776822184298115,9.492874648463095,0.6789859281510123,-5.508932950396518,14.491067049603398,48,0,-0.37788386643072225,-1.1321614040521748,0.7542775376214524
v9_detection_group,v9,5m,both_hit,1,1,0,0,0.0,0.0,0.7934506856227626,-1.379036310107944,-1.379036310107944,-1.0,-1.0,0.0,-72.765393358499,-52.765393358499004,1,0,-1.379036310107944,-1.779283400809747,0.400247090701803
serial_arm,v9,5m,all,52,52,0,8,0.15384615384615385,0.08007685016780322,0.2752408517641015,-0.44820991089647816,-23.306915366616863,0.10563220477813645,5.492874648463095,0.622082776422331,-12.31810977648327,7.6818902235166515,52,0,-0.44820991089647816,-1.144821398973344,0.6966114880768656
serial_arm,v9_same,5m,all,2,2,0,0,0.0,0.0,0.6576197724933469,-1.5547686294372949,-3.1095372588745898,-1.0,-2.0,0.0,-60.071932835456494,-40.071932835456494,2,0,-1.5547686294372949,-1.5642467189922353,0.00947808955494056
serial_arm,v9_lower,5m,all,4,4,0,0,0.0,0.0,0.4898908364545973,-1.2921224444855497,-5.168489777942199,-1.0,-4.0,0.0,-94.02823168952426,-74.02823168952425,4,0,-1.2921224444855497,-1.2967413380273742,0.004618893541824792
serial_arm,v9_both,5m,all,1,1,0,0,0.0,0.0,0.7934506856227626,-1.379036310107944,-1.379036310107944,-1.0,-1.0,0.0,-72.765393358499,-52.765393358499004,1,0,-1.379036310107944,-1.779283400809747,0.400247090701803
v9_detection_group,v9,15m,all,19,19,0,5,0.2631578947368421,0.11806412346782508,0.487915508978151,-0.5512616128280583,-10.473970643733107,-0.16972738105628274,-3.224820240069372,0.38496966718629033,-28.816394043335798,-8.816394043335844,19,0,-0.5512616128280583,-0.5500278264471704,-0.0012337863808879555
v9_detection_group,v9,15m,same_hit,2,2,0,1,0.5,0.09453120573423074,0.9054687942657693,0.7796729365772118,1.5593458731544236,0.9305673215413512,1.8611346430827025,5.974237073821203,74.58992720881301,94.58992720881301,2,0,0.7796729365772118,-0.8480696381593452,1.627742574736557
v9_detection_group,v9,15m,same_miss,17,17,0,4,0.23529411764705882,0.09555044322080117,0.4726179811956498,-0.7078421480522077,-12.033316516887531,-0.2991738166560044,-5.085954883152075,0.28015430632877447,-40.98184360241211,-20.981843602412184,17,0,-0.7078421480522077,-0.5149640838927968,-0.19287806415941092
v9_detection_group,v9,15m,lower_hit,2,2,0,0,0.0,0.0,0.6576197724933469,-0.6930959572845207,-1.3861919145690413,-0.49782608695652375,-0.9956521739130475,0.0,-64.00918676505951,-44.00918676505953,2,0,-0.6930959572845207,-1.6157463796780789,0.9226504223935582
v9_detection_group,v9,15m,lower_miss,17,17,0,5,0.29411764705882354,0.1327998961029523,0.5313311006653985,-0.5345752193625922,-9.087778729164068,-0.13112753330331328,-2.229168066156326,0.4190816692657989,-24.676065487838883,-4.676065487838943,17,0,-0.5345752193625922,-0.42464917312588707,-0.10992604623670517
v9_detection_group,v9,15m,both_hit,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9,15m,all,19,19,0,5,0.2631578947368421,0.11806412346782508,0.487915508978151,-0.5512616128280583,-10.473970643733107,-0.16972738105628274,-3.224820240069372,0.38496966718629033,-28.816394043335798,-8.816394043335844,19,0,-0.5512616128280583,-0.5500278264471704,-0.0012337863808879555
serial_arm,v9_same,15m,all,2,2,0,1,0.5,0.09453120573423074,0.9054687942657693,0.7796729365772118,1.5593458731544236,0.9305673215413512,1.8611346430827025,5.974237073821203,74.58992720881301,94.58992720881301,2,0,0.7796729365772118,-0.8480696381593452,1.627742574736557
serial_arm,v9_lower,15m,all,3,3,0,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.2791586854787121,-0.8374760564361362,-0.09747720921439103,-0.2924316276431731,0.3958440763979622,-18.99644992780567,1.0035500721943154,3,0,-0.2791586854787121,-1.707025041981825,1.4278663565031129
serial_arm,v9_both,15m,all,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,30m,all,10,10,0,3,0.3,0.10779126740630099,0.6032218525388546,1.8106919452354489,18.10691945235449,1.97056313916586,19.7056313916586,3.5151897842836304,191.730596168746,211.73059616874602,10,0,1.8106919452354489,-0.6227699583672335,2.4334619036026823
v9_detection_group,v9,30m,same_hit,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,30m,same_miss,10,10,0,3,0.3,0.10779126740630099,0.6032218525388546,1.8106919452354489,18.10691945235449,1.97056313916586,19.7056313916586,3.5151897842836304,191.730596168746,211.73059616874602,10,0,1.8106919452354489,-0.6227699583672335,2.4334619036026823
v9_detection_group,v9,30m,lower_hit,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,30m,lower_miss,10,10,0,3,0.3,0.10779126740630099,0.6032218525388546,1.8106919452354489,18.10691945235449,1.97056313916586,19.7056313916586,3.5151897842836304,191.730596168746,211.73059616874602,10,0,1.8106919452354489,-0.6227699583672335,2.4334619036026823
v9_detection_group,v9,30m,both_hit,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9,30m,all,10,10,0,3,0.3,0.10779126740630099,0.6032218525388546,1.8106919452354489,18.10691945235449,1.97056313916586,19.7056313916586,3.5151897842836304,191.730596168746,211.73059616874602,10,0,1.8106919452354489,-0.6227699583672335,2.4334619036026823
serial_arm,v9_same,30m,all,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9_lower,30m,all,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9_both,30m,all,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,1H,all,3,3,0,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,5.397340276683912,16.192020830051735,5.539003608254031,16.617010824762094,9.207325307968338,682.0611594113707,702.0611594113707,3,0,5.397340276683912,-0.4022513670669791,5.799591643750891
v9_detection_group,v9,1H,same_hit,1,1,0,0,0.0,0.0,0.7934506856227626,-0.7586236862745136,-0.7586236862745136,-0.6985098039215718,-0.6985098039215718,0.0,-252.395505524156,-232.395505524156,1,0,-0.7586236862745136,1.3441380952381177,-2.102761781512631
v9_detection_group,v9,1H,same_miss,2,2,0,1,0.5,0.09453120573423074,0.9054687942657693,8.475322258163125,16.95064451632625,8.657760314341832,17.315520628683664,14.959758311875316,1149.2894918791342,1169.2894918791342,2,0,8.475322258163125,-1.2754460982195275,9.750768356382652
v9_detection_group,v9,1H,lower_hit,1,1,0,0,0.0,0.0,0.7934506856227626,-0.7586236862745136,-0.7586236862745136,-0.6985098039215718,-0.6985098039215718,0.0,-252.395505524156,-232.395505524156,1,0,-0.7586236862745136,1.3441380952381177,-2.102761781512631
v9_detection_group,v9,1H,lower_miss,2,2,0,1,0.5,0.09453120573423074,0.9054687942657693,8.475322258163125,16.95064451632625,8.657760314341832,17.315520628683664,14.959758311875316,1149.2894918791342,1169.2894918791342,2,0,8.475322258163125,-1.2754460982195275,9.750768356382652
v9_detection_group,v9,1H,both_hit,1,1,0,0,0.0,0.0,0.7934506856227626,-0.7586236862745136,-0.7586236862745136,-0.6985098039215718,-0.6985098039215718,0.0,-252.395505524156,-232.395505524156,1,0,-0.7586236862745136,1.3441380952381177,-2.102761781512631
serial_arm,v9,1H,all,3,3,0,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,5.397340276683912,16.192020830051735,5.539003608254031,16.617010824762094,9.207325307968338,682.0611594113707,702.0611594113707,3,0,5.397340276683912,-0.4022513670669791,5.799591643750891
serial_arm,v9_same,1H,all,1,1,0,0,0.0,0.0,0.7934506856227626,-0.7586236862745136,-0.7586236862745136,-0.6985098039215718,-0.6985098039215718,0.0,-252.395505524156,-232.395505524156,1,0,-0.7586236862745136,1.3441380952381177,-2.102761781512631
serial_arm,v9_lower,1H,all,1,1,0,0,0.0,0.0,0.7934506856227626,-0.7586236862745136,-0.7586236862745136,-0.6985098039215718,-0.6985098039215718,0.0,-252.395505524156,-232.395505524156,1,0,-0.7586236862745136,1.3441380952381177,-2.102761781512631
serial_arm,v9_both,1H,all,1,1,0,0,0.0,0.0,0.7934506856227626,-0.7586236862745136,-0.7586236862745136,-0.6985098039215718,-0.6985098039215718,0.0,-252.395505524156,-232.395505524156,1,0,-0.7586236862745136,1.3441380952381177,-2.102761781512631
v9_detection_group,v9,4H,all,2,2,0,1,0.5,0.09453120573423074,0.9054687942657693,7.188139102772945,14.37627820554589,7.295272969374176,14.590545938748352,14.22535421215961,1090.340398634209,1110.340398634209,2,0,7.188139102772945,9.057114738698942,-1.8689756359259966
v9_detection_group,v9,4H,same_hit,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,4H,same_miss,2,2,0,1,0.5,0.09453120573423074,0.9054687942657693,7.188139102772945,14.37627820554589,7.295272969374176,14.590545938748352,14.22535421215961,1090.340398634209,1110.340398634209,2,0,7.188139102772945,9.057114738698942,-1.8689756359259966
v9_detection_group,v9,4H,lower_hit,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,4H,lower_miss,2,2,0,1,0.5,0.09453120573423074,0.9054687942657693,7.188139102772945,14.37627820554589,7.295272969374176,14.590545938748352,14.22535421215961,1090.340398634209,1110.340398634209,2,0,7.188139102772945,9.057114738698942,-1.8689756359259966
v9_detection_group,v9,4H,both_hit,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9,4H,all,2,2,0,1,0.5,0.09453120573423074,0.9054687942657693,7.188139102772945,14.37627820554589,7.295272969374176,14.590545938748352,14.22535421215961,1090.340398634209,1110.340398634209,2,0,7.188139102772945,9.057114738698942,-1.8689756359259966
serial_arm,v9_same,4H,all,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9_lower,4H,all,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9_both,4H,all,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,1Dutc,all,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,1Dutc,same_hit,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,1Dutc,same_miss,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,1Dutc,lower_hit,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,1Dutc,lower_miss,0,0,0,0,,,,,,,,,,,0,0,,,
v9_detection_group,v9,1Dutc,both_hit,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9,1Dutc,all,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9_same,1Dutc,all,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9_lower,1Dutc,all,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9_both,1Dutc,all,0,0,0,0,,,,,,,,,,,0,0,,,
