group,arm,period,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,control_receipts,matched_pairs,unmatched_or_cross_period,paired_target_mean_r,control_mean_r,paired_excess_r,control_win_rate,paired_excess_nominal,blocks,mean_ci_low,mean_ci_high,p_month_signflip
30,v10_a200,earlier,15908,15908,0,0.3375031430726678,0.22807195097470379,3628.1685961055878,1.3516238415768995,1.2398345176632082,101,1227.7538601023784,3572.7852276845356,15908,15834,74,0.23079645067043372,-0.008858112628932522,0.23965456329936627,0.2881141846659088,0.005997222925938919,13,0.09499182455296161,0.4275924981688011,0.00399800099950025
30,v10_a200,later,15615,15561,54,0.28359359938307305,-0.11140494036034748,-1733.572276947367,0.8436319746357153,0.8630435484948922,56,2007.5621468694983,-1818.55878976788,15615,15523,92,-0.10988463970255256,-0.07740638767210783,-0.03247825203044472,0.2845455131095793,-0.001824391632612623,9,-0.13344065301399566,0.05254799738860279,0.768615692153923
60,v9,full,19176,19035,141,0.32303651168899394,0.030512029677248115,580.7964849064178,1.046948176146349,0.999018815160276,86,1150.8515635348108,540.8507368749216,19176,18978,198,0.03200385667661187,-0.02477467565531137,0.056778532331923225,0.2952892823269048,0.0013107599486267842,21,-0.039679520453367256,0.16886327752056987,0.13993003498250875
60,v9,earlier,9868,9868,0,0.31738954195379004,-0.02544705606293863,-251.11154922907838,0.9609954191995507,0.8934344049815378,34,1150.8515635348108,-289.1386440303017,9868,9788,80,-0.01901146006058577,-0.05917136926600845,0.0401599092054227,0.28810788720882713,-0.0009268333778643994,13,-0.0773036012712022,0.1751627568894114,0.2698650674662669
60,v9,later,9073,8932,141,0.31840573219883567,0.03543035693354033,316.4639481303822,1.0538410304214387,1.0781392467919675,43,805.4518334127097,276.5182000988859,9073,8877,196,0.038726102805593535,-0.02772818537838584,0.06645428818397937,0.29694716683564265,0.003509371442815282,9,-0.07100146644150807,0.2598658998459104,0.2413793103448276
60,v10_now,full,2939,2920,19,0.3150684931506849,-0.00024216439781514197,-0.7071200416202146,0.999626667774474,0.9408197749090939,11,300.2116979138458,-15.904950550094824,2939,2912,27,0.0009265792440110172,-0.019534075996297414,0.020460655240308406,0.28983516483516486,-0.0007933626077262048,21,-0.13144951263581672,0.19341210774551715,0.4122938530734633
60,v10_now,earlier,1577,1577,0,0.30057070386810397,-0.018108943538481987,-28.557803960186092,0.9724810835220611,0.8483641671891538,7,300.2116979138458,-43.7556344686607,1577,1573,4,-0.015451180108079346,-0.0008428392346570757,-0.014608340873422263,0.28544183089637637,-0.00494985898340651,13,-0.19053366833780228,0.2290909073512655,0.5347326336831584
60,v10_now,later,1326,1307,19,0.32364192807957154,-0.02671611834454347,-34.917966676318315,0.9589113561388614,1.0342339836383727,3,221.2809928651472,-46.6463447585101,1326,1299,27,-0.024259159257996966,-0.07510117271289543,0.05084201345489847,0.29022324865280985,0.0038519642558128096,9,-0.19705755346351647,0.3223621299607189,0.41829085457271364
60,v10_a12,full,8380,8325,55,0.32804804804804805,0.05105427986710498,425.0268798936489,1.0782941633044594,1.0191539432409693,42,655.7322575234515,387.45712379608784,8380,8306,74,0.05281902866512516,-0.01671217896726261,0.06953120763238778,0.294485913797255,0.001843565238321019,21,-0.04702023502845878,0.20264022346676452,0.1489255372313843
60,v10_a12,earlier,4298,4298,0,0.3220102373196836,0.015333819880235503,65.90475784525219,1.0233360814852015,0.9306429716860904,17,655.7322575234515,28.33500174769111,4298,4275,23,0.020109655525470123,-0.044171553886774746,0.06428120941224487,0.28748538011695907,-0.00010398689933456558,13,-0.10035726917069765,0.2667789981232148,0.2493753123438281
60,v10_a12,later,3975,3920,55,0.32321428571428573,0.03143415374910685,123.22188269649887,1.0476802220944283,1.0729564402948577,20,386.0082635345269,90.19595203956445,3975,3901,74,0.035096092000866295,-0.02708244364696216,0.06217853564782846,0.294283517046911,0.0036253431114188447,9,-0.09229792730576024,0.24221123142810952,0.32233883058470764
60,v10_a48,full,11787,11699,88,0.3256688605863749,0.03639229445484565,425.7534528272393,1.0555375844163453,1.0023640842872719,56,869.1250545379639,388.1836967296782,11787,11668,119,0.03785681257711012,0.0023895787042682217,0.0354672338728419,0.29928008227631125,0.0006023119545203672,21,-0.07572518296462637,0.1618441062046419,0.2813593203398301
60,v10_a48,earlier,5935,5935,0,0.31743892165122156,-0.01615983397299229,-95.90861462970923,0.9755955976662177,0.8960623268432113,23,869.1250545379639,-133.47837072727032,5935,5902,33,-0.011981924962404284,-0.012241517883032186,0.000259592920627891,0.296340223652999,-0.002295711059286006,13,-0.14609555299458643,0.182478119545844,0.4847576211894053
60,v10_a48,later,5702,5614,88,0.3224082650516566,0.03174349435342885,178.2079773001496,1.048046241483114,1.0753129577471323,28,568.7740298336827,141.49283444300676,5702,5583,119,0.03477840115039071,-0.01569154156616509,0.05046994271655579,0.29589826258284074,0.0030520645674413554,9,-0.09004662138773054,0.23903394893902227,0.3728135932033983
60,v10_a200,full,16508,16389,119,0.32259442308865705,0.034131606567762755,559.3829000390638,1.0523407532243407,1.009748045417044,75,903.6159673524985,521.3558052378405,16508,16340,168,0.03555185090966323,-0.009692835729287017,0.04524468663895026,0.2984700122399021,0.0009816445644808736,21,-0.052093046266152944,0.16029940891783553,0.19790104947526238
60,v10_a200,earlier,8451,8451,0,0.31629392971246006,-0.013566821921175887,-114.65321205585742,0.9792970181605545,0.9194199417368243,33,903.6159673524985,-152.68030685708072,8451,8400,51,-0.008677478005553204,-0.03497967498951033,0.026302196983957134,0.29154761904761906,-0.0010208197629117492,13,-0.09291134723471095,0.17329423337640645,0.3428285857071464
60,v10_a200,later,7873,7754,119,0.319963889605365,0.036374280930863256,282.04617433791367,1.0552315553959786,1.07542914311929,35,735.3689038236853,245.33103148077083,7873,7705,168,0.03940045660775428,-0.012055513312395056,0.05145596992014935,0.3011031797534069,0.0027949812382337493,9,-0.08975485036465501,0.25244144117221323,0.2698650674662669
240,v9,full,6367,6201,166,0.3173681664247702,0.09700410625308266,601.5224628753656,1.1490642111962222,1.186218621266347,36,957.748759071476,533.4042505611404,6367,6159,208,0.10041329686305199,0.2104782453373943,-0.11006494847434231,0.3263516804676084,0.0006193526611338325,20,-0.20527779656605966,0.01446826715490208,0.952023988005997
240,v9,earlier,3128,3128,0,0.33631713554987214,0.20233008683818285,632.888511629836,1.3208676098263115,1.3024037337666967,26,466.2595470243482,564.7702993156108,3128,3079,49,0.22109858197400908,0.3168780441455978,-0.09577946217158867,0.33095160766482623,0.0037549493174980565,13,-0.24082718695817193,0.1138597999751241,0.8290854572713643
