period,model,low,high,n,positives,mean_prediction,observed_rate
last_two_quarters,lightgbm,0.005,0.01,719,19,0.007782876587716968,0.02642559109874826
last_two_quarters,lightgbm,0.01,0.02,2277,78,0.01555930848652602,0.034255599472990776
last_two_quarters,lightgbm,0.02,0.05,7096,245,0.03251716490334754,0.034526493799323564
last_two_quarters,lightgbm,0.05,0.1,4836,167,0.07149563409638506,0.03453267162944582
last_two_quarters,lightgbm,0.1,0.2,1305,55,0.12303621576621217,0.0421455938697318
last_two_quarters,lightgbm,0.2,0.5,37,0,0.2244641314758497,0.0
last_two_quarters,lightgbm,0.5,1.0,0,0,,
2025Q4,logistic,0.0,0.001,4,0,0.0007392527889360249,0.0
2025Q4,logistic,0.001,0.002,14,0,0.0016231897372183217,0.0
2025Q4,logistic,0.002,0.005,92,1,0.003916269308543719,0.010869565217391304
2025Q4,logistic,0.005,0.01,750,6,0.007864517660132875,0.008
2025Q4,logistic,0.01,0.02,2045,34,0.0147788078512194,0.016625916870415647
2025Q4,logistic,0.02,0.05,2320,46,0.030311068144074534,0.019827586206896553
2025Q4,logistic,0.05,0.1,322,8,0.0645903272236849,0.024844720496894408
2025Q4,logistic,0.1,0.2,50,0,0.12981385436398266,0.0
2025Q4,logistic,0.2,0.5,2,0,0.23582833462451114,0.0
2025Q4,logistic,0.5,1.0,0,0,,
2025Q4,lightgbm,0.0,0.001,0,0,,
2025Q4,lightgbm,0.001,0.002,0,0,,
2025Q4,lightgbm,0.002,0.005,89,1,0.004275617572806089,0.011235955056179775
2025Q4,lightgbm,0.005,0.01,461,6,0.007591984744631234,0.013015184381778741
2025Q4,lightgbm,0.01,0.02,2213,27,0.015501322231902979,0.012200632625395391
2025Q4,lightgbm,0.02,0.05,2458,55,0.029248613136883775,0.022375915378356388
2025Q4,lightgbm,0.05,0.1,347,6,0.06530406612870769,0.01729106628242075
2025Q4,lightgbm,0.1,0.2,30,0,0.1236762445488597,0.0
2025Q4,lightgbm,0.2,0.5,1,0,0.2363052836787365,0.0
2025Q4,lightgbm,0.5,1.0,0,0,,
2026Q1,logistic,0.0,0.001,39,1,0.0005503050883094742,0.02564102564102564
2026Q1,logistic,0.001,0.002,47,1,0.0015637476724393979,0.02127659574468085
2026Q1,logistic,0.002,0.005,184,3,0.0035209508636084804,0.016304347826086956
2026Q1,logistic,0.005,0.01,343,5,0.007574554024095101,0.014577259475218658
2026Q1,logistic,0.01,0.02,923,13,0.015131532012916572,0.014084507042253521
2026Q1,logistic,0.02,0.05,2706,41,0.034364881621023455,0.015151515151515152
2026Q1,logistic,0.05,0.1,2093,52,0.06948021681761794,0.024844720496894408
2026Q1,logistic,0.1,0.2,637,14,0.12553731852476527,0.02197802197802198
2026Q1,logistic,0.2,0.5,19,0,0.2390580525575828,0.0
2026Q1,logistic,0.5,1.0,0,0,,
2026Q1,lightgbm,0.0,0.001,0,0,,
2026Q1,lightgbm,0.001,0.002,0,0,,
2026Q1,lightgbm,0.002,0.005,47,0,0.0037708571798609394,0.0
2026Q1,lightgbm,0.005,0.01,218,4,0.008098258416267818,0.01834862385321101
2026Q1,lightgbm,0.01,0.02,1187,17,0.015277925419437807,0.014321819713563605
2026Q1,lightgbm,0.02,0.05,2965,42,0.03271040891504576,0.014165261382799325
2026Q1,lightgbm,0.05,0.1,1765,48,0.07105168263422934,0.027195467422096317
2026Q1,lightgbm,0.1,0.2,797,19,0.12801836832738572,0.02383939774153074
2026Q1,lightgbm,0.2,0.5,12,0,0.21179340794812387,0.0
2026Q1,lightgbm,0.5,1.0,0,0,,
2026Q2,logistic,0.0,0.001,30,1,0.0004914730911548521,0.03333333333333333
2026Q2,logistic,0.001,0.002,45,3,0.001537004528847269,0.06666666666666667
2026Q2,logistic,0.002,0.005,104,0,0.00362053583427049,0.0
2026Q2,logistic,0.005,0.01,339,12,0.007819483914217659,0.035398230088495575
2026Q2,logistic,0.01,0.02,1022,27,0.015379525871023583,0.026418786692759294
2026Q2,logistic,0.02,0.05,3483,99,0.03441098348386172,0.028423772609819122
2026Q2,logistic,0.05,0.1,3049,96,0.07046613642537479,0.03148573302722204
2026Q2,logistic,0.1,0.2,728,21,0.12287079253552999,0.028846153846153848
2026Q2,logistic,0.2,0.5,10,0,0.23374795254913233,0.0
2026Q2,logistic,0.5,1.0,0,0,,
2026Q2,lightgbm,0.0,0.001,0,0,,
2026Q2,lightgbm,0.001,0.002,0,0,,
2026Q2,lightgbm,0.002,0.005,38,0,0.004180684078337548,0.0
2026Q2,lightgbm,0.005,0.01,316,7,0.007951912311101761,0.022151898734177215
2026Q2,lightgbm,0.01,0.02,997,29,0.01519351348759994,0.029087261785356068
2026Q2,lightgbm,0.02,0.05,3734,108,0.03338605366798434,0.0289234065345474
2026Q2,lightgbm,0.05,0.1,2805,83,0.0719953736426932,0.029590017825311943
2026Q2,lightgbm,0.1,0.2,889,32,0.12344871516980876,0.0359955005624297
2026Q2,lightgbm,0.2,0.5,31,0,0.22368141487734738,0.0
2026Q2,lightgbm,0.5,1.0,0,0,,
2026Q3,logistic,0.0,0.001,71,0,0.00041466230539923763,0.0
2026Q3,logistic,0.001,0.002,60,0,0.0015252947224542101,0.0
2026Q3,logistic,0.002,0.005,221,4,0.003546050976756858,0.01809954751131222
2026Q3,logistic,0.005,0.01,414,14,0.007764858454457856,0.033816425120772944
2026Q3,logistic,0.01,0.02,991,25,0.015085272305610239,0.025227043390514632
2026Q3,logistic,0.02,0.05,3158,135,0.03410484308655599,0.04274857504749842
2026Q3,logistic,0.05,0.1,2201,108,0.06922309514466721,0.04906860517946388
2026Q3,logistic,0.1,0.2,457,19,0.12503696241229983,0.04157549234135667
2026Q3,logistic,0.2,0.5,9,0,0.2292872802308167,0.0
2026Q3,logistic,0.5,1.0,0,0,,
2026Q3,lightgbm,0.0,0.001,0,0,,
2026Q3,lightgbm,0.001,0.002,0,0,,
2026Q3,lightgbm,0.002,0.005,84,0,0.0033525762589650915,0.0
2026Q3,lightgbm,0.005,0.01,403,12,0.007650332447296138,0.02977667493796526
2026Q3,lightgbm,0.01,0.02,1280,49,0.015844228497408287,0.03828125
2026Q3,lightgbm,0.02,0.05,3362,137,0.03155213496665693,0.04074955383700178
2026Q3,lightgbm,0.05,0.1,2031,84,0.07080544727836716,0.0413589364844904
2026Q3,lightgbm,0.1,0.2,416,23,0.1221546966080454,0.055288461538461536
2026Q3,lightgbm,0.2,0.5,6,0,0.22850816723477838,0.0
2026Q3,lightgbm,0.5,1.0,0,0,,
