symbol,minutes,fold,bars,eligible_decisions,signals,status
ENA,60,development,0,,0,not_listed_or_no_data
ENA,60,validation,2536,2195.0,7,ok
ENA,240,development,0,,0,not_listed_or_no_data
ENA,240,validation,634,293.0,1,ok
ETC,15,development,70176,70175.0,364,ok
ETC,15,validation,35040,35039.0,138,ok
ETC,60,development,17544,17543.0,92,ok
ETC,60,validation,8760,8759.0,43,ok
ETC,240,development,4386,4385.0,22,ok
ETC,240,validation,2190,2189.0,10,ok
ETHFI,15,development,27695,27354.0,131,ok
ETHFI,15,validation,35040,35039.0,163,ok
ETHFI,60,development,6923,6582.0,29,ok
ETHFI,60,validation,8760,8759.0,33,ok
ETHFI,240,development,1730,1389.0,4,ok
ETHFI,240,validation,2190,2189.0,11,ok
ETH,15,development,70176,70175.0,375,ok
ETH,15,validation,35040,35039.0,166,ok
ETH,60,development,17544,17543.0,88,ok
ETH,60,validation,8760,8759.0,41,ok
ETH,240,development,4386,4385.0,15,ok
ETH,240,validation,2190,2189.0,9,ok
FIL,15,development,70176,70175.0,342,ok
FIL,15,validation,35040,35039.0,156,ok
FIL,60,development,17544,17543.0,75,ok
FIL,60,validation,8760,8759.0,37,ok
FIL,240,development,4386,4385.0,21,ok
FIL,240,validation,2190,2189.0,9,ok
GALA,15,development,70176,70175.0,356,ok
GALA,15,validation,35040,35039.0,154,ok
GALA,60,development,17544,17543.0,78,ok
GALA,60,validation,8760,8759.0,45,ok
GALA,240,development,4386,4385.0,17,ok
GALA,240,validation,2190,2189.0,12,ok
GRT,15,development,70176,70175.0,308,ok
GRT,15,validation,35040,35039.0,112,ok
GRT,60,development,17544,17543.0,79,ok
GRT,60,validation,8760,8759.0,32,ok
GRT,240,development,4386,4385.0,13,ok
GRT,240,validation,2190,2189.0,11,ok
HBAR,15,development,48361,48020.0,196,ok
HBAR,15,validation,35040,35039.0,144,ok
HBAR,60,development,12090,11749.0,50,ok
HBAR,60,validation,8760,8759.0,45,ok
HBAR,240,development,3022,2681.0,9,ok
HBAR,240,validation,2190,2189.0,12,ok
HYPE,15,development,0,,0,not_listed_or_no_data
HYPE,15,validation,30116,29775.0,142,ok
HYPE,60,development,0,,0,not_listed_or_no_data
HYPE,60,validation,7529,7188.0,37,ok
HYPE,240,development,0,,0,not_listed_or_no_data
HYPE,240,validation,1882,1541.0,4,ok
ICP,15,development,70176,70175.0,356,ok
ICP,15,validation,35040,35039.0,156,ok
ICP,60,development,17544,17543.0,80,ok
ICP,60,validation,8760,8759.0,35,ok
ICP,240,development,4386,4385.0,21,ok
ICP,240,validation,2190,2189.0,11,ok
INJ,15,development,38161,37820.0,158,ok
INJ,15,validation,35040,35039.0,142,ok
INJ,60,development,9540,9199.0,36,ok
INJ,60,validation,8760,8759.0,28,ok
INJ,240,development,2385,2044.0,7,ok
INJ,240,validation,2190,2189.0,6,ok
JTO,15,development,34437,34096.0,158,ok
JTO,15,validation,35040,35039.0,138,ok
JTO,60,development,8609,8268.0,38,ok
JTO,60,validation,8760,8759.0,31,ok
JTO,240,development,2152,1811.0,4,ok
JTO,240,validation,2190,2189.0,14,ok
LINK,15,development,70176,70175.0,314,ok
LINK,15,validation,35040,35039.0,146,ok
LINK,60,development,17544,17543.0,67,ok
LINK,60,validation,8760,8759.0,42,ok
LINK,240,development,4386,4385.0,21,ok
LINK,240,validation,2190,2189.0,12,ok
LTC,15,development,70176,70175.0,363,ok
LTC,15,validation,35040,35039.0,139,ok
LTC,60,development,17544,17543.0,92,ok
LTC,60,validation,8760,8759.0,48,ok
LTC,240,development,4386,4385.0,29,ok
LTC,240,validation,2190,2189.0,12,ok
NEAR,15,development,70176,70175.0,326,ok
NEAR,15,validation,35040,35039.0,133,ok
NEAR,60,development,17544,17543.0,76,ok
NEAR,60,validation,8760,8759.0,29,ok
NEAR,240,development,4386,4385.0,19,ok
NEAR,240,validation,2190,2189.0,6,ok
OKB,15,development,0,,0,not_listed_or_no_data
OKB,15,validation,11416,11075.0,58,ok
OKB,60,development,0,,0,not_listed_or_no_data
OKB,60,validation,2854,2513.0,14,ok
OKB,240,development,0,,0,not_listed_or_no_data
OKB,240,validation,713,372.0,2,ok
ONDO,15,development,14166,13825.0,63,ok
ONDO,15,validation,35040,35039.0,169,ok
ONDO,60,development,3541,3200.0,10,ok
ONDO,60,validation,8760,8759.0,32,ok
ONDO,240,development,885,544.0,0,ok
ONDO,240,validation,2190,2189.0,12,ok
OP,15,development,70176,70175.0,329,ok
OP,15,validation,35040,35039.0,115,ok
OP,60,development,17544,17543.0,88,ok
OP,60,validation,8760,8759.0,39,ok
OP,240,development,4386,4385.0,17,ok
OP,240,validation,2190,2189.0,9,ok
ORDI,15,development,56697,56356.0,311,ok
ORDI,15,validation,35040,35039.0,145,ok
ORDI,60,development,14174,13833.0,76,ok
ORDI,60,validation,8760,8759.0,34,ok
ORDI,240,development,3543,3202.0,18,ok
ORDI,240,validation,2190,2189.0,10,ok
PENGU,15,development,1377,1036.0,5,ok
PENGU,15,validation,35040,35039.0,149,ok
PENGU,60,development,344,3.0,0,ok
PENGU,60,validation,8760,8759.0,34,ok
PENGU,240,development,86,0.0,0,insufficient_warmup
PENGU,240,validation,2190,1935.0,8,ok
PEPE,15,development,58449,58108.0,303,ok
PEPE,15,validation,35040,35039.0,147,ok
PEPE,60,development,14612,14271.0,80,ok
PEPE,60,validation,8760,8759.0,45,ok
PEPE,240,development,3653,3312.0,16,ok
PEPE,240,validation,2190,2189.0,5,ok
PI,15,development,0,,0,not_listed_or_no_data
PI,15,validation,30204,29863.0,178,ok
PI,60,development,0,,0,not_listed_or_no_data
PI,60,validation,7551,7210.0,34,ok
PI,240,development,0,,0,not_listed_or_no_data
PI,240,validation,1887,1546.0,7,ok
POL,15,development,9470,9129.0,40,ok
POL,15,validation,35040,35039.0,143,ok
POL,60,development,2367,2026.0,4,ok
POL,60,validation,8760,8759.0,39,ok
POL,240,development,591,250.0,0,ok
POL,240,validation,2190,2189.0,8,ok
SAND,15,development,70176,70175.0,335,ok
SAND,15,validation,35040,35039.0,137,ok
SAND,60,development,17544,17543.0,71,ok
SAND,60,validation,8760,8759.0,31,ok
SAND,240,development,4386,4385.0,15,ok
SAND,240,validation,2190,2189.0,7,ok
SHIB,15,development,70176,70175.0,377,ok
SHIB,15,validation,35040,35039.0,144,ok
SHIB,60,development,17544,17543.0,94,ok
SHIB,60,validation,8760,8759.0,37,ok
SHIB,240,development,4386,4385.0,30,ok
SHIB,240,validation,2190,2189.0,11,ok
SOL,15,development,70176,70175.0,337,ok
SOL,15,validation,35040,35039.0,126,ok
SOL,60,development,17544,17543.0,73,ok
SOL,60,validation,8760,8759.0,34,ok
SOL,240,development,4386,4385.0,19,ok
SOL,240,validation,2190,2189.0,8,ok
SUI,15,development,58257,57916.0,266,ok
SUI,15,validation,35040,35039.0,159,ok
SUI,60,development,14564,14223.0,65,ok
SUI,60,validation,8760,8759.0,31,ok
SUI,240,development,3641,3300.0,15,ok
SUI,240,validation,2190,2189.0,11,ok
TIA,15,development,41015,40674.0,186,ok
TIA,15,validation,35040,35039.0,154,ok
TIA,60,development,10253,9912.0,39,ok
TIA,60,validation,8760,8759.0,28,ok
TIA,240,development,2563,2222.0,9,ok
TIA,240,validation,2190,2189.0,9,ok
TRUMP,15,development,0,,0,not_listed_or_no_data
TRUMP,15,validation,33290,32949.0,164,ok
TRUMP,60,development,0,,0,not_listed_or_no_data
TRUMP,60,validation,8322,7981.0,31,ok
TRUMP,240,development,0,,0,not_listed_or_no_data
TRUMP,240,validation,2080,1739.0,7,ok
TRX,15,development,70176,70175.0,265,ok
TRX,15,validation,35040,35039.0,110,ok
TRX,60,development,17544,17543.0,62,ok
TRX,60,validation,8760,8759.0,32,ok
TRX,240,development,4386,4385.0,17,ok
TRX,240,validation,2190,2189.0,14,ok
UNI,15,development,70176,70175.0,322,ok
UNI,15,validation,35040,35039.0,163,ok
UNI,60,development,17544,17543.0,74,ok
UNI,60,validation,8760,8759.0,37,ok
UNI,240,development,4386,4385.0,24,ok
UNI,240,validation,2190,2189.0,7,ok
VIRTUAL,15,development,1976,1635.0,5,ok
VIRTUAL,15,validation,35040,35039.0,149,ok
VIRTUAL,60,development,494,153.0,2,ok
VIRTUAL,60,validation,8760,8759.0,37,ok
VIRTUAL,240,development,123,0.0,0,insufficient_warmup
VIRTUAL,240,validation,2190,1972.0,4,ok
WLD,15,development,50545,50204.0,246,ok
WLD,15,validation,35040,35039.0,161,ok
WLD,60,development,12636,12295.0,67,ok
WLD,60,validation,8760,8759.0,32,ok
WLD,240,development,3159,2818.0,13,ok
WLD,240,validation,2190,2189.0,5,ok
XLM,15,development,70176,70175.0,324,ok
XLM,15,validation,35040,35039.0,153,ok
XLM,60,development,17544,17543.0,83,ok
XLM,60,validation,8760,8759.0,39,ok
XLM,240,development,4386,4385.0,19,ok
XLM,240,validation,2190,2189.0,16,ok
XRP,15,development,70176,70175.0,365,ok
XRP,15,validation,35040,35039.0,180,ok
XRP,60,development,17544,17543.0,103,ok
XRP,60,validation,8760,8759.0,35,ok
XRP,240,development,4386,4385.0,23,ok
XRP,240,validation,2190,2189.0,12,ok
ZEC,15,development,0,,0,not_listed_or_no_data
ZEC,15,validation,5363,5022.0,22,ok
ZEC,60,development,0,,0,not_listed_or_no_data
ZEC,60,validation,1340,999.0,1,ok
ZEC,240,development,0,,0,not_listed_or_no_data
ZEC,240,validation,335,0.0,0,insufficient_warmup
ZK,15,development,18879,18538.0,82,ok
ZK,15,validation,35040,35039.0,153,ok
ZK,60,development,4719,4378.0,14,ok
ZK,60,validation,8760,8759.0,42,ok
ZK,240,development,1179,838.0,6,ok
ZK,240,validation,2190,2189.0,4,ok
ZRO,15,development,18671,18330.0,90,ok
ZRO,15,validation,35040,35039.0,136,ok
ZRO,60,development,4667,4326.0,15,ok
ZRO,60,validation,8760,8759.0,37,ok
ZRO,240,development,1166,825.0,2,ok
ZRO,240,validation,2190,2189.0,6,ok
