trade_number,signal_i,i,phase,reason,price,qty
17,11583,11708,full,initial_stop,2735.9044,1.0
18,12451,12452,entry,next_open,2310.47,1.0
18,12451,12541,full,initial_stop,2241.1558999999997,1.0
19,12596,12597,entry,next_open,2178.97,1.0
19,12596,12727,partial,take_profit,2348.03,0.5
19,12596,13056,tail,break_even,2178.97,0.5
20,13057,13058,entry,next_open,2192.5,1.0
20,13057,13061,full,initial_stop,2126.725,1.0
21,13062,13063,entry,next_open,2145.23,1.0
21,13062,13345,full,initial_stop,2080.8731,1.0
22,13600,13601,entry,next_open,1963.94,1.0
22,13600,13659,full,initial_stop,1905.0218,1.0
23,13662,13663,entry,next_open,1867.48,1.0
23,13662,13704,full,initial_stop,1811.4556,1.0
24,13881,13882,entry,next_open,1983.17,1.0
24,13881,13901,full,initial_stop,2042.6651000000002,1.0
25,13902,13903,entry,next_open,2031.55,1.0
25,13902,13951,full,initial_stop,2092.4964999999997,1.0
26,14110,14111,entry,next_open,2008.48,1.0
26,14110,14185,partial,take_profit,2099.73,0.5
26,14110,14738,tail,break_even,2008.48,0.5
27,14782,14783,entry,next_open,2124.26,1.0
27,14782,14936,partial,take_profit,2028.3600000000001,0.5
27,14782,14939,tail,opposite_signal_close,2008.99,0.5
28,14939,14940,entry,next_open,2008.98,1.0
28,14939,15218,full,initial_stop,1948.7106,1.0
29,15629,15630,entry,next_open,1907.96,1.0
29,15629,15825,partial,take_profit,1960.02,0.5
29,15629,16144,tail,opposite_signal_close,2100.11,0.5
30,16144,16145,entry,next_open,2100.11,1.0
30,16144,16312,partial,take_profit,2067.9900000000002,0.5
30,16144,16339,tail,opposite_signal_close,2043.99,0.5
31,16339,16340,entry,next_open,2044.0,1.0
31,16339,16387,partial,take_profit,2102.39,0.5
31,16339,16450,tail,break_even,2044.0,0.5
32,16452,16453,entry,next_open,2020.39,1.0
32,16452,16509,full,initial_stop,1959.7783000000002,1.0
33,16738,16739,entry,next_open,2003.29,1.0
33,16738,16770,partial,take_profit,1944.69,0.5
33,16738,16847,tail,break_even,2003.29,0.5
34,18511,18512,entry,next_open,1947.63,1.0
34,18511,18612,full,initial_stop,1889.2011000000002,1.0
35,19193,19194,entry,next_open,1909.35,1.0
35,19193,19340,full,initial_stop,1966.6305,1.0
36,19668,19669,entry,next_open,1990.51,1.0
36,19668,19945,full,initial_stop,1930.7947,1.0
37,20120,20121,entry,next_open,1869.59,1.0
37,20120,20266,partial,take_profit,1942.55,0.5
37,20120,20355,tail,opposite_signal_close,2040.84,0.5
38,20355,20356,entry,next_open,2040.84,1.0
38,20355,20535,partial,take_profit,1955.67,0.5
38,20355,20576,tail,opposite_signal_close,1911.34,0.5
39,20576,20577,entry,next_open,1911.34,1.0
39,20576,20794,partial,take_profit,1980.01,0.5
39,20576,20801,tail,opposite_signal_close,2030.47,0.5
40,20801,20802,entry,next_open,2030.47,1.0
40,20801,21002,partial,take_profit,1984.1200000000001,0.5
40,20801,21011,tail,opposite_signal_close,1952.57,0.5
41,21011,21012,entry,next_open,1952.57,1.0
41,21011,21285,partial,take_profit,1999.06,0.5
41,21011,21299,tail,opposite_signal_close,2062.98,0.5
42,21299,21300,entry,next_open,2062.98,1.0
42,21299,21377,full,initial_stop,2124.8694,1.0
43,21666,21667,entry,next_open,2073.83,1.0
43,21666,21936,full,initial_stop,2011.6151,1.0
44,21939,21940,entry,next_open,2010.0,1.0
44,21939,22167,partial,take_profit,1988.5900000000001,0.5
44,21939,22167,tail,break_even_marketable,1988.5900000000001,0.5
45,22672,22673,entry,next_open,1980.07,1.0
45,22672,22865,full,initial_stop,2039.4721,1.0
46,22953,22954,entry,next_open,2051.84,1.0
46,22953,23181,partial,take_profit,2023.23,0.5
46,22953,23370,tail,break_even,2051.84,0.5
47,23372,23373,entry,next_open,2062.32,1.0
47,23372,23541,partial,take_profit,2018.42,0.5
47,23372,23613,tail,break_even,2062.32,0.5
48,23789,23790,entry,next_open,2132.0,1.0
48,23789,23943,full,initial_stop,2195.96,1.0
49,24634,24635,entry,next_open,2179.93,1.0
49,24634,24690,full,initial_stop,2245.3278999999998,1.0
50,24691,24692,entry,next_open,2243.82,1.0
50,24691,24858,full,initial_stop,2311.1346000000003,1.0
51,25354,25355,entry,next_open,2308.82,1.0
51,25354,25374,full,initial_stop,2239.5554,1.0
52,25404,25405,entry,next_open,2186.74,1.0
52,25404,25668,full,initial_stop,2121.1378,1.0
53,25686,25687,entry,next_open,2113.46,1.0
53,25686,25897,partial,take_profit,2163.84,0.5
53,25686,26374,tail,break_even,2113.46,0.5
54,26377,26378,entry,next_open,2074.47,1.0
54,26377,26797,partial,take_profit,2072.78,0.5
54,26377,26797,tail,break_even_marketable,2072.78,0.5
55,27590,27591,entry,next_open,2139.76,1.0
55,27590,27642,full,initial_stop,2075.5672000000004,1.0
56,27646,27647,entry,next_open,2082.12,1.0
56,27646,27943,full,initial_stop,2019.6563999999998,1.0
57,27947,27948,entry,next_open,1989.73,1.0
57,27947,28177,partial,take_profit,1996.46,0.5
57,27947,28382,tail,break_even,1989.73,0.5
58,29335,29336,entry,next_open,2144.9,1.0
58,29335,29559,partial,take_profit,2117.12,0.5
58,29335,29566,tail,opposite_signal_close,2096.17,0.5
59,29566,29567,entry,next_open,2096.17,1.0
59,29566,29666,full,initial_stop,2033.2849,1.0
60,30484,30485,entry,next_open,2033.2,1.0
60,30484,30594,partial,take_profit,2069.12,0.5
60,30484,30683,tail,opposite_signal_close,2084.69,0.5
61,30683,30684,entry,next_open,2084.69,1.0
61,30683,30799,full,initial_stop,2147.2307,1.0
62,30972,30973,entry,next_open,2098.29,1.0
62,30972,31237,partial,take_profit,2127.95,0.5
62,30972,31261,tail,opposite_signal_close,2230.4,0.5
63,31261,31262,entry,next_open,2230.39,1.0
63,31261,31449,partial,take_profit,2203.5,0.5
63,31261,31483,tail,break_even,2230.39,0.5
64,31499,31500,entry,next_open,2200.84,1.0
64,31499,31743,partial,take_profit,2193.9,0.5
64,31499,31743,tail,break_even_marketable,2193.9,0.5
65,31767,31768,entry,next_open,2218.49,1.0
65,31767,32359,full,initial_stop,2285.0447,1.0
66,32909,32910,entry,next_open,2225.29,1.0
66,32909,32978,full,initial_stop,2292.0487,1.0
67,32983,32984,entry,next_open,2340.11,1.0
67,32983,33174,full,initial_stop,2410.3133000000003,1.0
68,33205,33206,entry,next_open,2333.89,1.0
68,33205,33429,partial,take_profit,2336.84,0.5
68,33205,33429,tail,break_even,2333.89,0.5
69,33516,33517,entry,next_open,2361.44,1.0
69,33516,33670,partial,take_profit,2336.04,0.5
69,33516,33743,tail,opposite_signal_close,2306.92,0.5
70,33743,33744,entry,next_open,2306.92,1.0
70,33743,33970,partial,take_profit,2356.39,0.5
70,33743,34025,tail,opposite_signal_close,2403.75,0.5
71,34025,34026,entry,next_open,2403.75,1.0
71,34025,34251,partial,take_profit,2396.21,0.5
71,34025,34496,tail,opposite_signal_close,2327.18,0.5
72,34496,34497,entry,next_open,2327.17,1.0
72,34496,34704,full,initial_stop,2257.3549000000003,1.0
73,35341,35342,entry,next_open,2373.44,1.0
73,35341,35584,partial,take_profit,2381.12,0.5
73,35341,35584,tail,break_even_marketable,2381.12,0.5
74,35589,35590,entry,next_open,2377.85,1.0
74,35589,35713,full,initial_stop,2306.5144999999998,1.0
75,35923,35924,entry,next_open,2303.61,1.0
75,35923,36518,partial,take_profit,2320.03,0.5
75,35923,36756,tail,opposite_signal_close,2395.16,0.5
76,36756,36757,entry,next_open,2395.17,1.0
76,36756,36811,partial,take_profit,2324.98,0.5
