signal_i,entry_i,exit_i,side,entry_price,initial_risk,initial_stop,exit_price,exit_reason,tp_i,tp_price,partial,gross_r,net_r,tail_price_r,gross_pnl,fees,net_pnl,censored,ambiguous_bar_count,entry_open_beyond_target,same_open_be_approximation,marketable_be_approximation,signal_time,entry_time,exit_time,signal_close,month,hold_hours,rsi,gate_passed
5430,5431,5658,1,3118.65,93.5595,3025.0905000000002,3118.65,break_even,5657.0,3134.94,True,0.0870568996200277,0.020303176053740997,0.0,8.144999999999982,6.245445000000001,1.8995549999999808,False,1,False,False,False,2026-01-08T06:30:00+00:00,2026-01-08T06:35:00+00:00,2026-01-09T01:30:00+00:00,2026-01-08T06:35:00+00:00,2026-01,19.0,27.81431961656675,True
5747,5748,5861,1,3081.67,92.45009999999999,2989.2199,3081.67,break_even,5825.0,3132.03,True,0.27236314509124454,0.20542411527948662,0.0,25.180000000000064,6.188520000000001,18.991480000000063,False,0,False,False,False,2026-01-09T08:55:00+00:00,2026-01-09T09:00:00+00:00,2026-01-09T18:25:00+00:00,2026-01-09T09:00:00+00:00,2026-01,9.5,32.09039210843463,False
6195,6196,6570,1,3080.43,92.4129,2988.0171,3163.6,opposite_signal_close,6284.0,3099.44,True,0.5528448950308902,0.4856253834691926,0.8999825781898423,51.090000000000146,6.21195,44.878050000000144,False,0,False,False,False,2026-01-10T22:15:00+00:00,2026-01-10T22:20:00+00:00,2026-01-12T05:30:00+00:00,2026-01-10T22:20:00+00:00,2026-01,31.25,24.502404486183323,True
6570,6571,6968,-1,3163.61,94.9083,3258.5183,3163.61,break_even,6675.0,3088.76,True,0.39432799871033364,0.32805566004237724,-0.0,37.424999999999955,6.289795000000001,31.135204999999953,False,0,False,False,False,2026-01-12T05:30:00+00:00,2026-01-12T05:35:00+00:00,2026-01-13T14:40:00+00:00,2026-01-12T05:35:00+00:00,2026-01,33.166666666666664,61.00632008741687,False
6857,6858,7057,-1,3138.6,94.15799999999999,3232.758,3232.758,initial_stop,,,False,-0.9999999999999991,-1.0676666666666659,-0.9999999999999991,-94.1579999999999,6.371358,-100.5293579999999,False,0,False,False,False,2026-01-13T05:25:00+00:00,2026-01-13T05:30:00+00:00,2026-01-13T22:05:00+00:00,2026-01-13T05:30:00+00:00,2026-01,16.666666666666668,75.37490630892069,True
8814,8815,8911,1,3181.76,95.4528,3086.3072,3086.3072,initial_stop,,,False,-1.0000000000000002,-1.065666666666667,-1.0000000000000002,-95.45280000000002,6.268067200000001,-101.72086720000003,False,0,False,False,False,2026-01-20T00:30:00+00:00,2026-01-20T00:35:00+00:00,2026-01-20T08:35:00+00:00,2026-01-20T00:35:00+00:00,2026-01,8.083333333333334,40.14404753604924,False
9009,9010,9078,1,3004.06,90.1218,2913.9382,2913.9382,initial_stop,,,False,-0.9999999999999989,-1.0656666666666657,-0.9999999999999989,-90.1217999999999,5.9179981999999995,-96.0397981999999,False,0,False,False,False,2026-01-20T16:45:00+00:00,2026-01-20T16:50:00+00:00,2026-01-20T22:30:00+00:00,2026-01-20T16:50:00+00:00,2026-01,5.75,35.518229287953474,False
9333,9334,11583,-1,3054.42,91.6326,3146.0526,2820.53,opposite_signal_close,9528.0,2984.79,True,1.6561791327540634,1.591168645220151,2.552475865576224,151.76,5.95708,145.80292,False,0,False,False,False,2026-01-21T19:45:00+00:00,2026-01-21T19:50:00+00:00,2026-01-29T15:15:00+00:00,2026-01-21T19:50:00+00:00,2026-01,187.5,83.42493101642523,True
9335,9336,11583,-1,3054.0,91.61999999999999,3145.62,2820.53,opposite_signal_close,9528.0,2984.79,True,1.6518227461252994,1.586807902204758,2.5482427417594393,151.33999999999992,5.95666,145.38333999999992,False,0,False,False,False,2026-01-21T19:55:00+00:00,2026-01-21T20:00:00+00:00,2026-01-29T15:15:00+00:00,2026-01-21T20:00:00+00:00,2026-01,187.33333333333334,83.11773155520166,True
9882,9883,11022,-1,2990.33,89.70989999999999,3080.0398999999998,2990.33,break_even,10127.0,2949.43,True,0.22795700363059201,0.16151829396755593,-0.0,20.450000000000045,5.96021,14.489790000000045,False,0,False,False,False,2026-01-23T17:30:00+00:00,2026-01-23T17:35:00+00:00,2026-01-27T16:30:00+00:00,2026-01-23T17:35:00+00:00,2026-01,95.0,66.44486690679504,False
11019,11020,11294,-1,2971.9,89.157,3061.0570000000002,2988.03,break_even_marketable,11294.0,2988.03,True,-0.18091680967282558,-0.24776439314916507,-0.18091680967282558,-16.13000000000011,5.959930000000001,-22.08993000000011,False,1,False,False,True,2026-01-27T16:15:00+00:00,2026-01-27T16:20:00+00:00,2026-01-28T15:10:00+00:00,2026-01-27T16:20:00+00:00,2026-01,22.916666666666668,77.26504274131094,True
11069,11070,11309,-1,3014.71,90.4413,3105.1513,3014.71,break_even,11294.0,2988.03,True,0.14749898552984,0.08097981784870317,-0.0,13.339999999999918,6.0160800000000005,7.323919999999918,False,0,False,False,False,2026-01-27T20:25:00+00:00,2026-01-27T20:30:00+00:00,2026-01-28T16:25:00+00:00,2026-01-27T20:30:00+00:00,2026-01,20.0,76.29317846257058,True
11255,11256,11583,-1,3038.21,91.1463,3129.3563,2820.53,opposite_signal_close,11294.0,2988.03,True,1.469395905264392,1.4041986345029895,2.3882483435970503,133.92999999999984,5.94249,127.98750999999983,False,0,False,False,False,2026-01-28T11:55:00+00:00,2026-01-28T12:00:00+00:00,2026-01-29T15:15:00+00:00,2026-01-28T12:00:00+00:00,2026-01,27.333333333333332,68.31262225841598,False
11583,11584,11708,1,2820.52,84.6156,2735.9044,2735.9044,initial_stop,,,False,-1.000000000000001,-1.0656666666666677,-1.000000000000001,-84.61560000000009,5.5564244,-90.17202440000008,False,0,False,False,False,2026-01-29T15:15:00+00:00,2026-01-29T15:20:00+00:00,2026-01-30T01:40:00+00:00,2026-01-29T15:20:00+00:00,2026-01,10.416666666666666,14.299638632762722,True
12451,12452,12541,1,2310.47,69.3141,2241.1558999999997,2241.1558999999997,initial_stop,,,False,-1.0000000000000009,-1.0656666666666677,-1.0000000000000009,-69.31410000000005,4.5516258999999994,-73.86572590000006,False,0,False,False,False,2026-02-01T15:35:00+00:00,2026-02-01T15:40:00+00:00,2026-02-01T23:05:00+00:00,2026-02-01T15:40:00+00:00,2026-02,7.5,30.845230423124974,False
12596,12597,13056,1,2178.97,65.36909999999999,2113.6009,2178.97,break_even,12727.0,2348.03,True,1.2931186141464426,1.2251588288656294,0.0,84.5300000000002,4.442469999999999,80.0875300000002,False,0,False,False,False,2026-02-02T03:40:00+00:00,2026-02-02T03:45:00+00:00,2026-02-03T18:00:00+00:00,2026-02-02T03:45:00+00:00,2026-02,38.333333333333336,23.896359535074524,True
13038,13039,13056,1,2248.2,67.446,2180.754,2180.754,initial_stop,,,False,-0.9999999999999988,-1.0656666666666654,-0.9999999999999988,-67.44599999999991,4.428953999999999,-71.87495399999992,False,0,False,False,False,2026-02-03T16:30:00+00:00,2026-02-03T16:35:00+00:00,2026-02-03T18:00:00+00:00,2026-02-03T16:35:00+00:00,2026-02,1.5,34.72330781648574,False
13057,13058,13061,1,2192.5,65.77499999999999,2126.725,2126.725,initial_stop,,,False,-1.0000000000000016,-1.0656666666666683,-1.0000000000000016,-65.77500000000009,4.319224999999999,-70.0942250000001,False,0,False,False,False,2026-02-03T18:05:00+00:00,2026-02-03T18:10:00+00:00,2026-02-03T18:25:00+00:00,2026-02-03T18:10:00+00:00,2026-02,0.3333333333333333,29.620121720975064,True
13062,13063,13345,1,2145.23,64.3569,2080.8731,2080.8731,initial_stop,,,False,-1.0000000000000036,-1.0656666666666703,-1.0000000000000036,-64.35690000000022,4.2261031,-68.58300310000023,False,0,False,False,False,2026-02-03T18:30:00+00:00,2026-02-03T18:35:00+00:00,2026-02-04T18:05:00+00:00,2026-02-03T18:35:00+00:00,2026-02,23.583333333333332,23.725362081959247,True
13294,13295,13315,1,2210.99,66.32969999999999,2144.6603,2144.6603,initial_stop,,,False,-0.9999999999999968,-1.0656666666666634,-0.9999999999999968,-66.32969999999978,4.3556503,-70.68535029999977,False,0,False,False,False,2026-02-04T13:50:00+00:00,2026-02-04T13:55:00+00:00,2026-02-04T15:35:00+00:00,2026-02-04T13:55:00+00:00,2026-02,1.75,35.0563942286811,False
13600,13601,13659,1,1963.94,58.9182,1905.0218,1905.0218,initial_stop,,,False,-1.000000000000001,-1.0656666666666679,-1.000000000000001,-58.91820000000007,3.8689618,-62.78716180000007,False,0,False,False,False,2026-02-05T15:20:00+00:00,2026-02-05T15:25:00+00:00,2026-02-05T20:15:00+00:00,2026-02-05T15:25:00+00:00,2026-02,4.916666666666667,21.586431270044855,True
13662,13663,13704,1,1867.48,56.0244,1811.4556,1811.4556,initial_stop,,,False,-1.0000000000000002,-1.065666666666667,-1.0000000000000002,-56.024400000000014,3.6789356,-59.70333560000002,False,0,False,False,False,2026-02-05T20:30:00+00:00,2026-02-05T20:35:00+00:00,2026-02-06T00:00:00+00:00,2026-02-05T20:35:00+00:00,2026-02,3.5,25.006432716725982,True
13679,13680,13706,1,1849.44,55.4832,1793.9568000000002,1793.9568000000002,initial_stop,,,False,-0.9999999999999982,-1.0656666666666648,-0.9999999999999982,-55.4831999999999,3.6433968000000005,-59.126596799999895,False,0,False,False,False,2026-02-05T21:55:00+00:00,2026-02-05T22:00:00+00:00,2026-02-06T00:10:00+00:00,2026-02-05T22:00:00+00:00,2026-02,2.25,39.02969968029095,False
13881,13882,13901,-1,1983.17,59.4951,2042.6651000000002,2042.6651000000002,initial_stop,,,False,-1.0000000000000016,-1.0676666666666683,-1.0000000000000016,-59.49510000000009,4.0258351,-63.520935100000095,False,0,False,False,False,2026-02-06T14:45:00+00:00,2026-02-06T14:50:00+00:00,2026-02-06T16:25:00+00:00,2026-02-06T14:50:00+00:00,2026-02,1.6666666666666667,70.77844694453697,True
13902,13903,13951,-1,2031.55,60.94649999999999,2092.4964999999997,2092.4964999999997,initial_stop,,,False,-0.9999999999999967,-1.0676666666666634,-0.9999999999999967,-60.94649999999979,4.1240465,-65.0705464999998,False,0,False,False,False,2026-02-06T16:30:00+00:00,2026-02-06T16:35:00+00:00,2026-02-06T20:35:00+00:00,2026-02-06T16:35:00+00:00,2026-02,4.083333333333333,75.54529507353533,True
14110,14111,14738,1,2008.48,60.2544,1948.2256,2008.48,break_even,14185.0,2099.73,True,0.7572061127486126,0.6897822399691973,0.0,45.625,4.062585,41.562415,False,1,False,False,False,2026-02-07T09:50:00+00:00,2026-02-07T09:55:00+00:00,2026-02-09T14:10:00+00:00,2026-02-07T09:55:00+00:00,2026-02,52.333333333333336,37.72450718170048,False
14782,14783,14939,-1,2124.26,63.7278,2187.9878000000003,2008.99,opposite_signal_close,14936.0,2028.3600000000001,True,1.656812254620435,1.5918024002083886,1.8087867461296359,105.58500000000015,4.1429350000000005,101.44206500000016,False,0,False,False,False,2026-02-09T17:50:00+00:00,2026-02-09T17:55:00+00:00,2026-02-10T06:55:00+00:00,2026-02-09T17:55:00+00:00,2026-02,13.083333333333334,71.39165536708033,True
14939,14940,15218,1,2008.98,60.2694,1948.7106,1948.7106,initial_stop,,,False,-0.9999999999999984,-1.0656666666666652,-0.9999999999999984,-60.269399999999905,3.9576906000000003,-64.22709059999991,False,0,False,False,False,2026-02-10T06:55:00+00:00,2026-02-10T07:00:00+00:00,2026-02-11T06:10:00+00:00,2026-02-10T07:00:00+00:00,2026-02,23.25,21.211206269524624,True
15629,15630,16144,1,1907.96,57.2388,1850.7212,2100.11,opposite_signal_close,15825.0,1960.02,True,2.1332557635729614,2.064455841142722,3.356988616113547,122.10500000000002,3.9380250000000006,118.16697500000002,False,0,False,False,False,2026-02-12T16:25:00+00:00,2026-02-12T16:30:00+00:00,2026-02-14T11:20:00+00:00,2026-02-12T16:30:00+00:00,2026-02,42.916666666666664,22.99875715454266,True
16144,16145,16339,-1,2100.11,63.0033,2163.1133,2043.99,opposite_signal_close,16312.0,2067.9900000000002,True,0.7002807789433252,0.6343143930556019,0.8907469926178488,44.120000000000005,4.1561,39.9639,False,0,False,False,False,2026-02-14T11:20:00+00:00,2026-02-14T11:25:00+00:00,2026-02-15T03:35:00+00:00,2026-02-14T11:25:00+00:00,2026-02,16.25,77.59340153729559,True
16339,16340,16450,1,2044.0,61.32,1982.68,2044.0,break_even,16387.0,2102.39,True,0.476108936725374,0.40896616112198203,0.0,29.194999999999936,4.117195,25.077804999999938,False,0,False,False,False,2026-02-15T03:35:00+00:00,2026-02-15T03:40:00+00:00,2026-02-15T12:50:00+00:00,2026-02-15T03:40:00+00:00,2026-02,9.25,29.259210906109203,True
16452,16453,16509,1,2020.39,60.6117,1959.7783000000002,1959.7783000000002,initial_stop,,,False,-0.9999999999999988,-1.0656666666666654,-0.9999999999999988,-60.61169999999993,3.9801683000000008,-64.59186829999993,False,0,False,False,False,2026-02-15T13:00:00+00:00,2026-02-15T13:05:00+00:00,2026-02-15T17:45:00+00:00,2026-02-15T13:05:00+00:00,2026-02,4.75,27.348641205392894,True
16738,16739,16847,-1,2003.29,60.098699999999994,2063.3887,2003.29,break_even,16770.0,1944.69,True,0.4875313442720052,0.4213522089496105,-0.0,29.299999999999955,3.9772799999999995,25.322719999999954,False,0,False,False,False,2026-02-16T12:50:00+00:00,2026-02-16T12:55:00+00:00,2026-02-16T21:55:00+00:00,2026-02-16T12:55:00+00:00,2026-02,9.083333333333334,73.09448247056953,True
18511,18512,18612,1,1947.63,58.4289,1889.2011000000002,1889.2011000000002,initial_stop,,,False,-0.999999999999998,-1.0656666666666648,-0.999999999999998,-58.428899999999885,3.8368311000000004,-62.26573109999988,False,0,False,False,False,2026-02-22T16:35:00+00:00,2026-02-22T16:40:00+00:00,2026-02-23T01:00:00+00:00,2026-02-22T16:40:00+00:00,2026-02,8.416666666666666,39.48572770388085,False
19193,19194,19340,-1,1909.35,57.280499999999996,1966.6305,1966.6305,initial_stop,,,False,-1.0000000000000013,-1.067666666666668,-1.0000000000000013,-57.280500000000075,3.8759805,-61.15648050000007,False,0,False,False,False,2026-02-25T01:25:00+00:00,2026-02-25T01:30:00+00:00,2026-02-25T13:40:00+00:00,2026-02-25T01:30:00+00:00,2026-02,12.25,80.21724941712135,True
19668,19669,19945,1,1990.51,59.7153,1930.7947,1930.7947,initial_stop,,,False,-1.000000000000001,-1.0656666666666679,-1.000000000000001,-59.71530000000007,3.9213047,-63.63660470000007,False,0,False,False,False,2026-02-26T17:00:00+00:00,2026-02-26T17:05:00+00:00,2026-02-27T16:05:00+00:00,2026-02-26T17:05:00+00:00,2026-02,23.083333333333332,28.966256617853205,True
20120,20121,20355,1,1869.59,56.0877,1813.5022999999999,2040.84,opposite_signal_close,20266.0,1942.55,True,2.1770370330749884,2.1081933293752466,3.053254100275105,122.10500000000002,3.8612849999999996,118.24371500000002,False,0,False,False,False,2026-02-28T06:40:00+00:00,2026-02-28T06:45:00+00:00,2026-03-01T02:15:00+00:00,2026-02-28T06:45:00+00:00,2026-02,19.583333333333332,24.092391552416245,True
20140,20141,20355,1,1856.24,55.6872,1800.5528,2040.84,opposite_signal_close,20266.0,1942.55,True,2.4324261230587987,2.363327030269073,3.314944906549439,135.45499999999993,3.8479349999999997,131.60706499999992,False,0,False,False,False,2026-02-28T08:20:00+00:00,2026-02-28T08:25:00+00:00,2026-03-01T02:15:00+00:00,2026-02-28T08:25:00+00:00,2026-02,17.916666666666668,39.195771550767326,False
20355,20356,20576,-1,2040.84,61.225199999999994,2102.0652,1911.34,opposite_signal_close,20535.0,1955.67,True,1.7531179971645652,1.6882044484950631,2.1151421310179472,107.33499999999992,3.974345,103.36065499999992,False,0,False,False,False,2026-03-01T02:15:00+00:00,2026-03-01T02:20:00+00:00,2026-03-01T20:40:00+00:00,2026-03-01T02:20:00+00:00,2026-03,18.416666666666668,77.62340558285676,True
20576,20577,20801,1,1911.34,57.340199999999996,1853.9997999999998,2030.47,opposite_signal_close,20794.0,1980.01,True,1.6375945671623067,1.5692903059284777,2.0776000083710926,93.90000000000009,3.91658,89.9834200000001,False,0,False,False,False,2026-03-01T20:40:00+00:00,2026-03-01T20:45:00+00:00,2026-03-02T15:25:00+00:00,2026-03-01T20:45:00+00:00,2026-03,18.75,14.44891006045762,True
20801,20802,21011,-1,2030.47,60.9141,2091.3841,1952.57,opposite_signal_close,21002.0,1984.1200000000001,True,1.0198788129513527,0.9542320250976375,1.278850052779243,62.125,3.998815,58.126185,False,0,False,False,False,2026-03-02T15:25:00+00:00,2026-03-02T15:30:00+00:00,2026-03-03T08:55:00+00:00,2026-03-02T15:30:00+00:00,2026-03,17.5,81.69756410181414,True
21011,21012,21299,1,1952.57,58.577099999999994,1893.9929,2062.98,opposite_signal_close,21285.0,1999.06,True,1.3392605642819473,1.2712546370509987,1.884866270266027,78.45000000000005,3.9835899999999995,74.46641000000005,False,0,False,False,False,2026-03-03T08:55:00+00:00,2026-03-03T09:00:00+00:00,2026-03-04T08:55:00+00:00,2026-03-03T09:00:00+00:00,2026-03,24.0,18.217070563503952,True
21299,21300,21377,-1,2062.98,61.889399999999995,2124.8694,2124.8694,initial_stop,,,False,-1.0000000000000004,-1.0676666666666672,-1.0000000000000004,-61.88940000000002,4.1878494,-66.07724940000003,False,0,False,False,False,2026-03-04T08:55:00+00:00,2026-03-04T09:00:00+00:00,2026-03-04T15:25:00+00:00,2026-03-04T09:00:00+00:00,2026-03,6.5,83.09497729876009,True
21666,21667,21936,1,2073.83,62.21489999999999,2011.6151,2011.6151,initial_stop,,,False,-0.9999999999999992,-1.0656666666666659,-0.9999999999999992,-62.21489999999994,4.0854451,-66.30034509999994,False,0,False,False,False,2026-03-05T15:30:00+00:00,2026-03-05T15:35:00+00:00,2026-03-06T14:00:00+00:00,2026-03-05T15:35:00+00:00,2026-03,22.5,29.13354992191819,True
21691,21692,21937,1,2066.69,62.0007,2004.6893,2004.6893,initial_stop,,,False,-1.0000000000000009,-1.0656666666666674,-1.0000000000000009,-62.00070000000005,4.0713793,-66.07207930000006,False,0,False,False,False,2026-03-05T17:35:00+00:00,2026-03-05T17:40:00+00:00,2026-03-06T14:05:00+00:00,2026-03-05T17:40:00+00:00,2026-03,20.5,42.21877710038065,False
21914,21915,21945,1,2043.29,61.2987,1981.9913,1981.9913,initial_stop,,,False,-1.0000000000000009,-1.0656666666666677,-1.0000000000000009,-61.29870000000005,4.0252813,-65.32398130000006,False,0,False,False,False,2026-03-06T12:10:00+00:00,2026-03-06T12:15:00+00:00,2026-03-06T14:45:00+00:00,2026-03-06T12:15:00+00:00,2026-03,2.5833333333333335,33.81906777446392,False
21939,21940,22167,1,2010.0,60.3,1949.7,1988.5900000000001,break_even_marketable,22167.0,1988.5900000000001,True,-0.3550580431177422,-0.42136965174129115,-0.3550580431177422,-21.409999999999854,3.9985900000000005,-25.408589999999855,False,1,False,False,True,2026-03-06T14:15:00+00:00,2026-03-06T14:20:00+00:00,2026-03-07T09:15:00+00:00,2026-03-06T14:20:00+00:00,2026-03,19.0,26.8156029735907,True
22672,22673,22865,-1,1980.07,59.4021,2039.4721,2039.4721,initial_stop,,,False,-1.0000000000000004,-1.067666666666667,-1.0000000000000004,-59.40210000000002,4.0195421,-63.42164210000002,False,0,False,False,False,2026-03-09T03:20:00+00:00,2026-03-09T03:25:00+00:00,2026-03-09T19:25:00+00:00,2026-03-09T03:25:00+00:00,2026-03,16.083333333333332,61.04025404554551,False
22747,22748,23099,-1,2014.44,60.4332,2074.8732,2074.8732,initial_stop,,,False,-0.9999999999999991,-1.0676666666666657,-0.9999999999999991,-60.43319999999994,4.089313199999999,-64.52251319999993,False,0,False,False,False,2026-03-09T09:35:00+00:00,2026-03-09T09:40:00+00:00,2026-03-10T14:55:00+00:00,2026-03-09T09:40:00+00:00,2026-03,29.333333333333332,73.0861593846831,True
22953,22954,23370,-1,2051.84,61.5552,2113.3952,2051.84,break_even,23181.0,2023.23,True,0.23239303909336764,0.16595876546579433,-0.0,14.305000000000064,4.089375,10.215625000000063,False,0,False,False,False,2026-03-10T02:45:00+00:00,2026-03-10T02:50:00+00:00,2026-03-11T13:30:00+00:00,2026-03-10T02:50:00+00:00,2026-03,34.75,79.74175143455037,True
23372,23373,23613,-1,2062.32,61.869600000000005,2124.1896,2062.32,break_even,23541.0,2018.42,True,0.35477843722927,0.28846654899983265,-0.0,21.950000000000045,4.10269,17.847310000000046,False,0,False,False,False,2026-03-11T13:40:00+00:00,2026-03-11T13:45:00+00:00,2026-03-12T09:45:00+00:00,2026-03-11T13:45:00+00:00,2026-03,20.083333333333332,68.06999912180045,False
23789,23790,23943,-1,2132.0,63.96,2195.96,2195.96,initial_stop,,,False,-1.0000000000000007,-1.0676666666666672,-1.0000000000000007,-63.960000000000036,4.32796,-68.28796000000004,False,0,False,False,False,2026-03-13T00:25:00+00:00,2026-03-13T00:30:00+00:00,2026-03-13T13:15:00+00:00,2026-03-13T00:30:00+00:00,2026-03,12.833333333333334,84.33208874470334,True
23791,23792,23943,-1,2131.1,63.93299999999999,2195.033,2195.033,initial_stop,,,False,-1.0,-1.0676666666666668,-1.0,-63.93299999999999,4.3261330000000005,-68.25913299999999,False,0,False,False,False,2026-03-13T00:35:00+00:00,2026-03-13T00:40:00+00:00,2026-03-13T13:15:00+00:00,2026-03-13T00:40:00+00:00,2026-03,12.666666666666666,74.90930684943345,True
