symbol,side,ma,candidates,unknown,passed,known_reject,common_ready
HYPEUSDT,-1,sma60,141,0,134,7,138
HYPEUSDT,-1,ema60,141,2,133,6,138
HYPEUSDT,-1,sma120,141,0,111,30,138
HYPEUSDT,-1,ema120,141,3,116,22,138
HYPEUSDT,1,none,151,0,151,0,145
HYPEUSDT,1,sma20,151,0,151,0,145
HYPEUSDT,1,ema20,151,0,151,0,145
HYPEUSDT,1,sma60,151,0,149,2,145
HYPEUSDT,1,ema60,151,1,146,4,145
HYPEUSDT,1,sma120,151,0,112,39,145
HYPEUSDT,1,ema120,151,6,116,29,145
JUPUSDT,-1,none,257,0,257,0,257
JUPUSDT,-1,sma20,257,0,257,0,257
JUPUSDT,-1,ema20,257,0,257,0,257
JUPUSDT,-1,sma60,257,0,248,9,257
JUPUSDT,-1,ema60,257,0,248,9,257
JUPUSDT,-1,sma120,257,0,199,58,257
JUPUSDT,-1,ema120,257,0,212,45,257
JUPUSDT,1,none,218,0,218,0,218
JUPUSDT,1,sma20,218,0,218,0,218
JUPUSDT,1,ema20,218,0,218,0,218
JUPUSDT,1,sma60,218,0,209,9,218
JUPUSDT,1,ema60,218,0,203,15,218
JUPUSDT,1,sma120,218,0,167,51,218
JUPUSDT,1,ema120,218,0,166,52,218
MUBARAKUSDT,-1,none,156,0,156,0,152
MUBARAKUSDT,-1,sma20,156,0,156,0,152
MUBARAKUSDT,-1,ema20,156,0,156,0,152
MUBARAKUSDT,-1,sma60,156,0,153,3,152
MUBARAKUSDT,-1,ema60,156,3,148,5,152
MUBARAKUSDT,-1,sma120,156,0,122,34,152
MUBARAKUSDT,-1,ema120,156,4,126,26,152
MUBARAKUSDT,1,none,142,0,142,0,137
MUBARAKUSDT,1,sma20,142,0,142,0,137
MUBARAKUSDT,1,ema20,142,0,142,0,137
MUBARAKUSDT,1,sma60,142,0,138,4,137
MUBARAKUSDT,1,ema60,142,1,133,8,137
MUBARAKUSDT,1,sma120,142,0,106,36,137
MUBARAKUSDT,1,ema120,142,5,108,29,137
NEARUSDT,-1,none,234,0,234,0,234
NEARUSDT,-1,sma20,234,0,234,0,234
NEARUSDT,-1,ema20,234,0,234,0,234
NEARUSDT,-1,sma60,234,0,226,8,234
NEARUSDT,-1,ema60,234,0,226,8,234
NEARUSDT,-1,sma120,234,0,200,34,234
NEARUSDT,-1,ema120,234,0,205,29,234
NEARUSDT,1,none,200,0,200,0,200
NEARUSDT,1,sma20,200,0,200,0,200
NEARUSDT,1,ema20,200,0,200,0,200
NEARUSDT,1,sma60,200,0,189,11,200
NEARUSDT,1,ema60,200,0,191,9,200
NEARUSDT,1,sma120,200,0,143,57,200
NEARUSDT,1,ema120,200,0,155,45,200
ONEUSDT,-1,none,211,0,211,0,211
ONEUSDT,-1,sma20,211,0,211,0,211
ONEUSDT,-1,ema20,211,0,211,0,211
ONEUSDT,-1,sma60,211,0,204,7,211
ONEUSDT,-1,ema60,211,0,205,6,211
ONEUSDT,-1,sma120,211,0,166,45,211
ONEUSDT,-1,ema120,211,0,172,39,211
