arm,period,timeframe_min,side,sample,source_signals,market_events,executed,occupied_or_unmapped,censored,closed,wins,win_rate,pf,mean_net_r,realized_10r,realized_10r_rate,mfe_10r
v7,validation,60,-1,confirmed_event_leaders,2693,2693,2128,565,21,2107,764,0.36260085429520644,1.1658879861282527,0.1037185369849158,5,0.0023730422401518746,33
v7,validation,60,-1,event_leaders,8899,8899,7180,1719,89,7091,2439,0.34395712875475953,1.136051745811257,0.01736720615182706,18,0.0025384289945000705,117
v7,validation,60,-1,multi_venue_confirmed,5523,2693,4358,1165,43,4315,1541,0.3571263035921205,1.144043920582238,0.09139500690473072,12,0.0027809965237543454,68
v7,validation,60,1,baseline,12845,9611,10209,2636,56,10153,2685,0.2644538560031518,0.8283539982944913,-0.12398458004082771,73,0.007189993105486063,274
v7,validation,60,1,confirmed_event_leaders,3034,3034,2430,604,10,2420,644,0.26611570247933886,0.7772866674367984,-0.11076612305984766,17,0.0070247933884297524,55
v7,validation,60,1,event_leaders,9611,9611,7689,1922,47,7642,2010,0.2630201517927244,0.8462568152874206,-0.13216652484910832,58,0.007589636220884585,212
v7,validation,60,1,multi_venue_confirmed,6253,3034,4950,1303,19,4931,1319,0.2674913810586088,0.7766389714527151,-0.10481705050952535,32,0.006489555871020077,117
v7,validation,240,-1,baseline,3099,2004,2595,504,23,2572,995,0.3868584758942457,1.6435007172855676,0.2837480871722359,8,0.003110419906687403,56
v7,validation,240,-1,confirmed_event_leaders,841,841,699,142,5,694,282,0.40634005763688763,1.910370761716013,0.41393442664213,3,0.004322766570605188,20
v7,validation,240,-1,event_leaders,2004,2004,1689,315,18,1671,620,0.3710353081986834,1.4761225376005414,0.19268983993290173,4,0.0023937761819269898,31
v7,validation,240,-1,multi_venue_confirmed,1935,841,1605,330,10,1595,657,0.41191222570532915,1.957820036603847,0.4357905014224139,7,0.00438871473354232,45
v7,validation,240,1,baseline,3881,2422,3024,857,96,2928,733,0.2503415300546448,0.7608468472845833,-0.18601409710211034,23,0.007855191256830601,81
v7,validation,240,1,confirmed_event_leaders,1096,1096,840,256,26,814,193,0.2371007371007371,0.7118052744213065,-0.22149943310895426,5,0.006142506142506142,24
v7,validation,240,1,event_leaders,2422,2422,1915,507,57,1858,482,0.25941872981700753,0.7342005155012931,-0.20976358244099844,12,0.006458557588805167,47
v7,validation,240,1,multi_venue_confirmed,2552,1096,1949,603,65,1884,444,0.2356687898089172,0.7655693113413197,-0.17792413943221472,16,0.008492569002123142,58
v8,development,30,-1,baseline,13067,10238,11025,2042,2,11023,3740,0.3392905742538329,1.2315041750056146,0.14414339934500284,34,0.0030844597659439353,227
v8,development,30,-1,confirmed_event_leaders,2785,2785,2363,422,0,2363,829,0.350825222175201,1.3231332717305067,0.22125014922692404,4,0.0016927634363097758,49
v8,development,30,-1,event_leaders,10238,10238,8664,1574,2,8662,2911,0.3360655737704918,1.2124261593390864,0.1273245497871935,31,0.0035788501500808125,183
v8,development,30,-1,multi_venue_confirmed,5592,2785,4724,868,0,4724,1658,0.35097375105842504,1.313079014581157,0.21355240121645172,7,0.0014817950889077054,93
v8,development,30,1,baseline,13021,10137,10947,2074,0,10947,3345,0.30556316799123046,1.0683583043970784,0.12101846210110556,102,0.009317621266100301,340
v8,development,30,1,confirmed_event_leaders,2843,2843,2423,420,0,2423,765,0.31572430870821294,1.06596807169372,0.17820872087476627,20,0.008254230293025175,65
v8,development,30,1,event_leaders,10137,10137,8542,1595,0,8542,2610,0.3055490517443222,1.071161515007457,0.11198856574766829,84,0.009833762584874737,271
v8,development,30,1,multi_venue_confirmed,5700,2843,4828,872,0,4828,1500,0.3106876553438277,1.0622750083217247,0.1656964595451075,38,0.007870753935376968,134
v8,development,60,-1,baseline,6463,4969,5474,989,0,5474,1630,0.29777128242601386,0.8054146869720803,-0.16259090499568785,2,0.00036536353671903543,34
v8,development,60,-1,confirmed_event_leaders,1474,1474,1264,210,0,1264,376,0.2974683544303797,0.760440080140043,-0.16419491498695432,0,0.0,10
v8,development,60,-1,event_leaders,4969,4969,4214,755,0,4214,1262,0.2994779307071666,0.8232089840278644,-0.15910006001578214,2,0.00047460844803037496,25
v8,development,60,-1,multi_venue_confirmed,2963,1474,2524,439,0,2524,744,0.294770206022187,0.7536597711833973,-0.16922239840863684,0,0.0,19
v8,development,60,1,baseline,7238,5547,5948,1290,0,5948,1955,0.32868190988567586,0.9761066255307016,0.07201226429778579,47,0.007901815736381977,151
v8,development,60,1,confirmed_event_leaders,1679,1679,1390,289,0,1390,465,0.3345323741007194,0.9988102637121042,0.12754261399716954,12,0.008633093525179856,32
v8,development,60,1,event_leaders,5547,5547,4554,993,0,4554,1481,0.3252086078173035,0.9649873555400608,0.051134858903071956,36,0.007905138339920948,120
v8,development,60,1,multi_venue_confirmed,3366,1679,2784,582,0,2784,939,0.33728448275862066,1.0060257457492372,0.13388830246217884,23,0.008261494252873564,63
v8,development,240,-1,baseline,2239,1434,1899,340,0,1899,449,0.2364402317008952,0.5830769471958521,-0.36182879323917405,0,0.0,2
v8,development,240,-1,confirmed_event_leaders,564,564,479,85,0,479,112,0.23382045929018788,0.5233582278343941,-0.3960241525982173,0,0.0,0
v8,development,240,-1,event_leaders,1434,1434,1225,209,0,1225,289,0.23591836734693877,0.6013782395970365,-0.3488690661436085,0,0.0,2
v8,development,240,-1,multi_venue_confirmed,1368,564,1153,215,0,1153,272,0.23590633130962707,0.5389443468747369,-0.38980385206402196,0,0.0,0
v8,development,240,1,baseline,2111,1318,1848,263,0,1848,726,0.39285714285714285,1.9013070336381699,0.5642881184887802,28,0.015151515151515152,97
v8,development,240,1,confirmed_event_leaders,571,571,503,68,0,503,215,0.4274353876739563,2.3540491729870436,0.8071165471750272,11,0.02186878727634195,29
v8,development,240,1,event_leaders,1318,1318,1152,166,0,1152,426,0.3697916666666667,1.6657076076614374,0.4460603435445749,14,0.012152777777777778,65
v8,development,240,1,multi_venue_confirmed,1363,571,1199,164,0,1199,515,0.42952460383653046,2.3497028580066526,0.7797519186263171,25,0.020850708924103418,61
v8,validation,30,-1,baseline,21207,16613,18043,3164,199,17844,5264,0.29500112082492713,0.8962185643706985,-0.1285894793626859,47,0.0026339385787939925,159
v8,validation,30,-1,confirmed_event_leaders,4481,4481,3864,617,48,3816,1144,0.29979035639413,0.8933358478750254,-0.10610955110309371,6,0.0015723270440251573,31
v8,validation,30,-1,event_leaders,16613,16613,14174,2439,149,14025,4128,0.294331550802139,0.9040119584895611,-0.1311384122224695,42,0.002994652406417112,126
v8,validation,30,-1,multi_venue_confirmed,9050,4481,7733,1317,98,7635,2280,0.29862475442043224,0.8806349808365473,-0.11267170731329904,11,0.001440733464309103,64
v8,validation,30,1,baseline,21343,16509,17786,3557,25,17761,4699,0.2645684364619109,0.8471726730703314,-0.1123857393579568,147,0.008276561004447947,436
v8,validation,30,1,confirmed_event_leaders,4709,4709,3924,785,3,3921,1060,0.27033919918388166,0.845499800309292,-0.08705247893206622,30,0.0076511094108645756,84
v8,validation,30,1,event_leaders,16509,16509,13821,2688,23,13798,3633,0.2632990288447601,0.8448844564553794,-0.1178872164660121,114,0.00826206696622699,347
v8,validation,30,1,multi_venue_confirmed,9510,4709,7889,1621,5,7884,2126,0.26966007102993406,0.8503367057177732,-0.09015830464627948,63,0.007990867579908675,173
v8,validation,60,-1,baseline,9895,7612,8288,1607,97,8191,2854,0.34843120498107677,1.2210043563566135,0.06690734189890783,26,0.0031742156024905386,149
v8,validation,60,-1,confirmed_event_leaders,2155,2155,1805,350,19,1786,658,0.3684210526315789,1.3303925419790033,0.13413387893511752,6,0.0033594624860022394,32
v8,validation,60,-1,event_leaders,7612,7612,6396,1216,76,6320,2169,0.34319620253164557,1.1887667872136418,0.04719755232517342,19,0.0030063291139240506,114
v8,validation,60,-1,multi_venue_confirmed,4421,2155,3697,724,40,3657,1343,0.3672409078479628,1.3327886231169919,0.1338016446751375,13,0.003554826360404703,67
v8,validation,60,1,baseline,10733,8140,8904,1829,44,8860,2284,0.25778781038374715,0.7789429888306809,-0.1379291585551829,69,0.007787810383747178,245
v8,validation,60,1,confirmed_event_leaders,2440,2440,2065,375,7,2058,523,0.2541302235179786,0.6865501867712187,-0.15171007639218906,16,0.007774538386783284,47
v8,validation,60,1,event_leaders,8140,8140,6771,1369,38,6733,1736,0.25783454626466656,0.803232807607244,-0.14001017654126746,55,0.008168721223822962,191
v8,validation,60,1,multi_venue_confirmed,5020,2440,4198,822,13,4185,1071,0.25591397849462366,0.6963790278284032,-0.1413579840768678,30,0.007168458781362007,101
v8,validation,240,-1,baseline,2764,1824,2347,417,20,2327,873,0.37516115169746456,1.636988373814702,0.2586646889761339,8,0.0034379028792436614,53
v8,validation,240,-1,confirmed_event_leaders,732,732,620,112,4,616,244,0.3961038961038961,1.8584310012709475,0.38646692782126685,3,0.00487012987012987,17
v8,validation,240,-1,event_leaders,1824,1824,1563,261,16,1547,558,0.36069812540400775,1.4956098676329106,0.1742929363681519,4,0.002585649644473174,30
v8,validation,240,-1,multi_venue_confirmed,1671,732,1404,267,8,1396,559,0.4004297994269341,1.9068557584769787,0.40855672365604084,7,0.00501432664756447,40
v8,validation,240,1,baseline,3214,2039,2682,532,58,2624,651,0.24809451219512196,0.807713543914218,-0.17786862820250568,22,0.008384146341463415,75
v8,validation,240,1,confirmed_event_leaders,892,892,743,149,16,727,169,0.2324621733149931,0.7734257505264039,-0.20614006334181514,5,0.0068775790921595595,23
v8,validation,240,1,event_leaders,2039,2039,1707,332,38,1669,427,0.25584182144997003,0.7698114142459194,-0.19774516596521566,12,0.007189934092270821,45
v8,validation,240,1,multi_venue_confirmed,2065,892,1718,347,36,1682,393,0.23365041617122473,0.8301736828365591,-0.1703652939696371,15,0.0089179548156956,53
