symbol	detail
MINIMAX_USDT_SWAP	{'source': 'okx', 'symbol': 'MINIMAX_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1676, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
URNM_USDT_SWAP	{'source': 'okx', 'symbol': 'URNM_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1614, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
EWT_USDT_SWAP	{'source': 'okx', 'symbol': 'EWT_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1501, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
WEN_USDT_SWAP	{'source': 'okx', 'symbol': 'WEN_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1475, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
UVXY_USDT_SWAP	{'source': 'okx', 'symbol': 'UVXY_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1461, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
VRT_USDT_SWAP	{'source': 'okx', 'symbol': 'VRT_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1421, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
HYUNDAI_USDT_SWAP	{'source': 'okx', 'symbol': 'HYUNDAI_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.133, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
IWM_USDT_SWAP	{'source': 'okx', 'symbol': 'IWM_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1321, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
POET_USDT_SWAP	{'source': 'okx', 'symbol': 'POET_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1321, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
SMH_USDT_SWAP	{'source': 'okx', 'symbol': 'SMH_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1301, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
LLY_USDT_SWAP	{'source': 'okx', 'symbol': 'LLY_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1052, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
SMCI_USDT_SWAP	{'source': 'okx', 'symbol': 'SMCI_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1032, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
LRCX_USDT_SWAP	{'source': 'okx', 'symbol': 'LRCX_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1004, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
NFLX_USDT_SWAP	{'source': 'okx', 'symbol': 'NFLX_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.099, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
INFQ_USDT_SWAP	{'source': 'okx', 'symbol': 'INFQ_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0853, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
NOW_USDT_SWAP	{'source': 'okx', 'symbol': 'NOW_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0847, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
HPE_USDT_SWAP	{'source': 'okx', 'symbol': 'HPE_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0839, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
LUNR_USDT_SWAP	{'source': 'okx', 'symbol': 'LUNR_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0805, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
MSFT_USDT_SWAP	{'source': 'okx', 'symbol': 'MSFT_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0751, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
ORCL_USDT_SWAP	{'source': 'okx', 'symbol': 'ORCL_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0741, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
IREN_USDT_SWAP	{'source': 'okx', 'symbol': 'IREN_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0705, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
META_USDT_SWAP	{'source': 'okx', 'symbol': 'META_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0694, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
RDW_USDT_SWAP	{'source': 'okx', 'symbol': 'RDW_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0663, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
XPD_USDT_SWAP	{'source': 'okx', 'symbol': 'XPD_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.0653, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
