epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,4824.37,1.34175,1.2217,1.39804,0.48641,0.4895,0.43701,0.18965,1.90309,1.69049,1.84075,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4977.26,1.31678,1.15981,1.38011,0.48156,0.56423,0.46096,0.19521,1.89641,1.73025,1.84216,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5130.08,1.29578,1.1262,1.36792,0.50229,0.5491,0.4606,0.19914,1.88269,1.69575,1.83101,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5282.72,1.28807,1.14059,1.35304,0.49891,0.53168,0.45411,0.19227,1.919,1.71455,1.88807,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5435.55,1.26624,1.10644,1.34493,0.5025,0.52393,0.46164,0.19437,1.91355,1.71321,1.86999,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5588.41,1.25682,1.04353,1.34822,0.49662,0.52225,0.44554,0.19415,1.89451,1.69955,1.8683,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5741.24,1.23014,1.02227,1.32635,0.49081,0.54996,0.46083,0.19322,1.90963,1.74816,1.89345,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5893.99,1.22117,1.03098,1.31256,0.4653,0.56591,0.43846,0.18817,1.9339,1.77519,1.91762,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6046.58,1.19636,0.97043,1.29774,0.46901,0.55103,0.44604,0.19506,1.89914,1.75768,1.88581,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6199.33,1.18414,0.95571,1.29366,0.50529,0.55057,0.44184,0.18744,1.92726,1.73902,1.93037,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6351.97,1.15471,0.92422,1.27349,0.51411,0.51637,0.45604,0.19531,1.95453,1.79404,1.92943,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6504.42,1.15268,0.92869,1.26631,0.49014,0.5466,0.44191,0.19011,1.93856,1.78035,1.93639,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6657.13,1.12731,0.86657,1.25584,0.47191,0.53988,0.43424,0.18424,1.96525,1.82088,1.97715,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
