direction,qty,signal_i,signal_time,entry_i,entry_time,entry_price,entry_equity,entry_fee,leverage,score,stop,initial_stop,exit_i,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,gross_return,net_return,fees,holding_bars,n_controls,matched,control_mean,paired_excess
1,1.528387107218888,3745,2021-09-16 04:00:00+00:00,3746,2021-09-16 08:00:00+00:00,3634.55,694.3768305516852,5.55499936054241,7.999977989082585,0.505739147565501,3525.5232,3525.5232,3749,2021-09-16 20:00:00+00:00,3525.5232,stop,-166.6351554613324,-177.5785190269559,-0.029997331168920522,-0.031967333837751605,10.943363565623486,3,1,True,-0.03196999999999997,2.666162248365911e-06
-1,0.6485393529954626,3768,2021-09-20 00:00:00+00:00,3769,2021-09-20 04:00:00+00:00,3187.46,516.7983115247293,2.0671932460989173,4.0,0.2968575004298215,3184.27254,3283.0838,3836,2021-10-01 08:00:00+00:00,3184.27254,stop,2.0671932460989826,-2.065126052852753,0.0010000000000000315,-0.0009989999999999684,4.132319298951735,67,3,True,-0.0009989999999999819,1.3444106938820255e-17
1,0.6363804999374127,3836,2021-10-01 08:00:00+00:00,3837,2021-10-01 12:00:00+00:00,3235.38,514.7331854718766,2.0589327418875065,4.0,0.4051682241094876,4235.3291,3138.3186,4179,2021-11-27 12:00:00+00:00,4111.97,reverse,557.8447824401368,553.1690721739217,0.27093880780619284,0.2686678689983867,4.67571026621515,342,3,True,-0.011324778832799651,0.2799926478311863
-1,1.0413685266868442,4178,2021-11-27 08:00:00+00:00,4179,2021-11-27 12:00:00+00:00,4111.97,1067.9022576457983,4.282076140680504,4.009801561914838,1.4080784241034727,4107.85803,4235.3291,4184,2021-11-28 08:00:00+00:00,4107.85803,stop,4.282076140680428,-4.277794064539899,0.0009999999999999825,-0.0009990000000000179,8.559870205220328,5,3,True,-0.011353663020738515,0.010354663020738498
-1,2.6385955522013833,4960,2022-04-06 16:00:00+00:00,4961,2022-04-06 20:00:00+00:00,3225.02,1063.6244635812582,8.509523427760506,8.000496151723196,0.8582149458022016,3221.79498,3321.5646,4963,2022-04-07 04:00:00+00:00,3221.79498,stop,8.509523427760133,-8.501013904333119,0.0009999999999999562,-0.000999000000000044,17.01053733209325,2,3,True,-0.013971669536930714,0.012972669536930671
1,2.877318406689119,5131,2022-05-05 04:00:00+00:00,5132,2022-05-05 08:00:00+00:00,2933.62,1055.123449676925,8.440958824231334,7.999972730030713,0.827731805956752,2845.6211000000003,2845.6211000000003,5133,2022-05-05 12:00:00+00:00,2845.6211000000003,stop,-253.20085473839396,-269.8295715321183,-0.02999669350495279,-0.03196669681144784,16.628716793724273,1,0,False,,
-1,1.151014276975221,5137,2022-05-06 04:00:00+00:00,5138,2022-05-06 08:00:00+00:00,2729.05,785.2938781448067,3.141175512579227,4.0,1.0791343381107623,2020.3862,2810.9215000000004,5250,2022-05-25 00:00:00+00:00,2020.3862,stop,815.682151375513,810.21548250173,0.259674172331031,0.25793384650336204,5.466668873782941,112,3,True,-0.014684071604962804,0.27261791810832486
1,4.859949773137281,6155,2022-10-22 20:00:00+00:00,6156,2022-10-23 00:00:00+00:00,1313.18,1595.5093606465366,6.381988843088415,3.999969539822874,0.46035854571531276,1594.7673,1273.7943,6245,2022-11-06 20:00:00+00:00,1594.7673,stop,1368.500134753339,1354.3676569324086,0.21443160876650563,0.2122171771577391,14.13247782093017,89,3,True,-0.03196999999999997,0.24418717715773908
-1,7.638804199132363,6815,2023-02-09 20:00:00+00:00,6816,2023-02-10 00:00:00+00:00,1544.67,2949.877017578945,11.79943168227379,3.9999741046689286,0.43820512040677695,1543.12533,1591.0204,6832,2023-02-12 16:00:00+00:00,1543.12533,stop,11.799431682273761,-11.787632250591543,0.0009999999999999976,-0.0009990000000000023,23.587063932865306,16,3,True,-0.021686339494551916,0.020687339494551912
1,13.891675580748718,6852,2023-02-16 00:00:00+00:00,6853,2023-02-16 04:00:00+00:00,1692.01,2938.0893853283537,23.50485399938264,8.000047281323877,0.9734291675094835,1693.7020099999997,1641.24,6856,2023-02-16 16:00:00+00:00,1693.7020099999997,stop,23.50485399937923,-23.52835885338543,0.000999999999999855,-0.001001000000000145,47.03321285276466,3,3,True,-0.011324000000000055,0.010322999999999909
1,14.155140031811213,6936,2023-03-02 00:00:00+00:00,6937,2023-03-02 04:00:00+00:00,1647.2,2914.5610264749685,23.316346660399432,7.999951433029183,0.23127891778239626,1597.7937,1597.7937,6942,2023-03-03 00:00:00+00:00,1597.7937,stop,-699.3530949536757,-745.2864351795209,-0.029994111219038427,-0.03196411710781939,45.933340225845186,5,3,True,-0.03196790417918383,3.7870713644402865e-06
-1,5.548619968399244,6944,2023-03-03 08:00:00+00:00,6945,2023-03-03 12:00:00+00:00,1563.83,2169.2745912954474,8.67709836518179,4.0,0.4659010100804082,1562.2661699999999,1610.7449,6970,2023-03-07 16:00:00+00:00,1562.2661699999999,stop,8.677098365182081,-8.668421266816317,0.0010000000000000336,-0.0009989999999999665,17.3455196319984,25,3,True,-0.011342666666666655,0.010343666666666688
