direction,qty,signal_i,signal_time,entry_i,entry_time,entry_price,entry_equity,entry_fee,leverage,score,stop,initial_stop,exit_i,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,gross_return,net_return,fees,holding_bars,n_controls,matched,control_mean,paired_excess
1,0.4317542764090218,8199,2023-09-28 12:00:00+00:00,8200,2023-09-28 16:00:00+00:00,1652.01,713.2666997132322,0.7132623821704681,0.999993946804518,0.5781300711843605,1653.6620099999998,1602.4594,8224,2023-10-02 16:00:00+00:00,1653.6620099999998,stop,0.7132623821703779,-0.7139756445527288,0.0009999999999998736,-0.0010010000000001266,1.4272380267231066,24,3,True,-0.01132204982159145,0.010321049821591323
-1,0.3712294857191053,8499,2023-11-17 12:00:00+00:00,8500,2023-11-17 16:00:00+00:00,1919.45,712.5527240686795,0.7125564363635367,1.0000052098528738,0.32203697613304094,1977.0232,1977.0232,8512,2023-11-19 16:00:00+00:00,1977.0232,stop,-21.37286942720321,-22.819355169357486,-0.029994633879496753,-0.03202462851337625,1.4464857421542767,12,3,True,-0.0009990000000000031,-0.031025628513376247
1,0.3296673703401293,8582,2023-12-01 08:00:00+00:00,8583,2023-12-01 12:00:00+00:00,2092.21,689.7333688993219,0.6897333688993219,1.0,0.23334539949437547,2183.4506,2029.4437,8734,2023-12-26 16:00:00+00:00,2183.4506,stop,30.079048670255627,28.669502883786727,0.043609675892955335,0.041566066217062374,1.4095457864688994,151,2,True,-0.001001000000000155,0.04256706621706253
1,0.3026447063857225,8944,2024-01-30 16:00:00+00:00,8945,2024-01-30 20:00:00+00:00,2373.75,718.4028717831087,0.7184028717831088,1.0000000000000002,0.23998422343527723,2302.5375,2302.5375,8948,2024-01-31 08:00:00+00:00,2302.5375,stop,-21.552086153493292,-22.967339810906015,-0.030000000000000037,-0.03197000000000003,1.4152536574127244,3,3,True,-0.02164958697946588,-0.010320413020534155
-1,0.18831385446151666,9212,2024-03-15 08:00:00+00:00,9213,2024-03-15 12:00:00+00:00,3692.97,695.4355319722026,0.6954374151107471,1.0000027078549454,0.9736156385494685,3803.7488,3803.7488,9214,2024-03-15 16:00:00+00:00,3803.7488,stop,-20.86118282062147,-22.272918833663585,-0.02999721091695845,-0.032027208127875406,1.4117360130421157,1,3,True,-0.011342666666666654,-0.020684541461208752
1,0.1873570427389656,9275,2024-03-25 20:00:00+00:00,9276,2024-03-26 00:00:00+00:00,3592.94,673.1626131385391,0.6731626131385391,1.0,0.7159128154106199,3596.5329399999996,3485.1518,9279,2024-03-26 12:00:00+00:00,3596.5329399999996,stop,0.6731626131384537,-0.673835775751763,0.0009999999999998732,-0.0010010000000001268,1.3469983888902166,3,3,True,-0.021646193305894946,0.02064519330589482
-1,0.2031013190066103,9320,2024-04-02 08:00:00+00:00,9321,2024-04-02 12:00:00+00:00,3311.11,672.4887773627873,0.6724908083759774,1.0000030201443628,0.7571095771905583,3307.79889,3410.433,9324,2024-04-03 00:00:00+00:00,3307.79889,stop,0.6724908083759975,-0.6718183175675814,0.00100000000000003,-0.0009989999999999702,1.3443091259435789,3,3,True,-0.011343725602810854,0.010344725602810884
1,0.18475950218092654,9356,2024-04-08 08:00:00+00:00,9357,2024-04-08 12:00:00+00:00,3636.18,671.8169590452197,0.6718188066402414,1.000002750146445,0.5357913220683401,3639.8161799999993,3527.0849000000003,9361,2024-04-09 04:00:00+00:00,3639.8161799999993,stop,0.6718188066401515,-0.6724906254469716,0.0009999999999998662,-0.001001000000000134,1.344309432087123,4,3,True,-0.021647000000000045,0.02064599999999991
-1,0.20765223059589638,9384,2024-04-13 00:00:00+00:00,9385,2024-04-13 04:00:00+00:00,3232.06,671.1444684197728,0.6711444684197728,1.0,1.149584091340037,3228.82794,3329.0218,9397,2024-04-15 04:00:00+00:00,3228.82794,stop,0.6711444684197354,-0.6704733239513906,0.0009999999999999443,-0.000999000000000056,1.3416177923711259,12,2,True,-0.016512812271443043,0.015513812271442988
-1,0.22403873300291088,9489,2024-04-30 12:00:00+00:00,9490,2024-04-30 16:00:00+00:00,2992.66,670.4739950958214,0.6704717547084913,0.9999966585022738,0.7320500983335404,2989.66734,3082.4501,9491,2024-04-30 20:00:00+00:00,2989.66734,stop,0.670471754708466,-0.6698012829538081,0.0009999999999999623,-0.0009990000000000378,1.340273037662274,1,3,True,-0.0009990000000000294,-8.456776945386935e-18
-1,0.21970445829081223,9532,2024-05-07 16:00:00+00:00,9533,2024-05-07 20:00:00+00:00,3048.75,669.8041938128675,0.6698239672141137,1.0000295211666765,0.2759436686583319,3045.70125,3140.1198,9545,2024-05-09 20:00:00+00:00,3045.70125,stop,0.6698239672140978,-0.6691541432469157,0.0009999999999999762,-0.000999000000000024,1.3389781104610134,12,3,True,-0.021687249711584772,0.02068824971158475
-1,0.18183906812551173,9719,2024-06-07 20:00:00+00:00,9720,2024-06-08 00:00:00+00:00,3679.82,669.1350396696206,0.6691350396696206,1.0,0.23046362961849456,3489.5652999999998,3790.2146000000002,9795,2024-06-20 12:00:00+00:00,3597.49,reverse,14.970810478773451,13.647511209912983,0.02237337695865569,0.020395750335614346,1.323299268860468,75,3,True,-0.01134368361197414,0.031739433947588484
1,0.18997598745478778,9794,2024-06-20 08:00:00+00:00,9795,2024-06-20 12:00:00+00:00,3597.49,682.7825508795336,0.6834367151087245,1.0009580857453786,0.3084837676350746,3489.5652999999998,3489.5652999999998,9796,2024-06-20 16:00:00+00:00,3489.5652999999998,stop,-20.50310145326174,-21.849471782025923,-0.030000000000000006,-0.031970000000000005,1.3463703287641873,1,3,True,-0.0010010000000001357,-0.030968999999999868
