event_id,start,label_end,source_groups,positive_event_ids,positive_event_count,sample_anchor_min,sample_anchor_max,cumulative_positive_events,split
22,2026-03-26 17:42:00+00:00,2026-03-26 21:21:00+00:00,owner_no_068,,0,2026-03-26 18:21:00+00:00,2026-03-26 18:21:00+00:00,8,train
23,2026-03-27 03:30:00+00:00,2026-03-27 07:12:00+00:00,"owner_no_114,owner_no_112",,0,2026-03-27 04:09:00+00:00,2026-03-27 04:12:00+00:00,8,train
24,2026-03-27 10:12:00+00:00,2026-03-27 13:42:00+00:00,"owner_no_061,calibration_p009_t171",p009,1,2026-03-27 10:15:00+00:00,2026-03-27 10:42:00+00:00,9,train
25,2026-03-28 22:45:00+00:00,2026-03-29 02:21:00+00:00,owner_no_150,,0,2026-03-28 23:21:00+00:00,2026-03-28 23:21:00+00:00,9,train
26,2026-03-29 12:36:00+00:00,2026-03-29 15:36:00+00:00,calibration_p010_t168,p010,1,2026-03-29 12:36:00+00:00,2026-03-29 12:36:00+00:00,10,train
27,2026-03-29 21:30:00+00:00,2026-03-30 01:54:00+00:00,"calibration_p011_t055,owner_no_170",p011,1,2026-03-29 22:00:00+00:00,2026-03-29 22:54:00+00:00,11,train
28,2026-03-30 14:06:00+00:00,2026-03-30 20:03:00+00:00,"owner_no_084,calibration_p012_t047",p012,1,2026-03-30 14:42:00+00:00,2026-03-30 17:03:00+00:00,12,train
29,2026-03-30 22:36:00+00:00,2026-03-31 02:09:00+00:00,owner_no_180,,0,2026-03-30 23:09:00+00:00,2026-03-30 23:09:00+00:00,12,train
30,2026-03-31 08:15:00+00:00,2026-03-31 12:24:00+00:00,"calibration_p013_t130,owner_no_102,owner_no_020",p013,1,2026-03-31 08:27:00+00:00,2026-03-31 09:24:00+00:00,13,train
31,2026-04-01 17:27:00+00:00,2026-04-01 21:03:00+00:00,owner_no_081,,0,2026-04-01 18:03:00+00:00,2026-04-01 18:03:00+00:00,13,train
32,2026-04-02 17:27:00+00:00,2026-04-02 21:06:00+00:00,owner_no_031,,0,2026-04-02 18:06:00+00:00,2026-04-02 18:06:00+00:00,13,train
33,2026-04-03 12:30:00+00:00,2026-04-03 16:09:00+00:00,"calibration_p014_t132,owner_no_046",p014,1,2026-04-03 12:30:00+00:00,2026-04-03 13:09:00+00:00,14,train
34,2026-04-05 05:33:00+00:00,2026-04-05 09:21:00+00:00,"owner_no_008,owner_no_198,owner_no_178",,0,2026-04-05 06:09:00+00:00,2026-04-05 06:21:00+00:00,14,train
35,2026-04-05 21:45:00+00:00,2026-04-06 01:24:00+00:00,"owner_no_138,owner_no_165",,0,2026-04-05 22:21:00+00:00,2026-04-05 22:24:00+00:00,14,train
36,2026-04-06 16:27:00+00:00,2026-04-06 20:03:00+00:00,"calibration_p015_t124,owner_no_030",p015,1,2026-04-06 16:54:00+00:00,2026-04-06 17:03:00+00:00,15,train
37,2026-04-06 22:30:00+00:00,2026-04-07 02:09:00+00:00,owner_no_108,,0,2026-04-06 23:09:00+00:00,2026-04-06 23:09:00+00:00,15,train
38,2026-04-07 10:33:00+00:00,2026-04-07 17:15:00+00:00,"owner_no_121,owner_no_200,owner_no_163",,0,2026-04-07 11:00:00+00:00,2026-04-07 14:15:00+00:00,15,train
39,2026-04-08 13:03:00+00:00,2026-04-08 17:51:00+00:00,"calibration_p016_t024,owner_no_048,owner_no_110",p016,1,2026-04-08 13:30:00+00:00,2026-04-08 14:51:00+00:00,16,train
40,2026-04-08 18:12:00+00:00,2026-04-09 04:18:00+00:00,"owner_no_058,owner_no_172,owner_no_092,calibration_p017_t025,owner_no_183,owner_no_003",p017,1,2026-04-08 18:51:00+00:00,2026-04-09 01:18:00+00:00,17,train
41,2026-04-09 13:12:00+00:00,2026-04-09 16:54:00+00:00,"owner_no_179,owner_no_054",,0,2026-04-09 13:51:00+00:00,2026-04-09 13:54:00+00:00,17,train
42,2026-04-09 22:42:00+00:00,2026-04-10 01:45:00+00:00,calibration_p018_t191,p018,1,2026-04-09 22:45:00+00:00,2026-04-09 22:45:00+00:00,18,train
43,2026-04-12 01:30:00+00:00,2026-04-12 05:00:00+00:00,owner_no_043,,0,2026-04-12 02:00:00+00:00,2026-04-12 02:00:00+00:00,18,train
44,2026-04-12 10:30:00+00:00,2026-04-12 16:39:00+00:00,"owner_no_095,owner_no_116,owner_no_017",,0,2026-04-12 11:03:00+00:00,2026-04-12 13:39:00+00:00,18,train
45,2026-04-12 21:48:00+00:00,2026-04-13 01:18:00+00:00,owner_no_182,,0,2026-04-12 22:18:00+00:00,2026-04-12 22:18:00+00:00,18,train
46,2026-04-14 14:21:00+00:00,2026-04-14 19:18:00+00:00,"calibration_p019_t091,calibration_p019_t153","p019,p019",1,2026-04-14 14:39:00+00:00,2026-04-14 16:18:00+00:00,19,train
47,2026-04-15 02:12:00+00:00,2026-04-15 08:36:00+00:00,"owner_no_051,owner_no_176",,0,2026-04-15 02:45:00+00:00,2026-04-15 05:36:00+00:00,19,train
48,2026-04-16 13:42:00+00:00,2026-04-16 16:42:00+00:00,calibration_p020_t090,p020,1,2026-04-16 13:42:00+00:00,2026-04-16 13:42:00+00:00,20,train
49,2026-04-17 00:51:00+00:00,2026-04-17 04:30:00+00:00,owner_no_159,,0,2026-04-17 01:30:00+00:00,2026-04-17 01:30:00+00:00,20,train
50,2026-04-17 04:36:00+00:00,2026-04-17 08:09:00+00:00,owner_no_129,,0,2026-04-17 05:09:00+00:00,2026-04-17 05:09:00+00:00,20,train
51,2026-04-17 10:12:00+00:00,2026-04-17 13:42:00+00:00,owner_no_018,,0,2026-04-17 10:42:00+00:00,2026-04-17 10:42:00+00:00,20,train
52,2026-04-17 17:39:00+00:00,2026-04-17 21:12:00+00:00,owner_no_001,,0,2026-04-17 18:12:00+00:00,2026-04-17 18:12:00+00:00,20,train
53,2026-04-18 07:39:00+00:00,2026-04-18 10:39:00+00:00,calibration_p021_t169,p021,1,2026-04-18 07:39:00+00:00,2026-04-18 07:39:00+00:00,21,train
54,2026-04-19 02:00:00+00:00,2026-04-19 05:33:00+00:00,owner_no_137,,0,2026-04-19 02:33:00+00:00,2026-04-19 02:33:00+00:00,21,val
55,2026-04-19 06:36:00+00:00,2026-04-19 10:18:00+00:00,owner_no_028,,0,2026-04-19 07:18:00+00:00,2026-04-19 07:18:00+00:00,21,val
56,2026-04-19 16:12:00+00:00,2026-04-19 19:12:00+00:00,calibration_p022_t015,p022,1,2026-04-19 16:12:00+00:00,2026-04-19 16:12:00+00:00,22,val
57,2026-04-19 20:24:00+00:00,2026-04-20 01:12:00+00:00,"owner_no_078,owner_no_057",,0,2026-04-19 20:57:00+00:00,2026-04-19 22:12:00+00:00,22,val
58,2026-04-20 04:45:00+00:00,2026-04-20 08:27:00+00:00,"calibration_p023_t033,owner_no_103",p023,1,2026-04-20 05:06:00+00:00,2026-04-20 05:27:00+00:00,23,val
59,2026-04-20 13:33:00+00:00,2026-04-20 17:42:00+00:00,"owner_no_016,owner_no_045",,0,2026-04-20 14:09:00+00:00,2026-04-20 14:42:00+00:00,23,val
60,2026-04-21 12:09:00+00:00,2026-04-21 22:45:00+00:00,"owner_no_164,owner_no_109,owner_no_035,owner_no_119,owner_no_122",,0,2026-04-21 12:48:00+00:00,2026-04-21 19:45:00+00:00,23,val
61,2026-04-22 14:18:00+00:00,2026-04-22 17:51:00+00:00,"owner_no_181,owner_no_002",,0,2026-04-22 14:45:00+00:00,2026-04-22 14:51:00+00:00,23,val
62,2026-04-22 23:36:00+00:00,2026-04-23 06:21:00+00:00,"owner_no_093,owner_no_082",,0,2026-04-23 00:12:00+00:00,2026-04-23 03:21:00+00:00,23,val
63,2026-04-23 07:27:00+00:00,2026-04-23 12:12:00+00:00,"calibration_p024_t133,owner_no_007,owner_no_158,owner_no_113",p024,1,2026-04-23 07:36:00+00:00,2026-04-23 09:12:00+00:00,24,val
64,2026-04-23 16:27:00+00:00,2026-04-23 20:48:00+00:00,"calibration_p025_t022,owner_no_118,owner_no_156",p025,1,2026-04-23 16:51:00+00:00,2026-04-23 17:48:00+00:00,25,val
65,2026-04-24 02:57:00+00:00,2026-04-24 06:36:00+00:00,"owner_no_029,owner_no_040,calibration_p026_t126",p026,1,2026-04-24 03:00:00+00:00,2026-04-24 03:36:00+00:00,26,val
66,2026-04-27 05:03:00+00:00,2026-04-27 08:36:00+00:00,owner_no_060,,0,2026-04-27 05:36:00+00:00,2026-04-27 05:36:00+00:00,26,val
67,2026-04-27 14:36:00+00:00,2026-04-27 17:54:00+00:00,calibration_p027_t032,p027,1,2026-04-27 14:54:00+00:00,2026-04-27 14:54:00+00:00,27,val
68,2026-04-28 06:09:00+00:00,2026-04-28 09:45:00+00:00,"owner_no_094,owner_no_135",,0,2026-04-28 06:42:00+00:00,2026-04-28 06:45:00+00:00,27,val
69,2026-04-29 11:48:00+00:00,2026-04-29 21:24:00+00:00,"calibration_p028_t011,owner_no_087,owner_no_189,owner_no_194,owner_no_184,owner_no_059",p028,1,2026-04-29 12:00:00+00:00,2026-04-29 18:24:00+00:00,28,val
70,2026-04-30 02:09:00+00:00,2026-04-30 06:30:00+00:00,"owner_no_157,owner_no_036,owner_no_004",,0,2026-04-30 02:45:00+00:00,2026-04-30 03:30:00+00:00,28,val
71,2026-05-01 20:18:00+00:00,2026-05-01 23:18:00+00:00,calibration_p029_t070,p029,1,2026-05-01 20:18:00+00:00,2026-05-01 20:18:00+00:00,29,val
