policy,period,timeframe_min,direction,signals,trades,win_rate,profit_factor,net_r,mean_loss_r,closed_trade_max_drawdown_r,realized_ge_10r_count,exit_reasons
back_inside_rope_3,development,240,long,2524,1986,0.3716012084592145,2.0261172286765685,1162.7038341570576,-0.9079408153671391,201.5551005095138,30,"{""back_inside_rope_3_next_open"": 228, ""initial_stop"": 846, ""initial_stop_gap"": 5, ""opposite_v6_next_open"": 157, ""trailing_stop"": 746, ""trailing_stop_gap"": 4}"
back_inside_rope_3,development,240,short,2431,1926,0.22118380062305296,0.47870616892611495,-708.7711730850049,-0.9064256801516455,708.5056269857143,0,"{""back_inside_rope_3_next_open"": 195, ""initial_stop"": 1093, ""initial_stop_gap"": 7, ""opposite_v6_next_open"": 280, ""trailing_stop"": 350, ""trailing_stop_gap"": 1}"
baseline,development,30,long,15091,12206,0.3039488776011797,1.1254505845679152,1100.2266720260784,-1.0322739693119432,2234.3169669964973,104,"{""initial_stop"": 6996, ""initial_stop_gap"": 3, ""opposite_v6_next_open"": 1594, ""trailing_stop"": 3611, ""trailing_stop_gap"": 2}"
baseline,development,30,short,15195,12250,0.34661224489795917,1.1892620026019696,1567.7814491775805,-1.0349396132473938,1543.361555786685,35,"{""initial_stop"": 6504, ""initial_stop_gap"": 4, ""opposite_v6_next_open"": 1829, ""trailing_stop"": 3910, ""trailing_stop_gap"": 3}"
baseline,development,60,long,8560,6522,0.30358785648574055,0.9159639132669259,-384.88295020545746,-1.008360261808442,1208.4705812325806,40,"{""initial_stop"": 3691, ""opposite_v6_next_open"": 865, ""trailing_stop"": 1966}"
baseline,development,60,short,7424,6011,0.3089336216935618,0.7941612347425754,-856.3609860285909,-1.001528271660506,1105.2139278973798,2,"{""initial_stop"": 3478, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 891, ""trailing_stop"": 1640}"
baseline,development,240,long,2524,1948,0.39271047227926076,1.9756107493386974,1168.6128811200622,-1.0125333758865196,208.7654761005571,30,"{""initial_stop"": 996, ""initial_stop_gap"": 5, ""opposite_v6_next_open"": 171, ""trailing_stop"": 772, ""trailing_stop_gap"": 4}"
baseline,development,240,short,2431,1874,0.23959445037353255,0.4985473370779226,-693.5569463801676,-0.970593368080977,692.5196824790202,0,"{""initial_stop"": 1198, ""initial_stop_gap"": 7, ""opposite_v6_next_open"": 294, ""trailing_stop"": 374, ""trailing_stop_gap"": 1}"
no_new_extreme_2,development,30,long,15091,13090,0.25775401069518716,1.0789119029926375,594.1558206460825,-0.7749440234151611,1776.4140915090352,89,"{""initial_stop"": 4877, ""initial_stop_gap"": 2, ""no_new_extreme_2_next_open"": 4039, ""opposite_v6_next_open"": 1249, ""trailing_stop"": 2922, ""trailing_stop_gap"": 1}"
no_new_extreme_2,development,30,short,15195,13151,0.28370466124249105,1.0862777589897763,608.2478225305188,-0.7483948736782347,1396.5655584545473,25,"{""initial_stop"": 4337, ""initial_stop_gap"": 3, ""no_new_extreme_2_next_open"": 4432, ""opposite_v6_next_open"": 1269, ""trailing_stop"": 3107, ""trailing_stop_gap"": 3}"
no_new_extreme_2,development,60,long,8560,7118,0.26847429053104804,0.8417878820780484,-638.2997819109712,-0.7748138478999854,1025.0828694699267,36,"{""initial_stop"": 2581, ""no_new_extreme_2_next_open"": 2320, ""opposite_v6_next_open"": 660, ""trailing_stop"": 1557}"
no_new_extreme_2,development,60,short,7424,6435,0.26278166278166276,0.7424132237967682,-903.6584221625727,-0.739496386986579,970.774173537086,2,"{""initial_stop"": 2451, ""initial_stop_gap"": 1, ""no_new_extreme_2_next_open"": 2027, ""opposite_v6_next_open"": 654, ""trailing_stop"": 1302}"
no_new_extreme_2,development,240,long,2524,2111,0.34628138323069635,1.9120309522455157,886.7819942439311,-0.7045765787013157,185.27353294898623,19,"{""initial_stop"": 640, ""initial_stop_gap"": 5, ""no_new_extreme_2_next_open"": 703, ""opposite_v6_next_open"": 139, ""trailing_stop"": 622, ""trailing_stop_gap"": 2}"
no_new_extreme_2,development,240,short,2431,2053,0.20457866536775451,0.45134072272517367,-588.1522895765162,-0.6564488323644,588.0545768781028,0,"{""initial_stop"": 791, ""initial_stop_gap"": 5, ""no_new_extreme_2_next_open"": 814, ""opposite_v6_next_open"": 179, ""trailing_stop"": 263, ""trailing_stop_gap"": 1}"
no_new_extreme_3,development,30,long,15091,12910,0.26522075910147175,1.080285926328121,632.3671918788968,-0.8303224628800946,1915.0759025000427,90,"{""initial_stop"": 5311, ""initial_stop_gap"": 3, ""no_new_extreme_3_next_open"": 3194, ""opposite_v6_next_open"": 1306, ""trailing_stop"": 3094, ""trailing_stop_gap"": 2}"
no_new_extreme_3,development,30,short,15195,12991,0.2954353013624817,1.0996226288489939,736.9004772926965,-0.8081414410383299,1436.4077807291496,29,"{""initial_stop"": 4699, ""initial_stop_gap"": 3, ""no_new_extreme_3_next_open"": 3616, ""opposite_v6_next_open"": 1360, ""trailing_stop"": 3310, ""trailing_stop_gap"": 3}"
no_new_extreme_3,development,60,long,8560,7025,0.2693238434163701,0.8537291370261819,-620.2363413105419,-0.8260914384676766,1050.107490830847,39,"{""initial_stop"": 2785, ""no_new_extreme_3_next_open"": 1888, ""opposite_v6_next_open"": 704, ""trailing_stop"": 1648}"
no_new_extreme_3,development,60,short,7424,6345,0.27454688731284477,0.7669445446363137,-852.0669258516732,-0.7942796936796859,946.832010992868,2,"{""initial_stop"": 2627, ""initial_stop_gap"": 2, ""no_new_extreme_3_next_open"": 1656, ""opposite_v6_next_open"": 679, ""trailing_stop"": 1381}"
no_new_extreme_3,development,240,long,2524,2078,0.3537054860442733,1.9659865466224036,966.0649411242609,-0.744662066164457,192.99784992720095,22,"{""initial_stop"": 669, ""initial_stop_gap"": 5, ""no_new_extreme_3_next_open"": 594, ""opposite_v6_next_open"": 142, ""trailing_stop"": 665, ""trailing_stop_gap"": 3}"
no_new_extreme_3,development,240,short,2431,2017,0.21616261774913237,0.4686698074958069,-611.120830073429,-0.7274961877504437,611.8329742604357,0,"{""initial_stop"": 863, ""initial_stop_gap"": 5, ""no_new_extreme_3_next_open"": 656, ""opposite_v6_next_open"": 202, ""trailing_stop"": 290, ""trailing_stop_gap"": 1}"
back_inside_rope_2,validation_reused_history,30,long,25311,20734,0.25450950130220895,0.8424409787468803,-2311.222608499225,-0.9490154785722064,3611.056747360262,154,"{""back_inside_rope_2_next_open"": 2171, ""initial_stop"": 10648, ""initial_stop_gap"": 37, ""opposite_v6_next_open"": 2719, ""trailing_stop"": 5157, ""trailing_stop_gap"": 2}"
back_inside_rope_2,validation_reused_history,30,short,24491,20289,0.2890728966435014,0.815892260081574,-2594.1911634973603,-0.9768867413971376,2965.911101900979,40,"{""back_inside_rope_2_next_open"": 1548, ""initial_stop"": 10595, ""initial_stop_gap"": 36, ""opposite_v6_next_open"": 2995, ""trailing_stop"": 5089, ""trailing_stop_gap"": 26}"
back_inside_rope_2,validation_reused_history,60,long,12845,10366,0.24898707312367355,0.823933337045294,-1285.6070904657988,-0.9379344963845414,2039.6814791008733,69,"{""back_inside_rope_2_next_open"": 966, ""initial_stop"": 5527, ""initial_stop_gap"": 12, ""opposite_v6_next_open"": 1303, ""trailing_stop"": 2555, ""trailing_stop_gap"": 3}"
back_inside_rope_2,validation_reused_history,60,short,11749,9495,0.3281727224855187,1.0256616294853382,157.04508194936435,-0.9593730362990551,1403.8377350659198,22,"{""back_inside_rope_2_next_open"": 727, ""initial_stop"": 4608, ""initial_stop_gap"": 7, ""opposite_v6_next_open"": 1391, ""trailing_stop"": 2757, ""trailing_stop_gap"": 5}"
back_inside_rope_2,validation_reused_history,240,long,3874,2995,0.2343906510851419,0.7403978694439726,-541.6634085432329,-0.9099492914874554,984.0392423390491,22,"{""back_inside_rope_2_next_open"": 306, ""initial_stop"": 1745, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 195, ""trailing_stop"": 746, ""trailing_stop_gap"": 1}"
back_inside_rope_2,validation_reused_history,240,short,3098,2598,0.37259430331023863,1.468014162458255,711.72282305914,-0.9329627258595731,321.42573900443006,8,"{""back_inside_rope_2_next_open"": 141, ""initial_stop"": 1260, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 311, ""trailing_stop"": 881, ""trailing_stop_gap"": 3}"
back_inside_rope_3,validation_reused_history,30,long,25311,20904,0.24894756984309224,0.8406272038353654,-2311.1459225210283,-0.9236629475040624,3607.887406441636,152,"{""back_inside_rope_3_next_open"": 3097, ""initial_stop"": 10014, ""initial_stop_gap"": 34, ""opposite_v6_next_open"": 2671, ""trailing_stop"": 5086, ""trailing_stop_gap"": 2}"
back_inside_rope_3,validation_reused_history,30,short,24491,20416,0.28462970219435735,0.8165420984544112,-2558.1678521136446,-0.9547530492045049,2927.767169835571,40,"{""back_inside_rope_3_next_open"": 2321, ""initial_stop"": 10059, ""initial_stop_gap"": 32, ""opposite_v6_next_open"": 2945, ""trailing_stop"": 5033, ""trailing_stop_gap"": 26}"
back_inside_rope_3,validation_reused_history,60,long,12845,10445,0.24356151268549545,0.8200536838796068,-1300.0624705316404,-0.9144062789137585,2047.835195465572,67,"{""back_inside_rope_3_next_open"": 1416, ""initial_stop"": 5230, ""initial_stop_gap"": 11, ""opposite_v6_next_open"": 1271, ""trailing_stop"": 2514, ""trailing_stop_gap"": 3}"
back_inside_rope_3,validation_reused_history,60,short,11749,9551,0.3233169301643807,1.0210404180222181,127.63910119812245,-0.9386317002331461,1416.5247589117505,21,"{""back_inside_rope_3_next_open"": 1050, ""initial_stop"": 4395, ""initial_stop_gap"": 6, ""opposite_v6_next_open"": 1363, ""trailing_stop"": 2732, ""trailing_stop_gap"": 5}"
back_inside_rope_3,validation_reused_history,240,long,3874,3025,0.2300826446280992,0.7400359592951519,-536.8231177699422,-0.8866422917580211,982.9075508087778,21,"{""back_inside_rope_3_next_open"": 441, ""initial_stop"": 1656, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 185, ""trailing_stop"": 740, ""trailing_stop_gap"": 1}"
back_inside_rope_3,validation_reused_history,240,short,3098,2609,0.36834036029129935,1.47911379929706,718.9613926698039,-0.9105623374426479,311.53385588356355,8,"{""back_inside_rope_3_next_open"": 221, ""initial_stop"": 1203, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 306, ""trailing_stop"": 874, ""trailing_stop_gap"": 3}"
baseline,validation_reused_history,30,long,25311,20294,0.2695870700699714,0.8427578683120607,-2390.0775137653386,-1.0254322090071013,3747.4236470551077,159,"{""initial_stop"": 12013, ""initial_stop_gap"": 44, ""opposite_v6_next_open"": 2869, ""trailing_stop"": 5365, ""trailing_stop_gap"": 3}"
baseline,validation_reused_history,30,short,24491,19987,0.30139590733977084,0.8186521396891421,-2619.443451328767,-1.0344698880904142,2968.8793630171563,47,"{""initial_stop"": 11560, ""initial_stop_gap"": 36, ""opposite_v6_next_open"": 3117, ""trailing_stop"": 5247, ""trailing_stop_gap"": 27}"
baseline,validation_reused_history,60,long,12845,10153,0.2644538560031518,0.8327718708832492,-1258.8154411545238,-1.0079718908086994,2024.3148245809411,73,"{""initial_stop"": 6128, ""initial_stop_gap"": 14, ""opposite_v6_next_open"": 1352, ""trailing_stop"": 2656, ""trailing_stop_gap"": 3}"
baseline,validation_reused_history,60,short,11749,9299,0.3458436391009786,1.0480853921066935,298.9853561893011,-1.022160135963476,1354.7272097111727,25,"{""initial_stop"": 4970, ""initial_stop_gap"": 9, ""opposite_v6_next_open"": 1476, ""trailing_stop"": 2839, ""trailing_stop_gap"": 5}"
baseline,validation_reused_history,240,long,3874,2923,0.25042764283270613,0.7490348774519143,-540.9284560592719,-0.9837484942444247,1036.587292316301,23,"{""initial_stop"": 1927, ""initial_stop_gap"": 3, ""opposite_v6_next_open"": 215, ""trailing_stop"": 777, ""trailing_stop_gap"": 1}"
baseline,validation_reused_history,240,short,3098,2571,0.38700894593543367,1.4690338791781778,730.8407440900804,-0.9886949689389438,309.90750437855445,8,"{""initial_stop"": 1332, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 330, ""trailing_stop"": 903, ""trailing_stop_gap"": 4}"
no_new_extreme_2,validation_reused_history,30,long,25311,22007,0.22997228154678057,0.7900013077823176,-2674.863918694021,-0.7516538743813745,3459.7631090115287,119,"{""initial_stop"": 8075, ""initial_stop_gap"": 21, ""no_new_extreme_2_next_open"": 7658, ""opposite_v6_next_open"": 2070, ""trailing_stop"": 4179, ""trailing_stop_gap"": 4}"
no_new_extreme_2,validation_reused_history,30,short,24491,21527,0.25423886282343106,0.8000977646773415,-2336.1639584886307,-0.7279514415604029,2725.209702635101,38,"{""initial_stop"": 7460, ""initial_stop_gap"": 22, ""no_new_extreme_2_next_open"": 7862, ""opposite_v6_next_open"": 2152, ""trailing_stop"": 4011, ""trailing_stop_gap"": 20}"
no_new_extreme_2,validation_reused_history,60,long,12845,11088,0.2326839826839827,0.7923756871313391,-1290.0778234473146,-0.730314999320195,1864.520764995408,55,"{""initial_stop"": 4113, ""initial_stop_gap"": 9, ""no_new_extreme_2_next_open"": 3989, ""opposite_v6_next_open"": 913, ""trailing_stop"": 2062, ""trailing_stop_gap"": 2}"
no_new_extreme_2,validation_reused_history,60,short,11749,10163,0.2887926793269704,0.985781624003243,-71.19806093711827,-0.6927874748027685,1171.325130865492,15,"{""initial_stop"": 3199, ""initial_stop_gap"": 5, ""no_new_extreme_2_next_open"": 3809, ""opposite_v6_next_open"": 978, ""trailing_stop"": 2169, ""trailing_stop_gap"": 3}"
no_new_extreme_2,validation_reused_history,240,long,3874,3254,0.23263675476336818,0.7478708107207745,-444.9070061733795,-0.7066877695359366,769.7647005065759,15,"{""initial_stop"": 1287, ""initial_stop_gap"": 2, ""no_new_extreme_2_next_open"": 1216, ""opposite_v6_next_open"": 131, ""trailing_stop"": 618}"
no_new_extreme_2,validation_reused_history,240,short,3098,2743,0.3423259205249727,1.2440444371369315,297.9449295085466,-0.6767535663756467,313.53671172863625,5,"{""initial_stop"": 880, ""initial_stop_gap"": 2, ""no_new_extreme_2_next_open"": 1019, ""opposite_v6_next_open"": 227, ""trailing_stop"": 614, ""trailing_stop_gap"": 1}"
no_new_extreme_3,validation_reused_history,30,long,25311,21728,0.2346281296023564,0.8032961779726435,-2628.342665528006,-0.8034834528795157,3521.6025408622368,125,"{""initial_stop"": 8717, ""initial_stop_gap"": 27, ""no_new_extreme_3_next_open"": 6293, ""opposite_v6_next_open"": 2200, ""trailing_stop"": 4487, ""trailing_stop_gap"": 4}"
no_new_extreme_3,validation_reused_history,30,short,24491,21258,0.26310095023050145,0.8028060813026567,-2436.9997091485684,-0.7889174469607684,2820.4984318052234,40,"{""initial_stop"": 8168, ""initial_stop_gap"": 24, ""no_new_extreme_3_next_open"": 6433, ""opposite_v6_next_open"": 2291, ""trailing_stop"": 4322, ""trailing_stop_gap"": 20}"
no_new_extreme_3,validation_reused_history,60,long,12845,10942,0.23414366660573935,0.8044293502890765,-1278.1966866347914,-0.779919879447015,1873.4456908209995,61,"{""initial_stop"": 4416, ""initial_stop_gap"": 10, ""no_new_extreme_3_next_open"": 3342, ""opposite_v6_next_open"": 959, ""trailing_stop"": 2212, ""trailing_stop_gap"": 3}"
no_new_extreme_3,validation_reused_history,60,short,11749,10039,0.29514891921506126,0.9894671740949121,-56.22037930333132,-0.7543294113734023,1256.488788477509,16,"{""initial_stop"": 3515, ""initial_stop_gap"": 6, ""no_new_extreme_3_next_open"": 3159, ""opposite_v6_next_open"": 1056, ""trailing_stop"": 2300, ""trailing_stop_gap"": 3}"
no_new_extreme_3,validation_reused_history,240,long,3874,3206,0.23206487835308795,0.7544528604735367,-459.7503377284524,-0.760499843663743,836.1527562545255,16,"{""initial_stop"": 1409, ""initial_stop_gap"": 3, ""no_new_extreme_3_next_open"": 988, ""opposite_v6_next_open"": 136, ""trailing_stop"": 670}"
no_new_extreme_3,validation_reused_history,240,short,3098,2706,0.34146341463414637,1.199045778720486,263.2375941805134,-0.7421423952696911,344.441473685826,5,"{""initial_stop"": 968, ""initial_stop_gap"": 2, ""no_new_extreme_3_next_open"": 850, ""opposite_v6_next_open"": 242, ""trailing_stop"": 641, ""trailing_stop_gap"": 3}"
