stream_key,baseline_parity
binance_240m_242dd10ad59f7d2e,passed
binance_240m_2473593a418b027f,passed
binance_240m_24c491cc1fd8b400,passed
binance_240m_24d8431a62a1364d,passed
binance_240m_25ba33e4a4933354,passed
binance_240m_25d926ce521012a9,passed
binance_240m_26f9f581ff8609a8,passed
binance_240m_270222bff5ce051f,passed
binance_240m_272348b1cf31bbb8,passed
binance_240m_272c9292a6bae0b6,passed
binance_240m_273650dbc8ecf34a,passed
binance_240m_2823b017019be725,passed
binance_240m_284a943b57bcdd40,passed
binance_240m_2881513f6c75b4e1,passed
binance_240m_28c0466093c1ae35,passed
binance_240m_28f201470eba54b4,passed
binance_240m_29eeae22c995fd88,passed
binance_240m_2a2a8296d30f9bd3,passed
binance_240m_2a73bc9447b2257f,passed
binance_240m_2a8edd754c41355a,passed
binance_240m_2ab5c509477fc559,passed
binance_240m_2aefc801776ae2e8,passed
binance_240m_2b149b74d1b40c60,passed
binance_240m_2b888c24d5152a17,passed
binance_240m_2b8a9fcd6e225420,passed
binance_240m_2bafdd8c05656d58,passed
binance_240m_2bdba9c6b368ce38,passed
binance_240m_2bef5409f3fe1df6,passed
binance_240m_2c09e203cadd95ee,passed
binance_240m_2cc907951e75b372,passed
binance_240m_2d0fd4c567fb4985,passed
binance_240m_2d2f31182acd606d,passed
binance_240m_2de5b344978e90ac,passed
binance_240m_2e7515988193790b,passed
binance_240m_2e794015e41f52f9,passed
binance_240m_2e97cc1fe7536f44,passed
binance_240m_2ece36ead25003c4,passed
binance_240m_2f89f537e3232428,passed
binance_240m_2f8bea1730ff6d9f,passed
binance_240m_30152fa54b3e8635,passed
binance_240m_30472d02f557c33d,passed
binance_240m_30569ffe9ff8322a,passed
binance_240m_30ab919891790474,passed
binance_240m_311239427fa9fd55,passed
binance_240m_31c687bf9208dc58,passed
binance_240m_31cd6f4b21e93791,passed
binance_240m_31cf0a3c87b0455b,passed
binance_240m_33bebef9fdd29317,passed
binance_240m_33c92cbe7865f832,passed
binance_240m_341c0fbb89d2eabe,passed
binance_240m_34b0852f2384e84e,passed
binance_240m_36513bc1f359eead,passed
binance_240m_37b1c6b696a938ba,passed
binance_240m_37c3dbfd26722cb8,passed
binance_240m_37eb3c1c817365e6,passed
binance_240m_380081f344471910,passed
binance_240m_38be73f431b57016,passed
binance_240m_392a48d8bdbf1d91,passed
binance_240m_3ae7e5d0b49eb72d,passed
binance_240m_3aeabb03763346fc,passed
binance_240m_3ba245e711da22c6,passed
binance_240m_3bb78daf18369f7a,passed
binance_240m_3bcf9938e4e0464e,passed
binance_240m_3bdb7cb4995cec3f,passed
binance_240m_3c326c48e37843ca,passed
binance_240m_3c65d7fad42bc25f,passed
binance_240m_3c97647785dee1d4,passed
binance_240m_3cf56b242a42ef83,passed
binance_240m_3cfe8d52e9a1b1d0,passed
binance_240m_3d51194116bac5ea,passed
binance_240m_3d9ad097405b4d4a,passed
binance_240m_3ddfe5007fc533ed,passed
binance_240m_3e59d0cc413ceab6,passed
binance_240m_3eb7e22fcbd0f4a1,passed
binance_240m_3ec3a41575713da9,passed
binance_240m_3f2d4c0ac5f3e992,passed
binance_240m_3fe28c204c752675,passed
binance_240m_4067c49c858c8c40,passed
binance_240m_406aec69a37000a8,passed
binance_240m_407b0a6ab7616842,passed
binance_240m_408e1cb946ea3fa3,passed
binance_240m_40bce1f6837add6a,passed
binance_240m_40fa410016d99920,passed
binance_240m_411cecec8ead72fa,passed
binance_240m_4148c446b470f78e,passed
binance_240m_41503b238af3433e,passed
binance_240m_416252d2b835ece0,passed
binance_240m_416e66dc6be5f167,passed
binance_240m_41b01ceb3519daad,passed
binance_240m_41f2583718e6943e,passed
binance_240m_424d4fd651c69dc2,passed
binance_240m_42eb8d5205aa6abb,passed
binance_240m_42f4ee47b272d8c6,passed
binance_240m_434a6b4cdb5aa752,passed
binance_240m_43534bdad24a85da,passed
binance_240m_4358d15375058762,passed
binance_240m_43cc97f1e94f2b38,passed
binance_240m_43e2d9dd360f5d24,passed
binance_240m_43f466e5784e907d,passed
binance_240m_4483e43820c2abc2,passed
binance_240m_45502ad49d85057d,passed
binance_240m_46b820d67dc19b12,passed
binance_240m_473f86d728e83001,passed
binance_240m_474f01da59794912,passed
binance_240m_4762a43645062aac,passed
binance_240m_47a0d0e6be38c887,passed
binance_240m_47db13e06dcbebe2,passed
binance_240m_4a67b16ea246e436,passed
binance_240m_4a75d79461790599,passed
binance_240m_4a8879145e999233,passed
binance_240m_4ae1e60ff7fdcda2,passed
binance_240m_4b313a2f0b7cab85,passed
binance_240m_4bb4adad7ab7429e,passed
binance_240m_4c264bce849dd494,passed
binance_240m_4c900c5de3f28e76,passed
binance_240m_4c92965498e6ec69,passed
binance_240m_4cd0a68b30b5fe39,passed
binance_240m_4d18aa98bda49dfe,passed
binance_240m_4db6976460b14248,passed
binance_240m_4dce12db250e9add,passed
binance_240m_4f0a8541eabfcf87,passed
binance_240m_4f659828ee02239c,passed
binance_240m_4f7277a2e9050822,passed
binance_240m_4fb29239010db3f1,passed
binance_240m_4feb1c16aa80046b,passed
binance_240m_502989c9286ea259,passed
binance_240m_5060dc8565be2bfc,passed
binance_240m_506d0a3012c15acd,passed
binance_240m_50777637a731ded3,passed
binance_240m_50a8a97079e35d5e,passed
binance_240m_50ecf1e60266472b,passed
binance_240m_5134092cf5a8786a,passed
binance_240m_514dc2033859023b,passed
binance_240m_518cebd1b2c90281,passed
binance_240m_51d55f0595d15da9,passed
binance_240m_523414dc2e13e6f0,passed
binance_240m_525f047b78e5fb01,passed
binance_240m_527e6a02121562ca,passed
binance_240m_5295d7bb7ea2435b,passed
binance_240m_52a85f233fa0eb1b,passed
binance_240m_52ee26ab9d92a815,passed
binance_240m_535d37486e5b5b98,passed
binance_240m_536108af9cb056dd,passed
binance_240m_53d53f34e675e2e6,passed
binance_240m_54103d7b1ab28d1c,passed
binance_240m_54158f7ca4b3016a,passed
binance_240m_54604865dcfb72f1,passed
binance_240m_5464dca9eb68aeb0,passed
binance_240m_54e497d887e50e50,passed
binance_240m_5587d6059725a15b,passed
binance_240m_55d3ea00f0298345,passed
binance_240m_5649bd458f17dcf7,passed
binance_240m_564c70d633a34056,passed
binance_240m_57582298178a05d8,passed
binance_240m_57829fd509d9477a,passed
binance_240m_57a347b599f53f4a,passed
binance_240m_57b8dcd0ddd85191,passed
binance_240m_57f1ba8544d524d2,passed
binance_240m_58340ab9560ba5c8,passed
binance_240m_58d338ceda1f13da,passed
binance_240m_58d6dcdd56d662a2,passed
binance_240m_59c0d867f7e1c7a9,passed
binance_240m_5a4eb4273e540f68,passed
binance_240m_5b7c59f89bfb0b32,passed
binance_240m_5b8868451b7c8b05,passed
binance_240m_5c6037d2e574608a,passed
binance_240m_5c65855d3b776537,passed
binance_240m_5cdfc7e37d675a7c,passed
binance_240m_5d1e3a64e87b349e,passed
binance_240m_5d64d3d08992d5c7,passed
binance_240m_5e3d4e61a27b1d32,passed
binance_240m_5e51158f407614b2,passed
binance_240m_5eb99386c51fdb12,passed
binance_240m_5f2e8987d43b9aa9,passed
binance_240m_5f4ff10c2652d789,passed
binance_240m_6029841b33bae35a,passed
binance_240m_612b31dc3d11630a,passed
binance_240m_61a7c0ca0c42c827,passed
binance_240m_623826a5119f4a8d,passed
binance_240m_628696af11509870,passed
binance_240m_633b679a29d36084,passed
binance_240m_639759407258be4a,passed
binance_240m_63be2a38c36540a0,passed
binance_240m_641d909c905697e8,passed
binance_240m_646eb4da41a03d75,passed
binance_240m_648e4bb206968833,passed
binance_240m_64a61dc0b6abcaa6,passed
binance_240m_64d78106665688f6,passed
binance_240m_654b32bb967df20a,passed
binance_240m_65d3ed2193cce004,passed
binance_240m_65e8ee43056a8261,passed
binance_240m_680ef57bdec89702,passed
binance_240m_68685106d268ebb5,passed
binance_240m_6894af74b1270430,passed
binance_240m_696446d5089d6f84,passed
binance_240m_6a279cb348a88f4b,passed
binance_240m_6a4026cca3d05e02,passed
binance_240m_6a8c4b41c0852025,passed
binance_240m_6a9c6efac7f2c76f,passed
binance_240m_6aca7abc77763f71,passed
binance_240m_6b038285ff999252,passed
binance_240m_6bd8d9f157bafea1,passed
binance_240m_6c5101beb7be76d4,passed
binance_240m_6c5ae220b7504208,passed
binance_240m_6c7fb254f200c7dc,passed
binance_240m_6cc9657345cb4940,passed
binance_240m_6cdb6ff9700a686c,passed
binance_240m_6e0757f27475efd0,passed
binance_240m_6f08238d1a15194c,passed
binance_240m_6f0bfd4d44fea8a9,passed
binance_240m_6f5fd566b0e10b8d,passed
binance_240m_6fe148c017edb3ea,passed
binance_240m_72114e05643d1ee8,passed
binance_240m_72698f7d4c9904ca,passed
binance_240m_72f60b48e0192eca,passed
binance_240m_7393aa520e277c7e,passed
binance_240m_73b76c4685abdfea,passed
binance_240m_73ce9468c14c0bc7,passed
binance_240m_741b1f3b6c774911,passed
binance_240m_744bba81f948479e,passed
binance_240m_75ad01d07876ae92,passed
binance_240m_75c45e7ee26dbbe0,passed
binance_240m_76a54384d4b61592,passed
binance_240m_76a636c4808d4eb7,passed
binance_240m_76c4b7163a590fb5,passed
binance_240m_76dfa8a5c062a9d7,passed
binance_240m_7706615bbe7168ba,passed
binance_240m_77433c4b3d58568b,passed
binance_240m_78737852946135d2,passed
binance_240m_789dd8b8a9e68c71,passed
binance_240m_792d03cb3ffb108f,passed
binance_240m_79337d77342dfb4c,passed
binance_240m_79470b666881c066,passed
binance_240m_79a7af29c93227e3,passed
binance_240m_7a1610231a023202,passed
binance_240m_7a683f7b57e1d98a,passed
binance_240m_7a9b82c0f8744af6,passed
binance_240m_7bd58a0038b5453b,passed
binance_240m_7c1cd3d1ce021776,passed
binance_240m_7c3409bc2696c05a,passed
binance_240m_7c9dc6f5ca57980f,passed
binance_240m_7cc1d2c71a083357,passed
binance_240m_7d3752829035c246,passed
binance_240m_7d7a47a853bab82b,passed
binance_240m_7dcad8baa657886e,passed
binance_240m_7edbee44200ff86d,passed
binance_240m_7edcce19a804b03d,passed
binance_240m_7f114062ae7ae562,passed
binance_240m_7f97573c16972702,passed
binance_240m_7fe452cd319deaae,passed
binance_240m_7fe68b1c338ef8b9,passed
binance_240m_803d85e8e148ce4c,passed
binance_240m_8076147923007dc2,passed
binance_240m_80d50b7d0ed371b2,passed
binance_240m_80e3530ac07ff248,passed
binance_240m_81d24399618ad09f,passed
binance_240m_820bd717b243344b,passed
binance_240m_825dc36c5d6485c1,passed
binance_240m_8281fed9dbcfa97b,passed
binance_240m_835b9899a6e6f427,passed
binance_240m_836c35cb7d464209,passed
binance_240m_83a756a9fffa48a8,passed
binance_240m_8401d5e1a8b705ab,passed
binance_240m_8486e4d90962c5a8,passed
binance_240m_849435b113d60e6b,passed
binance_240m_85278e7e04a6be0f,passed
binance_240m_8527e0f47dc716ec,passed
binance_240m_852d56029a9d30e3,passed
binance_240m_85f0d26343f2d40d,passed
binance_240m_85f117057f0cb245,passed
binance_240m_8675c701d827219b,passed
binance_240m_868e8cc08375d8dd,passed
binance_240m_8778c4dd08bc3de7,passed
binance_240m_87889cfe856f89d8,passed
binance_240m_87caf3037585b5d7,passed
binance_240m_87dda98da1e8c6dc,passed
binance_240m_87e1a0013996c355,passed
binance_240m_87f2130ab93f1b41,passed
binance_240m_87fade6431af01a9,passed
binance_240m_89183aa64611b4b9,passed
binance_240m_893a0fd15875e7d8,passed
binance_240m_8a9cd308dbdd85d6,passed
binance_240m_8b002e7d92444e1c,passed
binance_240m_8c05f2ca09c642f0,passed
binance_240m_8ccbeaf405a33254,passed
binance_240m_8f2eb7976e215564,passed
binance_240m_902de4dee5fb3c43,passed
binance_240m_907f494695de339d,passed
binance_240m_90e36092631b673f,passed
binance_240m_91211bf7ec8561dc,passed
binance_240m_919993acf7b0e9b6,passed
binance_240m_9221ed9b6d2b00f6,passed
binance_240m_92540b66ad39a3c8,passed
binance_240m_93351398d6fbf4d0,passed
binance_240m_93f142f06af7faa0,passed
binance_240m_941650a9c09e32fa,passed
binance_240m_943364e3f85f433b,passed
binance_240m_945c1e73262eb6c3,passed
binance_240m_94ba368c1e2dc52d,passed
binance_240m_95de6de5186a6864,passed
binance_240m_961e60b9d954e25d,passed
binance_240m_9621f23b96830c75,passed
binance_240m_96232b9f4b8b2731,passed
binance_240m_965a481d95493080,passed
binance_240m_9662bacc7186fa3a,passed
binance_240m_97b48b3871246118,passed
binance_240m_98d693accc52e634,passed
binance_240m_98e6b923bcd9ee1b,passed
binance_240m_992c9f04568362bd,passed
binance_240m_99336f476354d400,passed
binance_240m_9a5e98c15b4a0e2e,passed
binance_240m_9ac73b5b79d52a18,passed
binance_240m_9af2cd6c6a39fceb,passed
binance_240m_9b9873c4ecab5ea3,passed
binance_240m_9bbd6cfa77690c8a,passed
binance_240m_9c36a75340d593c3,passed
binance_240m_9cbda3f82af9334d,passed
binance_240m_9d5125819295e82e,passed
binance_240m_9d52ba72cc1c3713,passed
binance_240m_9df80fd05d28aa7c,passed
binance_240m_9e40bb1cd75c5ad6,passed
binance_240m_9f3067b452a563e6,passed
binance_240m_9f360d5da09b3f0f,passed
binance_240m_a018c8a9a077530b,passed
binance_240m_a0871087f77baa91,passed
binance_240m_a0e28d5a68ad9bbe,passed
binance_240m_a12d9117693c5812,passed
binance_240m_a19227f4c21559b6,passed
binance_240m_a2183d2ec5d32943,passed
binance_240m_a258f5d6c204098b,passed
binance_240m_a334287a41ce602e,passed
binance_240m_a3397238710ada46,passed
binance_240m_a363bb5f12b21b57,passed
binance_240m_a37573ffb50b7168,passed
binance_240m_a3d3640b9135c831,passed
binance_240m_a421d678b1822b6a,passed
binance_240m_a424a086cfc56459,passed
binance_240m_a4756dbad12880c6,passed
binance_240m_a4bc514210f74e35,passed
binance_240m_a522d6a4d6aac318,passed
binance_240m_a5aa0df9d28bd9d7,passed
binance_240m_a5e34c29cb935bb9,passed
binance_240m_a63434e3279a078d,passed
binance_240m_a65e79a10a893ecc,passed
binance_240m_a707bde506f45514,passed
binance_240m_a773382955791058,passed
binance_240m_a77e48e5293995eb,passed
binance_240m_a7881a5e1f1a2e7f,passed
binance_240m_a79d2311b6ea320c,passed
binance_240m_a8141c2cb6b7fd06,passed
binance_240m_a827eaa12c6298be,passed
binance_240m_a848d67ecce34a28,passed
binance_240m_a93a2ae36807c879,passed
binance_240m_a9a8774576e512fc,passed
binance_240m_a9c5753e14983832,passed
binance_240m_aaac06d4820eeb58,passed
binance_240m_ab188c930cd2584e,passed
binance_240m_ab23efbf12b5123f,passed
binance_240m_ab8778ef12e341ef,passed
binance_240m_ac17107509718ba0,passed
binance_240m_ac281e0b057693ac,passed
binance_240m_acd0871b600cd28c,passed
binance_240m_ace644260e27fca5,passed
binance_240m_ad38f362d946af0d,passed
binance_240m_ad8d584abe539e75,passed
binance_240m_adb2ae27a6a3dc99,passed
binance_240m_adbc3e714c93020c,passed
binance_240m_adf2497bdcc41ffd,passed
binance_240m_ae151aab1858f6ef,passed
binance_240m_afd3a02f0fb85490,passed
binance_240m_b04f759de4e3020d,passed
binance_240m_b16177db5ba8dc09,passed
binance_240m_b1de9bdabdff545d,passed
binance_240m_b21233d0b25958f1,passed
binance_240m_b2c9f5b73ff57bab,passed
binance_240m_b2efb71142c4108b,passed
binance_240m_b43d9022bba8b6bc,passed
binance_240m_b455a0c35f6df4ee,passed
binance_240m_b4ccce91d3a34f88,passed
binance_240m_b4d180cfbb90b1b8,passed
binance_240m_b51dc4e406f260ca,passed
binance_240m_b53b1c3f3c93c8e9,passed
binance_240m_b5d9ef6e6b63687d,passed
binance_240m_b5ec2ed40ff78501,passed
binance_240m_b5f1179a11dda57f,passed
binance_240m_b62fe756f186e7f7,passed
binance_240m_b6914bdd3d672c4c,passed
binance_240m_b696649017070ac6,passed
binance_240m_b6c7a223cdd2d465,passed
binance_240m_b70f745018586314,passed
binance_240m_b7540066f68659f4,passed
binance_240m_b798dd62a178b990,passed
binance_240m_b7be8e12b59f961f,passed
binance_240m_b7f99d63167b20ac,passed
binance_240m_b84948e6640057b9,passed
binance_240m_b8ef1f535f953b79,passed
binance_240m_b900ad10f7327305,passed
binance_240m_b917536a95ee6a58,passed
binance_240m_b9281814717fbe7a,passed
binance_240m_b92f123dc30962e6,passed
binance_240m_b93ffe1e54428e58,passed
binance_240m_b9fa03cafa108c23,passed
binance_240m_bab8f8fb0e6ff44c,passed
binance_240m_bb594485db2586a6,passed
binance_240m_bb8bbc9808dbfe55,passed
binance_240m_bbbf06520541db80,passed
binance_240m_bbf387215e5215b7,passed
binance_240m_bc2e92958f028a42,passed
binance_240m_bce668ef387937f7,passed
binance_240m_bd04bfbc8f2125c3,passed
binance_240m_bd45bdb6661993dd,passed
binance_240m_bd4cebb34ce8486b,passed
binance_240m_bd508fa59726deb4,passed
binance_240m_bde2d88f82c25b57,passed
binance_240m_beb8267322ddef20,passed
binance_240m_bec7e66a95870bb6,passed
binance_240m_bf09fa914ec9dd7a,passed
binance_240m_bf166a5c2e1d16dd,passed
binance_240m_bf5f140791bd1e02,passed
binance_240m_c08f1771b9620dc7,passed
binance_240m_c0de9c58289006de,passed
binance_240m_c1ecf3d01c49c818,passed
binance_240m_c2b3f5d6879d96a0,passed
binance_240m_c399619dda6d984c,passed
binance_240m_c445a5ae7e7ade8e,passed
binance_240m_c4b07ed585a1fd92,passed
binance_240m_c5014a558c6dddd2,passed
binance_240m_c573709a4bd2ce4e,passed
binance_240m_c5aa3d10b68a04ab,passed
binance_240m_c628474188c11f57,passed
binance_240m_c7532c729a3626cf,passed
binance_240m_c89de1e9b846b27f,passed
binance_240m_c90e7765ec94e172,passed
binance_240m_c910184a083ccd35,passed
binance_240m_ca21a1be7b6e947f,passed
binance_240m_ca21c647535e6d49,passed
binance_240m_ca268209bbd79a47,passed
binance_240m_ca46f96bb5a88d13,passed
binance_240m_cabead23cc676136,passed
binance_240m_cb082fb51aa9a662,passed
binance_240m_cb2ea5ad1ec85fd7,passed
binance_240m_cb62d16d52a42d62,passed
binance_240m_cbcdf3031e553439,passed
binance_240m_cc6aac4247ee3349,passed
binance_240m_ccbd5d62a1e08052,passed
binance_240m_ccd41939aa398221,passed
binance_240m_cceeb90c00cafe68,passed
binance_240m_cd72349250fb25ae,passed
binance_240m_cd97cb798c93e238,passed
binance_240m_ce301f382ca4a22f,passed
binance_240m_ce624c2522a7312d,passed
binance_240m_ce7f3287eb74fb59,passed
binance_240m_ce9fcce806cba822,passed
binance_240m_cf2ffd6caa71be51,passed
binance_240m_cff14a8f2e99df39,passed
binance_240m_d01d875385223334,passed
binance_240m_d07abf8d5031952e,passed
binance_240m_d16555b837d0a0be,passed
binance_240m_d1fa55f2aad96aa8,passed
binance_240m_d20f24f2f4c106e0,passed
binance_240m_d227c55af5f02461,passed
binance_240m_d27b805e854cc0dd,passed
binance_240m_d27cba40b4a8c87c,passed
binance_240m_d2bc599fdae30bcf,passed
binance_240m_d30d99349e2dceba,passed
binance_240m_d3c44567607f1b06,passed
binance_240m_d3fc2fc0b1cd5d6d,passed
binance_240m_d474761d19cdb609,passed
binance_240m_d48fdc377f1ffd59,passed
binance_240m_d4b49bc1a4a1034b,passed
binance_240m_d59321910afa14e7,passed
binance_240m_d646d015bc08ec6b,passed
binance_240m_d64bc82fbe9e7d25,passed
binance_240m_d66679ecc0221cc6,passed
binance_240m_d6ab3a52ad1acae9,passed
binance_240m_d6bd699712f097fe,passed
binance_240m_d6bdcb0bedbf8c3a,passed
binance_240m_d6d2c8324a260993,passed
binance_240m_d708529248c79003,passed
binance_240m_d753edd57010fa5f,passed
binance_240m_d81a4dafc078a820,passed
binance_240m_d86d2d5ac800dda1,passed
binance_240m_d921bdc532e2c432,passed
binance_240m_d9a23fa50f2263b7,passed
binance_240m_daf5eaf8f01a2cbf,passed
binance_240m_db20510f85e95c83,passed
binance_240m_dbe5e6b09518ea66,passed
binance_240m_dc891e92fd04aa55,passed
binance_240m_dc9fbdeb7815e871,passed
binance_240m_dd47a10d4a272867,passed
binance_240m_dd4e44f189b445ab,passed
binance_240m_ddb6cf1734695d11,passed
binance_240m_de0f1aa84008716c,passed
binance_240m_de72df00860bbe53,passed
binance_240m_df03f94340a161c5,passed
binance_240m_df49df7604f4fcfe,passed
binance_240m_df99c87bc136b181,passed
binance_240m_e05a26a76e0b4d55,passed
binance_240m_e0aa0f97ab02d3e9,passed
binance_240m_e103038ef33bad94,passed
binance_240m_e16807d2aae498e3,passed
binance_240m_e177fadbcc2e6332,passed
binance_240m_e2544f0b3a70235a,passed
binance_240m_e27ebd97bbb26509,passed
binance_240m_e45d2e0b9809cf6f,passed
binance_240m_e4e5e675e670e3e1,passed
binance_240m_e5580a68bba75e43,passed
binance_240m_e60f4074b8e9a998,passed
binance_240m_e716775c4285cfec,passed
binance_240m_e7c29f28002dfd9e,passed
binance_240m_e83de63d3eae258b,passed
binance_240m_e863c0d4f0622414,passed
binance_240m_e885c3c326e950c8,passed
binance_240m_e886e93bdafc55e6,passed
binance_240m_e88e56107f74d1b1,passed
binance_240m_e8a499f83497db04,passed
binance_240m_e8f81dd450f894cb,passed
binance_240m_ea14b004d84c2071,passed
binance_240m_ea1c530ff062b417,passed
binance_240m_ea29892d04cd21d6,passed
binance_240m_ea3f2ff04979e170,passed
binance_240m_eae8aa79e3be6c4b,passed
binance_240m_eb1b0a688c78fd42,passed
binance_240m_eba08b17751e908a,passed
binance_240m_ec014c48efe7ca2e,passed
binance_240m_ec33c021b6ad7253,passed
binance_240m_ecc4ce5f992f05ed,passed
binance_240m_ed652997f7042331,passed
binance_240m_ed6a29a0b9b8e7ff,passed
binance_240m_edc5c07352aa6d94,passed
binance_240m_ee710b8f7402f82d,passed
binance_240m_ef3ad0d86469a618,passed
binance_240m_efeaf96e7dc1bce7,passed
binance_240m_f054e4a4916864c6,passed
binance_240m_f06e5030e198f69c,passed
binance_240m_f090880538917637,passed
binance_240m_f166237131ea7620,passed
binance_240m_f18a8527994987de,passed
binance_240m_f1b016edbfddc631,passed
binance_240m_f1b38f7c43f15bab,passed
binance_240m_f2a795d4b307a4bd,passed
binance_240m_f38c98c9e07add1e,passed
binance_240m_f3a5c21355a8b0dc,passed
binance_240m_f3a60a90a5f6d78e,passed
binance_240m_f3bd857c5448c141,passed
binance_240m_f471f43bf040b78b,passed
binance_240m_f488e1c00f390b33,passed
binance_240m_f519afbd1fb3d3b5,passed
binance_240m_f556f1d4f8df109d,passed
binance_240m_f60b207dc6452942,passed
binance_240m_f6a39eaf2d17d803,passed
binance_240m_f6dabe2ff52e5b5c,passed
binance_240m_f6dcafdd81a60eef,passed
binance_240m_f724a3e1e63d33b4,passed
binance_240m_f7572e348e274045,passed
binance_240m_f770baf6488c945e,passed
binance_240m_f815513bd821d0a7,passed
binance_240m_f96eb6896853e946,passed
binance_240m_f974aef5b8b7609e,passed
binance_240m_faaedabef4b08376,passed
binance_240m_fb7bb2c21faa31b9,passed
binance_240m_fb896b7806032082,passed
binance_240m_fbf00dc770c12467,passed
binance_240m_fd00dd8bea435fd2,passed
binance_240m_fd3a1744f03b33fe,passed
binance_240m_fd8b3018f6bdfe30,passed
binance_240m_fd984164a4c0507e,passed
binance_240m_fdb842a301ce6038,passed
binance_240m_fe01ef2cd8018121,passed
binance_240m_fe6e7f68b61f7c4d,passed
binance_240m_fec4f40775de03d4,passed
binance_240m_ff3d2420966379bf,passed
binance_240m_ff43be1d71e38249,passed
binance_240m_ff4fdc7ac922a81e,passed
binance_240m_ffad84469347f4a5,passed
binance_240m_ffff50de20cfb1fa,passed
binance_30m_001a9b5aefcc53d7,passed
binance_30m_00333280cdce2471,passed
binance_30m_0058619838018b1d,passed
binance_30m_0080e154011b75bd,passed
binance_30m_00c81af5aa0059f9,passed
binance_30m_01c998d3f7929cd5,passed
binance_30m_01d3331302a0d763,passed
binance_30m_01fb6124bd66e95f,passed
binance_30m_02172ffb7cdb2a5e,passed
binance_30m_02391cc1b8e6ce26,passed
binance_30m_03043952d5292113,passed
binance_30m_03286464f6bac3f3,passed
binance_30m_03bcb0a80f475988,passed
binance_30m_03e1794e005b355b,passed
binance_30m_03eb1301feb50417,passed
binance_30m_041504790233049d,passed
binance_30m_04de0b1929c53058,passed
binance_30m_05545c5350df983a,passed
binance_30m_05d69885d66e1052,passed
binance_30m_062153aa6da97ad2,passed
binance_30m_06aa5231223ab868,passed
binance_30m_06e11a180bb76f64,passed
binance_30m_06f6fcdc19aec921,passed
binance_30m_070639f1ba5b6815,passed
binance_30m_071b408a709e023d,passed
binance_30m_07a20d68535c2e68,passed
binance_30m_08e7c7fcbf25e590,passed
binance_30m_0998616400146507,passed
binance_30m_09a95d376d37b56b,passed
binance_30m_0a2110717640a9ee,passed
binance_30m_0a9106c49627e425,passed
