合约,周期分钟,模式,实际K线数,窗口理论K线数,预热就绪K线数,数据断档数,原版_原始候选数,回踩_原始候选数,原版_确认数,回踩_确认数,原版_入场数,回踩_入场数,原版_已平仓数,回踩_已平仓数,原版_截尾未完成数,回踩_截尾未完成数,原版_净胜率小数,回踩_净胜率小数,原版_平均净R,回踩_平均净R,原版_平均净bp,回踩_平均净bp,原版_净R合计非账户收益,回踩_净R合计非账户收益,原版_净收益至少5R笔数,回踩_净收益至少5R笔数,原版_随机配对笔数,回踩_随机配对笔数,原版_配对随机平均净bp,回踩_配对随机平均净bp,原版_配对目标平均净bp,回踩_配对目标平均净bp,原版_配对超额bp,回踩_配对超额bp,原版_后段已平仓数,回踩_后段已平仓数,原版_后段平均净R,回踩_后段平均净R,原版_后段平均净bp,回踩_后段平均净bp,回踩减原版_平均净bp,回踩减原版_平均净R
1000LUNCUSDT,15,联合多头,5968,5968,5968,0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.25,,-0.6648810299850417,,-173.91026714848348,,-2.659524119940167,,0.0,0.0,4.0,0.0,-93.05445499730774,,-173.91026714848348,,-80.85581215117574,,3.0,0.0,-0.4987983625607006,,-184.34624506489567,,,
1000LUNCUSDT,15,普通多空,5968,5968,5968,0,18.0,18.0,18.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.36363636363636365,,0.0042590105421645074,,-84.54021960012001,,0.046849115963809584,,0.0,0.0,11.0,0.0,-14.25416679098445,,-84.54021960012,,-70.28605280913554,,5.0,0.0,0.23314727692792153,,-87.4135076548926,,,
1000LUNCUSDT,60,联合多头,1492,1492,1492,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000LUNCUSDT,60,普通多空,1492,1492,1492,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,-1.154906250000007,,-149.110349001413,,-1.154906250000007,,0.0,0.0,1.0,0.0,19.816842524386,,-149.110349001413,,-168.927191525799,,0.0,0.0,,,,,,
1000PEPEUSDT,15,联合多头,5968,5968,5968,0,6.0,6.0,6.0,1.0,6.0,1.0,6.0,1.0,0.0,0.0,0.3333333333333333,0.0,5.71215519364371,-1.0749839914621124,582.7532488908851,-286.723598064333,34.27293116186226,-1.0749839914621124,1.0,0.0,6.0,0.0,-125.28658984473634,,582.7532488908851,,708.0398387356214,,3.0,1.0,-1.0907256600823458,-1.0749839914621124,-255.22181238366068,-286.723598064333,-869.476846955218,-6.787139185105822
1000PEPEUSDT,15,普通多空,5968,5968,5968,0,11.0,11.0,11.0,1.0,11.0,1.0,11.0,1.0,0.0,0.0,0.2727272727272727,0.0,2.7703594278849053,-1.0749839914621124,254.71398593865152,-286.723598064333,30.47395370673396,-1.0749839914621124,1.0,0.0,11.0,0.0,46.269914627311636,,254.71398593865146,,208.44407131133983,,5.0,1.0,-1.0911297979575774,-1.0749839914621124,-252.0612625083952,-286.723598064333,-541.4375840029845,-3.8453434193470177
1000PEPEUSDT,60,联合多头,1492,1492,1492,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000PEPEUSDT,60,普通多空,1492,1492,1492,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.90915659679409,,556.211517045659,,1.90915659679409,,0.0,0.0,1.0,0.0,74.400181248348,,556.211517045659,,481.81133579731096,,0.0,0.0,,,,,,
1000RATSUSDT,15,联合多头,5968,5968,5968,0,8.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,,-0.971555977569714,,-275.43702871834097,,-7.772447820557712,,0.0,0.0,8.0,0.0,-174.8378636463555,,-275.437028718341,,-100.5991650719855,,4.0,0.0,-0.9593250966870408,,-218.42955623624675,,,
1000RATSUSDT,15,普通多空,5968,5968,5968,0,17.0,17.0,17.0,1.0,16.0,1.0,16.0,1.0,0.0,0.0,0.1875,0.0,-0.6547046004834121,-1.2456190476190334,-168.97880841996084,-101.426909654904,-10.475273607734593,-1.2456190476190334,0.0,0.0,16.0,0.0,-38.95324889627976,,-168.9788084199608,,-130.02555952368107,,9.0,0.0,-0.48745326257250415,,-129.2472617150212,,67.55189876505685,-0.5909144471356214
1000RATSUSDT,60,联合多头,1492,1492,1492,0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,0.3333333333333333,0.0,8.818554564377083,-0.3849907783105865,2321.1379917711906,-1949.038281979458,26.455663693131246,-0.3849907783105865,1.0,0.0,3.0,0.0,-294.007265024005,,2321.1379917711906,,2615.1452567951956,,2.0,0.0,-0.8679576271186461,,-456.82242410792,,-4270.176273750649,-9.203545342687669
1000RATSUSDT,60,普通多空,1492,1492,1492,0,9.0,9.0,9.0,2.0,8.0,2.0,7.0,2.0,1.0,0.0,0.14285714285714285,0.0,3.185653193976657,-0.7128026808219603,642.5444160984554,-1230.7361197022199,22.2995723578366,-1.4256053616439206,1.0,0.0,7.0,0.0,-159.89521409572916,,642.5444160984551,,802.4396301941845,,5.0,1.0,-0.9746411237316301,-1.040614583333334,-459.0946118607894,-512.4339574249819,-1873.2805358006754,-3.898455874798617
1000SATSUSDT,15,联合多头,5968,5968,5968,0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.3333333333333333,,-0.1136245059288521,,-2.142190756982662,,-0.3408735177865563,,0.0,0.0,3.0,0.0,-202.19240368077166,,-2.1421907569826755,,200.050212923789,,1.0,0.0,-1.1060909090909117,,-208.517566409597,,,
1000SATSUSDT,15,普通多空,5968,5968,5968,0,12.0,12.0,12.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0,0.2,0.0,-0.5510377094789266,-1.0643225806451648,-77.75424726373119,-330.93279839518704,-5.510377094789266,-1.0643225806451648,0.0,0.0,10.0,0.0,-99.1030380051138,,-77.7542472637312,,21.348790741382594,,5.0,0.0,-0.5336808019806283,,-110.75767919691683,,-253.17855113145583,-0.5132848711662382
1000SATSUSDT,60,联合多头,1492,1492,1492,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,3.8123333333333354,,1929.3908153701968,,3.8123333333333354,,0.0,0.0,1.0,0.0,1929.3908153701968,,1929.3908153701968,,0.0,,0.0,0.0,,,,,,
1000SATSUSDT,60,普通多空,1492,1492,1492,0,4.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,,1.3764313725490223,,786.5450614932099,,2.7528627450980445,,0.0,0.0,2.0,0.0,858.7634550675614,,786.54506149321,,-72.21839357435154,,0.0,0.0,,,,,,
1000SHIBUSDT,15,联合多头,5968,5968,5968,0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.25,,-0.5754130268372001,,-70.42307978402175,,-2.3016521073488003,,0.0,0.0,4.0,0.0,185.23682920671627,,-70.42307978402175,,-255.659908990738,,3.0,0.0,-1.137955931207766,,-173.058698521602,,,
1000SHIBUSDT,15,普通多空,5968,5968,5968,0,9.0,9.0,9.0,1.0,8.0,1.0,8.0,1.0,0.0,0.0,0.25,0.0,-0.6488697281216,-0.4810717703349264,-57.96723813396263,-190.71320182094,-5.1909578249728,-0.4810717703349264,0.0,0.0,8.0,1.0,-92.400011001845,-220.038102495712,-57.96723813396263,-190.71320182094,34.43277286788237,29.324900674772003,5.0,1.0,-0.7508104128437718,-0.4810717703349264,-101.183170168229,-190.71320182094,-132.74596368697735,0.16779795778667367
1000SHIBUSDT,60,联合多头,1492,1492,1492,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,-1.0552814371257475,,-381.785095320624,,-1.0552814371257475,,0.0,0.0,1.0,0.0,-238.946455668762,,-381.785095320624,,-142.838639651862,,0.0,0.0,,,,,,
1000SHIBUSDT,60,普通多空,1492,1492,1492,0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,-1.0660626617077353,,-327.21569550380104,,-3.198187985123206,,0.0,0.0,3.0,0.0,36.82612523470766,,-327.21569550380104,,-364.0418207385087,,1.0,0.0,-1.0707412587412597,,-302.720442862791,,,
1000WHYUSDT,15,联合多头,5968,5968,5968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000WHYUSDT,15,普通多空,5968,5968,5968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000WHYUSDT,60,联合多头,1492,1492,1492,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000WHYUSDT,60,普通多空,1492,1492,1492,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000XECUSDT,15,联合多头,5968,5968,5968,0,7.0,7.0,7.0,1.0,7.0,1.0,7.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.24376993445305972,-1.039530085959886,-22.152642469762423,-525.943751812119,1.706389541171418,-1.039530085959886,0.0,0.0,7.0,0.0,79.20469386225771,,-22.152642469762434,,-101.35733633202015,,4.0,0.0,0.08760093957592774,,9.087645924298243,,-503.79110934235655,-1.2833000204129457
1000XECUSDT,15,普通多空,5968,5968,5968,0,19.0,19.0,19.0,5.0,14.0,5.0,14.0,4.0,0.0,1.0,0.35714285714285715,0.5,-0.057573412309358085,0.3298117424322903,15.025046935212506,183.70088837360802,-0.8060277723310132,1.3192469697291611,0.0,0.0,14.0,1.0,125.40466999346943,-267.323179007691,15.02504693521251,660.150057086934,-110.37962305825693,927.473236094625,8.0,0.0,-0.19709461042860119,,-47.14652297557475,,168.6758414383955,0.38738515474164836
1000XECUSDT,60,联合多头,1492,1492,1492,0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,-0.7394352225613763,-1.0429925896693861,-256.2185157281477,-541.5706412101645,-2.218305667684129,-2.0859851793387723,0.0,0.0,3.0,0.0,-124.68249556092599,,-256.2185157281477,,-131.53602016722166,,2.0,2.0,-1.0612111892797307,-1.0429925896693861,-356.8346187397731,-541.5706412101645,-285.3521254820168,-0.30355736710800985
1000XECUSDT,60,普通多空,1492,1492,1492,0,9.0,9.0,9.0,3.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,-0.97258146594672,-1.0470838757565382,-412.60971208906324,-465.021433112058,-4.8629073297336,-2.0941677515130763,0.0,0.0,5.0,2.0,-134.07336115913898,-523.298909807961,-412.60971208906324,-465.021433112058,-278.5363509299242,58.277476695903026,3.0,2.0,-1.066826398913759,-1.0470838757565382,-329.9642836049397,-465.021433112058,-52.411721022994755,-0.07450240980981815
1000XUSDT,15,联合多头,5968,5968,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000XUSDT,15,普通多空,5968,5968,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000XUSDT,60,联合多头,1492,1492,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000XUSDT,60,普通多空,1492,1492,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1INCHUSDT,15,联合多头,5968,5968,5968,0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0,1.0,1.0,0.5,0.0,0.1704860588060616,-0.832809253289652,31.804143352936496,-257.59415784620546,0.6819442352242464,-1.665618506579304,0.0,0.0,4.0,0.0,-21.987257602547995,,31.804143352936496,,53.791400955484484,,2.0,1.0,-0.056252747252742485,-0.8291889763779607,13.671970284954497,-226.296336091115,-289.39830119914194,-1.0032953120957138
1INCHUSDT,15,普通多空,5968,5968,5968,0,14.0,14.0,14.0,4.0,9.0,4.0,8.0,3.0,1.0,1.0,0.375,0.0,-0.15305678097283887,-0.9269117965653972,-18.180646773500623,-236.30825926209198,-1.224454247782711,-2.7807353896961917,0.0,0.0,8.0,0.0,-15.515726180159122,,-18.180646773500623,,-2.6649205933415017,,5.0,2.0,-0.17504395339722648,-0.9721529297474242,-17.2247335671408,-210.01639909249,-218.12761248859135,-0.7738550155925583
1INCHUSDT,60,联合多头,1492,1492,1492,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1INCHUSDT,60,普通多空,1492,1492,1492,0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,-1.1942234567901195,,-123.2491646662755,,-2.388446913580239,,0.0,0.0,2.0,0.0,-138.8208476249815,,-123.2491646662755,,15.571682958705992,,0.0,0.0,,,,,,
1MBABYDOGEUSDT,15,联合多头,5968,5968,5968,0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.2,,-0.7700622557979424,,-167.92579495888498,,-3.850311278989712,,0.0,0.0,5.0,0.0,-13.532607499077999,,-167.92579495888498,,-154.393187459807,,3.0,0.0,-1.1033560472449355,,-214.97054262599468,,,
1MBABYDOGEUSDT,15,普通多空,5968,5968,5968,0,13.0,13.0,13.0,1.0,11.0,1.0,11.0,1.0,0.0,0.0,0.18181818181818182,1.0,-0.15010516319498315,1.58057894736843,-86.18484326006092,461.1876119785,-1.6511567951448147,1.58057894736843,1.0,0.0,11.0,0.0,15.744395321773649,,-86.18484326006092,,-101.92923858183454,,8.0,1.0,0.006809403874871611,1.58057894736843,-76.54860263969499,461.1876119785,547.3724552385609,1.7306841105634132
1MBABYDOGEUSDT,60,联合多头,1492,1492,1492,0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,,0.19721877997855486,,181.28805271474897,,0.3944375599571097,,0.0,0.0,2.0,0.0,-205.432047782602,,181.288052714749,,386.720100497351,,1.0,0.0,1.4560335195530685,,707.272727272725,,,
1MBABYDOGEUSDT,60,普通多空,1492,1492,1492,0,5.0,5.0,5.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,-0.9819436547971165,,-251.161247970492,,-3.927774619188466,,0.0,0.0,4.0,0.0,-152.96519709217702,,-251.161247970492,,-98.19605087831499,,1.0,0.0,-0.6535963302752351,,-196.746755040044,,,
2ZUSDT,15,联合多头,5968,5968,5968,0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,-1.0391262263350327,,-138.07709686143875,,-4.156504905340131,,0.0,0.0,3.0,0.0,-124.87016751427866,,-129.636885969936,,-4.766718455657339,,3.0,0.0,-1.002008301780042,,-133.133453266962,,,
2ZUSDT,15,普通多空,5968,5968,5968,0,21.0,21.0,21.0,1.0,17.0,1.0,17.0,1.0,0.0,0.0,0.23529411764705882,1.0,-0.19238025967204986,0.1537671232876707,-43.66669006059805,47.015706806282,-3.270464414424848,0.1537671232876707,0.0,0.0,16.0,0.0,-48.84247930293819,,-36.183500093388744,,12.658979209549441,,11.0,0.0,-0.25811889909740704,,-67.25138242791454,,90.68239686688005,0.3461473829597206
