asset,source_status,venue,stream_key,cache_sha256,return_rows
AEVO,selected,binance,binance_30m_f75668bbf9af4de5,429a90dd72ba06d96834bd9b4eeff018ba03ba0bedc3d3f9e78ea52e6814be28,35159
AGLD,selected,binance,binance_30m_6c9e5370597c83fc,6e4fa893f82493b49178babe70246a6e5fa344bb06cb82e2f44cb277756b876c,35159
AGT,selected,binance,binance_30m_c6b938231bc14235,69be351ea553d1a68d3059f80f055a8c56824357e5da3b369289b001149cae65,22922
AI,selected,binance,binance_30m_ff30f5fb97e0b84a,0e60df92cb3629fca8d165f6704ed137bb11b948f7043dd5b05ea9a71f87ee67,35159
AI16Z,selected,binance,binance_30m_3c555a6dc1e7232f,bb859a4be3f6ff67489203361935beec2ac3965a2f5dc50b16ca32a2751ee121,29539
AIA,selected,binance,binance_30m_950d82d851984ce2,32a562aed8cc667088aab17ab48b71e29bea77ec3934a93e173feeeeae02a936,11160
AIGENSYN,selected,binance,binance_30m_31f0649edaf5a315,8d785e2644442b57dca422b1a9842b41f8adf84050e84cdc04c3e94a6f72d591,6402
AIN,selected,binance,binance_30m_c5605f3ca4af54aa,bec34fddbc8843e85ddd53aaaf32252ec80c182d3316bda737c0e69e4ee92d18,20473
AIO,selected,binance,binance_30m_32f6647ad232733a,e60b4c1080aa6854f5369d05c97a20b1a0b2b188a9044ad799968ebe31fe91d2,18840
AIOT,selected,binance,binance_30m_87e70569aa53b65c,716182282530d16b70e9d41d982d63f291b0e559e5b464f9d81438d38e874eb7,23878
AIXBT,selected,binance,binance_30m_dfccdbdf2b9ec1fa,48e2f928d433210683205205d0d3fccfee9753d1cf34892f3ea18a57bf31a23b,30154
AKE,selected,binance,binance_30m_e883d23acd5ca7a5,826b61ee3928e749a3257467db29cfb2f01348ef670034b4c9d994cc1bdefe0d,16726
AKT,selected,binance,binance_30m_9094c4ec228e5157,37e1ea4559b2f1bc9d6a3a879960dd65fde8960ebc52758dfffbe1a16666eb95,31704
ALAB,selected,okx,okx_30m_8e1358d0de1b8828,e851fcea70907f962b7e2accf25729cae85d09ddef8d4dd0acbf4ef2359589c0,4109
ALCH,selected,binance,binance_30m_c239a68a92bd51d4,15b3b025176abdda0707c7df391e51073f5d2d7dca261766bf48d91d99d63a9e,29303
ALGO,selected,binance,binance_30m_508b3973a11173c3,5cf6c55050c09ee0d36cebb4a7e60a061938fac36134366e860614632f90f424,35159
ALICE,selected,binance,binance_30m_36757c021e219c4f,9597643bf9695f9111faea28b82889ad3b714dac02d785a6ea8f5f91ab282c60,35159
ALL,selected,binance,binance_30m_05545c5350df983a,44d7582db9b708d03cf82d6f9fd6b9897c0717307de0dce93dc9801992f0a588,19180
ALLO,selected,binance,binance_30m_79d8d16301061012,0483715642ff1ccb2c5f92ff8457b0d7a287451bda65a23296cd00f3e784dbc4,14515
ALPACA,selected,binance,binance_30m_2e167c2a6a2cd24d,afc04bee6a4346104d8fb50d36005c5afbe42ae68b8449b7afc3d12d4c2139ec,35159
ALPHA,selected,binance,binance_30m_64bcce4980295192,46bacec3ee57971be1892479f9d9f61ce6ec76fdb0272450963be35896efe324,35159
ALPINE,selected,binance,binance_30m_b808bde99a621711,bd95b79da753e8b3818abb48b7a49707b01ce0b4aa2a1ff426c4d293848ae5d2,23595
ALT,selected,binance,binance_30m_4e139d32e0417054,f78662a0e462f7de930a12269698e0c1d0be1eb9b69714d5481ea4d80024e83d,35159
AMAT,selected,okx,okx_30m_cb997b3f8e934cac,4774a6ec7ecb4a53d4781e298ddc11c85f24e6514dd94dbf31572e386cc6989c,5021
AMB,selected,binance,binance_30m_2ed5a921b9ef52bf,88b88b7bce475c2ec34af243000015958384123b8d665fb710588a913ae57be1,35159
AMD,selected,okx,okx_30m_e0452118d4841a4e,8cfb5585b802627c796d2d8418fc1a66cd71a1dff9bf66265a8d5f63da9a4343,8763
AMZN,selected,okx,okx_30m_099b9d8ac399e234,869c9e824a1193a2982c0c491826bae0469002d9fca5ce4d853703774d9877a7,9392
ANIME,selected,binance,binance_30m_00c81af5aa0059f9,ebac80488620f0565fcf5dc5edc037b9407502d58b754d543fa969d387fd9a57,28525
ANKR,selected,binance,binance_30m_c3b26c319a70d70b,9d9083609c49f41b7a0fa6524c271959e37ca8bdb1806280935cf6a10ce36604,35159
APE,selected,binance,binance_30m_1de78107a9012917,a7924836edaf86858624d1b3f8acb8727aa19bde85d69006ecd3837e24b0871c,35159
API3,selected,binance,binance_30m_7c653d8a36bb4107,c00dc455b94e0be1077c7aeb27f1a2b7f7a7a3babeed9d36f2c70c603e5f3ed5,35159
APLD,selected,okx,okx_30m_6cdca81e946a3b6f,1930b11a3be37c67454434908d750ff4a95e9e6670cb3a6e643feab78d401b53,3148
APP,selected,okx,okx_30m_ed7b0a1eec2ce940,dad0a0748e5276a3484ad123027c6568fe41420d28ca340eadd7d60402bee985,2615
APR,selected,binance,binance_30m_6bcab5e370a8dcca,8cad6c2f30bb5107fe5181879207cffa050ab5b19e9807e5fc301ffd41bc5c94,15434
APT,selected,binance,binance_30m_258725080768cddc,a25ce39e8f79981af0d9008948073c874aa6d67032587cdc0df979a147d4dd3a,35159
AR,selected,binance,binance_30m_e08380d7fa8bf956,eab8956479554e6ec4c9ad583adc79d01483cba5568ec625f4db7581610a0897,35159
ARB,selected,binance,binance_30m_b45329642b8ba069,e94bbe95457a2d436f525916913c3e906bd6744adc48231092eef4e993f2879a,35159
ARC,selected,binance,binance_30m_c794fc50f7d9c57d,b283acd3349ceef8bd9bac203505f8f12943844f25891e51f2bb79eb86db04a6,28821
ARIA,selected,binance,binance_30m_54988914cfaabd43,4627c237104341cdb08f10ea599d3dc15d9748b65e81bbba3c5f602d7656075b,17833
ARK,selected,binance,binance_30m_1391b37c26e77450,c1472d1de0153be8c091e4973104959dfd34719cb9244a6a82e6321f308ecf3f,35159
ARKM,selected,binance,binance_30m_737df6230d32a67c,470c2a32248c51b5b3c71b5945345d83da315d2059c75265f3f03dd12b8260da,35159
ARM,selected,okx,okx_30m_77b28c61fcab4f0a,58bd0d891171d1d0ad7586900c940bd117a1a2f08461f9a8bb90517121e81059,6418
ARPA,selected,binance,binance_30m_697288c245ade915,f3c5b0b55479f1e119c594e84b03f2f77ca7ca2fb588788886e566b6e20a80a3,35159
ARX,selected,binance,binance_30m_0f64b0bf096e110b,0d56186e4428779f216bb90266306df114c9ace17048fd3e0b2fa616078ddf58,3781
ASML,selected,okx,okx_30m_c5032bcf7e7698b3,a499abaf629cd3c3a5c99ec0f5093f91b6dddc458318f3f9383d84ce55c1783a,4731
ASR,selected,binance,binance_30m_0080e154011b75bd,e0b58e604d3ab31707b05d777f45132326222cc985a45ee6843311daca08a5ce,23596
ASTER,selected,binance,binance_30m_0db03baa0236334e,79b3aca6928c6a652fd956acdbde38f2b49cc10dbf2aa807405d4cdeb0ed5bce,17063
ASTR,selected,binance,binance_30m_7495478e458b1e87,2d6ee6531d2efdb147b551df337fc96ebb2edc873ccf3848d6253fe454f4057c,35159
ASTS,selected,okx,okx_30m_842905ef0480048c,a06a9f6ba6dbfbba4ce3ff6df2f893deac4d65a7041cd446d6669210ae30fbe8,4776
AT,selected,binance,binance_30m_cc9bff1c97ddff96,ed7a7389bc686b03dfe0e13767fbf0e400326492cd1612a06c09292a39542619,15144
ATA,selected,binance,binance_30m_b7e811371797d830,b36fbbf1f68784cb5aaf8350c868cbfa67934b81959e6b8819dd5b789bf39ca2,35159
ATH,selected,binance,binance_30m_3edf676b8252566f,aa5c4becb2cc3660e49240a3b060a0cd12dd2ac6a6996ef53001eda885da45a4,25215
ATOM,selected,binance,binance_30m_fcf71294b2258657,c4f968746fb08928d6c31bf1434e88d59490015c97f4337ae14cea0cc4308546,35159
AUCTION,selected,binance,binance_30m_5f37936e67b272f4,419bd8514235181988457afc3275453f9019fd27173a2708b0ef469e304e4a62,35159
AVA,selected,binance,binance_30m_2af142b9b56a040b,da25c0a1cd8870955b90ecb5e1b2607cf563c52e06d3b8963887082551597bca,30501
AVAAI,selected,binance,binance_30m_ac678d3e0e03ac81,fcfaf3bbb6c409e45384126415b9a9c1a733ce4c5b1c8a20cc71556e21f9d9e6,28820
AVAX,selected,binance,binance_30m_26b9ead44d41d9fb,8062984abcb413af6c944711f75231a858194927890390ca142de2ab3894aa9b,35159
AVGO,selected,okx,okx_30m_8119c58a5be5dbdc,267af1f099895852ffcc9ee6f4a9169c023680f9c61cb671d112f1e0b9e89dc8,6419
AVNT,selected,binance,binance_30m_3939557126b2adab,0db0592edf856fdf0d566b96de80dd15678e69cb5d62dfa610af6cf4ecad5127,17537
AWE,selected,binance,binance_30m_b66cee6d24322f5b,ffc585c8d0531d7307132a365753d4a04c0821066cef367d7405cd67404308e9,22879
AXL,selected,binance,binance_30m_d93980321c597666,60f44dd4898348ed5a8a1bb3909477cd5c698b28087b157d7017d6159a6dcb51,35159
AXS,selected,binance,binance_30m_f15f3978f9548209,0a9d1e67a6410fbafd8d985923c51ed1c34c262c3bcb17671b9e81e0efb502c1,35159
AXTI,selected,okx,okx_30m_97b90b98bd1e8fef,b5178934d0a4b45bf57cf9a883d33fb21bf13cc660e0836f469d25aa26d69002,4108
AZTEC,selected,binance,binance_30m_7a5f2882fc321bb6,41ec7937b4c49a4ef79f106ebd0821b9d6d0beb8a3fa768796244b2fbc3f5b35,10118
B,selected,binance,binance_30m_fad109ea52693aa7,24324b753f13d4e16f4638f2c04e5c776ee047a216177a1d95fa28a21594bd53,22814
B2,selected,binance,binance_30m_19d25bae53a81654,4eac8106a13b5e2b71db5fcab91a2a55cba24e1af350224b2617dde5914707c1,23588
B3,selected,binance,binance_30m_93ecb0e47b894867,7823d48e8b9bee1191be340eed446453a4ffbc612911e8086ad28aafd84ce2e5,27528
BABY,selected,binance,binance_30m_8d31e24d89e9fd48,cb226cb7ea997877a514ec146c4d58ecfaf4d5dc27adf11fc812c50b119699e9,25076
BADGER,selected,binance,binance_30m_c473cc7e09c07440,e23bfb8b5158f55b2a5ede42fb1b3a38c66c05560f095c722d736821387db4b4,35159
BAKE,selected,binance,binance_30m_9fdf2902c4143292,db6d9156d0424ac2ea174bdaa6f292f46e4b97b37696014f413d1ca0d1b45465,35159
BAL,selected,binance,binance_30m_7f400d570b92995c,049b11df6cf3df567652377c19a3a42cb8f4e745af47840ea51e032bf9fafd1c,35159
BAN,selected,binance,binance_30m_f625e3d99af6ef96,accf19f8667fa253ecbe4711333b5f18c558ffe66c93b0cdc07c2b13f03cc2f6,31704
BANANA,selected,binance,binance_30m_312602d50f9934ce,9b95a3f2249733b1060a0f3cd150fddde4733738fb4267cacae083cc1dfa823e,35159
BANANAS31,selected,binance,binance_30m_a946fb17236dff66,6669ce96490f1798d44eab7065a506dbbf41ac33f76d453fb50cd580aa668ce1,25756
BAND,selected,binance,binance_30m_2f889e806f146d2c,00239c5b3869f61c06a6636a40bb64a44ae9a2873c79da4b98bc347791783b9d,35159
BANK,selected,binance,binance_30m_183c3b271505c099,58e40bd68121474050a9fb4c05e671a55805c7741ef3938d281df511273016eb,24442
BARD,selected,binance,binance_30m_65cea7358d5475f8,a70c162671befe93b3dbc318c3e905cb448339136f17db493a6638d5bf191aa0,17113
BAS,selected,binance,binance_30m_6d1ce8e549f3a5ea,cbaf1d73d1ba5a034eb5ca8bbe1d069071ddf8c2b4c0f31c2bb2e479b422b75e,18212
BASED,selected,binance,binance_30m_62e83c7c624329ac,5b80adf28224cefc27912db47afb7977d6c1a42ac87874c302968d7c29e7235e,7851
BAT,selected,binance,binance_30m_498c1f6fffdfa315,5cdaecd5d52c93a77416f7ba5ed7eda3144849c8abee0cb8719001117a0d0651,35159
BB,selected,binance,binance_30m_f06f29b79f3969f0,1bad850ff3c68ba10066627660795507101d3cfadc592a60115c6e140e8ae8ab,35159
BCH,selected,binance,binance_30m_51f4bc8fa4c2da2b,992489afdfb59001e0cc5091ce24a25f79353af748aae757caf46fbb2ade4a4f,35159
BE,selected,okx,okx_30m_49f240fb371637e9,67471813c856baad172e77d5af051963d86cba5db1d8dfe62dc82062384802ae,5065
BEAMX,selected,binance,binance_30m_5c330baec68f0348,0999d715bb4ffd52221ce1621994955649869d906200db3f637c0c59298268f0,35159
BEAT,selected,binance,binance_30m_f783792211a554e0,e7b11ef8fefbb0e6a92f7fba2e8ce2fa938bfab9991d25c532dd6806c11173f7,14470
BEL,selected,binance,binance_30m_fd1885fb17381ae5,2a24c9691485d55c0382c4b138a074631c89dca2fa2346901f5712a4dd7470fc,35159
BERA,selected,binance,binance_30m_3379473ab6a97d7b,0b8a2418d71f7e1af454ea738f3de07544c3458468f7562fa1dcdddbf6d89b41,27857
BICO,selected,binance,binance_30m_a8a13070e09d9c29,d7718f043eb7733a41919cea186c44949157889493e78144e4ddcbc2b4c2068e,35159
BID,selected,binance,binance_30m_af06ae3eb5744139,4c590ef15862a2f993a2a8763ba2b422803a921bf6b051edeb469e5d80ef6c95,25852
BIGTIME,selected,binance,binance_30m_3e900eb70935143d,6442a9bdfd21a70502f383054928e0fad9334ea165cc29a2901d0dfd74a78229,35159
BILL,selected,binance,binance_30m_3e905623ccebb107,6225ebcf33aab813a3bafbe2765bd9ed690d7a9cfe831f861eb9a110d7c7779c,6030
BIO,selected,binance,binance_30m_01c998d3f7929cd5,d27d4abd83403e7ee36606596d3c7f53c58fd4aaff5438a3e1e28b4dd722c780,29494
BIRB,selected,binance,binance_30m_7f9171eab840e092,1bf779b2cf920fe6752ca17174b2cab6a8f587b87d7e763773fdc518f3296538,10740
BLEND,selected,okx,okx_30m_43ff64e68c8b232f,9782113d7f33ae5ef907095e7ac444dd784bdf5ba67f200a6dd4a6a8d8b945c5,6411
BLESS,selected,binance,binance_30m_5626c48c3269d8bf,1a07acb6b7c09d294eb1291bb190970e9d3bfda948cfaba6081f01c9ef6ab099,16876
BLUAI,selected,binance,binance_30m_d3c29e17d3606d4c,f12204c570db603aabc1a491d799ece392397112671ef3612bbb72760dbeefe9,15528
BLUR,selected,binance,binance_30m_90e8bb902180c5d3,c9083f33ba382ac2a3bf1a0e08dbf0f5343dcf4479ad1ca2e192924a6e0157bf,35159
BLZ,selected,binance,binance_30m_725c62ab9905cd1d,240ae2e26baf1c8af249230a7334e8f56ad4fcee84e453e5ce21aab16dbb47a0,35159
BMNR,selected,okx,okx_30m_715a616062d2789b,04e5100e0e015c30bd0540c6895a94322220ae156eb8386f18916f591ed7a908,6497
BMT,selected,binance,binance_30m_3fc9372e2bf80588,5ad1a4c1e3a01981f8594585f3c100a7ffe9494c505c2a18efecef01d92c2f29,25988
BNB,selected,binance,binance_30m_f498d2d5acf8adfc,7646ad1716bae3ff805dac23fed791f479e124d8e6413fd8ae6b9be9116e2a80,35159
BNT,selected,binance,binance_30m_53c804f54019333e,bee0c97fa2d565d9af5e7cdda3bcbf6f55b5e60976ca5c9e2baa571ffa8941ce,35159
BNX,selected,binance,binance_30m_feeb132824750962,8d2d7f95fd2dd7d0d78d21a34795cf574ac6dc6a399efd01537fbab45c201f83,35159
BOB,selected,binance,binance_30m_5ad30a38a111b8af,ed7e8ae8914600c5eac7e7e12161a2a074b9e0770acf2deb3587fa79532b7afd,14041
BOME,selected,binance,binance_30m_b6ea06630d8ca8a0,1c8f07c4865668fc68fd2300748e0c5af64fc208de471e52de9166974e74eabf,35159
BOND,selected,binance,binance_30m_bd3683991861f5da,34ed411c37b4efba8af367269a8c79587351d84664e21a2d8b525d9dbef723a7,35159
BONK,selected,okx,okx_30m_4bf9ed3a516d8940,499a936e94cfbdd4da76da3fd8d0ca7236ea724f8be6a9f7725a2d42c999f0a0,35159
BOT,selected,okx,okx_30m_de5777d45d5a8d92,7dbe14167a944f497fed84beb84eaa6805a36f9652fe57358378c15bb0f87235,3339
BP,selected,gate,gate_30m_0e05769f2d7a30cf,b606ab31b85b8cfbe12eca38e95f9acaba2d4c4d5291ca01a4dd9fdc3c87403b,8521
BR,selected,binance,binance_30m_3f45b1494410e510,6d52dd02e4b80bcc0fa0ea71257a23f21142b3ba4e7ddb81d758978c74c5d2f2,25797
BRETT,selected,binance,binance_30m_757375a87f3efbb3,d620efcd8d252bb705a6f5d46526087abc3652ba2a7e665a112ed521c14f074a,35159
BREV,selected,binance,binance_30m_c748c0d43941cbb5,60a29b1f6882bf13fb63a2a1cdc0144279f97aca368d2b88b6edfca0b466e792,12169
BRKB,selected,okx,okx_30m_bbc503657b1fafcc,b35e53f677e548393d57dbc05390655f0887967c63475e01894066f595078073,1656
BROCCOLI714,selected,binance,binance_30m_525e483bcf6b1639,f01dcc9c9132216155acf38fc275a3aa51500ef7d06f9db7a3c4f5c48d1782a9,25805
BROCCOLIF3B,selected,binance,binance_30m_0de60721a7664b2f,de8949886d582dc3750f5548320a68baf30a8432228e77f1f2ce472b6c27491b,25804
BSB,selected,binance,binance_30m_339b20ebf583c910,7bee54e821f11b5d9f8f68d79f2071b9a09140a78a7dc7a743708059528d0423,8087
BSP,selected,okx,okx_30m_59f8c7abf73b96b6,9649b23ec6e7d01d43cb58392be87125b3e1144847a6eca92b6f16068dc5c531,3149
BSV,selected,binance,binance_30m_228e15759bac5d7b,01b65b1ba8428336123df00358b76dc88d6ef7b39a8af61165b0f253e5e2d570,35159
BSW,selected,binance,binance_30m_01fb6124bd66e95f,e7d843a037a2547fd08fabf112c427d8bb2895c2ab68ed440f14406c0f837c8a,35159
BTC,selected,binance,binance_30m_dcb3c9a81d320b0d,9dc4f21b48b53a12ba3d28014d4926e6082a79eee5302e6d58e93497387c7e89,35159
BTCDOM,selected,binance,binance_30m_69caffd678cb614d,60e0b3394ed3eecc76a507bcb312d0d7e9a3bf6229406d009489d0d883c1fe6d,35159
BTR,selected,binance,binance_30m_f76c8fa6e6fabaa5,45331cf554b21fa9ac96f057febf79a2dd6d230315c2735e6683e383b2ec82b2,18170
BTW,selected,binance,binance_30m_c967ddf4dff86cad,5b1ff662ccf5601e950e7c001cd58616fdcb1a440f74478c4ac1f28ffdf82b7c,4674
BULLA,selected,binance,binance_30m_9590178b9210ae87,5b6ab906ddde7c2e52cd1a9aa8b21c5617e6df5232b0c8db6597ce32e2cb21a0,20765
BX,selected,okx,okx_30m_177572f2ec2719d2,58f27fb953fe285f4c880d525995a5bd6235435d63db5444de400725a9e506b2,4300
BZ,selected,okx,okx_30m_d27afaef6a0e0767,6306ff2a9f59cd06f08fa13f5450c4df37cf30b51938793b17eede254ef0709c,8139
C,selected,binance,binance_30m_1a7272ddc276a9ea,69edc8453935556175c1271112d5e23896f27e052d046dc1d82f8ea6763490cd,20237
C98,selected,binance,binance_30m_6f0d465d44098a96,caa1fa75479746dbe6f373851e15cc3e17dfb09808f9eba7d4f4fef1261de90e,35159
CAKE,selected,binance,binance_30m_8e9cecaeeacd4929,afa0a458569c9c5c88331a431af66f14e0f59f080de3836094fa0308379ed1a1,35159
CAP,selected,binance,binance_30m_4757a75cde1bcd5e,3a5cd67f65ec875ac92a6dfb60b59527ca8fb9037a858eee7d2cb8ab182fd89b,3575
CARV,selected,binance,binance_30m_38e1dc570ccbf66e,51100a4376a8a1061bd251d39fe7d5529be0a276999c53fd9a2f52c1a51ca40c,19117
CATI,selected,binance,binance_30m_8d6d359c7269dfb9,339b47e119b6142bf11ff97711378e2b990ba44292e0c2b5677b0a134ec88adc,34536
CBRS,selected,okx,okx_30m_ae3cfd2c411cbaf6,f2931f0ea77309bf7b680a6c429f20a6533a7ea1b8165c2efbb5d2c87e923938,5651
CC,selected,binance,binance_30m_cf210189f4b0a51e,84d27c9dee6e9a2fc344fb3c3aa40478ef56bd3c31268e2bb235c5e54d8c59fd,15047
CELO,selected,binance,binance_30m_98ff43f8caf0ff47,fe91b1232a5b7b040f4626ecdc9e60948ce1e6ab29ada4b8a5400c3cc4029bba,35159
CELR,selected,binance,binance_30m_3fc554df42dfc6d6,0143a0cea8595b68e9cf251507137564839398ca132b5c6bb59b822474e9c300,35159
CETUS,selected,binance,binance_30m_0e84640817bf5484,0022202df4164c69a260ea7795c4ef8252c3a80f48f2381f344b8c3bbdd99414,32275
CFG,selected,binance,binance_30m_d4c396a46f9bf691,dce2b043d915dd529298bdc8bf14fb7c5cc2b3b8f388d822e7f51900386ce5ee,8517
CFX,selected,binance,binance_30m_ddd25a308094e076,fe982785db05550b3a74eb528b195f9cddda309bc117a4f7f48afacdcb96e52b,35159
CGNX,selected,okx,okx_30m_7339d895f7c442ec,4b904c4537030d0527f4db8624962c7d19d4c470024e644e63e319fa124351cc,4299
CGPT,selected,binance,binance_30m_88acdc599597ff05,86550bd8a4323edc6aad8381c0016d7e109fa1bd5c0d25839f59387ad3d98b07,30152
CHESS,selected,binance,binance_30m_cf7c7c7fe0d91e01,14b7d4c2c35905ab51ee77efd81a350d2895ed1d5e364fc262728a08157377da,35159
CHILLGUY,selected,binance,binance_30m_346d3b8c82a75293,d7d50b23ac68a8ae295c3e5135ae6e724c5920b91e428b2ebbb9f38a722d21b4,31265
CHIP,selected,binance,binance_30m_7b3dcbf5bbc13d11,cea501305ed30346409c98b3574257b4d4ebd518e6d84eed0a3fb0e85542b0a0,7040
CHR,selected,binance,binance_30m_8d1efef31277ca17,08cecf3c721698b5ce54b9dddaff0130ec6e3219985c11de57e7d72185131605,35159
CHZ,selected,binance,binance_30m_4cec45818d0926f9,43129e2954be8b7aac69117196d0482b62d216a56a2185a5cdf228d9c46dcc1c,35159
CIEN,selected,okx,okx_30m_1480da1973a419b3,79f306779aaa970c094fd59b3d3f72d8be8d1617cdb0017992833bbdfaf4f1cc,4348
CKB,selected,binance,binance_30m_4aa1b41c76b5d2a4,4406167db671decf49c0cdfcbf5e38a4db51598f0807493f8e5fa33c471e8bff,35159
CL,selected,okx,okx_30m_26212f455d6014bd,64605d81793ee8e8d0874d33ba9b96170d19a5a0a58c044131655a1c405339f7,9094
CLANKER,selected,binance,binance_30m_1edc358a234360ce,9a14dbfed70c409d3e34d56eee5f60893ef823aedca82b3455d3e45a731d643a,14471
CLO,selected,binance,binance_30m_be410991917f9525,0573ff3c43d6bd7434ed59408a801da66afc8ca64cade15c230ee3abd508c999,15864
COAI,selected,binance,binance_30m_db2c6c13ef885d26,cf054e5c07d18dc77988991920ecdc81d4e03bbf7c783ee5b5ad2611b346b6be,16784
COHR,selected,okx,okx_30m_11c2804f921c7fc5,8a29bd82f84ec0b75e626580f732811a625e9eb69c646d960166e778096247f5,5739
COIN,selected,okx,okx_30m_f67181055e4156aa,b1a2670a5ef10968e81f6c1f0fab708d452f1b40a544455315ea3f917d774b80,9391
