side,period,arm,fixed_comparable,rescued_loss,harmed_winner,fixed_mean_delta_r,fixed_mean_delta_original_r,fixed_mean_delta_bp,serial_common_closed,serial_new_closed,serial_lost_closed
short,earlier,htf_body__trail,798,27,53,-0.06864101005939871,-0.04401647113889835,-4.1883598085653055,777,20,21
short,earlier,original__tp2,798,20,0,-0.15627835228783107,-0.15627835228783107,-19.484833427566357,798,6,0
short,earlier,htf_touch__tp2,798,25,20,-0.18947632823658833,-0.20404275371812336,-30.465358990272215,785,3,13
short,earlier,htf_close__tp2,798,32,62,-0.16475777346438958,-0.17177036998292305,-22.679356118324407,785,28,13
short,earlier,htf_body__tp2,798,38,49,-0.17539559864646542,-0.1835834059710508,-24.67541719891643,778,22,20
short,later,htf_touch__trail,609,26,6,0.0484913988691418,0.15251630899947713,19.073482212145358,586,0,23
short,later,htf_close__trail,609,23,44,-0.08406301529534947,-0.02875656935094075,-7.686283505636315,592,22,17
short,later,htf_body__trail,609,32,23,-0.009366344122016446,0.0603736949240198,8.223942198578868,588,17,21
short,later,original__tp2,609,21,0,-0.21075048891068204,-0.21075048891068204,-28.845320565554825,609,5,0
short,later,htf_touch__tp2,609,34,3,-0.13915960771605604,-0.08294584147590446,-12.967464578300746,586,2,23
short,later,htf_close__tp2,609,32,41,-0.1908227327389213,-0.15384569938469922,-23.64977039026476,592,24,17
short,later,htf_body__tp2,609,42,23,-0.14240149243374953,-0.09653850115708708,-14.42647478868408,590,20,19
all,full,htf_touch__trail,2700,74,55,-0.003638831192128541,0.03678214084474706,3.6838916446340857,2638,0,62
all,full,htf_close__trail,2700,79,195,-0.027790522166811757,0.004240708745811756,0.9009493126213447,2648,104,52
all,full,htf_body__trail,2700,104,144,-0.01222363467710341,0.022533007655657907,4.295586359279683,2629,83,71
all,full,original__tp2,2700,79,0,-0.12235982165483518,-0.12235982165483518,-16.43712350591112,2700,19,0
all,full,htf_touch__tp2,2700,113,42,-0.10583720792324564,-0.08933913601250677,-12.795613106703378,2640,12,60
all,full,htf_close__tp2,2700,115,185,-0.10633929260055157,-0.09233593454148123,-12.208955985073914,2648,114,52
all,full,htf_body__tp2,2700,143,135,-0.10245433640559108,-0.08768040162488465,-11.611908385891772,2632,95,68
all,earlier,htf_touch__trail,1582,38,37,-0.024582203078898884,-0.003310005008192158,-0.662149488648307,1549,0,34
all,earlier,htf_close__trail,1583,44,116,-0.010823786041419368,0.011922924183348206,4.6409441444550295,1552,50,31
all,earlier,htf_body__trail,1583,60,91,-0.0009818769020316566,0.026080547744078243,5.901954486914064,1539,41,44
all,earlier,original__tp2,1583,42,0,-0.11435713980986337,-0.11435713980986337,-12.589445488600028,1583,11,0
all,earlier,htf_touch__tp2,1582,62,32,-0.11099140068521639,-0.10787791654768161,-13.013839235003054,1551,7,32
all,earlier,htf_close__tp2,1583,66,111,-0.09337263172734092,-0.08762267326295219,-8.545725389474953,1552,54,31
all,earlier,htf_body__tp2,1583,82,86,-0.09489160792179041,-0.08728494672565947,-9.914104284987541,1540,46,43
all,later,htf_touch__trail,1116,36,18,0.024888048925754327,0.09288348055675452,9.763407146416707,1087,0,29
all,later,htf_close__trail,1116,35,79,-0.05210895390567171,-0.00665239728364557,-4.403271896590214,1095,54,21
all,later,htf_body__trail,1116,44,53,-0.028407471777928187,0.017521159132079293,2.020868474256434,1089,42,27
all,later,original__tp2,1116,36,0,-0.1360610807787108,-0.1360610807787108,-22.196191194119276,1116,9,0
all,later,htf_touch__tp2,1116,51,10,-0.09987563078824373,-0.06401706734567655,-12.597067450248122,1087,5,29
all,later,htf_close__tp2,1116,49,74,-0.12505416667474317,-0.09910423968346414,-17.416037516273043,1095,60,21
all,later,htf_body__tp2,1116,61,49,-0.11350047398459355,-0.0883199047674459,-14.030578457681452,1091,49,25
