side,period,arm,exit_reason,count,net_r,mean_net_bp
short,full,htf_body__trail,opposite_v6_next_open,186,-65.72875001267047,-101.21037923177042
short,full,htf_body__trail,trailing_stop,376,954.4480014253475,640.7772882302845
short,full,original__tp2,initial_stop,772,-858.888110245306,-249.51796285487174
short,full,original__tp2,opposite_v6_next_open,163,-54.487911756391824,-81.77611399457287
short,full,original__tp2,tp2,483,912.5609362676273,442.3055565538607
short,full,htf_touch__tp2,initial_stop,656,-717.7674619493621,-294.4033067905852
short,full,htf_touch__tp2,opposite_v6_next_open,284,-97.90174972253658,-96.9487008828262
short,full,htf_touch__tp2,tp2,437,833.355566482629,523.9037261889232
short,full,htf_close__tp2,ma_close_next_open,949,-696.0947612453463,-197.5626313986683
short,full,htf_close__tp2,opposite_v6_next_open,105,-19.432636970381694,-29.82239446497243
short,full,htf_close__tp2,tp2,376,717.4261754506243,520.6216982160881
short,full,htf_body__tp2,ma_body_next_open,828,-685.8629962142619,-217.76000337124617
short,full,htf_body__tp2,opposite_v6_next_open,172,-70.08503405136177,-117.61378250354414
short,full,htf_body__tp2,tp2,411,783.3227087897293,510.8571305875823
short,earlier,original__trail,initial_stop,449,-496.2333984883893,-263.17411205159203
short,earlier,original__trail,opposite_v6_next_open,101,-33.21362272956854,-83.92051954486105
short,earlier,original__trail,trailing_stop,248,651.7987274321205,559.9668120699625
short,earlier,htf_touch__trail,initial_stop,387,-420.892798187961,-310.862460509696
short,earlier,htf_touch__trail,opposite_v6_next_open,179,-61.862277176589316,-108.83226481214592
short,earlier,htf_touch__trail,trailing_stop,219,548.8395096878855,660.829969213236
short,earlier,htf_close__trail,ma_close_next_open,561,-398.1981286652914,-203.33078425643774
short,earlier,htf_close__trail,opposite_v6_next_open,66,-13.149172210019437,-51.64121054462309
short,earlier,htf_close__trail,trailing_stop,184,476.93000413059264,676.2755118281793
short,earlier,htf_body__trail,ma_body_next_open,488,-395.256540071299,-225.74889168961286
short,earlier,htf_body__trail,opposite_v6_next_open,114,-48.96532481057431,-131.190085994264
short,earlier,htf_body__trail,trailing_stop,195,504.53357598114417,676.8102067798305
short,earlier,original__tp2,initial_stop,438,-483.2880437157944,-262.9223169076993
short,earlier,original__tp2,opposite_v6_next_open,94,-36.315520582332326,-105.00892917901518
short,earlier,original__tp2,tp2,272,513.550985052034,445.08384546826784
short,earlier,htf_touch__tp2,initial_stop,381,-414.4684077548298,-310.47394116647826
short,earlier,htf_touch__tp2,opposite_v6_next_open,169,-63.8137858372068,-120.77666963488849
short,earlier,htf_touch__tp2,tp2,238,453.8962823263468,539.3755218452469
short,earlier,htf_close__tp2,ma_close_next_open,549,-392.97442011755595,-205.21930817599562
short,earlier,htf_close__tp2,opposite_v6_next_open,62,-14.8619263167342,-65.71494809338144
short,earlier,htf_close__tp2,tp2,202,384.99522572325,530.0469554237607
short,earlier,htf_body__tp2,ma_body_next_open,478,-385.26691746687493,-225.18272772715284
short,earlier,htf_body__tp2,opposite_v6_next_open,108,-50.21268877024024,-142.30901717745638
short,earlier,htf_body__tp2,tp2,214,407.5580369778928,524.5885775584393
short,later,original__trail,initial_stop,343,-386.10084339492005,-229.50298267148065
short,later,original__trail,opposite_v6_next_open,76,-17.298649176635553,-36.69077975175117
short,later,original__trail,trailing_stop,190,536.3162138684431,580.3166067183043
short,later,htf_touch__trail,initial_stop,277,-305.6270492917515,-270.66395121537744
short,later,htf_touch__trail,opposite_v6_next_open,124,-29.67224384079637,-45.29044832757524
short,later,htf_touch__trail,trailing_stop,185,493.7291904216078,648.2449127968937
short,later,htf_close__trail,ma_close_next_open,408,-305.6001444212727,-182.89571957998993
short,later,htf_close__trail,opposite_v6_next_open,47,-1.2897938438684324,38.03287860828242
short,later,htf_close__trail,trailing_stop,159,394.8639533349269,615.2463078007098
short,later,htf_body__trail,ma_body_next_open,353,-302.2383918313039,-203.69691108803116
short,later,htf_body__trail,opposite_v6_next_open,71,-16.368129964000943,-53.330964945025414
short,later,htf_body__trail,trailing_stop,181,449.9144254442033,601.9572931078454
short,later,original__tp2,initial_stop,334,-375.6000665295116,-231.93979795924741
short,later,original__tp2,opposite_v6_next_open,69,-18.172391174059495,-50.12561214910068
short,later,original__tp2,tp2,211,399.00995121559333,438.72406563102317
short,later,htf_touch__tp2,initial_stop,275,-303.29905419453235,-272.1381733461661
short,later,htf_touch__tp2,opposite_v6_next_open,114,-33.69266864723454,-61.74747069964991
short,later,htf_touch__tp2,tp2,199,379.45928415628225,505.39976957482776
short,later,htf_close__tp2,ma_close_next_open,400,-303.1203411277903,-187.0538425217865
short,later,htf_close__tp2,opposite_v6_next_open,42,-4.175415415552257,24.427085372236753
short,later,htf_close__tp2,tp2,174,332.4309497273743,509.6797329520084
short,later,htf_body__tp2,ma_body_next_open,350,-300.59607874738697,-207.62268267946513
short,later,htf_body__tp2,opposite_v6_next_open,63,-19.4770500430263,-75.8291192504429
short,later,htf_body__tp2,tp2,197,375.7646718118364,495.9407364161944
all,full,original__trail,initial_stop,1531,-1703.8990966656086,-251.26977769729598
all,full,original__trail,opposite_v6_next_open,356,-110.84187091567051,-79.48224915099236
all,full,original__trail,trailing_stop,813,2059.74721367553,545.8651678108118
all,full,htf_touch__trail,initial_stop,1301,-1425.7916438619782,-290.85734193821855
all,full,htf_touch__trail,opposite_v6_next_open,586,-190.3858475196139,-95.93723939685113
all,full,htf_touch__trail,trailing_stop,751,1842.9080583317998,629.2921999653141
all,full,htf_close__trail,ma_close_next_open,1873,-1372.1147033659959,-195.4280032114169
all,full,htf_close__trail,opposite_v6_next_open,232,-36.142274230172546,-29.5476762812619
all,full,htf_close__trail,trailing_stop,647,1548.9159626485296,616.1168390790391
all,full,htf_body__trail,ma_body_next_open,1661,-1392.1304596573054,-219.1883109292485
all,full,htf_body__trail,opposite_v6_next_open,351,-122.24841540839374,-93.61256943294536
all,full,htf_body__trail,trailing_stop,700,1695.602859558273,614.8685768882428
all,full,original__tp2,initial_stop,1500,-1667.669321858745,-252.12533294663368
all,full,original__tp2,opposite_v6_next_open,325,-112.10011717583097,-93.27640576538334
all,full,original__tp2,tp2,894,1688.1721697300586,441.6394035427014
all,full,htf_touch__tp2,initial_stop,1286,-1409.3898653552778,-291.1789535022573
all,full,htf_touch__tp2,opposite_v6_next_open,549,-200.32641739907248,-111.39408237446062
all,full,htf_touch__tp2,tp2,817,1556.6846117613582,523.4273843771451
all,full,htf_close__tp2,ma_close_next_open,1838,-1364.0949787848076,-199.56650999728956
all,full,htf_close__tp2,opposite_v6_next_open,217,-45.04845155425717,-49.52870986306162
all,full,htf_close__tp2,tp2,707,1347.2075969732246,521.0569082015302
all,full,htf_body__tp2,ma_body_next_open,1633,-1378.4141833565386,-222.67855045920098
all,full,htf_body__tp2,opposite_v6_next_open,330,-129.4537158484959,-110.30747488664582
all,full,htf_body__tp2,tp2,764,1454.4403776801353,510.7244770798502
all,earlier,original__trail,initial_stop,886,-980.4818455715204,-259.5466393714108
all,earlier,original__trail,opposite_v6_next_open,219,-71.0095798904583,-81.0958036312754
all,earlier,original__trail,trailing_stop,478,1193.6432132985442,532.6661698509745
all,earlier,htf_touch__trail,initial_stop,753,-821.555512346594,-300.3900937837863
all,earlier,htf_touch__trail,opposite_v6_next_open,363,-120.92267427210614,-101.47614401768934
all,earlier,htf_touch__trail,trailing_stop,433,1043.3532589694091,619.1515778205734
all,earlier,htf_close__trail,ma_close_next_open,1090,-786.2995373927399,-201.41970830153278
all,earlier,htf_close__trail,opposite_v6_next_open,141,-20.28333278999546,-26.588630295146
all,earlier,htf_close__trail,trailing_stop,371,904.3512869971164,620.9307838645996
all,earlier,htf_body__trail,ma_body_next_open,960,-785.735215744916,-225.33210165813895
all,earlier,htf_body__trail,opposite_v6_next_open,223,-79.49446253945645,-95.78156970115596
all,earlier,htf_body__trail,trailing_stop,397,979.5691452313766,623.7154208912709
all,earlier,original__tp2,initial_stop,871,-963.0735465642096,-259.58172594372684
all,earlier,original__tp2,opposite_v6_next_open,199,-72.32209255937198,-96.65464309234622
all,earlier,original__tp2,tp2,524,990.1276441218356,440.5145692575155
all,earlier,htf_touch__tp2,initial_stop,744,-811.7273713614068,-301.31752788995647
all,earlier,htf_touch__tp2,opposite_v6_next_open,340,-126.9670343536783,-118.80014195843891
all,earlier,htf_touch__tp2,tp2,474,903.7950157490274,527.9344118444744
all,earlier,htf_close__tp2,ma_close_next_open,1066,-778.4283779805068,-205.24704530584336
all,earlier,htf_close__tp2,opposite_v6_next_open,132,-25.834298392338553,-50.496197617394735
all,earlier,htf_close__tp2,tp2,408,777.4205114990232,520.3431234042922
all,earlier,htf_body__tp2,ma_body_next_open,941,-773.9605643190985,-227.9318280311724
all,earlier,htf_body__tp2,opposite_v6_next_open,211,-83.12125275047556,-112.31018323748917
all,earlier,htf_body__tp2,tp2,434,826.2786314321631,512.6713993286821
all,later,original__trail,initial_stop,645,-723.4172510940883,-239.90032119610873
all,later,original__trail,opposite_v6_next_open,136,-39.18375977521223,-76.85836382233498
all,later,original__trail,trailing_stop,335,866.1040003769856,564.6983648997739
all,later,htf_touch__trail,initial_stop,548,-604.236131515384,-277.75850591684537
all,later,htf_touch__trail,opposite_v6_next_open,221,-68.9222194728272,-87.18701136389559
all,later,htf_touch__trail,trailing_stop,318,799.5547993623907,643.1000282315805
all,later,htf_close__trail,ma_close_next_open,783,-585.815165973256,-187.08705998251997
all,later,htf_close__trail,opposite_v6_next_open,90,-15.463646202081856,-33.590020033008635
all,later,htf_close__trail,trailing_stop,276,644.5646756514132,609.6459205448256
all,later,htf_body__trail,ma_body_next_open,701,-606.3952439123896,-210.77456043034005
all,later,htf_body__trail,opposite_v6_next_open,127,-42.35865763084205,-89.88787090503656
all,later,htf_body__trail,trailing_stop,303,716.0337143268964,603.277167418929
all,later,original__tp2,initial_stop,629,-704.5957752945355,-241.80018461520586
all,later,original__tp2,opposite_v6_next_open,126,-39.778024616459,-87.94093570137052
all,later,original__tp2,tp2,370,698.0445256082228,443.2324120979375
all,later,htf_touch__tp2,initial_stop,542,-597.662493993871,-277.2617960401759
all,later,htf_touch__tp2,opposite_v6_next_open,207,-72.81842927071357,-99.75000222703885
all,later,htf_touch__tp2,tp2,343,652.8895960123307,517.1990140578622
all,later,htf_close__tp2,ma_close_next_open,772,-585.666600804301,-191.722662019416
all,later,htf_close__tp2,opposite_v6_next_open,84,-18.818857923823387,-47.61035395383179
all,later,htf_close__tp2,tp2,299,569.7870854742011,522.0309021723435
all,later,htf_body__tp2,ma_body_next_open,692,-604.4536190374404,-215.53500393430917
all,later,htf_body__tp2,opposite_v6_next_open,118,-45.93716785992512,-106.95810022725853
all,later,htf_body__tp2,tp2,330,628.1617462479721,508.1639793344169
