minutes,window,start,end,policy,candidates,natural,open,wins,losses,net_zero,win_rate,sum_gross_r,sum_net_r,mean_net_r,mean_cost_r,profit_factor,max_net_loss_streak,max_initial_stop_streak,initial_stops,fanshen_exits,gross3r,net3r,legacy_mfe1r,legacy_mfe1r_then_net_loss,max_realized_drawdown_r,boundary_net_r,paired_n,paired_delta_net_r,paired_improved,paired_worsened,saved_losers,lost_3r_winners,matched_n,matched_missing,months,random_mean_net_r,excess_net_r,p,p_holm
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,arrows_augment_any,1807,1636,0,374,1262,0,0.22860635696821516,-32.34847174017304,-1047.6573359683393,-0.6403773447239238,0.6206044402372655,0.2656448959893195,30,8,620,912,33,23,448,164,1047.6573359683396,0.0,1453,-47.10674684248227,540,272,102,62,1636,0,33,-0.649836086632274,0.009458741908350214,0.3757,1.0
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_profit,1807,1504,0,538,966,0,0.35771276595744683,-33.54801882836756,-962.4546502197796,-0.6399299536035769,0.6176240900208857,0.38214457647879196,17,12,839,536,66,44,634,221,962.4546502197803,0.0,1453,-29.282232742225162,330,237,190,52,1504,0,33,-0.639108012843818,-0.0008219407597589671,0.5016,1.0
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_any,1807,1636,0,366,1270,0,0.2237163814180929,-42.035717401150734,-1057.3445816293172,-0.6462986440277,0.6206044402372655,0.2732409841112958,30,8,640,942,38,29,448,172,1057.3445816293172,0.0,1453,-56.061565762677134,559,305,110,64,1636,0,33,-0.6482372793600407,0.001938635332340784,0.4688,1.0
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,alerts_augment_profit,1807,1502,0,526,976,0,0.35019973368841545,-29.549374487522183,-959.724565240932,-0.6389644242616058,0.6192910724057322,0.37252818962557227,26,12,810,444,55,32,642,229,959.7245652409324,0.0,1453,-35.91212179534678,262,165,152,46,1502,0,33,-0.6405513509376334,0.0015869266760274818,0.4779,1.0
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,alerts_augment_any,1807,1608,0,388,1220,0,0.24129353233830847,-33.509963486634646,-1034.3366567429846,-0.6432441895167814,0.6224046599852923,0.29097361526493215,30,8,664,796,40,25,490,189,1034.336656742985,0.0,1453,-52.09963669483611,479,243,99,57,1608,0,33,-0.6475927097058891,0.004348520189107778,0.4462,1.0
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_profit,1807,1497,0,510,987,0,0.3406813627254509,-23.203373120507283,-948.4605318723115,-0.6335741695873824,0.6180742543432226,0.39975232219992146,17,12,846,496,68,44,638,240,948.4605318723121,0.0,1453,-19.92945717716182,309,240,170,51,1497,0,33,-0.64354803974964,0.009973870162257606,0.4075,1.0
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_any,1807,1607,0,375,1232,0,0.23335407591785937,-19.076133392866254,-1019.4246818279511,-0.6343650789221849,0.6224944296422432,0.31621608676163543,30,8,686,834,47,33,489,201,1019.4246818279514,0.0,1453,-43.7171428648839,503,294,108,62,1607,0,33,-0.6490364422129896,0.014671363290804705,0.3274,1.0
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,102,84,0,28,56,0,0.3333333333333333,53.60256298696524,11.893022726289445,0.14158360388439814,0.49654214596042623,1.1537671112199015,12,12,46,0,11,10,45,17,18.715599525136223,0.0,84,0.0,0,0,0,0,84,0,4,-0.2997039934298563,0.44128759731425454,0.1256,1.0
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_profit,102,85,0,36,49,0,0.4235294117647059,21.68915987055592,-20.144239970539424,-0.23699105847693439,0.4921576451893569,0.7176193296082247,6,6,44,26,3,2,41,12,33.55354893552231,0.0,84,-32.22948703249321,15,10,7,8,85,0,4,-0.4515227232641132,0.2145316647871789,0.318,1.0
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_any,102,90,0,27,63,0,0.3,14.649224814797677,-29.19251759057608,-0.32436130656195644,0.4871304711708194,0.599848542335522,10,5,40,40,3,2,28,7,33.420926632869495,0.0,84,-34.26942208825146,25,14,5,8,90,0,4,-0.5253906809332118,0.2010293743712554,0.318,1.0
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_profit,102,85,0,32,53,0,0.3764705882352941,16.271055565501314,-25.562344275594008,-0.30073346206581186,0.49215764518935673,0.660870706740331,7,6,47,30,4,2,41,16,37.79718787727978,0.0,84,-37.64759133754781,17,19,8,8,85,0,4,-0.4440484777742346,0.1433150157084228,0.318,1.0
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_any,102,90,0,23,67,0,0.25555555555555554,6.815700594188649,-37.02604181118512,-0.41140046456872353,0.4871304711708194,0.518303311156165,10,5,43,43,3,2,28,11,37.66456557462698,0.0,84,-42.102946308860496,26,21,5,8,90,0,4,-0.5392526096226372,0.1278521450539138,0.3786,1.0
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_profit,102,85,0,35,50,0,0.4117647058823529,20.07695293706675,-21.75644690402862,-0.25595819887092497,0.49215764518935723,0.7014290447100062,6,6,44,23,3,2,41,13,33.71215028850598,0.0,84,-33.84169396598241,12,10,6,8,85,0,4,-0.4571504595865747,0.20119226071564983,0.3786,1.0
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_any,102,89,0,27,62,0,0.30337078651685395,12.197108684430837,-31.469263322169958,-0.3535872283389883,0.49063339333259304,0.5815125148979391,10,5,42,35,3,2,31,10,35.66487719567999,0.0,84,-37.721538218618335,20,14,5,8,89,0,4,-0.5170101743320664,0.16342294599307833,0.3786,1.0
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_profit,102,85,0,31,54,0,0.36470588235294116,17.159086097168547,-24.674313743926817,-0.29028604404619784,0.4921576451893571,0.6791702783029885,7,6,47,28,4,3,41,17,37.79718787727978,0.0,84,-36.75956080588061,16,19,7,8,85,0,4,-0.4519540031947284,0.1616679591485306,0.318,1.0
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_any,102,89,0,23,66,0,0.25842696629213485,6.863821928978208,-36.802550077622605,-0.4135117986249731,0.49063339333259326,0.5347917199196534,10,5,45,39,3,3,31,14,39.90851613743746,0.0,84,-43.05482497407098,23,21,5,8,89,0,4,-0.5180835567170604,0.1045717580920874,0.3786,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,original,108,89,0,28,61,0,0.3146067415730337,50.38960740322323,4.886417494861819,0.054903567357997965,0.511271796723162,1.0579295803512678,12,12,49,0,11,10,46,18,21.113245555155267,0.0,89,0.0,0,0,0,0,89,0,5,-0.3408683220557652,0.39577188941376307,0.1202,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,arrows_augment_profit,108,90,0,37,53,0,0.4111111111111111,18.705974516584114,-26.921074972196827,-0.2991230552466314,0.5069672165420104,0.6559377845090265,6,6,47,27,3,2,42,12,33.5535489355223,0.0,89,-31.999716802722993,16,10,8,8,90,0,5,-0.4797277546128371,0.1806046993662057,0.3391,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,arrows_augment_any,108,96,0,28,68,0,0.2916666666666667,11.239937472926112,-37.443364813526365,-0.3900350501408996,0.5071177321505466,0.5396418521556053,10,5,44,42,3,2,29,7,37.443364813526365,0.0,89,-33.465753846381006,27,14,6,8,96,0,5,-0.5441751096989788,0.15414005955807908,0.3391,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_profit,108,90,0,33,57,0,0.36666666666666664,13.287870211529508,-32.33917927725142,-0.3593242141916824,0.5069672165420103,0.6069809878052355,7,6,50,31,4,2,42,16,37.79718787727978,0.0,89,-37.417821107777584,18,19,9,8,90,0,5,-0.46969213506735263,0.1103679208756702,0.3988,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_any,108,96,0,24,72,0,0.25,3.4064132523170816,-45.2768890341354,-0.47163426077224374,0.5071177321505467,0.4688772620202443,10,5,47,45,3,2,29,11,45.27688903413541,0.0,89,-41.29927806699004,28,21,6,8,96,0,5,-0.5543800960489199,0.08274583527667617,0.4277,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,alerts_augment_profit,108,90,0,36,54,0,0.4,17.09376758309494,-28.533281905686025,-0.3170364656187336,0.5069672165420107,0.6423334405861514,6,6,47,24,3,2,42,13,33.71215028850598,0.0,89,-33.61192373621219,13,10,7,8,90,0,5,-0.48561055614555776,0.1685740905268242,0.368,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,alerts_augment_any,108,95,0,28,67,0,0.29473684210526313,8.787821342559273,-39.72011054512025,-0.41810642679073945,0.5106098093439948,0.524761066514603,10,5,46,37,3,2,32,10,39.720110545120235,0.0,89,-36.91786997674789,22,14,6,8,95,0,5,-0.5490039265424121,0.13089749975167278,0.368,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_profit,108,90,0,32,58,0,0.35555555555555557,14.175900743196738,-31.45114874558422,-0.3494572082842691,0.5069672165420106,0.6247570461712421,7,6,50,29,4,3,42,17,37.797187877279775,0.0,89,-36.529790576110386,17,19,8,8,90,0,5,-0.4797695831818553,0.13031237489758624,0.3988,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_any,108,95,0,24,71,0,0.25263157894736843,3.454534587106642,-45.0533973005729,-0.47424628737445157,0.510609809343995,0.48505375454443844,10,5,49,41,3,3,32,14,45.05339730057288,0.0,89,-42.251156732200535,25,21,6,8,95,0,5,-0.5517584292812877,0.07751214190683633,0.3978,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,39,30,0,13,17,0,0.43333333333333335,34.34934894215455,27.749027270376367,0.9249675756792122,0.2200107223926059,2.65305401955451,5,4,12,0,6,6,20,7,6.6674137444692505,0.0,30,0.0,0,0,0,0,30,0,4,-0.4205628004273699,1.345530376106582,0.0642,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_profit,39,31,0,17,14,0,0.5483870967741935,20.81148080375583,13.984257213772818,0.4511050714120264,0.2202330190317101,1.9004642616677019,4,4,12,14,3,3,18,3,4.491636957520194,0.0,30,-12.5378681383987,6,8,4,4,31,0,4,-0.22852148811392928,0.6796265595259557,0.0642,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_any,39,31,0,16,15,0,0.5161290322580645,22.322555994211246,15.49533240422822,0.4998494323944587,0.22023301903171053,2.17705965686334,4,2,9,17,3,3,17,3,3.3336369137618185,0.0,30,-11.026792947943296,9,8,4,4,31,0,4,-0.24235493714952866,0.7422043695439875,0.0642,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_profit,39,31,0,17,14,0,0.5483870967741935,29.49605030693834,22.66882671695535,0.7312524747404952,0.22023301903170914,2.3547764812150187,4,4,13,16,4,4,18,3,4.695262549921704,0.0,30,-3.8532986352161624,8,9,4,4,31,0,4,-0.09385436785820883,0.8251068425987039,0.0642,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_any,39,31,0,16,15,0,0.5161290322580645,32.07996500356661,25.2527414135836,0.8146045617285033,0.22023301903170991,2.8995492141117354,4,2,9,20,4,4,17,3,3.463266543391402,0.0,30,-1.2693839385879113,11,9,4,4,31,0,4,-0.13929854928824245,0.953903111016746,0.0642,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_profit,39,31,0,17,14,0,0.5483870967741935,28.691767075714136,21.86454348573112,0.7053078543784231,0.22023301903171028,2.4078860039265924,4,4,12,14,4,4,18,3,4.491636957520194,0.0,30,-4.657581866440404,6,8,4,3,31,0,4,-0.2533302374212589,0.958638091799682,0.0642,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_any,39,31,0,16,15,0,0.5161290322580645,30.20284226616955,23.37561867618652,0.7540522153608554,0.22023301903171064,2.775663598571947,4,2,9,17,4,4,17,3,3.3336369137618185,0.0,30,-3.1465066759849987,9,8,4,3,31,0,4,-0.25674511163482916,1.0107973269956845,0.0642,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_profit,39,31,0,17,14,0,0.5483870967741935,32.793003245563526,25.965779655580505,0.8376057953413066,0.22023301903171016,2.5518150997854825,4,4,13,16,5,5,18,3,4.695262549921704,0.0,30,-0.556345696591009,7,10,4,3,31,0,4,-0.13298225242337378,0.9705880477646806,0.0642,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_any,39,31,0,16,15,0,0.5161290322580645,35.376917942191795,28.549694352208753,0.9209578823293146,0.22023301903171094,3.1475509760178713,4,2,9,20,5,5,17,3,3.463266543391402,0.0,30,2.0275690000372424,10,10,4,3,31,0,4,-0.1196207622571855,1.0405786445865004,0.0642,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,323,269,0,64,205,0,0.2379182156133829,46.82029291840385,-28.550232222820142,-0.10613469227814179,0.28018782580380674,0.8813548803638105,20,11,164,0,25,24,123,59,58.5670866869672,0.0,269,0.0,0,0,0,0,269,0,33,-0.12094935473386849,0.01481466245572665,0.4677,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_profit,323,280,0,100,180,0,0.35714285714285715,-9.15303541670195,-86.22038580054736,-0.30792994928766915,0.2752405370851622,0.6083544609344764,14,11,152,85,13,12,112,38,103.09039803371682,0.0,269,-65.29021960817226,41,35,27,16,280,0,33,-0.26482834659284726,-0.04310160269482198,0.6176,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_any,323,286,0,90,196,0,0.3146853146853147,2.730764827369688,-77.81382958454287,-0.27207632721868136,0.28162445598570834,0.6155151288362247,21,5,128,123,12,11,102,38,95.86588570991086,0.0,269,-50.05288853230792,73,40,25,17,286,0,33,-0.2614957359411387,-0.010580591277542777,0.5234,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_profit,323,280,0,96,184,0,0.34285714285714286,3.248858535752511,-73.81849184809286,-0.26363747088604594,0.27524053708516205,0.6791773430306433,20,11,159,93,15,14,112,42,99.04404228618804,0.0,269,-52.888325655717765,48,47,27,16,280,0,33,-0.2696043296397675,0.005966858753721484,0.4757,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_any,323,286,0,86,200,0,0.3006993006993007,13.494181252831297,-67.05041315908126,-0.23444200405273166,0.28162445598570834,0.6836631578222344,21,6,135,131,14,13,102,42,94.85987829380463,0.0,269,-37.51364566056529,79,51,25,17,286,0,33,-0.2702356895989859,0.03579368554625425,0.3831,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_profit,323,280,0,99,181,0,0.3535714285714286,0.7776694568655884,-76.28968092697983,-0.2724631461677851,0.2752405370851622,0.6553099501725415,14,11,153,83,15,13,114,38,101.03997943210759,0.0,269,-53.936884623080545,42,33,27,14,280,0,33,-0.150466267463906,-0.12199687870387914,0.6808,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_any,323,286,0,91,195,0,0.3181818181818182,11.910920924411013,-68.63367348750153,-0.2399778793269284,0.28162445598570823,0.6671211122360406,21,9,133,116,14,12,105,37,94.5660158848278,0.0,269,-39.450102323742385,69,38,26,15,286,0,33,-0.14434976495046392,-0.0956281143764645,0.6317,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_profit,323,280,0,95,185,0,0.3392857142857143,3.819217531013951,-73.24813285283145,-0.26160047447439805,0.2752405370851622,0.683279517121207,20,11,160,90,16,15,114,42,101.77063622955177,0.0,269,-50.89533654893218,48,47,27,15,280,0,33,-0.187916887542304,-0.07368358693209404,0.6601,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_any,323,286,0,87,199,0,0.3041958041958042,13.313991471566524,-67.23060294034603,-0.23507203825295817,0.28162445598570823,0.6883957823038523,21,9,140,123,15,14,105,41,98.33702101369454,0.0,269,-36.271205330305875,74,51,26,16,286,0,33,-0.18062562182273323,-0.05444641643022491,0.6112,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,17,14,0,3,11,0,0.21428571428571427,-4.388629121727266,-6.4211740929373295,-0.4586552923526664,0.14518178365786175,0.45055590626490566,6,6,10,0,0,0,6,3,6.67041454614988,0.0,14,0.0,0,0,0,0,14,0,4,-0.1587903209654226,-0.2998649713872439,1.0,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_profit,17,15,0,4,11,0,0.26666666666666666,-2.927724748934846,-5.041219915804838,-0.33608132772032256,0.1408996777913328,0.6016678476230147,6,6,11,4,1,1,6,3,6.67041454614988,0.0,14,2.460904372792397,4,0,1,0,15,0,4,-0.02099730131127051,-0.31508402640905214,0.9394,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_any,17,15,0,4,11,0,0.26666666666666666,-2.927724748934846,-5.041219915804838,-0.33608132772032256,0.1408996777913328,0.6016678476230147,6,6,11,4,1,1,6,3,6.67041454614988,0.0,14,2.460904372792397,4,0,1,0,15,0,4,-0.044897562738077317,-0.29118376498224535,0.9394,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_profit,17,15,0,4,11,0,0.26666666666666666,-2.927724748934846,-5.041219915804838,-0.33608132772032256,0.1408996777913328,0.6016678476230147,6,6,11,4,1,1,6,3,6.67041454614988,0.0,14,2.460904372792397,4,0,1,0,15,0,4,-0.03509374900363441,-0.30098757871668813,1.0,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_any,17,15,0,4,11,0,0.26666666666666666,-2.927724748934846,-5.041219915804838,-0.33608132772032256,0.1408996777913328,0.6016678476230147,6,6,11,4,1,1,6,3,6.67041454614988,0.0,14,2.460904372792397,4,0,1,0,15,0,4,-0.031912835991752514,-0.30416849172857013,1.0,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_profit,17,15,0,4,11,0,0.26666666666666666,-2.927724748934846,-5.041219915804838,-0.33608132772032256,0.1408996777913328,0.6016678476230147,6,6,11,4,1,1,6,3,6.67041454614988,0.0,14,2.460904372792397,4,0,1,0,15,0,4,-0.02393786715845633,-0.3121434605618663,1.0,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_any,17,15,0,4,11,0,0.26666666666666666,-2.927724748934846,-5.041219915804838,-0.33608132772032256,0.1408996777913328,0.6016678476230147,6,6,11,4,1,1,6,3,6.67041454614988,0.0,14,2.460904372792397,4,0,1,0,15,0,4,-0.061229749714589166,-0.2748515780057335,0.9386,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_profit,17,15,0,4,11,0,0.26666666666666666,-2.927724748934846,-5.041219915804838,-0.33608132772032256,0.1408996777913328,0.6016678476230147,6,6,11,4,1,1,6,3,6.67041454614988,0.0,14,2.460904372792397,4,0,1,0,15,0,4,-0.03803431485082024,-0.29804701286950236,1.0,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_any,17,15,0,4,11,0,0.26666666666666666,-2.927724748934846,-5.041219915804838,-0.33608132772032256,0.1408996777913328,0.6016678476230147,6,6,11,4,1,1,6,3,6.67041454614988,0.0,14,2.460904372792397,4,0,1,0,15,0,4,-0.04824502296826434,-0.28783630475205835,1.0,1.0
30,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,150,124,0,31,93,0,0.25,2.69371207749612,-15.81224347390295,-0.1275180925314754,0.1492415770274118,0.8370989840137867,9,8,76,0,12,11,58,27,29.778853408129514,0.0,124,0.0,0,0,0,0,124,0,33,0.01733327220314183,-0.14485136473461718,0.7929,1.0
30,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_profit,150,127,0,50,77,0,0.3937007874015748,11.675354963566543,-7.131989448531115,-0.056157397232528466,0.14808932607950917,0.915738214819036,6,6,68,48,9,8,48,15,15.26645300863525,0.0,124,11.981642886070398,35,13,19,8,127,0,33,-0.024328684141632934,-0.031828713090895584,0.5889,1.0
30,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_any,150,134,0,48,86,0,0.3582089552238806,12.0903379303209,-7.610535858247513,-0.05679504371826502,0.1470214461833464,0.9042381339329556,9,6,64,65,9,8,46,15,13.76809708027929,0.0,124,5.475649457479439,42,19,18,9,134,0,33,-0.047050586890136005,-0.00974445682812907,0.5286,1.0
30,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_profit,150,127,0,50,77,0,0.3937007874015748,11.190605171577948,-7.6167392405197365,-0.059974324728501865,0.1480893260795094,0.9109844459559225,6,6,69,49,10,8,48,15,14.882222420875774,0.0,124,11.496893094081782,36,14,19,8,127,0,33,-0.040045567378541494,-0.019928757349960424,0.5568,1.0
30,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_any,150,134,0,48,86,0,0.3582089552238806,11.60558813833231,-8.095285650236136,-0.060412579479374146,0.1470214461833466,0.8993112230985885,9,6,65,66,10,8,46,15,13.76809708027929,0.0,124,4.9908996654908195,43,20,18,9,134,0,33,-0.06374677117327027,0.003334191693896091,0.4866,1.0
30,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_profit,150,127,0,49,78,0,0.3858267716535433,7.330351571218328,-11.476992840879335,-0.09037002236912862,0.14808932607950923,0.8660925074268275,8,8,69,45,9,8,48,16,17.973904151353537,0.0,124,7.636639493722177,32,13,18,8,127,0,33,-0.0030016075937391684,-0.08736841477538948,0.7203,1.0
30,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_any,150,131,0,48,83,0,0.366412213740458,10.935761902443403,-8.26177190689624,-0.06306696112134534,0.14654605961327974,0.8974452867782705,9,6,65,58,9,8,46,15,15.430832774244802,0.0,124,12.507624664615346,41,16,18,8,131,0,33,-0.036748472170126494,-0.026318488951218882,0.5643,1.0
