dimension,family_status,level,eligible,selected,discovery_score,n,n_long,n_short,gross_bp,net_bp,control_net_bp,paired_excess_bp,profit_factor,win_rate,stop_rate,median_mfe_r,hit_2r_rate,half_count,min_half_n,positive_net_halves,positive_excess_halves,median_half_net_bp,median_half_excess_bp
k1_close_location,original_preregistered,0.88-0.94,True,False,-15.563844869088015,858,460,398,4.43615513091199,-15.563844869088015,-12.270721891691881,-3.2931229773961803,0.8360114688164738,0.19347319347319347,0.7937062937062938,1.1367947677563954,0.3473193473193473,4,157,0,2,-12.183638498982617,4.499300287100112
k1_close_location,original_preregistered,0.82-0.88,True,True,-3.8491130170311307,703,369,334,16.150886982968867,-3.8491130170311307,-29.048885088835096,25.19977207180393,0.9583099184023294,0.18207681365576103,0.8065433854907539,1.0,0.32716927453769556,4,149,2,3,1.5168303637094265,32.913682798859064
k1_close_location,original_preregistered,>0.94,True,False,-24.24889716871112,946,571,375,1.8257811033164488,-18.174218896683552,-21.367654649212007,3.193435752528424,0.8023854146164409,0.17653276955602537,0.8023255813953488,1.0686090225563682,0.3128964059196617,4,170,1,2,-24.24889716871112,1.3201189001651716
k1_close_location,original_preregistered,0.75-0.82,True,False,-18.74106710972143,685,346,339,1.2589328902785701,-18.74106710972143,-25.82648895227961,7.085421842558113,0.8040822286161172,0.17226277372262774,0.8145985401459854,1.0000000000000415,0.31386861313868614,4,161,1,2,-12.639982742764996,8.61007998045191
k1_volume_ratio,original_preregistered,0.8-1.2,True,False,-0.6975292996265976,849,484,365,19.302470700373405,-0.6975292996265976,-14.774617291657723,14.077087992031084,0.9924898298818109,0.19199057714958775,0.7950530035335689,0.9637599093997676,0.3133097762073027,4,167,2,3,-0.6949248547605404,20.481700844541084
k1_volume_ratio,original_preregistered,1.2-1.5,True,False,-21.932556131646184,534,274,260,-1.9325561316461701,-21.932556131646184,-29.97337343206481,8.040817300418588,0.7730573268382067,0.17415730337078653,0.8164794007490637,1.1516739074878648,0.33707865168539325,4,101,0,2,-16.475672443067104,11.33183821110671
k1_volume_ratio,original_preregistered,<0.8,True,True,7.08798771084358,628,380,248,27.087987710843578,7.08798771084358,-24.561929513551515,31.64991722439509,1.08279879082382,0.20382165605095542,0.7802547770700637,1.1176633444075539,0.32802547770700635,4,119,2,3,11.917092869263564,32.58198932248416
k1_volume_ratio,original_preregistered,>2.0,True,False,-20.509783505944768,684,340,344,-0.5097835059447691,-20.509783505944768,-17.32311641785547,-3.1866670880893686,0.7822967326447028,0.18859649122807018,0.7865497076023392,1.1746422707013622,0.3391812865497076,4,145,0,2,-19.077143847090923,3.2779411791615605
k1_volume_ratio,original_preregistered,1.5-2.0,True,False,-53.065634340273625,497,268,229,-28.70930464735157,-48.709304647351566,-26.21983294431648,-22.48947170303515,0.517794739834129,0.13279678068410464,0.8571428571428571,0.9361702127659614,0.3118712273641851,4,102,0,1,-53.065634340273625,-36.667316348370036
k1_ma_colour,original_preregistered,aligned,True,True,-14.499810730578043,1509,830,679,5.500189269421958,-14.499810730578043,-28.874449957029682,14.374639226451597,0.8487238025108269,0.18290258449304175,0.8018555334658715,0.989010989010995,0.30881378396288933,4,337,0,3,-11.54120188540763,12.041906558060075
k1_ma_colour,original_preregistered,opposite,True,False,-17.03191025013918,1683,916,767,5.6150130703327665,-14.384986929667239,-15.022606563179444,0.6376196335121691,0.8430237777492853,0.1800356506238859,0.8051099227569816,1.1538461538461475,0.3404634581105169,4,310,1,1,-17.03191025013918,-6.391659473892247
k1_oscillator_sign,diagnostic_amendment,aligned,True,True,-13.636228510303859,1420,767,653,6.363771489696142,-13.636228510303859,-17.506506474263475,3.8702779639595657,0.8499109087110998,0.18450704225352113,0.7985915492957747,1.1203552959203393,0.3345070422535211,4,293,1,2,-12.186951275963292,0.6048962737116761
k1_oscillator_sign,diagnostic_amendment,opposite,True,False,-15.082789452844667,1772,979,793,4.917210547155343,-15.082789452844667,-24.82807710921821,9.745287656373508,0.8426464358972677,0.1788939051918736,0.8075620767494357,1.0244383325601434,0.3182844243792325,4,354,0,2,-14.292547613250322,6.920712219098145
k1_oscillator_acceleration,original_preregistered,opposite,True,True,-10.139346704262053,1368,739,629,12.598281531461732,-7.401718468538273,-27.278526049554532,19.87680758101623,0.9214746095765174,0.18128654970760233,0.8099415204678363,0.9746734628862876,0.31505847953216376,4,255,1,3,-10.139346704262053,8.088397213043814
k1_oscillator_acceleration,original_preregistered,aligned,True,False,-19.71743230817537,1824,1007,817,0.28256769182463565,-19.71743230817537,-17.290333440349887,-2.4270988678255234,0.7883415464756475,0.18146929824561403,0.7987938596491229,1.132999565464945,0.3333333333333333,4,392,0,2,-19.23047782342018,-4.108025194679507
k1_structure_state,original_preregistered,not aligned,True,False,-19.387882538986293,1747,942,805,6.845513158356263,-13.154486841643735,-17.529104839949394,4.374617998305609,0.856175468236945,0.19004006868918144,0.793932455638237,1.120595144870788,0.34058385804235836,4,356,1,1,-19.387882538986293,-9.343109234106908
k1_structure_state,original_preregistered,aligned,True,True,-15.992566700844716,1445,804,641,4.007433299155288,-15.992566700844716,-26.457609464081113,10.465042763236358,0.8338420527377312,0.17093425605536333,0.8152249134948096,1.0,0.30726643598615916,4,291,0,4,-15.918077732025981,3.904772149071743
k1_quality,diagnostic_amendment,0.55-0.70,True,True,-0.6170852115624775,519,287,232,19.382914788437525,-0.6170852115624775,-25.335006832585552,24.71792162102299,0.9931928667191541,0.20423892100192678,0.7803468208092486,1.1768707482992793,0.33140655105973027,4,111,2,3,0.48915533926345045,21.866035579184775
k1_quality,diagnostic_amendment,0.40-0.55,True,False,-17.326042189688142,1555,855,700,4.453833247584717,-15.546166752415287,-25.664143671121966,10.117976918706653,0.834464812623398,0.1807073954983923,0.802572347266881,1.1034482758620772,0.33762057877813506,4,303,0,3,-17.326042189688142,5.856588424474907
k1_quality,diagnostic_amendment,0.25-0.40,True,False,-18.37581533642713,948,513,435,1.6241846635728692,-18.37581533642713,-13.495654235003263,-4.880161101423921,0.8065346641747111,0.169831223628692,0.8175105485232067,0.9933587055146745,0.3027426160337553,4,203,1,2,-13.343009320670253,-6.580823295773161
k1_quality,diagnostic_amendment,>0.70,True,False,-30.094563611996936,170,91,79,-4.5606937137212125,-24.560693713721214,-17.67117447940677,-6.8895192343145215,0.7346471164734734,0.18235294117647058,0.8058823529411765,1.0988247863248062,0.3235294117647059,4,30,1,2,-30.094563611996936,13.11430941676408
k2_wick_share,original_preregistered,0.60-0.75,True,False,-21.97207671450845,1338,724,614,-0.5878110246334167,-20.58781102463342,-29.17411349478177,8.586302470148322,0.7692260529099763,0.1681614349775785,0.8176382660687593,1.1023255813953523,0.32585949177877427,4,279,0,2,-21.97207671450845,5.287703286375313
k2_wick_share,original_preregistered,0.45-0.60,True,True,-16.347999239295408,1200,640,560,7.402493068734349,-12.597506931265652,-20.53882237782397,7.9413154465582725,0.8715693620100812,0.1875,0.7941666666666667,1.0480030721966154,0.32666666666666666,4,224,1,2,-16.347999239295408,3.151276057708857
k2_wick_share,original_preregistered,0.75-0.90,True,False,-17.681251961797546,591,341,250,2.4825873714685316,-17.517412628531467,-9.77595656798876,-7.7414560605427845,0.8196071341078178,0.18274111675126903,0.8087986463620981,0.9624999999999986,0.30456852791878175,4,131,1,2,-17.681251961797546,-10.283858177663406
k2_wick_share,original_preregistered,>0.90,False,False,89.770769603163,63,41,22,129.9387767756853,109.9387767756853,9.596019207925886,100.34275756775929,2.5731519011537065,0.3333333333333333,0.6349206349206349,1.68181818181816,0.49206349206349204,4,11,4,4,89.770769603163,91.13028995685887
k2_body_share,original_preregistered,0-0.10,True,True,-0.7949357364872505,795,436,359,19.20506426351276,-0.7949357364872505,-18.731094938045043,17.93615920155774,0.990742258036538,0.17861635220125785,0.8125786163522013,1.142857142857126,0.3433962264150943,4,175,2,2,3.0232826496260907,12.493059893005789
k2_body_share,original_preregistered,0.25-0.50,True,False,-14.903695764002146,1151,624,527,9.63510278939178,-10.36489721060822,-28.254207498811628,17.889310288203383,0.8970925517552482,0.20069504778453517,0.7767158992180713,1.0384615384614686,0.3301476976542137,4,236,1,3,-14.903695764002146,15.290378875772515
k2_body_share,original_preregistered,0.10-0.25,True,False,-26.90864911328635,1246,686,560,-6.908649113286353,-26.90864911328635,-17.20929255546614,-9.69935655782027,0.7076129505889109,0.1653290529695024,0.8226324237560193,1.0398114195914083,0.3097913322632424,4,236,0,1,-26.873166113248296,-15.407976352449161
k2_range_atr,original_preregistered,<0.60,True,False,-13.872517447137538,595,310,285,8.88496242902932,-11.115037570970681,-22.367876174515548,11.252838603544797,0.8360366212867837,0.10588235294117647,0.892436974789916,0.9999999999999656,0.2957983193277311,4,143,1,2,-13.872517447137538,4.224052580863372
k2_range_atr,original_preregistered,0.60-0.90,True,False,-14.715302104627407,1278,669,609,8.437539226795732,-11.562460773204268,-21.508591320810776,9.946130547606437,0.8626396776105875,0.1564945226917058,0.8356807511737089,1.1234137055837676,0.3435054773082942,4,237,1,3,-14.715302104627407,3.5613390121552277
k2_range_atr,original_preregistered,0.90-1.30,True,False,-27.869550440751865,858,485,373,-7.86955044075185,-27.869550440751865,-19.10350971929158,-8.766040721460307,0.741616484628888,0.2097902097902098,0.7750582750582751,1.0871288798920515,0.32517482517482516,4,172,1,2,-26.24967451058927,-19.706992609149616
k2_range_atr,original_preregistered,1.30-1.80,True,True,-9.423594338749279,364,208,156,26.624721157489883,6.624721157489885,-28.637688945600082,35.26241010308998,1.055586351905999,0.3021978021978022,0.6538461538461539,1.1950541410594167,0.3598901098901099,4,70,1,3,-9.423594338749279,22.181655446631073
k2_range_atr,original_preregistered,>1.80,False,False,-32.98143706547252,97,74,23,-12.981437065472534,-32.98143706547252,-12.812326637167795,-20.16911042830465,0.7870927021648959,0.26804123711340205,0.6494845360824743,0.8533541341653652,0.14432989690721648,4,20,1,2,-25.023180826964264,-9.274087162538692
k2_rejection_close_location,diagnostic_amendment,0.65-0.75,True,False,-29.7841282444548,949,491,458,-9.50626378430035,-29.50626378430035,-27.59630880323711,-1.9099549810632743,0.6562578616123493,0.13593256059009484,0.8535300316122234,1.0465116279069748,0.3119072708113804,4,191,0,2,-29.7841282444548,-0.03336016806118236
k2_rejection_close_location,diagnostic_amendment,0.75-0.85,True,False,-19.81187886940863,894,509,385,3.0685452713277277,-16.93145472867228,-21.459820042343203,4.528365313670876,0.8180071616703926,0.1912751677852349,0.7953020134228188,1.116965062787529,0.3366890380313199,4,190,1,2,-19.81187886940863,-2.3791392395116726
k2_rejection_close_location,diagnostic_amendment,0.85-0.95,True,False,-9.645097832277624,904,495,409,21.325251659525023,1.325251659525022,-21.298360214163758,22.623611873688745,1.0136518963120915,0.2157079646017699,0.7676991150442478,1.074175824175799,0.334070796460177,4,168,1,2,-9.645097832277624,-0.6885784199389053
k2_rejection_close_location,diagnostic_amendment,>0.95,True,True,-9.325865250671447,445,251,194,10.674134749328557,-9.325865250671447,-9.498647247770613,0.17278199709908632,0.9107067826427689,0.18876404494382024,0.7865168539325843,1.0483870967741884,0.3146067415730337,4,98,0,2,-5.725734176677396,3.0079918296562083
k2_volume_ratio,diagnostic_amendment,<0.60,True,True,-11.134380728632717,1047,564,483,8.865619271367285,-11.134380728632717,-18.457957355544874,7.323576626912087,0.8566826072403781,0.1356255969436485,0.8595988538681948,1.0657894736842064,0.3142311365807068,4,204,1,2,-9.630891134148222,4.326967229916965
k2_volume_ratio,diagnostic_amendment,0.60-1.00,True,False,-20.71173907532778,1084,579,505,-0.7117390753277733,-20.71173907532778,-26.798252447483833,6.086513372156006,0.7743928719111651,0.16420664206642066,0.8228782287822878,1.0274051047120476,0.32287822878228783,4,218,0,3,-13.907063586183348,11.508698169583454
k2_volume_ratio,diagnostic_amendment,1.00-1.50,True,False,-23.008739427191287,594,323,271,1.755392836188538,-18.244607163811466,-16.25020096425886,-1.9944061995526252,0.823576468995682,0.22727272727272727,0.7558922558922558,1.1622889305816173,0.3552188552188552,4,123,1,1,-23.008739427191287,-14.596970774297558
k2_volume_ratio,diagnostic_amendment,1.50-2.50,True,False,-23.34791260303349,334,189,145,-2.4434481355141466,-22.443448135514142,-31.86411815402544,9.42067001851128,0.8164998965509508,0.23353293413173654,0.7365269461077845,0.9148936170212856,0.31137724550898205,4,63,1,3,-23.34791260303349,11.030066319268569
k2_volume_ratio,diagnostic_amendment,>2.50,True,False,-35.994756442099344,133,91,42,67.7630279550923,47.76302795509231,-1.3877442890720797,49.1507722441644,1.403896809563983,0.3458646616541353,0.5864661654135338,1.157718120805371,0.3383458646616541,4,27,1,1,-13.664727927158227,-35.994756442099344
k2_sma40_touch_depth,original_preregistered,0.15-0.40,True,False,-24.54209840457666,1119,623,496,1.6829966953783884,-18.31700330462162,-23.54426230764334,5.227259003021688,0.7976685505721596,0.1546023235031278,0.838248436103664,1.0256410256410156,0.31724754244861486,4,209,1,3,-24.54209840457666,4.181606341143847
k2_sma40_touch_depth,original_preregistered,near line,True,False,-15.138383019468538,915,480,435,4.861616980531464,-15.138383019468538,-23.927583397320777,8.789200377852195,0.8185723521711121,0.1650273224043716,0.8240437158469945,1.1499999999999575,0.3355191256830601,4,179,1,3,-8.184584661729707,7.383042048883448
k2_sma40_touch_depth,original_preregistered,0.40-0.80,True,True,-6.298797551670252,889,462,427,13.701202448329758,-6.298797551670252,-17.692151767935865,11.39335421626554,0.9345673642934995,0.20697412823397077,0.7739032620922385,1.104651162790702,0.33970753655793023,4,200,2,2,-4.371281355758098,5.036323651205578
k2_sma40_touch_depth,original_preregistered,0.80-1.50,True,False,-25.748914134620524,269,181,88,-2.8333427916433798,-22.833342791643375,-18.16542965982308,-4.667913131820285,0.8276370266535744,0.26394052044609667,0.6877323420074349,0.9038461538461474,0.2788104089219331,4,59,2,2,-25.748914134620524,0.7483951221924432
k2_sma40_close_reclaim,original_preregistered,0-0.25,True,False,-16.896835714812518,1113,592,521,5.393699434200904,-14.6063005657991,-22.515714835144962,7.90941426934579,0.8240781568889152,0.16442048517520216,0.8265947888589398,1.076923076923068,0.3216531895777179,4,231,1,2,-16.896835714812518,0.61144106160637
k2_sma40_close_reclaim,original_preregistered,0.25-0.50,True,True,-14.37620523124723,1109,607,502,7.5307565840419874,-12.469243415958015,-21.757192171790674,9.287948755832618,0.8634995313456627,0.16862037871956717,0.8205590622182146,1.0212765957446768,0.3345356176735798,4,234,1,2,-14.37620523124723,6.480923083799476
k2_sma40_close_reclaim,original_preregistered,0.50-1.00,True,False,-24.192233323756483,860,488,372,-3.710868119968521,-23.710868119968524,-20.724588672704925,-2.9862794472636214,0.7779859609956368,0.2,0.7790697674418605,1.14617940199338,0.32325581395348835,4,152,0,1,-24.192233323756483,-3.2239743341806086
k2_sma40_close_reclaim,original_preregistered,>1.00,False,False,39.876387873932174,110,59,51,59.876387873932174,39.876387873932174,-16.752080385730682,56.6284682596629,1.32977159380398,0.33636363636363636,0.5909090909090909,0.9145702164455562,0.2909090909090909,4,22,3,4,46.748979717321774,61.38562190471626
k2_native_body_colour,original_preregistered,opposite,True,False,-31.714129332446042,784,416,368,-9.04709794094109,-29.047097940941093,-27.633180043253844,-1.413917897687277,0.6807973341597798,0.15433673469387754,0.8329081632653061,0.9859090388360816,0.3125,4,158,0,2,-31.714129332446042,-3.075161627389685
k2_native_body_colour,original_preregistered,aligned,True,True,-16.954564844883752,2408,1330,1078,10.316768019362792,-9.683231980637213,-19.597250281178482,9.914018300541223,0.8975162285758199,0.19019933554817275,0.7940199335548173,1.1052955665024613,0.329734219269103,4,473,1,2,-16.954564844883752,-1.317560034251122
k2_ma_shift_colour,original_preregistered,opposite,True,True,-14.62037815107626,1132,610,522,13.39509113808603,-6.604908861913977,-22.720224885244683,16.11531602333065,0.9303642258575008,0.1978798586572438,0.784452296819788,1.0,0.31802120141342755,4,241,1,2,-14.62037815107626,-1.6616703093805896
k2_ma_shift_colour,original_preregistered,aligned,True,False,-18.74436435115806,2060,1136,924,1.2556356488419416,-18.74436435115806,-20.939464689753315,2.195100338595216,0.7983580154966589,0.17233009708737865,0.8140776699029126,1.1017241379310376,0.3296116504854369,4,406,0,1,-18.603858029009075,-3.3794957010454114
k2_oscillator_sign,original_preregistered,aligned,True,True,-15.220868636958219,1996,1091,905,6.31252272397883,-13.687477276021175,-21.32526530375448,7.637788027733266,0.8517644565386411,0.1908817635270541,0.7930861723446894,1.153010033444845,0.3471943887775551,4,420,0,2,-15.220868636958219,2.9782991299368526
k2_oscillator_sign,original_preregistered,opposite,True,False,-15.69393206700164,1196,655,541,4.306067932998363,-15.69393206700164,-21.981072144393693,6.287140077391997,0.8361585388265391,0.16555183946488294,0.8210702341137124,0.9692234848484829,0.28929765886287623,4,227,1,3,-14.224457309356776,4.549274212268351
k2_oscillator_acceleration,original_preregistered,aligned,True,False,-20.30316353363401,1723,975,748,0.11380289809137567,-19.886197101908632,-21.004887239939688,1.1186901380310135,0.7885199699339641,0.1648287869994196,0.8195008705745792,0.997706422018354,0.3081834010446895,4,328,0,2,-20.30316353363401,-2.3004544410384646
k2_oscillator_acceleration,original_preregistered,opposite/cooling,True,True,-10.417564635297873,1469,771,698,11.949469170535291,-8.050530829464709,-22.23497012700661,14.184439297541873,0.9135791513480845,0.20081688223281144,0.7848876786929885,1.157718120805371,0.3458134785568414,4,319,1,3,-10.417564635297873,10.14788370977449
k2_structure_state,original_preregistered,opposite,True,False,-20.93164751549292,1668,890,778,4.555367777945121,-15.444632222054882,-17.148841805403944,1.7042095833490138,0.8305946897165772,0.18345323741007194,0.802757793764988,1.117742987606006,0.3363309352517986,4,341,1,1,-20.93164751549292,-12.961603944096268
k2_structure_state,original_preregistered,aligned,True,True,-15.07370994506292,1523,856,667,5.945979602026593,-14.05402039797341,-26.345443670735335,12.29142327276189,0.8541875773444532,0.17859487852921865,0.8049901510177282,1.0000000000000129,0.3131976362442548,4,306,0,4,-15.07370994506292,8.364893448527495
k2_structure_state,original_preregistered,neutral,False,False,1075.772217428817,1,0,1,1095.772217428817,1075.772217428817,-126.21298904510799,1201.985206473925,inf,1.0,0.0,10.549999999999985,1.0,1,1,1,1,1075.772217428817,1201.985206473925
k2_break_event,diagnostic_amendment,no directional break on K2,True,True,-20.231486104382824,3170,1731,1439,6.0744775206981,-13.925522479301907,-21.253484576802965,7.327962097501015,0.8506226042472247,0.18138801261829654,0.8037854889589905,1.076614148903305,0.3258675078864353,4,645,1,1,-20.231486104382824,-3.4882415398688207
k2_break_event,diagnostic_amendment,directional break on K2,False,False,-134.3396517205265,22,15,7,-68.46550616750847,-88.46550616750847,-67.32026011470005,-21.145246052808325,0.418156438599819,0.18181818181818182,0.7727272727272727,0.7708600770218372,0.2727272727272727,4,2,1,1,-134.3396517205265,-54.55292555628856
k2_oscillator_level,diagnostic_amendment,0-0.25,True,False,-9.772591344705221,1114,618,496,15.24454700550869,-4.7554529944913115,-23.945982965665422,19.19052997117405,0.9450643911330446,0.18491921005385997,0.800718132854578,1.183501683501688,0.3527827648114901,4,243,1,3,-9.772591344705221,10.886691634249885
k2_oscillator_level,diagnostic_amendment,<NA>,False,False,-85.61864610246559,66,31,35,17.323211130852815,-2.6767888691472157,-30.019914666279153,27.343125797132053,0.9810807175500131,0.18181818181818182,0.8181818181818182,1.1377876958081692,0.3181818181818182,4,4,1,1,-85.61864610246559,-40.85807228618255
k2_oscillator_level,diagnostic_amendment,-0.25-0,True,False,-29.70678582873735,785,427,358,-3.66134763653897,-23.661347636538974,-11.633666132887441,-12.027681503651635,0.7377498764502171,0.14904458598726114,0.8369426751592357,0.9637599093997676,0.2917197452229299,4,138,1,1,-29.70678582873735,-12.11268117246576
k2_oscillator_level,diagnostic_amendment,0.25-0.50,True,False,-16.044549973099336,570,321,249,4.929791715562986,-15.070208284437012,-15.454504832202183,0.38429654776514255,0.8409184851901799,0.20526315789473684,0.7789473684210526,1.1783230145990724,0.34912280701754383,4,119,1,2,-16.044549973099336,1.9950074116020935
