profile,split,horizon_bars,target_r,n,hit_rate,mean_net_bp,profit_factor
anchor score >=80,discovery,48,2,48,0.3125,-14.581887792833824,0.8304486959749833
anchor score >=80,discovery,48,3,48,0.1875,-27.13010329256877,0.7305119069330175
anchor score >=80,discovery,48,5,48,0.10416666666666667,-34.033847100046835,0.686585730870615
anchor score >=80,validation,24,1,33,0.30303030303030304,-61.12837118745698,0.3922665839868058
anchor score >=80,validation,24,2,33,0.21212121212121213,-34.1749881923874,0.6699566052399392
anchor score >=80,validation,24,3,33,0.18181818181818182,-18.759388888968605,0.8188320546686091
anchor score >=80,validation,24,5,33,0.09090909090909091,-35.98840916980911,0.6842052979459128
anchor score >=80,validation,12,1,33,0.2727272727272727,-73.88860036782334,0.2944750100812459
anchor score >=80,validation,12,2,33,0.18181818181818182,-54.52082357377033,0.4937304961922988
anchor score >=80,validation,12,3,33,0.18181818181818182,-31.33445015181127,0.7090345396382352
anchor score >=80,validation,12,5,33,0.030303030303030304,-52.97067441922486,0.5265614975661936
anchor score >=80,validation,48,1,33,0.3333333333333333,-55.75710560615641,0.44566728020407537
anchor score >=80,validation,48,2,33,0.2727272727272727,-16.356988543062723,0.8420331267881349
anchor score >=80,validation,48,3,33,0.21212121212121213,5.437013534304156,1.0525077110229364
anchor score >=80,validation,48,5,33,0.09090909090909091,-38.14439948304984,0.6801764076704969
anchor score >=80,bridge,24,1,6,0.8333333333333334,75.20153491812822,2.737780502318128
anchor score >=80,bridge,24,2,6,0.6666666666666666,146.5606389096532,4.386768913450552
anchor score >=80,bridge,24,3,6,0.5,166.2828424660124,4.842515738835207
anchor score >=80,bridge,24,5,6,0.16666666666666666,66.66824352925371,2.0991175937102127
anchor score >=80,bridge,12,1,6,0.6666666666666666,72.66656608032017,3.7465756403640387
anchor score >=80,bridge,12,2,6,0.5,120.82690869598416,5.5668904150234155
anchor score >=80,bridge,12,3,6,0.3333333333333333,167.65889071428816,7.336997190941039
anchor score >=80,bridge,12,5,6,0.16666666666666666,142.6760170061397,6.3311272279180715
anchor score >=80,bridge,48,1,6,0.8333333333333334,63.639626152099396,2.1605365715739326
anchor score >=80,bridge,48,2,6,0.6666666666666666,79.70647105989636,1.814481102634488
anchor score >=80,bridge,48,3,6,0.5,34.56415518885306,1.2535083652595693
anchor score >=80,bridge,48,5,6,0.16666666666666666,-164.24221450470182,0.16307626081686324
anchor score >=80,fresh_preholdout,24,1,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,24,2,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,24,3,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,24,5,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,12,1,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,12,2,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,12,3,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,12,5,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,48,1,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,48,2,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,48,3,4,0.0,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,48,5,4,0.0,-156.65106393424176,0.0
