symbol,timeframe_min,arm,policy,year,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
BTCUSDT,5,ordinary,baseline,2023,227,41,186,0,0.18061674008810572,0.13602132794619667,0.23584193828553182,0.2290748898678414,-0.83840026669937,-190.31686054075698,-1.4750165289256287,-16.093029270699446,3.906970729300511,0.3947937982149832,3.028031301487567,-1.690678193020146,19.968415286624214,-6.8196039603945176,190.316860540757,4.0069750367107195,2.25,30.511367590554,201,163,11,7,2,84,100,11,222,158,181,0,152,95,111,0,106,53,65,0,70,27,31,0,43,9,9,0,25,4,4,0,8,0,0,0
BTCUSDT,5,ordinary,baseline,2024,208,43,165,0,0.20673076923076922,0.15725760616096246,0.26684001550259534,0.25961538461538464,-0.6638602288597958,-138.08292760283751,-1.3446557514215716,-22.097248528993873,-2.097248528993929,0.4026156808585827,2.164254841477774,-1.4008841562811016,8.697916666666757,-3.132268656716545,144.03989797836647,4.084134615384615,2.75,43.796319103775,180,140,11,7,0,70,93,4,202,134,159,3,134,70,91,1,94,40,52,0,56,15,16,0,41,6,6,0,17,0,0,0,2,0,0,0
BTCUSDT,5,ordinary,baseline,2025,210,44,166,0,0.20952380952380953,0.1599468716554569,0.26953700561399935,0.24761904761904763,-0.9666574873543609,-202.9980723444158,-1.4082310765836428,-31.01303042558315,-11.01303042558319,0.21186151037663298,1.2401915392659553,-1.5516054221211917,7.559304817650013,-3.519460750852996,204.73784475691824,3.881746031746032,2.541666666666667,38.9907407000975,179,142,8,1,0,64,82,5,205,137,161,0,140,76,96,0,99,42,55,0,53,11,13,0,27,3,3,0,7,0,0,0,1,0,0,0
BTCUSDT,5,ordinary,baseline,2026,148,40,108,0,0.2702702702702703,0.20520640337890383,0.3469580680309773,0.31756756756756754,-0.5843845153598813,-86.48890827326244,-1.3346126215732363,-11.02936698379268,8.970633016207284,0.48217161023825567,2.0133357399087006,-1.5465031284223185,9.250247619047604,-5.002603174603395,86.48890827326244,4.81981981981982,3.25,42.490108684347,130,95,7,3,0,47,57,1,144,91,104,4,98,47,58,3,72,26,32,1,45,9,9,0,32,3,3,0,14,0,0,0,1,0,0,0
BTCUSDT,5,ordinary,htf_slope,2021,40,10,30,0,0.25,0.1418711857438798,0.40193961548535195,0.3,-0.2274739298797342,-9.098957195189367,-1.206140464010951,-23.322300191400025,-3.32230019140002,0.729657309810844,2.455816587635704,-1.1219041023848804,5.641614055820116,-1.5583895486935926,15.902739818782745,4.716666666666667,3.3333333333333335,74.610810656492,35,26,2,2,0,14,18,0,40,26,30,0,23,11,13,1,18,6,8,1,12,2,2,0,10,1,1,0,4,0,0,0,0,0,0,0
BTCUSDT,5,ordinary,htf_slope,2022,159,32,127,0,0.20125786163522014,0.1463224979885118,0.27028798528374465,0.27672955974842767,-0.7450482932320911,-118.46267862390249,-1.233710803324099,-27.47317083639328,-7.473170836393334,0.31968550510511373,1.7395815435439879,-1.371096756041812,13.58846698113198,-6.022089552238253,118.4626786239025,4.775681341719077,3.0,60.355111502196,139,111,12,3,1,67,80,5,155,107,123,2,103,59,71,1,75,37,43,0,52,17,20,0,33,11,12,0,11,2,2,0,2,0,0,0
BTCUSDT,5,ordinary,htf_slope,2023,168,31,137,0,0.18452380952380953,0.13315058525896184,0.2500017652269458,0.2261904761904762,-0.8474878496953566,-142.3779587488199,-1.4605042467971494,-21.736166756282394,-1.7361667562824261,0.3668548450781075,2.661166451392513,-1.6414169251239987,12.560214634148604,-5.424210526316122,146.91613835765693,4.094246031746032,2.583333333333333,32.364355885059496,149,120,7,5,1,62,76,5,163,115,132,0,118,74,87,0,80,39,49,0,49,16,20,0,31,5,6,0,15,1,1,0,6,0,0,0
BTCUSDT,5,ordinary,htf_slope,2024,156,29,127,0,0.1858974358974359,0.13266698299990895,0.25422549980220116,0.23717948717948717,-0.6838086256931555,-106.67414560813225,-1.3446557514215716,-23.260701944257185,-3.260701944257244,0.40476374042572283,2.501343851434103,-1.4111269078718207,8.697916666666757,-2.8922533136966013,114.13592263847765,3.825854700854701,2.416666666666667,41.754496800807,137,110,8,6,0,55,70,4,150,104,121,4,95,53,66,2,64,31,36,1,40,13,13,0,32,6,6,0,14,0,0,0,2,0,0,0
BTCUSDT,5,ordinary,htf_slope,2025,155,35,120,0,0.22580645161290322,0.16707853412361792,0.2977966905271362,0.2709677419354839,-0.8560758142767132,-132.69175121289055,-1.359680962343073,-30.177211575279028,-10.177211575279069,0.2557255375535742,1.3026173664984932,-1.4856946586694817,7.559304817650013,-3.519460750852996,132.69175121289052,4.201612903225806,2.75,40.478456936022006,134,105,7,1,0,53,65,3,153,103,118,0,103,55,68,0,74,31,39,0,42,8,10,0,20,2,2,0,6,0,0,0,1,0,0,0
BTCUSDT,5,ordinary,htf_slope,2026,107,35,72,0,0.32710280373831774,0.24554957616895898,0.42064031005741587,0.35514018691588783,-0.4081334962032476,-43.6702840937475,-1.315155337642081,-3.3136592948973522,16.686340705102634,0.6073005723531053,1.9295738061675707,-1.5445189904112846,9.250247619047604,-4.067900161030161,50.829045533248326,5.197819314641745,3.4166666666666665,43.552833893961,92,61,3,3,0,33,41,1,105,59,70,2,80,35,45,2,57,17,22,1,37,5,5,0,24,0,0,0,12,0,0,0,1,0,0,0
BTCUSDT,5,ordinary,take_4r,2021,53,12,41,0,0.22641509433962265,0.13454630954026942,0.3552627036210269,0.2830188679245283,-0.3741391345510965,-19.829374131208112,-1.184202148168553,-35.327505965803354,-15.327505965803374,0.5680432916150582,2.173046267042419,-1.1196568130662716,3.7896174671776817,-1.5583895486935926,21.900150907174336,3.9009433962264155,2.8333333333333335,78.14113597246102,41,35,3,0,0,24,30,0,53,35,41,0,32,18,20,1,24,10,12,1,15,3,3,0,13,2,2,0,0,0,0,0,0,0,0,0
BTCUSDT,5,ordinary,take_4r,2022,224,56,168,0,0.25,0.19783190871373238,0.3105982051473657,0.29017857142857145,-0.587697764912227,-131.64429934033885,-1.2260600440653944,-25.525228136226044,-5.525228136226074,0.4446930927171511,1.8825275409632722,-1.41110620020406,3.8720879801734855,-6.022089552238253,134.50358456370657,4.210565476190476,2.4166666666666665,59.312554487602995,173,147,9,0,0,87,105,9,218,141,162,2,148,76,92,2,111,45,55,0,77,18,23,0,47,7,8,0,0,0,0,0,0,0,0,0
BTCUSDT,5,ordinary,take_4r,2023,229,48,181,0,0.2096069868995633,0.16189806487340397,0.26689781778852256,0.23580786026200873,-0.8846323404607696,-202.58080596551622,-1.4722422573984717,-18.431611412687786,1.56838858731219,0.34700140255365175,2.2427250761393283,-1.71398679348179,3.908206335973326,-6.8196039603945176,202.5808059655162,3.412663755458515,1.9166666666666667,30.511367590554,172,158,6,0,0,79,95,11,224,153,176,0,154,90,106,0,108,48,60,0,72,22,26,0,45,4,4,0,0,0,0,0,0,0,0,0
BTCUSDT,5,ordinary,take_4r,2024,208,45,163,0,0.21634615384615385,0.1658045979035672,0.27717506895134936,0.25961538461538464,-0.6102905622344369,-126.94043694476287,-1.3446557514215716,-20.840912787519887,-0.8409127875199294,0.447636174922098,2.286058936642969,-1.4098962521085674,3.8337096301720943,-3.132268656716545,128.37970182312534,3.6049679487179485,2.3333333333333335,43.796319103775,155,138,9,0,0,68,91,4,202,132,157,3,134,68,89,1,94,38,50,0,56,13,14,0,41,4,4,0,0,0,0,0,0,0,0,0
BTCUSDT,5,ordinary,take_4r,2025,210,45,165,0,0.21428571428571427,0.16418331996126062,0.2746532806316471,0.24761904761904763,-0.941734969010943,-197.76434349229802,-1.4082310765836428,-30.74435271665281,-10.744352716652838,0.231221414605193,1.3217893690786031,-1.5590597884899098,3.613648160243843,-3.519460750852996,199.50411590480044,3.736507936507936,2.3333333333333335,38.9907407000975,168,141,7,0,0,63,81,5,205,136,160,0,140,75,95,0,99,41,54,0,53,10,12,0,27,2,2,0,0,0,0,0,0,0,0,0
BTCUSDT,5,ordinary,take_4r,2026,148,40,108,0,0.2702702702702703,0.20520640337890383,0.3469580680309773,0.31756756756756754,-0.5664583740968497,-83.83583936633376,-1.3346126215732363,-10.701031122766043,9.298968877233913,0.4980561256915109,2.079662462581917,-1.5465031284223185,3.7965362383281342,-5.002603174603395,83.83583936633376,4.398085585585586,2.458333333333333,42.490108684347,111,95,7,0,0,47,57,1,144,91,104,4,98,47,58,3,72,26,32,1,45,9,9,0,32,3,3,0,0,0,0,0,0,0,0,0
BTCUSDT,15,joint,baseline,2021,5,4,1,0,0.8,0.375534627029995,0.9637758917743693,0.8,2.0463950277398224,10.231975138699111,1.7314838397121006,164.50319969264498,184.503199692645,10.443206321992161,2.828875696755582,-1.083527648323218,5.409916898693604,-1.083527648323218,1.083527648323218,22.2,22.5,117.720864106501,5,1,0,1,0,1,1,0,5,1,1,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
BTCUSDT,15,joint,baseline,2022,24,1,23,0,0.041666666666666664,0.007393456083597233,0.20241806658845338,0.041666666666666664,-1.1340427333826764,-27.217025601184233,-1.168711438738804,-137.7447700865134,-117.74477008651336,0.0027100656720292545,0.073960364220676,-1.1865646071915177,0.073960364220676,-1.626854961832049,27.217025601184226,5.875,4.625,108.03873217470499,21,20,0,0,0,12,15,0,23,19,22,0,12,8,11,0,6,4,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BTCUSDT,15,joint,baseline,2023,22,6,16,0,0.2727272727272727,0.13150760211464035,0.48151734179678934,0.2727272727272727,0.20146269117682572,4.432179205890166,-1.2692269939929108,42.24123086083262,62.24123086083264,1.206166394546221,4.321707897252831,-1.343629261101676,12.72237980769239,-1.546059386973177,6.8745816702438685,11.920454545454545,6.875,62.4632819500015,22,16,0,1,1,4,4,0,21,15,15,0,9,3,3,0,9,3,3,0,6,0,0,0,6,0,0,0,5,0,0,0,1,0,0,0
