symbol,timeframe_min,arm,policy,fold,censored,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,random_mean_net_bp,target_matched_net_bp,matched_n,excess_weeks,excess_mean_excess_bp,excess_ci_low_bp,excess_ci_high_bp,excess_p_one_sided,excess_minimum_p_resolution,later_excess_p_holm_36
BTCUSDT,5,ordinary,baseline,earlier,0,660,133,527,0,0.2015151515151515,0.17267927314157103,0.23380552118873812,0.25757575757575757,-0.6908624065969022,-455.9691883539555,-1.2991213030603608,-22.186046579627277,-2.186046579627323,0.412953517702608,2.411640316933405,-1.4738469649072075,22.050680901542325,-6.8196039603945176,462.14226234136015,4.284848484848485,2.625,44.005431894847,577,455,37,18,4,254,314,21,644,439,511,4,431,246,298,4,312,145,179,1,201,63,73,0,133,27,28,0,60,6,6,0,13,0,0,0,-18.62526217009791,-22.186046579627277,660,156,-3.5607844095296453,-15.238818347355396,8.376584436576287,0.7177282271772822,9.999000099990002e-05,
BTCUSDT,5,ordinary,baseline,later,0,410,98,312,0,0.23902439024390243,0.2002853976568142,0.28260836417534047,0.2780487804878049,-0.772618647084128,-316.77364530449245,-1.371487729275516,-21.559554853178216,-1.5595548531782537,0.34135361638444617,1.6752327830732745,-1.5414950578386966,9.250247619047604,-5.002603174603395,316.77364530449256,4.280487804878049,2.6666666666666665,40.4667040427855,356,272,16,7,0,127,158,9,400,262,302,5,273,141,175,3,194,76,97,1,115,25,27,0,70,8,8,0,25,0,0,0,3,0,0,0,-15.742642920368283,-21.559554853178216,410,104,-5.816911932810186,-17.215332864712156,5.802076763567278,0.8354164583541646,9.999000099990002e-05,1.0
BTCUSDT,5,ordinary,htf_slope,all,0,785,172,613,0,0.21910828025477708,0.1915783297468923,0.2493739743759046,0.26878980891719745,-0.7044277394683849,-552.9757754826821,-1.3112331378299102,-22.437580927037406,-2.4375809270374433,0.3865111394128597,2.0255034767315916,-1.4704117022520649,13.58846698113198,-6.022089552238253,556.592053504032,4.382271762208068,2.75,43.665236906246,686,533,39,20,2,284,350,18,766,514,594,8,522,287,350,6,368,161,197,3,232,61,70,0,150,25,27,0,62,3,3,0,12,0,0,0,-15.6452366492062,-22.437580927037406,785,251,-6.792344277831462,-16.451214408424136,2.5003976573937643,0.9215078492150784,9.999000099990002e-05,
BTCUSDT,5,ordinary,htf_slope,earlier,0,483,92,391,0,0.19047619047619047,0.15795206757094676,0.22788495484068888,0.2484472049689441,-0.7308310462236471,-352.9913953260216,-1.297343492063506,-24.642450492670118,-4.642450492670162,0.37733241237835813,2.3251134277294487,-1.449876804800846,13.58846698113198,-6.022089552238253,356.60767334737193,4.3067632850241555,2.75,45.792021051642,423,339,28,14,2,185,229,11,470,326,378,4,314,184,222,3,219,105,127,1,139,43,50,0,96,21,23,0,41,3,3,0,9,0,0,0,-16.938037430028135,-24.642450492670118,483,150,-7.704413062642263,-19.449922369984055,5.04978071022478,0.8715128487151285,9.999000099990002e-05,
BTCUSDT,5,ordinary,htf_slope,later,0,302,80,222,0,0.26490066225165565,0.2183100167160126,0.31739714175947253,0.30132450331125826,-0.6621999342935778,-199.9843801566605,-1.3414897918788178,-18.91124980054535,1.0887501994546191,0.402068840526212,1.6809520330840566,-1.5065790216368697,9.250247619047604,-4.067900161030161,199.98438015666042,4.503035320088301,2.958333333333333,41.752136233791994,263,194,11,6,0,99,121,7,296,188,216,4,208,103,128,3,149,56,70,2,93,18,20,0,54,4,4,0,21,0,0,0,3,0,0,0,-13.577611559348602,-18.91124980054535,302,102,-5.333638241196978,-18.320312584221472,8.204018355345486,0.7837216278372163,9.999000099990002e-05,1.0
BTCUSDT,5,ordinary,take_4r,all,0,1072,246,826,0,0.2294776119402985,0.20529821938551943,0.25558888882919106,0.2677238805970149,-0.7113760254108747,-762.5950992404578,-1.320018379046493,-22.561403422274548,-2.561403422274581,0.3885953003637268,1.97027875371499,-1.510028659387827,3.908206335973326,-6.8196039603945176,764.6658760164244,3.8403296019900504,2.3333333333333335,42.912896234175506,820,714,41,0,0,368,459,30,1046,688,800,9,706,374,460,7,508,208,263,2,318,75,87,0,205,22,23,0,0,0,0,0,0,0,0,0,-17.946069438441853,-22.561403422274548,1072,259,-4.615333983832953,-11.555590820299113,3.0341712285511284,0.8909109089091091,9.999000099990002e-05,
BTCUSDT,5,ordinary,take_4r,earlier,0,662,147,515,0,0.22205438066465258,0.19204779395286942,0.25526808719053384,0.26132930513595165,-0.6772959378294394,-448.3699108430889,-1.2973929058096685,-22.838916718965116,-2.8389167189651503,0.4151637184012853,2.1652308757609906,-1.4886579603494263,3.908206335973326,-6.8196039603945176,450.44068761905515,3.735523665659617,2.25,43.9723249668875,499,443,26,0,0,242,302,21,646,427,499,4,433,234,286,4,314,133,167,1,203,51,61,0,135,15,16,0,0,0,0,0,0,0,0,0,-17.757607946346244,-22.838916718965116,662,156,-5.081308772619132,-15.064138851262726,5.4339493468005875,0.8332166783321668,9.999000099990002e-05,
BTCUSDT,5,ordinary,take_4r,later,0,410,99,311,0,0.24146341463414633,0.2025604767567741,0.2851660536563884,0.2780487804878049,-0.766402898530168,-314.22518839736887,-1.371487729275516,-22.113320977374165,-2.1133209773741983,0.3462152321068666,1.6808043906769885,-1.5454174375382335,3.7965362383281342,-5.002603174603395,314.225188397369,4.0095528455284555,2.4166666666666665,40.4667040427855,321,271,15,0,0,126,157,9,400,261,301,5,273,140,174,3,194,75,96,1,115,24,26,0,70,7,7,0,0,0,0,0,0,0,0,0,-18.250365798849877,-22.113320977374165,410,104,-3.862955178524539,-13.699694708207657,6.239076998918506,0.7664233576642335,9.999000099990002e-05,1.0
BTCUSDT,15,joint,baseline,all,0,113,33,80,0,0.2920353982300885,0.21614306142154532,0.38160246101540735,0.3185840707964602,0.07930739232634469,8.96173533287695,-1.166963547334061,3.8628202998600867,23.862820299860076,1.0964724195233329,3.0865457248688286,-1.1611784198474298,12.72237980769239,-1.626854961832049,32.6341324518499,14.435840707964601,7.75,87.384813893559,100,70,3,5,1,39,49,2,110,67,77,1,68,27,35,0,55,18,22,0,35,3,4,0,30,2,2,0,16,0,0,0,4,0,0,0,-6.822695811848826,3.8628202998600867,113,92,10.685516111708719,-32.890228203698875,59.04965620074941,0.33156684331566844,9.999000099990002e-05,
BTCUSDT,15,joint,baseline,earlier,0,68,19,49,0,0.27941176470588236,0.18677947862451644,0.3956343466630638,0.27941176470588236,0.026962722652990975,1.8334651404033864,-1.1687334597953027,0.8620183418494977,20.862018341849524,1.0303536487498062,3.275627174774717,-1.2327234934758415,12.72237980769239,-1.626854961832049,32.6341324518499,11.988970588235293,6.125,78.045241453255,62,45,0,4,1,24,28,2,66,43,47,0,40,17,21,0,33,12,14,0,20,2,2,0,17,1,1,0,10,0,0,0,3,0,0,0,-15.091930855011583,0.8620183418494977,68,55,15.95394919686089,-43.83938373095153,87.26588918552298,0.31916808319168083,9.999000099990002e-05,
BTCUSDT,15,joint,baseline,later,0,45,14,31,0,0.3111111111111111,0.195286991890479,0.4566480569515979,0.37777777777777777,0.15840600427719034,7.128270192473566,-1.147349708671314,8.397365480853866,28.3973654808538,1.2193933444674183,2.8299351857108364,-1.0480910454025207,9.86864334085795,-1.5056456776947853,10.952958002289126,18.133333333333333,12.25,88.25509985590699,38,25,3,1,0,15,21,0,44,24,30,1,28,10,14,0,22,6,8,0,15,1,2,0,13,1,1,0,6,0,0,0,1,0,0,0,5.673037142263779,8.397365480853866,45,37,2.724328338589893,-57.456178336466515,67.17567851098758,0.46485351464853514,9.999000099990002e-05,1.0
BTCUSDT,15,joint,htf_slope,all,0,80,21,59,0,0.2625,0.17857401432592873,0.3681895975310528,0.275,0.10054954384043331,8.043963507234665,-1.1676737649269229,-11.587462081537021,8.41253791846298,1.1173169563535192,3.6480971850711676,-1.1621369047332182,12.72237980769239,-1.530753246753231,22.811233171117575,13.703125,6.5,90.16056809812702,71,52,1,5,1,28,35,2,78,50,57,0,48,21,27,0,37,13,16,0,21,2,2,0,19,1,1,0,13,0,0,0,4,0,0,0,-1.7752510834551274,-11.587462081537021,80,67,-9.812210998082096,-60.85767248600609,46.421175769186725,0.6336366363363664,9.999000099990002e-05,
BTCUSDT,15,joint,htf_slope,earlier,0,53,15,38,0,0.2830188679245283,0.17966290379767413,0.41570286526128497,0.2830188679245283,0.21198981025643332,11.235459943590966,-1.1489280532043546,1.0268853785953074,21.026885378595324,1.2491220748437313,3.755711878835705,-1.186847848393279,12.72237980769239,-1.530753246753231,22.811233171117575,12.89622641509434,7.0,89.348098660973,48,34,0,4,1,18,22,2,51,32,36,0,33,14,18,0,26,9,11,0,16,2,2,0,14,1,1,0,10,0,0,0,3,0,0,0,-10.879948613635863,1.0268853785953074,53,43,11.906833992230988,-61.59830080586331,93.89958778849093,0.38246175382461756,9.999000099990002e-05,
BTCUSDT,15,joint,htf_slope,later,0,27,6,21,0,0.2222222222222222,0.10607239390562237,0.4075692902399728,0.25925925925925924,-0.11820357171690005,-3.191496436356301,-1.1910662041924287,-36.34895894772271,-16.348958947722736,0.8639940512183,3.3790604506598236,-1.1174218638245355,9.86864334085795,-1.5056456776947853,12.066432798048535,15.287037037037036,6.25,90.97303753528101,23,18,1,1,0,10,13,0,27,18,21,0,15,7,9,0,11,4,5,0,5,0,0,0,5,0,0,0,3,0,0,0,1,0,0,0,16.09693295727002,-36.34895894772271,27,24,-52.44589190499297,-108.03300019607622,1.8713341489912096,0.962903709629037,9.999000099990002e-05,1.0
BTCUSDT,15,joint,take_4r,all,0,113,33,80,0,0.2920353982300885,0.21614306142154532,0.38160246101540735,0.3185840707964602,-0.0178602198643808,-2.0182048446750303,-1.166963547334061,-4.498852696673351,15.501147303326634,0.9782741737813619,2.7538202649430104,-1.1611784198474298,3.8603284561049462,-1.626854961832049,33.670084132466435,12.04203539823009,6.0,87.384813893559,79,70,3,0,0,39,49,2,110,67,77,1,68,27,35,0,55,18,22,0,35,3,4,0,30,2,2,0,0,0,0,0,0,0,0,0,-13.664798552099004,-4.498852696673351,113,92,9.165945855425486,-26.50156556373828,43.88247720571417,0.3094690530946905,9.999000099990002e-05,
BTCUSDT,15,joint,take_4r,earlier,0,68,19,49,0,0.27941176470588236,0.18677947862451644,0.3956343466630638,0.27941176470588236,-0.18007389451156977,-12.245024826786745,-1.1687334597953027,-18.640930659196776,1.3590693408032384,0.7972793840829902,2.5346540186068154,-1.2327234934758415,3.8603284561049462,-1.626854961832049,33.670084132466435,9.389705882352942,5.25,78.045241453255,51,45,0,0,0,24,28,2,66,43,47,0,40,17,21,0,33,12,14,0,20,2,2,0,17,1,1,0,0,0,0,0,0,0,0,0,-17.214384151607547,-18.640930659196776,68,55,-1.4265465075893766,-49.78026589018398,48.75253691754578,0.5271472852714728,9.999000099990002e-05,
BTCUSDT,15,joint,take_4r,later,0,45,14,31,0,0.3111111111111111,0.195286991890479,0.4566480569515979,0.37777777777777777,0.22726266626914926,10.226819982111717,-1.147349708671314,16.87139844669538,36.87139844669531,1.3147602684183795,3.0512601706849902,-1.0480910454025207,3.827272888713497,-1.5056456776947853,10.952958002289126,16.05,7.0,88.25509985590699,28,25,3,0,0,15,21,0,44,24,30,1,28,10,14,0,22,6,8,0,15,1,2,0,13,1,1,0,0,0,0,0,0,0,0,0,-8.30098031284166,16.87139844669538,45,37,25.172378759536834,-30.146622180906206,76.78564245226217,0.18768123187681232,9.999000099990002e-05,1.0
BTCUSDT,15,ordinary,baseline,all,0,250,71,179,0,0.284,0.23169946031462685,0.3428381251689797,0.292,-0.09695693563378983,-24.23923390844746,-1.1652449144916144,-3.31611915300916,16.683880846990835,0.8874404122062509,2.6916417042798324,-1.203049133588355,11.085321919171731,-2.1023466666665316,63.17048780842708,14.511,8.25,89.416932899694,218,155,2,11,2,102,125,10,246,151,175,2,162,74,91,1,128,48,57,1,77,12,13,0,59,3,3,0,31,0,0,0,7,0,0,0,-12.54403109973222,-3.31611915300916,250,150,9.227911946722836,-16.609454642777465,36.18294769149827,0.24937506249375063,9.999000099990002e-05,
BTCUSDT,15,ordinary,baseline,earlier,0,151,36,115,0,0.23841059602649006,0.17747107945290483,0.3123296459422059,0.23841059602649006,-0.32704272368439585,-49.38345127634378,-1.1959157894736954,-19.89741024066377,0.1025897593362458,0.656051587204344,2.6165173472881182,-1.248505006771444,10.693975972539864,-1.971281021897884,56.17270522208639,12.70364238410596,7.0,80.91901254586901,136,106,0,7,1,68,76,8,148,103,112,1,94,51,58,0,74,35,38,0,40,9,9,0,30,2,2,0,15,0,0,0,4,0,0,0,-12.475613427377947,-19.89741024066377,151,92,-7.421796813286092,-41.89395943993172,31.857174193117256,0.645035496450355,9.999000099990002e-05,
BTCUSDT,15,ordinary,baseline,later,0,99,35,64,0,0.35353535353535354,0.2664485286892047,0.45156402854733707,0.37373737373737376,0.2539819936151143,25.144217367896317,-1.004740846071807,21.974536950383218,41.97453695038322,1.3503555313091247,2.76891247147131,-1.1213706114624928,11.085321919171731,-2.1023466666665316,17.87224612768722,17.267676767676768,12.25,93.39407520887801,82,49,2,4,1,34,49,2,98,48,63,1,68,23,33,1,54,13,19,1,37,3,4,0,29,1,1,0,16,0,0,0,3,0,0,0,-12.648385327262469,21.974536950383218,99,58,34.62292227764555,-1.0943845787224218,72.97179553403572,0.04129587041295871,9.999000099990002e-05,1.0
BTCUSDT,15,ordinary,htf_slope,all,0,153,40,113,0,0.26143790849673204,0.1982637069171376,0.33629813329598257,0.26143790849673204,-0.14251613866253232,-21.804969215367446,-1.170459330143547,-14.830485599112864,5.169514400887136,0.8406509212291992,2.875819490089178,-1.2109535293711025,11.085321919171731,-2.1023466666665316,38.35203790556159,13.408496732026144,7.5,87.28398101839501,134,99,0,9,1,66,79,6,150,96,110,1,97,46,57,1,77,31,37,1,42,7,7,0,34,2,2,0,21,0,0,0,6,0,0,0,4.742577401594651,-14.830485599112864,153,106,-19.573063000707727,-67.82914615578231,28.665345348047044,0.7935206479352065,9.999000099990002e-05,
BTCUSDT,15,ordinary,htf_slope,earlier,0,97,23,74,0,0.23711340206185566,0.16351475317242736,0.33074087773793176,0.23711340206185566,-0.30844319175074797,-29.918989599822552,-1.175975174553924,-27.26507841664911,-7.265078416649103,0.6674091226400173,2.6103629254781673,-1.2156396876462214,8.971992128197908,-1.7702432432432134,36.50628104491302,12.198453608247423,6.75,80.91901254586901,87,67,0,5,0,43,49,4,94,64,71,1,61,32,38,0,48,22,25,0,25,5,5,0,20,2,2,0,12,0,0,0,3,0,0,0,-2.7413538012529903,-27.26507841664911,97,67,-24.52372461539636,-87.88989174713909,37.477734446860815,0.773022697730227,9.999000099990002e-05,
BTCUSDT,15,ordinary,htf_slope,later,0,56,17,39,0,0.30357142857142855,0.1990032501648838,0.43335865391836864,0.30357142857142855,0.14489322115098396,8.114020384455102,-1.1559785811243861,6.708005531262408,26.708005531262412,1.1730791187592726,3.2349666069158403,-1.2020618444388254,11.085321919171731,-2.1023466666665316,13.437355573270157,15.504464285714286,10.125,87.33439745597701,47,32,0,4,1,23,30,2,56,32,39,0,36,14,19,1,29,9,12,1,17,2,2,0,14,0,0,0,9,0,0,0,3,0,0,0,17.70581537795574,6.708005531262408,56,39,-10.997809846693496,-80.62132244041531,51.01999038112491,0.6220377962203779,9.999000099990002e-05,1.0
BTCUSDT,15,ordinary,take_4r,all,0,250,71,179,0,0.284,0.23169946031462685,0.3428381251689797,0.292,-0.17144774148216055,-42.86193537054014,-1.1652449144916144,-10.362325546498177,9.637674453501823,0.8009622830666713,2.4293501343912034,-1.203049133588355,3.928809103159154,-2.1023466666665316,68.81927152295637,12.29,6.75,89.416932899694,179,155,2,0,0,102,125,10,246,151,175,2,162,74,91,1,128,48,57,1,77,12,13,0,59,3,3,0,0,0,0,0,0,0,0,0,-22.13942772918442,-10.362325546498177,250,150,11.777102182686013,-11.013529325803933,36.99960232847488,0.17148285171482852,9.999000099990002e-05,
BTCUSDT,15,ordinary,take_4r,earlier,0,151,36,115,0,0.23841059602649006,0.17747107945290483,0.3123296459422059,0.23841059602649006,-0.4294880187177892,-64.85269082638617,-1.1959157894736954,-30.17821449723614,-10.178214497236125,0.5483106283835578,2.1868162486758305,-1.248505006771444,3.928809103159154,-1.971281021897884,68.81927152295637,10.947019867549669,5.75,80.91901254586901,118,106,0,0,0,68,76,8,148,103,112,1,94,51,58,0,74,35,38,0,40,9,9,0,30,2,2,0,0,0,0,0,0,0,0,0,-26.788898882007405,-30.17821449723614,151,92,-3.389315615229003,-33.148338086586335,25.928208862204187,0.5827417258274172,9.999000099990002e-05,
BTCUSDT,15,ordinary,take_4r,later,0,99,35,64,0,0.35353535353535354,0.2664485286892047,0.45156402854733707,0.37373737373737376,0.2221288429883436,21.990755455846017,-1.004740846071807,19.861909115738506,39.8619091157385,1.3064156938707918,2.678813559698444,-1.1213706114624928,3.90257044406158,-2.1023466666665316,13.265059123516622,14.33838383838384,8.25,93.39407520887801,61,49,2,0,0,34,49,2,98,48,63,1,68,23,33,1,54,13,19,1,37,3,4,0,29,1,1,0,0,0,0,0,0,0,0,0,-15.047810112252382,19.861909115738506,99,58,34.909719227990735,-5.793150395635721,79.77087773318476,0.049595040495950406,9.999000099990002e-05,1.0
BTCUSDT,60,joint,baseline,all,0,51,15,36,0,0.29411764705882354,0.1870872635094736,0.42999075687188837,0.29411764705882354,-0.05642332954767872,-2.877589806931615,-1.0857962643227106,-2.2976259687069667,17.702374031293065,0.9251821986756747,2.372247261426468,-1.0683694091202398,8.405220424194916,-1.419468322981389,16.72199229893891,46.96078431372549,22.0,173.937728411189,45,31,0,1,0,21,26,1,51,31,36,0,29,10,14,1,21,5,6,0,15,1,1,0,10,0,0,0,4,0,0,0,1,0,0,0,28.681551852558602,-2.2976259687069667,51,48,-30.979177821265793,-114.3630040681351,58.08510104921013,0.7452254774522548,9.999000099990002e-05,
BTCUSDT,60,joint,baseline,earlier,0,28,11,17,0,0.39285714285714285,0.23565686440826125,0.5759095584001968,0.39285714285714285,0.44369691523226334,12.423513626503373,-0.9770786709655922,85.32673420379727,105.32673420379729,1.7066884137732483,2.7275833118197843,-1.0341119296184855,8.405220424194916,-1.419468322981389,5.9902884028825465,53.607142857142854,34.5,225.056536576268,25,14,0,1,0,8,11,0,28,14,17,0,18,4,7,0,16,4,5,0,11,0,0,0,8,0,0,0,4,0,0,0,1,0,0,0,21.63953342353614,85.32673420379727,28,27,63.68720078026104,-48.92469565739899,189.21242097153487,0.17028297170282972,9.999000099990002e-05,
