symbol,timeframe_min,arm,policy,side,fold,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,matched_random_net_bp
BTCUSDT,5,ordinary,htf_slope,-1,earlier,241,40,201,0,0.16597510373443983,0.12431877823625373,0.2181128477815605,0.24481327800829875,-0.783325407560415,-188.78142322206003,-1.2705485961123266,-29.183096800253114,-9.183096800253187,0.31156009055068973,2.135871137990867,-1.3642600434910184,13.58846698113198,-4.284513966480253,188.78142322206014,4.5283540802213,2.75,47.96081383506,207,170,19,4,1,97,124,6,236,165,196,1,155,91,115,1,104,50,64,1,70,28,31,0,49,18,18,0,18,3,3,0,4,0,0,0,-21.09824557510954
BTCUSDT,5,ordinary,htf_slope,-1,later,138,38,100,0,0.2753623188405797,0.2076826475467745,0.3552096091390056,0.3115942028985507,-0.5709735734469028,-78.79435313567258,-1.3119611762600991,-19.08703051632773,0.9129694836722401,0.4617651509253221,1.7789381066798569,-1.4639400118950716,9.250247619047604,-4.067900161030161,82.49243073382755,5.075483091787439,3.25,43.9624900659425,119,89,5,2,0,46,57,3,136,87,98,1,99,50,61,0,67,24,30,0,43,9,10,0,29,3,3,0,11,0,0,0,1,0,0,0,-15.97859692633132
BTCUSDT,5,ordinary,htf_slope,1,earlier,242,52,190,0,0.21487603305785125,0.16779508813458383,0.2708675335893094,0.25206611570247933,-0.6785536037353781,-164.2099721039615,-1.3196484105743413,-20.120567186358116,-0.1205671863581387,0.4389543132292094,2.47068441983605,-1.5404503259759796,12.560214634148604,-6.022089552238253,173.59020265119514,4.086088154269973,2.75,43.2470796388115,216,169,9,10,1,88,105,5,234,161,182,3,159,93,107,2,115,55,63,0,69,15,19,0,47,3,5,0,23,0,0,0,5,0,0,0,-12.795020227694996
BTCUSDT,5,ordinary,htf_slope,1,later,164,42,122,0,0.25609756097560976,0.19541160115715234,0.3279481185853988,0.2926829268292683,-0.7389635793962681,-121.19002702098797,-1.375269658668517,-18.763336759216273,1.2366632407836928,0.35560027859817345,1.59229796649738,-1.54152902962195,7.559304817650013,-3.00033729216161,121.19002702098797,4.021341463414634,2.708333333333333,39.4843825546275,144,105,6,4,0,53,64,4,160,101,118,3,109,53,67,3,82,32,40,2,50,9,10,0,25,1,1,0,10,0,0,0,2,0,0,0,-11.557270213960702
BTCUSDT,5,ordinary,take_4r,-1,earlier,330,70,260,0,0.21212121212121213,0.17145581046171787,0.2594117617185298,0.25757575757575757,-0.7047725902484366,-232.5749547819841,-1.2684449994838392,-26.269197250874473,-6.269197250874507,0.38033959168052234,2.0393073862779807,-1.4435633531593954,3.8720879801734855,-6.8196039603945176,232.57495478198413,3.9545454545454546,2.25,45.35986765493549,246,217,15,0,0,121,159,9,325,212,255,0,218,113,148,1,153,61,83,1,101,27,33,0,67,12,12,0,0,0,0,0,0,0,0,0,-16.532791027371537
BTCUSDT,5,ordinary,take_4r,-1,later,194,47,147,0,0.2422680412371134,0.18736013464961587,0.30718463586787426,0.28865979381443296,-0.7161861322295154,-138.940109652526,-1.3268907926956262,-22.43400716260699,-2.434007162607036,0.3818898425028573,1.8264256851845215,-1.5291300466408062,3.7649896363293847,-5.002603174603395,138.94010965252602,4.353951890034365,2.5833333333333335,41.987735525869496,146,128,9,0,0,60,77,3,188,122,141,2,129,65,82,0,94,37,48,0,54,13,14,0,39,6,6,0,0,0,0,0,0,0,0,0,-22.105699639606662
BTCUSDT,5,ordinary,take_4r,1,earlier,332,77,255,0,0.2319277108433735,0.1897503168633943,0.28023769297634804,0.26506024096385544,-0.6499848074129663,-215.7949560611048,-1.3110982206850261,-19.429300527609435,0.5706994723905331,0.4485635017037352,2.2797067752909994,-1.5346367755235755,3.908206335973326,-6.022089552238253,222.76584199774905,3.517821285140562,2.291666666666667,43.495424597871,253,226,11,0,0,121,143,12,321,215,244,4,215,121,138,3,161,72,84,0,102,24,28,0,68,3,4,0,0,0,0,0,0,0,0,0,-18.975046450146408
BTCUSDT,5,ordinary,take_4r,1,later,216,52,164,0,0.24074074074074073,0.18857477299582054,0.3019671813292064,0.26851851851851855,-0.8115049941890874,-175.28507874484288,-1.3943744768322142,-21.82529727397061,-1.8252972739706317,0.3148716985687557,1.5491851437182562,-1.5600165013304401,3.7965362383281342,-3.178071065989879,175.28507874484276,3.7002314814814814,2.291666666666667,39.4843825546275,175,143,6,0,0,66,80,6,212,139,160,3,144,75,92,3,100,38,48,1,61,11,12,0,31,1,1,0,0,0,0,0,0,0,0,0,-14.787704849281281
BTCUSDT,15,joint,baseline,1,earlier,68,19,49,0,0.27941176470588236,0.18677947862451644,0.3956343466630638,0.27941176470588236,0.026962722652990975,1.8334651404033864,-1.1687334597953027,0.8620183418494977,20.862018341849524,1.0303536487498062,3.275627174774717,-1.2327234934758415,12.72237980769239,-1.626854961832049,32.6341324518499,11.988970588235293,6.125,78.045241453255,62,45,0,4,1,24,28,2,66,43,47,0,40,17,21,0,33,12,14,0,20,2,2,0,17,1,1,0,10,0,0,0,3,0,0,0,-15.091930855011583
BTCUSDT,15,joint,baseline,1,later,45,14,31,0,0.3111111111111111,0.195286991890479,0.4566480569515979,0.37777777777777777,0.15840600427719034,7.128270192473566,-1.147349708671314,8.397365480853866,28.3973654808538,1.2193933444674183,2.8299351857108364,-1.0480910454025207,9.86864334085795,-1.5056456776947853,10.952958002289126,18.133333333333333,12.25,88.25509985590699,38,25,3,1,0,15,21,0,44,24,30,1,28,10,14,0,22,6,8,0,15,1,2,0,13,1,1,0,6,0,0,0,1,0,0,0,5.673037142263779
BTCUSDT,15,joint,htf_slope,1,earlier,53,15,38,0,0.2830188679245283,0.17966290379767413,0.41570286526128497,0.2830188679245283,0.21198981025643332,11.235459943590966,-1.1489280532043546,1.0268853785953074,21.026885378595324,1.2491220748437313,3.755711878835705,-1.186847848393279,12.72237980769239,-1.530753246753231,22.811233171117575,12.89622641509434,7.0,89.348098660973,48,34,0,4,1,18,22,2,51,32,36,0,33,14,18,0,26,9,11,0,16,2,2,0,14,1,1,0,10,0,0,0,3,0,0,0,-10.879948613635863
BTCUSDT,15,joint,htf_slope,1,later,27,6,21,0,0.2222222222222222,0.10607239390562237,0.4075692902399728,0.25925925925925924,-0.11820357171690005,-3.191496436356301,-1.1910662041924287,-36.34895894772271,-16.348958947722736,0.8639940512183,3.3790604506598236,-1.1174218638245355,9.86864334085795,-1.5056456776947853,12.066432798048535,15.287037037037036,6.25,90.97303753528101,23,18,1,1,0,10,13,0,27,18,21,0,15,7,9,0,11,4,5,0,5,0,0,0,5,0,0,0,3,0,0,0,1,0,0,0,16.09693295727002
BTCUSDT,15,joint,take_4r,1,earlier,68,19,49,0,0.27941176470588236,0.18677947862451644,0.3956343466630638,0.27941176470588236,-0.18007389451156977,-12.245024826786745,-1.1687334597953027,-18.640930659196776,1.3590693408032384,0.7972793840829902,2.5346540186068154,-1.2327234934758415,3.8603284561049462,-1.626854961832049,33.670084132466435,9.389705882352942,5.25,78.045241453255,51,45,0,0,0,24,28,2,66,43,47,0,40,17,21,0,33,12,14,0,20,2,2,0,17,1,1,0,0,0,0,0,0,0,0,0,-17.214384151607547
BTCUSDT,15,joint,take_4r,1,later,45,14,31,0,0.3111111111111111,0.195286991890479,0.4566480569515979,0.37777777777777777,0.22726266626914926,10.226819982111717,-1.147349708671314,16.87139844669538,36.87139844669531,1.3147602684183795,3.0512601706849902,-1.0480910454025207,3.827272888713497,-1.5056456776947853,10.952958002289126,16.05,7.0,88.25509985590699,28,25,3,0,0,15,21,0,44,24,30,1,28,10,14,0,22,6,8,0,15,1,2,0,13,1,1,0,0,0,0,0,0,0,0,0,-8.30098031284166
BTCUSDT,15,ordinary,baseline,-1,earlier,76,17,59,0,0.2236842105263158,0.1446118277140106,0.32934568022126715,0.2236842105263158,-0.44715366095344733,-33.983678232462,-1.1885672342001985,-31.76589364089724,-11.76589364089724,0.5354436897192281,2.3040765438700275,-1.2398810081059737,10.693975972539864,-1.7702432432432134,34.149411378706766,14.092105263157896,7.75,90.0547889816255,67,54,0,3,1,42,46,5,75,53,58,1,53,33,36,0,39,21,22,0,19,6,6,0,14,1,1,0,7,0,0,0,1,0,0,0,-11.643559387590319
BTCUSDT,15,ordinary,baseline,-1,later,54,19,35,0,0.35185185185185186,0.23823011031111618,0.48515169385748735,0.35185185185185186,0.2398907392429735,12.95409991912057,-1.0201616422399438,27.127941367410845,47.12794136741086,1.3151911958051388,2.844909507551283,-1.1742623064101085,11.085321919171731,-2.1023466666665316,13.669788309881026,16.35185185185185,12.25,93.7399310986975,45,26,0,3,1,21,30,2,54,26,35,0,40,15,21,1,31,8,12,1,21,2,2,0,16,0,0,0,9,0,0,0,2,0,0,0,-21.725708507352152
BTCUSDT,15,ordinary,baseline,1,earlier,75,19,56,0,0.25333333333333335,0.16860049307870423,0.3621032695735403,0.25333333333333335,-0.2053303072517572,-15.399773043881789,-1.198893401015233,-7.87068039509385,12.129319604906156,0.781331175208057,2.896069645083253,-1.2575910053654213,8.971992128197908,-1.971281021897884,32.316361243458296,11.296666666666667,6.0,75.460456562736,69,52,0,4,0,26,30,3,73,50,54,0,41,18,22,0,35,14,16,0,21,3,3,0,16,1,1,0,8,0,0,0,3,0,0,0,-13.318761521029412
BTCUSDT,15,ordinary,baseline,1,later,45,16,29,0,0.35555555555555557,0.23219082522121015,0.5016418591874369,0.4,0.2708914988616831,12.19011744877574,-0.7816600907476963,15.790451649950066,35.79045164995002,1.397479569652421,2.6786659911263424,-1.0575358072153702,9.86864334085795,-1.5056456776947853,10.41611689255663,18.366666666666667,12.25,88.25509985590699,37,23,2,1,0,13,19,0,44,22,28,1,28,8,12,0,23,5,7,0,16,1,2,0,13,1,1,0,7,0,0,0,1,0,0,0,-1.7555975111548423
BTCUSDT,15,ordinary,htf_slope,-1,earlier,38,8,30,0,0.21052631578947367,0.11074791786551921,0.3634577960792579,0.21052631578947367,-0.7079260524718204,-26.901189993929176,-1.1945240796077556,-53.17967615760265,-33.17967615760265,0.28861911054189326,1.364282770950011,-1.260515072050975,5.378163132137002,-1.7702432432432134,26.90118999392918,11.914473684210526,7.0,74.20064801953,34,28,0,1,0,22,23,2,37,27,29,1,25,16,17,0,18,10,10,0,9,3,3,0,7,1,1,0,4,0,0,0,0,0,0,0,2.055188700893939
BTCUSDT,15,ordinary,htf_slope,-1,later,28,10,18,0,0.35714285714285715,0.20705829414358318,0.5416969362676942,0.35714285714285715,0.4317482594947624,12.088951265853348,-1.0768129757229987,46.896234505455595,66.89623450545561,1.5405384923703767,3.4453595849887897,-1.2424802546685862,11.085321919171731,-2.1023466666665316,8.496667104677282,15.982142857142858,11.75,86.261323897199,24,14,0,3,1,13,17,2,28,14,18,0,21,8,11,1,17,5,7,1,12,2,2,0,9,0,0,0,6,0,0,0,2,0,0,0,48.71820415974413
BTCUSDT,15,ordinary,htf_slope,1,earlier,59,15,44,0,0.2542372881355932,0.16055977513450354,0.3779614413321704,0.2542372881355932,-0.05114914586259971,-3.0177996058933827,-1.166963547334061,-10.574320549594288,9.425679450405728,0.9421233117703647,3.2749390078931837,-1.1850428346429804,8.971992128197908,-1.530753246753231,23.85504119280654,12.38135593220339,6.75,89.348098660973,53,39,0,4,0,21,26,2,57,37,42,0,36,16,21,0,30,12,15,0,16,2,2,0,13,1,1,0,8,0,0,0,3,0,0,0,-5.830652361957793
BTCUSDT,15,ordinary,htf_slope,1,later,28,7,21,0,0.25,0.12676494850621306,0.4335567047135223,0.25,-0.1419618171927945,-3.9749308813982456,-1.1881057388442724,-33.480223442930786,-13.480223442930782,0.8378622694203582,2.9344052096687685,-1.1674174928133159,9.86864334085795,-1.5056456776947853,11.88495085387915,15.026785714285714,6.5,89.17892571442,23,18,0,1,0,10,13,0,28,18,21,0,15,6,8,0,12,4,5,0,5,0,0,0,5,0,0,0,3,0,0,0,1,0,0,0,-13.30657340383265
BTCUSDT,15,ordinary,take_4r,-1,earlier,76,17,59,0,0.2236842105263158,0.1446118277140106,0.32934568022126715,0.2236842105263158,-0.48999860408369283,-37.23989391036066,-1.1885672342001985,-35.58519977155725,-15.585199771557235,0.4909312761289285,2.1125344451701054,-1.2398810081059737,3.928809103159154,-1.7702432432432134,37.23989391036066,12.552631578947368,6.875,90.0547889816255,58,54,0,0,0,42,46,5,75,53,58,1,53,33,36,0,39,21,22,0,19,6,6,0,14,1,1,0,0,0,0,0,0,0,0,0,-23.861463167480593
BTCUSDT,15,ordinary,take_4r,-1,later,54,19,35,0,0.35185185185185186,0.23823011031111618,0.48515169385748735,0.35185185185185186,0.16084148843186855,8.685440375320901,-1.0201616422399438,19.812947772825257,39.812947772825275,1.211328795908923,2.620243215772353,-1.1742623064101085,3.90257044406158,-2.1023466666665316,13.669788309881026,12.842592592592593,8.375,93.7399310986975,34,26,0,0,0,21,30,2,54,26,35,0,40,15,21,1,31,8,12,1,21,2,2,0,16,0,0,0,0,0,0,0,0,0,0,0,-24.01709749567404
BTCUSDT,15,ordinary,take_4r,1,earlier,75,19,56,0,0.25333333333333335,0.16860049307870423,0.3621032695735403,0.25333333333333335,-0.3681706255470066,-27.612796916025495,-1.198893401015233,-24.699136085924074,-4.699136085924069,0.6079125430199274,2.2532789149704264,-1.2575910053654213,3.8603284561049462,-1.971281021897884,39.79086901717035,9.32,5.0,75.460456562736,60,52,0,0,0,26,30,3,73,50,54,0,41,18,22,0,35,14,16,0,21,3,3,0,16,1,1,0,0,0,0,0,0,0,0,0,-29.755367072727914
BTCUSDT,15,ordinary,take_4r,1,later,45,16,29,0,0.35555555555555557,0.23219082522121015,0.5016418591874369,0.4,0.2956736684561136,13.305315080525112,-0.7816600907476963,19.920662727234397,39.92066272723435,1.433842490404235,2.748365843110678,-1.0575358072153702,3.827272888713497,-1.5056456776947853,10.41611689255663,16.133333333333333,7.0,88.25509985590699,27,23,2,0,0,13,19,0,44,22,28,1,28,8,12,0,23,5,7,0,16,1,2,0,13,1,1,0,0,0,0,0,0,0,0,0,-4.284665252146401
BTCUSDT,60,joint,baseline,1,earlier,28,11,17,0,0.39285714285714285,0.23565686440826125,0.5759095584001968,0.39285714285714285,0.44369691523226334,12.423513626503373,-0.9770786709655922,85.32673420379727,105.32673420379729,1.7066884137732483,2.7275833118197843,-1.0341119296184855,8.405220424194916,-1.419468322981389,5.9902884028825465,53.607142857142854,34.5,225.056536576268,25,14,0,1,0,8,11,0,28,14,17,0,18,4,7,0,16,4,5,0,11,0,0,0,8,0,0,0,4,0,0,0,1,0,0,0,21.63953342353614
BTCUSDT,60,joint,baseline,1,later,23,4,19,0,0.17391304347826086,0.0697865351446468,0.3713764781499663,0.17391304347826086,-0.6652653666710865,-15.301103433434989,-1.114271671134944,-108.97076009175562,-88.97076009175555,0.2672375214507599,1.3950731228448485,-1.0990208381481252,2.418503373423293,-1.3359940828402397,16.72199229893891,38.869565217391305,14.0,164.514980938501,20,17,0,0,0,13,15,1,23,17,19,0,11,6,7,1,5,1,1,0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,37.2544438531077
BTCUSDT,60,joint,htf_slope,1,earlier,16,6,10,0,0.375,0.18481232451546453,0.6135895962338866,0.375,0.7052173655568922,11.283477848910275,-0.9848790937609213,95.12166394761587,115.12166394761589,2.047513534293629,3.6758592058232566,-1.0771677386029266,8.405220424194916,-1.419468322981389,3.5533303634992386,59.375,31.0,143.9314382902145,14,8,0,1,0,5,7,0,16,8,10,0,10,2,4,0,8,2,2,0,6,0,0,0,6,0,0,0,4,0,0,0,1,0,0,0,-80.42410396579686
BTCUSDT,60,joint,htf_slope,1,later,17,2,15,0,0.11764705882352941,0.032879773465990136,0.3433635080603935,0.11764705882352941,-0.8055523502476125,-13.694389954209413,-1.114271671134944,-147.43801616250494,-127.43801616250494,0.16283176170769773,1.331800192458771,-1.0905326892751304,2.418503373423293,-1.3359940828402397,13.830418083953326,38.1764705882353,19.0,164.514980938501,14,13,0,0,0,10,12,1,17,13,15,0,9,6,7,1,3,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.863460432032881
BTCUSDT,60,joint,take_4r,1,earlier,28,11,17,0,0.39285714285714285,0.23565686440826125,0.5759095584001968,0.39285714285714285,0.5217212496105524,14.60819498909547,-0.9770786709655922,107.52790312014379,127.52790312014379,1.8309599405848402,2.9261907084190657,-1.0341119296184855,3.934657473856884,-1.419468322981389,4.6609431526774845,40.464285714285715,22.0,225.056536576268,18,14,0,0,0,8,11,0,28,14,17,0,18,4,7,0,16,4,5,0,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,25.09157760831323
BTCUSDT,60,joint,take_4r,1,later,23,4,19,0,0.17391304347826086,0.0697865351446468,0.3713764781499663,0.17391304347826086,-0.6023330604569307,-13.853660390509406,-1.114271671134944,-99.5816330725273,-79.58163307252724,0.33655487207890983,1.7569338835762434,-1.0990208381481252,3.865946416348873,-1.3359940828402397,16.721992298938908,36.91304347826087,14.0,164.514980938501,19,17,0,0,0,13,15,1,23,17,19,0,11,6,7,1,5,1,1,0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,29.30455188781964
BTCUSDT,60,ordinary,baseline,-1,earlier,32,10,22,0,0.3125,0.17952541552257512,0.48566678438918004,0.3125,-0.14274157585329955,-4.567730427305586,-0.7464379154184156,-1.7707938528852516,18.229206147114738,0.7823318008300801,1.6417100819172656,-0.9538559657490109,2.988802371224856,-1.3889437359339958,11.205952507536512,67.0625,60.0,254.6393604755685,24,15,0,0,0,12,19,1,32,15,22,0,22,8,12,0,16,4,6,0,11,1,1,0,6,0,0,0,2,0,0,0,0,0,0,0,-66.55702351599524
BTCUSDT,60,ordinary,baseline,-1,later,20,4,16,0,0.2,0.08065766201776073,0.41601743409331715,0.25,0.04541317589902292,0.9082635179804583,-0.8878771944233343,4.2126896525479465,24.212689652547922,1.0648450068507422,3.728736871955118,-0.875417748115001,12.006878240174856,-1.258478123167149,6.224317639394948,65.5,42.5,196.0482656791835,12,9,1,1,1,8,14,0,20,9,16,0,11,3,7,0,8,2,4,0,6,1,3,0,2,0,0,0,1,0,0,0,1,0,0,0,44.16026311601813
BTCUSDT,60,ordinary,baseline,1,earlier,31,13,18,0,0.41935483870967744,0.2641554296429244,0.5923373763261116,0.41935483870967744,0.5936306107966798,18.402548934697073,-0.5958569872239285,108.40506881841894,128.40506881841895,2.013167752828209,2.812763615119258,-1.009076558991849,8.405220424194916,-1.419468322981389,5.902241363662242,60.064516129032256,40.0,208.447366556979,27,14,0,2,0,8,12,0,31,14,18,0,20,3,7,0,17,3,4,0,13,0,0,0,10,0,0,0,5,0,0,0,1,0,0,0,124.5146579553083
BTCUSDT,60,ordinary,baseline,1,later,23,3,20,0,0.13043478260869565,0.04537659058182972,0.32127482448539857,0.13043478260869565,-0.6669424119328876,-15.339675474456415,-1.114271671134944,-125.06894648324388,-105.0689464832438,0.3039984488480919,2.233346339698065,-1.1019857246775306,2.6497042749690594,-1.3359940828402397,18.12540787916939,33.608695652173914,19.0,147.804728944497,21,18,0,0,0,14,16,1,23,18,20,0,11,7,8,0,4,1,1,0,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,30.235765721879094
BTCUSDT,60,ordinary,htf_slope,-1,earlier,19,3,16,0,0.15789473684210525,0.055204715953508426,0.3756547546451403,0.15789473684210525,-0.5826721230383403,-11.070770337728465,-1.052003805646519,-139.97884598201054,-119.97884598201051,0.24526118386714021,1.1991919947728118,-0.9167716451279314,2.3240046296296204,-1.3889437359339958,11.070770337728469,66.57894736842105,36.0,277.115583163831,12,10,0,0,0,8,14,1,19,10,16,0,13,6,10,0,10,4,7,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-155.81105439106804
BTCUSDT,60,ordinary,htf_slope,-1,later,13,4,9,0,0.3076923076923077,0.12680703567070326,0.5763065701492199,0.38461538461538464,0.5427954117380189,7.056340352594246,-0.4935249127887881,113.87936591056146,133.87936591056143,1.8979123439017813,3.728736871955118,-0.8731785705806918,12.006878240174856,-1.258478123167149,4.193908337785372,72.6923076923077,57.0,186.716855752669,10,7,1,1,1,6,8,0,13,7,9,0,8,2,4,0,8,2,4,0,6,1,3,0,2,0,0,0,1,0,0,0,1,0,0,0,123.12806052395682
