symbol,minutes,fold,status,bars,warmed_bars,source_start,source_end_close,reason
ACH,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ACH,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ACH,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ACH,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ACT,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ACT,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ACT,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ACT,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ACT,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ACT,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ACU,60,audit_pre,prepared,2417,1867.0,2026-01-23T07:00:00+00:00,2026-08-14T04:00:00+00:00,
ACU,60,audit_seen,prepared,1656,1656.0,2026-01-23T07:00:00+00:00,2026-08-14T04:00:00+00:00,
ACU,60,external_recent,prepared,796,796.0,2026-01-23T07:00:00+00:00,2026-08-14T04:00:00+00:00,
ACU,240,audit_pre,prepared,604,54.0,2026-01-23T08:00:00+00:00,2026-08-14T04:00:00+00:00,
ACU,240,audit_seen,prepared,414,414.0,2026-01-23T08:00:00+00:00,2026-08-14T04:00:00+00:00,
ACU,240,external_recent,prepared,199,199.0,2026-01-23T08:00:00+00:00,2026-08-14T04:00:00+00:00,
AERO,60,audit_pre,prepared,2952,2952.0,2025-07-03T07:00:00+00:00,2026-08-14T04:00:00+00:00,
AERO,60,audit_seen,prepared,1656,1656.0,2025-07-03T07:00:00+00:00,2026-08-14T04:00:00+00:00,
AERO,60,external_recent,prepared,796,796.0,2025-07-03T07:00:00+00:00,2026-08-14T04:00:00+00:00,
AERO,240,audit_pre,prepared,738,738.0,2025-07-03T08:00:00+00:00,2026-08-14T04:00:00+00:00,
AERO,240,audit_seen,prepared,414,414.0,2025-07-03T08:00:00+00:00,2026-08-14T04:00:00+00:00,
AERO,240,external_recent,prepared,199,199.0,2025-07-03T08:00:00+00:00,2026-08-14T04:00:00+00:00,
AEVO,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AEVO,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AEVO,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AEVO,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AEVO,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AEVO,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AGLD,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AGLD,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AGLD,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AGLD,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AGLD,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AGLD,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AI,60,audit_pre,prepared,108,0.0,2026-04-29T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AI,60,audit_seen,prepared,1656,1214.0,2026-04-29T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AI,60,external_recent,prepared,796,796.0,2026-04-29T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AI,240,audit_pre,prepared,27,0.0,2026-04-29T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AI,240,audit_seen,prepared,414,0.0,2026-04-29T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AI,240,external_recent,prepared,199,90.0,2026-04-29T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AIXBT,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AIXBT,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AIXBT,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AIXBT,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AIXBT,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AIXBT,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ALGO,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ALGO,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ALGO,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ALGO,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ALGO,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ALGO,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ALLO,60,audit_pre,prepared,2952,2952.0,2025-11-11T17:00:00+00:00,2026-08-14T04:00:00+00:00,
ALLO,60,audit_seen,prepared,1656,1656.0,2025-11-11T17:00:00+00:00,2026-08-14T04:00:00+00:00,
ALLO,60,external_recent,prepared,796,796.0,2025-11-11T17:00:00+00:00,2026-08-14T04:00:00+00:00,
ALLO,240,audit_pre,prepared,738,489.0,2025-11-11T20:00:00+00:00,2026-08-14T04:00:00+00:00,
ALLO,240,audit_seen,prepared,414,414.0,2025-11-11T20:00:00+00:00,2026-08-14T04:00:00+00:00,
ALLO,240,external_recent,prepared,199,199.0,2025-11-11T20:00:00+00:00,2026-08-14T04:00:00+00:00,
ANIME,60,audit_pre,prepared,2952,2952.0,2025-06-04T15:00:00+00:00,2026-08-14T04:00:00+00:00,
ANIME,60,audit_seen,prepared,1656,1656.0,2025-06-04T15:00:00+00:00,2026-08-14T04:00:00+00:00,
ANIME,60,external_recent,prepared,796,796.0,2025-06-04T15:00:00+00:00,2026-08-14T04:00:00+00:00,
ANIME,240,audit_pre,prepared,738,738.0,2025-06-04T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ANIME,240,audit_seen,prepared,414,414.0,2025-06-04T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ANIME,240,external_recent,prepared,199,199.0,2025-06-04T16:00:00+00:00,2026-08-14T04:00:00+00:00,
API3,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
API3,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
API3,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
API3,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
API3,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
API3,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
APR,60,audit_pre,prepared,2952,2952.0,2025-10-24T06:00:00+00:00,2026-08-14T04:00:00+00:00,
APR,60,audit_seen,prepared,1656,1656.0,2025-10-24T06:00:00+00:00,2026-08-14T04:00:00+00:00,
APR,60,external_recent,prepared,796,796.0,2025-10-24T06:00:00+00:00,2026-08-14T04:00:00+00:00,
APR,240,audit_pre,prepared,738,600.0,2025-10-24T08:00:00+00:00,2026-08-14T04:00:00+00:00,
APR,240,audit_seen,prepared,414,414.0,2025-10-24T08:00:00+00:00,2026-08-14T04:00:00+00:00,
APR,240,external_recent,prepared,199,199.0,2025-10-24T08:00:00+00:00,2026-08-14T04:00:00+00:00,
AR,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AR,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AR,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AR,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AR,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AR,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ARKM,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ARKM,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ARKM,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ARKM,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ARKM,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ARKM,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ARX,60,audit_pre,prepared,0,0.0,2026-06-22T13:00:00+00:00,2026-08-14T04:00:00+00:00,
ARX,60,audit_seen,prepared,467,0.0,2026-06-22T13:00:00+00:00,2026-08-14T04:00:00+00:00,
ARX,60,external_recent,prepared,796,713.0,2026-06-22T13:00:00+00:00,2026-08-14T04:00:00+00:00,
ARX,240,all,unavailable_cash,315,,,,insufficient_common_warmup
ASTER,60,audit_pre,prepared,2952,2952.0,2025-09-22T05:00:00+00:00,2026-08-14T04:00:00+00:00,
ASTER,60,audit_seen,prepared,1656,1656.0,2025-09-22T05:00:00+00:00,2026-08-14T04:00:00+00:00,
ASTER,60,external_recent,prepared,796,796.0,2025-09-22T05:00:00+00:00,2026-08-14T04:00:00+00:00,
ASTER,240,audit_pre,prepared,738,738.0,2025-09-22T08:00:00+00:00,2026-08-14T04:00:00+00:00,
ASTER,240,audit_seen,prepared,414,414.0,2025-09-22T08:00:00+00:00,2026-08-14T04:00:00+00:00,
ASTER,240,external_recent,prepared,199,199.0,2025-09-22T08:00:00+00:00,2026-08-14T04:00:00+00:00,
AT,60,audit_pre,prepared,2952,2952.0,2025-10-30T10:00:00+00:00,2026-08-14T04:00:00+00:00,
AT,60,audit_seen,prepared,1656,1656.0,2025-10-30T10:00:00+00:00,2026-08-14T04:00:00+00:00,
AT,60,external_recent,prepared,796,796.0,2025-10-30T10:00:00+00:00,2026-08-14T04:00:00+00:00,
AT,240,audit_pre,prepared,738,563.0,2025-10-30T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AT,240,audit_seen,prepared,414,414.0,2025-10-30T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AT,240,external_recent,prepared,199,199.0,2025-10-30T12:00:00+00:00,2026-08-14T04:00:00+00:00,
ATH,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ATH,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ATH,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ATH,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ATH,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ATH,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AUCTION,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AUCTION,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AUCTION,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AUCTION,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AUCTION,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AUCTION,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AVNT,60,audit_pre,prepared,2952,2952.0,2025-09-22T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AVNT,60,audit_seen,prepared,1656,1656.0,2025-09-22T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AVNT,60,external_recent,prepared,796,796.0,2025-09-22T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AVNT,240,audit_pre,prepared,738,738.0,2025-09-22T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AVNT,240,audit_seen,prepared,414,414.0,2025-09-22T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AVNT,240,external_recent,prepared,199,199.0,2025-09-22T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AXS,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AXS,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AXS,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
AXS,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AXS,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AXS,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
AZTEC,60,audit_pre,prepared,1957,1407.0,2026-02-11T11:00:00+00:00,2026-08-14T04:00:00+00:00,
AZTEC,60,audit_seen,prepared,1656,1656.0,2026-02-11T11:00:00+00:00,2026-08-14T04:00:00+00:00,
AZTEC,60,external_recent,prepared,796,796.0,2026-02-11T11:00:00+00:00,2026-08-14T04:00:00+00:00,
AZTEC,240,audit_pre,prepared,489,0.0,2026-02-11T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AZTEC,240,audit_seen,prepared,414,353.0,2026-02-11T12:00:00+00:00,2026-08-14T04:00:00+00:00,
AZTEC,240,external_recent,prepared,199,199.0,2026-02-11T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BABY,60,audit_pre,prepared,2952,2952.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BABY,60,audit_seen,prepared,1656,1656.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BABY,60,external_recent,prepared,796,796.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BABY,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BABY,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BABY,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BAND,60,audit_pre,prepared,2952,2952.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BAND,60,audit_seen,prepared,1656,1656.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BAND,60,external_recent,prepared,796,796.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BAND,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BAND,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BAND,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BARD,60,audit_pre,prepared,2952,2952.0,2025-09-18T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BARD,60,audit_seen,prepared,1656,1656.0,2025-09-18T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BARD,60,external_recent,prepared,796,796.0,2025-09-18T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BARD,240,audit_pre,prepared,738,738.0,2025-09-18T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BARD,240,audit_seen,prepared,414,414.0,2025-09-18T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BARD,240,external_recent,prepared,199,199.0,2025-09-18T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BASED,60,audit_pre,prepared,829,279.0,2026-03-30T11:00:00+00:00,2026-08-14T04:00:00+00:00,
BASED,60,audit_seen,prepared,1656,1656.0,2026-03-30T11:00:00+00:00,2026-08-14T04:00:00+00:00,
BASED,60,external_recent,prepared,796,796.0,2026-03-30T11:00:00+00:00,2026-08-14T04:00:00+00:00,
BASED,240,audit_pre,prepared,207,0.0,2026-03-30T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BASED,240,audit_seen,prepared,414,71.0,2026-03-30T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BASED,240,external_recent,prepared,199,199.0,2026-03-30T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BAT,60,audit_pre,prepared,2952,2952.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BAT,60,audit_seen,prepared,1656,1656.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BAT,60,external_recent,prepared,796,796.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BAT,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BAT,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BAT,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BEAT,60,audit_pre,prepared,2952,2952.0,2025-11-12T17:00:00+00:00,2026-08-14T04:00:00+00:00,
BEAT,60,audit_seen,prepared,1656,1656.0,2025-11-12T17:00:00+00:00,2026-08-14T04:00:00+00:00,
BEAT,60,external_recent,prepared,796,796.0,2025-11-12T17:00:00+00:00,2026-08-14T04:00:00+00:00,
BEAT,240,audit_pre,prepared,738,483.0,2025-11-12T20:00:00+00:00,2026-08-14T04:00:00+00:00,
BEAT,240,audit_seen,prepared,414,414.0,2025-11-12T20:00:00+00:00,2026-08-14T04:00:00+00:00,
BEAT,240,external_recent,prepared,199,199.0,2025-11-12T20:00:00+00:00,2026-08-14T04:00:00+00:00,
BERA,60,audit_pre,prepared,2952,2952.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BERA,60,audit_seen,prepared,1656,1656.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BERA,60,external_recent,prepared,796,796.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BERA,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BERA,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BERA,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BICO,60,audit_pre,prepared,2952,2952.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BICO,60,audit_seen,prepared,1656,1656.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BICO,60,external_recent,prepared,796,796.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BICO,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BICO,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BICO,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BIGTIME,60,audit_pre,prepared,2952,2952.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BIGTIME,60,audit_seen,prepared,1656,1656.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BIGTIME,60,external_recent,prepared,796,796.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BIGTIME,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BIGTIME,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BIGTIME,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BILL,60,audit_pre,prepared,0,0.0,2026-05-06T08:00:00+00:00,2026-08-14T04:00:00+00:00,
BILL,60,audit_seen,prepared,1600,1050.0,2026-05-06T08:00:00+00:00,2026-08-14T04:00:00+00:00,
BILL,60,external_recent,prepared,796,796.0,2026-05-06T08:00:00+00:00,2026-08-14T04:00:00+00:00,
BILL,240,audit_pre,prepared,0,0.0,2026-05-06T08:00:00+00:00,2026-08-14T04:00:00+00:00,
BILL,240,audit_seen,prepared,400,0.0,2026-05-06T08:00:00+00:00,2026-08-14T04:00:00+00:00,
BILL,240,external_recent,prepared,199,49.0,2026-05-06T08:00:00+00:00,2026-08-14T04:00:00+00:00,
BIO,60,audit_pre,prepared,2952,2952.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BIO,60,audit_seen,prepared,1656,1656.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BIO,60,external_recent,prepared,796,796.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BIO,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BIO,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BIO,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BLEND,60,audit_pre,prepared,110,0.0,2026-04-29T10:00:00+00:00,2026-08-14T04:00:00+00:00,
BLEND,60,audit_seen,prepared,1656,1216.0,2026-04-29T10:00:00+00:00,2026-08-14T04:00:00+00:00,
BLEND,60,external_recent,prepared,796,796.0,2026-04-29T10:00:00+00:00,2026-08-14T04:00:00+00:00,
BLEND,240,audit_pre,prepared,27,0.0,2026-04-29T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BLEND,240,audit_seen,prepared,414,0.0,2026-04-29T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BLEND,240,external_recent,prepared,199,90.0,2026-04-29T12:00:00+00:00,2026-08-14T04:00:00+00:00,
BLUR,60,audit_pre,prepared,2952,2952.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BLUR,60,audit_seen,prepared,1656,1656.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BLUR,60,external_recent,prepared,796,796.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BLUR,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BLUR,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BLUR,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
BOME,60,audit_pre,prepared,2952,2952.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BOME,60,audit_seen,prepared,1656,1656.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BOME,60,external_recent,prepared,796,796.0,2025-06-03T15:00:00+00:00,2026-08-14T04:00:00+00:00,
BOME,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
